family	node	locus	symbols	rna_eligible	named_gene_member	rna_reaches_named	dna_degree	rna_forward_degree	disposition	reason
APOBEC3	L~chr22_39491546_39505348	chr22:39491546-39505348	APOBEC3D	1	1	1	2	0	KEEP_KNOWN	independent family symbol and graph support
APOBEC3	L~chr22_39511022_39526391	chr22:39511022-39526391	APOBEC3F	1	1	1	3	0	KEEP_KNOWN	independent family symbol and graph support
APOBEC3	L~chr22_39547422_39558159	chr22:39547422-39558159	APOBEC3G	1	1	1	2	0	KEEP_KNOWN	independent family symbol and graph support
APOBEC3	L~chr22_39567662_39574409	chr22:39567662-39574409	APOBEC3H	0	1	1	0	0	KEEP_KNOWN_OUTLIER	independent family symbol but no passing family edge; report as a false negative
MAGEA	L~chrX_147847406_147853265	chrX:147847406-147853265	MAGEA9B	1	1	1	8	11	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_147951769_147980829	chrX:147951769-147980829	MAGEA11	1	1	1	7	10	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_148047612_148053471	chrX:148047612-148053471	MAGEA9	1	1	1	8	11	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_148146880_148151523	chrX:148146880-148151523	MAGEA8;MAGEA8-AS1	1	1	1	12	11	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_150180746_150191399	chrX:150180746-150191399	MAGEA4	1	1	1	10	9	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_150380125_150383437	chrX:150380125-150383437	LOC100533997;LOC105373369	0	0	0	12	0	REVIEW_DNA_ONLY	DNA SD homology without RNA or independent gene-family typing
MAGEA	L~chrX_150399373_150404642	chrX:150399373-150404642	LOC100533997;MAGEA10	1	1	1	9	6	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_150965350_150968920	chrX:150965350-150968920	MAGEA3	1	1	1	6	10	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_150981161_150985189	chrX:150981161-150985189	MAGEA2B	1	1	1	7	11	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_151000335_151004248	chrX:151000335-151004248	MAGEA12	1	1	1	12	10	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_151016432_151020460	chrX:151016432-151020460	MAGEA2	1	1	1	7	11	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_151032688_151036258	chrX:151032688-151036258	MAGEA6	1	1	1	6	10	KEEP_KNOWN	independent family symbol and graph support
MAGEA	L~chrX_151483623_151488220	chrX:151483623-151488220	MAGEA1	1	1	1	12	10	KEEP_KNOWN	independent family symbol and graph support
GSTM	L~chr1_109684536_109696166	chr1:109684536-109696166	GSTM4	1	1	1	2	1	KEEP_KNOWN	independent family symbol and graph support
GSTM	L~chr1_109696171_109703776	chr1:109696171-109703776	GSTM2	1	1	1	2	0	KEEP_KNOWN	independent family symbol and graph support
GSTM	L~chr1_109721792_109728310	chr1:109721792-109728310	GSTM5	1	1	1	2	1	KEEP_KNOWN	independent family symbol and graph support
GSTM	L~chr1_109744082_109751183	chr1:109744082-109751183	GSTM3	1	1	1	0	0	KEEP_KNOWN_OUTLIER	independent family symbol but no passing family edge; report as a false negative
HERC2	L~chr15_18340759_18376045	chr15:18340759-18376045	.	1	0	1	3	5	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr15_18378835_18410091	chr15:18378835-18410091	.	1	0	1	3	2	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr15_20174292_20205675	chr15:20174292-20205675	.	1	0	1	3	3	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr15_20208027_20254954	chr15:20208027-20254954	.	1	0	1	3	3	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr15_25853560_26064943	chr15:25853560-26064943	HERC2	1	1	1	11	4	KEEP_KNOWN_OUTLIER	independent family symbol but no passing family edge; report as a false negative
HERC2	L~chr15_26374081_26405229	chr15:26374081-26405229	.	1	0	1	3	2	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr15_26407946_26453858	chr15:26407946-26453858	.	1	0	1	3	3	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr15_28620350_28638850	chr15:28620350-28638850	.	1	0	1	1	1	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr16_32539231_32565148	chr16:32539231-32565148	.	1	0	1	4	4	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
HERC2	L~chr16_33166163_33190131	chr16:33166163-33190131	.	1	0	0	4	0	REVIEW_SD_ONLY	RNA evidence exists but no forward transcript path reaches a named member
HERC2	L~chr16_33508977_33532950	chr16:33508977-33532950	.	0	0	0	4	0	REVIEW_DNA_ONLY	DNA SD homology without RNA or independent gene-family typing
HERC2	L~chr16_34253089_34278984	chr16:34253089-34278984	.	1	0	1	4	5	KEEP_RNA_CANDIDATE	forward transcript homology reaches an independently named family member
