gene_a	gene_b	in_dna_loose	cls	core_recip	aln_frac	fold	residual	exon_ratio	intron_cos	njunc_min	block_ident	concentration	total_frac	ident_disp	expr_ratio	log_expr_diff	npsv_min	nsun_min	l4_present
ACOT9	LOC129525165	0	genuine	0.1880	0.0000	3	0	0.1875	0.5771	0.6931	0.0000	0.0000	0.0000	0.0000	0.2581	1.2685	NA	NA	0
ACP1	ALKAL2	0	genuine	0.8616	0.8616	3	0	0.8333	0.9328	1.6094	1.0000	1.0000	0.8617	0.0000	0.0110	4.2232	NA	NA	0
ACSBG1	IDH3A	1	TP	0.5137	0.5130	4	0	0.7857	0.9498	2.3979	1.0000	1.0000	0.5130	0.0000	0.2500	1.3819	NA	NA	0
ACSL3	ACSL4	0	truthbar	0.1790	0.0000	1	0	1.0000	0.9718	2.7726	0.0000	0.0000	0.0000	0.0000	0.1459	1.9206	NA	NA	0
ACSM1	LOC129528956	0	genuine	0.1515	0.9663	1	0	1.0000	1.0000	0.6931	0.8092	1.0000	0.9663	0.2315	0.5000	0.5878	NA	NA	0
ACTA2	ACTB	0	truthbar	0.6390	0.0000	1	0	0.6667	0.8476	1.7918	0.0000	0.0000	0.0000	0.0000	0.0248	3.6946	NA	NA	0
ACTA2	ACTG1	0	truthbar	0.6350	0.0000	1	0	0.6667	0.9051	1.7918	0.0000	0.0000	0.0000	0.0000	0.1017	2.2832	NA	NA	0
ACTB	ACTG1	1	TP	0.5384	0.5257	1	0	1.0000	0.9814	1.7918	0.9175	1.0000	0.5257	0.0437	0.2437	1.4115	NA	NA	0
ACTL6A	MRPL47	0	genuine	0.4282	0.4274	1	0	0.5000	0.9645	1.9459	1.0000	1.0000	0.4274	0.0000	0.2153	1.5185	NA	NA	0
ACTN1	ACTN3	0	truthbar	0.3588	0.0000	1	0	1.0000	0.9222	3.0445	0.0000	0.0000	0.0000	0.0000	0.0310	3.3961	NA	NA	0
ACTN1	ACTN4	0	truthbar	0.6757	0.5804	1	0	1.0000	0.9904	3.0445	0.8346	1.0000	0.5804	0.0811	0.5759	0.5507	NA	NA	0
ACTN3	ACTN4	0	truthbar	0.7921	0.0000	1	0	1.0000	0.8698	3.0445	0.0000	0.0000	0.0000	0.0000	0.0179	3.9468	NA	NA	0
ADA	PKIG	0	genuine	0.2136	0.2136	3	0	0.3333	0.9814	1.3863	1.0000	1.0000	0.2136	0.0000	0.0805	2.3979	NA	NA	0
ADAM29	LOC101154164	0	truthbar	0.3251	0.0000	1	0	0.5000	0.9402	0.6931	0.0000	0.0000	0.0000	0.0000	0.3500	0.9651	NA	NA	0
ADAT1	LOC109026802	0	genuine	0.2491	0.0000	3	0	0.1818	0.6053	0.6931	0.0000	0.0000	0.0000	0.0000	0.0833	2.2246	NA	NA	0
ADGRF5	LOC109023105	0	genuine	0.2208	0.9057	1	0	0.3182	0.6854	1.9459	0.9517	1.0000	0.9057	0.0285	0.1818	1.5261	NA	NA	0
ADH1B	LOC101136823	1	TP	0.3518	0.7835	0	0	1.0000	0.9705	2.1972	0.8822	1.0000	0.7835	0.1111	0.0585	2.8065	NA	NA	0
ADORA1	CHIT1	0	genuine	0.4714	0.4710	1	0	0.2727	0.6149	1.0986	1.0000	1.0000	0.4710	0.0000	0.1471	1.7636	NA	NA	0
AFG3L2	TUBB6	0	genuine	0.2395	0.2391	3	0	0.2353	0.5947	1.3863	1.0000	1.0000	0.2391	0.0000	0.0087	4.6810	NA	NA	0
AK6	TAF9B	0	genuine	0.3182	0.0000	3	0	0.4286	0.9393	1.0986	0.0000	0.0000	0.0000	0.0000	0.2538	1.3654	NA	NA	0
AKR1B10	LOC115935241	1	TP	0.4206	0.4203	3	0	1.0000	0.8430	2.3026	0.9626	1.0000	0.4203	0.0362	0.1186	2.0149	NA	NA	0
AKR7A2	LOC115933748	1	TP	0.7366	0.7337	3	0	1.0000	0.9960	1.9459	0.9189	1.0000	0.7337	0.0656	0.3494	1.0405	NA	NA	0
AKT1	AKT2	0	truthbar	0.2018	0.2889	3	0	0.9286	0.9312	2.5649	0.8360	1.0000	0.2889	0.0775	0.7778	0.2231	NA	NA	0
AKTIP	RBL2	0	genuine	0.3117	0.3105	1	0	0.4545	0.8857	2.3026	1.0000	1.0000	0.3105	0.0000	0.3236	1.1247	NA	NA	0
ALB	AVEN	0	genuine	0.1543	0.0000	3	0	0.3333	0.9948	1.7918	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
ALDH1B1	ALDH2	0	truthbar	0.4238	0.0000	4	0	0.1538	0.8130	0.6931	0.0000	0.0000	0.0000	0.0000	0.1596	1.8302	NA	NA	0
ALDH1B1	LOC115935842	1	TP	0.3444	1.0010	4	0	1.0000	1.0000	0.6931	0.9636	1.0000	1.0010	0.0212	0.3223	1.1283	167	58	1
ALDH1B1	LOC129524687	1	TP	0.8829	1.0000	4	0	1.0000	1.0000	0.6931	0.9760	1.0000	1.0000	0.0447	0.4089	0.8917	167	49	1
ALDH1L1	ALDH1L2	0	truthbar	0.5237	0.0000	1	0	1.0000	0.9746	3.1355	0.0000	0.0000	0.0000	0.0000	0.0483	2.9042	NA	NA	0
ALDH2	LOC129524687	0	truthbar	0.2743	0.0000	4	0	0.1538	0.8130	0.6931	0.0000	0.0000	0.0000	0.0000	0.5629	0.5740	NA	NA	0
ALG1	LOC101139163	0	genuine	0.1538	0.4459	0	0	0.3846	0.8458	1.6094	0.8422	1.0000	0.4459	0.0861	0.0968	2.2634	NA	NA	0
ALG1	LOC101152938	0	genuine	0.1724	0.4199	0	0	0.4615	0.8801	1.7918	0.8935	1.0000	0.4199	0.2062	0.0323	3.2189	NA	NA	0
ALG10	ALG10B	1	TP	0.5702	0.9802	3	0	1.0000	1.0000	1.0986	0.9609	1.0000	0.9802	0.0294	0.9333	0.0645	NA	NA	0
ALG1L1P	LOC101127338	0	genuine	0.6561	1.1244	3	0	0.8333	0.8994	1.6094	0.8451	1.0000	1.1244	0.0267	0.5000	0.6061	NA	NA	0
AMN1	ETFBKMT	0	genuine	0.6472	0.6468	3	0	0.5714	0.9170	1.3863	1.0000	1.0000	0.6468	0.0000	0.1736	1.7186	NA	NA	0
AMPD2	AMPD3	0	truthbar	0.1647	0.0000	3	0	0.8333	0.9290	2.7081	0.0000	0.0000	0.0000	0.0000	0.4833	0.7097	NA	NA	0
AMY2A	ZNF888	0	genuine	0.1698	0.0000	4	0	0.3636	0.8089	1.3863	0.0000	0.0000	0.0000	0.0000	0.1304	1.7918	NA	NA	0
AMZ2	LOC101129405	0	genuine	0.1651	0.7199	3	0	0.8571	0.9643	1.7918	0.8832	1.0000	0.7199	0.1425	0.4268	0.8353	NA	NA	0
ANKRD18A	ANKRD18B	1	TP	0.2528	0.8900	4	0	1.0000	0.9981	2.3979	0.9196	1.0000	0.8900	0.1515	0.3636	0.8755	0	0	1
ANKRD18A	LOC101142783	1	TP	0.3383	0.9090	4	0	0.8462	0.9798	2.3979	0.9869	1.0000	0.9090	0.0161	1.0000	0.0000	0	0	1
ANKRD18A	LOC115933254	1	TP	0.2170	0.5114	4	1	0.2727	0.5277	1.0986	0.9648	1.0000	0.5114	0.0225	0.0635	2.5494	0	0	1
ANKRD18B	LOC101142783	1	TP	0.5768	0.6244	4	0	0.8462	0.9798	2.3979	0.9686	1.0000	0.6244	0.0282	0.3636	0.8755	0	0	1
ANKRD18B	LOC101147259	1	TP	0.2605	0.5576	4	0	0.5455	0.8880	1.7918	0.9311	1.0000	0.5576	0.0407	0.5789	0.5108	NA	NA	0
ANKRD18B	LOC115933254	1	TP	0.5644	0.9919	4	1	1.0000	0.6020	2.3979	0.9301	1.0000	0.9919	0.1263	0.3636	0.8755	0	0	1
ANKRD36C	LOC101125154	0	truthbar	0.1925	0.8081	1	0	0.7500	0.9978	1.0986	0.9579	1.0000	0.8081	0.0805	0.8000	0.1823	NA	NA	0
ANKRD36C	LOC109025523	1	TP	0.5033	0.5014	1	0	0.9024	0.9406	3.6109	0.9477	1.0000	0.5014	0.0549	0.6000	0.4520	NA	NA	0
ANKRD37	UFSP2	0	genuine	0.2174	0.2174	1	0	0.4167	0.7733	1.6094	1.0000	1.0000	0.2174	0.0000	0.0815	2.4596	NA	NA	0
ANKRD6	LYRM2	0	genuine	0.6194	0.6194	3	0	0.1875	0.9878	1.0986	1.0000	1.0000	0.6194	0.0000	0.0493	2.9444	NA	NA	0
ANKRD62	LOC109025523	0	genuine	0.2212	0.0000	1	0	0.3514	0.9817	2.5649	0.0000	0.0000	0.0000	0.0000	0.6667	0.3365	NA	NA	0
ANO1	ANO2	0	truthbar	0.2128	0.0000	4	0	0.9600	0.9667	3.1781	0.0000	0.0000	0.0000	0.0000	0.3077	1.0986	NA	NA	0
ANO1	PRKAR2A	0	genuine	0.1371	0.0000	4	0	1.0000	1.0000	0.6931	0.0000	0.0000	0.0000	0.0000	0.7143	0.2877	NA	NA	0
AP1B1	AP2B1	0	truthbar	0.4286	0.0000	3	0	0.9545	0.9182	3.0445	0.0000	0.0000	0.0000	0.0000	0.0889	2.3760	NA	NA	0
AP1M1	AP1M2	0	truthbar	0.3873	0.0000	3	0	1.0000	0.8713	2.4849	0.0000	0.0000	0.0000	0.0000	0.0058	4.8598	NA	NA	0
AP1S2	BDP1	0	genuine	0.2271	0.2262	3	0	0.6000	0.9884	1.0986	0.9925	1.0000	0.2262	0.0098	0.0159	3.8607	NA	NA	0
AP2A1	AP2A2	0	truthbar	0.2691	0.0000	1	0	0.3182	0.9313	1.9459	0.0000	0.0000	0.0000	0.0000	0.1172	2.0932	NA	NA	0
APBA2	APBA3	0	truthbar	0.1630	0.0000	3	0	0.7857	0.8901	2.3979	0.0000	0.0000	0.0000	0.0000	0.2778	1.2690	NA	NA	0
APOBEC3C	APOBEC3D	0	genuine	0.2709	0.3080	4	0	0.6667	0.8756	1.3863	0.8784	1.0000	0.3080	0.0628	0.0366	3.1781	NA	NA	0
APOBEC3C	APOBEC3F	0	genuine	0.3030	0.6780	4	0	0.5714	0.8917	1.3863	0.7455	1.0000	0.6780	0.0624	0.0314	3.3116	NA	NA	0
APOBEC3D	APOBEC3F	1	TP	0.3807	0.9775	4	0	0.8571	0.7634	1.7918	0.9082	1.0000	0.9775	0.0487	0.8571	0.1335	NA	NA	0
APOL2	APOL3	0	truthbar	0.3708	0.3042	1	0	0.8000	0.9866	1.3863	0.8857	1.0000	0.3042	0.0644	0.0865	2.3514	NA	NA	0
APOL3	APOL4	0	truthbar	0.2863	0.4186	1	0	1.0000	0.9179	1.3863	0.8616	1.0000	0.4186	0.0732	0.2432	1.3350	NA	NA	0
APOL4	LOC129527096	0	genuine	0.2801	0.7764	1	0	0.5000	0.6865	0.6931	0.8734	1.0000	0.7764	0.0632	0.2973	1.1527	NA	NA	0
ARFGEF1	ARFGEF2	0	truthbar	0.2362	0.0000	1	0	0.3077	0.9138	2.4849	0.0000	0.0000	0.0000	0.0000	0.9545	0.0445	NA	NA	0
ARHGEF39	CCDC107	0	genuine	0.4694	0.4705	1	0	0.5556	0.7584	1.6094	1.0000	1.0000	0.4705	0.0000	0.4815	0.6931	NA	NA	0
ARHGEF4	SPATA13	0	genuine	0.2424	0.0000	3	0	0.9091	0.9741	2.3026	0.0000	0.0000	0.0000	0.0000	0.0759	2.4361	NA	NA	0
ARID1A	ARID1B	0	truthbar	0.2719	0.0000	1	0	1.0000	0.8180	1.0986	0.0000	0.0000	0.0000	0.0000	0.4583	0.7563	NA	NA	0
ARL17A	LOC101135168	0	genuine	0.5577	0.5577	3	0	0.6667	0.9554	1.3863	1.0000	1.0000	0.5577	0.0000	0.2812	1.1939	NA	NA	0
ARL17A	LOC115934626	0	genuine	0.4194	0.6153	3	0	0.6667	0.9568	1.3863	0.9926	1.0000	0.6153	0.0361	0.2812	1.1939	46	0	1
ARRB1	ARRB2	0	truthbar	0.5264	0.0000	1	0	1.0000	0.9662	2.7081	0.0000	0.0000	0.0000	0.0000	0.6429	0.4290	NA	NA	0
ASB6	NTMT1	1	TP	0.7080	0.7066	2	0	0.6667	0.8424	1.3863	1.0000	1.0000	0.7066	0.0000	0.4009	0.9069	NA	NA	0
ASNS	LOC129531864	0	genuine	0.2269	0.2159	3	0	0.5385	0.8416	1.9459	0.9314	1.0000	0.2159	0.0392	0.0351	3.2016	NA	NA	0
ATP12A	ATP1A2	0	truthbar	0.2964	0.0000	1	0	1.0000	0.9717	3.1355	0.0000	0.0000	0.0000	0.0000	0.0367	3.0910	NA	NA	0
ATP12A	ATP1A3	0	truthbar	0.5263	0.0000	1	0	1.0000	0.9657	3.1355	0.0000	0.0000	0.0000	0.0000	0.3333	0.9555	NA	NA	0
ATP1A1	ATP1A2	0	truthbar	0.5176	0.0000	1	0	0.8261	0.9739	2.9444	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
ATP1A1	ATP1A3	0	truthbar	0.8895	0.0000	1	0	0.8261	0.9632	2.9444	0.0000	0.0000	0.0000	0.0000	0.1101	2.1355	NA	NA	0
ATP1A2	ATP1A3	0	truthbar	0.4359	0.7730	1	0	1.0000	0.9919	3.1355	0.8284	1.0000	0.7730	0.0744	0.1101	2.1355	NA	NA	0
ATP2A1	ATP2A2	0	truthbar	0.4375	0.0000	3	0	0.6500	0.9360	2.5649	0.0000	0.0000	0.0000	0.0000	0.3488	1.0116	NA	NA	0
ATP2B3	ATP2B4	0	truthbar	0.3204	0.0000	3	0	1.0000	0.7635	3.0445	0.0000	0.0000	0.0000	0.0000	0.1905	1.4816	NA	NA	0
ATP5ME	PDE6B	0	genuine	0.2016	0.3748	1	0	0.5714	0.9445	1.3863	1.0000	1.0000	0.3748	0.0000	0.3846	0.8979	NA	NA	0
ATP6V0A2	TCIRG1	0	truthbar	0.1467	0.0000	1	0	1.0000	0.9312	2.9957	0.0000	0.0000	0.0000	0.0000	0.4237	0.8362	NA	NA	0
ATP6V1C2	PDIA6	1	TP	0.3828	0.3800	4	0	0.7692	0.9379	2.3026	1.0000	1.0000	0.3973	0.0000	0.0016	6.2206	NA	NA	0
ATP9A	ATP9B	0	truthbar	0.3714	0.0000	3	0	0.9655	0.9214	3.3322	0.0000	0.0000	0.0000	0.0000	0.4106	0.8807	NA	NA	0
ATPSCKMT	LOC101133249	0	genuine	0.1790	0.7193	3	0	0.6000	0.9420	1.0986	0.8296	1.0000	0.7193	0.0764	0.1481	1.7228	NA	NA	0
AUNIP	MTFR1L	0	genuine	0.7245	0.7245	1	0	0.4286	0.6155	1.0986	1.0000	1.0000	0.7245	0.0000	0.2257	1.4835	NA	NA	0
B3GAT2	SMAP1	0	genuine	0.4622	0.5285	3	0	0.3636	0.8966	1.3863	0.9558	0.8541	0.6188	0.1806	0.1739	1.6835	NA	NA	0
B3GNTL1	TBCD	0	genuine	0.5383	0.5360	1	0	0.3333	0.9526	2.5649	1.0000	1.0000	0.5360	0.0000	0.1923	1.6094	NA	NA	0
BBIP1	PDCD4	0	genuine	0.6716	0.6716	1	0	0.3333	0.6430	1.3863	1.0000	1.0000	0.6716	0.0000	0.0231	3.7262	NA	NA	0
BCR	LOC101132434	1	TP	0.3002	0.6622	0	0	0.4000	0.9763	1.7918	0.9726	1.0000	0.6622	0.0213	0.5484	0.5754	NA	NA	0
BCR	LOC101135843	1	TP	0.2560	0.5649	0	0	0.4667	0.9781	1.9459	0.9746	1.0000	0.5649	0.0213	0.4516	0.7577	NA	NA	0
BCR	LOC115932815	1	TP	0.2679	0.5461	0	0	0.6000	0.9868	1.9459	0.9807	1.0000	0.5720	0.0193	0.1935	1.5198	NA	NA	0
BEX1	BEX2	0	truthbar	0.3416	0.6782	1	0	1.0000	0.9220	1.0986	0.8774	1.0000	0.7679	0.0825	0.0201	3.6243	NA	NA	0
BEX3	BEX5	0	truthbar	0.1691	0.0000	2	0	0.6667	0.9215	0.6931	0.0000	0.0000	0.0000	0.0000	0.3929	0.8824	NA	NA	0
BEX3	NXF3	0	genuine	0.1391	0.0000	2	0	0.6667	0.7628	0.6931	0.0000	0.0000	0.0000	0.0000	0.0456	3.0040	NA	NA	0
BFAR	LOC101150079	1	TP	0.6357	1.0030	3	0	1.0000	1.0000	2.0794	0.9938	1.0000	1.0030	0.0183	0.9692	0.0310	51	51	1
BIRC2	BIRC3	0	truthbar	0.2775	0.0000	1	0	0.8889	0.9811	2.0794	0.0000	0.0000	0.0000	0.0000	0.0215	3.8164	NA	NA	0
BLID	LOC101154388	0	genuine	0.8713	0.8713	1	0	0.5000	0.8865	0.6931	1.0000	1.0000	0.8047	0.0000	0.7333	0.2877	NA	NA	0
BLK	HCK	0	truthbar	0.1480	0.0000	1	0	0.8462	0.9357	2.3979	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
BLNK	ZNF518A	0	genuine	0.9746	0.9746	3	0	1.0000	1.0000	0.6931	1.0000	1.0000	0.9746	0.0000	1.0000	0.0000	NA	NA	0
BLOC1S6	HMGN2	0	genuine	0.1527	0.4889	1	0	0.3333	0.7557	0.6931	0.8932	1.0000	0.4889	0.0784	0.0013	6.3932	NA	NA	0
BMAL1	BTBD10	0	genuine	0.5174	0.5152	1	0	0.4737	0.9374	2.1972	1.0000	1.0000	0.5152	0.0000	0.5128	0.6638	NA	NA	0
BMS1	LOC101143777	0	genuine	0.1317	0.3085	0	0	0.6957	0.9648	2.7726	0.9219	1.0000	0.3085	0.0351	0.0061	4.8737	NA	NA	0
BMS1	LOC101148457	0	genuine	0.1545	0.4509	0	0	0.2609	0.9533	2.1972	0.9602	1.0000	0.1545	0.0283	0.0184	3.9182	NA	NA	0
BMS1	LOC129524676	0	genuine	0.1696	0.2013	0	0	0.2174	0.9336	1.6094	0.9518	1.0000	0.2013	0.0465	0.0092	4.5372	NA	NA	0
BMS1	LOC129526479	0	genuine	0.1652	0.3563	0	0	0.3478	0.9733	2.0794	0.9051	1.0000	0.3563	0.1657	0.0046	5.0968	NA	NA	0
BMS1	LOC134756761	0	genuine	0.1712	0.2019	0	0	0.2174	0.9337	1.6094	0.9454	1.0000	0.2019	0.0504	0.0107	4.4037	NA	NA	0
BRD1	BRPF1	0	truthbar	0.1857	0.0000	1	0	1.0000	0.8369	2.4849	0.0000	0.0000	0.0000	0.0000	0.5882	0.4925	NA	NA	0
BRD3	BRD4	0	genuine	0.2222	0.0000	3	0	0.7500	0.9508	2.1972	0.0000	0.0000	0.0000	0.0000	0.1957	1.5476	NA	NA	0
BRICD5	MLST8	0	genuine	0.2247	0.3912	1	0	0.6667	0.9584	1.7918	0.7798	1.0000	0.3912	0.3675	0.1296	1.9279	NA	NA	0
BTN1A1	BTN2A2	0	truthbar	0.1411	0.0000	1	0	0.7500	0.9517	1.7918	0.0000	0.0000	0.0000	0.0000	0.1818	1.5261	NA	NA	0
BTN2A1	BTN2A2	1	TP	0.2455	0.7791	1	0	1.0000	0.9882	2.0794	0.8718	1.0000	0.7791	0.1231	0.2075	1.5373	NA	NA	0
BTN3A1	LOC101147830	0	truthbar	0.3390	0.5166	3	0	0.9091	0.9834	2.3026	0.8986	1.0000	0.5130	0.0652	0.1481	1.7228	NA	NA	0
BTRC	FBXW11	0	truthbar	0.2124	0.0000	1	0	0.8000	0.8994	2.4849	0.0000	0.0000	0.0000	0.0000	0.6809	0.3825	NA	NA	0
BUD31	PTCD1	0	genuine	0.2119	0.2128	3	0	0.7500	0.8557	1.7918	1.0000	1.0000	0.1924	0.0000	0.3107	1.1619	NA	NA	0
C10H12orf56	OOEP	0	genuine	0.1816	0.0000	3	0	0.2500	0.8685	1.0986	0.0000	0.0000	0.0000	0.0000	0.4286	0.6931	NA	NA	0
C1H1orf146	GLMN	0	genuine	0.5228	0.5228	3	0	0.2632	0.9543	1.6094	1.0000	1.0000	0.5228	0.0000	0.0345	3.0910	NA	NA	0
C1H1orf56	CDC42SE1	0	genuine	0.5756	0.5760	3	0	0.4000	0.9403	0.6931	1.0000	1.0000	0.5760	0.0000	0.1889	1.6431	NA	NA	0
C3H4orf36	LOC101143448	0	genuine	0.1523	0.3142	0	0	1.0000	0.9926	1.3863	0.9095	1.0000	0.3142	0.0500	0.1290	1.8563	NA	NA	0
C3H4orf36	LOC109025730	0	genuine	0.1370	0.3524	0	0	0.8000	0.9074	1.3863	0.9295	1.0000	0.3524	0.0285	0.5714	0.4700	NA	NA	0
C3H4orf36	LOC129533438	0	genuine	0.2038	0.0000	0	0	1.0000	0.9886	1.3863	0.0000	0.0000	0.0000	0.0000	0.7500	0.2231	NA	NA	0
C3H4orf36	MINPP1	0	genuine	0.2167	0.2837	0	0	0.8000	0.9900	1.3863	0.9332	1.0000	0.2837	0.0447	0.0198	3.7038	NA	NA	0
C3H4orf36	PDCD5	0	genuine	0.1448	0.3707	0	0	0.6667	0.9224	1.3863	0.9185	1.0000	0.3707	0.0405	0.0833	2.2824	NA	NA	0
C3H4orf36	SEM1	0	genuine	0.2126	0.3182	0	0	0.7500	0.9785	1.0986	0.9277	1.0000	0.3182	0.0298	0.0548	2.6946	NA	NA	0
C3H4orf36	SPC25	0	genuine	0.1654	0.3449	0	0	0.5714	0.9876	1.3863	0.9403	1.0000	0.3449	0.0199	0.5000	0.5878	NA	NA	0
C4A	C4B	1	TP	0.9998	1.0000	0	0	1.0000	1.0000	3.7136	0.9982	1.0000	1.0000	0.0116	0.9286	0.0730	31	31	1
C7H8orf33	LOC129527512	0	genuine	0.2129	0.6145	1	0	0.6000	0.9523	1.0986	0.8503	1.0000	0.6145	0.0576	0.1195	2.0794	NA	NA	0
C9H11orf65	LOC101145464	0	genuine	0.1376	0.1934	0	0	0.6250	0.9966	1.6094	0.9368	1.0000	0.1934	0.0471	0.7000	0.3185	NA	NA	0
C9H11orf65	LOC109023154	0	genuine	0.1467	0.2176	0	0	0.2500	0.9636	0.6931	0.9376	1.0000	0.1767	0.0693	0.5000	0.6061	NA	NA	0
C9H11orf65	LOC109025730	0	genuine	0.2508	0.3517	0	0	0.6250	0.9227	1.6094	0.9293	1.0000	0.3517	0.0358	0.7000	0.3185	NA	NA	0
C9H11orf65	PDCD5	0	genuine	0.2665	0.3779	0	0	0.7500	0.9653	1.7918	0.9516	1.0000	0.3779	0.0491	0.2083	1.4939	NA	NA	0
C9H11orf65	SPC25	0	genuine	0.2449	0.3515	0	0	0.8750	0.9987	1.9459	0.9456	1.0000	0.3515	0.0450	0.8000	0.2007	NA	NA	0
CAB39L	LOC101133249	0	genuine	0.1539	0.0000	3	0	0.6667	0.9996	1.0986	0.0000	0.0000	0.0000	0.0000	0.3636	0.8755	NA	NA	0
CACNB1	CACNB3	0	truthbar	0.2270	0.0000	3	0	1.0000	0.7875	2.5649	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
CAMK1	CAMK1G	0	truthbar	0.2976	0.0000	3	0	0.9231	0.8972	2.4849	0.0000	0.0000	0.0000	0.0000	0.4286	0.6931	NA	NA	0
CAMK2B	CAMK2G	0	truthbar	0.5365	0.0000	3	0	0.9500	0.9225	2.9444	0.0000	0.0000	0.0000	0.0000	0.4000	0.7885	NA	NA	0
CAMK2D	CAMK2G	0	truthbar	0.2228	0.0000	3	0	0.9000	0.9606	2.8904	0.0000	0.0000	0.0000	0.0000	0.0237	3.6495	NA	NA	0
CAND2	RPL32	0	genuine	0.4415	0.4415	1	0	0.2667	0.7756	1.3863	1.0000	1.0000	0.4415	0.0000	0.1242	2.0641	NA	NA	0
CANX	HMGB3	0	genuine	0.4859	0.7031	1	0	0.4000	0.8962	0.6931	0.9156	1.0000	0.7031	0.0360	0.0136	4.0809	NA	NA	0
CAPS2	RAPH1	0	genuine	0.1834	0.0000	3	0	1.0000	1.0000	0.6931	0.0000	0.0000	0.0000	0.0000	0.5000	0.5596	NA	NA	0
CARD16	LOC101136563	0	genuine	0.1444	0.1444	3	0	0.3333	0.7791	1.0986	0.9722	1.0000	0.1444	0.0150	0.3750	0.8109	NA	NA	0
CASP3	CGREF1	0	genuine	0.2026	0.0000	3	0	0.5000	0.9770	1.0986	0.0000	0.0000	0.0000	0.0000	1.0000	0.0000	NA	NA	0
CBR1	CBR3	0	truthbar	0.8453	0.0000	1	0	1.0000	0.9981	1.0986	0.0000	0.0000	0.0000	0.0000	0.0357	3.2038	NA	NA	0
CCDC144A	LOC109026769	1	TP	0.3998	1.0048	1	0	1.0000	0.9893	2.4849	0.9830	1.0000	1.0048	0.0152	0.2481	1.3715	NA	NA	0
CCDC152	SELENOP	1	TP	0.4776	0.4768	0	0	0.5556	0.9649	1.6094	1.0000	1.0000	0.4768	0.0000	0.0043	5.4148	NA	NA	0
CCDC92	IL20RB	0	genuine	0.1788	0.3442	1	0	0.6000	0.9782	1.0986	0.8793	1.0000	0.3442	0.0960	0.4286	0.6931	NA	NA	0
CCL8	LOC101134802	0	truthbar	0.4194	0.0000	3	0	1.0000	0.9957	1.0986	0.0000	0.0000	0.0000	0.0000	0.6250	0.4353	NA	NA	0
