family	gene	n_loci_ref	K_read	chi_H	sedef_partners	sex	hap_CN_mat	hap_CN_pat	frag_mat	frag_pat	asm_hapCN	class	cnv_autosomal
85	NA	4	NA	NA	NA	auto	2	2	3	3	2	multi_copy	0
86	NA	4	NA	NA	NA	auto	1	1	0	2	1	single_locus_allele	0
87	LOC101130854	4	2	3	19	auto	8	8	1	0	8	multi_copy	0
88	NA	4	NA	NA	NA	auto	2	2	2	2	2	multi_copy	0
89	NA	4	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
90	NA	4	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
91	LOC129530050	4	2	2	3	mixed_sex	1	1	0	0	1	single_locus_allele	0
92	NA	4	NA	NA	NA	X	2	0	0	0	2	multi_copy	0
93	LOC115932194	4	0	1	11	X	2	0	0	0	2	multi_copy	0
94	MAGEA9	4	4	2	16	X	2	0	0	0	2	multi_copy	0
95	LOC129529978	4	3	1	10	X	2	0	0	0	2	multi_copy	0
96	LOC129530275	4	0	2	9	Y	0	7	0	0	7	multi_copy	0
97	NA	3	NA	NA	NA	auto	1	1	1	1	1	single_locus_allele	0
98	LOC101142904	3	2	2	22	auto	3	3	0	0	3	multi_copy	0
99	NA	3	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
100	NA	3	NA	NA	NA	auto	5	5	0	0	5	multi_copy	0
101	LOC129534200	3	0	2	1	auto	2	2	0	0	2	multi_copy	0
102	NA	3	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
103	NA	3	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
104	NA	3	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
105	LOC109029264	3	2	2	15	auto	4	4	1	1	4	multi_copy	0
106	NA	3	NA	NA	NA	auto	2	2	3	2	2	multi_copy	0
107	NA	3	NA	NA	NA	auto	5	5	0	0	5	multi_copy	0
108	NA	3	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
109	LOC129523567	3	2	2	2	auto	2	2	0	0	2	multi_copy	0
110	NA	3	NA	NA	NA	auto	3	3	5	6	3	multi_copy	0
111	NA	3	NA	NA	NA	auto	3	2	0	0	3	multi_copy	1
112	NA	3	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
113	NA	3	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
114	LOC129527053	3	3	2	9	auto	3	3	0	0	3	multi_copy	0
115	NA	3	NA	NA	NA	auto	15	15	1	1	15	multi_copy	0
116	NA	3	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
117	LOC101123970	3	0	2	2	auto	2	2	0	0	2	multi_copy	0
118	NA	3	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
119	NA	3	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
120	LOC115931590	3	0	2	1	auto	2	2	0	0	2	multi_copy	0
121	NA	3	NA	NA	NA	mixed_sex	1	1	0	0	1	single_locus_allele	0
122	LOC129530010	3	0	1	1	X	2	0	0	0	2	multi_copy	0
123	NA	2	NA	NA	NA	auto	3	3	2	2	3	multi_copy	0
124	LOC101127437	2	0	2	2	auto	2	2	0	0	2	multi_copy	0
125	NA	2	NA	NA	NA	auto	4	4	0	0	4	multi_copy	0
126	NA	2	NA	NA	NA	auto	1	1	1	1	1	single_locus_allele	0
127	NA	2	NA	NA	NA	auto	10	11	5	9	11	multi_copy	1
128	NA	2	NA	NA	NA	auto	3	3	1	1	3	multi_copy	0
129	GSTM2	2	2	2	12	auto	3	3	1	1	3	multi_copy	0
130	NA	2	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
131	NA	2	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
132	NA	2	NA	NA	NA	auto	14	15	5	8	15	multi_copy	1
133	NA	2	NA	NA	NA	auto	1	1	0	1	1	single_locus_allele	0
134	NA	2	NA	NA	NA	auto	1	1	20	17	1	single_locus_allele	0
135	NA	2	NA	NA	NA	auto	5	5	0	0	5	multi_copy	0
136	TNK2	2	3	2	19	auto	4	4	2	2	4	multi_copy	0
137	NA	2	NA	NA	NA	auto	4	4	1	1	4	multi_copy	0
138	NA	2	NA	NA	NA	auto	2	2	5	5	2	multi_copy	0
139	LOC129531752	2	3	2	23	auto	22	22	1	1	22	multi_copy	0
140	NA	2	NA	NA	NA	auto	1	1	1	1	1	single_locus_allele	0
141	NA	2	NA	NA	NA	auto	3	3	10	10	3	multi_copy	0
142	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
143	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
144	NA	2	NA	NA	NA	auto	2	2	6	6	2	multi_copy	0
145	LOC115935025	2	3	2	1	auto	2	4	0	0	4	multi_copy	1
146	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
147	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
148	NA	2	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
149	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
150	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
151	LOC129523647	2	2	2	12	auto	2	2	0	0	2	multi_copy	0
152	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
153	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
154	NA	2	NA	NA	NA	auto	2	2	1	1	2	multi_copy	0
155	NA	2	NA	NA	NA	auto	4	4	2	2	4	multi_copy	0
156	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
157	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
158	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
159	NA	2	NA	NA	NA	auto	3	3	1	2	3	multi_copy	0
160	NA	2	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
161	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
162	NA	2	NA	NA	NA	auto	2	2	0	8	2	multi_copy	0
163	NA	2	NA	NA	NA	auto	10	8	5	5	10	multi_copy	1
164	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
165	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
166	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
167	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
168	LOC101124683	2	0	2	18	auto	2	2	0	0	2	multi_copy	0
169	LOC101124683	2	0	1	18	auto	2	2	0	0	2	multi_copy	0
170	LOC101124683	2	0	1	18	auto	2	2	0	0	2	multi_copy	0
171	NA	2	NA	NA	NA	auto	7	7	0	0	7	multi_copy	0
172	NA	2	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
173	NA	2	NA	NA	NA	auto	3	3	1	1	3	multi_copy	0
174	NA	2	NA	NA	NA	auto	4	5	0	0	5	multi_copy	1
175	UBE2Q2P16	2	3	1	24	auto	3	3	2	2	3	multi_copy	0
176	LOC115931067	2	0	1	1	auto	2	2	0	0	2	multi_copy	0
177	NA	2	NA	NA	NA	auto	2	2	1	0	2	multi_copy	0
178	NA	2	NA	NA	NA	auto	4	4	1	1	4	multi_copy	0
179	NA	2	NA	NA	NA	auto	2	2	1	1	2	multi_copy	0
180	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
181	NA	2	NA	NA	NA	auto	4	4	0	0	4	multi_copy	0
182	NA	2	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
183	NA	2	NA	NA	NA	auto	3	3	4	4	3	multi_copy	0
184	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
185	NA	2	NA	NA	NA	auto	1	1	1	1	1	single_locus_allele	0
186	NA	2	NA	NA	NA	auto	1	1	1	1	1	single_locus_allele	0
187	NA	2	NA	NA	NA	auto	1	1	1	1	1	single_locus_allele	0
188	NA	2	NA	NA	NA	auto	8	25	0	0	25	multi_copy	1
189	NA	2	NA	NA	NA	auto	2	2	0	0	2	multi_copy	0
190	NA	2	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
191	LOC129530554	2	2	1	14	auto	3	3	0	0	3	multi_copy	0
192	NA	2	NA	NA	NA	auto	3	3	0	0	3	multi_copy	0
193	NA	2	NA	NA	NA	X	5	1	0	0	5	multi_copy	0
194	NA	2	NA	NA	NA	auto	1	1	0	0	1	single_locus_allele	0
195	LOC129529923	2	2	2	10	X	3	0	0	0	3	multi_copy	0
