family_id	n_genes	n_loci	n_contigs	cross_chrom	density	biotype_purity	repeat_mosaic	dom_biotype	compara_paralog	genes
GRFAM10	51	51	2	1	0.993	1.000	0	protein_coding	0	LOC129526109,LOC134756380,LOC129526127,LOC129526209,LOC129526103,LOC134757023,LOC129526156,LOC129526120,LOC129526102,LOC129526203,LOC129526157,LOC129526207,LOC129526131,LOC129526155,LOC129526121,LOC129526113,LOC129526208,LOC129526152,LOC129526104,LOC134757024,LOC129526101,LOC129526210,NTF4,LOC115931555,LOC101123748,LOC101133291,LOC101124600,LOC101154318,LOC129528600,LOC129528601,LOC129528604,LOC129528606,LOC129528608,LOC129528610,LOC129528611,LOC129528613,LOC129528614,LOC129528615,LOC129528616,LOC129528617,LOC129528618,LOC129528620,LOC129528619,LOC129528621,LOC129528622,LOC129528623,LOC129528624,LOC129528625,LOC109024055,SAXO3,LHB
GRFAM11	49	48	2	1	0.509	0.653	0	protein_coding	0	LOC129530169,LOC129530145,LOC101146761,LOC129530146,LOC134757925,LOC115933253,LOC134757909,LOC101147858,LOC101148206,LOC129530148,IL3RA,LOC129530051,LOC129530050,ASMTL,P2RY8,LOC129530054,LOC129530055,LOC129530057,DHRSX,ZBED1,LOC101124366,CD99,LOC134757901,LOC129530169,LOC129530144,LOC129530145,LOC101146761,LOC129530146,LOC115933253,LOC134757909,LOC101147858,LOC101148206,LOC129530148,IL3RA,LOC129530051,LOC129530050,ASMTL,LOC134757952,P2RY8,LOC129530054,LOC129530055,LOC129530057,DHRSX,LOC129530417,ZBED1,LOC101124366,LOC134757953,CD99,LOC134757901
GRFAM12	49	48	13	1	0.422	0.673	0	protein_coding	0	LOC129533432,LOC115933961,LOC115934341,LOC134758069,LOC109028725,LOC129532776,LOC115936312,LOC115935259,LOC134758087,LOC134758086,ALG1L2,LOC101139163,LOC115933946,LOC101125415,LOC129533230,LOC134756435,LOC134758293,LOC101130354,LOC109023085,PYY,PPY,LOC115934671,LOC129533744,LOC129533540,ASNS,LOC129524391,LOC101130271,LOC101133440,LOC129524281,LOC115933032,LOC101133718,LOC101128260,LOC134759064,LOC101139117,LOC134756455,LOC101130727,LOC101152938,LOC115936283,LOC109028727,LOC129525600,LOC129525601,LOC134756549,LOC115930184,LOC129524489,LOC115930437,LOC134757181,LOC134757350,EEF2KMT,LOC129527542
GRFAM13	48	48	2	1	0.827	0.688	0	protein_coding	0	LOC129529247,LOC129529265,LOC129529234,LOC129529226,LOC129529262,LOC101136353,LOC134758715,LOC134758712,LOC129534588,LOC134758721,LOC129534585,LOC129532032,LOC129532040,LOC129532042,LOC129534707,LOC101151914,WNT3A,LOC115931212,LOC134758742,LOC129523520,LOC129532070,LOC101128796,LOC129534593,LOC134758749,LOC101130728,LOC129532055,LOC109023422,LOC134758748,LOC134757776,LOC134758747,LOC134758744,LOC134756437,LOC134758322,LOC134758752,LOC134758760,LOC134757815,LOC134758754,LOC134758761,LOC134758759,LOC129532026,LOC129529231,LOC115931242,LOC129531982,LOC129531983,LOC129531977,MAPKBP1,PLA2G4B,SPTBN5
GRFAM14	47	47	1	0	0.999	0.979	0	snRNA	0	LOC115934899,LOC134756403,LOC129534024,LOC129534025,LOC129534026,LOC134758639,LOC129534027,LOC129534021,LOC134758635,LOC129534002,LOC129534022,LOC134758636,LOC134758640,LOC134758641,LOC129534033,LOC129533998,LOC129534034,LOC129534035,LOC129534023,LOC129534036,LOC129534037,LOC129534038,LOC129533999,LOC134758642,LOC129534039,LOC134758643,LOC129534001,LOC134758644,LOC129533991,LOC129534040,LOC134758645,LOC129533994,LOC129533996,LOC134758622,LOC134758623,LOC134758624,LOC134758625,LOC134758626,LOC134758627,LOC134758628,LOC134758629,LOC134758630,LOC134758631,LOC134758632,LOC134758633,LOC134758634,LOC129534000
GRFAM15	46	46	1	0	0.638	0.913	0	protein_coding	0	PRAMEF20,PRAMEF17,PRAMEF19,LOC101144999,LOC115933122,LOC129529411,LOC134758527,LOC115933180,LOC115932964,LOC101152310,LOC115932965,LOC115932966,LOC129525038,LOC101146902,LOC134758529,LOC129525080,LOC129533082,LOC115931091,LOC115930113,LOC101138466,LOC101150863,LOC101144003,LOC115932944,LOC101148340,LOC115932946,LOC101150488,LOC115932973,LOC101146552,LOC115933009,LOC101145725,LOC101148714,LOC115932888,LOC101147979,LOC134758535,LOC115933279,LOC134758536,LOC134759254,LOC115933244,LOC129530101,LOC129533091,LOC129533087,HNRNPCL1,LOC101151592,LOC101153753,LOC101144371,PRAMEF12
GRFAM16	46	45	5	1	0.337	0.587	0	lncRNA	0	SLC9B1,LOC101148885,LOC109025320,LOC134757147,LOC101131658,LOC101152610,LOC101136352,LOC129527660,LOC101146267,LOC109023575,LOC129527819,LOC129527821,LOC134757503,LOC101149482,LOC115931745,LOC129527823,LOC129523521,LINC02693,LOC129527825,LOC129527826,LOC134757456,LOC129527828,LOC129527830,LOC129527832,LOC129527454,LOC129527440,LOC129527445,LOC129527392,LOC129527393,LOC101151529,LOC134757457,LOC129527449,LOC129527375,LOC129527432,LOC129527433,LOC129527434,LOC129523522,LOC101149126,LOC134757504,LOC134757458,LOC129527358,LOC129527361,LOC134757505,LOC109023593,LOC134757460,LOC129527773
GRFAM17	44	44	1	0	0.758	1.000	0	protein_coding	0	LOC115931259,LOC101150816,LOC129527881,LOC134757565,LOC134757613,LOC134757614,LOC134757567,LOC134757616,LOC134757615,LOC134757617,LOC115931231,LOC134757642,LOC115931245,LOC134757618,LOC129528035,LOC134757555,LOC129527910,LOC134757556,LOC129527896,LOC129527899,LOC129527897,LOC129527892,LOC115931232,LOC129527890,LOC129527909,LOC129527912,LOC129527901,LOC134757557,LOC129527898,LOC129527865,LOC129527871,LOC134757558,LOC134757559,LOC134757560,LOC129527874,LOC134757561,LOC134757562,LOC129527866,LOC134757563,LOC129527868,LOC129527887,LOC129527886,LOC115931279,LOC129527888
GRFAM18	43	43	1	0	0.420	0.581	0	protein_coding	0	LOC115933357,LOC129527585,LOC115931156,LOC129527586,LOC115931069,LOC101134912,LOC129527845,LOC101135276,LOC129527846,PDXDC1,LOC101128221,LOC115930161,LOC129527698,LOC129527696,LOC115932719,LOC129527695,LOC101147502,LOC115933369,LOC129527697,LOC101154433,LOC129527844,LOC115931075,EXOSC6,LOC129527733,LOC129527730,LOC115932827,LOC115932828,LOC134757449,LOC109023634,LOC101129998,LOC129527842,LOC129527728,LOC129527724,LOC129527734,LOC129527731,LOC129527732,LOC129527725,LOC115930163,LOC129527723,LOC129527843,LOC129527726,LOC129527729,LOC101127609
GRFAM19	41	41	9	1	0.568	0.634	0	protein_coding	0	HGFAC,DOK7,LRPAP1,LOC101125106,LOC115932812,LOC134756832,LOC129531456,LOC134756754,LOC134756753,LOC129526386,LOC129526956,LOC129526471,LOC134756432,LOC129531454,LOC129531455,LOC134756758,LOC115934282,LOC109028905,LOC129523503,LOC134756760,LOC134756951,LOC129526389,LOC129531443,LOC134757059,LOC134757060,LOC115933037,LOC134757041,LOC129527283,LOC129531439,LOC134757220,LOC134757221,LOC134757321,LOC134757222,ABHD17A,LOC115933526,LOC115934290,LOC129529291,LOC129529447,LOC134757959,LOC115934309,LOC129530229
GRFAM20	40	39	6	1	0.532	0.750	0	protein_coding	0	LOC109026716,LOC101132464,LOC129524935,LOC134759152,LOC101141990,LOC129527568,LOC115931102,LOC134757428,LOC115931062,LOC129527592,LOC129527600,LOC129527613,LOC134757497,LOC101131206,LOC134757431,LOC115931109,LOC129523555,MYH11,LOC129527750,LOC129527625,LOC115933350,LOC101141855,LOC115932701,TNFRSF17,LOC129527636,LOC129527341,LOC109023568,LOC115933144,LOC115932744,LOC129527692,LOC134757441,LOC129527693,LOC129527699,LOC101134557,LOC129527720,LOC129527736,LOC129527721,LOC129527737,EIF5A,LOC129529683
GRFAM21	37	37	2	1	0.395	0.595	0	protein_coding	0	LOC101151653,LOC129533464,LOC129533461,LOC129533462,LOC129533458,LOC101144080,LOC115933306,LOC129533792,LOC129533793,LOC129533794,LOC129533795,LOC101140367,LOC101125558,LOC129533796,LOC115934749,LOC129533810,LOC101139671,LOC129533812,LOC129533809,LOC109027082,LOC129533808,LOC129533806,LOC129533807,LOC129534015,LOC115934661,LOC115934662,LOC129533799,LOC129533797,LOC129533798,LOC129533805,LOC129534014,LOC129533814,LOC129533813,LOC101123729,CCL3,LOC109026840,LOC115936086
GRFAM22	36	36	1	0	0.635	0.667	0	tRNA	0	TRNAV-CAC,LOC101147160,TRNAG-CCC,LOC134756697,CROCC,TRNAE-UUC,LOC129533282,TRNAG-CCC,LOC115933275,TRNAE-UUC,TRNAG-CCC,TRNAN-GUU,TRNAE-UUC,TRNAG-CCC,LOC134757816,TRNAE-UUC,TRNAG-CCC,LOC115932867,TRNAE-UUC,TRNAK-CUU,TRNAG-CCC,TRNAG-CCC,TRNAE-UUC,TRNAG-CCC,TRNAE-UUC,LOC129533335,TRNAG-CCC,LOC129533340,TRNAE-UUC,LOC134757814,TRNAE-UUC,TRNAE-UUC,LOC134757817,TRNAG-CCC,TRNAE-UUC,LOC129533277
GRFAM23	35	35	11	1	0.361	0.629	0	protein_coding	0	LOC109028162,LOC129523890,LOC115933558,LOC134756732,LOC115933574,AQP7,LOC129527211,LOC129526481,LOC129526259,LOC129526160,LOC129526162,LOC101138564,LOC129526488,LOC129526437,LOC115933310,LOC134757208,LOC134757206,LOC101138622,LOC129523556,LOC129527200,LOC129527201,LOC129527227,LOC129527242,LOC129527226,LOC129528472,LOC101144812,LOC129528182,LOC129528184,LOC129527662,LOC115933460,LOC129527390,LOC129527345,LOC101148457,SLC6A8,BCAP31
GRFAM24	34	34	3	1	1.000	1.000	0	protein_coding	0	LOC115934340,LOC101130785,LOC129524356,LOC134758998,LOC134758999,LOC129524371,LOC134759000,LOC129524360,LOC134759001,LOC134759002,LOC134759003,LOC129524357,LOC129524362,LOC129524358,LOC129524370,LOC129524369,LOC134759004,LOC129524363,LOC134759005,LOC129524364,LOC129524365,LOC129524368,LOC129524366,LOC129524367,LOC129524361,LOC129524359,LOC129524376,LOC129524373,LOC134759006,LOC129524372,LOC129524355,LOC134759007,LOC101126312,FAM90A1
GRFAM25	34	34	6	1	0.296	0.618	0	protein_coding	0	LOC129532801,LOC134756616,LOC134756386,LOC134756833,LOC134756387,LOC134756757,LOC115933199,LOC101136771,LOC129526391,LOC129531435,LOC129531883,LOC101143341,LOC115932799,LOC129531432,LOC115932742,LOC129531429,LOC115933152,LOC115931739,LOC109026553,LOC134757044,LOC115932915,LOC115931076,LOC129531453,LOC134757351,LOC115931040,LOC134757224,LOC134757366,LOC129531450,LOC134757223,LOC115933055,LOC129531448,LOC115931021,LOC115931038,CES4A
GRFAM26	33	33	2	1	0.517	0.576	0	protein_coding	0	TRNAI-AAU,ZNF839,ARSH,LOC134757903,LOC101136299,TRNAI-GAU,LOC129530063,LOC134757905,TRNAI-GAU,LOC129530062,LOC134757912,LOC129530064,TRNAI-GAU,LOC129530061,TRNAI-GAU,LOC134757902,LOC129530067,LOC134757914,LOC101135574,TRNAI-GAU,LOC134757920,LOC129530069,LOC115932367,LOC101152064,LOC115932322,LOC101137030,LOC129529678,LOC115932784,LOC115932783,LOC101138507,LOC101140413,LOC101141178,LOC115932374
GRFAM27	32	32	1	0	0.272	0.625	0	protein_coding	0	LOC134757957,LOC129530256,LOC134757949,LOC129530257,LOC129530258,LOC129530259,LOC129530263,LOC129530261,LOC129530264,LOC129530266,LOC129530267,LOC129530268,LOC134757956,LOC129530243,LOC129530239,LOC129530240,LOC129530238,LOC129530241,LOC129530242,LOC129530401,LOC129530249,LOC129530252,LOC134757960,LOC129530282,LOC134757961,LOC129530275,LOC129530277,LOC129530276,LOC129530278,LOC129530279,LOC129530280,LOC129530283
GRFAM28	32	32	6	1	0.204	0.844	0	lncRNA	0	LOC134758136,LOC129532621,LOC129532618,LOC134758139,LOC134758141,LOC134758140,LOC134758142,LOC134758143,LOC129534180,LOC129534169,LOC129523740,LOC115932930,LOC134758970,LOC129523817,LOC129525421,LOC134756488,LOC134756490,LOC134756489,LOC134756491,LOC134756492,LOC134759306,LOC134756493,LOC134759307,LOC134756494,LOC134759308,LOC134756495,LOC134759309,LOC134756496,LOC134757163,LOC129526713,LOC129526712,LOC129528378
GRFAM29	31	31	5	1	0.245	0.806	0	V_segment	0	LOC129531490,LOC109025174,LOC134757070,LOC101146834,LOC134757172,LOC134757146,LOC101129516,LOC109023154,LOC115930569,LOC101126025,LOC109023225,LOC101129135,LOC115930558,LOC101129864,LOC134757151,LOC134757161,LOC115930561,LOC101132386,LOC109023159,LOC101132759,LOC115930573,LOC129526474,LOC134757453,LOC115933101,LOC129527579,LOC134757490,LOC129527768,LOC101154298,LOC129527661,LOC115933463,LOC129527359
GRFAM30	31	31	1	0	0.682	0.935	0	miRNA	0	MIR515-1,MIR519E,MIR515-2,MIR519C-1,MIR525,MIR523,MIR518F,MIR519B,MIR518B,MIR518C,MIR524,MIR517C,MIR519D,LOC115931677,MIR517C-2,MIR520G,MIR516B-2,LOC129528679,MIR526A,MIR518E,MIR518D,MIR516B-1,MIR1283-1,MIR521,MIR522,MIR519A-1,MIR1283-2,MIR516A-1,MIR1283-3,MIR516A-2,MIR519A-2
GRFAM31	28	28	9	1	0.302	0.893	0	protein_coding	0	FGFR3,LETM1,LOC134756831,LOC115933202,LOC129523471,LOC129530537,LOC101147225,LOC101131725,LOC129530594,LOC134757033,LOC134757034,LOC134756946,LOC129531501,LOC134757056,LOC129531205,LOC129530536,LOC129530721,LOC134757411,LOC129530595,LOC129530592,LOC129530591,AMACR,C1QTNF3,TINCR,LOC115931637,LOC134757964,LOC115932716,LOC129530381
GRFAM32	26	26	5	1	0.268	0.923	0	protein_coding	0	NOC2L,LOC101131416,LOC101148384,LOC134756636,LOC101147293,LOC115933728,LOC115933730,LOC101147656,LOC101146937,LOC115933763,LOC129532216,LOC109025943,TUBA3E,LOC109025979,LOC101134642,LOC115930154,PHF2,LOC129523500,LOC115932675,LOC129526433,LOC129526434,LOC129527240,LOC109029477,LOC109029367,LOC101136583,LOC101137311
GRFAM33	26	26	2	1	0.360	0.577	0	protein_coding	0	ZC3H11B,LOC129534465,LOC129534410,ZC3H11C,LOC101154628,LOC129534411,LOC129534179,LOC129534225,LOC115933154,LOC115933153,LOC115933063,LOC129534079,LOC129534073,LOC115936187,LOC129534074,LOC129534078,LOC134758745,LOC129534080,LOC129534075,LOC134758674,LOC129534082,LOC101123746,LOC129534219,LOC129534252,LOC134758746,LOC101125574
GRFAM34	25	25	1	0	1.000	1.000	0	protein_coding	0	LOC101140852,LOC129526367,LOC129526467,LOC129526373,LOC129526372,LOC129526463,LOC129526371,LOC134757062,LOC134757063,LOC129526462,LOC134757064,LOC129526459,LOC129526460,LOC129526461,LOC129526457,LOC129526458,LOC134757065,LOC129526370,LOC134757066,LOC134757067,LOC129526452,LOC129526455,LOC134757068,LOC134757069,LOC129526352
GRFAM35	25	25	2	1	0.270	0.920	0	protein_coding	0	LOC101145738,LOC101146458,LOC115936245,LOC129525299,LOC115936243,LOC101124042,LOC101138016,TRIM51,UBTFL1,LOC115932712,LOC115932791,LOC115932790,LOC101149329,LOC101151746,LOC101151378,LOC129525445,LOC115936253,LOC129523488,LOC101153544,LOC115933568,LOC115933342,LOC115933540,LOC129531716,LOC101134418,LOC101138028
