gene_a	gene_b	in_rna	in_dna_loose	in_dna_whole	n_tied	expr_a	expr_b	cross_map	chrom_a	chrom_b	same_chrom	dist_bp	id	cov_a	cov_b
ACTR3B	LOC129526381	0	1	0	0	1	0	0	NC_073230.2	NC_073239.2	0	-1	0.9062	0.199	0.637
ACTR3B	LOC129531693	0	1	0	0	1	1	0	NC_073230.2	NC_073236.2	0	-1	0.9358	0.172	0.302
ACTR3B	LOC129532034	0	1	0	0	1	0	0	NC_073230.2	NC_073235.2	0	-1	0.9759	0.000	0.503
ACTR3B	LOC129533042	0	1	0	0	1	1	0	NC_073230.2	NC_073227.2	0	-1	0.9118	0.000	0.310
ACTR3B	LOC134758722	0	1	0	0	1	1	0	NC_073230.2	NC_073229.2	0	-1	0.9392	0.000	0.565
ADAL	LCMT2	0	1	0	0	1	1	0	NC_073240.2	NC_073240.2	1	1692	1.0000	0.235	0.388
ADAMTS7	LOC101127226	0	1	0	0	1	1	0	NC_073240.2	NC_073240.2	1	6830517	0.9572	0.409	0.000
ADAMTS7	LOC109023513	0	1	1	0	1	0	0	NC_073240.2	NC_073240.2	1	788967	0.9230	0.640	0.829
ADAMTS7	LOC115933405	0	1	0	0	1	1	0	NC_073240.2	NC_073240.2	1	6610399	0.9625	0.409	0.574
ADGRA3	LOC129528335	0	1	0	0	1	1	0	NC_073227.2	NC_073241.2	0	-1	0.9724	0.325	0.253
ADGRE5	LOC101140763	0	1	0	0	1	0	0	NC_073244.2	NC_073244.2	1	361304	0.9730	0.277	0.358
ADH1B	LOC101136823	0	1	0	0	1	1	0	NC_073227.2	NC_073227.2	1	30060	0.9431	0.380	0.513
ADH1B	LOC101142845	0	1	0	0	1	1	0	NC_073227.2	NC_073227.2	1	29965	0.9292	0.465	0.858
ADH5	LOC101125574	0	1	0	0	1	0	1	NC_073227.2	NC_073229.2	0	-1	0.9633	0.474	0.000
ADH5	LOC129534179	0	1	0	0	1	0	1	NC_073227.2	NC_073229.2	0	-1	0.9645	0.469	0.000
ADH5	LOC129534225	0	1	0	0	1	0	1	NC_073227.2	NC_073229.2	0	-1	0.9625	0.454	0.000
ADIPOQ	LOC109026159	0	1	1	0	0	1	0	NC_086017.1	NC_086017.1	1	9798	0.9370	0.954	0.541
ADM2	LOC134758164	0	1	0	0	1	0	0	NC_086018.1	NC_086018.1	1	1949	1.0000	0.151	0.637
ADPRHL1	LOC134758115	0	1	0	0	1	1	0	NC_073238.2	NC_086017.1	0	-1	0.9136	0.000	0.486
ADSS2	LOC134758419	0	1	0	0	1	1	0	NC_073224.2	NC_073228.2	0	-1	0.9217	0.290	0.411
AFG3L2	LOC134757421	0	1	0	0	1	0	0	NC_073241.2	NC_073241.2	1	429	1.0000	0.123	0.566
AGAP5	AGAP6	1	1	0	4	1	1	1	NC_073232.2	NC_073232.2	1	23815001	0.9831	0.782	0.150
AGAP5	FAM25A	0	1	0	0	1	0	1	NC_073232.2	NC_073232.2	1	57355067	0.9803	0.163	0.776
AGAP5	LOC101141934	0	1	1	0	1	1	1	NC_073232.2	NC_073232.2	1	27634469	0.9846	0.720	0.697
AGAP5	LOC101143406	1	1	0	11	1	1	1	NC_073232.2	NC_073232.2	1	26562316	0.9932	1.000	0.229
AGAP5	LOC101144261	1	1	1	12	1	1	1	NC_073232.2	NC_073232.2	1	26290082	0.9911	0.720	0.526
AGAP5	LOC109024846	0	1	0	0	1	1	1	NC_073232.2	NC_073232.2	1	57284455	0.9673	0.720	0.429
AGAP5	LOC129525002	1	0	0	3	1	1	1	NC_073232.2	NC_073232.2	1	26265898	0.0000	0.000	0.000
AGAP5	LOC129525008	1	1	0	7	1	1	1	NC_073232.2	NC_073232.2	1	27422236	0.9831	0.782	0.156
AGAP5	LOC129525050	1	1	1	6	1	1	1	NC_073232.2	NC_073232.2	1	23603014	0.9858	0.781	0.866
AGAP6	LOC101141934	1	1	0	3	1	1	1	NC_073232.2	NC_073232.2	1	3819468	0.9897	0.160	0.808
AGAP6	LOC101143406	0	1	1	0	1	1	1	NC_073232.2	NC_073232.2	1	2747315	0.9443	0.626	0.729
AGAP6	LOC101144261	1	1	0	6	1	1	1	NC_073232.2	NC_073232.2	1	2475081	0.9842	0.160	0.611
AGAP6	LOC109024846	0	1	0	0	1	1	1	NC_073232.2	NC_073232.2	1	33469454	0.9681	0.150	0.466
AGAP6	LOC115935978	0	1	0	0	1	0	1	NC_073232.2	NC_073232.2	1	234051	0.9553	0.000	0.579
AGAP6	LOC129525008	1	1	1	10	1	1	1	NC_073232.2	NC_073232.2	1	3607235	0.9715	0.656	0.680
AGAP6	LOC129525050	1	1	0	9	1	1	1	NC_073232.2	NC_073232.2	1	211987	0.9909	0.173	1.000
AHCTF1	LOC101139146	0	1	1	0	1	0	0	NC_073224.2	NC_073235.2	0	-1	0.9862	0.954	0.998
AHCTF1	LOC129531890	0	1	0	0	1	1	1	NC_073224.2	NC_073235.2	0	-1	0.9835	0.000	0.634
AJM1	PHPT1	0	1	0	0	0	1	0	NC_073237.2	NC_073237.2	1	6135	1.0000	0.232	0.509
AK6	LOC115934278	1	1	1	24	1	1	1	NC_073243.2	NC_073227.2	0	-1	0.9962	0.839	1.000
AKR1B10	LOC101146188	0	1	1	0	1	1	0	NC_073230.2	NC_073230.2	1	64040	0.9498	0.632	0.604
AKR1B10	LOC115935241	0	1	0	0	1	1	0	NC_073230.2	NC_073230.2	1	35438	0.9802	0.559	0.294
AKR1C3	LOC101146324	0	1	0	0	1	1	0	NC_073232.2	NC_073232.2	1	43610	0.9051	0.394	0.767
AKR1C3	LOC115936027	0	1	0	0	1	1	1	NC_073232.2	NC_073232.2	1	70264	0.9073	0.400	0.000
AKR7A2	LOC101150628	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	37751	0.9291	0.693	0.387
AKR7A2	LOC115933748	0	1	1	0	1	1	0	NC_073224.2	NC_073224.2	1	22680	0.9189	0.689	0.520
ALDH1B1	LOC115935842	1	1	1	526	1	1	1	NC_073237.2	NC_073236.2	0	-1	0.9745	0.989	0.835
ALDH1B1	LOC129524687	1	1	1	367	1	1	1	NC_073237.2	NC_073237.2	1	7130200	0.9688	0.969	0.870
ALDH1B1	LOC129524766	0	1	1	0	1	0	0	NC_073237.2	NC_073237.2	1	7130200	0.9868	0.609	0.810
ALDH3B1	LOC129525271	0	1	0	0	1	0	0	NC_073233.2	NC_073233.2	1	17766	1.0000	0.232	0.399
ALDH7A1	LOC101149382	0	1	0	0	1	0	1	NC_073228.2	NC_073243.2	0	-1	0.9717	0.490	0.404
ALG1	ALG1L1P	0	1	0	0	1	1	0	NC_073242.2	NC_086017.1	0	-1	0.9603	0.403	0.000
ALG1	LOC101130727	0	1	0	0	1	1	0	NC_073242.2	NC_073233.2	0	-1	0.9568	0.350	0.547
ALG1	LOC109023085	0	1	0	0	1	1	0	NC_073242.2	NC_073227.2	0	-1	0.9394	0.354	0.998
ALG1	LOC109027697	0	1	0	0	1	1	0	NC_073242.2	NC_073233.2	0	-1	0.9585	0.374	0.308
ALG10	ALG10B	0	1	0	0	1	1	1	NC_073234.2	NC_073234.2	1	4194422	0.9403	0.393	0.257
ALG1L1P	LOC101130727	0	1	0	0	1	1	1	NC_086017.1	NC_073233.2	0	-1	0.9697	0.000	0.491
ALG1L1P	LOC109023085	0	1	0	0	1	1	0	NC_086017.1	NC_073227.2	0	-1	0.9547	0.000	0.849
ALG1L2	LOC109027697	0	1	0	0	0	1	0	NC_086017.1	NC_073233.2	0	-1	0.9511	0.359	0.000
AMDHD2	CEMP1	0	1	0	0	1	0	0	NC_073242.2	NC_073242.2	1	9827	0.9976	0.256	1.000
AMY2A	AMY2B	0	1	1	0	1	1	1	NC_073224.2	NC_073224.2	1	46175	0.9839	0.949	0.701
AMY2A	LOC101133335	1	1	1	3	1	1	1	NC_073224.2	NC_073224.2	1	40808	0.9823	0.931	1.000
AMY2B	LOC101133335	0	1	1	0	1	1	1	NC_073224.2	NC_073224.2	1	86983	0.9798	0.686	0.998
ANAPC1	LOC109025714	0	1	1	0	1	1	1	NC_073236.2	NC_073236.2	1	3488967	0.9897	0.512	0.935
ANAPC1	LOC115933561	0	1	0	0	1	1	1	NC_073236.2	NC_073236.2	1	2092992	0.9261	0.176	0.598
ANAPC1	LOC129531482	0	1	0	0	1	1	1	NC_073236.2	NC_073236.2	1	5139545	0.9879	0.000	0.498
ANAPC1	LOC134756741	0	1	0	0	1	0	1	NC_073236.2	NC_073236.2	1	3361804	0.9911	0.000	0.841
ANAPC1	LOC134756742	0	1	0	0	1	0	1	NC_073236.2	NC_073236.2	1	3559064	0.9874	0.000	0.927
ANAPC15	LOC101137381	0	1	0	0	1	0	0	NC_073233.2	NC_073247.2	0	-1	0.9081	0.434	1.000
ANK2	GNB1L	1	0	0	11	1	1	1	NC_073227.2	NC_086018.1	0	-1	0.0000	0.000	0.000
ANK2	LOC101150578	1	0	0	70	1	1	1	NC_073227.2	NC_073241.2	0	-1	0.0000	0.000	0.000
ANK2	LOC134758355	0	1	0	0	1	1	0	NC_073227.2	NC_073227.2	1	631773	1.0000	0.000	0.440
ANK2	SEMA6D	1	0	0	12	1	1	1	NC_073227.2	NC_073240.2	0	-1	0.0000	0.000	0.000
ANKRD18A	ANKRD18B	1	1	1	38	1	1	1	NC_073237.2	NC_073237.2	1	7092702	0.9807	0.999	0.881
ANKRD18A	LOC101142783	1	1	1	100	1	1	1	NC_073237.2	NC_073237.2	1	5009800	0.9888	0.544	0.622
ANKRD18A	LOC101147259	0	1	0	0	1	1	0	NC_073237.2	NC_073237.2	1	69099648	0.9298	0.000	0.959
ANKRD18A	LOC115933254	1	1	1	79	1	1	1	NC_073237.2	NC_073236.2	0	-1	0.9305	0.617	0.860
ANKRD18B	LOC101125723	0	1	0	0	1	0	0	NC_073237.2	NC_086018.1	0	-1	0.9016	0.000	0.344
ANKRD18B	LOC101142783	1	1	1	11	1	1	1	NC_073237.2	NC_073237.2	1	2082902	0.9300	0.597	0.790
ANKRD18B	LOC101147259	0	1	1	0	1	1	0	NC_073237.2	NC_073237.2	1	62006946	0.9311	0.881	0.958
ANKRD18B	LOC109024803	0	1	0	0	1	0	0	NC_073237.2	NC_073235.2	0	-1	0.9106	0.000	0.665
ANKRD18B	LOC115933254	1	1	1	53	1	1	1	NC_073237.2	NC_073236.2	0	-1	0.9189	0.571	0.892
ANKRD18B	LOC129526400	0	1	0	0	1	0	0	NC_073237.2	NC_073238.2	0	-1	0.9550	0.000	0.343
ANKRD30A	LOC129526428	0	1	0	0	1	1	0	NC_073232.2	NC_073238.2	0	-1	0.9038	0.000	0.476
ANKRD36C	LOC101125154	1	0	0	17	1	1	1	NC_073236.2	NC_073236.2	1	1317508	0.8784	0.824	0.929
ANKRD36C	LOC109025523	1	1	0	4	1	1	1	NC_073236.2	NC_073236.2	1	1572540	0.9125	0.502	0.331
ANKRD36C	LOC129530340	0	1	0	0	1	1	1	NC_073236.2	NC_073248.2	0	-1	0.9105	0.000	0.448
ANP32A	ANP32D	0	1	0	0	1	0	0	NC_073240.2	NC_073234.2	0	-1	0.9253	0.360	1.000
ANP32E	LOC109029066	0	1	1	0	1	1	1	NC_073224.2	NC_073234.2	0	-1	0.9849	0.961	0.949
ANTXRL	LOC115936025	0	1	0	0	1	1	0	NC_073232.2	NC_073232.2	1	735046	0.9636	0.324	0.613
ANXA2	LOC101145465	0	1	0	0	1	1	1	NC_073240.2	NC_073237.2	0	-1	0.9832	0.358	0.837
AP1S2	LOC115931299	0	1	0	0	1	0	0	NC_073247.2	NC_073243.2	0	-1	0.9925	0.000	0.846
AP2B1	LOC101146197	0	1	0	0	1	0	1	NC_073228.2	NC_073247.2	0	-1	0.9477	0.483	0.998
AP3B1	LOC115932769	1	1	0	52	1	1	1	NC_073243.2	NC_073230.2	0	-1	0.9922	0.397	0.428
AP3S1	LOC101146685	0	1	0	0	1	0	1	NC_073228.2	NC_073224.2	0	-1	0.9661	0.707	0.454
AP3S1	LOC115931023	0	1	1	0	1	0	1	NC_073228.2	NC_073242.2	0	-1	0.9789	0.634	0.986
APOBEC3D	APOBEC3F	0	1	0	0	1	1	0	NC_086018.1	NC_086018.1	1	19785	0.9016	0.556	0.338
APOC1	LOC109024151	0	1	1	0	1	0	0	NC_073244.2	NC_073244.2	1	10753	0.9179	0.626	0.775
APOL4	TIMM23	0	1	0	0	1	1	0	NC_086018.1	NC_073232.2	0	-1	0.9121	0.317	0.000
APTX	ASS1	0	1	0	0	1	1	0	NC_073237.2	NC_073237.2	1	95951662	0.9306	0.241	0.378
AQP12A	LOC101135498	0	1	1	0	0	1	1	NC_073235.2	NC_073235.2	1	16753	1.0000	1.000	0.842
AQP7	LOC129526160	0	1	0	0	1	1	1	NC_073237.2	NC_073238.2	0	-1	0.9484	0.798	0.289
AQP7	LOC129527226	0	1	0	0	1	0	1	NC_073237.2	NC_073240.2	0	-1	0.9856	0.195	0.430
AQR	LOC101133427	1	0	0	8	1	0	1	NC_073240.2	NC_073230.2	0	-1	0.0000	0.000	0.000
ARF4	LOC129524725	0	1	0	0	1	0	0	NC_086017.1	NC_073237.2	0	-1	0.9542	0.224	0.977
ARFGEF3	PBOV1	0	1	0	0	1	0	0	NC_073229.2	NC_073229.2	1	55888	0.9976	0.000	1.000
ARG2	VTI1B	0	1	0	0	1	1	0	NC_073239.2	NC_073239.2	1	29674	1.0000	0.310	0.000
ARHGAP21	LOC101131829	0	1	1	0	1	1	1	NC_073232.2	NC_073229.2	0	-1	0.9749	0.852	1.000
ARHGAP23	LOC101138564	0	1	0	0	1	0	0	NC_073228.2	NC_073238.2	0	-1	0.9727	0.223	0.831
ARHGAP23	LOC115933558	0	1	0	0	1	1	0	NC_073228.2	NC_073236.2	0	-1	0.9705	0.241	0.834
ARHGAP23	LOC129526481	0	1	0	0	1	1	0	NC_073228.2	NC_073238.2	0	-1	0.9703	0.000	0.399
ARHGAP23	LOC129527200	0	1	0	0	1	0	1	NC_073228.2	NC_073240.2	0	-1	0.9576	0.262	0.899
ARHGAP23	LOC129527211	0	1	0	0	1	1	0	NC_073228.2	NC_073238.2	0	-1	0.9502	0.227	0.977
ARHGAP23	LOC129527345	0	1	0	0	1	1	0	NC_073228.2	NC_073242.2	0	-1	0.9672	0.267	0.672
ARHGAP33	LOC129528504	0	1	0	0	1	0	0	NC_073244.2	NC_073244.2	1	12971	1.0000	0.000	0.300
ARHGAP42	LOC101145879	0	1	0	0	1	1	0	NC_073233.2	NC_073239.2	0	-1	0.9382	0.326	0.629
ARHGEF38	DDX50	0	1	0	0	1	1	0	NC_073227.2	NC_073232.2	0	-1	0.9143	0.000	0.475
ARHGEF7	LOC115931432	1	0	0	24	1	1	1	NC_073238.2	NC_073242.2	0	-1	0.0000	0.000	0.000
ARHGEF7	LOC129525065	1	0	0	23	1	1	1	NC_073238.2	NC_073232.2	0	-1	0.0000	0.000	0.000
ARL16	LOC109028384	0	1	0	0	1	0	0	NC_073228.2	NC_073224.2	0	-1	0.9614	0.200	0.952
ARL17A	LOC115933002	1	0	0	9	1	1	1	NC_073228.2	NC_073228.2	1	1035828	0.0000	0.000	0.000
ARL17A	LOC134758431	1	0	0	62	1	1	1	NC_073228.2	NC_073228.2	1	251086	0.0000	0.000	0.000
ARL17A	LOC134758434	1	0	0	47	1	1	1	NC_073228.2	NC_073228.2	1	1056820	0.0000	0.000	0.000
ARL4A	LOC101135338	0	1	0	0	1	0	0	NC_073230.2	NC_073232.2	0	-1	0.9077	0.365	0.930
ARL4A	LOC115934320	0	1	0	0	1	0	0	NC_073230.2	NC_073227.2	0	-1	0.9832	0.344	1.000
ARL4A	LOC129534288	0	1	0	0	1	0	1	NC_073230.2	NC_073229.2	0	-1	0.9732	0.324	0.308
ARL5A	LOC101135389	0	1	0	0	1	0	1	NC_073235.2	NC_073240.2	0	-1	0.9892	0.276	0.993
ARL5A	LOC134757235	0	1	0	0	1	0	1	NC_073235.2	NC_073240.2	0	-1	0.9934	0.228	0.988
ARL6IP4	OGFOD2	0	1	0	0	1	1	0	NC_073234.2	NC_073234.2	1	4077	0.9423	0.429	0.514
ARMC9	LOC109026571	0	1	0	0	1	1	0	NC_073235.2	NC_073227.2	0	-1	0.9095	0.000	0.398
ARPC2	SPC25	0	1	0	0	1	1	0	NC_073235.2	NC_073235.2	1	49560781	0.9492	0.000	0.332
ARPP19	LOC101126478	0	1	0	0	1	0	0	NC_073240.2	NC_073236.2	0	-1	0.9452	0.000	0.777
ARSF	LOC134757903	0	1	0	0	0	0	0	NC_073247.2	NC_073247.2	1	979279	0.9740	0.187	0.538
ARSF	LOC134757905	0	1	0	0	0	1	0	NC_073247.2	NC_073247.2	1	736714	0.9971	0.141	0.462
ARSF	LOC134757912	0	1	0	0	0	0	0	NC_073247.2	NC_073247.2	1	487852	0.9971	0.141	0.462
ARSF	LOC134757914	0	1	0	0	0	0	0	NC_073247.2	NC_073247.2	1	741078	0.9971	0.141	0.462
ARSF	LOC134757920	0	1	0	0	0	0	0	NC_073247.2	NC_073247.2	1	993759	0.9740	0.187	0.538
ARSH	LOC129530064	1	0	0	8	1	0	1	NC_073247.2	NC_073247.2	1	666296	0.0000	0.000	0.000
ARSH	LOC134757902	1	0	0	18	1	0	1	NC_073247.2	NC_073247.2	1	948071	0.0000	0.000	0.000
ARSH	LOC134757931	1	0	0	3	1	0	1	NC_073247.2	NC_073247.2	1	2142129	0.0000	0.000	0.000
ARSH	LOC134758403	1	0	0	6	1	1	1	NC_073247.2	NC_073227.2	0	-1	0.0000	0.000	0.000
ARSH	TRNAI-GAU	1	0	0	16	1	1	1	NC_073247.2	NC_073247.2	1	185862	0.0000	0.000	0.000
ASB6	NTMT1	0	1	0	0	1	1	0	NC_073237.2	NC_073237.2	1	14608	1.0000	0.000	0.344
ASB9	LOC101141853	0	1	0	0	1	1	0	NC_073247.2	NC_073240.2	0	-1	0.9033	0.947	0.318
ASDURF	ASNSD1	0	1	0	0	1	1	0	NC_073235.2	NC_073235.2	1	4679	1.0000	0.385	0.128
ASH1L	LOC101132842	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	1072	0.9967	0.000	0.345
ASNS	LOC101151828	0	1	0	0	1	1	0	NC_073230.2	NC_073231.2	0	-1	0.9432	0.211	0.608
ASNS	LOC115936283	0	1	0	0	1	0	0	NC_073230.2	NC_073233.2	0	-1	0.9333	0.000	0.404
ATAD3C	LOC101147150	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	64032	0.9421	0.901	0.349
ATAD3C	LOC129532554	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	26814	0.9259	0.901	0.189
ATAD5	TEFM	0	1	0	0	1	1	0	NC_073228.2	NC_073228.2	1	66953	1.0000	0.000	0.328
ATF4	LOC101153927	0	1	1	0	1	0	0	NC_086018.1	NC_073228.2	0	-1	0.9658	0.704	0.946
ATG10	LOC129524691	0	1	0	0	1	0	0	NC_073228.2	NC_073237.2	0	-1	0.9153	0.000	0.344
ATG10	LOC129526164	0	1	0	0	1	1	0	NC_073228.2	NC_073238.2	0	-1	0.9197	0.000	0.368
ATG10	LOC129527394	0	1	0	0	1	0	0	NC_073228.2	NC_073242.2	0	-1	0.9470	0.000	0.638
ATG10	LOC129533522	0	1	0	0	1	1	0	NC_073228.2	NC_073228.2	1	80056548	0.9028	0.000	0.495
ATG10	LOC134757446	0	1	0	0	1	0	0	NC_073228.2	NC_073242.2	0	-1	0.9167	0.000	0.350
ATG10	RIPOR2	1	0	0	24	1	1	1	NC_073228.2	NC_073229.2	0	-1	0.0000	0.000	0.000
ATG12	LOC101138073	0	1	0	0	1	0	0	NC_073228.2	NC_073228.2	1	100774791	0.9601	0.175	0.950
ATP1B3	LOC101143506	1	1	1	11	1	1	1	NC_086017.1	NC_073237.2	0	-1	0.9903	0.632	0.909
ATP2A3	LOC115932652	0	1	1	0	1	1	1	NC_073243.2	NC_073228.2	0	-1	0.9815	0.506	0.936
ATP5F1E	LOC109029312	0	1	1	0	1	0	1	NC_073245.2	NC_073238.2	0	-1	0.9670	0.818	0.960
ATP5MC1	LOC101138209	0	1	1	0	1	0	0	NC_073228.2	NC_073241.2	0	-1	0.9246	0.617	1.000
ATP5MC1	LOC101144419	0	1	1	0	1	0	0	NC_073228.2	NC_073238.2	0	-1	0.9202	0.565	0.995
ATP5MC1	LOC101144921	0	1	1	0	1	0	0	NC_073228.2	NC_073239.2	0	-1	0.9209	0.850	0.570
ATP5MF	LOC101124099	0	1	0	0	1	0	1	NC_073230.2	NC_073229.2	0	-1	0.9645	0.450	0.858
ATP5MG	UBE4A	0	1	0	0	1	1	0	NC_073233.2	NC_073233.2	1	37293	1.0000	0.480	0.413
ATP5MK	LOC101130654	0	1	0	0	1	0	1	NC_073232.2	NC_073247.2	0	-1	0.9644	0.345	0.928
ATP6V1C2	PDIA6	0	1	0	0	1	1	0	NC_073236.2	NC_073236.2	1	26835	1.0000	0.316	0.324
ATP6V1D	PALS1	0	1	0	0	1	1	0	NC_073239.2	NC_073239.2	1	94606	1.0000	0.465	0.390
ATP6V1F	LOC109029005	0	1	0	0	1	0	0	NC_073230.2	NC_073234.2	0	-1	0.9536	0.411	0.958
AURKA	LOC109028275	0	1	0	0	1	0	1	NC_073245.2	NC_073224.2	0	-1	0.9471	0.787	0.348
AVL9	LOC109027749	0	1	0	0	1	1	0	NC_073230.2	NC_073230.2	1	84066	1.0000	0.316	0.573
AZIN2	LOC134757576	0	1	0	0	1	1	0	NC_073224.2	NC_073224.2	1	38459	1.0000	0.482	0.574
B4GALNT2	LOC129523657	0	1	0	0	1	1	0	NC_073228.2	NC_073230.2	0	-1	0.9142	0.000	0.685
B9D1	EPN2	0	1	0	0	1	1	0	NC_073228.2	NC_073228.2	1	26268	1.0000	0.546	0.454
BACE1	RNF214	0	1	0	0	1	1	0	NC_073233.2	NC_073233.2	1	54715	1.0000	0.701	0.372
BAIAP2L1	LOC101132345	1	0	0	294	1	0	1	NC_073230.2	NC_073232.2	0	-1	0.0000	0.000	0.000
BANF1	LOC101148624	0	1	1	0	1	0	1	NC_073233.2	NC_073235.2	0	-1	0.9715	0.684	0.888
BAZ1A	LOC129526206	1	0	0	5	1	1	1	NC_073239.2	NC_073238.2	0	-1	0.0000	0.000	0.000
BBS1	LOC129525261	0	1	0	0	1	0	0	NC_073233.2	NC_073233.2	1	21637	1.0000	0.195	1.000
BCAP31	LOC115933460	0	1	0	0	1	0	1	NC_073247.2	NC_073242.2	0	-1	0.9626	0.366	0.710
BCAS3	LOC101152273	1	0	0	52	1	0	1	NC_073228.2	NC_073244.2	0	-1	0.0000	0.000	0.000
BCAS3	LOC101152815	1	0	0	54	1	0	1	NC_073228.2	NC_073233.2	0	-1	0.0000	0.000	0.000
BCAS4	CCDC30	1	0	0	962	1	1	1	NC_073245.2	NC_073224.2	0	-1	0.0000	0.000	0.000
BCAS4	LOC101131259	1	0	0	3	1	0	1	NC_073245.2	NC_073231.2	0	-1	0.0000	0.000	0.000
BCAS4	SLC27A4	1	0	0	5	1	1	1	NC_073245.2	NC_073237.2	0	-1	0.0000	0.000	0.000
BCO2	CCDC62	0	1	0	0	1	1	0	NC_073233.2	NC_073234.2	0	-1	0.9271	0.337	0.000
BCO2	KHDC1	0	1	0	0	1	1	0	NC_073233.2	NC_073229.2	0	-1	0.9185	0.385	0.000
BCO2	LOC101128712	0	1	0	0	1	1	0	NC_073233.2	NC_073244.2	0	-1	0.9226	0.385	0.000
BCO2	LOC109027309	0	1	0	0	1	1	0	NC_073233.2	NC_073229.2	0	-1	0.9242	0.000	0.399
BCO2	LOC115935329	0	1	0	0	1	1	0	NC_073233.2	NC_073230.2	0	-1	0.9116	0.385	0.498
BCO2	LOC129525958	0	1	0	0	1	1	0	NC_073233.2	NC_073234.2	0	-1	0.9148	0.000	0.610
BCO2	LOC129526806	0	1	0	0	1	1	0	NC_073233.2	NC_073239.2	0	-1	0.9027	0.325	0.000
BCO2	LOC129529105	0	1	0	0	1	1	0	NC_073233.2	NC_073245.2	0	-1	0.9123	0.385	0.000
BCO2	LOC129531833	0	1	0	0	1	0	0	NC_073233.2	NC_073236.2	0	-1	0.9242	0.338	0.686
BCO2	LOC129534406	0	1	0	0	1	1	0	NC_073233.2	NC_073229.2	0	-1	0.9147	0.365	0.345
BCO2	LOC134757115	0	1	0	0	1	1	0	NC_073233.2	NC_073239.2	0	-1	0.9124	0.382	0.000
BCO2	LOC134757970	0	1	0	0	1	0	0	NC_073233.2	NC_086017.1	0	-1	0.9186	0.337	0.356
BCO2	MAB21L3	0	1	0	0	1	1	0	NC_073233.2	NC_073224.2	0	-1	0.9053	0.385	0.000
