chrom	start	end	n_isoforms	n_fsm
NC_073224.2	52131224	52146179	2	0
NC_073224.2	52606125	52623197	1	1
NC_073224.2	52688619	52738249	1	0
NC_073224.2	52798151	52840016	1	0
NC_073224.2	52915348	52922841	2	0
NC_073224.2	52923066	52958506	13	0
NC_073224.2	53019417	53070229	1	0
NC_073224.2	53567262	53575095	1	0
NC_073224.2	53728823	53746725	6	0
NC_073224.2	53824977	53861869	3	1
NC_073224.2	53956302	54018923	1	0
NC_073224.2	54181584	54225018	1	0
NC_073224.2	54322330	54413734	1	0
NC_073224.2	54439047	54546944	6	3
NC_073224.2	54598516	54613646	2	0
NC_073224.2	54877044	54932750	7	0
NC_073224.2	54936529	54967849	1	0
NC_073224.2	55227889	55232546	1	0
NC_073224.2	55255274	55279154	1	0
NC_073224.2	55692940	55723058	1	0
NC_073224.2	55889001	56026024	3	0
NC_073224.2	56072375	56076305	1	0
NC_073224.2	56147827	56216072	1	0
NC_073224.2	56580428	56716813	1	0
NC_073224.2	56797734	56810249	1	0
NC_073224.2	56976841	56994618	1	0
NC_073224.2	57015112	57021532	1	0
NC_073224.2	57593043	57597099	1	0
NC_073224.2	58834165	58850797	1	0
NC_073224.2	58997546	59255108	1	0
NC_073224.2	59283730	59561500	7	0
NC_073224.2	59617509	59662767	8	0
NC_073224.2	59755237	59766338	1	0
NC_073224.2	60021898	60117619	1	0
NC_073224.2	60277593	60545257	4	0
NC_073224.2	63291350	63305746	1	0
NC_073224.2	63703143	63748412	4	0
NC_073224.2	63848294	63851913	1	0
NC_073224.2	63955356	64010610	1	0
NC_073224.2	64518222	64563230	1	0
NC_073224.2	64748579	64795412	1	0
NC_073224.2	64848693	65022910	1	0
NC_073224.2	66288054	66308487	2	0
NC_073224.2	66319326	66323922	1	0
NC_073224.2	69073368	69287498	1	0
NC_073224.2	69774416	69934249	3	0
NC_073224.2	70190069	70195052	1	0
NC_073224.2	70239808	70335484	2	0
NC_073224.2	70384176	70409497	1	0
NC_073224.2	70781712	70911267	1	0
NC_073224.2	71385808	71392058	1	0
NC_073224.2	71445226	71466335	2	0
NC_073224.2	71470529	71645799	13	1
NC_073224.2	71658429	71720067	1	0
NC_073224.2	71791886	71965776	1	0
NC_073224.2	72003392	72068959	3	2
NC_073224.2	72120807	72123487	1	0
NC_073224.2	72152952	72156186	1	0
NC_073224.2	72706379	72823606	1	0
NC_073224.2	73166687	73203634	1	1
NC_073224.2	73204961	73288061	2	0
NC_073224.2	73529699	73584486	1	0
NC_073224.2	73617224	73741480	1	0
NC_073224.2	73884149	73933009	2	0
NC_073224.2	73941370	73983224	4	0
NC_073224.2	74099153	74173617	1	0
NC_073224.2	74182929	74198664	1	0
NC_073224.2	74216118	74329352	1	0
NC_073224.2	74395904	74401535	1	0
NC_073224.2	75007903	75061667	1	0
NC_073224.2	75359329	75365499	1	0
NC_073224.2	75635788	75636277	1	0
NC_073224.2	75667461	75669385	1	0
NC_073224.2	75754152	75778267	3	0
NC_073224.2	75965640	76174503	1	0
NC_073224.2	76464478	76519794	1	0
NC_073224.2	76529032	76559701	1	0
NC_073224.2	76713809	76785329	1	0
NC_073224.2	76923645	76967840	2	0
NC_073224.2	77117922	77217804	1	1
NC_073224.2	77218283	77223912	1	0
NC_073224.2	77244655	77249690	1	0
NC_073224.2	77274094	77439755	2	0
NC_073224.2	77707991	77725619	1	0
NC_073224.2	77878898	78065030	4	1
NC_073224.2	78315188	78484343	1	0
NC_073224.2	78745307	78855056	4	1
NC_073224.2	80509302	80539211	1	0
NC_073224.2	80540054	80551696	1	0
NC_073224.2	81808071	82115949	1	0
NC_073224.2	82372370	82689607	5	0
NC_073224.2	82726002	82809744	2	1
NC_073224.2	82833335	82846731	1	0
NC_073224.2	82880812	82884902	2	0
NC_073224.2	82910604	82949381	2	1
NC_073224.2	83140507	83230574	2	0
NC_073224.2	83273952	83334177	4	0
NC_073224.2	83349269	83353537	1	0
NC_073224.2	83555764	83580324	1	1
NC_073224.2	84142956	84220477	1	0
NC_073224.2	84287626	84296567	1	0
NC_073224.2	84334481	84911414	4	0
NC_073224.2	84961527	84978080	2	0
NC_073224.2	85022889	85065651	4	0
NC_073224.2	85125503	85128821	1	0
NC_073224.2	85172079	85177472	1	0
NC_073224.2	85178879	85185139	1	0
NC_073224.2	85185789	85222699	1	0
NC_073224.2	85382767	85427754	1	0
NC_073224.2	85551081	85578184	2	0
NC_073224.2	86025638	86032132	1	0
NC_073224.2	86208242	86253620	5	0
NC_073224.2	86525334	86529147	1	0
NC_073224.2	86598011	86670386	1	0
NC_073224.2	86691536	86843554	1	0
NC_073224.2	86870387	86969582	7	2
NC_073224.2	87274681	87296754	1	0
NC_073224.2	88452933	88473264	1	0
NC_073224.2	88562482	88585799	1	0
NC_073224.2	88658608	88687991	2	0
NC_073224.2	88688316	88824492	7	1
NC_073224.2	88972728	89052417	1	1
NC_073224.2	89308956	89311676	1	0
NC_073224.2	89325572	89335306	1	0
NC_073224.2	89758494	89792597	1	0
NC_073224.2	89805649	89876436	3	1
NC_073224.2	89904713	89924739	1	0
NC_073224.2	89926774	89941315	1	0
NC_073224.2	90320050	90322980	1	0
NC_073224.2	91111861	91136910	1	0
NC_073224.2	91410428	91414074	1	0
NC_073224.2	91517356	91565119	2	0
NC_073224.2	92194866	92199155	1	0
NC_073224.2	93945844	93974267	1	0
NC_073224.2	93979217	94003773	1	0
NC_073224.2	94170776	94209440	3	2
NC_073224.2	94386421	94483948	1	0
NC_073224.2	94622277	94706717	1	0
NC_073224.2	94816316	95007929	2	0
NC_073224.2	95168815	95184642	1	0
NC_073224.2	95186246	95190930	1	0
NC_073224.2	95555807	95569583	3	0
NC_073224.2	95593623	95599842	2	0
NC_073224.2	95599933	95604783	1	0
NC_073224.2	95605442	95611722	1	0
NC_073224.2	95638705	95653144	3	1
NC_073224.2	95691320	95700299	1	0
NC_073224.2	95724899	95731587	1	0
NC_073224.2	95749871	95774428	2	0
NC_073224.2	95814719	95825046	1	1
NC_073224.2	95899623	95903850	1	0
NC_073224.2	95961892	95996579	1	0
NC_073224.2	96140414	96146824	1	0
NC_073224.2	96465722	96481447	2	0
NC_073224.2	96539967	96619829	14	0
NC_073224.2	96726157	96741127	3	0
NC_073224.2	96744202	96795823	3	0
NC_073224.2	96804042	96809187	1	0
NC_073224.2	96972113	96998951	1	0
NC_073224.2	97010260	97020461	1	0
NC_073224.2	97634218	97700564	3	0
NC_073224.2	97767773	97830167	7	0
NC_073224.2	97880423	97883897	1	0
NC_073224.2	97886630	97894347	1	0
NC_073224.2	98169578	98215345	1	0
NC_073224.2	98471809	98475783	1	1
NC_073224.2	98497447	98499655	1	0
NC_073224.2	98500493	98503744	1	0
NC_073224.2	98636669	98643776	1	0
NC_073224.2	99304217	99310609	1	0
NC_073224.2	99626965	99628942	1	0
NC_073224.2	99834717	99839864	1	0
NC_073224.2	99840000	99888675	2	0
NC_073224.2	99889276	99901167	1	0
NC_073224.2	100036336	100090201	6	3
NC_073224.2	100233619	100236170	1	0
NC_073224.2	100255023	100268929	1	0
NC_073224.2	100273377	100279941	1	0
NC_073224.2	100405859	100414239	1	0
NC_073224.2	100535161	100579019	3	0
NC_073224.2	100588212	100614074	1	0
NC_073224.2	100686214	100712775	2	0
NC_073224.2	100755761	100772192	1	0
NC_073224.2	100807375	100819317	1	0
NC_073224.2	100821299	100883447	3	0
NC_073224.2	100973092	101060856	3	0
NC_073224.2	101082109	101087288	2	0
NC_073224.2	101094084	101165365	13	2
NC_073224.2	101252176	101255097	1	0
NC_073224.2	101487579	101495319	2	0
NC_073224.2	101556058	101563465	1	0
NC_073224.2	101564007	101572864	2	0
NC_073224.2	101575323	101587069	1	0
NC_073224.2	101593962	101610832	4	0
NC_073224.2	101612591	101625887	5	0
NC_073224.2	101634211	101641965	1	0
NC_073224.2	101645847	101649762	1	0
NC_073224.2	101678418	101680990	1	0
NC_073224.2	101728208	101730783	1	0
NC_073224.2	101752992	101797231	11	0
NC_073224.2	101822649	101833459	3	0
NC_073224.2	101841393	101854315	5	3
NC_073224.2	101854832	101859560	1	0
NC_073224.2	102250945	102259276	1	0
NC_073224.2	102261109	102307539	2	0
NC_073224.2	102533559	102537157	1	0
NC_073224.2	102537899	102588834	9	4
NC_073224.2	102625675	102654440	1	0
NC_073224.2	102838634	102845768	1	0
NC_073224.2	102871196	102883802	1	0
NC_073224.2	102911969	103002156	2	0
NC_073224.2	103038325	103051573	1	0
NC_073224.2	103114964	103130329	1	0
NC_073224.2	103145985	103151210	1	0
NC_073224.2	103175307	103191177	2	0
NC_073224.2	103244421	103246975	1	0
NC_073224.2	103461816	103468421	1	0
NC_073224.2	103604599	103607531	1	0
NC_073224.2	104428844	104616200	3	0
NC_073224.2	104778433	104824703	2	0
NC_073224.2	104992953	105024555	8	0
NC_073224.2	105034109	105053206	7	0
NC_073224.2	105061203	105065186	2	0
NC_073224.2	105286546	105313935	2	0
NC_073224.2	105364664	105421276	8	0
NC_073224.2	105453969	105462391	1	0
NC_073224.2	105478805	105486061	2	0
NC_073224.2	105498513	105534972	13	0
NC_073224.2	105544345	105554558	1	0
NC_073224.2	105588022	105639417	2	0
NC_073224.2	105648099	105662701	1	0
NC_073224.2	105663086	105665000	1	0
NC_073224.2	105667049	105668822	1	0
NC_073224.2	105669658	105673546	1	0
NC_073224.2	105776402	105786888	1	0
NC_073224.2	105827868	105839405	2	0
NC_073224.2	105860823	105871078	3	0
NC_073224.2	105958861	106025835	3	1
NC_073224.2	106166648	106184054	1	0
NC_073224.2	106206118	106214312	1	0
NC_073224.2	106274993	106281600	1	0
NC_073224.2	106297727	106302240	1	0
NC_073224.2	106319087	106329583	4	0
NC_073224.2	106480510	106512965	1	0
NC_073224.2	106552699	106569507	1	0
NC_073224.2	106593188	106609905	1	0
NC_073224.2	106685108	106784950	4	0
NC_073224.2	106885523	106901952	2	0
NC_073224.2	107416036	107463533	7	0
NC_073224.2	107653394	107656762	1	0
NC_073224.2	107683401	107686001	1	0
NC_073224.2	114096285	114101462	1	0
NC_073224.2	114263469	114273785	1	0
NC_073224.2	114292184	114299229	1	0
NC_073224.2	114299520	114321063	2	0
NC_073224.2	114597375	114643278	18	0
NC_073224.2	114825810	114833485	1	0
NC_073224.2	114837101	114878870	3	0
NC_073224.2	114896501	114953365	4	0
NC_073224.2	114971013	115050043	2	0
NC_073224.2	115151524	115193872	2	0
NC_073224.2	115215231	115312561	5	0
NC_073224.2	115725452	115741493	1	0
NC_073224.2	115835101	115866799	1	0
NC_073224.2	116008746	116056344	2	0
NC_073224.2	116209511	116233556	1	0
NC_073224.2	116236663	116250992	7	0
NC_073224.2	116315596	116321853	2	1
NC_073224.2	116351147	116371722	4	1
NC_073224.2	116448633	116494186	1	0
NC_073224.2	116693816	116849163	7	0
NC_073224.2	116869738	116910678	3	0
NC_073224.2	117115203	117141968	1	0
NC_073224.2	117217113	117275592	1	0
NC_073224.2	117294169	117447151	8	0
NC_073224.2	117476348	117529051	6	0
NC_073224.2	117628990	117636149	1	0
NC_073224.2	117941202	117974655	1	0
NC_073224.2	118034037	118079557	1	0
NC_073224.2	118088956	118150665	7	1
NC_073224.2	118205570	118224627	1	0
NC_073224.2	118273087	118279146	1	0
NC_073224.2	118286678	118306547	10	0
NC_073224.2	118340281	118362655	1	0
NC_073224.2	118800399	118915260	1	0
NC_073224.2	118988823	119074608	3	0
NC_073224.2	119077615	119093189	1	0
NC_073224.2	119258403	119395303	3	0
NC_073224.2	119452952	119497357	1	0
NC_073224.2	120096816	120237508	2	0
NC_073224.2	120323836	120324806	1	0
NC_073224.2	120359015	120470750	2	0
NC_073224.2	120788623	120818464	1	0
NC_073224.2	120975633	121068711	2	1
NC_073224.2	121093881	121111476	1	0
NC_073224.2	121143099	121168674	1	0
NC_073224.2	121459746	121504203	5	0
NC_073224.2	121572821	121581641	1	0
NC_073224.2	122361674	122438675	1	0
NC_073224.2	123416322	123536291	3	0
NC_073224.2	124104593	124135476	2	0
NC_073224.2	124263963	124347827	4	0
NC_073224.2	124414172	124424764	1	0
NC_073224.2	124490890	124671751	11	0
NC_073224.2	124780836	124901078	3	1
NC_073224.2	124986536	125008555	1	1
NC_073224.2	125048459	125120736	6	0
NC_073224.2	125591890	125607768	2	0
NC_073224.2	125619889	125728537	1	0
NC_073224.2	125732456	125745985	1	1
NC_073224.2	125768473	125820438	3	0
NC_073224.2	126176400	126181766	3	0
NC_073224.2	126184585	126217254	8	0
NC_073224.2	126268683	126381126	15	1
NC_073224.2	126650371	126658878	1	0
NC_073224.2	126736505	126765976	1	0
NC_073224.2	126893494	126901498	1	0
NC_073224.2	127089806	127111654	1	0
NC_073224.2	127118647	127130349	2	0
NC_073224.2	127695690	127786433	12	2
NC_073224.2	128490527	128493016	1	0
NC_073224.2	128795271	128801867	1	0
NC_073224.2	128846084	128851114	1	0
NC_073224.2	128856384	128876361	1	0
NC_073224.2	129169624	129173083	1	0
NC_073224.2	129347779	129433160	4	0
NC_073224.2	130011264	130080187	14	0
NC_073224.2	130222249	130377196	11	0
NC_073224.2	130406469	130425491	4	0
NC_073224.2	130449320	130461609	8	0
NC_073224.2	130488215	130541861	1	0
NC_073224.2	130558319	130560459	1	0
NC_073224.2	130588920	130597749	4	0
NC_073224.2	130657193	130682291	1	0
NC_073224.2	130844932	130870268	2	0
NC_073224.2	130969398	130977280	2	1
NC_073224.2	131038534	131114042	2	1
NC_073224.2	131152888	131204400	2	0
NC_073224.2	131232075	131250428	1	0
NC_073224.2	131257574	131261507	1	0
NC_073224.2	131275313	131342791	2	0
NC_073224.2	131387657	131397165	2	0
NC_073224.2	131424262	131439487	1	0
NC_073224.2	131752560	131754286	1	0
NC_073224.2	131755029	131756550	1	0
NC_073224.2	131761967	131773802	1	0
NC_073224.2	131803439	131860245	1	0
NC_073224.2	132510324	132668925	1	0
NC_073224.2	132844354	132852970	2	0
NC_073224.2	135808197	135904945	1	0
NC_073224.2	136309081	136345836	1	0
NC_073224.2	136363893	136479445	1	0
NC_073224.2	137033975	137088050	1	0
NC_073224.2	137120921	137143940	1	0
NC_073224.2	137985068	137986359	1	0
NC_073224.2	138048106	138050335	1	0
NC_073224.2	139013606	139036074	2	0
NC_073224.2	139412563	139569714	2	1
NC_073224.2	139620047	139648463	5	0
NC_073224.2	139664693	139722624	3	0
NC_073224.2	139733823	139801597	5	0
NC_073224.2	139827623	139942363	1	0
NC_073224.2	139990565	140066416	4	0
NC_073224.2	141203261	141258042	1	1
NC_073224.2	141345631	141346618	1	0
NC_073224.2	141416990	141417891	1	0
NC_073224.2	144434421	144542207	1	0
NC_073224.2	144664182	144796315	2	0
NC_073224.2	145085276	145094750	1	0
NC_073224.2	145094790	145146489	1	0
NC_073224.2	145382257	145396469	1	0
NC_073224.2	145407309	145508339	1	0
NC_073224.2	145651661	145757714	1	0
NC_073224.2	145893346	145897354	1	0
NC_073224.2	146016089	146016595	1	0
NC_073224.2	146082931	146125562	1	0
NC_073224.2	146241156	146361274	1	0
NC_073224.2	146368406	146474580	2	0
NC_073224.2	146575696	146618209	10	0
NC_073224.2	146673668	146741460	5	0
NC_073224.2	146796891	146842456	1	0
NC_073224.2	147175996	147296597	1	0
NC_073224.2	147520710	147744839	15	2
NC_073224.2	147779986	147883989	1	0
NC_073224.2	147936845	147939468	1	0
NC_073224.2	147953950	148020036	5	0
NC_073224.2	148084754	148290750	3	0
NC_073224.2	148431133	148438635	1	0
NC_073224.2	148452026	148477795	3	0
NC_073224.2	148571368	148713411	2	1
NC_073224.2	148958711	149065390	9	3
NC_073224.2	149182242	149194153	1	0
NC_073224.2	149964537	149991959	1	0
NC_073224.2	150050707	150166251	10	0
NC_073224.2	150224520	150230547	1	0
NC_073224.2	150360318	150450630	1	0
NC_073224.2	150515572	150520167	1	0
NC_073224.2	150600791	150623571	1	0
NC_073224.2	150712543	150781099	2	0
NC_073224.2	150903940	150917769	2	0
NC_073224.2	150948917	151054464	4	0
NC_073224.2	151140961	151291882	2	0
NC_073224.2	151403787	151434620	1	0
NC_073224.2	151701595	151799100	1	0
NC_073224.2	152635386	152646642	1	0
NC_073224.2	152810133	152851436	3	0
NC_073224.2	152872141	152929397	1	0
NC_073224.2	153066472	153119093	1	0
NC_073224.2	153411478	153432498	1	0
NC_073224.2	153470139	153518045	1	0
NC_073224.2	153578538	153645318	2	0
NC_073224.2	153968380	154251924	1	0
NC_073224.2	154273029	154322062	1	1
NC_073224.2	154724611	154732368	2	0
NC_073224.2	155303056	155349391	3	1
NC_073224.2	155419903	155440992	1	0
NC_073224.2	155575866	155580041	1	0
NC_073224.2	155608757	155612682	1	0
NC_073224.2	155622227	155630204	1	0
NC_073224.2	155789923	155918837	1	1
NC_073224.2	155993713	156124177	1	1
NC_073224.2	156542664	156546044	1	0
NC_073224.2	157996507	158037073	1	0
NC_073224.2	158286374	158298298	1	0
NC_073224.2	160337896	160358702	1	0
NC_073224.2	160558149	160574851	2	0
NC_073224.2	160774935	160840635	1	0
NC_073224.2	160959608	161075949	1	0
NC_073224.2	161294944	161309769	1	0
NC_073224.2	161316654	161338958	2	1
NC_073224.2	161405940	161414857	1	0
NC_073224.2	161973889	162009284	5	0
NC_073224.2	162192470	162259729	3	1
NC_073224.2	162270773	162389846	2	0
NC_073224.2	162394375	162673141	2	0
NC_073224.2	162736634	162866372	1	0
NC_073224.2	162887992	162966361	1	0
NC_073224.2	164173048	164182121	1	0
NC_073224.2	164205430	164243433	4	0
NC_073224.2	164244716	164325514	1	0
NC_073224.2	164578078	164764936	2	0
NC_073224.2	165198213	165226869	3	1
NC_073224.2	165309838	165369897	1	0
NC_073224.2	165380577	165391164	1	0
NC_073224.2	165414811	165756945	3	0
NC_073224.2	167301183	167323673	1	0
NC_073224.2	168488001	168783778	2	0
NC_073224.2	168896199	168914787	1	0
NC_073224.2	169212956	169297341	1	0
NC_073224.2	169538275	169571366	2	0
NC_073224.2	169629185	169723451	1	0
NC_073224.2	169732368	169839726	4	0
NC_073224.2	169846084	169856032	1	0
NC_073224.2	169858378	169948220	1	0
NC_073224.2	171404460	171415708	1	0
NC_073224.2	171493812	171517532	1	1
NC_073224.2	172155249	172286677	1	0
NC_073224.2	172614782	172660575	1	0
NC_073224.2	172845577	172851759	1	0
NC_073224.2	173001839	173182304	3	0
NC_073224.2	173216969	173218834	1	0
NC_073224.2	173734282	173752936	1	0
NC_073224.2	174384957	174466956	1	0
NC_073224.2	174917625	174940811	1	0
NC_073224.2	175290292	175432767	1	0
NC_073224.2	176414511	176555410	10	2
NC_073224.2	176668070	176669691	1	0
NC_073224.2	177118342	177200652	4	0
NC_073224.2	177704862	177706205	1	0
NC_073224.2	177880764	178248002	8	0
NC_073224.2	178265204	178309909	2	0
NC_073224.2	178531397	178908161	2	0
NC_073224.2	179225190	179227974	1	0
NC_073224.2	179259100	179324186	1	0
NC_073224.2	180062267	180096450	1	0
NC_073224.2	180117025	180174948	1	0
NC_073224.2	180201021	180217122	1	0
NC_073224.2	180227157	180687995	6	0
NC_073224.2	180836852	180838131	1	0
NC_073224.2	181101881	181202578	1	0
NC_073224.2	181286503	181324002	1	0
NC_073224.2	182824048	182936083	1	0
NC_073224.2	182945869	182977223	1	0
NC_073224.2	183153410	183230585	1	0
NC_073224.2	184270176	184391663	1	0
NC_073224.2	184552436	184553838	1	0
NC_073224.2	184844571	184929232	3	0
NC_073224.2	185262417	185334053	3	0
NC_073224.2	185338637	185432170	3	0
NC_073224.2	186028472	186053191	1	1
NC_073224.2	186084906	186206608	3	0
NC_073224.2	186378671	186449143	1	0
NC_073224.2	186459128	186467667	1	0
NC_073224.2	186505252	186513617	1	0
NC_073224.2	186702778	186734572	4	0
NC_073224.2	186752222	186758772	2	1
NC_073224.2	186884361	186890730	1	0
NC_073224.2	186892412	186910370	1	1
NC_073224.2	187055039	187083487	6	0
NC_073224.2	187160840	187259247	1	0
NC_073224.2	187432232	187562195	10	0
NC_073224.2	187619035	187633600	5	1
NC_073224.2	187702287	187748155	1	0
NC_073224.2	187940763	187956583	1	0
NC_073224.2	188189302	188399657	6	4
NC_073224.2	188402687	188417080	1	0
NC_073224.2	188456877	188621931	4	1
NC_073224.2	188632019	188690390	2	0
NC_073224.2	188703252	188740356	1	0
NC_073224.2	189571795	189575746	1	0
NC_073224.2	189753731	189818187	2	0
NC_073224.2	191104658	191108508	1	0
NC_073224.2	191275670	191441100	2	0
NC_073224.2	191499818	191673692	5	0
NC_073224.2	192180324	192193599	1	0
NC_073224.2	192638554	192703526	1	1
NC_073224.2	192859063	192957044	5	2
NC_073224.2	193213651	193230706	1	0
NC_073224.2	193301566	193348094	1	0
NC_073224.2	193487009	193518251	12	0
NC_073224.2	193559150	193583525	3	0
NC_073224.2	193625026	193681764	10	1
