gene_a	gene_b	dn_a	dn_b	cls	core	aln_frac	aln_len	matches_best	blocklen_best	matches_sum	len_a	len_b	recip_id_best	recip_id_sum
APOBEC3C	APOBEC3F	DN_NC_086018.1_37016890_4	DN_NC_086018.1_37043543_7	genuine	0.303	0.678	1882	1403	1882	1403	2776	4492	0.3123	0.3123
APOBEC3D	APOBEC3F	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	TP	0.3807	0.9775	3040	2761	3040	2761	3110	4492	0.6146	0.6146
APOL2	APOL3	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34223461_5	truthbar	0.3708	0.3042	630	558	630	558	2071	2556	0.2183	0.2183
APOL3	APOL4	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34186611_4	truthbar	0.2863	0.4186	867	747	867	747	2071	3150	0.2371	0.2371
APOL4	LOC129527096	DN_NC_073240.2_41396094_2	DN_NC_086018.1_34186611_4	genuine	0.2801	0.7764	837	731	837	731	1078	3150	0.2321	0.2321
ARHGEF39	CCDC107	DN_NC_073237.2_27307884_9	DN_NC_073237.2_27311993_5	genuine	0.4694	0.4705	446	446	446	446	3094	948	0.1441	0.1441
ARL17A	LOC101135168	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45710800_6	genuine	0.5577	0.5577	1705	1705	1705	1705	3057	3256	0.5236	0.5236
ARL17A	LOC115934626	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45948292_6	genuine	0.4194	0.6153	1881	1867	1881	1867	3057	5605	0.3331	0.3331
ASB6	NTMT1	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	TP	0.708	0.7066	1522	1522	1522	1522	2154	4827	0.3153	0.3153
ATP1A2	ATP1A3	DN_NC_073224.2_96681549_23	DN_NC_073244.2_53573424_23	truthbar	0.4359	0.773	2779	2302	2779	2302	5488	3595	0.4195	0.4195
ATP5ME	PDE6B	DN_NC_073227.2_9231816_7	DN_NC_073227.2_9238554_4	genuine	0.2016	0.3748	530	530	530	530	1414	2928	0.1810	0.1810
ATP6V1C2	PDIA6	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	TP	0.3828	0.38	1083	1083	1083	1083	3906	2850	0.2773	0.2773
AUNIP	MTFR1L	DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	genuine	0.7245	0.7245	2696	2696	2696	2696	4336	3721	0.6218	0.6218
B3GAT2	SMAP1	DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	genuine	0.4622	0.5285	1809	1729	1809	2038	3423	6355	0.2721	0.3207
B3GNTL1	TBCD	DN_NC_073228.2_8941710_13	DN_NC_073228.2_9043620_39	genuine	0.5383	0.536	1632	1632	1632	1632	3045	6939	0.2352	0.2352
BBIP1	PDCD4	DN_NC_073232.2_123144734_12	DN_NC_073232.2_123171879_4	genuine	0.6716	0.6716	1483	1483	1483	1483	4030	2208	0.3680	0.3680
BCR	LOC101132434	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	TP	0.3002	0.6622	1498	1457	1498	1457	2262	4416	0.3299	0.3299
BCR	LOC101135843	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	TP	0.256	0.5649	1498	1460	1498	1460	4416	2652	0.3306	0.3306
BCR	LOC115932815	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	TP	0.2679	0.5461	1450	1422	1450	1422	4416	2655	0.3220	0.3220
BEX1	BEX2	DN_NC_073247.2_114842677_3	DN_NC_073247.2_115094764_3	truthbar	0.3416	0.6782	685	601	685	601	1010	1112	0.5405	0.5405
BFAR	LOC101150079	DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	TP	0.6357	1.003	3042	3023	3042	3023	3033	3198	0.9453	0.9453
BLID	LOC101154388	DN_NC_073233.2_130017597_2	DN_NC_073233.2_130017597_4	genuine	0.8713	0.8713	2607	2607	2607	2607	2992	3406	0.7654	0.7654
BLNK	ZNF518A	DN_NC_073232.2_108425417_2	DN_NC_073232.2_108425608_2	genuine	0.9746	0.9746	3916	3916	3916	3916	5477	4018	0.7150	0.7150
BMAL1	BTBD10	DN_NC_073233.2_19708960_19	DN_NC_073233.2_19815473_9	genuine	0.5174	0.5152	2558	2558	2558	2558	4965	5742	0.4455	0.4455
BRICD5	MLST8	DN_NC_073242.2_5822452_9	DN_NC_073242.2_5827060_6	genuine	0.2247	0.3912	336	262	336	262	5903	859	0.0444	0.0444
BTN2A1	BTN2A2	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44135507_8	TP	0.2455	0.7791	2536	2211	2536	2211	3603	3255	0.6137	0.6137
BTN3A1	LOC101147830	DN_NC_073229.2_44079934_10	DN_NC_073229.2_44118209_11	truthbar	0.339	0.5166	1539	1383	1539	1383	4181	2979	0.3308	0.3308
C1H1orf146	GLMN	DN_NC_073224.2_147663563_19	DN_NC_073224.2_147715668_5	genuine	0.5228	0.5228	1102	1102	1102	1102	3729	2108	0.2955	0.2955
C1H1orf56	CDC42SE1	DN_NC_073224.2_105776266_5	DN_NC_073224.2_105784199_2	genuine	0.5756	0.576	1542	1542	1542	1542	4036	2677	0.3821	0.3821
C3H4orf36	MINPP1	DN_NC_073227.2_107202270_4	DN_NC_073232.2_99830035_5	genuine	0.2167	0.2837	419	391	419	391	1477	4192	0.0933	0.0933
C3H4orf36	SEM1	DN_NC_073227.2_107202270_4	DN_NC_073230.2_92132360_3	genuine	0.2126	0.3182	470	436	470	436	1477	1950	0.2236	0.2236
C4A	C4B	DN_NC_073229.2_49583451_41	DN_NC_073229.2_49609902_41	TP	0.9998	1.0	5948	5937	5948	5937	5948	5976	0.9935	0.9935
C7H8orf33	LOC129527512	DN_NC_073231.2_150893284_5	DN_NC_073242.2_6296327_3	genuine	0.2129	0.6145	915	778	915	778	3993	1489	0.1948	0.1948
C9H11orf65	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073233.2_116263271_8	genuine	0.2508	0.3517	467	434	467	434	1328	4774	0.0909	0.0909
C9H11orf65	PDCD5	DN_NC_073233.2_116263271_8	DN_NC_073244.2_43610901_6	genuine	0.2665	0.3779	475	452	475	452	4774	1257	0.0947	0.0947
C9H11orf65	SPC25	DN_NC_073233.2_116263271_8	DN_NC_073235.2_71373985_7	genuine	0.2449	0.3515	478	452	478	452	4774	1360	0.0947	0.0947
CAND2	RPL32	DN_NC_086017.1_22612673_15	DN_NC_086017.1_22648299_4	genuine	0.4415	0.4415	1920	1920	1920	1920	5671	4349	0.3386	0.3386
CANX	HMGB3	DN_NC_073228.2_183658467_2	DN_NC_073247.2_162650382_5	genuine	0.4859	0.7031	450	412	450	412	640	3581	0.1151	0.1151
CCDC144A	LOC109026769	DN_NC_073228.2_79926211_12	DN_NC_073228.2_83434996_12	TP	0.3998	1.0048	3536	3476	3536	3476	3519	4483	0.7754	0.7754
CCDC152	SELENOP	DN_NC_073243.2_69046517_5	DN_NC_073243.2_69056468_9	TP	0.4776	0.4768	1673	1673	1673	1673	6999	3509	0.2390	0.2390
CCNH	RASA1	DN_NC_073228.2_91400267_25	DN_NC_073228.2_91522397_9	genuine	0.6116	0.6114	3641	3641	3641	3641	7378	5955	0.4935	0.4935
CDK4	TSPAN31	DN_NC_073234.2_43619064_8	DN_NC_073234.2_43623304_5	genuine	0.5438	0.5358	1009	1009	1009	1009	3109	1883	0.3245	0.3245
CDR2	LOC101131923	DN_NC_073242.2_21170576_8	DN_NC_073242.2_21650759_11	genuine	0.3045	0.4426	891	889	891	889	3270	2013	0.2719	0.2719
CDRT4	TVP23B	DN_NC_073228.2_81446275_7	DN_NC_073243.2_30823221_7	TP	0.2413	0.511	1692	1663	1692	1663	3991	3311	0.4167	0.4167
CENPP	IPPK	DN_NC_073237.2_89073528_3	DN_NC_073237.2_89075402_13	TP	0.8865	0.8865	2874	2874	2874	2874	3242	4821	0.5961	0.5961
CEP57	MTMR2	DN_NC_073233.2_103702122_11	DN_NC_073233.2_103744968_15	genuine	0.5439	0.5439	2597	2597	2597	2597	7906	4775	0.3285	0.3285
CEP76	PSMG2	DN_NC_073241.2_37538314_7	DN_NC_073241.2_37560383_12	genuine	0.3001	0.2988	678	678	678	678	2269	5125	0.1323	0.1323
CES1	LOC115931015	DN_NC_073242.2_84833963_14	DN_NC_073242.2_84922514_14	TP	0.7709	0.9729	2085	1922	2085	1922	2209	2143	0.8701	0.8701
CHEK2	LOC101136352	DN_NC_073240.2_23210840_6	DN_NC_086018.1_26719433_15	genuine	0.2828	0.7071	700	671	700	671	990	2741	0.2448	0.2448
CHEK2	LOC101152610	DN_NC_073240.2_21601841_7	DN_NC_086018.1_26719433_15	TP	0.2914	0.8668	833	672	833	672	961	2741	0.2452	0.2452
CHEK2	LOC129527660	DN_NC_073242.2_37476471_6	DN_NC_086018.1_26719433_15	genuine	0.3387	0.7035	700	649	700	649	995	2741	0.2368	0.2368
CHST6	TMEM231	DN_NC_073242.2_105982851_4	DN_NC_073242.2_106027382_7	genuine	0.5166	0.5206	1684	1631	1684	1887	6105	3235	0.2672	0.3091
CNTNAP3C	LOC101143875	DN_NC_073236.2_33289090_9	DN_NC_073237.2_23692487_10	genuine	0.3548	0.7301	1961	1721	1961	1721	5558	2686	0.3096	0.3096
COG1	SSTR2	DN_NC_073228.2_18779384_3	DN_NC_073228.2_18798859_2	genuine	0.5916	0.592	1477	1477	1477	1707	2495	4258	0.3469	0.4009
COG1	VCF1	DN_NC_073228.2_18740149_2	DN_NC_073228.2_18761647_14	genuine	0.5477	0.5447	1455	1455	1455	1455	2671	5117	0.2843	0.2843
COG5	HBP1	DN_NC_073230.2_116119215_11	DN_NC_073230.2_116150343_22	genuine	0.4001	0.4005	1129	1129	1129	1129	2819	6530	0.1729	0.1729
COPB2	MRPS22	DN_NC_086017.1_150515222_8	DN_NC_086017.1_150527432_22	genuine	0.3514	0.3514	1044	1044	1044	1044	2971	4986	0.2094	0.2094
COPS9	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073235.2_142785844_3	genuine	0.3276	0.3208	426	397	426	397	1328	4462	0.0890	0.0890
COPS9	PDCD5	DN_NC_073235.2_142785844_3	DN_NC_073244.2_43610901_6	genuine	0.3405	0.3699	465	440	465	440	4462	1257	0.0986	0.0986
COPS9	SPC25	DN_NC_073235.2_142785844_3	DN_NC_073235.2_71373985_7	genuine	0.2449	0.3441	468	436	468	436	4462	1360	0.0977	0.0977
CPLANE1	LOC115933270	DN_NC_073243.2_82594889_12	DN_NC_073243.2_82739824_8	TP	0.7414	0.8699	2802	2789	2802	2789	4243	3221	0.6573	0.6573
CPSF2	NDUFB1	DN_NC_073239.2_109052370_3	DN_NC_073239.2_109057706_16	genuine	0.4806	0.4777	481	481	481	481	1007	5674	0.0848	0.0848
CRBN	TRNT1	DN_NC_086017.1_12917334_8	DN_NC_086017.1_12936527_11	genuine	0.5988	0.6856	3568	3366	3568	3366	6780	5204	0.4965	0.4965
CRMP1	EVC	DN_NC_073227.2_15519199_14	DN_NC_073227.2_15589297_3	TP	0.3478	0.3472	1070	1070	1070	1070	3082	4866	0.2199	0.2199
CRNKL1	NAA20	DN_NC_073245.2_30021133_6	DN_NC_073245.2_30036345_14	genuine	0.8479	0.8458	3237	3237	3237	3237	3827	6143	0.5269	0.5269
CTSA	NEURL2	DN_NC_073245.2_58117175_2	DN_NC_073245.2_58118781_15	TP	0.8084	0.8099	1044	1044	1044	1044	1289	2957	0.3531	0.3531
CTSV	LOC101145975	DN_NC_073237.2_83935038_8	DN_NC_073237.2_93365361_8	truthbar	0.3599	0.4764	908	768	908	768	1906	4907	0.1565	0.1565
CTSV	LOC129523464	DN_NC_073237.2_84341528_8	DN_NC_073237.2_93365361_8	truthbar	0.3477	0.5631	915	770	915	770	1625	4907	0.1569	0.1569
CTSZ	NELFCD	DN_NC_073245.2_71261640_15	DN_NC_073245.2_71275662_6	genuine	0.3816	0.3797	579	579	579	579	4375	1525	0.1323	0.1323
CTU2	PIEZO1	DN_NC_073242.2_119293235_15	DN_NC_073242.2_119301617_14	genuine	0.1933	0.7143	1863	1351	1863	1351	4183	2608	0.3230	0.3230
DAP3	GON4L	DN_NC_073224.2_100975273_21	DN_NC_073224.2_101136214_11	genuine	0.5987	0.8618	2307	2178	2307	2178	4789	2677	0.4548	0.4548
DAPK1	LOC115935778	DN_NC_073237.2_83892884_7	DN_NC_073237.2_84363825_25	TP	0.6965	0.7914	3776	3770	3776	3770	4771	6131	0.6149	0.6149
DCAF12L1	DCAF12L2	DN_NC_073247.2_137840069_2	DN_NC_073247.2_138224742_2	TP	0.394	0.3869	1413	1295	1413	1295	3652	3836	0.3376	0.3376
DCAF16	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073227.2_26000468_4	genuine	0.3502	0.3419	454	424	454	424	1328	3003	0.1412	0.1412
DCAF16	PDCD5	DN_NC_073227.2_26000468_4	DN_NC_073244.2_43610901_6	genuine	0.3628	0.3628	456	421	456	421	3003	1257	0.1402	0.1402
DCAF16	SPC25	DN_NC_073227.2_26000468_4	DN_NC_073235.2_71373985_7	genuine	0.2426	0.3375	459	436	459	436	3003	1360	0.1452	0.1452
DCAF4	DCAF4L1	DN_NC_073227.2_50003246_2	DN_NC_073239.2_89803404_14	truthbar	0.4587	0.5944	1489	1224	1489	1224	3993	2505	0.3065	0.3065
DDX11	LOC109029264	DN_NC_073234.2_24978856_8	DN_NC_073234.2_70140848_27	genuine	0.2642	0.2612	263	257	263	257	1007	3964	0.0648	0.0648
DDX19A	DDX19B	DN_NC_073242.2_99745328_12	DN_NC_073242.2_99793055_12	TP	0.5031	0.5369	1621	1543	1621	1543	3287	3019	0.4694	0.4694
DDX3X	DDX3Y	DN_NC_073247.2_51699012_17	DN_NC_073248.2_31199793_17	truthbar	0.3009	0.7349	4086	3466	4086	3466	5560	7661	0.4524	0.4524
DDX42	FTSJ3	DN_NC_073228.2_28222257_21	DN_NC_073228.2_28230327_9	genuine	0.599	0.5994	1628	1628	1628	1628	5287	2716	0.3079	0.3079
DEDD	NIT1	DN_NC_073224.2_95638704_6	DN_NC_073224.2_95648579_7	genuine	0.6935	0.6884	2028	2028	2028	2028	3803	2946	0.5333	0.5333
DEXI	LOC101149946	DN_NC_073240.2_23725358_9	DN_NC_073242.2_14569289_2	genuine	0.5268	0.8729	1367	1308	1367	1308	5344	1566	0.2448	0.2448
DEXI	LOC134757265	DN_NC_073240.2_29803770_8	DN_NC_073242.2_14569289_2	genuine	0.5268	0.8614	1349	1295	1349	1295	6660	1566	0.1944	0.1944
DGCR6	DGCR6L	DN_NC_086018.1_16346801_5	DN_NC_086018.1_17748702_5	truthbar	0.6517	0.9712	1146	1068	1146	1068	1180	3259	0.3277	0.3277
DHRSX	ZBED1	DN_NC_073247.2_11741821_2	DN_NC_073248.2_9064807_2	genuine	0.9634	0.962	4332	4320	4332	4320	4503	4638	0.9314	0.9314
DIMT1	KIF2A	DN_NC_073243.2_47785917_12	DN_NC_073243.2_47800408_20	genuine	0.7311	0.7301	2892	2892	2892	2892	3961	6381	0.4532	0.4532
DLGAP5	LGALS3	DN_NC_073239.2_72077053_6	DN_NC_073239.2_72093949_19	genuine	0.4702	0.4702	2461	2461	2461	2461	5234	5453	0.4513	0.4513
DMTF1	LOC115935379	DN_NC_073230.2_101602035_18	DN_NC_073230.2_101646316_2	genuine	0.5206	0.5144	250	250	250	250	4580	486	0.0546	0.0546
DMTF1	TMEM243	DN_NC_073230.2_101581724_4	DN_NC_073230.2_101602035_18	genuine	0.3955	0.4745	2073	1871	2073	1871	4369	4580	0.4085	0.4085
DNAJC14	ORMDL2	DN_NC_073234.2_45531723_7	DN_NC_073234.2_45539357_4	genuine	0.5889	0.5889	1935	1935	1935	1935	5479	3286	0.3532	0.3532
DNAJC17	GCHFR	DN_NC_073240.2_41471977_3	DN_NC_073240.2_41473848_11	TP	0.3242	0.3242	487	487	487	487	1502	3730	0.1306	0.1306
DND1	WDR55	DN_NC_073228.2_144514226_7	DN_NC_073228.2_144520267_4	genuine	0.6266	0.6266	958	958	958	958	3968	1529	0.2414	0.2414
DOK7	LOC115933190	DN_NC_073227.2_12039502_7	DN_NC_073236.2_24822888_6	genuine	0.4664	1.0512	2628	2306	2628	2306	2558	2500	0.9015	0.9015
DPY19L2	LOC115935244	DN_NC_073230.2_98668717_3	DN_NC_073234.2_37699488_22	TP	0.3401	0.5289	1199	1170	1199	1722	2267	4069	0.2875	0.4232
DUSP5	LOC129532115	DN_NC_073224.2_16928217_2	DN_NC_073232.2_122771445_4	genuine	0.2144	0.5022	1267	1124	1267	1124	3396	2523	0.3310	0.3310
ECSIT	RPL18A	DN_NC_073244.2_17541226_2	DN_NC_073244.2_24302535_5	genuine	0.4925	0.8731	585	527	585	527	2069	670	0.2547	0.2547
EDARADD	ENO1	DN_NC_073224.2_231736369_12	DN_NC_073224.2_25093112_7	genuine	0.4376	0.6492	1549	1419	1549	1419	2386	3704	0.3831	0.3831
EEF1A1	LOC101132881	DN_NC_073229.2_97606864_8	DN_NC_073239.2_98531685_2	genuine	0.2109	0.4759	1419	1204	1419	1204	4055	2982	0.2969	0.2969
EEF1A1	LOC109023808	DN_NC_073229.2_97606864_8	DN_NC_073243.2_97368870_3	TP	0.6499	0.6488	1731	1700	1731	1700	4055	2668	0.4192	0.4192
EEF2KMT	LOC101125415	DN_NC_073227.2_17445647_6	DN_NC_073242.2_8737492_8	truthbar	0.3935	0.8784	2152	1881	2152	1881	2450	2764	0.6805	0.6805
EEF2KMT	LOC101133440	DN_NC_073231.2_11581641_7	DN_NC_073242.2_8737492_8	truthbar	0.3648	1.051	2391	2145	2391	2145	2275	2764	0.7760	0.7760
EEF2KMT	LOC101137806	DN_NC_073242.2_8737492_8	DN_NC_086017.1_136773097_2	genuine	0.3144	0.631	1744	1514	1744	1514	2764	3501	0.4324	0.4324
EEF2KMT	LOC101139163	DN_NC_073242.2_8737492_8	DN_NC_086017.1_141278779_5	truthbar	0.3263	0.8163	1884	1687	1884	1687	2764	2308	0.6103	0.6103
EEF2KMT	LOC101152938	DN_NC_073233.2_75718276_6	DN_NC_073242.2_8737492_8	truthbar	0.3111	0.8745	2417	2113	2417	2113	3428	2764	0.6164	0.6164
EEF2KMT	LOC115934341	DN_NC_073242.2_8737492_8	DN_NC_086017.1_85330170_7	truthbar	0.3526	1.0536	2674	2314	2674	2314	2764	2538	0.8372	0.8372
EHD1	EHD3	DN_NC_073233.2_72751588_5	DN_NC_073236.2_108637713_6	truthbar	0.4502	0.4111	1461	1223	1461	1223	3554	4980	0.2456	0.2456
EIF1AX	LOC101137900	DN_NC_073238.2_32661686_2	DN_NC_073247.2_30604924_7	TP	0.4016	0.8687	1700	1617	1700	1617	1957	4535	0.3566	0.3566
EIF2AK4	SRP14	DN_NC_073240.2_40710955_17	DN_NC_073240.2_40740697_5	genuine	0.2602	0.2589	562	562	562	562	2171	3830	0.1467	0.1467
EIF3E	KHDC1	DN_NC_073229.2_97353754_3	DN_NC_073231.2_114003443_13	genuine	0.2398	0.541	1498	1396	1498	1396	3769	2769	0.3704	0.3704
EMG1	LPCAT3	DN_NC_073234.2_22631499_6	DN_NC_073234.2_22636891_13	genuine	0.2735	0.6022	1570	1152	1570	1152	4991	2607	0.2308	0.2308
EML5	ZC3H14	DN_NC_073239.2_105498614_17	DN_NC_073239.2_105549018_9	genuine	0.6204	0.6206	3003	3003	3003	3003	6081	4839	0.4938	0.4938
EOLA1	EOLA2	DN_NC_073247.2_161158664_6	DN_NC_073247.2_161607555_5	TP	0.4244	0.4244	1173	1173	1173	1173	6113	2764	0.1919	0.1919
EP400	LOC101150057	DN_NC_073234.2_147445272_9	DN_NC_073234.2_147580679_4	genuine	0.3348	0.3352	705	699	705	699	2719	2103	0.2571	0.2571
EPCIP	LOC101137472	DN_NC_073246.2_34687084_3	DN_NC_073246.2_34687085_2	genuine	0.9472	1.0277	2785	2704	2785	2704	2796	2710	0.9671	0.9671
ERCC1	POLR1G	DN_NC_073244.2_56915266_3	DN_NC_073244.2_56916454_10	TP	0.6722	0.6722	1593	1593	1593	1593	2370	3388	0.4702	0.4702
ESRRA	TPTE2	DN_NC_073233.2_72203709_7	DN_NC_073238.2_33853352_3	genuine	0.235	0.5485	1482	1388	1482	1388	2702	3501	0.3965	0.3965
ETFDH	PPID	DN_NC_073227.2_179688123_13	DN_NC_073227.2_179727029_10	TP	0.3906	0.3861	1466	1466	1466	1466	5373	3797	0.2728	0.2728
ETFRF1	KRAS	DN_NC_073234.2_76035232_5	DN_NC_073234.2_76077727_3	genuine	0.7239	0.7239	3275	3275	3275	3275	5410	4524	0.6054	0.6054
EXOG	RPL18A	DN_NC_073244.2_24302535_5	DN_NC_086017.1_48397256_6	genuine	0.4701	0.8687	582	520	582	520	670	4320	0.1204	0.1204
EXOSC3	TRMT10B	DN_NC_073237.2_25172073_4	DN_NC_073237.2_25176692_9	genuine	0.6631	0.6631	2114	2114	2114	2114	3188	3846	0.5497	0.5497
FAHD2B	LOC101146690	DN_NC_073236.2_32048256_8	DN_NC_073236.2_34983788_9	genuine	0.8537	0.8537	1126	1107	1126	1107	1319	1454	0.7613	0.7613
FAM136A	LOC101147326	DN_NC_073228.2_28439701_5	DN_NC_073236.2_69434930_3	genuine	0.4246	0.9543	1733	1600	1733	1600	5307	1816	0.3015	0.3015
FAM13C	PHYHIPL	DN_NC_073232.2_56389207_14	DN_NC_073232.2_56509561_5	genuine	0.4794	0.4773	1609	1609	1609	1609	3371	5311	0.3030	0.3030
FAM200A	LOC101145047	DN_NC_073227.2_23893974_2	DN_NC_073230.2_89274458_2	genuine	0.5685	0.6331	1558	1314	1558	1314	4262	2461	0.3083	0.3083
FAM228B	MTHFD2L	DN_NC_073227.2_94499432_2	DN_NC_073236.2_115828789_3	genuine	0.3256	0.6271	2556	2341	2556	2341	4076	4287	0.5461	0.5461
FAM228B	ZNF626	DN_NC_073236.2_115828789_3	DN_NC_073244.2_27139185_2	genuine	0.2572	0.7533	2308	2038	2308	2038	4287	3064	0.4754	0.4754
