modal_gene	copies_chimp	copies_gorilla	copies_orang	origin_branch	sample_paralogs
(unnamed)	4	0	0	chimp lineage (<9 Mya; or shared with human)	
IFITM1	4	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	IFITM1,IFITM2,IFITM3
TRIM6	2	4	3	ancestral great-ape (>17 Mya, pre-orangutan)	TRIM6,TRIM22,TRIM5,TRIM34,TRIM21
NXF1	3	4	0	African-ape ancestor (~9-17 Mya)	NXF1,TMEM223,NXF3
PRPH	2	4	0	African-ape ancestor (~9-17 Mya)	PRPH,DES,VIM,INA,NT5C2
TLE1	3	3	4	ancestral great-ape (>17 Mya, pre-orangutan)	TLE1,TLE3,TLE2,TLE4
SPATA31D1	4	0	4	ancestral, contracted in gorilla (>17 Mya)	SPATA31D1
UBQLN1	4	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	UBQLN1,SETMAR,SUMF1,RWDD2A,PGM3
RPS4X	4	3	4	ancestral great-ape (>17 Mya, pre-orangutan)	RPS4X,RPS4Y1,RPS4Y2,MUL1
MED15	4	0	2	ancestral, contracted in gorilla (>17 Mya)	MED15,CCDC74B
RRN3	2	2	4	ancestral great-ape (>17 Mya, pre-orangutan)	RRN3,SPN,TRNAV-UAC
(unnamed)	2	4	2	ancestral great-ape (>17 Mya, pre-orangutan)	
CES2	4	4	3	ancestral great-ape (>17 Mya, pre-orangutan)	CES2,CES1
ZNF875	2	4	0	African-ape ancestor (~9-17 Mya)	ZNF875,ZNF133,ZNF169,ZNF343
GGTLC1	4	2	0	African-ape ancestor (~9-17 Mya)	GGTLC1,GGTLC2,GGT1
BEX1	4	3	4	ancestral great-ape (>17 Mya, pre-orangutan)	BEX1,BEX2,BEX3,BEX4,RAB40AL
DAZL	4	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DAZL,DAZ1
TMEM128	0	4	0	gorilla lineage (<9 Mya)	TMEM128
NDST3	0	4	0	gorilla lineage (<9 Mya)	NDST3,SLC6A4,BLMH,SLC38A6,TRMT5
FAR2	0	4	0	gorilla lineage (<9 Mya)	FAR2
ABCD1	0	4	0	gorilla lineage (<9 Mya)	ABCD1
(unnamed)	0	4	0	gorilla lineage (<9 Mya)	
(unnamed)	0	4	0	gorilla lineage (<9 Mya)	
SDE2	0	0	4	orangutan lineage (<17 Mya)	SDE2,HP1BP3
KIAA0825	0	0	4	orangutan lineage (<17 Mya)	KIAA0825
ERVK3-1	0	0	4	orangutan lineage (<17 Mya)	ERVK3-1,ZNF8
(unnamed)	0	0	4	orangutan lineage (<17 Mya)	
BHMT2	0	0	4	orangutan lineage (<17 Mya)	BHMT2,DMGDH,CATSPER3,PCBD2,ZAN
ITPR3	0	0	4	orangutan lineage (<17 Mya)	ITPR3,C7H8orf33,VPS53
(unnamed)	0	0	4	orangutan lineage (<17 Mya)	
TNFAIP8L1	0	0	4	orangutan lineage (<17 Mya)	TNFAIP8L1,NHS
(unnamed)	0	0	4	orangutan lineage (<17 Mya)	
CSNK1G2	0	0	4	orangutan lineage (<17 Mya)	CSNK1G2
GGNBP2	0	0	4	orangutan lineage (<17 Mya)	GGNBP2
(unnamed)	0	0	4	orangutan lineage (<17 Mya)	
(unnamed)	0	0	4	orangutan lineage (<17 Mya)	
AKT1	3	2	0	African-ape ancestor (~9-17 Mya)	AKT1,MIR641,AKT2,SDCCAG8,AKT3
CAPN2	2	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	CAPN2,CAPN1,CAPN11
CD55	3	0	2	ancestral, contracted in gorilla (>17 Mya)	CD55
SEC22B	3	3	0	African-ape ancestor (~9-17 Mya)	SEC22B,GSTM2
NOTCH2	3	0	0	chimp lineage (<9 Mya; or shared with human)	NOTCH2,NBPF7P
TXNIP	3	0	0	chimp lineage (<9 Mya; or shared with human)	TXNIP
LRIG3	3	0	0	chimp lineage (<9 Mya; or shared with human)	LRIG3
RBMXL1	2	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	RBMXL1,KYAT3,RBMX
TXNDC12	3	2	0	African-ape ancestor (~9-17 Mya)	TXNDC12,BTF3L4,BTF3,SENP7
KPNA6	3	0	3	ancestral, contracted in gorilla (>17 Mya)	KPNA6,KPNA5,KPNA1
YTHDF2	2	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	YTHDF2,YTHDF3,YTHDF1
AKR7A2	2	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	AKR7A2,AKR7A3
GNB1	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	GNB1,GNB2,GNB4,MFN1
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
CPEB2	3	0	3	ancestral, contracted in gorilla (>17 Mya)	CPEB2,CPEB4,CPEB3,MARCHF5
CAMK2D	3	0	3	ancestral, contracted in gorilla (>17 Mya)	CAMK2D,CAMK2B,CAMK2G,OGDH
HSPA4L	3	0	3	ancestral, contracted in gorilla (>17 Mya)	HSPA4L,HSPA4,HSPH1
HMGB2	3	0	0	chimp lineage (<9 Mya; or shared with human)	HMGB2,NRG3,HMGB1
TENM3	3	0	0	chimp lineage (<9 Mya; or shared with human)	TENM3,TENM4
THBS4	2	3	0	African-ape ancestor (~9-17 Mya)	THBS4,COMP,THBS3
PLK2	3	0	0	chimp lineage (<9 Mya; or shared with human)	PLK2
CTNNA2	3	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	CTNNA2,LRRTM2,CTNNA1
SPINK5	3	0	0	chimp lineage (<9 Mya; or shared with human)	SPINK5,EEF1G
RPLP1	3	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	RPLP1,MAP7,G3BP1
PANK3	3	3	0	African-ape ancestor (~9-17 Mya)	PANK3,MIR107,PANK1,PANK2,MIR103-1
HNRNPH1	2	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	HNRNPH1,HNRNPH2,HNRNPF,GLA
SERPINB9	2	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	SERPINB9,SERPINB6,SERPINB8
GMPR2	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	GMPR2,GMPR,TINF2,ATXN1
SLC17A1	3	0	3	ancestral, contracted in gorilla (>17 Mya)	SLC17A1
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
KLC4	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	KLC4,KLC2,MRPL2,KLC3,RAB1B
PHIP	3	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	PHIP,BRWD1,BRWD3
EPHA7	3	0	0	chimp lineage (<9 Mya; or shared with human)	EPHA7,EPHA4,EPHA3
EZR	2	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	EZR,MSN,SYTL3,RDX
RPL23A	3	3	0	African-ape ancestor (~9-17 Mya)	RPL23A,PDCD2,TLCD1
CYTH3	3	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	CYTH3,CYTH1,CYTH2
DPY19L2	3	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DPY19L2,DPY19L1
SLC25A1	2	0	3	ancestral, contracted in gorilla (>17 Mya)	SLC25A1
INTS4	3	0	0	chimp lineage (<9 Mya; or shared with human)	INTS4,AAMDC
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
CUX1	3	0	0	chimp lineage (<9 Mya; or shared with human)	CUX1
VDAC3	3	0	0	chimp lineage (<9 Mya; or shared with human)	VDAC3,DKK4,VDAC2
KANK1	3	0	0	chimp lineage (<9 Mya; or shared with human)	KANK1
IMPDH2	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	IMPDH2,IMPDH1,NDUFAF3
FLNA	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	FLNA,FLNB,FLNC
FNTA	3	2	0	African-ape ancestor (~9-17 Mya)	FNTA,LRMDA,JAK2,CCNC,TSTD3
WWP1	3	0	3	ancestral, contracted in gorilla (>17 Mya)	WWP1,WWP2,ITCH,MIR140,DYNLRB1
PFKP	3	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	PFKP,PFKM,PFKL,SENP1,ASB8
AKR1C3	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	AKR1C3,AKR1C2
TIMM23	3	2	0	African-ape ancestor (~9-17 Mya)	TIMM23,TIMM23B,PARG
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
HK1	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	HK1,HK2,HKDC1
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
LDHB	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	LDHB,LDHA,LDHC
MTA2	3	0	2	ancestral, contracted in gorilla (>17 Mya)	MTA2,MTA3,EML3,MTA1
PYGL	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	PYGL,PYGB,PYGM,ABHD12
PPP1CA	2	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	PPP1CA,RAD9A,PPP1CC,PPP1CB
PAK1	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	PAK1,PAK3,PAK2,PIGX
DLG2	3	0	0	chimp lineage (<9 Mya; or shared with human)	DLG2,DLG4,DLG1
MYL6	3	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	MYL6,MYL6B,MYL4,CDC27
SMARCD1	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	SMARCD1,SMARCD2,SMARCD3
ATP2A2	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	ATP2A2,ATP2A1,RABEP2,ATP2A3
TAOK3	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	TAOK3,TAOK2,TAOK1
UBC	3	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	UBC,UBB
RPS6	3	0	0	chimp lineage (<9 Mya; or shared with human)	RPS6
BRD3	2	3	0	African-ape ancestor (~9-17 Mya)	BRD3,BRD4,BRD2
CTSV	2	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	CTSV,CTSL
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
RFX3	3	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	RFX3,RFX2,ACSBG2,RFX1
PRKD3	2	3	0	African-ape ancestor (~9-17 Mya)	PRKD3,PRKD1,NDUFAF7,PRKD2
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
SMPD4	3	0	2	ancestral, contracted in gorilla (>17 Mya)	SMPD4
CXADR	3	0	0	chimp lineage (<9 Mya; or shared with human)	CXADR
TRPC4AP	2	3	0	African-ape ancestor (~9-17 Mya)	TRPC4AP,MYH7B,MIR208B,MYH7,MYH15
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
SLC12A6	2	0	3	ancestral, contracted in gorilla (>17 Mya)	SLC12A6,SLC12A4,EMC4,SLC12A7
MYL9	3	3	3	ancestral great-ape (>17 Mya, pre-orangutan)	MYL9,MYL12B,MYL12A,MYOM1
SSX3	2	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	SSX3
PAGE2B	3	0	2	ancestral, contracted in gorilla (>17 Mya)	PAGE2B,PAGE5
CXHXorf49B	3	0	2	ancestral, contracted in gorilla (>17 Mya)	CXHXorf49B
DMRTC1B	2	2	3	ancestral great-ape (>17 Mya, pre-orangutan)	DMRTC1B,DMRTC1,FAM236B
PLS3	2	3	2	ancestral great-ape (>17 Mya, pre-orangutan)	PLS3,PLS1,LCP1
(unnamed)	3	0	0	chimp lineage (<9 Mya; or shared with human)	
(unnamed)	3	0	3	ancestral, contracted in gorilla (>17 Mya)	
DRICH1	2	0	3	ancestral, contracted in gorilla (>17 Mya)	DRICH1
APOL3	2	3	0	African-ape ancestor (~9-17 Mya)	APOL3,APOL2,APOL1
FMO4	0	3	0	gorilla lineage (<9 Mya)	FMO4,FMO1,FMO2
PLEKHM1	0	3	0	gorilla lineage (<9 Mya)	PLEKHM1
SEPTIN4	0	3	0	gorilla lineage (<9 Mya)	SEPTIN4,SEPTIN2,GP1BB,SEPTIN5
COL1A1	0	3	2	ancestral, contracted in chimp (>17 Mya)	COL1A1,COL2A1,COL1A2
(unnamed)	0	3	0	gorilla lineage (<9 Mya)	
(unnamed)	0	3	0	gorilla lineage (<9 Mya)	
ACSL6	0	2	3	ancestral, contracted in chimp (>17 Mya)	ACSL6,ACSL5,ACSL1,ZDHHC6
(unnamed)	0	3	0	gorilla lineage (<9 Mya)	
GMNN	0	3	0	gorilla lineage (<9 Mya)	GMNN
ITPR3	0	3	0	gorilla lineage (<9 Mya)	ITPR3,ITPR2,ITPR1
GRM4	0	3	0	gorilla lineage (<9 Mya)	GRM4,GRM8,GRM7
RPL7A	0	3	2	ancestral, contracted in chimp (>17 Mya)	RPL7A,RFX6
EYA4	0	3	0	gorilla lineage (<9 Mya)	EYA4,EYA1,EYA2
EPHB4	0	3	0	gorilla lineage (<9 Mya)	EPHB4,EPHB1,EPHB3
AKR1B1	0	3	0	gorilla lineage (<9 Mya)	AKR1B1,AKR1B10
LOXL2	0	3	0	gorilla lineage (<9 Mya)	LOXL2,LOXL4,HTRA2,LOXL3,DOK1
CAMK1D	0	3	0	gorilla lineage (<9 Mya)	CAMK1D,PNCK,CAMK1,OGG1
KIF5B	0	3	0	gorilla lineage (<9 Mya)	KIF5B,KIF5A,KIF5C
GPR17	0	3	3	ancestral, contracted in chimp (>17 Mya)	GPR17,LIMS2,LIMS1
SCN9A	0	3	0	gorilla lineage (<9 Mya)	SCN9A,SCN7A
CNTNAP3C	0	3	0	gorilla lineage (<9 Mya)	CNTNAP3C
LRRC8E	0	3	0	gorilla lineage (<9 Mya)	LRRC8E,LRRC8A
MGAT2	0	2	3	ancestral, contracted in chimp (>17 Mya)	MGAT2,RPL36AL,RPL36A,HELZ
ACOT2	0	3	2	ancestral, contracted in chimp (>17 Mya)	ACOT2,ACOT4,ACOT6,HEATR4
HSCB	0	3	0	gorilla lineage (<9 Mya)	HSCB,CHEK2
DEXI	0	3	0	gorilla lineage (<9 Mya)	DEXI,CIITA
MIR1266	0	3	0	gorilla lineage (<9 Mya)	MIR1266,MYO5C,MYO5A,MYO5B
PDPR	0	3	0	gorilla lineage (<9 Mya)	PDPR,PSMD7
ZSCAN5B	0	3	0	gorilla lineage (<9 Mya)	ZSCAN5B
PLXNB3	0	3	0	gorilla lineage (<9 Mya)	PLXNB3,PLXNB1,PLXNB2
YOD1	0	0	3	orangutan lineage (<17 Mya)	YOD1,PFKFB2,PFKFB3,PFKFB4
EDEM3	0	0	3	orangutan lineage (<17 Mya)	EDEM3,SPEM2
CELF3	0	0	3	orangutan lineage (<17 Mya)	CELF3,CELF6,CELF5
ELAVL4	0	0	3	orangutan lineage (<17 Mya)	ELAVL4,ELAVL2,ELAVL1
TRNAN-GUU	0	0	3	orangutan lineage (<17 Mya)	TRNAN-GUU
PTPRN2	0	0	3	orangutan lineage (<17 Mya)	PTPRN2
CSNK1G3	0	0	3	orangutan lineage (<17 Mya)	CSNK1G3,CSNK1G1,CSNK1G2
ATF6B	0	0	3	orangutan lineage (<17 Mya)	ATF6B,CLUAP1,TUBG1,RETREG3
GUSB	0	0	3	orangutan lineage (<17 Mya)	GUSB
KMT2C	0	0	3	orangutan lineage (<17 Mya)	KMT2C
KMT2C	0	0	3	orangutan lineage (<17 Mya)	KMT2C
(unnamed)	0	0	3	orangutan lineage (<17 Mya)	
CEP20	0	0	3	orangutan lineage (<17 Mya)	CEP20
ARL5A	0	0	3	orangutan lineage (<17 Mya)	ARL5A,ACTR2
(unnamed)	0	0	3	orangutan lineage (<17 Mya)	
(unnamed)	0	0	3	orangutan lineage (<17 Mya)	
(unnamed)	0	0	3	orangutan lineage (<17 Mya)	
(unnamed)	0	0	3	orangutan lineage (<17 Mya)	
(unnamed)	0	0	3	orangutan lineage (<17 Mya)	
PDZD9	0	0	3	orangutan lineage (<17 Mya)	PDZD9
SLX1A	0	0	3	orangutan lineage (<17 Mya)	SLX1A
MT1X	0	0	3	orangutan lineage (<17 Mya)	MT1X
HSFX1	0	0	3	orangutan lineage (<17 Mya)	HSFX1
KEF41_t22	2	0	0	chimp lineage (<9 Mya; or shared with human)	KEF41_t22,KEF41_t21,CYTB,KEF41_t20,ND6
PGBD1	2	0	0	chimp lineage (<9 Mya; or shared with human)	PGBD1
CHML	2	0	0	chimp lineage (<9 Mya; or shared with human)	CHML,OPN3,MIR361,CHM
RGS7	2	0	0	chimp lineage (<9 Mya; or shared with human)	RGS7,THAP12
TRIM17	2	0	0	chimp lineage (<9 Mya; or shared with human)	TRIM17,TRIM11
ITPKB	2	0	0	chimp lineage (<9 Mya; or shared with human)	ITPKB,ITPKA
PYCR2	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	PYCR2,PYCR1
TMEM63A	2	2	0	African-ape ancestor (~9-17 Mya)	TMEM63A,TMEM63B,EPHX1
ATP2B4	2	0	2	ancestral, contracted in gorilla (>17 Mya)	ATP2B4,ATP2B3,ATP2B1
(unnamed)	2	0	0	chimp lineage (<9 Mya; or shared with human)	
DNM3	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	DNM3,DNM2,MIR214,MIR199A-2,MIR199A-1
HSD17B7	2	0	0	chimp lineage (<9 Mya; or shared with human)	HSD17B7
TRNAG-UCC	2	0	0	chimp lineage (<9 Mya; or shared with human)	TRNAG-UCC,TRNAD-GUC
GON4L	2	0	0	chimp lineage (<9 Mya; or shared with human)	GON4L,YY1AP1,DAP3
CLK2	2	0	0	chimp lineage (<9 Mya; or shared with human)	CLK2
UBE2Q1	2	2	2	ancestral great-ape (>17 Mya, pre-orangutan)	UBE2Q1,UBE2Q2
