gene_a	gene_b	core_recip	compara
ZNF721	ZFP28	0.153	not
ZNF287	ZNF780B	0.156	not
ZNF260	ZNF334	0.136	paralog
ZNF490	RPL14	0.134	not
ZNF823	ZNF235	0.133	not
ZNF197	ZNF501	0.173	paralog
ZNF506	ZNF626	0.171	not
ZNF571	ZNF813	0.149	not
ZNF548	ZNF551	0.175	paralog
ZNF267	ZNF430	0.164	not
ZNF624	ZNF234	0.171	paralog
ZNF565	ZNF416	0.181	not
ZNF841	ZNF502	0.140	paralog
ZNF836	ZNF813	0.160	not
ZNF595	ZNF267	0.166	paralog
ZIK1	ZNF134	0.184	paralog
TRIM6	TRIM22	0.173	paralog
ZNF565	ZNF331	0.154	paralog
ZNF25	ZNF510	0.192	not
ZNF585A	ZNF573	0.149	paralog
ZSCAN2	ZNF225	0.184	not
ZNF799	ZNF791	0.130	paralog
ZNF10	ZNF180	0.185	paralog
ZFP37	ZNF266	0.157	paralog
ZNF564	ZNF607	0.136	not
ZNF124	ZNF140	0.130	not
ZNF595	ZNF546	0.192	paralog
ZNF721	ZNF836	0.178	not
ZSCAN31	ZNF232	0.199	paralog
ZNF30	ZNF502	0.155	paralog
ZNF790	ZNF568	0.148	paralog
ZNF33B	ZNF502	0.180	paralog
ZNF616	ZNF35	0.133	not
ZNF92	ZNF91	0.134	not
ZNF468	ZNF813	0.174	paralog
ZNF891	ZNF583	0.156	not
MTHFD2L	FGD3	0.157	not
ZFP69	ZNF540	0.163	not
P4HA1	RPL17	0.153	not
ZNF45	ZNF112	0.177	paralog
ZNF684	ZFP82	0.147	not
CILP	CILP2	0.173	paralog
APOL4	APOL1	0.149	paralog
ZNF566	ZNF461	0.131	not
ZNF26	ZNF568	0.180	paralog
ZNF382	ZNF180	0.180	not
ZNF669	ZNF529	0.139	paralog
ZNF805	ZNF256	0.139	not
ZNF546	ZNF175	0.195	paralog
ZNF879	ZNF157	0.184	paralog
SEM1	LRFN5	0.169	not
ZNF566	ZNF780A	0.180	not
KCNIP1	RPL14	0.133	not
SDHAF3	EPPIN	0.138	not
ZNF180	ZNF606	0.137	not
ZNF420	ZNF616	0.169	not
ZNF140	ZNF554	0.135	not
ZNF394	ZNF75D	0.140	paralog
ZNF782	ZNF382	0.179	not
ZNF780B	ZNF583	0.179	not
ZFP62	ZNF502	0.151	not
ZNF92	ZFP82	0.137	not
ZNF682	ZNF790	0.162	paralog
ZNF234	ZNF665	0.159	not
ZNF585B	ZNF480	0.137	not
ZNF569	ZKSCAN7	0.150	not
ZNF594	ZNF544	0.137	not
ZNF883	ZNF594	0.146	not
ZNF595	ZNF616	0.167	paralog
ZNF879	ZNF197	0.134	paralog
ZNF30	ZNF83	0.155	paralog
ZSCAN30	ZNF263	0.141	paralog
ZNF585B	ZNF28	0.166	paralog
ZFP2	ZNF540	0.167	paralog
ZNF614	ZNF157	0.134	not
ZNF430	ZNF841	0.183	not
ZNF397	ZNF836	0.142	not
ZSCAN30	ZNF527	0.197	not
ZNF181	ZNF527	0.139	not
ZNF568	ZNF600	0.181	paralog
ZNF440	ZNF57	0.149	not
ZNF527	ZNF83	0.164	not
ZNF567	ZNF780B	0.174	not
ZNF83	ZNF549	0.163	not
ZNF721	ZNF566	0.157	not
USP54	OPA3	0.143	not
ZNF778	ZNF560	0.166	paralog
ZNF260	ZNF665	0.169	not
ZNF624	ZNF805	0.181	not
ZNF565	ZNF568	0.200	paralog
ZSCAN31	ZSCAN21	0.158	paralog
ZNF26	ZNF154	0.170	not
ZNF266	ZNF823	0.140	not
ZFP37	ZNF606	0.187	not
ZNF189	ZNF594	0.172	not
ZNF567	ZNF81	0.149	not
ZNF616	ZNF813	0.190	not
ZNF670	ZNF564	0.136	not
ZNF721	ZNF808	0.152	paralog
ZIK1	ZNF671	0.199	not
ZNF568	ZNF175	0.151	paralog
ZNF84	ZFP28	0.156	not
ZFP82	ZNF780B	0.159	paralog
ZNF721	ZNF626	0.182	not
ZNF571	ZNF28	0.146	paralog
ZNF572	ZNF329	0.163	not
ZNF586	ZNF132	0.140	not
ZNF267	ZNF616	0.176	paralog
ZNF671	ZNF35	0.147	not
ZNF585B	ZNF57	0.147	not
ZNF354A	ZNF256	0.185	not
ZNF585B	ZNF571	0.141	paralog
ZNF727	ZNF681	0.154	paralog
ZNF682	OSBPL10	0.176	not
ZNF141	ZNF721	0.149	not
ZNF484	ZNF571	0.142	paralog
ZNF487	ZNF571	0.145	not
ZNF140	ZNF594	0.152	not
ZNF671	ZNF132	0.185	not
ZNF624	ZNF112	0.130	paralog
ZNF727	ZNF415	0.135	paralog
ZNF585A	ZNF660	0.148	not
ZSCAN21	ZKSCAN5	0.143	not
TNFRSF10B	CGREF1	0.192	not
IFITM1	VCF2	0.137	not
ZNF721	ZNF486	0.150	not
ZNF568	ZNF418	0.138	not
ZNF614	ZNF256	0.140	not
ZNF273	ZFP37	0.134	not
ZNF302	ZNF502	0.192	not
ZNF177	ZNF551	0.145	not
ZFP2	ZNF613	0.182	not
ZNF300	ZNF502	0.158	paralog
ZNF189	ZNF571	0.197	paralog
ZNF674	ZNF41	0.140	not
ZNF287	ZNF717	0.184	not
ZNF354A	ZNF808	0.152	not
ZNF699	ZNF823	0.135	not
ZNF627	ZNF14	0.163	not
ZNF77	ZNF157	0.158	not
ZNF33B	ZNF157	0.189	paralog
ZNF594	ZNF256	0.155	not
ZNF141	ZNF486	0.193	paralog
ZNF169	ZNF875	0.150	paralog
ZNF33B	ZNF566	0.150	not
ZFP2	ZNF283	0.156	paralog
ZNF566	ZNF619	0.161	paralog
ZNF527	ZNF157	0.149	not
ZNF792	ZNF554	0.137	not
WFIKKN2	WFIKKN1	0.163	paralog
ZNF184	ZNF780A	0.136	not
DCP1B	PDCD5	0.196	not
ZNF268	ZNF180	0.167	not
ZNF189	ZNF23	0.150	paralog
ZNF695	ZNF112	0.168	paralog
ZFP62	ZSCAN2	0.132	not
ZNF33B	ZNF197	0.162	paralog
ZFP3	ZNF81	0.158	paralog
ZNF546	ZKSCAN7	0.162	not
ZNF776	ZNF418	0.195	not
ZNF792	ZNF285	0.131	not
ZNF721	ZNF92	0.168	not
ZNF83	ZNF813	0.168	not
ZNF195	ZNF611	0.158	paralog
ZNF426	ZNF540	0.172	not
ZNF624	ZNF607	0.192	paralog
ZNF302	ZNF83	0.136	not
ZNF600	ZFP28	0.147	paralog
ZFP62	ZNF157	0.154	not
ZNF273	ZNF583	0.169	not
CGREF1	ZNF80	0.148	not
PLXND1	PLXNB1	0.189	paralog
PTPN11	PTPN6	0.137	paralog
ZFP2	ZNF304	0.163	not
ZNF596	ZNF527	0.183	not
ZNF141	ZNF727	0.181	paralog
ZNF440	ZNF502	0.133	not
ZNF79	ZNF671	0.147	not
ZNF84	ZNF674	0.139	not
ZNF594	ZNF805	0.172	not
AKAP1	TTPAL	0.189	not
ZNF121	ZNF681	0.184	paralog
ZNF670	ZNF433	0.190	not
ZNF605	ZNF573	0.180	paralog
ZNF540	ZNF468	0.146	not
ZNF84	ZNF808	0.146	not
ZNF605	ZNF302	0.184	not
ZNF157	ZKSCAN7	0.151	not
ZNF510	ZNF527	0.138	not
ZNF33B	ZNF557	0.153	not
ZNF519	ZNF616	0.161	paralog
ZNF484	ZNF81	0.197	paralog
ZNF43	ZNF611	0.137	paralog
ZNF181	ZNF583	0.179	not
ZNF568	ZKSCAN7	0.144	not
ZNF782	ZNF780A	0.138	paralog
ZNF675	ZNF836	0.167	not
ZNF736	ZNF91	0.185	not
ZNF510	ZNF83	0.162	paralog
ZNF260	ZNF813	0.166	not
ZFP62	ZNF195	0.167	not
ZNF461	ZNF331	0.142	paralog
ZNF354B	ZFP37	0.190	not
ZNF484	ZNF502	0.137	paralog
ZNF487	ZNF502	0.168	not
ZNF177	ZNF560	0.147	paralog
ZNF251	ZNF45	0.143	paralog
RRM2	EFHC2	0.160	not
ZNF354B	ZNF717	0.152	paralog
ZNF808	ZNF813	0.194	not
ZFP37	ZNF177	0.173	paralog
ZNF30	OSBPL10	0.166	not
ZNF829	ZNF197	0.179	paralog
ZNF136	ZNF77	0.149	not
ZNF566	ZNF331	0.172	not
ZNF184	ZNF605	0.157	not
DCP1B	NAP1L3	0.133	not
ZNF26	ZNF260	0.162	paralog
ZNF133	ZNF337	0.196	paralog
ZNF195	ZNF415	0.139	paralog
ZNF84	ZNF841	0.192	not
ZNF723	ZNF836	0.140	not
ZNF682	ZNF578	0.189	not
ZNF888	OSBPL10	0.173	not
ULBP1	ULBP3	0.175	paralog
ZNF721	ZNF486	0.150	not
ZSCAN21	ZKSCAN7	0.131	not
ZNF3	ZNF235	0.156	paralog
ZNF879	ZNF546	0.167	paralog
ZNF823	ZNF564	0.166	not
ZNF300	ZNF157	0.181	paralog
ZNF486	ZNF182	0.131	paralog
ZNF224	ZNF229	0.134	paralog
ZNF836	ZNF502	0.155	paralog
ZFP2	ZNF84	0.148	not
ZNF611	ZFP28	0.189	paralog
ZNF251	ZNF776	0.134	not
ZFP2	ZNF550	0.183	not
ZNF23	ZNF420	0.152	not
ZNF394	ZKSCAN7	0.143	not
ZNF224	ZNF112	0.164	paralog
NDUFAF2	OXCT1	0.168	not
ZNF519	ZNF836	0.188	paralog
ZSCAN2	ZNF23	0.155	not
ZNF546	OSBPL10	0.149	not
ZNF684	ZNF334	0.151	not
ZNF585B	ZNF83	0.141	paralog
ZNF594	ZNF544	0.161	not
ZNF596	ZNF416	0.134	not
ZNF302	ZNF197	0.137	not
ZNF311	ZSCAN21	0.173	not
ZNF883	ZNF484	0.155	paralog
ZNF394	ZNF263	0.135	paralog
ZNF484	ZNF83	0.165	paralog
ZNF300	ZNF197	0.185	paralog
ZNF433	ZNF490	0.169	not
ZSCAN12	ZSCAN21	0.162	paralog
ZFP37	ZNF256	0.173	not
SLC4A2	SLC4A3	0.192	paralog
ZNF563	ZNF490	0.200	not
ZNF33B	ZNF260	0.152	paralog
ZNF727	ZNF626	0.176	not
ZNF263	ZNF329	0.135	not
SLC43A1	SLC43A2	0.166	paralog
ZFP62	ZSCAN16	0.141	not
ZNF565	ZNF260	0.178	paralog
ZNF560	ZNF573	0.175	not
ZNF267	ZNF254	0.156	paralog
ZNF189	ZNF83	0.165	paralog
ZNF605	ZNF132	0.152	paralog
ZNF721	ZNF727	0.192	not
ZNF154	ZNF418	0.151	paralog
ZNF397	ZNF527	0.196	not
ZNF595	ZNF836	0.159	paralog
ZKSCAN4	ZSCAN31	0.162	paralog
ZNF665	ZNF674	0.152	not
ZNF91	ZNF600	0.143	not
ZNF605	ZNF471	0.152	paralog
ZNF394	ZSCAN29	0.159	not
ZNF879	ZNF433	0.175	not
ZNF624	ZNF615	0.154	paralog
ZNF823	ZNF546	0.131	not
ZNF546	ZFP28	0.186	paralog
ZNF841	ZNF600	0.194	paralog
ZNF761	ZNF606	0.140	not
ZFP62	ZNF26	0.182	not
ZNF684	ZNF605	0.175	not
ZNF627	ZNF57	0.168	not
ZNF565	ZSCAN22	0.195	not
PCCA	CHRNA3	0.153	not
ZNF184	ZFP28	0.165	not
ZNF546	ZNF836	0.190	paralog
ZNF394	ZNF619	0.138	not
ZNF175	ZNF334	0.151	paralog
SOX30	NAP1L3	0.170	not
ZNF778	ZNF266	0.137	paralog
ZNF721	ZNF30	0.137	not
ZNF696	ZNF79	0.149	not
ZNF300	ZNF45	0.156	paralog
ZNF484	ZNF468	0.173	not
ZFP2	ZKSCAN3	0.186	not
ZFP3	ZNF583	0.186	not
ZNF25	ZNF23	0.194	not
ZNF84	ZNF527	0.148	not
ZNF260	ZNF766	0.157	not
ZNF594	ZNF256	0.157	not
ZFP69B	ZNF197	0.146	not
ZNF573	ZNF549	0.148	not
ZNF624	ZNF264	0.166	not
UBQLN4	UBQLN2	0.141	paralog
ZNF684	ZNF649	0.147	not
ZNF426	ZNF35	0.189	not
ZNF254	ZNF578	0.163	not
ZNF124	ZNF441	0.152	not
ZNF141	ZNF415	0.134	paralog
ZNF623	ZNF892	0.167	paralog
ZNF527	ZNF546	0.168	not
ZNF354A	ZFP37	0.142	not
ZNF221	ZNF233	0.168	not
ZNF34	ZNF813	0.188	not
FAM228B	FGD3	0.157	not
ZNF487	ZNF197	0.161	not
ZSCAN2	ZNF835	0.168	not
ZNF19	ZNF157	0.149	not
ZFP2	ZKSCAN4	0.163	not
CGREF1	OTULINL	0.157	not
ZNF594	ZNF829	0.140	not
DCAF16	SEM1	0.167	not
ZNF397	ZNF468	0.193	not
ZNF134	ZNF132	0.194	not
ZNF595	ZNF721	0.196	not
ZNF180	ZNF182	0.184	not
ZNF585A	ZNF528	0.193	paralog
ZNF222	ZNF229	0.132	not
ZNF678	ZNF519	0.156	paralog
ZNF429	ZNF766	0.145	not
ZNF771	MZF1	0.197	not
ZFP62	ZNF585B	0.146	not
SPC25	RANBP6	0.140	not
ZSCAN2	ZNF135	0.173	not
HIVEP1	TNFRSF10B	0.155	not
ZNF440	ZNF799	0.140	not
ZNF607	ZNF841	0.164	paralog
ZNF84	ZNF585B	0.167	not
ZNF721	ZNF273	0.151	not
ZNF564	ZNF14	0.140	not
ZNF222	ZNF233	0.143	paralog
ZNF605	ZNF432	0.189	paralog
ZNF565	ZNF568	0.170	paralog
ZNF721	ZNF665	0.132	not
ZFP2	ZNF514	0.137	paralog
ZNF287	ZNF585A	0.139	not
ZNF189	ZNF460	0.160	paralog
ZNF16	ZNF285	0.160	not
ZFP2	ZNF594	0.159	not
ZNF418	ZNF132	0.145	not
ZNF792	ZNF551	0.197	paralog
ZNF468	ZNF197	0.143	not
ZNF30	ZNF780A	0.141	paralog
ZNF251	ZNF585A	0.160	paralog
ZNF84	ZFP37	0.132	not
ZNF611	ZNF761	0.197	not
ZNF121	ZNF799	0.135	not
ZNF778	ZNF790	0.153	not
ZFP69	ZNF571	0.136	not
KDM5B	KDM5D	0.143	paralog
MAGEB2	MAGEB1	0.163	paralog
ZNF571	ZNF460	0.197	paralog
ZNF766	ZNF182	0.147	not
ZNF649	ZNF613	0.196	paralog
ZNF254	ZNF528	0.143	paralog
PJA2	PJA1	0.162	paralog
ZNF568	ZNF256	0.166	not
ZNF91	OSBPL10	0.146	not
ZNF836	ZNF460	0.137	paralog
ZNF573	ZNF813	0.137	not
TMEM229A	RAPH1	0.162	not
ZNF19	ZNF557	0.157	paralog
ZNF486	ZNF112	0.135	paralog
ZNF141	ZNF254	0.137	paralog
ZNF624	ZNF573	0.182	paralog
ZFP37	ZNF347	0.133	not
ZNF791	ZNF682	0.152	not
ZNF624	ZNF883	0.160	paralog
ZNF727	ZNF267	0.137	paralog
ZNF486	ZNF568	0.133	paralog
ZFP2	ZNF30	0.137	paralog
ZNF441	ZNF791	0.200	paralog
ZNF792	ZNF586	0.135	paralog
ZNF287	ZNF334	0.152	not
ZNF3	ZNF250	0.161	paralog
ZNF823	ZNF564	0.180	not
ZNF26	ZNF660	0.185	not
ZNF766	ZNF347	0.161	not
ZNF568	ZNF571	0.152	paralog
ZFP82	ZNF829	0.132	paralog
ZNF250	ZNF74	0.136	paralog
ZNF527	ZNF329	0.158	not
ZNF283	ZNF81	0.195	paralog
ZNF260	ZNF569	0.162	not
ZNF506	ZNF761	0.153	not
JAG2	JAG1	0.173	paralog
ZNF550	ZNF80	0.173	paralog
ZNF34	ZNF594	0.133	not
ZNF429	ZNF600	0.145	paralog
ZNF124	ZNF14	0.184	not
ZNF302	ZNF569	0.196	paralog
ZNF527	ZNF334	0.147	not
ZNF699	ZNF543	0.149	paralog
ZNF594	ZNF600	0.141	not
ZNF487	ZNF382	0.143	not
LHX9	LHX2	0.153	paralog
ZFP90	ZNF568	0.149	not
ZNF782	ZNF180	0.163	not
ZNF485	ZNF23	0.147	not
ZNF79	ZNF836	0.189	not
MTHFD2L	NOSTRIN	0.131	not
ZNF605	ZNF30	0.138	paralog
ZNF594	ZNF175	0.140	not
ZSCAN2	ZNF197	0.154	not
ZNF699	ZNF441	0.132	not
NXF3	BEX3	0.139	not
ZNF892	ZNF429	0.178	paralog
ZNF613	ZNF615	0.136	not
ZNF766	ZNF611	0.138	not
ZFP62	ZKSCAN7	0.145	not
ZNF287	ZNF605	0.169	not
ZNF554	ZNF334	0.154	not
ZNF624	ZNF699	0.168	paralog
ZNF879	ZFP28	0.166	paralog
ZNF600	ZNF468	0.172	not
ZNF680	ZNF195	0.171	not
ZNF528	ZNF813	0.175	not
ZNF823	ZNF546	0.178	not
ZNF248	ZNF334	0.163	not
ZNF471	ZNF502	0.180	paralog
ZNF19	ZNF260	0.139	not
ZNF354B	ZNF260	0.149	paralog
ZNF30	ZNF582	0.189	not
ZNF266	ZNF790	0.156	not
ZFP62	ZNF184	0.197	not
ZNF184	ZNF780B	0.141	not
ZNF214	ZNF235	0.199	not
ZNF484	ZFP1	0.137	paralog
ZNF546	ZNF182	0.133	paralog
RPLP1	TXNL4B	0.197	not
ZNF354B	ZNF624	0.162	paralog
ZNF624	ZSCAN12	0.131	not
KIF3C	KIF3B	0.133	paralog
ZFP37	ZNF468	0.162	not
ZKSCAN5	ZNF571	0.146	paralog
ZNF283	ZNF83	0.164	paralog
ZNF721	ZNF568	0.137	not
ZNF695	ZNF721	0.186	not
ZNF285	ZNF229	0.162	not
ZNF805	ZNF256	0.158	not
ZNF91	ZNF600	0.189	not
ZNF254	ZNF578	0.149	not
ZFP2	ZNF528	0.162	paralog
ZNF287	ZNF302	0.141	not
ZNF302	ZNF585A	0.151	not
ZNF300	ZNF585A	0.133	paralog
ZNF260	ZNF529	0.170	not
ZNF302	ZNF780A	0.195	not
ZNF300	ZNF780A	0.154	paralog
ZNF16	ZNF23	0.194	paralog
ZNF195	ZNF600	0.165	paralog
ZNF684	ZNF195	0.163	not
ZNF792	ZNF256	0.198	paralog
ZFP62	ZNF607	0.145	not
ZNF91	ZNF616	0.181	not
ZNF567	ZNF334	0.142	not
ZNF260	ZNF568	0.167	paralog
ZFP2	ZNF681	0.193	paralog
ZNF681	ZNF585B	0.141	paralog
ZFP37	ZNF197	0.171	not
ZNF165	ZNF606	0.145	not
DVL1	DVL2	0.166	paralog
ZNF595	ZNF611	0.132	paralog
ZFP69B	ZFP90	0.196	paralog
ZNF304	ZIK1	0.182	paralog
ZNF121	ZNF569	0.162	not
ZNF3	ZNF157	0.173	paralog
ZNF433	ZNF583	0.133	not
ZNF721	ZNF519	0.148	not
ZNF836	ZNF600	0.190	paralog
ZNF607	ZNF665	0.197	not
ZNF267	OSBPL10	0.132	not
ZNF16	ZNF33B	0.195	paralog
ZNF572	ZNF665	0.159	not
ZNF432	ZNF256	0.186	not
ZNF624	ZNF184	0.192	not
ZNF883	ZFP90	0.160	not
IL37	XIAP	0.142	not
ZNF426	ZNF571	0.183	not
ZNF616	ZNF766	0.194	not
ZNF300	ZNF420	0.186	not
ABCA13	ITSN1	0.141	not
ZNF782	ZNF780B	0.130	paralog
TNFRSF10D	TNFRSF10A	0.130	paralog
ZNF595	ZNF665	0.169	not
ZNF124	ZNF177	0.138	paralog
ZNF841	ZFP28	0.158	paralog
ZNF92	ZNF841	0.175	not
ZKSCAN4	ZSCAN21	0.158	paralog
ZNF879	ZNF426	0.139	not
ZNF304	ZIK1	0.187	paralog
ZNF665	ZNF583	0.173	not
ZNF181	ZNF304	0.171	not
GBP6	GBP3	0.151	paralog
ZNF611	ZNF468	0.170	not
ZFP62	ZNF778	0.142	not
ZNF723	ZNF91	0.149	not
ZNF699	ZNF660	0.181	not
ZNF879	ZNF189	0.160	paralog
ZNF354A	ZNF251	0.170	paralog
ZNF563	ZNF77	0.189	not
ZFP2	ZNF304	0.163	not
ZNF30	ZFP28	0.188	paralog
ZNF721	ZNF28	0.142	not
ZNF771	ZNF835	0.197	not
ZNF670	ZNF136	0.151	paralog
ZNF578	ZNF347	0.154	not
ZNF30	ZNF331	0.182	paralog
PLXNB1	PLXNB2	0.199	paralog
ZNF251	ZNF594	0.153	not
ZNF879	ZNF808	0.141	not
ZNF268	ZNF829	0.162	paralog
ZNF594	ZNF699	0.139	not
ZNF613	ZNF418	0.146	not
ZNF391	ZNF485	0.144	not
ZNF519	ZNF91	0.135	not
ZNF558	ZNF468	0.132	not
ZNF195	ZNF573	0.164	paralog
ZNF300	ZNF605	0.164	paralog
ZNF184	ZNF16	0.167	not
ZNF616	ZNF888	0.135	not
ZNF778	ZNF571	0.146	not
ZNF16	ZNF502	0.194	paralog
ZFP3	ZNF565	0.181	paralog
ZNF623	ZNF81	0.199	paralog
ZNF585B	ZNF780A	0.139	paralog
ZNF484	ZNF585A	0.177	paralog
ZNF471	ZNF157	0.189	paralog
ZNF268	ZNF766	0.152	not
ZNF761	ZNF182	0.136	not
GIMAP4	NAP1L3	0.132	not
ZNF695	ZNF813	0.140	not
ZNF627	ZNF799	0.191	not
ZNF565	ZNF540	0.166	paralog
ACAT2	TCP1	0.157	not
ZNF34	ZNF835	0.173	not
ZNF133	ZNF337	0.191	paralog
ZSCAN2	ZNF70	0.141	not
ZNF433	ZNF607	0.135	not
ZNF394	ZNF263	0.134	paralog
ZNF583	ZNF334	0.177	not
ZNF304	ZNF418	0.183	paralog
ZNF135	ZNF334	0.157	paralog
ZNF721	ZNF571	0.186	not
ZNF721	ZNF420	0.192	not
ZNF721	ZNF736	0.169	not
ZNF823	ZNF490	0.155	not
ZNF10	ZNF883	0.155	not
ZNF441	ZNF443	0.194	paralog
ZFP62	ZNF594	0.185	not
ZNF28	ZNF415	0.161	paralog
ZNF184	ZFP37	0.187	not
