a	b	seq_id	cov_min	cov_max	len_min	len_max	len_ratio	njunc_a	njunc_b	njunc_min	njunc_diff	njunc_ratio	frac_ref	frac_mem	aln_cov_small	contig	co_junc	antisense	same_chrom	log_dist	overlap	disjoint	edge_betw	jaccard_nbr	common_nbr	deg_min	deg_max	compara_pos	panel_real	panel_counter	group
LOC101130728	LOC129529234	0.9947	0.2311	0.4467	1069	4028	0.2654	9	7	7	2	0.7778	0.778	1.0	0.89	7	7	0	1	6.539	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129529234	LOC134758754	0.9937	0.231	0.4467	1069	4030	0.2653	7	9	7	2	0.7778	0.778	1.0	0.89	7	7	0	1	6.564	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129529234	LOC134756437	0.9895	0.4458	0.6516	1069	1458	0.7332	7	7	7	0	1.0	1.0	1.0	0.999	7	7	0	1	6.551	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129527105	LOC129529234	0.9871	0.1821	0.3065	1069	1266	0.8444	5	7	5	2	0.7143	0.286	0.4	0.363	2	2	0	0		0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129529226	LOC129534588	0.9924	0.9988	1.0	4326	4346	0.9954	19	19	19	0	1.0	1.0	1.0	0.999	19	19	0	1	5.006	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129529226	LOC129531982	0.9908	0.8789	1.0	3807	4326	0.88	19	19	19	0	1.0	1.0	1.0	0.997	19	19	0	1	7.126	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129529226	LOC134758744	0.9473	0.881	1.0	3632	4326	0.8396	19	18	18	1	0.9474	0.947	1.0	1.0	15	18	0	1	6.548	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129529226	LOC129532042	0.9927	0.7564	1.0	3283	4326	0.7589	19	19	19	0	1.0	1.0	1.0	0.997	19	19	0	1	5.327	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129529226	PLA2G4B	0.9785	0.8796	1.0	3807	4326	0.88	19	20	19	1	0.95	0.95	1.0	0.996	10	19	0	0		0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129529262	LOC134758721	1.0	1.0	1.0	595	595	1.0	1	1	1	0	1.0	1.0	1.0	1.0	1	1	0	1	5.043	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC129529262	LOC134758747	0.9879	0.7676	0.9714	595	753	0.7902	1	3	1	2	0.3333	0.333	1.0	0.971	1	1	0	1	6.548	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC129529262	LOC134758742	0.9829	0.9815	1.0	584	595	0.9815	1	1	1	0	1.0	1.0	1.0	1.0	1	1	0	1	6.521	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC129529262	LOC134758749	0.9828	0.9782	1.0	582	595	0.9782	1	1	1	0	1.0	1.0	1.0	1.0	1	1	0	1	6.535	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC129529262	SPTBN5	0.9795	0.0	0.8185	595	11411	0.0521	1	66	1	65	0.0152	0.015	1.0	0.818	1	1	0	0		0	1	0.098901	0.3333	4	5	13	0	0	0	12
LOC101136353	LOC129534585	0.9949	0.9231	1.0	7878	8502	0.9266	58	50	50	8	0.8621	0.862	1.0	0.996	20	50	0	1	4.913	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	LOC129534707	0.977	1.0	1.0	8436	8502	0.9922	58	56	56	2	0.9655	0.948	0.982	0.996	20	55	0	1	5.283	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	LOC134757815	0.9854	0.9231	1.0	7857	8502	0.9241	58	53	53	5	0.9138	0.879	0.962	0.996	20	51	0	1	6.554	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	LOC115931242	0.976	1.0	1.0	8502	8571	0.9919	58	56	56	2	0.9655	0.931	0.964	0.997	20	54	0	1	7.124	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	LOC129534593	0.9743	0.9493	0.992	8502	8793	0.9669	58	60	58	2	0.9667	0.917	0.948	0.979	19	55	0	1	6.528	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	LOC134757776	0.9429	0.9699	0.995	8013	8502	0.9425	58	55	55	3	0.9483	0.897	0.945	0.988	19	52	0	1	6.54	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	LOC115931212	0.9876	0.7862	0.9873	6773	8502	0.7966	58	47	47	11	0.8103	0.776	0.957	0.985	20	45	0	1	6.514	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC101136353	SPTBN5	0.9672	0.7241	0.9842	8502	11411	0.7451	58	66	58	8	0.8788	0.803	0.914	0.969	53	53	0	0		0	1	0.065934	0.5833	7	8	13	0	0	0	12
LOC129532055	LOC134758715	0.9857	0.9696	0.9976	6650	6807	0.9769	28	25	25	3	0.8929	0.893	1.0	0.992	25	25	0	1	6.526	0	1	0.009524	1.0	8	9	9	0	0	0	9
LOC129532032	LOC134758715	0.9831	0.7797	0.9833	5258	6650	0.7907	28	25	25	3	0.8929	0.893	1.0	0.98	23	25	0	1	4.963	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC134758715	LOC134758759	0.9817	0.7797	0.9615	5379	6650	0.8089	25	29	25	4	0.8621	0.862	1.0	0.958	23	25	0	1	6.553	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC134758715	MAPKBP1	0.9767	0.7145	0.9976	6650	7105	0.936	25	33	25	8	0.7576	0.758	1.0	0.635	23	25	0	0		0	1	0.009524	1.0	8	9	9	0	0	0	9
LOC101128796	LOC134758715	0.9866	0.6468	0.9534	4530	6650	0.6812	30	25	25	5	0.8333	0.833	1.0	0.949	20	25	0	1	6.512	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129531977	LOC134758715	0.9695	0.6319	0.9055	4740	6650	0.7128	31	25	25	6	0.8065	0.774	0.96	0.886	22	24	0	1	7.124	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC101130728	LOC134758712	0.9084	0.4286	1.0	1101	4028	0.2733	9	7	7	2	0.7778	0.778	1.0	0.864	7	7	0	1	6.524	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC134758712	LOC134758754	0.9074	0.4284	1.0	1101	4030	0.2732	7	9	7	2	0.7778	0.778	1.0	0.864	7	7	0	1	6.551	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129531983	LOC134758712	0.983	0.4935	0.6694	1101	2622	0.4199	8	7	7	1	0.875	0.875	1.0	0.864	7	7	0	1	7.124	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129523520	LOC134758712	0.9979	0.492	0.8205	1101	1159	0.95	8	7	7	1	0.875	0.875	1.0	0.986	7	7	0	1	6.51	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC134756437	LOC134758712	0.9895	0.4915	0.6516	1101	1458	0.7551	7	7	7	0	1.0	1.0	1.0	0.995	7	7	0	1	6.537	0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129527105	LOC134758712	0.9871	0.2007	0.3065	1101	1266	0.8697	5	7	5	2	0.7143	0.286	0.4	0.352	2	2	0	0		0	1	0.035714	1.0	6	7	7	0	0	0	10
LOC129531982	LOC129534588	0.9851	0.8806	1.0	3807	4346	0.876	19	19	19	0	1.0	1.0	1.0	0.997	19	19	0	1	7.123	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129534588	LOC134758744	0.9413	0.8815	0.9986	3632	4346	0.8357	19	18	18	1	0.9474	0.895	0.944	0.999	12	17	0	1	6.534	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129532042	LOC129534588	0.9855	0.7575	0.9985	3283	4346	0.7554	19	19	19	0	1.0	1.0	1.0	0.995	19	19	0	1	5.001	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129534588	PLA2G4B	0.9724	0.8813	1.0	3807	4346	0.876	19	20	19	1	0.95	0.95	1.0	0.996	10	19	0	0		0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC134758721	LOC134758747	0.9879	0.7676	0.9714	595	753	0.7902	1	3	1	2	0.3333	0.333	1.0	0.971	1	1	0	1	6.534	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC134758721	LOC134758742	0.9829	0.9815	1.0	584	595	0.9815	1	1	1	0	1.0	1.0	1.0	1.0	1	1	0	1	6.507	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC134758721	LOC134758749	0.9828	0.9782	1.0	582	595	0.9782	1	1	1	0	1.0	1.0	1.0	1.0	1	1	0	1	6.521	0	1	0.010989	1.0	4	5	5	0	0	0	12
LOC134758721	SPTBN5	0.9795	0.0	0.8185	595	11411	0.0521	1	66	1	65	0.0152	0.015	1.0	0.818	1	1	0	0		0	1	0.098901	0.3333	4	5	13	0	0	0	12
LOC129534585	LOC129534707	0.9932	0.9261	0.9921	7878	8436	0.9339	50	56	50	6	0.8929	0.893	1.0	0.992	28	50	0	1	4.915	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC129534585	LOC134757815	0.9839	1.0	1.0	7857	7878	0.9973	50	53	50	3	0.9434	0.943	1.0	0.997	19	50	0	1	6.54	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC115931242	LOC129534585	0.9818	0.9244	1.0	7878	8571	0.9191	56	50	50	6	0.8929	0.893	1.0	0.999	31	50	0	1	7.121	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC129534585	LOC129534593	0.9866	0.878	0.983	7878	8793	0.8959	50	60	50	10	0.8333	0.833	1.0	0.98	19	50	0	1	6.513	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC129534585	LOC134757776	0.9558	0.9169	0.9604	7878	8013	0.9832	50	55	50	5	0.9091	0.873	0.96	0.93	18	48	0	1	6.526	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC115931212	LOC129534585	0.9854	0.8522	0.9873	6773	7878	0.8597	47	50	47	3	0.94	0.88	0.936	0.987	44	44	0	1	6.499	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC129534585	SPTBN5	0.9786	0.6782	0.9835	7878	11411	0.6904	50	66	50	16	0.7576	0.742	0.98	0.98	49	49	0	0		0	1	0.065934	0.5833	7	8	13	0	0	0	12
LOC129532032	LOC129532055	0.9911	0.7701	1.0	5258	6807	0.7724	28	28	28	0	1.0	0.964	0.964	0.997	23	27	0	1	6.512	0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129532032	LOC134758759	0.9941	0.9779	1.0	5258	5379	0.9775	28	29	28	1	0.9655	0.966	1.0	1.0	28	28	0	1	6.539	0	1	0.009524	1.0	6	7	7	0	0	0	9
LOC101128796	LOC129532032	0.9866	0.8319	0.9728	4530	5258	0.8615	30	28	28	2	0.9333	0.933	1.0	0.966	25	28	0	1	6.498	0	1	0.009524	1.0	6	7	7	0	0	0	9
LOC129532032	MAPKBP1	0.9794	0.5708	1.0	5258	7105	0.74	28	33	28	5	0.8485	0.848	1.0	0.817	28	28	0	0		0	1	0.02619	0.75	6	7	9	0	0	0	9
LOC129531977	LOC129532032	0.9653	0.813	0.9241	4740	5258	0.9015	31	28	28	3	0.9032	0.871	0.964	0.902	27	27	0	1	7.121	0	1	0.009524	1.0	6	7	7	0	0	0	9
LOC129532040	LOC134758761	0.9988	0.9017	1.0	835	926	0.9017	3	3	3	0	1.0	1.0	1.0	1.0	3	3	0	1	6.539	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC109023422	LOC129532040	0.9788	1.0	1.0	835	850	0.9824	3	3	3	0	1.0	1.0	1.0	1.0	3	3	0	1	6.512	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC129532040	LOC129532070	0.989	0.5661	0.8683	835	943	0.8855	3	3	3	0	1.0	1.0	1.0	1.0	3	3	0	1	6.497	0	1	0.095238	0.5	4	5	9	0	0	0	9
LOC129532040	LOC134758752	0.9903	0.8659	0.9693	748	835	0.8958	3	2	2	1	0.6667	0.667	1.0	0.967	2	2	0	1	6.525	0	1	0.009524	1.0	4	5	5	0	0	0	9
LOC129531982	LOC129532042	0.9936	0.8589	0.9979	3283	3807	0.8624	19	19	19	0	1.0	1.0	1.0	0.996	19	19	0	1	7.119	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129532042	LOC134758744	0.94	0.8516	1.0	3283	3632	0.9039	19	18	18	1	0.9474	0.947	1.0	0.942	15	18	0	1	6.52	0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129532042	PLA2G4B	0.9863	0.8618	0.9979	3283	3807	0.8624	19	20	19	1	0.95	0.95	1.0	0.998	10	19	0	0		0	1	0.066667	1.0	4	5	5	0	0	0	11
LOC129534593	LOC129534707	0.9879	0.9493	0.9919	8436	8793	0.9594	60	56	56	4	0.9333	0.933	1.0	0.989	24	56	0	1	6.498	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC115931242	LOC129534707	0.9728	1.0	1.0	8436	8571	0.9842	56	56	56	0	1.0	0.964	0.964	0.999	31	54	0	1	7.117	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC129534707	LOC134757776	0.9564	0.9697	0.995	8013	8436	0.9499	56	55	55	1	0.9821	0.946	0.964	0.99	21	53	0	1	6.511	0	1	0.010989	1.0	7	8	8	0	0	0	12
LOC129534707	LOC134757815	0.9824	0.9261	0.9921	7857	8436	0.9314	56	53	53	3	0.9464	0.911	0.962	0.989	51	51	0	1	6.526	0	1	0.010989	1.0	7	8	8	0	0	0	12
