gene_a	chrom_a	gene_b	chrom_b	struct_score	matched_exons	in_sequence_pipeline
LOC129528750	NC_073244.2	LOC129532980	NC_073240.2	0.8	4	1
LOC129528750	NC_073244.2	LOC129525416	NC_073233.2	0.8	4	1
LOC129528750	NC_073244.2	LOC129531752	NC_073236.2	0.8	4	1
LOC129528750	NC_073244.2	LOC129532807	NC_073227.2	0.8	4	1
LOC129528750	NC_073244.2	LOC134756371	NC_073227.2	0.8	4	1
LOC134758959	NC_073230.2	PRSS3	NC_073237.2	0.8	4	1
GGTLC2	NC_086018.1	GGTLC1	NC_073245.2	0.8	4	1
LOC129529588	NC_086018.1	GGTLC1	NC_073245.2	0.8	4	1
LOC101149759	NC_086018.1	GGTLC1	NC_073245.2	0.8	4	1
LOC109024570	NC_086018.1	GGTLC1	NC_073245.2	0.8	4	1
LOC129523490	NC_086018.1	GGTLC1	NC_073245.2	0.8	4	1
LOC129530564	NC_073246.2	LOC129524470	NC_073237.2	0.8	12	1
LOC129528445	NC_073241.2	LOC129524470	NC_073237.2	0.8	12	1
LOC101136583	NC_073240.2	LOC129526434	NC_073238.2	0.8	4	1
LOC129523703	NC_073230.2	LOC129524833	NC_073239.2	0.8	8	1
LOC129523703	NC_073230.2	LOC129523959	NC_073224.2	0.8	8	1
LOC129523703	NC_073230.2	LOC129525023	NC_073232.2	0.8	8	1
LOC115932756	NC_073240.2	LOC134756368	NC_073236.2	0.8	4	1
LOC115932954	NC_073238.2	LOC134756368	NC_073236.2	0.8	4	1
LOC129524663	NC_073237.2	LOC134757055	NC_073238.2	0.8	8	1
LOC129524663	NC_073237.2	LOC129528193	NC_073241.2	0.8	8	1
LOC129524663	NC_073237.2	LOC129528469	NC_073241.2	0.8	8	1
LOC129528459	NC_073241.2	LOC134757055	NC_073238.2	0.8	8	1
LOC129524833	NC_073239.2	LOC129525023	NC_073232.2	0.8	8	1
LOC134757055	NC_073238.2	LOC129528193	NC_073241.2	0.8	8	1
LOC134757055	NC_073238.2	LOC129529384	NC_073246.2	0.8	8	1
LOC129523959	NC_073224.2	LOC129525023	NC_073232.2	0.8	8	1
LOC129528193	NC_073241.2	LOC129530543	NC_073236.2	0.8	8	1
ZNF354A	NC_073228.2	ZFP82	NC_073244.2	0.8	4	0
LOC129528469	NC_073241.2	LOC129529384	NC_073246.2	0.8	8	1
LOC129530543	NC_073236.2	LOC129529384	NC_073246.2	0.8	8	1
RHOJ	NC_073239.2	RAB10	NC_073236.2	0.8	4	0
LOC129532624	NC_073230.2	EOLA2	NC_073247.2	0.8	4	0
LOC129529646	NC_086018.1	LOC129530492	NC_073246.2	0.786	11	1
LOC129530391	NC_073248.2	LOC129530492	NC_073246.2	0.786	11	1
LOC129530391	NC_073248.2	LOC129528194	NC_073241.2	0.786	11	1
LOC129530391	NC_073248.2	LOC134757391	NC_073241.2	0.786	11	1
LOC129528187	NC_073238.2	LOC129530492	NC_073246.2	0.786	11	1
LOC129528187	NC_073238.2	LOC129528194	NC_073241.2	0.786	11	1
LOC129528187	NC_073238.2	LOC134757391	NC_073241.2	0.786	11	1
LOC129530492	NC_073246.2	LOC129528194	NC_073241.2	0.786	11	1
LOC129530492	NC_073246.2	LOC134757391	NC_073241.2	0.786	11	1
LOC129530379	NC_073248.2	LOC129530466	NC_073238.2	0.778	7	1
GOLGA6L7	NC_073240.2	LOC101137218	NC_073243.2	0.778	7	1
GOLGA6L7	NC_073240.2	LOC134757625	NC_073243.2	0.778	7	1
GOLGA6L7	NC_073240.2	LOC115931294	NC_073243.2	0.778	7	1
LOC129523934	NC_073230.2	LOC129530133	NC_073247.2	0.778	7	1
LOC129523703	NC_073230.2	LOC129532895	NC_073227.2	0.778	7	1
LOC129525579	NC_073233.2	LOC129530133	NC_073247.2	0.778	7	1
LOC129525579	NC_073233.2	LOC129526580	NC_073242.2	0.778	7	1
LOC129526003	NC_073234.2	LOC129530133	NC_073247.2	0.778	7	1
LOC129526003	NC_073234.2	LOC129526580	NC_073242.2	0.778	7	1
LOC129527948	NC_073243.2	LOC129530133	NC_073247.2	0.778	7	1
LOC129527948	NC_073243.2	LOC129526580	NC_073242.2	0.778	7	1
LOC129532895	NC_073227.2	LOC129530133	NC_073247.2	0.778	7	1
LOC129532895	NC_073227.2	LOC129526580	NC_073242.2	0.778	7	1
LOC129532895	NC_073227.2	LOC129524833	NC_073239.2	0.778	7	1
LOC129532895	NC_073227.2	LOC129523959	NC_073224.2	0.778	7	1
LOC129532895	NC_073227.2	LOC129525023	NC_073232.2	0.778	7	1
LOC129529647	NC_086018.1	LOC129529384	NC_073246.2	0.778	7	1
LOC129524663	NC_073237.2	LOC129530486	NC_073246.2	0.778	7	1
LOC129524663	NC_073237.2	LOC129530565	NC_073246.2	0.778	7	1
LOC129528459	NC_073241.2	LOC129530486	NC_073246.2	0.778	7	1
LOC129528459	NC_073241.2	LOC129530565	NC_073246.2	0.778	7	1
LOC134757055	NC_073238.2	LOC129530486	NC_073246.2	0.778	7	1
LOC134757055	NC_073238.2	LOC129530565	NC_073246.2	0.778	7	1
LOC129528464	NC_073241.2	LOC129530486	NC_073246.2	0.778	7	1
LOC129528464	NC_073241.2	LOC129530565	NC_073246.2	0.778	7	1
RABL2A	NC_073235.2	LOC134756389	NC_073231.2	0.778	7	1
RABL2A	NC_073235.2	LOC129523468	NC_073236.2	0.778	7	1
RABL2A	NC_073235.2	LOC101142457	NC_073247.2	0.778	7	1
LOC134756389	NC_073231.2	LOC101142457	NC_073247.2	0.778	7	1
LOC129530544	NC_073236.2	LOC129528441	NC_073241.2	0.769	10	1
LOC129530544	NC_073236.2	LOC129524654	NC_073237.2	0.769	10	1
LOC129530544	NC_073236.2	LOC129529380	NC_073238.2	0.769	10	1
LOC129528455	NC_073241.2	LOC129524670	NC_073237.2	0.769	10	1
LOC115933194	NC_086017.1	LOC129526565	NC_073241.2	0.75	6	1
LOC115933194	NC_086017.1	LOC129525554	NC_073233.2	0.75	6	1
LOC129526565	NC_073241.2	LOC129525554	NC_073233.2	0.75	6	1
LOC129525066	NC_086017.1	LOC129525554	NC_073233.2	0.75	6	1
LOC101148582	NC_073237.2	LOC101147097	NC_073227.2	0.75	6	1
LOC129530379	NC_073248.2	LOC129529620	NC_086018.1	0.75	6	1
LOC129530379	NC_073248.2	LOC129529615	NC_086018.1	0.75	6	1
LOC115933239	NC_073236.2	LOC129523819	NC_073230.2	0.75	6	1
LOC115933239	NC_073236.2	LOC115930119	NC_073229.2	0.75	6	1
LOC115930119	NC_073229.2	LOC129526909	NC_073239.2	0.75	6	1
LOC115930119	NC_073229.2	LOC129532956	NC_073227.2	0.75	6	1
LOC115930119	NC_073229.2	LOC129525174	NC_073232.2	0.75	6	1
LOC129526909	NC_073239.2	LOC129525174	NC_073232.2	0.75	6	1
LOC129526909	NC_073239.2	LOC115933182	NC_073230.2	0.75	6	1
LOC115934341	NC_086017.1	LOC101133440	NC_073231.2	0.75	6	1
LOC101152938	NC_073233.2	LOC101133440	NC_073231.2	0.75	6	1
LOC129526379	NC_073238.2	LOC129528466	NC_073241.2	0.75	9	1
LOC129529430	NC_086018.1	LOC129527278	NC_073236.2	0.75	6	1
LOC129529430	NC_086018.1	LOC129526409	NC_073238.2	0.75	6	1
LOC129529646	NC_086018.1	LOC129528194	NC_073241.2	0.733	11	1
LOC129527211	NC_073238.2	LOC129527200	NC_073240.2	0.733	11	1
LOC129528460	NC_073241.2	LOC129524600	NC_073237.2	0.727	8	1
LOC129528469	NC_073241.2	LOC129530497	NC_073246.2	0.727	8	1
LOC129530497	NC_073246.2	LOC129528466	NC_073241.2	0.727	8	1
LOC115933194	NC_086017.1	LOC101142376	NC_073244.2	0.714	5	1
LOC129526565	NC_073241.2	LOC101142376	NC_073244.2	0.714	5	1
LOC101142376	NC_073244.2	LOC129525554	NC_073233.2	0.714	5	1
LOC115930119	NC_073229.2	LOC129525684	NC_073234.2	0.714	5	1
LOC115930119	NC_073229.2	LOC115933091	NC_073233.2	0.714	5	0
LOC101136771	NC_073236.2	LOC129531453	NC_073240.2	0.714	5	1
LOC129525684	NC_073234.2	LOC115933091	NC_073233.2	0.714	5	0
LOC129525684	NC_073234.2	LOC129525174	NC_073232.2	0.714	5	1
LOC129525684	NC_073234.2	LOC115933182	NC_073230.2	0.714	5	1
LOC115933091	NC_073233.2	LOC129524034	NC_073224.2	0.714	5	1
LOC115933091	NC_073233.2	LOC115933182	NC_073230.2	0.714	5	0
LOC129532956	NC_073227.2	LOC129524034	NC_073224.2	0.714	5	1
LOC115934341	NC_086017.1	LOC101125415	NC_073227.2	0.714	5	1
LOC101125415	NC_073227.2	LOC101152938	NC_073233.2	0.714	5	1
LOC101125415	NC_073227.2	LOC101133440	NC_073231.2	0.714	5	1
EEF2KMT	NC_073242.2	LOC101128260	NC_073231.2	0.714	5	1
LOC129532712	NC_073232.2	DOC2B	NC_073243.2	0.714	5	1
LOC129525579	NC_073233.2	LOC129524833	NC_073239.2	0.7	7	1
LOC129525579	NC_073233.2	LOC129523959	NC_073224.2	0.7	7	1
LOC129525579	NC_073233.2	LOC129525023	NC_073232.2	0.7	7	1
LOC129526003	NC_073234.2	LOC129524833	NC_073239.2	0.7	7	1
LOC129526003	NC_073234.2	LOC129523959	NC_073224.2	0.7	7	1
LOC129526003	NC_073234.2	LOC129525023	NC_073232.2	0.7	7	1
LOC129527948	NC_073243.2	LOC129524833	NC_073239.2	0.7	7	1
LOC129527948	NC_073243.2	LOC129523959	NC_073224.2	0.7	7	1
LOC129527948	NC_073243.2	LOC129525023	NC_073232.2	0.7	7	1
LOC129524663	NC_073237.2	LOC129530543	NC_073236.2	0.7	7	1
LOC129528459	NC_073241.2	LOC129530543	NC_073236.2	0.7	7	1
LOC134757055	NC_073238.2	LOC129530497	NC_073246.2	0.7	7	1
LOC129528464	NC_073241.2	LOC129530382	NC_073248.2	0.7	7	1
LOC129528464	NC_073241.2	LOC129530543	NC_073236.2	0.7	7	1
LOC129528464	NC_073241.2	LOC129529384	NC_073246.2	0.7	7	1
LOC129528464	NC_073241.2	LOC129530497	NC_073246.2	0.7	7	1
LOC129530382	NC_073248.2	LOC129528469	NC_073241.2	0.7	7	1
LOC129530382	NC_073248.2	LOC129529384	NC_073246.2	0.7	7	1
LOC129530382	NC_073248.2	LOC129530497	NC_073246.2	0.7	7	1
LOC129528465	NC_073241.2	LOC101129069	NC_073246.2	0.688	11	1
LOC129528447	NC_073241.2	LOC101129069	NC_073246.2	0.688	11	1
LOC109024528	NC_073246.2	LOC129530384	NC_073248.2	0.667	6	1
LOC129530384	NC_073248.2	LOC129530487	NC_073246.2	0.667	6	1
LOC129530234	NC_073248.2	PSMB1	NC_073229.2	0.667	4	0
KRTCAP3	NC_073236.2	TMEM54	NC_073224.2	0.667	4	0
TMEM54	NC_073224.2	AIP	NC_073233.2	0.667	4	0
SLC50A1	NC_073224.2	SDR39U1	NC_073239.2	0.667	4	0
LOC129529385	NC_073246.2	LOC129528460	NC_073241.2	0.667	8	1
LOC134757470	NC_073242.2	LOC115932641	NC_073244.2	0.667	6	1
LOC115932915	NC_073238.2	LOC134757223	NC_073240.2	0.667	8	1
LOC129528460	NC_073241.2	LOC129530544	NC_073236.2	0.667	8	1
LOC115932799	NC_073236.2	LOC134757223	NC_073240.2	0.667	8	1
THOC3	NC_073228.2	UCP1	NC_073227.2	0.667	4	0
BNIP3	NC_073232.2	SARAF	NC_073231.2	0.667	4	0
PRXL2A	NC_073232.2	GNA15	NC_073244.2	0.667	4	0
LOC129523934	NC_073230.2	LOC129525579	NC_073233.2	0.667	6	1
LOC129523934	NC_073230.2	LOC129526003	NC_073234.2	0.667	6	1
LOC129523934	NC_073230.2	LOC129527948	NC_073243.2	0.667	6	1
ITPKC	NC_073244.2	ELF5	NC_073233.2	0.667	4	0
LOC129525579	NC_073233.2	LOC129532895	NC_073227.2	0.667	6	1
LOC129526003	NC_073234.2	LOC129532895	NC_073227.2	0.667	6	1
LOC129527948	NC_073243.2	LOC129532895	NC_073227.2	0.667	6	1
RABL2B	NC_086018.1	RABL2A	NC_073235.2	0.667	6	1
RABL2B	NC_086018.1	LOC134756389	NC_073231.2	0.667	6	1
GPA33	NC_073224.2	AIMP1	NC_073227.2	0.667	4	0
CNN2	NC_073244.2	MSMO1	NC_073227.2	0.667	4	0
LOC129529647	NC_086018.1	LOC129524663	NC_073237.2	0.667	6	1
LOC129529647	NC_086018.1	LOC129528459	NC_073241.2	0.667	6	1
LOC129529647	NC_086018.1	LOC129528444	NC_073241.2	0.667	6	1
LOC129529647	NC_086018.1	LOC129528193	NC_073241.2	0.667	6	1
LOC129528444	NC_073241.2	LOC129530382	NC_073248.2	0.667	6	1
LOC129528444	NC_073241.2	LOC129529384	NC_073246.2	0.667	6	1
LOC129530382	NC_073248.2	LOC129530486	NC_073246.2	0.667	6	1
LOC129530382	NC_073248.2	LOC129530565	NC_073246.2	0.667	6	1
LOC129526379	NC_073238.2	LOC129524653	NC_073237.2	0.667	8	1
NQO1	NC_073242.2	SHF	NC_073240.2	0.667	4	0
ELOVL4	NC_073229.2	PHYHIP	NC_073231.2	0.667	4	0
LOC115931040	NC_073240.2	LOC134756757	NC_073236.2	0.667	8	1
OSGIN2	NC_073231.2	ZNF184	NC_073229.2	0.667	4	0
LOC129524028	NC_073231.2	LOC129533288	NC_073227.2	0.667	6	1
LOC129534553	NC_073229.2	LOC129533288	NC_073227.2	0.667	6	1
DDX3Y	NC_073248.2	DDX3X	NC_073247.2	0.647	11	1
LOC129530378	NC_073248.2	LOC129526951	NC_073238.2	0.643	9	1
LOC129526379	NC_073238.2	LOC129530497	NC_073246.2	0.636	7	1
LOC129530543	NC_073236.2	LOC129530497	NC_073246.2	0.636	7	1
LOC129530543	NC_073236.2	LOC129530464	NC_073238.2	0.636	7	1
LOC129530543	NC_073236.2	LOC129524653	NC_073237.2	0.636	7	1
LOC101143887	NC_073232.2	LOC129523464	NC_073237.2	0.625	5	1
LOC129523819	NC_073230.2	LOC115930119	NC_073229.2	0.625	5	1
TMEM59	NC_073224.2	FETUB	NC_086017.1	0.625	5	0
LOC129526909	NC_073239.2	LOC129532956	NC_073227.2	0.625	5	1
LOC129532956	NC_073227.2	LOC115933182	NC_073230.2	0.625	5	1
LOC129525174	NC_073232.2	LOC115933182	NC_073230.2	0.625	5	1
LOC115934341	NC_086017.1	EEF2KMT	NC_073242.2	0.625	5	1
LOC101139163	NC_086017.1	LOC101133440	NC_073231.2	0.625	5	1
RABL2A	NC_073235.2	LOC129523511	NC_073227.2	0.625	5	1
LOC134756389	NC_073231.2	LOC129523511	NC_073227.2	0.625	5	1
LOC101142457	NC_073247.2	LOC129523511	NC_073227.2	0.625	5	1
LOC115930163	NC_073242.2	LOC115933253	NC_073248.2	0.615	8	1
LOC115932828	NC_073242.2	LOC115933253	NC_073248.2	0.615	8	1
LOC115933574	NC_073236.2	SLC6A8	NC_073247.2	0.615	8	1
LETM1	NC_073227.2	LOC134757964	NC_073248.2	0.615	8	1
RABL2B	NC_086018.1	LOC129523468	NC_073236.2	0.6	6	1
LOC129524663	NC_073237.2	LOC129528464	NC_073241.2	0.6	6	1
LOC129524663	NC_073237.2	LOC129529384	NC_073246.2	0.6	6	1
LOC129524663	NC_073237.2	LOC129530497	NC_073246.2	0.6	6	1
LOC129528459	NC_073241.2	LOC129529384	NC_073246.2	0.6	6	1
LOC129528459	NC_073241.2	LOC129530497	NC_073246.2	0.6	6	1
LOC134757055	NC_073238.2	LOC129528464	NC_073241.2	0.6	6	1
LOC134757055	NC_073238.2	LOC129528469	NC_073241.2	0.6	6	1
LOC129528193	NC_073241.2	LOC129530382	NC_073248.2	0.6	6	1
LOC129528193	NC_073241.2	LOC129529384	NC_073246.2	0.6	6	1
LOC129528193	NC_073241.2	LOC129530497	NC_073246.2	0.6	6	1
