family_id	n_copies	n_chroms	dominant_gene_root	name_concordance	density	avg_core_recip	n_articulation	class	members
DSFAM10	15	1	MAGEA	1.0	0.905	0.527	0	family	DN_NC_073247.2_161251228_4,DN_NC_073247.2_161458538_3,DN_NC_073247.2_161556098_3,DN_NC_073247.2_163590486_3,DN_NC_073247.2_163809311_4,DN_NC_073247.2_164381222_3,DN_NC_073247.2_164381237_2,DN_NC_073247.2_164397061_3,DN_NC_073247.2_164405406_2,DN_NC_073247.2_164407411_3,DN_NC_073247.2_164407414_2,DN_NC_073247.2_164426194_3,DN_NC_073247.2_164442447_2,DN_NC_073247.2_164442447_3,DN_NC_073247.2_164861277_3
DSFAM11	13	1	MAGEB	1.0	0.526	0.442	0	family	DN_NC_073247.2_36669088_2,DN_NC_073247.2_36702175_2,DN_NC_073247.2_38333222_3,DN_NC_073247.2_38356091_2,DN_NC_073247.2_38356425_2,DN_NC_073247.2_40731967_2,DN_NC_073247.2_40732356_2,DN_NC_073247.2_40732536_2,DN_NC_073247.2_40747465_5,DN_NC_073247.2_40760693_3,DN_NC_073247.2_40763707_2,DN_NC_073247.2_40763799_2,DN_NC_073247.2_40764337_2
DSFAM12	11	5	ZNF	0.5454545454545454	0.273	0.265	3	family	DN_NC_073229.2_45875453_5,DN_NC_073229.2_45985816_6,DN_NC_073230.2_89330236_3,DN_NC_073230.2_89330255_2,DN_NC_073240.2_44169503_5,DN_NC_073240.2_44172340_2,DN_NC_073242.2_24889827_7,DN_NC_073242.2_6930599_2,DN_NC_073242.2_6930862_6,DN_NC_073242.2_6953229_7,DN_NC_073247.2_147064204_6
DSFAM13	11	6	TUBA	0.75	0.855	0.725	0	family	DN_NC_073232.2_14351656_4,DN_NC_073234.2_52064465_4,DN_NC_073234.2_52151326_4,DN_NC_073234.2_52202911_4,DN_NC_073235.2_121946440_4,DN_NC_073235.2_31723374_5,DN_NC_073235.2_32697745_5,DN_NC_073238.2_31467876_5,DN_NC_073240.2_22595737_5,DN_NC_086018.1_16134008_5,DN_NC_086018.1_18552717_3
DSFAM14	11	9	FBXO	0.3333333333333333	0.545	0.286	0	family	DN_NC_073224.2_197128142_3,DN_NC_073227.2_204398881_3,DN_NC_073229.2_194862622_5,DN_NC_073230.2_53547116_11,DN_NC_073232.2_72957232_4,DN_NC_073238.2_33904146_3,DN_NC_073240.2_20728188_4,DN_NC_073240.2_23674889_10,DN_NC_073240.2_29752710_11,DN_NC_073243.2_111186227_2,DN_NC_073244.2_50702615_6
DSFAM15	10	6	APOL	0.6666666666666666	0.244	0.274	4	family	DN_NC_073227.2_148229831_8,DN_NC_073238.2_39529658_9,DN_NC_073240.2_41396094_2,DN_NC_073244.2_15689625_6,DN_NC_086017.1_29787177_6,DN_NC_086017.1_29831691_3,DN_NC_086018.1_34137538_4,DN_NC_086018.1_34186611_4,DN_NC_086018.1_34223461_5,DN_NC_086018.1_34250359_7
DSFAM16	10	3	RPL	0.6666666666666666	0.489	0.464	3	family	DN_NC_073236.2_46653509_10,DN_NC_073236.2_46676942_15,DN_NC_073236.2_47712811_9,DN_NC_073236.2_47732210_12,DN_NC_073236.2_49989275_2,DN_NC_073236.2_51202468_4,DN_NC_073236.2_51437835_4,DN_NC_073236.2_52824428_4,DN_NC_073247.2_131468464_3,DN_NC_086017.1_198207851_3
DSFAM17	10	1	GSTM	1.0	0.844	0.389	0	family	DN_NC_073224.2_115073393_19,DN_NC_073224.2_116807774_25,DN_NC_073224.2_117494263_25,DN_NC_073224.2_124234032_12,DN_NC_073224.2_124254598_20,DN_NC_073224.2_125055626_35,DN_NC_073224.2_125594338_29,DN_NC_073224.2_129970070_21,DN_NC_073224.2_130224824_25,DN_NC_073224.2_130335848_23
DSFAM18	9	8	RHOT	0.5	0.528	0.285	1	family	DN_NC_073228.2_60766049_19,DN_NC_073229.2_43677378_4,DN_NC_073229.2_67950085_3,DN_NC_073236.2_139901266_3,DN_NC_073237.2_58966871_3,DN_NC_073238.2_32617313_2,DN_NC_073241.2_83874271_3,DN_NC_073244.2_6165323_3,DN_NC_086017.1_112545872_3
DSFAM19	9	8	TMEM	0.3333333333333333	0.278	0.216	1	family	DN_NC_073227.2_47550779_2,DN_NC_073230.2_133049988_3,DN_NC_073232.2_108139494_4,DN_NC_073234.2_90680832_2,DN_NC_073235.2_106111443_2,DN_NC_073237.2_28611397_2,DN_NC_073237.2_32419572_2,DN_NC_073238.2_99947098_2,DN_NC_073246.2_25308035_5
DSFAM20	9	5	(novel)	NA	0.500	0.549	1	family	DN_NC_073227.2_45042258_2,DN_NC_073229.2_107305414_13,DN_NC_073237.2_79911856_2,DN_NC_073237.2_79911899_2,DN_NC_073237.2_79911901_2,DN_NC_073237.2_79912635_2,DN_NC_073237.2_79912648_2,DN_NC_073238.2_38269853_5,DN_NC_073239.2_75240589_2
DSFAM21	8	7	(novel)	NA	1.000	0.623	0	family	DN_NC_073227.2_211080863_4,DN_NC_073227.2_8155721_4,DN_NC_073230.2_168783006_4,DN_NC_073231.2_150902261_3,DN_NC_073232.2_8583099_4,DN_NC_073239.2_124648897_4,DN_NC_073240.2_103747497_4,DN_NC_073242.2_121237165_4
DSFAM22	8	7	(novel)	NA	1.000	0.472	0	family	DN_NC_073229.2_195378107_3,DN_NC_073232.2_146269317_5,DN_NC_073236.2_140400059_5,DN_NC_073237.2_118498911_4,DN_NC_073241.2_110003031_5,DN_NC_073244.2_70818649_5,DN_NC_086017.1_211655827_5,DN_NC_086017.1_9337960_4
DSFAM23	8	3	NUPR	0.3333333333333333	0.464	0.194	0	family	DN_NC_073227.2_139561252_10,DN_NC_073227.2_148253939_6,DN_NC_073227.2_166164041_5,DN_NC_073230.2_63938060_3,DN_NC_073230.2_64191496_8,DN_NC_073230.2_64295055_2,DN_NC_073230.2_64705365_4,DN_NC_073233.2_55845432_8
DSFAM24	8	5	TRAF	0.25	0.393	0.216	1	family	DN_NC_073224.2_125859316_3,DN_NC_073224.2_45389129_11,DN_NC_073224.2_77707994_7,DN_NC_073232.2_65905862_9,DN_NC_073232.2_69473322_8,DN_NC_073237.2_96675699_5,DN_NC_073244.2_56720868_3,DN_NC_086018.1_19844955_6
DSFAM25	7	5	RPAP	0.5	0.524	0.258	1	family	DN_NC_073224.2_147572773_13,DN_NC_073229.2_48204411_2,DN_NC_073229.2_48206781_2,DN_NC_073238.2_36940799_2,DN_NC_073239.2_32630520_8,DN_NC_073239.2_32663808_8,DN_NC_073244.2_28431147_7
DSFAM26	7	1	(novel)	NA	0.952	0.511	0	family	DN_NC_073229.2_47377766_7,DN_NC_073229.2_47549272_8,DN_NC_073229.2_47588366_4,DN_NC_073229.2_47663527_8,DN_NC_073229.2_48177425_8,DN_NC_073229.2_48967498_8,DN_NC_073229.2_49051174_8
DSFAM27	7	5	(novel)	NA	1.000	0.488	0	family	DN_NC_073227.2_12088225_8,DN_NC_073236.2_22549336_8,DN_NC_073236.2_24785599_8,DN_NC_073236.2_30205531_7,DN_NC_073238.2_23392840_7,DN_NC_073246.2_11287585_8,DN_NC_073248.2_45277558_8
DSFAM28	7	1	(novel)	NA	0.905	0.665	0	family	DN_NC_073224.2_129429039_7,DN_NC_073224.2_218361248_19,DN_NC_073224.2_218434129_23,DN_NC_073224.2_223156764_8,DN_NC_073224.2_223291569_8,DN_NC_073224.2_223478295_8,DN_NC_073224.2_223613827_8
DSFAM29	7	6	(novel)	NA	0.476	0.303	1	family	DN_NC_073227.2_210893336_9,DN_NC_073236.2_26203134_8,DN_NC_073239.2_44147073_8,DN_NC_073239.2_44758266_8,DN_NC_073246.2_2235416_3,DN_NC_073248.2_10847471_7,DN_NC_086018.1_1774757_3
DSFAM30	7	1	(novel)	NA	1.000	0.770	0	family	DN_NC_073224.2_15670210_25,DN_NC_073224.2_15783681_8,DN_NC_073224.2_19027212_8,DN_NC_073224.2_19135994_8,DN_NC_073224.2_19235747_8,DN_NC_073224.2_19344252_8,DN_NC_073224.2_29070818_24
DSFAM31	6	2	(novel)	NA	1.000	0.647	0	family	DN_NC_073236.2_32985892_2,DN_NC_073236.2_32986425_2,DN_NC_073236.2_32986917_2,DN_NC_073236.2_32986956_2,DN_NC_073237.2_24384479_2,DN_NC_073237.2_24384787_2
DSFAM32	6	3	ANKRD	1.0	0.733	0.291	0	family	DN_NC_073236.2_32866582_11,DN_NC_073237.2_24387014_11,DN_NC_073237.2_29418618_13,DN_NC_073237.2_31481917_11,DN_NC_073237.2_93516915_6,DN_NC_073238.2_24813037_2
DSFAM33	6	4	MCFD	0.5	0.400	0.283	1	family	DN_NC_073227.2_16860393_3,DN_NC_073227.2_21866694_4,DN_NC_073227.2_22207916_2,DN_NC_073236.2_92822528_4,DN_NC_073243.2_101845354_5,DN_NC_073245.2_28784637_3
DSFAM34	6	4	(novel)	NA	1.000	0.347	0	family	DN_NC_073227.2_17445647_6,DN_NC_073231.2_11581641_7,DN_NC_073242.2_8737492_8,DN_NC_086017.1_136773097_2,DN_NC_086017.1_141278779_5,DN_NC_086017.1_85330170_7
DSFAM35	6	4	(novel)	NA	0.600	0.247	1	family	DN_NC_073232.2_42022900_16,DN_NC_073232.2_72618921_23,DN_NC_073236.2_30994185_5,DN_NC_073237.2_22957046_5,DN_NC_073238.2_29552503_8,DN_NC_073238.2_31858801_4
DSFAM36	6	5	(novel)	NA	0.867	0.330	0	family	DN_NC_073235.2_33703802_2,DN_NC_073235.2_34402342_7,DN_NC_073236.2_21829724_2,DN_NC_073238.2_24693721_8,DN_NC_073240.2_14911190_8,DN_NC_073245.2_42779121_5
DSFAM37	6	5	TUBB	1.0	1.000	0.681	0	family	DN_NC_073229.2_20766733_4,DN_NC_073229.2_48413863_4,DN_NC_073232.2_8975313_3,DN_NC_073237.2_133664160_4,DN_NC_073242.2_120516047_4,DN_NC_073244.2_12296250_4
DSFAM38	6	1	(novel)	NA	0.733	0.535	1	family	DN_NC_073242.2_85715932_3,DN_NC_073242.2_85735381_3,DN_NC_073242.2_85744192_2,DN_NC_073242.2_85759116_3,DN_NC_073242.2_85790824_3,DN_NC_073242.2_85815514_3
DSFAM39	5	5	PPP1R	0.3333333333333333	0.400	0.203	1	family	DN_NC_073231.2_150893284_5,DN_NC_073237.2_129707941_5,DN_NC_073239.2_123469457_3,DN_NC_073242.2_6296327_3,DN_NC_073244.2_61016337_3
DSFAM40	5	1	(novel)	NA	1.000	0.270	0	family	DN_NC_073242.2_18210354_26,DN_NC_073242.2_21122105_21,DN_NC_073242.2_21673693_21,DN_NC_073242.2_22021271_21,DN_NC_073242.2_35991615_14
DSFAM41	5	4	XRCC	1.0	1.000	0.557	0	family	DN_NC_073230.2_161461453_3,DN_NC_073230.2_161461454_2,DN_NC_073236.2_23070420_5,DN_NC_073238.2_25250945_5,DN_NC_073240.2_17174470_5
DSFAM42	5	5	SERPINA	0.5	0.600	0.223	1	family	DN_NC_073227.2_8788064_2,DN_NC_073230.2_150857421_7,DN_NC_073232.2_89660303_4,DN_NC_073239.2_111557119_5,DN_NC_086018.1_15053567_4
DSFAM43	5	1	(novel)	NA	1.000	0.973	0	family	DN_NC_073247.2_59696701_5,DN_NC_073247.2_59706220_5,DN_NC_073247.2_59715729_5,DN_NC_073247.2_59725264_5,DN_NC_073247.2_59772963_5
DSFAM44	5	1	(novel)	NA	0.900	0.673	0	family	DN_NC_073247.2_59744368_5,DN_NC_073247.2_59753367_5,DN_NC_073247.2_59782481_5,DN_NC_073247.2_59792068_6,DN_NC_073247.2_59878462_6
DSFAM45	5	1	KRT	1.0	0.900	0.379	0	family	DN_NC_073234.2_48448103_8,DN_NC_073234.2_48529294_9,DN_NC_073234.2_49024482_9,DN_NC_073234.2_49087212_9,DN_NC_073234.2_49097599_9
DSFAM46	5	2	IFITM	1.0	0.900	0.429	0	family	DN_NC_073227.2_97044821_2,DN_NC_073233.2_6765591_2,DN_NC_073233.2_6765652_2,DN_NC_073233.2_6771931_2,DN_NC_073233.2_6771945_2
DSFAM47	5	2	HNRNPH	1.0	1.000	0.814	0	family	DN_NC_073228.2_183595646_14,DN_NC_073247.2_113184288_2,DN_NC_073247.2_113184310_2,DN_NC_073247.2_113184407_2,DN_NC_073247.2_113184615_2
DSFAM48	5	2	(novel)	NA	1.000	0.478	0	family	DN_NC_073247.2_17003459_2,DN_NC_073247.2_18318973_2,DN_NC_073247.2_18638732_2,DN_NC_073247.2_18934892_2,DN_NC_073248.2_30080680_2
DSFAM49	5	1	PCDHB	1.0	1.000	0.700	0	family	DN_NC_073228.2_144930560_2,DN_NC_073228.2_144930567_2,DN_NC_073228.2_144930638_2,DN_NC_073228.2_145079893_2,DN_NC_073228.2_145079904_2
DSFAM50	5	2	(novel)	NA	1.000	0.437	0	family	DN_NC_073228.2_78946144_3,DN_NC_073228.2_78970101_2,DN_NC_073228.2_78970117_3,DN_NC_073242.2_66481481_2,DN_NC_073242.2_68108553_2
DSFAM51	5	3	SERINC	0.4	0.400	0.251	3	family	DN_NC_073228.2_34970492_2,DN_NC_073240.2_44603034_3,DN_NC_073240.2_44604956_12,DN_NC_073240.2_44606131_4,DN_NC_073245.2_56707704_5
DSFAM52	5	1	(novel)	NA	1.000	1.000	0	family	DN_NC_073248.2_19625716_11,DN_NC_073248.2_19648671_11,DN_NC_073248.2_19671639_11,DN_NC_073248.2_19694607_11,DN_NC_073248.2_25725363_11
DSFAM53	5	2	DHRSX	1.0	1.000	0.963	0	family	DN_NC_073247.2_11741565_2,DN_NC_073247.2_11741821_2,DN_NC_073248.2_9064540_2,DN_NC_073248.2_9064541_2,DN_NC_073248.2_9064807_2
DSFAM54	5	1	TRIM	1.0	0.500	0.260	2	family	DN_NC_073233.2_10737351_7,DN_NC_073233.2_11930987_8,DN_NC_073233.2_11960151_8,DN_NC_073233.2_11997286_8,DN_NC_073233.2_12022944_8
DSFAM55	5	4	MYH	1.0	0.700	0.622	1	family	DN_NC_073239.2_33219684_14,DN_NC_073243.2_25668904_14,DN_NC_073243.2_25770609_26,DN_NC_073245.2_47207807_14,DN_NC_086017.1_119256163_19
DSFAM56	5	1	(novel)	NA	0.900	0.571	0	family	DN_NC_073242.2_66060664_2,DN_NC_073242.2_66060865_2,DN_NC_073242.2_66831403_2,DN_NC_073242.2_66832276_2,DN_NC_073242.2_74668051_2
DSFAM57	5	1	(novel)	NA	0.700	0.314	1	family	DN_NC_073230.2_112158616_4,DN_NC_073230.2_51812102_9,DN_NC_073230.2_86050165_15,DN_NC_073230.2_86128587_5,DN_NC_073230.2_86213678_7
DSFAM58	5	3	RHBDF	0.6666666666666666	0.500	0.567	2	family	DN_NC_073228.2_15481792_19,DN_NC_073235.2_144819821_8,DN_NC_073235.2_144823500_4,DN_NC_073242.2_3673676_5,DN_NC_073242.2_3677891_18
DSFAM59	5	1	(novel)	NA	0.700	0.392	1	family	DN_NC_073229.2_50085643_6,DN_NC_073229.2_50165852_6,DN_NC_073229.2_50300098_6,DN_NC_073229.2_50380193_5,DN_NC_073229.2_50795834_6
DSFAM60	5	1	(novel)	NA	1.000	0.709	0	family	DN_NC_073239.2_122615409_4,DN_NC_073239.2_122634080_4,DN_NC_073239.2_122741455_4,DN_NC_073239.2_122769394_7,DN_NC_073239.2_122796928_6
DSFAM61	5	1	ASTN	1.0	1.000	0.959	0	family	DN_NC_073237.2_113053047_2,DN_NC_073237.2_113053473_2,DN_NC_073237.2_113053473_3,DN_NC_073237.2_113053668_2,DN_NC_073237.2_113053700_2
DSFAM62	5	3	ALDH1B	0.6666666666666666	0.900	0.535	0	family	DN_NC_073234.2_127179897_13,DN_NC_073236.2_32676987_2,DN_NC_073237.2_24562360_2,DN_NC_073237.2_24562366_2,DN_NC_073237.2_31692944_2
DSFAM63	5	1	(novel)	NA	0.700	0.657	1	family	DN_NC_073229.2_70515777_4,DN_NC_073229.2_70527768_7,DN_NC_073229.2_70567152_7,DN_NC_073229.2_70609285_7,DN_NC_073229.2_70674504_7
DSFAM64	5	2	RFPL	1.0	0.600	0.558	1	family	DN_NC_073244.2_67776054_3,DN_NC_073244.2_67840893_3,DN_NC_086018.1_27470342_2,DN_NC_086018.1_30368542_3,DN_NC_086018.1_30374795_4
DSFAM65	5	5	RABL	1.0	1.000	0.482	0	family	DN_NC_073227.2_212285016_9,DN_NC_073231.2_151170137_9,DN_NC_073235.2_15131698_9,DN_NC_073247.2_167707352_7,DN_NC_086018.1_48818439_9
DSFAM66	5	4	CLN	0.5	0.600	0.279	1	family	DN_NC_073228.2_29619142_9,DN_NC_073230.2_137552467_7,DN_NC_073231.2_6126395_2,DN_NC_073231.2_6126397_2,DN_NC_086017.1_152815584_2
DSFAM67	5	1	TCEAL	1.0	0.600	0.322	1	family	DN_NC_073247.2_113908222_3,DN_NC_073247.2_113922705_3,DN_NC_073247.2_115050911_3,DN_NC_073247.2_115371773_3,DN_NC_073247.2_115394224_3
DSFAM68	5	4	(novel)	NA	1.000	0.293	0	family	DN_NC_073224.2_204820137_2,DN_NC_073228.2_64851588_2,DN_NC_073228.2_64854515_2,DN_NC_073235.2_134120506_2,DN_NC_073247.2_105164639_2
DSFAM69	5	1	PRNP	1.0	1.000	0.898	0	family	DN_NC_073245.2_14599986_2,DN_NC_073245.2_14600009_2,DN_NC_073245.2_14600009_3,DN_NC_073245.2_14600049_2,DN_NC_073245.2_14600539_2
DSFAM70	5	2	MORC	0.6	0.500	0.641	2	family	DN_NC_073233.2_67344582_15,DN_NC_086018.1_28714522_15,DN_NC_086018.1_28941798_2,DN_NC_086018.1_28941800_2,DN_NC_086018.1_28944611_26
DSFAM71	5	2	PJA	1.0	0.900	0.515	0	family	DN_NC_073228.2_113136254_10,DN_NC_073247.2_80934712_2,DN_NC_073247.2_80936302_2,DN_NC_073247.2_80936309_2,DN_NC_073247.2_80936309_3
DSFAM72	5	1	(novel)	NA	0.700	0.428	1	family	DN_NC_073242.2_84833963_14,DN_NC_073242.2_84922514_14,DN_NC_073242.2_96060106_12,DN_NC_073242.2_96073882_12,DN_NC_073242.2_96161607_12
DSFAM73	5	4	DPYSL	0.6	0.400	0.391	2	family	DN_NC_073227.2_15519199_14,DN_NC_073227.2_15589297_3,DN_NC_073228.2_151255605_14,DN_NC_073231.2_30794526_14,DN_NC_073232.2_144546965_14
DSFAM74	5	4	SAFB	1.0	0.700	0.391	0	family	DN_NC_073238.2_8052138_7,DN_NC_073240.2_4575875_4,DN_NC_073241.2_195924_6,DN_NC_073244.2_11377962_21,DN_NC_073244.2_11413820_21
DSFAM75	5	4	COL1A	0.4	0.700	0.427	1	family	DN_NC_073228.2_41871026_51,DN_NC_073230.2_94413807_52,DN_NC_073234.2_53272916_54,DN_NC_073235.2_91416644_51,DN_NC_073235.2_91471014_54
DSFAM76	5	4	ENO	0.6	0.600	0.522	1	family	DN_NC_073224.2_231736369_12,DN_NC_073224.2_25093112_7,DN_NC_073234.2_22572777_12,DN_NC_073235.2_104226160_12,DN_NC_073243.2_20078090_12
DSFAM77	4	1	SDHAF	1.0	1.000	0.631	0	family	DN_NC_073230.2_91654449_3,DN_NC_073230.2_91659196_2,DN_NC_073230.2_91659196_3,DN_NC_073230.2_91659199_4
DSFAM78	4	4	(novel)	NA	1.000	0.526	0	family	DN_NC_073230.2_161022909_27,DN_NC_073236.2_21263952_7,DN_NC_073238.2_22875925_6,DN_NC_073240.2_14396114_6
DSFAM79	4	1	(novel)	NA	1.000	0.942	0	family	DN_NC_073232.2_116585934_2,DN_NC_073232.2_116588372_2,DN_NC_073232.2_116588372_3,DN_NC_073232.2_116588373_3
DSFAM80	4	1	(novel)	NA	1.000	0.176	0	family	DN_NC_073236.2_44341131_2,DN_NC_073236.2_44341132_3,DN_NC_073236.2_44341142_4,DN_NC_073236.2_44341152_2
DSFAM81	4	4	EHD	1.0	0.833	0.322	0	family	DN_NC_073233.2_72751588_5,DN_NC_073236.2_108637713_6,DN_NC_073240.2_42709516_6,DN_NC_073244.2_59252668_6
DSFAM82	4	2	(novel)	NA	1.000	0.475	0	family	DN_NC_073240.2_43610228_10,DN_NC_086017.1_171687466_2,DN_NC_086017.1_171687484_2,DN_NC_086017.1_171687563_2
DSFAM83	4	3	(novel)	NA	1.000	0.387	0	family	DN_NC_073224.2_27333739_3,DN_NC_073228.2_64771915_4,DN_NC_073228.2_64771950_2,DN_NC_073234.2_48400691_7
DSFAM84	4	1	GALNT	0.5	0.667	0.238	1	family	DN_NC_073230.2_14161449_15,DN_NC_073230.2_76425037_7,DN_NC_073230.2_80576116_9,DN_NC_073230.2_81087606_7
DSFAM85	4	4	ACTN	1.0	1.000	0.544	0	family	DN_NC_073224.2_25533741_19,DN_NC_073233.2_74467231_21,DN_NC_073239.2_85769342_21,DN_NC_073244.2_50412691_21
DSFAM86	4	3	(novel)	NA	1.000	0.449	0	family	DN_NC_073236.2_22701854_7,DN_NC_073236.2_25270756_7,DN_NC_073240.2_15970659_7,DN_NC_073247.2_165410205_10
DSFAM87	4	2	HSPA	1.0	1.000	0.734	0	family	DN_NC_073229.2_49412440_2,DN_NC_073229.2_49412454_2,DN_NC_073229.2_49412455_2,DN_NC_073233.2_130982674_9
DSFAM88	4	1	(novel)	NA	1.000	0.392	0	family	DN_NC_073248.2_15918163_7,DN_NC_073248.2_16416010_5,DN_NC_073248.2_19602755_10,DN_NC_073248.2_25704431_6
DSFAM89	4	1	(novel)	NA	0.667	0.151	1	family	DN_NC_073241.2_38821696_2,DN_NC_073241.2_38821696_3,DN_NC_073241.2_38821698_2,DN_NC_073241.2_38821699_3
DSFAM90	4	2	(novel)	NA	0.500	0.393	2	family	DN_NC_073233.2_76802359_2,DN_NC_073244.2_27906374_2,DN_NC_073244.2_28133142_2,DN_NC_073244.2_28133171_2
DSFAM91	4	3	(novel)	NA	0.667	0.440	1	family	DN_NC_073242.2_36567597_2,DN_NC_086017.1_14101435_2,DN_NC_086017.1_14101436_3,DN_NC_086018.1_25932455_2
DSFAM92	4	4	KLC	1.0	0.500	0.329	2	family	DN_NC_073229.2_60853569_16,DN_NC_073233.2_74176850_16,DN_NC_073239.2_120602021_15,DN_NC_073244.2_56850091_13
DSFAM93	4	1	RRN	0.5	0.667	0.285	1	family	DN_NC_073242.2_21170576_8,DN_NC_073242.2_21650759_11,DN_NC_073242.2_29556580_18,DN_NC_073242.2_31545375_14
DSFAM94	4	3	PRKAR	0.75	0.500	0.220	2	family	DN_NC_073230.2_115994887_11,DN_NC_073233.2_78071205_2,DN_NC_086017.1_58612310_12,DN_NC_086017.1_58705155_2
DSFAM95	4	1	(novel)	NA	1.000	0.509	0	family	DN_NC_086018.1_18646417_6,DN_NC_086018.1_20765108_15,DN_NC_086018.1_22166696_9,DN_NC_086018.1_22406144_7
DSFAM96	4	3	EPHB	1.0	1.000	0.297	0	family	DN_NC_073224.2_216927976_16,DN_NC_073230.2_87974016_14,DN_NC_086017.1_145972418_16,DN_NC_086017.1_195677389_14
DSFAM97	4	2	(novel)	NA	1.000	0.634	0	family	DN_NC_073237.2_30974188_2,DN_NC_073237.2_30974494_2,DN_NC_073237.2_30974592_2,DN_NC_073247.2_166096407_3
DSFAM98	4	4	(novel)	NA	1.000	0.547	0	family	DN_NC_073227.2_211100517_2,DN_NC_073236.2_140396809_2,DN_NC_073237.2_118518303_5,DN_NC_073239.2_124645701_2
DSFAM99	4	1	ARL	0.6666666666666666	0.833	0.449	0	family	DN_NC_073228.2_27148471_4,DN_NC_073228.2_45686814_4,DN_NC_073228.2_45710800_6,DN_NC_073228.2_45948292_6
DSFAM100	4	3	ATP1A	0.75	0.833	0.533	0	family	DN_NC_073224.2_120787661_19,DN_NC_073224.2_96681549_23,DN_NC_073238.2_38964005_23,DN_NC_073244.2_53573424_23
DSFAM101	4	2	(novel)	NA	0.500	0.193	2	family	DN_NC_073229.2_44501801_6,DN_NC_073243.2_40356335_7,DN_NC_073243.2_74160733_18,DN_NC_073243.2_79717303_18
DSFAM102	4	1	(novel)	NA	1.000	1.000	0	family	DN_NC_073248.2_34736504_6,DN_NC_073248.2_34798633_6,DN_NC_073248.2_34819290_6,DN_NC_073248.2_34839953_6
DSFAM103	4	1	BEX	0.75	0.667	0.301	1	family	DN_NC_073247.2_113936318_3,DN_NC_073247.2_114994295_3,DN_NC_073247.2_115161722_3,DN_NC_073247.2_115162367_2
DSFAM104	4	2	(novel)	NA	0.667	0.231	1	family	DN_NC_073243.2_112081564_15,DN_NC_086017.1_207228653_16,DN_NC_086017.1_207540432_15,DN_NC_086017.1_209174437_6
DSFAM105	4	1	MB21D	1.0	1.000	0.916	0	family	DN_NC_086017.1_203857146_2,DN_NC_086017.1_203857147_2,DN_NC_086017.1_203857147_3,DN_NC_086017.1_203857148_2
DSFAM106	4	1	ZBTB	1.0	1.000	0.979	0	family	DN_NC_086017.1_152589059_3,DN_NC_086017.1_152612872_2,DN_NC_086017.1_152618662_2,DN_NC_086017.1_152627210_2
DSFAM107	4	1	CDC42EP	1.0	1.000	0.894	0	family	DN_NC_073228.2_18661468_2,DN_NC_073228.2_18662817_2,DN_NC_073228.2_18665630_2,DN_NC_073228.2_18685553_2
DSFAM108	4	1	FAM	1.0	1.000	0.887	0	family	DN_NC_073230.2_89274443_3,DN_NC_073230.2_89274445_2,DN_NC_073230.2_89274458_2,DN_NC_073230.2_89279862_2
DSFAM109	4	1	PDP	1.0	1.000	0.954	0	family	DN_NC_073242.2_96006556_2,DN_NC_073242.2_96006568_2,DN_NC_073242.2_96006582_2,DN_NC_073242.2_96006641_2
DSFAM110	4	2	(novel)	NA	0.667	0.252	1	family	DN_NC_073236.2_33289090_9,DN_NC_073237.2_23692487_10,DN_NC_073237.2_23917005_2,DN_NC_073237.2_30061699_3
DSFAM111	4	1	DMTF	0.5	0.500	0.475	2	family	DN_NC_073230.2_101581724_4,DN_NC_073230.2_101602035_18,DN_NC_073230.2_101646218_2,DN_NC_073230.2_101646316_2
DSFAM112	4	3	(novel)	NA	1.000	0.323	0	family	DN_NC_073240.2_21601841_7,DN_NC_073240.2_23210840_6,DN_NC_073242.2_37476471_6,DN_NC_086018.1_26719433_15
DSFAM113	4	1	LRATD	1.0	1.000	0.631	0	family	DN_NC_073236.2_125241687_3,DN_NC_073236.2_125269048_2,DN_NC_073236.2_125270757_2,DN_NC_073236.2_125270768_2
DSFAM114	4	2	PLXNB	0.5	0.500	0.322	2	family	DN_NC_086017.1_140746758_18,DN_NC_086017.1_140746758_2,DN_NC_086017.1_58271357_16,DN_NC_086018.1_48324966_37
DSFAM115	4	1	GSTM	1.0	1.000	0.528	0	family	DN_NC_073224.2_129169623_8,DN_NC_073224.2_129191737_8,DN_NC_073224.2_129211328_8,DN_NC_073224.2_130416112_8
DSFAM116	4	2	(novel)	NA	1.000	0.798	0	family	DN_NC_073246.2_2410732_2,DN_NC_073246.2_2410733_2,DN_NC_086018.1_1957958_2,DN_NC_086018.1_6578545_2
DSFAM117	4	1	FBXO	1.0	1.000	0.923	0	family	DN_NC_073239.2_72139772_4,DN_NC_073239.2_72218237_2,DN_NC_073239.2_72218290_3,DN_NC_073239.2_72218657_2
DSFAM118	4	2	UBC	0.75	1.000	0.602	0	family	DN_NC_073234.2_140369418_2,DN_NC_073234.2_140369418_3,DN_NC_073234.2_140369419_2,DN_NC_073236.2_84556071_6
DSFAM119	4	1	TRIM	1.0	1.000	0.958	0	family	DN_NC_086017.1_171562173_2,DN_NC_086017.1_171562529_3,DN_NC_086017.1_171562539_2,DN_NC_086017.1_171562540_2
DSFAM120	4	1	(novel)	NA	1.000	0.636	0	family	DN_NC_073242.2_104350782_12,DN_NC_073242.2_104912717_12,DN_NC_073242.2_99181437_12,DN_NC_073242.2_99604879_12
