family_id	n_loci	dominant_gene	member_dn	member_gene	chrom	start	end
27	2	GNG5	DN_NC_073224.2_155489872_9	RPF1	NC_073224.2	155489872	155512154
28	7	LOC129529226	DN_NC_073224.2_15670210_25	LOC129529226	NC_073224.2	15670210	15690287
28	7	LOC129529226	DN_NC_073224.2_15783681_8	LOC134758712	NC_073224.2	15783681	15791935
28	7	LOC129529226	DN_NC_073224.2_19027212_8	LOC129523520	NC_073224.2	19027212	19035461
28	7	LOC129529226	DN_NC_073224.2_19135994_8	LOC101130728	NC_073224.2	19135994	19144219
28	7	LOC129529226	DN_NC_073224.2_19235747_8	LOC134756437	NC_073224.2	19235747	19243971
28	7	LOC129529226	DN_NC_073224.2_19344252_8	LOC134758754	NC_073224.2	19344252	19352450
28	7	LOC129529226	DN_NC_073224.2_29070818_24	LOC129531982	NC_073224.2	29070818	29090914
29	2	LOC129532115	DN_NC_073224.2_16928217_2	LOC129532115	NC_073224.2	16928217	16936659
29	2	LOC129532115	DN_NC_073232.2_122771445_4	DUSP5	NC_073232.2	122771445	122785402
30	2	TESK2	DN_NC_073224.2_194445089_11	TESK2	NC_073224.2	194445089	194596091
30	2	TESK2	DN_NC_073224.2_194593658_8	TOE1	NC_073224.2	194593658	194599588
31	2	PTPRF	DN_NC_073224.2_196323176_17	PTPRF	NC_073224.2	196323176	196341678
31	2	PTPRF	DN_NC_073244.2_10996541_7	PTPRS	NC_073244.2	10996541	11003229
32	4	LOC129533540	DN_NC_073224.2_204820137_2	NA	NC_073224.2	204820137	204828327
32	4	LOC129533540	DN_NC_073228.2_64851588_2	LOC129533540	NC_073228.2	64851588	64860099
32	4	LOC129533540	DN_NC_073228.2_64854515_2	LOC129533540	NC_073228.2	64854515	64860099
32	4	LOC129533540	DN_NC_073235.2_134120506_2	NA	NC_073235.2	134120506	134125452
32	4	LOC129533540	DN_NC_073247.2_105164639_2	NA	NC_073247.2	105164639	105171308
33	2	SYNC	DN_NC_073224.2_207257149_3	SYNC	NC_073224.2	207257149	207272992
33	2	SYNC	DN_NC_073224.2_207270226_12	RBBP4	NC_073224.2	207270226	207302728
34	2	XKR8	DN_NC_073224.2_211985035_3	XKR8	NC_073224.2	211985035	211993195
34	2	XKR8	DN_NC_073230.2_12413521_6	LOC101125339	NC_073230.2	12413521	12439643
35	2	AUNIP	DN_NC_073224.2_214075309_3	AUNIP	NC_073224.2	214075309	214098577
35	2	AUNIP	DN_NC_073224.2_214095871_7	MTFR1L	NC_073224.2	214095871	214110631
36	2	RHD	DN_NC_073224.2_214517378_2	RHD	NC_073224.2	214517378	214542559
36	2	RHD	DN_NC_073233.2_119992784_4	SDHD	NC_073233.2	119992784	120001778
37	2	AKR7A2	DN_NC_073224.2_220588830_7	AKR7A2	NC_073224.2	220588830	220597024
37	2	AKR7A2	DN_NC_073224.2_220611411_7	LOC115933748	NC_073224.2	220611411	220619269
38	2	ENO1	DN_NC_073224.2_231736369_12	ENO1	NC_073224.2	231736369	231754310
38	2	ENO1	DN_NC_073224.2_25093112_7	EDARADD	NC_073224.2	25093112	25230797
39	4	ACTN3	DN_NC_073224.2_25533741_19	NA	NC_073224.2	25533741	25533741
39	4	ACTN3	DN_NC_073233.2_74467231_21	ACTN3	NC_073233.2	74467231	74483749
39	4	ACTN3	DN_NC_073239.2_85769342_21	ACTN1	NC_073239.2	85769342	85874778
39	4	ACTN3	DN_NC_073244.2_50412691_21	ACTN4	NC_073244.2	50412691	50495775
40	3	LOC109026917	DN_NC_073224.2_27333739_3	LOC101153891	NC_073224.2	27333739	27342562
40	3	LOC109026917	DN_NC_073228.2_64771915_4	LOC109026917	NC_073228.2	64771915	64820429
40	3	LOC109026917	DN_NC_073228.2_64771950_2	LOC109026917	NC_073228.2	64771950	64819487
40	3	LOC109026917	DN_NC_073234.2_48400691_7	KRT18	NC_073234.2	48400691	48404609
41	2	LOC115931588	DN_NC_073224.2_34022391_2	LOC115931588	NC_073224.2	34022391	34037429
41	2	LOC115931588	DN_NC_073224.2_34033747_2	NA	NC_073224.2	34033747	34037429
42	35	ZNF92	DN_NC_073224.2_40627195_4	ZNF678	NC_073224.2	40627195	40691824
42	35	ZNF92	DN_NC_073230.2_73977205_4	ZNF680	NC_073230.2	73977205	74023352
42	35	ZNF92	DN_NC_073230.2_74126483_4	LOC101128844	NC_073230.2	74126483	74171491
42	35	ZNF92	DN_NC_073230.2_74190289_5	LOC101133668	NC_073230.2	74190289	74236913
42	35	ZNF92	DN_NC_073230.2_74299233_4	ZNF273	NC_073230.2	74299233	74334240
42	35	ZNF92	DN_NC_073230.2_74637722_4	ZNF92	NC_073230.2	74637722	74665115
42	35	ZNF92	DN_NC_073230.2_74637814_2	ZNF92	NC_073230.2	74637814	74665114
42	35	ZNF92	DN_NC_073242.2_66613619_4	LOC129527827	NC_073242.2	66613619	66651969
42	35	ZNF92	DN_NC_073244.2_26240035_4	ZNF506	NC_073244.2	26240035	26271063
42	35	ZNF92	DN_NC_073244.2_26240039_2	ZNF506	NC_073244.2	26240039	26271037
42	35	ZNF92	DN_NC_073244.2_26314241_4	LOC101129171	NC_073244.2	26314241	26342983
42	35	ZNF92	DN_NC_073244.2_26666712_5	ZNF486	NC_073244.2	26666712	26701477
42	35	ZNF92	DN_NC_073244.2_26901109_4	LOC101136009	NC_073244.2	26901109	26930210
42	35	ZNF92	DN_NC_073244.2_27051998_4	LOC115930172	NC_073244.2	27051998	27075053
42	35	ZNF92	DN_NC_073244.2_27131194_2	ZNF626	NC_073244.2	27131194	27169982
42	35	ZNF92	DN_NC_073244.2_27285351_4	LOC101137462	NC_073244.2	27285351	27320295
42	35	ZNF92	DN_NC_073244.2_27408454_4	LOC129528947	NC_073244.2	27408454	27437361
42	35	ZNF92	DN_NC_073244.2_27504818_5	ZNF430	NC_073244.2	27504818	27543672
42	35	ZNF92	DN_NC_073244.2_27566430_5	LOC115931567	NC_073244.2	27566430	27603446
42	35	ZNF92	DN_NC_073244.2_27626411_5	LOC115931567	NC_073244.2	27626411	27669889
42	35	ZNF92	DN_NC_073244.2_27765726_4	LOC101141027	NC_073244.2	27765726	27802258
42	35	ZNF92	DN_NC_073244.2_27869273_3	LOC101142646	NC_073244.2	27869273	27900063
42	35	ZNF92	DN_NC_073244.2_27956158_2	ZNF429	NC_073244.2	27956158	27994790
42	35	ZNF92	DN_NC_073244.2_27956158_4	ZNF429	NC_073244.2	27956158	27995104
42	35	ZNF92	DN_NC_073244.2_28072858_4	LOC115931568	NC_073244.2	28072858	28101601
42	35	ZNF92	DN_NC_073244.2_28256975_5	LOC101144838	NC_073244.2	28256975	28304593
42	35	ZNF92	DN_NC_073244.2_28333451_4	ZNF43	NC_073244.2	28333451	28380753
42	35	ZNF92	DN_NC_073244.2_28588105_4	LOC101145945	NC_073244.2	28588105	28627201
42	35	ZNF92	DN_NC_073244.2_28711447_2	LOC101146634	NC_073244.2	28711447	28749576
42	35	ZNF92	DN_NC_073244.2_28711447_4	LOC101146634	NC_073244.2	28711447	28749561
42	35	ZNF92	DN_NC_073244.2_28820229_4	LOC101147715	NC_073244.2	28820229	28854386
42	35	ZNF92	DN_NC_073244.2_29046961_4	LOC115931576	NC_073244.2	29046961	29080061
42	35	ZNF92	DN_NC_073244.2_29232445_4	ZNF723	NC_073244.2	29232445	29259316
42	35	ZNF92	DN_NC_073244.2_29297022_4	LOC101153126	NC_073244.2	29297022	29327777
42	35	ZNF92	DN_NC_073244.2_29557605_4	LOC101123988	NC_073244.2	29557605	29586429
42	35	ZNF92	DN_NC_073244.2_29680825_2	ZNF91	NC_073244.2	29680825	29718633
42	35	ZNF92	DN_NC_073244.2_29680825_4	ZNF91	NC_073244.2	29680825	29718693
42	35	ZNF92	DN_NC_073244.2_29970261_4	ZNF675	NC_073244.2	29970261	30005993
42	35	ZNF92	DN_NC_073244.2_30067652_4	ZNF681	NC_073244.2	30067652	30086648
42	35	ZNF92	DN_NC_073244.2_30438340_4	ZNF254	NC_073244.2	30438340	30483558
42	35	ZNF92	DN_NC_073244.2_30438386_2	ZNF254	NC_073244.2	30438386	30483513
43	2	CHIT1	DN_NC_073224.2_53524414_11	CHIT1	NC_073224.2	53524414	53538001
43	2	CHIT1	DN_NC_073224.2_53535059_3	ADORA1	NC_073224.2	53535059	53625813
44	2	LOC101144634	DN_NC_073224.2_5565564_3	LOC101144634	NC_073224.2	5565564	5584557
44	2	LOC101144634	DN_NC_073224.2_5715398_2	LOC115930073	NC_073224.2	5715398	5721172
45	2	NEK7	DN_NC_073224.2_58444513_10	NEK7	NC_073224.2	58444513	58610267
45	2	NEK7	DN_NC_073224.2_58444554_2	NEK7	NC_073224.2	58444554	58452166
46	2	LOC101141950	DN_NC_073224.2_5868780_3	LOC101141950	NC_073224.2	5868780	5878118
46	2	LOC101141950	DN_NC_073224.2_5875208_2	LOC101141950	NC_073224.2	5875208	5878152
47	2	LOC101124243	DN_NC_073224.2_6827773_11	LOC101124243	NC_073224.2	6827773	6848254
47	2	LOC101124243	DN_NC_073230.2_165840202_11	NOM1	NC_073230.2	165840202	165861376
48	2	NMNAT2	DN_NC_073224.2_73341370_11	NMNAT2	NC_073224.2	73341370	73515409
48	2	NMNAT2	DN_NC_073224.2_73504451_2	NMNAT2	NC_073224.2	73504451	73511064
49	2	LOC101124778	DN_NC_073224.2_8222521_2	LOC101124778	NC_073224.2	8222521	8225997
49	2	LOC101124778	DN_NC_073224.2_8222533_2	LOC101124778	NC_073224.2	8222533	8225040
49	2	LOC101124778	DN_NC_073224.2_8222533_5	LOC101124778	NC_073224.2	8222533	8246313
50	2	FCGR2B	DN_NC_073224.2_95093869_7	FCGR2B	NC_073224.2	95093869	95109444
50	2	FCGR2B	DN_NC_073224.2_95171181_7	FCGR2A	NC_073224.2	95171181	95185561
51	2	DEDD	DN_NC_073224.2_95638704_6	DEDD	NC_073224.2	95638704	95651681
51	2	DEDD	DN_NC_073224.2_95648579_7	NIT1	NC_073224.2	95648579	95653144
52	2	LOC115930226	DN_NC_073224.2_95894630_7	LOC115930226	NC_073224.2	95894630	95903850
52	2	LOC115930226	DN_NC_073224.2_95939283_8	LOC101146454	NC_073224.2	95939283	95948008
53	2	ATP1A2	DN_NC_073224.2_96681549_23	ATP1A2	NC_073224.2	96681549	96709345
53	2	ATP1A2	DN_NC_073244.2_53573424_23	ATP1A3	NC_073244.2	53573424	53600605
54	3	LOC101138011	DN_NC_073224.2_98617594_3	LOC101138011	NC_073224.2	98617594	98626164
54	3	LOC101138011	DN_NC_073229.2_52163606_6	LOC109025084	NC_073229.2	52163606	52172176
54	3	LOC101138011	DN_NC_073244.2_54257531_4	LOC129528550	NC_073244.2	54257531	54277925
55	2	ANTXR2	DN_NC_073227.2_100164790_17	ANTXR2	NC_073227.2	100164790	100326641
55	2	ANTXR2	DN_NC_073227.2_100166351_2	ANTXR2	NC_073227.2	100166351	100222650
56	2	HELQ	DN_NC_073227.2_103697557_18	HELQ	NC_073227.2	103697557	103746260
56	2	HELQ	DN_NC_073227.2_103742235_2	HELQ	NC_073227.2	103742235	103746290
57	2	C3H4orf36	DN_NC_073227.2_107202270_4	C3H4orf36	NC_073227.2	107202270	107208564
57	2	C3H4orf36	DN_NC_073247.2_147586730_5	LOC101145464	NC_073247.2	147586730	147600703
58	5	LOC129532854	DN_NC_073227.2_109806788_5	LOC129532854	NC_073227.2	109806788	110009960
58	5	LOC129532854	DN_NC_073235.2_91038771_5	LOC129532145	NC_073235.2	91038771	91048976
58	5	LOC129532854	DN_NC_073235.2_93196915_2	NA	NC_073235.2	93196915	93204187
58	5	LOC129532854	DN_NC_073238.2_125561692_4	LOC129526123	NC_073238.2	125561692	125570942
58	5	LOC129532854	DN_NC_073239.2_87154592_2	LOC109023261	NC_073239.2	87154592	87175509
59	2	ADH1B	DN_NC_073227.2_119617950_9	ADH1B	NC_073227.2	119617950	119635004
59	2	ADH1B	DN_NC_073227.2_119647764_9	LOC101136823	NC_073227.2	119647764	119666104
60	2	DOK7	DN_NC_073227.2_12039502_7	DOK7	NC_073227.2	12039502	12073268
60	2	DOK7	DN_NC_073236.2_24822888_6	LOC115933190	NC_073236.2	24822888	24855058
61	11	XRCC2	DN_NC_073227.2_12088225_8	LRPAP1	NC_073227.2	12088225	12110703
61	11	XRCC2	DN_NC_073230.2_161461453_3	XRCC2	NC_073230.2	161461453	161489378
61	11	XRCC2	DN_NC_073230.2_161461454_2	XRCC2	NC_073230.2	161461454	161489360
61	11	XRCC2	DN_NC_073236.2_22549336_8	LOC134756753	NC_073236.2	22549336	22573893
61	11	XRCC2	DN_NC_073236.2_23070420_5	LOC134756368	NC_073236.2	23070420	23086559
61	11	XRCC2	DN_NC_073236.2_24785599_8	LOC115933156	NC_073236.2	24785599	24806449
61	11	XRCC2	DN_NC_073236.2_30205531_7	LOC129523503	NC_073236.2	30205531	30227896
61	11	XRCC2	DN_NC_073238.2_23392840_7	LOC129526389	NC_073238.2	23392840	23415402
61	11	XRCC2	DN_NC_073238.2_25250945_5	LOC115932954	NC_073238.2	25250945	25267153
61	11	XRCC2	DN_NC_073240.2_17174470_5	LOC115932756	NC_073240.2	17174470	17192320
61	11	XRCC2	DN_NC_073246.2_11287585_8	LOC129523574	NC_073246.2	11287585	11311890
61	11	XRCC2	DN_NC_073248.2_45277558_8	LOC129530227	NC_073248.2	45277558	45297431
62	2	BBS12	DN_NC_073227.2_142818656_2	BBS12	NC_073227.2	142818656	142863116
62	2	BBS12	DN_NC_073227.2_142850836_2	BBS12	NC_073227.2	142850836	142863124
63	2	FGF2	DN_NC_073227.2_142943898_3	FGF2	NC_073227.2	142943898	143016072
63	2	FGF2	DN_NC_073227.2_143010447_5	NUDT6	NC_073227.2	143010447	143042953
64	5	LOC129533004	DN_NC_073227.2_144460538_3	NA	NC_073227.2	144460538	144480029
64	5	LOC129533004	DN_NC_073227.2_144461700_2	NA	NC_073227.2	144461700	144480029
64	5	LOC129533004	DN_NC_073227.2_208386894_3	LOC129533004	NC_073227.2	208386894	208404091
64	5	LOC129533004	DN_NC_073230.2_59739987_2	NA	NC_073230.2	59739987	59770676
64	5	LOC129533004	DN_NC_073233.2_11450665_3	LOC101150644	NC_073233.2	11450665	11475387
64	5	LOC129533004	DN_NC_073234.2_21810248_3	NA	NC_073234.2	21810248	21816314
65	2	CRMP1	DN_NC_073227.2_15519199_14	CRMP1	NC_073227.2	15519199	15592017
65	2	CRMP1	DN_NC_073227.2_15589297_3	EVC	NC_073227.2	15589297	15600223
66	6	LOC101133249	DN_NC_073227.2_16860393_3	LOC101133249	NC_073227.2	16860393	16870778
66	6	LOC101133249	DN_NC_073227.2_21866694_4	LOC109026441	NC_073227.2	21866694	22223098
66	6	LOC101133249	DN_NC_073227.2_22207916_2	NA	NC_073227.2	22207916	22222891
66	6	LOC101133249	DN_NC_073227.2_47550779_2	NA	NC_073227.2	47550779	47558338
66	6	LOC101133249	DN_NC_073230.2_133049988_3	NA	NC_073230.2	133049988	133140820
66	6	LOC101133249	DN_NC_073235.2_106111443_2	RAPH1	NC_073235.2	106111443	106143532
67	6	TMEM128	DN_NC_073227.2_17184793_5	TMEM128	NC_073227.2	17184793	17197528
67	6	TMEM128	DN_NC_073227.2_17184840_5	TMEM128	NC_073227.2	17184840	17197527
67	6	TMEM128	DN_NC_073230.2_161022909_27	KMT2C	NC_073230.2	161022909	161255278
67	6	TMEM128	DN_NC_073236.2_21263952_7	LOC129526957	NC_073236.2	21263952	21342153
67	6	TMEM128	DN_NC_073238.2_22875925_6	LOC129526385	NC_073238.2	22875925	22937381
67	6	TMEM128	DN_NC_073238.2_24580375_8	LOC129526398	NC_073238.2	24580375	24653974
67	6	TMEM128	DN_NC_073240.2_14396114_6	LOC134757216	NC_073240.2	14396114	14474143
68	7	LOC101125415	DN_NC_073227.2_17445647_6	LOC101125415	NC_073227.2	17445647	17459327
68	7	LOC101125415	DN_NC_073231.2_11581641_7	LOC101133440	NC_073231.2	11581641	11593493
68	7	LOC101125415	DN_NC_073233.2_75718276_6	LOC101152938	NC_073233.2	75718276	75732757
68	7	LOC101125415	DN_NC_073242.2_8737492_8	EEF2KMT	NC_073242.2	8737492	8751406
68	7	LOC101125415	DN_NC_086017.1_136773097_2	LOC101137806	NC_086017.1	136773097	136779958
68	7	LOC101125415	DN_NC_086017.1_141278779_5	LOC101139163	NC_086017.1	141278779	141292691
68	7	LOC101125415	DN_NC_086017.1_85330170_7	LOC115934341	NC_086017.1	85330170	85343934
69	11	FRG1	DN_NC_073227.2_210893336_9	FRG1	NC_073227.2	210893336	210915719
69	11	FRG1	DN_NC_073235.2_33703802_2	LOC129532222	NC_073235.2	33703802	33710182
69	11	FRG1	DN_NC_073235.2_34402342_7	LOC129532224	NC_073235.2	34402342	34424573
69	11	FRG1	DN_NC_073236.2_21829724_2	LOC129527278	NC_073236.2	21829724	21835462
69	11	FRG1	DN_NC_073236.2_26203134_8	LOC129531431	NC_073236.2	26203134	26248578
69	11	FRG1	DN_NC_073238.2_24693721_8	LOC129526395	NC_073238.2	24693721	24716370
69	11	FRG1	DN_NC_073239.2_44147073_8	LOC129526550	NC_073239.2	44147073	44192602
69	11	FRG1	DN_NC_073239.2_44758266_8	LOC129526557	NC_073239.2	44758266	44800425
69	11	FRG1	DN_NC_073240.2_14911190_8	NA	NC_073240.2	14911190	14933437
69	11	FRG1	DN_NC_073245.2_42779121_5	LOC115933219	NC_073245.2	42779121	42804725
69	11	FRG1	DN_NC_073248.2_10847471_7	LOC129530429	NC_073248.2	10847471	10902702
70	16	LOC129532808	DN_NC_073227.2_211080863_4	LOC129532808	NC_073227.2	211080863	211100446
70	16	LOC129532808	DN_NC_073227.2_8155721_4	LOC129533287	NC_073227.2	8155721	8175332
70	16	LOC129532808	DN_NC_073229.2_195378107_3	LOC129534552	NC_073229.2	195378107	195392338
70	16	LOC129532808	DN_NC_073230.2_168783006_4	LOC129523822	NC_073230.2	168783006	168798864
70	16	LOC129532808	DN_NC_073231.2_150902261_3	LOC134759133	NC_073231.2	150902261	150915629
70	16	LOC129532808	DN_NC_073232.2_146269317_5	LOC129525175	NC_073232.2	146269317	146336693
70	16	LOC129532808	DN_NC_073232.2_8583099_4	LOC129525064	NC_073232.2	8583099	8602469
70	16	LOC129532808	DN_NC_073236.2_140400059_5	LOC129531751	NC_073236.2	140400059	140454207
70	16	LOC129532808	DN_NC_073237.2_118498911_4	NDUFA8	NC_073237.2	118498911	118518230
70	16	LOC129532808	DN_NC_073239.2_124648897_4	LOC129527285	NC_073239.2	124648897	124668428
70	16	LOC129532808	DN_NC_073240.2_103747497_4	LOC134757299	NC_073240.2	103747497	103767033
70	16	LOC129532808	DN_NC_073241.2_110003031_5	LOC134756415	NC_073241.2	110003031	110070564
70	16	LOC129532808	DN_NC_073242.2_121237165_4	LOC129527429	NC_073242.2	121237165	121256463
70	16	LOC129532808	DN_NC_073244.2_70818649_5	LOC129528751	NC_073244.2	70818649	70886016
70	16	LOC129532808	DN_NC_086017.1_211655827_5	LOC129532625	NC_086017.1	211655827	211723367
70	16	LOC129532808	DN_NC_086017.1_9337960_4	LOC129532709	NC_086017.1	9337960	9353628
71	3	LOC129532807	DN_NC_073227.2_211100517_2	LOC129532807	NC_073227.2	211100517	211103608
71	3	LOC129532807	DN_NC_073236.2_140396809_2	LOC129531752	NC_073236.2	140396809	140400008
