gene_a	gene_b	dn_a	dn_b	cls	ep_impure	gstm2	mage	in_dna_loose	mean_matched_id	div_bin	colinear	chromA	startA	endA	chromB	startB	endB	same_chrom	cross_n	cross_best_idfm	cross_best_idfi	same_region	same_best_idfm	a_in_segdup	b_in_segdup	cn_status	cn_a	cn_b	cn_diff	segdup_keep_90	segdup_keep_95	segdup_keep_98
ANKRD18B	LOC115933254	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	TP	0	0	0	1	0.9704	id>=0.95	10	NC_073236.2	32866582	32988430	NC_073237.2	31481917	31508326	0	2	0.984	0.8582	0	0.0	1	1	NA_a		8		1	1	1
ANKRD36C	LOC109025523	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	TP	0	0	0	1	0.9379	0.90-0.95	13	NC_073236.2	33791336	33872960	NC_073236.2	35320202	35413415	1	9	0.9586	0.8583	0	0.0	1	1	NA_both				1	1	0
APOBEC3D	APOBEC3F	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	TP	0	0	0	1	0.9193	0.90-0.95	6	NC_086018.1	36987543	37037040	NC_086018.1	37043543	37058616	1	3	0.9239	0.9132	1	0.8845	1	1	NA_both				1	0	0
ASB6	NTMT1	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	TP	0	0	0	1	0.0	<0.70	0	NC_073237.2	126021216	126031817	NC_073237.2	126029688	126037446	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
ATP6V1C2	PDIA6	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	TP	1	0	0	1	0.0	<0.70	0	NC_073236.2	129103377	129132601	NC_073236.2	129129305	129150734	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
BCR	LOC101132434	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	TP	1	0	0	1	0.9794	id>=0.95	4	NC_086018.1	18646417	18665751	NC_086018.1	20765108	20799307	1	1	0.9509	0.9336	0	0.0	1	1	NA_both				1	1	0
BCR	LOC101135843	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	TP	1	0	0	1	0.9448	0.90-0.95	6	NC_086018.1	20765108	20799307	NC_086018.1	22406144	22435700	1	1	0.9576	0.8651	0	0.0	1	1	NA_both				1	1	0
BCR	LOC115932815	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	TP	1	0	0	1	0.9568	id>=0.95	6	NC_086018.1	20765108	20799307	NC_086018.1	22166696	22186682	1	1	0.958	0.8472	0	0.0	1	1	NA_both				1	1	0
BFAR	LOC101150079	DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	TP	0	0	0	1	0.9977	id>=0.95	8	NC_073242.2	32258496	32294889	NC_073242.2	32495201	32531745	1	2	0.9986	0.9957	0	0.0	1	1	NA_both				1	1	1
BTN2A1	BTN2A2	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44135507_8	TP	0	0	0	1	0.9177	0.90-0.95	4	NC_073229.2	44058305	44070063	NC_073229.2	44135507	44147566	1	2	0.8452	0.579	0	0.0	1	1	NA_both				0	0	0
C4A	C4B	DN_NC_073229.2_49583451_41	DN_NC_073229.2_49609902_41	TP	0	0	0	1	0.9982	id>=0.95	41	NC_073229.2	49583451	49598228	NC_073229.2	49609902	49624707	1	1	0.9959	0.9955	0	0.0	1	1	NA_both				1	1	1
CCDC144A	LOC109026769	DN_NC_073228.2_79926211_12	DN_NC_073228.2_83434996_12	TP	0	0	0	1	0.9915	id>=0.95	11	NC_073228.2	79926211	79971481	NC_073228.2	83434996	83478593	1	1	0.9892	0.9404	0	0.0	1	1	NA_both				1	1	1
CCDC152	SELENOP	DN_NC_073243.2_69046517_5	DN_NC_073243.2_69056468_9	TP	0	0	0	1	0.0	<0.70	0	NC_073243.2	69046517	69063476	NC_073243.2	69056468	69101775	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
CDRT4	TVP23B	DN_NC_073228.2_81446275_7	DN_NC_073243.2_30823221_7	TP	0	0	0	1	0.9886	id>=0.95	5	NC_073228.2	81446275	81475874	NC_073243.2	30823221	30848095	0	1	0.9844	0.9322	0	0.0	1	1	NA_both				1	1	1
CENPP	IPPK	DN_NC_073237.2_89073528_3	DN_NC_073237.2_89075402_13	TP	0	0	0	1	1.0	id>=0.95	1	NC_073237.2	89073528	89078301	NC_073237.2	89075402	89133172	1	0	0.0	0.0	1	0.9281	1	1	NA_both				0	0	0
CES1	LOC115931015	DN_NC_073242.2_84833963_14	DN_NC_073242.2_84922514_14	TP	0	0	0	1	0.9156	0.90-0.95	14	NC_073242.2	84833963	84870755	NC_073242.2	84922514	84952609	1	1	0.8932	0.6422	0	0.0	1	1	NA_both				0	0	0
CHEK2	LOC101152610	DN_NC_073240.2_21601841_7	DN_NC_086018.1_26719433_15	TP	0	0	0	1	0.9642	id>=0.95	5	NC_073240.2	21601841	21610583	NC_086018.1	26719433	26774468	0	1	0.9578	0.9435	0	0.0	1	1	NA_both				1	1	0
CPLANE1	LOC115933270	DN_NC_073243.2_82594889_12	DN_NC_073243.2_82739824_8	TP	0	0	0	1	0.9944	id>=0.95	4	NC_073243.2	82594889	82620180	NC_073243.2	82739824	82765535	1	1	0.9979	0.9911	0	0.0	1	1	NA_b	6			1	1	1
CRMP1	EVC	DN_NC_073227.2_15519199_14	DN_NC_073227.2_15589297_3	TP	0	0	0	1	0.0	<0.70	0	NC_073227.2	15519199	15592017	NC_073227.2	15589297	15600223	1	0	0.0	0.0	0	0.0	0	1	NA_both				0	0	0
CTSA	NEURL2	DN_NC_073245.2_58117175_2	DN_NC_073245.2_58118781_15	TP	0	0	0	1	1.0	id>=0.95	1	NC_073245.2	58117175	58119849	NC_073245.2	58118781	58127386	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
DAPK1	LOC115935778	DN_NC_073237.2_83892884_7	DN_NC_073237.2_84363825_25	TP	0	0	0	1	0.9932	id>=0.95	6	NC_073237.2	83892884	83918168	NC_073237.2	84363825	84459469	1	1	0.9939	0.9744	0	0.0	1	1	NA_both				1	1	1
DCAF12L1	DCAF12L2	DN_NC_073247.2_137840069_2	DN_NC_073247.2_138224742_2	TP	0	0	0	1	0.8492	0.80-0.90	1	NC_073247.2	137840069	137843801	NC_073247.2	138224742	138228671	1	1	0.8702	0.7917	0	0.0	1	1	NA_both				0	0	0
DDX19A	DDX19B	DN_NC_073242.2_99745328_12	DN_NC_073242.2_99793055_12	TP	0	0	0	1	0.9247	0.90-0.95	10	NC_073242.2	99745328	99781507	NC_073242.2	99793055	99819627	1	1	0.7863	0.4726	0	0.0	1	1	NA_both				0	0	0
DHFR	DHFR2	DN_NC_073228.2_84714357_6	DN_NC_086017.1_104876268_2	TP	0	0	0	1	0.7087	0.70-0.80	1	NC_073228.2	84714357	84740626	NC_086017.1	104876268	104881418	0	1	0.9038	0.8711	0	0.0	1	1	NA_both				1	0	0
DNAJC17	GCHFR	DN_NC_073240.2_41471977_3	DN_NC_073240.2_41473848_11	TP	0	0	0	1	0.0	<0.70	0	NC_073240.2	41471977	41476400	NC_073240.2	41473848	41515084	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
DPY19L2	LOC115935244	DN_NC_073230.2_98668717_3	DN_NC_073234.2_37699488_22	TP	0	0	0	1	0.8635	0.80-0.90	2	NC_073230.2	98668717	98675159	NC_073234.2	37699488	37809120	0	2	0.9766	0.9732	0	0.0	1	1	NA_both				1	1	0
EEF1A1	LOC109023808	DN_NC_073229.2_97606864_8	DN_NC_073243.2_97368870_3	TP	0	0	0	1	0.0	<0.70	0	NC_073229.2	97606864	97612687	NC_073243.2	97368870	97381877	0	1	0.9825	0.6639	0	0.0	1	1	NA_both				1	1	1
EIF1AX	LOC101137900	DN_NC_073238.2_32661686_2	DN_NC_073247.2_30604924_7	TP	1	0	0	1	0.0	<0.70	0	NC_073238.2	32661686	32677135	NC_073247.2	30604924	30622993	0	1	0.9579	0.9395	0	0.0	1	1	NA_both				1	1	0
EIF1AX	LOC129530234	DN_NC_073247.2_30604924_7	DN_NC_073248.2_26554434_7	TP	0	0	0	1	0.9198	0.90-0.95	5	NC_073247.2	30604924	30622993	NC_073248.2	26554434	26572508	0	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
EOLA1	EOLA2	DN_NC_073247.2_161158664_6	DN_NC_073247.2_161607555_5	TP	0	0	0	1	0.9919	id>=0.95	4	NC_073247.2	161158664	161172248	NC_073247.2	161607555	161615285	1	1	0.9988	0.9957	0	0.0	1	1	NA_both				1	1	1
ERCC1	POLR1G	DN_NC_073244.2_56915266_3	DN_NC_073244.2_56916454_10	TP	0	0	0	1	0.9607	id>=0.95	1	NC_073244.2	56915266	56918898	NC_073244.2	56916454	56933063	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
ETFDH	PPID	DN_NC_073227.2_179688123_13	DN_NC_073227.2_179727029_10	TP	0	0	0	1	0.0	<0.70	0	NC_073227.2	179688123	179730561	NC_073227.2	179727029	179742992	1	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
FGF2	NUDT6	DN_NC_073227.2_142943898_3	DN_NC_073227.2_143010447_5	TP	0	0	0	1	0.0	<0.70	0	NC_073227.2	142943898	143016072	NC_073227.2	143010447	143042953	1	0	0.0	0.0	0	0.0	0	0	NA_both				0	0	0
FKBP9	LOC101129903	DN_NC_073230.2_40386475_10	DN_NC_073230.2_63523034_4	TP	0	0	0	1	0.9834	id>=0.95	3	NC_073230.2	40386475	40435433	NC_073230.2	63523034	63531257	1	1	0.9819	0.9594	0	0.0	1	1	NA_both				1	1	1
FRG1	LOC101142904	DN_NC_073227.2_210893336_9	DN_NC_073246.2_2235416_3	TP	0	0	0	1	0.9204	0.90-0.95	2	NC_073227.2	210893336	210915719	NC_073246.2	2235416	2244379	0	1	0.9404	0.724	0	0.0	1	1	NA_a		3		1	0	0
FRG1	LOC115933219	DN_NC_073227.2_210893336_9	DN_NC_073245.2_42779121_5	TP	0	0	0	1	0.9559	id>=0.95	3	NC_073227.2	210893336	210915719	NC_073245.2	42779121	42804725	0	1	0.9427	0.7433	0	0.0	1	1	NA_both				1	0	0
FRG1	LOC129526395	DN_NC_073227.2_210893336_9	DN_NC_073238.2_24693721_8	TP	0	0	0	1	0.9561	id>=0.95	6	NC_073227.2	210893336	210915719	NC_073238.2	24693721	24716370	0	1	0.9456	0.7568	0	0.0	1	1	NA_both				1	0	0
FRG1	LOC129526550	DN_NC_073227.2_210893336_9	DN_NC_073239.2_44147073_8	TP	0	0	0	1	0.9453	0.90-0.95	6	NC_073227.2	210893336	210915719	NC_073239.2	44147073	44192602	0	1	0.9432	0.7362	0	0.0	1	1	NA_a		13		1	0	0
FRG1	LOC129530552	DN_NC_073227.2_210893336_9	DN_NC_086018.1_1774757_3	TP	0	0	0	1	0.9204	0.90-0.95	2	NC_073227.2	210893336	210915719	NC_086018.1	1774757	1783719	0	1	0.9399	0.7224	0	0.0	1	1	NA_both				1	0	0
FRG1	LOC129531431	DN_NC_073227.2_210893336_9	DN_NC_073236.2_26203134_8	TP	0	0	0	1	0.9406	0.90-0.95	6	NC_073227.2	210893336	210915719	NC_073236.2	26203134	26248578	0	1	0.9437	0.7363	0	0.0	1	1	NA_both				1	0	0
FRG1	LOC129532222	DN_NC_073227.2_210893336_9	DN_NC_073235.2_33703802_2	TP	0	0	0	1	0.0	<0.70	0	NC_073227.2	210893336	210915719	NC_073235.2	33703802	33710182	0	1	0.9439	0.6697	0	0.0	1	1	NA_both				1	0	0
GATC	SRSF9	DN_NC_073234.2_135871466_4	DN_NC_073234.2_135886660_4	TP	0	0	0	1	0.0	<0.70	0	NC_073234.2	135871466	135888734	NC_073234.2	135886660	135895395	1	0	0.0	0.0	1	0.9538	1	1	NA_both				0	0	0
GBA1	LOC101127437	DN_NC_073224.2_101578782_11	DN_NC_073224.2_101602135_9	TP	0	0	0	1	0.9513	id>=0.95	6	NC_073224.2	101578782	101587073	NC_073224.2	101602135	101607689	1	2	0.8851	0.5055	0	0.0	1	1	NA_a		2		0	0	0
GLUD1	GLUD2	DN_NC_073232.2_99433455_13	DN_NC_073247.2_132688708_2	TP	0	0	0	1	0.0	<0.70	0	NC_073232.2	99433455	99478929	NC_073247.2	132688708	132692218	0	1	0.9206	0.1596	0	0.0	1	1	NA_both				1	0	0
GSTM1	GSTM4	DN_NC_073224.2_129211328_8	DN_NC_073224.2_130416112_8	TP	0	0	0	1	0.9243	0.90-0.95	6	NC_073224.2	129211328	129222730	NC_073224.2	130416112	130425488	1	2	0.8437	0.5917	0	0.0	1	1	NA_both				0	0	0
IFITM2	LOC101128980	DN_NC_073233.2_6759783_2	DN_NC_073233.2_6771931_2	TP	0	0	0	1	0.9107	0.90-0.95	1	NC_073233.2	6759783	6762214	NC_073233.2	6771931	6773347	1	1	0.7433	0.5777	1	0.7433	1	1	NA_both				0	0	0
IGBP1	IGBP1C	DN_NC_073228.2_33351168_2	DN_NC_073247.2_81944671_6	TP	0	0	0	1	0.0	<0.70	0	NC_073228.2	33351168	33380450	NC_073247.2	81944671	81979281	0	0	0.0	0.0	0	0.0	1	0	NA_both				0	0	0
IGSF3	LOC129526379	DN_NC_073224.2_120975632_11	DN_NC_073238.2_24435116_16	TP	0	0	0	1	0.9723	id>=0.95	4	NC_073224.2	120975632	121068999	NC_073238.2	24435116	24483769	0	1	0.972	0.8892	0	0.0	1	1	NA_both				1	1	0
IKBKG	LOC115932121	DN_NC_073247.2_166164942_10	DN_NC_073247.2_166250782_8	TP	0	0	0	1	0.9918	id>=0.95	7	NC_073247.2	166164942	166182682	NC_073247.2	166250782	166258482	1	1	0.9977	0.992	0	0.0	1	1	NA_b	2			1	1	1
JMJD8	STUB1	DN_NC_073242.2_4304426_7	DN_NC_073242.2_4305661_8	TP	1	0	0	1	0.0	<0.70	0	NC_073242.2	4304426	4306770	NC_073242.2	4305661	4308341	1	0	0.0	0.0	1	0.9042	1	1	NA_both				0	0	0
KDM8	LOC129523519	DN_NC_073242.2_26867490_8	DN_NC_073242.2_27157172_8	TP	0	0	0	1	0.999	id>=0.95	8	NC_073242.2	26867490	26887408	NC_073242.2	27157172	27176983	1	1	0.9963	0.9743	0	0.0	1	1	NA_a		3		1	1	1
KRBOX4	ZNF674	DN_NC_073247.2_56848572_6	DN_NC_073247.2_56899135_7	TP	0	0	0	1	0.8818	0.80-0.90	5	NC_073247.2	56848572	56875262	NC_073247.2	56899135	56946878	1	2	0.9118	0.8324	0	0.0	1	1	NA_both				1	0	0
LIMS1	LOC101146691	DN_NC_073236.2_46553268_10	DN_NC_073236.2_47822803_9	TP	0	0	0	1	0.9829	id>=0.95	9	NC_073236.2	46553268	46585694	NC_073236.2	47822803	47854679	1	1	0.9834	0.9642	0	0.0	1	1	NA_both				1	1	1
LINC02693	LOC109025320	DN_NC_073228.2_78970117_3	DN_NC_073242.2_66481481_2	TP	0	0	0	1	0.9456	0.90-0.95	2	NC_073228.2	78970117	78990936	NC_073242.2	66481481	66502248	0	1	0.9605	0.8259	0	0.0	1	1	NA_both				1	1	0
LOC101123934	SLC2A14	DN_NC_073234.2_23452056_11	DN_NC_073234.2_23565467_10	TP	0	0	0	1	0.9592	id>=0.95	9	NC_073234.2	23452056	23511730	NC_073234.2	23565467	23582676	1	1	0.8971	0.4537	0	0.0	1	1	NA_both				0	0	0
LOC101123970	LOC129527614	DN_NC_073242.2_26889052_8	DN_NC_073242.2_27178722_8	TP	0	0	0	1	0.9978	id>=0.95	7	NC_073242.2	26889052	26932791	NC_073242.2	27178722	27222847	1	1	0.9963	0.9743	0	0.0	1	1	NA_b	2			1	1	1
LOC101124026	LOC101141789	DN_NC_073237.2_109453117_3	DN_NC_073237.2_109461576_3	TP	0	0	0	1	0.9936	id>=0.95	3	NC_073237.2	109453117	109460140	NC_073237.2	109461576	109468401	1	1	0.9544	0.9119	1	0.9544	1	1	NA_both				1	1	0
LOC101124243	NOM1	DN_NC_073224.2_6827773_11	DN_NC_073230.2_165840202_11	TP	0	0	0	1	0.9861	id>=0.95	11	NC_073224.2	6827773	6848254	NC_073230.2	165840202	165861376	0	1	0.9823	0.9553	0	0.0	1	1	NA_both				1	1	1
LOC101124545	LOC129526151	DN_NC_073238.2_59732356_14	DN_NC_073238.2_60756272_9	TP	0	0	0	1	0.985	id>=0.95	6	NC_073238.2	59732356	59777857	NC_073238.2	60756272	60840221	1	1	0.9918	0.8623	0	0.0	1	1	NA_both				1	1	1
LOC101124683	LOC115930071	DN_NC_073239.2_35396913_9	DN_NC_073239.2_35520561_9	TP	1	0	0	1	0.9992	id>=0.95	8	NC_073239.2	35396913	35468605	NC_073239.2	35520561	35582290	1	2	0.9946	0.8698	0	0.0	1	1	NA_b	2			1	1	1
LOC101124732	ZNF552	DN_NC_073244.2_69910623_3	DN_NC_073244.2_70009554_3	TP	0	0	0	1	0.8651	0.80-0.90	1	NC_073244.2	69910623	69918493	NC_073244.2	70009554	70019318	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101125415	LOC101139163	DN_NC_073227.2_17445647_6	DN_NC_086017.1_141278779_5	TP	0	0	0	1	0.9438	0.90-0.95	5	NC_073227.2	17445647	17459327	NC_086017.1	141278779	141292691	0	1	0.9495	0.8364	0	0.0	1	1	NA_both				1	0	0
LOC101125415	LOC115934341	DN_NC_073227.2_17445647_6	DN_NC_086017.1_85330170_7	TP	0	0	0	1	0.9349	0.90-0.95	6	NC_073227.2	17445647	17459327	NC_086017.1	85330170	85343934	0	1	0.9346	0.7566	0	0.0	1	1	NA_both				1	0	0
LOC101126070	LOC129534728	DN_NC_073230.2_76190196_16	DN_NC_073230.2_82009167_15	TP	0	0	0	1	0.973	id>=0.95	15	NC_073230.2	76190196	76433301	NC_073230.2	82009167	82278836	1	3	0.9749	0.9509	0	0.0	1	1	NA_both				1	1	0
LOC101127500	MYL12B	DN_NC_073241.2_47004815_4	DN_NC_073241.2_47028473_4	TP	0	0	0	1	0.9336	0.90-0.95	2	NC_073241.2	47004815	47023317	NC_073241.2	47028473	47037777	1	0	0.0	0.0	0	0.0	1	1	NA_both				0	0	0
LOC101127609	LOC101154433	DN_NC_073242.2_104912717_12	DN_NC_073242.2_99604879_12	TP	0	0	0	1	0.9828	id>=0.95	11	NC_073242.2	104912717	104926217	NC_073242.2	99604879	99617745	1	1	0.9888	0.9599	0	0.0	1	1	NA_both				1	1	1
LOC101127609	LOC115930161	DN_NC_073242.2_104912717_12	DN_NC_073242.2_99181437_12	TP	0	0	0	1	0.9857	id>=0.95	12	NC_073242.2	104912717	104926217	NC_073242.2	99181437	99195002	1	1	0.9916	0.903	0	0.0	1	1	NA_both				1	1	1
LOC101127631	ZNF569	DN_NC_073244.2_48660338_4	DN_NC_073244.2_48919547_6	TP	0	0	0	1	0.9952	id>=0.95	1	NC_073244.2	48660338	48688616	NC_073244.2	48919547	48978146	1	1	0.9948	0.99	0	0.0	1	1	NA_both				1	1	1
LOC101128088	LOC101128458	DN_NC_073242.2_96060106_12	DN_NC_073242.2_96161607_12	TP	0	0	0	1	0.9401	0.90-0.95	11	NC_073242.2	96060106	96070061	NC_073242.2	96161607	96171304	1	4	0.9648	0.7414	0	0.0	1	1	NA_both				1	1	0
LOC101128088	LOC115931020	DN_NC_073242.2_96073882_12	DN_NC_073242.2_96161607_12	TP	0	0	0	1	0.9739	id>=0.95	11	NC_073242.2	96073882	96084435	NC_073242.2	96161607	96171304	1	4	0.9648	0.7414	0	0.0	1	1	NA_both				1	1	0
LOC101128351	LOC101128712	DN_NC_073244.2_17876785_4	DN_NC_073244.2_17922158_4	TP	0	0	0	1	0.928	0.90-0.95	3	NC_073244.2	17876785	17898987	NC_073244.2	17922158	17944006	1	4	0.9073	0.4669	1	0.8481	1	1	NA_both				1	0	0
LOC101128458	LOC115931020	DN_NC_073242.2_96060106_12	DN_NC_073242.2_96073882_12	TP	0	0	0	1	0.9334	0.90-0.95	10	NC_073242.2	96060106	96070061	NC_073242.2	96073882	96084435	1	2	0.9351	0.8841	1	0.9648	1	1	NA_both				1	0	0
LOC101128712	ZNF440	DN_NC_073244.2_17846610_4	DN_NC_073244.2_17922158_4	TP	0	0	0	1	0.9104	0.90-0.95	3	NC_073244.2	17846610	17862312	NC_073244.2	17922158	17944006	1	4	0.9073	0.4669	1	0.8481	1	1	NA_both				1	0	0
LOC101129219	ZNF33B	DN_NC_073232.2_72820474_5	DN_NC_073232.2_81033881_5	TP	0	0	0	1	0.9265	0.90-0.95	5	NC_073232.2	72820474	72872997	NC_073232.2	81033881	81083048	1	1	0.9304	0.7405	0	0.0	1	1	NA_both				1	0	0
LOC101129558	LOC101135429	DN_NC_073245.2_11562885_6	DN_NC_073245.2_11814428_9	TP	0	0	0	1	0.8961	0.80-0.90	3	NC_073245.2	11562885	11592507	NC_073245.2	11814428	11859931	1	2	0.8555	0.8314	0	0.0	1	1	NA_both				0	0	0
LOC101129940	SEC22B	DN_NC_073224.2_117114419_5	DN_NC_073224.2_124983304_5	TP	0	1	0	1	0.9833	id>=0.95	5	NC_073224.2	117114419	117139645	NC_073224.2	124983304	125008555	1	1	0.9866	0.9224	0	0.0	1	1	NA_b	3			1	1	1
LOC101130542	TCEAL5	DN_NC_073247.2_115050911_3	DN_NC_073247.2_115394224_3	TP	0	0	0	1	0.0	<0.70	0	NC_073247.2	115050911	115056182	NC_073247.2	115394224	115401136	1	1	0.844	0.7178	0	0.0	1	1	NA_both				0	0	0
LOC101130542	TCEAL6	DN_NC_073247.2_113922705_3	DN_NC_073247.2_115394224_3	TP	0	0	0	1	0.8856	0.80-0.90	2	NC_073247.2	113922705	113925133	NC_073247.2	115394224	115401136	1	1	0.8907	0.8563	0	0.0	1	1	NA_both				0	0	0
LOC101130728	LOC129523520	DN_NC_073224.2_19027212_8	DN_NC_073224.2_19135994_8	TP	0	0	0	1	0.9962	id>=0.95	8	NC_073224.2	19027212	19035461	NC_073224.2	19135994	19144219	1	2	0.9941	0.9281	1	0.9941	1	1	NA_both				1	1	1
LOC101130728	LOC134756437	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19235747_8	TP	0	0	0	1	0.9925	id>=0.95	8	NC_073224.2	19135994	19144219	NC_073224.2	19235747	19243971	1	2	0.9941	0.9281	1	0.9941	1	1	NA_both				1	1	1
LOC101130728	LOC134758712	DN_NC_073224.2_15783681_8	DN_NC_073224.2_19135994_8	TP	0	0	0	1	0.9883	id>=0.95	8	NC_073224.2	15783681	15791935	NC_073224.2	19135994	19144219	1	2	0.9913	0.9409	0	0.0	1	1	NA_both				1	1	1
LOC101130728	LOC134758754	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19344252_8	TP	0	0	0	1	0.9995	id>=0.95	8	NC_073224.2	19135994	19144219	NC_073224.2	19344252	19352450	1	2	0.9941	0.9281	1	0.9941	1	1	NA_both				1	1	1
