gene_a	gene_b	cls	in_ep	core	bridge_dn_a	bridge_dn_b	bridge_mask	deg_max	deg_mean	mm_median_max	mm_max_max	km_median_max	km_p90_max	km_frac_ge_100_max	aln_len	aln_frac	arbitration
ALDH1B1	ALDH2	truthbar	1	0.4238	DN_NC_073234.2_127179897_13	DN_NC_073237.2_24562366_2	0.1689	4	3.5000	3.0000	52.0000						0
ALDH1B1	LOC115935842	TP	1	0.3444	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	0.1689	4	3.5000	3.0000	52.0000						0
ALDH1B1	LOC129524687	TP	1	0.8829	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	0.1663	4	4.0000	3.0000	52.0000						0
ALDH1L1	ALDH1L2	truthbar	1	0.5237	DN_NC_073234.2_120456173_23	DN_NC_086017.1_136950625_23	0.0436	1	1.0000	51.0000	51.0000						0
ALDH2	LOC115935842	truthbar	1														0
ALDH2	LOC129524687	truthbar	1	0.2743	DN_NC_073234.2_127179897_13	DN_NC_073237.2_31692944_2	0.1566	4	3.5000	3.0000	18.0000						0
ALG1	EEF2KMT	genuine	0														0
ALG1	LOC101125415	genuine	0														0
ALG1	LOC101133440	genuine	0														0
ALG1	LOC101137806	genuine	0														0
ALG1	LOC101139163	genuine	0	0.1538	DN_NC_073242.2_8725127_13	DN_NC_086017.1_141278779_5	0.0477	7	4.5000	15.0000	52.0000				957.0000	0.4459	1
ALG1	LOC101152938	genuine	0	0.1724	DN_NC_073233.2_75718276_6	DN_NC_073242.2_8725127_13	0.0604	7	4.5000	15.0000	52.0000				901.0000	0.4199	1
ALG1	LOC115934341	genuine	0														0
ALG10	ALG10B	TP	1	0.5702	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	0.2850	1	1.0000	2.0000	52.0000						0
ALG1L1P	LOC101127338	genuine	0	0.6561	DN_NC_086017.1_134833806_5	DN_NC_086017.1_136815000_6	0.0498	1	1.0000	2.0000	52.0000				994.0000	1.1244	1
AMN1	ETFBKMT	genuine	0	0.6472	DN_NC_073234.2_69501458_7	DN_NC_073234.2_69557459_4	0.3050	1	1.0000	1.0000	51.0000				1540.0000	0.6468	1
AMPD2	AMPD3	truthbar	1	0.1647	DN_NC_073224.2_130449319_18	DN_NC_073233.2_16844162_15	0.0587	1	1.0000	1.0000	51.0000						0
AMY2A	KRBOX5	genuine	0														0
AMY2A	LOC101123988	genuine	0														0
AMY2A	LOC101124778	genuine	0														0
AMY2A	LOC101126065	genuine	0														0
AMY2A	LOC101128106	genuine	0														0
AMY2A	LOC101128844	genuine	0														0
AMY2A	LOC101129171	genuine	0														0
AMY2A	LOC101130023	genuine	0														0
AMY2A	LOC101133546	genuine	0														0
AMY2A	LOC101133668	genuine	0														0
AMY2A	LOC101136009	genuine	0														0
AMY2A	LOC101137462	genuine	0														0
AMY2A	LOC101141027	genuine	0														0
AMY2A	LOC101142646	genuine	0														0
AMY2A	LOC101144119	genuine	0														0
AMY2A	LOC101144471	genuine	0														0
AMY2A	LOC101144838	genuine	0														0
AMY2A	LOC101145945	genuine	0														0
AMY2A	LOC101146634	genuine	0														0
AMY2A	LOC101147715	genuine	0														0
AMY2A	LOC101150965	genuine	0														0
AMY2A	LOC101151892	genuine	0														0
AMY2A	LOC101152401	genuine	0														0
AMY2A	LOC101153126	genuine	0														0
AMY2A	LOC101153131	genuine	0														0
AMY2A	LOC109024216	genuine	0														0
AMY2A	LOC109026610	genuine	0														0
AMY2A	LOC115930172	genuine	0														0
AMY2A	LOC115931567	genuine	0														0
AMY2A	LOC115931568	genuine	0														0
AMY2A	LOC115931576	genuine	0														0
AMY2A	LOC115931654	genuine	0														0
AMY2A	LOC115931857	genuine	0														0
AMY2A	LOC129527827	genuine	0														0
AMY2A	LOC129528947	genuine	0														0
AMY2A	OSBPL10	genuine	0														0
AMY2A	ZNF141	genuine	0														0
AMY2A	ZNF195	genuine	0														0
AMY2A	ZNF254	genuine	0														0
AMY2A	ZNF267	genuine	0														0
AMY2A	ZNF273	genuine	0														0
AMY2A	ZNF28	genuine	0														0
AMY2A	ZNF347	genuine	0														0
AMY2A	ZNF415	genuine	0														0
AMY2A	ZNF429	genuine	0														0
AMY2A	ZNF43	genuine	0														0
AMY2A	ZNF430	genuine	0														0
AMY2A	ZNF468	genuine	0														0
AMY2A	ZNF480	genuine	0														0
AMY2A	ZNF486	genuine	0														0
AMY2A	ZNF506	genuine	0														0
AMY2A	ZNF519	genuine	0														0
AMY2A	ZNF528	genuine	0														0
AMY2A	ZNF578	genuine	0														0
AMY2A	ZNF595	genuine	0														0
AMY2A	ZNF600	genuine	0														0
AMY2A	ZNF611	genuine	0														0
AMY2A	ZNF616	genuine	0														0
AMY2A	ZNF626	genuine	0														0
AMY2A	ZNF655	genuine	0														0
AMY2A	ZNF675	genuine	0														0
AMY2A	ZNF678	genuine	0														0
AMY2A	ZNF680	genuine	0														0
AMY2A	ZNF681	genuine	0														0
AMY2A	ZNF682	genuine	0														0
AMY2A	ZNF695	genuine	0														0
AMY2A	ZNF701	genuine	0														0
AMY2A	ZNF721	genuine	0														0
AMY2A	ZNF723	genuine	0														0
AMY2A	ZNF727	genuine	0														0
AMY2A	ZNF736	genuine	0														0
AMY2A	ZNF761	genuine	0														0
AMY2A	ZNF766	genuine	0														0
AMY2A	ZNF8	genuine	0														0
AMY2A	ZNF808	genuine	0														0
AMY2A	ZNF813	genuine	0														0
AMY2A	ZNF83	genuine	0														0
AMY2A	ZNF836	genuine	0														0
AMY2A	ZNF841	genuine	0														0
AMY2A	ZNF888	genuine	0	0.1698	DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	0.4244	56	28.5000	42.0000	52.0000				0.0000	0.0000	1
AMY2A	ZNF91	genuine	0														0
AMY2A	ZNF92	genuine	0														0
AMZ2	LOC101129405	genuine	0	0.1651	DN_NC_073228.2_23742950_7	DN_NC_073228.2_27022347_6	0.0778	1	1.0000	3.0000	52.0000				2054.0000	0.7199	1
ANKRD18A	ANKRD18B	TP	1	0.2528	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	0.1933	5	4.5000	7.0000	52.0000						0
ANKRD18A	FOXO1	genuine	0														0
ANKRD18A	LOC101142783	TP	1	0.3383	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	0.1510	7	6.0000	7.0000	52.0000						0
ANKRD18A	LOC101147259	TP	1														0
ANKRD18A	LOC115933254	TP	1	0.2170	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	0.1510	6	5.5000	4.0000	52.0000						0
ANKRD18A	LOC129524732	genuine	0														0
ANKRD18B	FOXO1	genuine	0														0
ANKRD18B	LOC101142783	TP	1	0.5768	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	0.1933	7	5.5000	7.0000	52.0000						0
ANKRD18B	LOC101147259	TP	1	0.2605	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	0.2186	4	3.0000	9.0000	52.0000						0
ANKRD18B	LOC115933254	TP	1	0.5644	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	0.1933	6	5.0000	7.0000	52.0000						0
ANKRD18B	LOC129524732	genuine	0														0
ANKRD36C	ANKRD62	genuine	0														0
ANKRD36C	LOC101125154	truthbar	1	0.1925	DN_NC_073236.2_33699714_3	DN_NC_073236.2_35163364_4	0.5830	1	1.0000	3.0000	52.0000						0
ANKRD36C	LOC109025523	TP	1	0.5033	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	0.1464	2	1.5000	9.0000	51.0000						0
ANKRD37	UFSP2	genuine	0	0.2174	DN_NC_073227.2_206378182_5	DN_NC_073227.2_206379213_12	0.1900	1	1.0000	1.0000	2.0000				220.0000	0.2174	1
ANKRD6	LYRM2	genuine	0	0.6194	DN_NC_073229.2_113642543_16	DN_NC_073229.2_113787300_3	0.2837	1	1.0000	5.0000	51.0000				3402.0000	0.6194	1
ANKRD62	LOC109025523	genuine	0	0.2212	DN_NC_073236.2_35320202_37	DN_NC_073241.2_38130293_13	0.1629	2	1.5000	9.0000	51.0000				0.0000	0.0000	1
ANO1	ANO2	truthbar	1	0.2128	DN_NC_073233.2_78027084_24	DN_NC_073234.2_21213540_25	0.0602	1	1.0000	1.0000	51.0000						0
ANO1	DFFB	genuine	0														0
ANO1	MTHFD2	genuine	0														0
ANO1	MTHFD2L	genuine	0														0
ANO1	PRKAR2A	genuine	0	0.1371	DN_NC_073233.2_78071205_2	DN_NC_086017.1_58705155_2	0.6819	4	2.5000	1.0000	51.0000				0.0000	0.0000	1
ANO1	PRKAR2B	genuine	0														0
AP1B1	AP2B1	truthbar	1	0.4286	DN_NC_073228.2_57285795_22	DN_NC_086018.1_27357888_21	0.0566	1	1.0000	3.0000	51.0000						0
AP1M1	AP1M2	truthbar	1	0.3873	DN_NC_073244.2_16606086_12	DN_NC_073244.2_22635247_12	0.0633	1	1.0000	2.0000	9.0000						0
AP1S2	BDP1	genuine	0	0.2271	DN_NC_073243.2_40339828_3	DN_NC_073247.2_26298821_5	0.2051	1	1.0000	5.0000	51.0000				531.0000	0.2262	1
AP2A1	AP2A2	truthbar	1	0.2691	DN_NC_073233.2_7370930_22	DN_NC_073244.2_59973129_7	0.2243	1	1.0000	1.0000	8.0000						0
APBA2	APBA3	truthbar	1	0.1630	DN_NC_073240.2_29886021_14	DN_NC_073244.2_9529410_11	0.1298	1	1.0000	2.0000	34.0000						0
APOBEC3C	APOBEC3D	genuine	0	0.2709	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37016890_4	0.3990	2	2.0000	3.0000	51.0000				855.0000	0.3080	1
APOBEC3C	APOBEC3F	genuine	0	0.3030	DN_NC_086018.1_37016890_4	DN_NC_086018.1_37043543_7	0.4450	2	2.0000	3.0000	51.0000				1882.0000	0.6780	1
APOBEC3D	APOBEC3F	TP	1	0.3807	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	0.4450	2	2.0000	3.0000	51.0000						0
APOL2	APOL3	truthbar	1	0.3708	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34223461_5	0.1408	3	2.5000	4.0000	51.0000						0
APOL2	APOL4	truthbar	1														0
APOL2	LOC109024811	genuine	0														0
APOL2	LOC115934372	genuine	0														0
APOL2	LOC129526178	genuine	0														0
APOL2	LOC129527096	genuine	0														0
APOL2	PP2D1	genuine	0														0
APOL2	RAB5A	genuine	0														0
APOL3	APOL4	truthbar	1	0.2863	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34186611_4	0.3524	3	3.0000	4.0000	52.0000						0
APOL3	LOC109024811	genuine	0														0
APOL3	LOC115934372	genuine	0														0
APOL3	LOC129526178	genuine	0														0
APOL3	LOC129527096	genuine	0														0
APOL3	PP2D1	genuine	0														0
APOL3	RAB5A	genuine	0														0
APOL4	LOC109024811	genuine	0														0
APOL4	LOC115934372	genuine	0														0
APOL4	LOC129526178	genuine	0														0
APOL4	LOC129527096	genuine	0	0.2801	DN_NC_073240.2_41396094_2	DN_NC_086018.1_34186611_4	0.8061	4	3.5000	4.0000	52.0000				837.0000	0.7764	1
APOL4	PP2D1	genuine	0														0
APOL4	RAB5A	genuine	0														0
ARFGEF1	ARFGEF2	truthbar	1	0.2362	DN_NC_073231.2_53153474_12	DN_NC_073245.2_61178675_39	0.1039	1	1.0000	1.0000	52.0000						0
ARHGEF39	CCDC107	genuine	0	0.4694	DN_NC_073237.2_27307884_9	DN_NC_073237.2_27311993_5	0.1613	1	1.0000	1.0000	50.0000				446.0000	0.4705	1
ARHGEF4	SPATA13	genuine	0	0.2424	DN_NC_073235.2_32368514_11	DN_NC_073238.2_38585508_10	0.1325	1	1.0000	1.0000	51.0000				0.0000	0.0000	1
ARID1A	ARID1B	truthbar	1	0.2719	DN_NC_073224.2_213161178_3	DN_NC_073229.2_181371301_3	0.1602	1	1.0000	1.0000	3.0000						0
ARL17A	LOC101128092	genuine	0														0
ARL17A	LOC101135168	genuine	0	0.5577	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45710800_6	0.0831	4	3.0000	10.0000	52.0000				1705.0000	0.5577	1
ARL17A	LOC115933002	genuine	0														0
ARL17A	LOC115934626	genuine	0	0.4194	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45948292_6	0.1392	3	2.5000	11.0000	52.0000				1881.0000	0.6153	1
ARL17A	LOC115934680	genuine	0														0
ARL17A	LRRC37A3	genuine	0														0
ARRB1	ARRB2	truthbar	1	0.5264	DN_NC_073233.2_83154693_15	DN_NC_073243.2_19834097_15	0.0650	1	1.0000	1.0000	52.0000						0
ASB6	NTMT1	TP	0	0.7080	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	0.3435	1	1.0000	1.0000	23.0000				1522.0000	0.7066	1
ASNS	LOC129531864	genuine	0	0.2269	DN_NC_073230.2_90977223_13	DN_NC_073236.2_31570340_7	0.3205	2	1.5000	7.0000	51.0000				510.0000	0.2159	1
ASNS	LOC129531867	genuine	0														0
ATP12A	ATP1A1	truthbar	1														0
ATP12A	ATP1A2	truthbar	1	0.2964	DN_NC_073224.2_96681549_23	DN_NC_073238.2_38964005_23	0.0789	3	2.5000	1.0000	51.0000						0
ATP12A	ATP1A3	truthbar	1	0.5263	DN_NC_073238.2_38964005_23	DN_NC_073244.2_53573424_23	0.0468	3	2.5000	2.0000	51.0000						0
ATP1A1	ATP1A2	truthbar	1	0.5176	DN_NC_073224.2_120787661_19	DN_NC_073224.2_96681549_23	0.0789	3	2.5000	1.0000	2.0000						0
ATP1A1	ATP1A3	truthbar	1	0.8895	DN_NC_073224.2_120787661_19	DN_NC_073244.2_53573424_23	0.0491	3	2.5000	2.0000	51.0000						0
ATP1A2	ATP1A3	truthbar	1	0.4359	DN_NC_073224.2_96681549_23	DN_NC_073244.2_53573424_23	0.0789	3	3.0000	2.0000	51.0000						0
ATP2A1	ATP2A2	truthbar	1	0.4375	DN_NC_073234.2_125738330_13	DN_NC_073242.2_29733807_20	0.0795	1	1.0000	2.0000	52.0000						0
ATP2B3	ATP2B4	truthbar	1	0.3204	DN_NC_073224.2_53012398_21	DN_NC_073247.2_165220768_21	0.0660	1	1.0000	1.0000	12.0000						0
ATP5ME	PDE6B	genuine	0	0.2016	DN_NC_073227.2_9231816_7	DN_NC_073227.2_9238554_4	0.2942	1	1.0000	1.0000	12.0000				530.0000	0.3748	1
ATP6V0A2	TCIRG1	truthbar	1	0.1467	DN_NC_073233.2_75965332_20	DN_NC_073234.2_139148650_20	0.1554	1	1.0000	1.0000	52.0000						0
ATP6V1C2	PDIA6	TP	0	0.3828	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	0.2220	1	1.0000	1.0000	23.0000				1083.0000	0.3800	1
ATP9A	ATP9B	truthbar	1	0.3714	DN_NC_073241.2_108384307_29	DN_NC_073245.2_63862966_28	0.1002	1	1.0000	1.0000	6.0000						0
ATPSCKMT	CAB39L	genuine	0														0
ATPSCKMT	LOC101133249	genuine	0	0.1790	DN_NC_073227.2_16860393_3	DN_NC_073243.2_101845354_5	0.6879	8	4.5000	51.0000	52.0000				1860.0000	0.7193	1
ATPSCKMT	LOC109024404	genuine	0														0
ATPSCKMT	LOC109026441	genuine	0														0
ATPSCKMT	MCFD2	genuine	0														0
AUNIP	MTFR1L	genuine	0	0.7245	DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	0.2956	1	1.0000	1.0000	2.0000				2696.0000	0.7245	1
B3GAT2	SMAP1	genuine	0	0.4622	DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	0.0914	1	1.0000	51.0000	52.0000				1809.0000	0.5285	1
B3GNTL1	TBCD	genuine	0	0.5383	DN_NC_073228.2_8941710_13	DN_NC_073228.2_9043620_39	0.0314	1	1.0000	1.0000	51.0000				1632.0000	0.5360	1
BBIP1	PDCD4	genuine	0	0.6716	DN_NC_073232.2_123144734_12	DN_NC_073232.2_123171879_4	0.2595	1	1.0000	1.0000	3.0000				1483.0000	0.6716	1
BCR	LOC101132434	TP	0	0.3002	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	0.0684	3	3.0000	13.0000	51.0000				1498.0000	0.6622	1
BCR	LOC101135843	TP	0	0.2560	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	0.0684	3	3.0000	13.0000	52.0000				1498.0000	0.5649	1
BCR	LOC115932815	TP	0	0.2679	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	0.0684	3	3.0000	13.0000	52.0000				1450.0000	0.5461	1
BEX1	BEX2	truthbar	1	0.3416	DN_NC_073247.2_114842677_3	DN_NC_073247.2_115094764_3	0.0333	1	1.0000	3.0000	52.0000						0
BEX3	BEX5	truthbar	1	0.1691	DN_NC_073247.2_113936318_3	DN_NC_073247.2_115162367_2	0.0936	3	2.5000	3.0000	51.0000						0
BEX3	NXF3	genuine	0	0.1391	DN_NC_073247.2_114994295_3	DN_NC_073247.2_115162367_2	0.1420	3	2.0000	3.0000	51.0000				0.0000	0.0000	1
BEX5	NXF3	genuine	0														0
BFAR	LOC101150079	TP	1	0.6357	DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	0.1901	1	1.0000	2.0000	52.0000						0
BIRC2	BIRC3	truthbar	1	0.2775	DN_NC_073233.2_110213303_8	DN_NC_073233.2_110238282_9	0.1944	1	1.0000	1.0000	51.0000						0
BLID	LOC101154388	genuine	0	0.8713	DN_NC_073233.2_130017597_2	DN_NC_073233.2_130017597_4	0.2029	1	1.0000	1.0000	32.0000				2607.0000	0.8713	1
BLK	HCK	truthbar	1	0.1480	DN_NC_073231.2_12364354_11	DN_NC_073245.2_44289870_13	0.0364	2	1.5000	1.0000	51.0000						0
BLK	LCK	truthbar	1														0
BLNK	ZNF518A	genuine	0	0.9746	DN_NC_073232.2_108425417_2	DN_NC_073232.2_108425608_2	0.1005	2	2.0000	1.0000	45.0000				3916.0000	0.9746	1
BLOC1S6	HMGN2	genuine	0	0.1527	DN_NC_073224.2_213462039_6	DN_NC_073240.2_46341896_2	0.1189	2	1.5000	51.0000	51.0000				1105.0000	0.4889	1
BLOC1S6	LOC129533754	genuine	0														0
BMAL1	BTBD10	genuine	0	0.5174	DN_NC_073233.2_19708960_19	DN_NC_073233.2_19815473_9	0.1118	1	1.0000	1.0000	2.0000				2558.0000	0.5152	1
BMS1	EXOC3L2	genuine	0														0
BMS1	LOC101132325	genuine	0														0
BMS1	LOC101136036	genuine	0														0
BMS1	LOC101143777	genuine	0	0.1317	DN_NC_073232.2_42022900_16	DN_NC_073232.2_72618921_23	0.1926	5	3.0000	22.0000	51.0000				1127.0000	0.3085	1
