dn_a	dn_b	contain_ab	contain_ba	n_exon_a	n_exon_b	n_cov_a	n_cov_b
DN_NC_073224.2_120975632_11	DN_NC_073238.2_24435116_16	0.363636	0.250000	11	16	4	4
DN_NC_073224.2_123525276_5	DN_NC_073224.2_9521619_7	0.000000	0.000000	5	7	0	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_107202270_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_26000468_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_49278079_9	0.200000	0.000000	5	9	1	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_55859426_23	0.200000	0.000000	5	23	1	0
DN_NC_073224.2_123525276_5	DN_NC_073230.2_159385621_3	0.200000	0.000000	5	3	1	0
DN_NC_073224.2_123525276_5	DN_NC_073230.2_92132360_3	0.200000	0.000000	5	3	1	0
DN_NC_073224.2_123525276_5	DN_NC_073231.2_107519754_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_101543079_10	0.200000	0.000000	5	10	1	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_34013134_3	0.200000	0.000000	5	3	1	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_50172230_4	0.000000	0.000000	5	4	0	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_99830035_5	0.200000	0.000000	5	5	1	0
DN_NC_073224.2_123525276_5	DN_NC_073233.2_116263271_8	0.200000	0.000000	5	8	1	0
DN_NC_073224.2_123525276_5	DN_NC_073233.2_23732821_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073234.2_126370406_2	0.200000	0.000000	5	2	1	0
DN_NC_073224.2_123525276_5	DN_NC_073234.2_86426177_10	0.200000	0.000000	5	10	1	0
DN_NC_073224.2_123525276_5	DN_NC_073235.2_142785844_3	0.200000	0.000000	5	3	1	0
DN_NC_073224.2_123525276_5	DN_NC_073235.2_71373985_7	0.200000	0.142857	5	7	1	1
DN_NC_073224.2_123525276_5	DN_NC_073237.2_101948554_6	0.200000	0.000000	5	6	1	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_123333523_2	0.200000	0.000000	5	2	1	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_123449122_2	0.200000	0.000000	5	2	1	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_14838701_6	0.200000	0.000000	5	6	1	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_36370724_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073240.2_21986088_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073242.2_120248671_3	0.200000	0.000000	5	3	1	0
DN_NC_073224.2_123525276_5	DN_NC_073243.2_69046517_5	0.200000	0.000000	5	5	1	0
DN_NC_073224.2_123525276_5	DN_NC_073243.2_70014918_17	0.200000	0.000000	5	17	1	0
DN_NC_073224.2_123525276_5	DN_NC_073244.2_43610901_6	0.200000	0.166667	5	6	1	1
DN_NC_073224.2_123525276_5	DN_NC_073245.2_47429376_4	0.200000	0.000000	5	4	1	0
DN_NC_073224.2_123525276_5	DN_NC_073247.2_114234875_11	0.200000	0.000000	5	11	1	0
DN_NC_073224.2_123525276_5	DN_NC_073247.2_115708949_2	0.200000	0.000000	5	2	1	0
DN_NC_073224.2_123525276_5	DN_NC_073247.2_147586730_5	0.200000	0.000000	5	5	1	0
DN_NC_073224.2_123525276_5	DN_NC_086018.1_24877691_3	0.200000	0.000000	5	3	1	0
DN_NC_073224.2_124008865_3	DN_NC_073242.2_36121013_3	0.000000	0.000000	3	3	0	0
DN_NC_073224.2_124008865_3	DN_NC_073242.2_36498381_3	0.000000	0.000000	3	3	0	0
DN_NC_073224.2_124008865_3	DN_NC_073242.2_6758889_7	0.000000	0.000000	3	7	0	0
DN_NC_073224.2_124008865_3	DN_NC_073244.2_68766684_2	0.000000	0.000000	3	2	0	0
DN_NC_073224.2_124234032_12	DN_NC_073224.2_124254598_20	0.500000	0.300000	12	20	6	6
DN_NC_073224.2_124234032_12	DN_NC_073224.2_125594338_29	0.416667	0.689655	12	29	5	20
DN_NC_073224.2_124234032_12	DN_NC_073224.2_130224824_25	0.416667	0.600000	12	25	5	15
DN_NC_073224.2_124234032_12	DN_NC_073224.2_130335848_23	0.416667	0.434783	12	23	5	10
DN_NC_073224.2_124234032_12	DN_NC_073224.2_218361248_19	0.416667	0.526316	12	19	5	10
DN_NC_073224.2_124234032_12	DN_NC_073224.2_218434129_23	0.416667	0.608696	12	23	5	14
DN_NC_073224.2_124234032_12	DN_NC_073224.2_223156764_8	0.000000	0.000000	12	8	0	0
DN_NC_073224.2_124254598_20	DN_NC_073224.2_125055626_35	0.200000	0.457143	20	35	4	16
DN_NC_073224.2_124254598_20	DN_NC_073224.2_125594338_29	0.200000	0.551724	20	29	4	16
DN_NC_073224.2_124254598_20	DN_NC_073224.2_129970070_21	0.200000	0.380952	20	21	4	8
DN_NC_073224.2_124254598_20	DN_NC_073224.2_130224824_25	0.200000	0.480000	20	25	4	12
DN_NC_073224.2_124254598_20	DN_NC_073224.2_130335848_23	0.350000	0.304348	20	23	7	7
DN_NC_073224.2_124254598_20	DN_NC_073224.2_218361248_19	0.200000	0.421053	20	19	4	8
DN_NC_073224.2_124254598_20	DN_NC_073224.2_218434129_23	0.200000	0.521739	20	23	4	12
DN_NC_073224.2_124983304_5	DN_NC_073224.2_130157457_4	0.800000	1.000000	5	4	4	4
DN_NC_073224.2_125055626_35	DN_NC_073224.2_125594338_29	0.971429	1.000000	35	29	34	29
DN_NC_073224.2_125055626_35	DN_NC_073224.2_129970070_21	1.000000	0.904762	35	21	35	19
DN_NC_073224.2_125055626_35	DN_NC_073224.2_130224824_25	1.000000	0.960000	35	25	35	24
DN_NC_073224.2_125055626_35	DN_NC_073224.2_130335848_23	0.971429	0.826087	35	23	34	19
DN_NC_073224.2_125055626_35	DN_NC_073224.2_218361248_19	0.885714	0.842105	35	19	31	16
DN_NC_073224.2_125055626_35	DN_NC_073224.2_218434129_23	0.885714	0.869565	35	23	31	20
DN_NC_073224.2_125594338_29	DN_NC_073224.2_129970070_21	1.000000	0.857143	29	21	29	18
DN_NC_073224.2_125594338_29	DN_NC_073224.2_130224824_25	1.000000	0.960000	29	25	29	24
DN_NC_073224.2_125594338_29	DN_NC_073224.2_130335848_23	1.000000	0.826087	29	23	29	19
DN_NC_073224.2_125594338_29	DN_NC_073224.2_218361248_19	0.931034	0.894737	29	19	27	17
DN_NC_073224.2_125594338_29	DN_NC_073224.2_218434129_23	0.931034	0.913043	29	23	27	21
DN_NC_073224.2_125859316_3	DN_NC_073224.2_45389129_11	0.333333	0.000000	3	11	1	0
DN_NC_073224.2_125859316_3	DN_NC_073224.2_77707994_7	0.333333	0.142857	3	7	1	1
DN_NC_073224.2_125859316_3	DN_NC_073232.2_65905862_9	0.000000	0.111111	3	9	0	1
DN_NC_073224.2_125859316_3	DN_NC_073237.2_96675699_5	0.333333	0.000000	3	5	1	0
DN_NC_073224.2_125859316_3	DN_NC_086018.1_19844955_6	0.333333	0.000000	3	9	1	0
DN_NC_073224.2_126139506_3	DN_NC_073242.2_97073460_5	0.000000	0.600000	3	5	0	3
DN_NC_073224.2_126184593_6	DN_NC_073224.2_126189262_21	0.166667	0.000000	6	21	1	0
DN_NC_073224.2_129169623_8	DN_NC_073224.2_129191737_8	0.000000	0.000000	8	8	0	0
DN_NC_073224.2_129169623_8	DN_NC_073224.2_129211328_8	0.000000	0.000000	8	8	0	0
DN_NC_073224.2_129169623_8	DN_NC_073224.2_130416112_8	0.000000	0.000000	8	8	0	0
DN_NC_073224.2_129191737_8	DN_NC_073224.2_129211328_8	0.875000	0.875000	8	8	7	7
DN_NC_073224.2_129191737_8	DN_NC_073224.2_130416112_8	0.750000	0.750000	8	8	6	6
DN_NC_073224.2_129200469_3	DN_NC_073248.2_27104145_4	0.333333	0.000000	3	4	1	0
DN_NC_073224.2_129211328_8	DN_NC_073224.2_130416112_8	0.750000	0.875000	8	8	6	7
DN_NC_073224.2_129429039_7	DN_NC_073224.2_129970070_21	1.000000	0.333333	7	21	7	7
DN_NC_073224.2_129429039_7	DN_NC_073224.2_218361248_19	0.714286	0.263158	7	19	5	5
DN_NC_073224.2_129429039_7	DN_NC_073224.2_218434129_23	0.714286	0.217391	7	23	5	5
DN_NC_073224.2_129429039_7	DN_NC_073224.2_223478295_8	0.714286	0.500000	7	8	5	4
DN_NC_073224.2_129970070_21	DN_NC_073224.2_130224824_25	0.904762	0.960000	21	25	19	24
DN_NC_073224.2_129970070_21	DN_NC_073224.2_130335848_23	0.857143	0.826087	21	23	18	19
DN_NC_073224.2_129970070_21	DN_NC_073224.2_218361248_19	0.952381	0.947368	21	19	20	18
DN_NC_073224.2_129970070_21	DN_NC_073224.2_218434129_23	0.952381	0.956522	21	23	20	22
DN_NC_073224.2_129970070_21	DN_NC_073224.2_223156764_8	0.238095	0.625000	21	8	5	5
DN_NC_073224.2_130224824_25	DN_NC_073224.2_130335848_23	0.760000	0.826087	25	23	19	19
DN_NC_073224.2_130224824_25	DN_NC_073224.2_218361248_19	0.880000	0.894737	25	19	22	17
DN_NC_073224.2_130224824_25	DN_NC_073224.2_218434129_23	0.880000	0.913043	25	23	22	21
DN_NC_073224.2_130305133_13	DN_NC_073243.2_111262956_13	0.923077	0.846154	13	13	12	11
DN_NC_073224.2_130335848_23	DN_NC_073224.2_218361248_19	0.739130	0.894737	23	19	17	17
DN_NC_073224.2_130335848_23	DN_NC_073224.2_218434129_23	0.739130	0.913043	23	23	17	21
DN_NC_073224.2_130406472_2	DN_NC_073224.2_13812644_2	0.000000	0.000000	2	2	0	0
DN_NC_073224.2_130406472_2	DN_NC_073229.2_109663823_28	0.000000	0.035714	2	28	0	1
DN_NC_073224.2_130406472_2	DN_NC_073235.2_137582288_5	0.000000	0.000000	2	5	0	0
DN_NC_073224.2_130406472_2	DN_NC_073241.2_80636266_2	0.000000	0.000000	2	2	0	0
DN_NC_073224.2_130406472_2	DN_NC_086017.1_165200217_5	0.000000	0.000000	2	5	0	0
DN_NC_073224.2_130406472_4	DN_NC_073229.2_136550623_3	0.000000	0.000000	4	3	0	0
DN_NC_073224.2_130406472_4	DN_NC_073233.2_132097253_2	0.000000	0.000000	4	2	0	0
DN_NC_073224.2_130406472_4	DN_NC_073242.2_95678785_4	0.000000	0.000000	4	4	0	0
DN_NC_073224.2_130406472_4	DN_NC_073243.2_21894066_7	0.000000	0.000000	4	7	0	0
DN_NC_073224.2_130449319_18	DN_NC_073233.2_16844162_15	0.000000	0.000000	18	15	0	0
DN_NC_073224.2_130486250_9	DN_NC_073230.2_108545376_8	0.000000	0.000000	9	8	0	0
DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	0.000000	0.000000	11	4	0	0
DN_NC_073224.2_13812644_2	DN_NC_073229.2_109663823_28	0.000000	0.000000	2	28	0	0
DN_NC_073224.2_13812644_2	DN_NC_073235.2_137582288_5	0.000000	0.000000	2	5	0	0
DN_NC_073224.2_13812644_2	DN_NC_073235.2_74414844_11	0.000000	0.000000	2	11	0	0
DN_NC_073224.2_13812644_2	DN_NC_073240.2_95564610_15	0.000000	0.000000	2	15	0	0
DN_NC_073224.2_13812644_2	DN_NC_073241.2_80636266_2	0.000000	0.000000	2	2	0	0
DN_NC_073224.2_13812644_2	DN_NC_086017.1_165200217_5	0.000000	0.000000	2	5	0	0
DN_NC_073224.2_13850922_2	DN_NC_073247.2_97674612_15	0.000000	0.000000	2	15	0	0
DN_NC_073224.2_14366670_16	DN_NC_073239.2_89227263_15	0.000000	0.000000	16	15	0	0
DN_NC_073224.2_14727985_2	DN_NC_073233.2_84240332_5	0.500000	0.600000	2	5	1	3
DN_NC_073224.2_147572773_13	DN_NC_073239.2_32663808_8	0.000000	0.000000	13	8	0	0
DN_NC_073224.2_147663563_19	DN_NC_073224.2_147715668_5	0.052632	0.200000	19	5	1	1
DN_NC_073224.2_150567709_6	DN_NC_073224.2_150859518_11	0.000000	0.000000	6	12	0	0
DN_NC_073224.2_150567709_6	DN_NC_073224.2_150903711_11	0.333333	0.181818	6	11	2	2
DN_NC_073224.2_150567709_6	DN_NC_073224.2_150948916_11	0.500000	0.272727	6	11	3	3
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150787798_12	0.454545	0.500000	11	12	5	6
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150859518_11	0.000000	0.000000	11	12	0	0
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150903711_11	0.000000	0.000000	11	11	0	0
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150948916_11	0.000000	0.000000	11	11	0	0
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150859518_11	0.000000	0.000000	12	12	0	0
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150903711_11	0.000000	0.000000	12	11	0	0
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150948916_11	0.000000	0.000000	12	11	0	0
DN_NC_073224.2_150787798_12	DN_NC_073224.2_150948916_11	0.000000	0.000000	12	11	0	0
DN_NC_073224.2_150835184_3	DN_NC_073233.2_132992860_18	0.333333	0.000000	3	18	1	0
DN_NC_073224.2_150835184_3	DN_NC_086017.1_148168205_5	0.333333	0.200000	3	5	1	1
DN_NC_073224.2_150859518_11	DN_NC_073224.2_150903711_11	0.750000	0.818182	12	11	9	9
DN_NC_073224.2_150859518_11	DN_NC_073224.2_150948916_11	0.750000	0.818182	12	11	9	9
DN_NC_073224.2_150903711_11	DN_NC_073224.2_150948916_11	0.818182	0.909091	11	11	9	10
DN_NC_073224.2_150982352_2	DN_NC_073247.2_148580448_11	0.500000	1.000000	2	11	1	11
DN_NC_073224.2_155484145_3	DN_NC_073224.2_155489872_9	0.333333	0.000000	3	9	1	0
DN_NC_073224.2_15670210_25	DN_NC_073224.2_15783681_8	0.240000	0.750000	25	8	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19027212_8	0.240000	0.750000	25	8	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19135994_8	0.240000	0.750000	25	8	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19235747_8	0.240000	0.750000	25	8	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19344252_8	0.240000	0.750000	25	8	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_29070818_24	1.000000	1.000000	25	24	25	24
DN_NC_073224.2_15783681_8	DN_NC_073224.2_19027212_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_15783681_8	DN_NC_073224.2_19135994_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_15783681_8	DN_NC_073224.2_19235747_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_15783681_8	DN_NC_073224.2_19344252_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_15783681_8	DN_NC_073224.2_29070818_24	0.875000	0.291667	8	24	7	7
DN_NC_073224.2_16928217_2	DN_NC_073232.2_122771445_4	0.000000	0.500000	2	4	0	2
DN_NC_073224.2_186733859_5	DN_NC_073234.2_26006928_5	0.000000	0.000000	5	5	0	0
DN_NC_073224.2_19027212_8	DN_NC_073224.2_19135994_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_19027212_8	DN_NC_073224.2_19235747_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_19027212_8	DN_NC_073224.2_19344252_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_19027212_8	DN_NC_073224.2_29070818_24	0.875000	0.291667	8	24	7	7
DN_NC_073224.2_19135994_8	DN_NC_073224.2_19235747_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_19135994_8	DN_NC_073224.2_19344252_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_19135994_8	DN_NC_073224.2_29070818_24	0.875000	0.291667	8	24	7	7
DN_NC_073224.2_19235747_8	DN_NC_073224.2_19344252_8	1.000000	1.000000	8	8	8	8
DN_NC_073224.2_19235747_8	DN_NC_073224.2_29070818_24	0.875000	0.291667	8	24	7	7
DN_NC_073224.2_19344252_8	DN_NC_073224.2_29070818_24	0.875000	0.291667	8	24	7	7
DN_NC_073224.2_194445089_11	DN_NC_073224.2_194593658_8	0.090909	0.125000	11	8	1	1
DN_NC_073224.2_196241058_22	DN_NC_073237.2_57425988_22	0.000000	0.000000	22	22	0	0
DN_NC_073224.2_196323176_17	DN_NC_073244.2_10996541_7	0.352941	0.857143	17	7	6	6
DN_NC_073224.2_197128142_3	DN_NC_073229.2_194862622_5	0.000000	0.000000	3	5	0	0
DN_NC_073224.2_197128142_3	DN_NC_073238.2_33904146_3	0.000000	0.333333	3	3	0	1
DN_NC_073224.2_197128142_3	DN_NC_073244.2_50702615_6	0.000000	0.000000	3	6	0	0
DN_NC_073224.2_199406700_5	DN_NC_073244.2_45985550_6	0.000000	0.000000	5	6	0	0
DN_NC_073224.2_199406700_5	DN_NC_073244.2_47586219_5	0.000000	0.000000	5	5	0	0
DN_NC_073224.2_199406700_5	DN_NC_073244.2_49072464_4	0.000000	0.000000	5	4	0	0
DN_NC_073224.2_199406700_5	DN_NC_073244.2_49246931_6	0.000000	0.000000	5	6	0	0
DN_NC_073224.2_199406700_5	DN_NC_073244.2_68611978_5	0.000000	0.000000	5	5	0	0
DN_NC_073224.2_199458269_6	DN_NC_073229.2_45067329_6	0.000000	0.000000	6	6	0	0
DN_NC_073224.2_199458269_6	DN_NC_073237.2_30220066_5	0.000000	0.000000	6	5	0	0
DN_NC_073224.2_199458269_6	DN_NC_073244.2_49072464_4	0.000000	0.000000	6	4	0	0
DN_NC_073224.2_199458269_6	DN_NC_073244.2_49101177_5	0.000000	0.000000	6	5	0	0
DN_NC_073224.2_199458269_6	DN_NC_073244.2_65102393_4	0.000000	0.000000	6	4	0	0
DN_NC_073224.2_199494304_6	DN_NC_073228.2_182864372_4	0.000000	0.000000	6	4	0	0
DN_NC_073224.2_199494304_6	DN_NC_073229.2_44967262_5	0.000000	0.000000	6	5	0	0
DN_NC_073224.2_199494304_6	DN_NC_073232.2_81253567_6	0.000000	0.000000	6	6	0	0
DN_NC_073224.2_199494304_6	DN_NC_073236.2_32302189_6	0.000000	0.000000	6	6	0	0
DN_NC_073224.2_199494304_6	DN_NC_073242.2_97765438_4	0.000000	0.000000	6	4	0	0
DN_NC_073224.2_200263910_4	DN_NC_073236.2_129488631_5	0.000000	0.000000	4	5	0	0
DN_NC_073224.2_206460331_8	DN_NC_073244.2_59726455_2	0.000000	0.000000	8	2	0	0
DN_NC_073224.2_207257149_3	DN_NC_073224.2_207270226_12	0.333333	0.083333	3	12	1	1
DN_NC_073224.2_207670698_13	DN_NC_073245.2_44289870_13	0.000000	0.000000	12	13	0	0
DN_NC_073224.2_208886621_22	DN_NC_073236.2_119568063_21	0.000000	0.000000	22	21	0	0
DN_NC_073224.2_210837399_19	DN_NC_073229.2_94673034_3	0.000000	0.000000	19	3	0	0
DN_NC_073224.2_211985035_3	DN_NC_073230.2_12413521_6	0.333333	0.000000	3	6	1	0
DN_NC_073224.2_213161178_3	DN_NC_073229.2_181371301_3	0.000000	0.000000	3	3	0	0
DN_NC_073224.2_213368965_21	DN_NC_073229.2_190755772_21	0.000000	0.000000	21	21	0	0
DN_NC_073224.2_213462039_6	DN_NC_073228.2_49710333_4	0.666667	0.000000	6	4	4	0
DN_NC_073224.2_213462039_6	DN_NC_073240.2_46341896_2	0.666667	0.500000	6	2	4	1
DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	0.333333	0.142857	3	7	1	1
DN_NC_073224.2_214517378_2	DN_NC_073233.2_119992784_4	0.500000	0.750000	2	4	1	3
DN_NC_073224.2_216467757_3	DN_NC_073231.2_150671310_5	0.000000	0.000000	3	5	0	0
DN_NC_073224.2_216467757_3	DN_NC_073241.2_64520240_3	0.000000	0.000000	3	3	0	0
DN_NC_073224.2_216927976_16	DN_NC_073230.2_87974016_14	0.000000	0.000000	16	14	0	0
DN_NC_073224.2_216927976_16	DN_NC_086017.1_145972418_16	0.000000	0.000000	16	16	0	0
DN_NC_073224.2_216927976_16	DN_NC_086017.1_195677389_14	0.000000	0.000000	16	14	0	0
DN_NC_073224.2_218361248_19	DN_NC_073224.2_218434129_23	0.947368	0.782609	19	23	18	18
DN_NC_073224.2_218361248_19	DN_NC_073224.2_223156764_8	0.368421	0.875000	19	8	7	7
DN_NC_073224.2_218434129_23	DN_NC_073224.2_223156764_8	0.304348	0.875000	23	8	7	7
DN_NC_073224.2_219630924_4	DN_NC_073227.2_107202270_4	0.000000	0.000000	4	4	0	0
DN_NC_073224.2_219630924_4	DN_NC_073235.2_71373985_7	0.000000	0.000000	4	7	0	0
DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	0.857143	0.714286	7	7	6	5
DN_NC_073224.2_228923130_6	DN_NC_073224.2_228936705_6	0.166667	0.166667	6	6	1	1
DN_NC_073224.2_231736369_12	DN_NC_073224.2_25093112_7	0.916667	0.142857	12	7	11	1
DN_NC_073224.2_231736369_12	DN_NC_073234.2_22572777_12	0.000000	0.000000	12	12	0	0
DN_NC_073224.2_231736369_12	DN_NC_073235.2_104226160_12	0.000000	0.000000	12	12	0	0
DN_NC_073224.2_231736369_12	DN_NC_073243.2_20078090_12	0.000000	0.000000	12	12	0	0
DN_NC_073224.2_236757333_2	DN_NC_086017.1_58705155_2	0.000000	0.000000	2	2	0	0
DN_NC_073224.2_239070568_18	DN_NC_086017.1_181307962_18	0.000000	0.000000	18	18	0	0
DN_NC_073224.2_239365488_12	DN_NC_073230.2_88115984_10	0.000000	0.000000	12	10	0	0
DN_NC_073224.2_239847758_15	DN_NC_073243.2_22365408_15	0.000000	0.000000	15	15	0	0
DN_NC_073224.2_239847758_15	DN_NC_086017.1_195260184_15	0.000000	0.000000	15	15	0	0
DN_NC_073224.2_25093112_7	DN_NC_073243.2_20078090_12	0.000000	0.000000	7	12	0	0
DN_NC_073224.2_26635584_9	DN_NC_073240.2_34675462_15	0.000000	0.000000	9	15	0	0
DN_NC_073224.2_27333739_3	DN_NC_073228.2_64771915_4	0.000000	0.000000	3	4	0	0
DN_NC_073224.2_27333739_3	DN_NC_073234.2_48400691_7	0.333333	1.000000	3	7	1	7
DN_NC_073224.2_38911600_25	DN_NC_073229.2_61929003_23	0.000000	0.000000	25	23	0	0
DN_NC_073224.2_38985857_7	DN_NC_073228.2_10057969_7	0.000000	0.000000	7	7	0	0
