label	ref	mem	ref_j	mem_j	co	frac_ref	frac_mem	aln_cov_small	contig	seq_id
bridge	LOC129527021	LOC129527175	18	18	18	1.0	1.0	0.998	18	0.9965132496513249
bridge	LOC129527021	LOC134757233	18	3	3	0.167	1.0	0.706	3	0.9834983498349835
bridge	LOC129527021	LOC129527071	18	17	17	0.944	1.0	0.968	11	0.9268802228412256
bridge	LOC129527021	LOC115930779	18	17	17	0.944	1.0	0.925	11	0.9671412924424972
bridge	LOC129527021	LOC129527176	18	18	18	1.0	1.0	1.0	18	0.9965883244882486
bridge	LOC129527021	LOC134757307	18	18	18	1.0	1.0	1.0	18	0.9989554317548747
bridge	LOC129527021	LOC134757232	18	13	13	0.722	1.0	0.604	13	0.9913644214162349
bridge	LOC129529765	LOC129529774	4	4	4	1.0	1.0	1.0	4	1.0
bridge	LOC129529765	LOC129529770	4	4	4	1.0	1.0	0.981	4	0.9964664310954063
bridge	LOC129529765	LOC129529769	4	4	4	1.0	1.0	1.0	4	1.0
bridge	LOC129529765	LOC129529768	4	4	4	1.0	1.0	1.0	4	1.0
bridge	LOC129529765	LOC129529773	4	4	4	1.0	1.0	0.981	4	0.9964664310954063
bridge	LOC129529765	LOC129529775	4	4	4	1.0	1.0	0.981	4	0.9982332155477032
bridge	LOC129529765	LOC101132076	4	3	3	0.75	1.0	0.757	3	0.9613636363636363
bridge	LOC129529765	LOC129529807	4	4	4	1.0	1.0	0.808	4	1.0
bridge	LOC129529765	LOC129529767	4	4	4	1.0	1.0	1.0	4	1.0
bridge	LOC129529765	LOC129529771	4	4	4	1.0	1.0	0.981	4	0.9964664310954063
bridge	LOC109028477	LOC129534528	4	1	0	0.0	0.0	0.344	0	0.9181585677749361
bridge	LOC109028477	LOC134758700	4	1	0	0.0	0.0	0.365	0	0.9164490861618799
bridge	LOC129530133	LOC129528141	9	6	6	0.667	1.0	0.793	6	0.9950835791543756
bridge	LOC129530133	LOC129524036	9	8	8	0.889	1.0	0.967	8	0.994392523364486
bridge	LOC129530133	LOC129526580	9	8	8	0.889	1.0	0.948	8	0.9969442322383499
bridge	LOC129530133	LOC129531748	9	3	3	0.333	1.0	0.786	3	0.9674572531715389
bridge	LOC129530133	LOC129534569	9	2	2	0.222	1.0	0.665	2	1.0
bridge	LOC129530133	LOC129524037	9	2	0	0.0	0.0	0.0	0	0.9954022988505747
bridge	LOC129530133	LOC129532895	9	9	9	1.0	1.0	0.901	9	0.992639842983317
bridge	LOC129530133	LOC129534553	9	9	9	1.0	1.0	1.0	9	0.9946524064171123
bridge	LOC129530133	LOC129533288	9	8	0	0.0	0.0	0.574	0	0.9585034013605442
bridge	LOC129530133	LOC129523934	9	8	7	0.778	0.875	0.821	7	0.9955882352941177
bridge	LOC129530133	LOC129525641	9	8	8	0.889	1.0	0.949	8	0.9969442322383499
bridge	LOC129530133	LOC129532627	9	6	6	0.667	1.0	0.846	6	0.994754411063424
bridge	LOC129527865	LOC129527901	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527868	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527899	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527910	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757556	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527896	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757557	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757561	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527871	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757560	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757555	2	1	1	0.5	1.0	0.976	1	1.0
bridge	LOC129527865	LOC129527909	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757562	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527866	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527897	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757613	2	2	0	0.0	0.0	0.818	0	0.9344827586206896
bridge	LOC129527865	LOC129527892	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757559	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527890	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527874	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC115931231	2	1	0	0.0	0.0	0.815	0	0.9377162629757786
bridge	LOC129527865	LOC129527898	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757558	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC134757563	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC129527865	LOC129527912	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC101146552	LOC134758535	3	2	2	0.667	1.0	1.0	2	0.9820936639118457
bridge	LOC101146552	LOC115932944	3	2	2	0.667	1.0	1.0	2	0.9793388429752066
bridge	LOC101146552	LOC115930113	3	3	3	1.0	1.0	1.0	3	0.9822580645161291
bridge	LOC101146552	LOC115933244	3	2	2	0.667	1.0	1.0	2	0.9943538268506901
bridge	LOC101146552	LOC115933180	3	2	2	0.667	1.0	1.0	2	0.9869146005509641
bridge	LOC101146552	LOC115932888	3	2	2	0.667	1.0	1.0	2	0.987603305785124
bridge	LOC101146552	PRAMEF20	3	3	2	0.667	0.667	0.918	2	0.9070385126162018
bridge	LOC101146552	LOC115933122	3	2	2	0.667	1.0	1.0	2	0.9820936639118457
bridge	LOC101146552	LOC129525038	3	3	3	1.0	1.0	0.999	3	0.9741796664873588
bridge	ZNF600	ZNF611	3	3	3	1.0	1.0	0.9	3	0.9468812877263582
bridge	LOC115935329	LOC134756576	2	2	0	0.0	0.0	0.308	0	0.9400921658986175
bridge	LOC115935329	LOC129529105	2	2	0	0.0	0.0	0.504	0	0.9326145552560647
bridge	LOC115935329	LOC129532081	2	2	0	0.0	0.0	0.329	0	0.948905109489051
bridge	LOC115935329	XK	2	2	0	0.0	0.0	0.555	0	0.9316502463054187
bridge	LOC115935329	LOC134757259	2	1	0	0.0	0.0	0.556	0	0.9318600368324125
bridge	LOC115935329	LOC134756439	2	1	0	0.0	0.0	0.553	0	0.9280885064535955
bridge	LOC115935329	LOC129526806	2	2	0	0.0	0.0	0.414	0	0.9204545454545454
bridge	LOC115935329	LOC134757111	2	2	0	0.0	0.0	0.329	0	0.9173553719008265
bridge	LOC115935329	LOC129525958	2	2	0	0.0	0.0	0.586	0	0.9057971014492754
bridge	LOC115935329	LOC134757115	2	1	0	0.0	0.0	0.552	0	0.9339098208770846
bridge	LOC115935329	LOC129531833	2	2	0	0.0	0.0	0.774	0	0.9279778393351801
bridge	ZCCHC14	LOC134757221	12	2	0	0.0	0.0	0.483	0	0.9650092081031307
bridge	CPLANE1	LOC115933270	52	31	25	0.481	0.806	0.861	25	0.9988538681948425
bridge	CPLANE1	LOC134757605	52	4	1	0.019	0.25	0.422	1	0.9969135802469136
bridge	CPLANE1	LOC115933170	52	10	7	0.135	0.7	0.721	7	0.9992025518341308
bridge	LOC115931107	LOC129523465	2	2	2	1.0	1.0	0.985	2	0.912850812407681
bridge	LOC129530391	LOC129530571	13	11	10	0.769	0.909	0.822	10	0.9887983706720977
bridge	LOC129530391	LOC129530492	13	13	11	0.846	0.846	0.844	11	0.990791896869245
bridge	LOC129530391	LOC129528453	13	12	12	0.923	1.0	0.893	12	0.9898580121703854
bridge	LOC129530391	LOC134757319	13	13	13	1.0	1.0	1.0	13	0.9937791601866252
bridge	LOC129530391	LOC129524661	13	12	12	0.923	1.0	0.893	12	0.9898580121703854
bridge	LOC129528750	LOC134756371	4	4	4	1.0	1.0	1.0	4	0.9894859813084113
bridge	LOC129528750	LOC129532626	4	4	4	1.0	1.0	1.0	4	0.9892141756548536
bridge	LOC129528750	LOC134757713	4	2	2	0.5	1.0	1.0	2	1.0
bridge	LOC129528750	LOC129525576	4	2	2	0.5	1.0	0.992	2	0.988976377952756
bridge	LOC129528750	LOC129531752	4	4	4	1.0	1.0	1.0	4	0.9906542056074766
bridge	LOC129528750	LOC129532807	4	4	4	1.0	1.0	1.0	4	0.991822429906542
bridge	LOC129528750	LOC129524832	4	2	2	0.5	1.0	0.624	2	0.9900199600798403
bridge	LOC129528750	LOC134756370	4	3	3	0.75	1.0	0.813	3	0.9892141756548536
bridge	LOC129528750	LOC129534555	4	3	3	0.75	1.0	0.63	3	0.987012987012987
bridge	LOC129528750	LOC129528382	4	3	3	0.75	1.0	0.758	3	0.9892141756548536
bridge	EIF3F	LOC129530568	7	1	0	0.0	0.0	0.959	0	0.9358178053830227
bridge	EIF3F	LOC134757413	7	1	0	0.0	0.0	0.961	0	0.936372269705603
bridge	EIF3F	LOC134757073	7	2	0	0.0	0.0	0.735	0	0.9361702127659575
bridge	EIF3F	LOC129530488	7	1	0	0.0	0.0	0.96	0	0.9392712550607287
bridge	EIF3F	LOC134757392	7	2	0	0.0	0.0	0.969	0	0.9340446168768186
bridge	EIF3F	LOC129524668	7	1	0	0.0	0.0	0.976	0	0.9336585365853659
bridge	EIF3F	LOC129530380	7	1	0	0.0	0.0	0.962	0	0.9323232323232323
bridge	EIF3F	LOC134757415	7	1	0	0.0	0.0	0.96	0	0.937625754527163
bridge	EIF3F	LOC134757414	7	1	0	0.0	0.0	0.969	0	0.9369544131910766
bridge	EIF3F	LOC129529383	7	1	0	0.0	0.0	0.959	0	0.9389623601220752
bridge	EIF3F	LOC129531742	7	1	0	0.0	0.0	0.955	0	0.9353128313891834
bridge	EIF3F	LOC115932761	7	1	0	0.0	0.0	0.959	0	0.9347826086956522
bridge	EIF3F	LOC134756925	7	1	0	0.0	0.0	0.97	0	0.9385416666666667
bridge	LOC101130894	LOC129523494	5	3	3	0.6	1.0	0.586	3	0.9723756906077348
bridge	LOC101130894	SPDYE3	5	5	0	0.0	0.0	0.0	0	0.903921568627451
bridge	LOC101130894	LOC109027627	5	5	5	1.0	1.0	1.0	5	0.9944991977996791
bridge	LOC101130894	LOC115933167	5	5	5	1.0	1.0	0.949	5	0.9764274489261393
bridge	LOC134759262	LOC134759135	2	1	1	0.5	1.0	0.815	1	0.9882882882882883
bridge	LOC134759262	LOC134759264	2	2	2	1.0	1.0	1.0	2	1.0
bridge	LOC134759262	LOC134759136	2	1	1	0.5	1.0	0.815	1	0.9882882882882883
bridge	LOC134759262	LOC134759266	2	2	2	1.0	1.0	0.815	2	0.9994706193753309
bridge	LOC134759262	LOC134758553	2	1	1	0.5	1.0	0.642	1	0.9851428571428571
bridge	LOC134759262	LOC134759134	2	1	1	0.5	1.0	0.815	1	0.9882882882882883
bridge	LOC134759262	LOC134758029	2	1	1	0.5	1.0	0.642	1	0.9862857142857143
bridge	LOC134759262	LOC134759309	2	2	2	1.0	1.0	1.0	2	0.9888641425389755
bridge	LOC134759262	LOC134758143	2	1	1	0.5	1.0	0.683	1	0.9828571428571429
bridge	CFH	LOC115935403	21	5	3	0.143	0.6	0.665	3	0.9748344370860927
bridge	LOC101126771	LOC115935262	7	7	7	1.0	1.0	0.999	7	0.9867688022284122
bridge	LOC101126771	LOC101136868	7	7	7	1.0	1.0	1.0	7	0.9908186687069626
bridge	LOC101126771	LOC101146750	7	6	6	0.857	1.0	0.934	6	0.9269102990033222
bridge	LOC101126771	LOC115933216	7	7	7	1.0	1.0	1.0	7	0.9909533750869868
bridge	LOC101126771	LOC101132319	7	7	7	1.0	1.0	0.991	7	0.9901685393258427
bridge	LOC101126771	LOC115935297	7	7	7	1.0	1.0	1.0	7	0.9895615866388309
bridge	LOC101126771	LOC115935290	7	7	7	1.0	1.0	1.0	7	0.9308659217877095
bridge	LOC101126771	LOC115935261	7	7	7	1.0	1.0	0.93	7	0.9185552407932012
bridge	LOC101126771	LOC115935416	7	7	7	1.0	1.0	1.0	7	0.9916142557651991
bridge	LOC101126771	LOC101129811	7	7	7	1.0	1.0	1.0	7	0.9909159727479182
bridge	LOC101126771	LOC129523901	7	1	1	0.143	1.0	0.461	1	0.9533169533169533
bridge	LOC134756380	LOC101124600	4	2	1	0.25	0.5	0.637	1	0.98559670781893
bridge	LOC134756380	LOC129528600	4	2	1	0.25	0.5	0.684	1	0.9814814814814815
bridge	LOC134756380	LOC101154318	4	2	1	0.25	0.5	0.637	1	0.9835390946502057
bridge	LOC134756380	LOC129528620	4	2	1	0.25	0.5	0.687	1	0.9826086956521739
bridge	LOC134756380	LOC101123748	4	1	1	0.25	1.0	0.832	1	0.9829424307036247
bridge	LOC134756380	LOC129528606	4	2	1	0.25	0.5	0.679	1	0.9633286318758815
bridge	LOC134756380	LOC129528616	4	2	2	0.5	1.0	0.743	2	0.9633286318758815
bridge	LOC134756380	LOC129528615	4	2	2	0.5	1.0	0.743	2	0.9633286318758815
bridge	LOC134756380	LOC129528610	4	2	1	0.25	0.5	0.763	1	0.9633286318758815
bridge	LOC134756380	LHB	4	2	1	0.25	0.5	0.871	1	0.9240246406570842
bridge	LOC134756380	LOC129528617	4	2	2	0.5	1.0	0.743	2	0.9633286318758815
bridge	LOC134756380	LOC129528621	4	2	1	0.25	0.5	0.698	1	0.9835390946502057
bridge	LOC134756380	LOC129528608	4	2	1	0.25	0.5	0.682	1	0.9814814814814815
bridge	LOC134756380	LOC129528613	4	2	1	0.25	0.5	0.684	1	0.9814814814814815
bridge	LOC134756380	LOC129528614	4	2	1	0.25	0.5	0.682	1	0.9814814814814815
bridge	LOC134756380	LOC129528619	4	2	2	0.5	1.0	0.743	2	0.9633286318758815
bridge	LOC134756380	LOC129528611	4	2	2	0.5	1.0	0.743	2	0.9633286318758815
bridge	LOC134756380	LOC129528601	4	2	1	0.25	0.5	0.682	1	0.9814814814814815
bridge	LOC134756380	LOC129528622	4	2	1	0.25	0.5	0.698	1	0.9835390946502057
bridge	LOC134756380	LOC129528604	4	2	1	0.25	0.5	0.684	1	0.9814814814814815
bridge	LOC134756380	LOC129528618	4	2	1	0.25	0.5	0.763	1	0.9633286318758815
bridge	LOC129528748	LOC134757745	17	3	3	0.176	1.0	0.834	2	0.9057450628366248
bridge	LOC129528748	LOC134758132	17	2	1	0.059	0.5	0.255	1	0.9817142857142858
bridge	LOC129528748	LOC134758553	17	1	1	0.059	1.0	0.326	1	0.9862857142857143
bridge	LOC129528748	LOC129531960	17	5	4	0.235	0.8	0.631	3	0.9814323607427056
bridge	LOC129528748	LOC134758391	17	6	5	0.294	0.833	0.505	2	0.918769716088328
bridge	LOC129528748	LOC129527431	17	2	0	0.0	0.0	0.0	0	0.9724896836313618
bridge	LOC129528748	LOC129532019	17	2	1	0.059	0.5	0.169	1	0.992
bridge	LOC129528748	LOC134756819	17	4	3	0.176	0.75	0.439	2	0.9238782051282052
bridge	LOC129528748	LOC134758143	17	1	1	0.059	1.0	0.542	1	0.9828571428571429
bridge	LOC129528748	LOC134758142	17	4	4	0.235	1.0	0.932	3	0.9077167859984089
bridge	LOC129528748	LOC134757360	17	4	3	0.176	0.75	0.436	2	0.9312009656004828
bridge	LOC129528748	LOC134758139	17	6	6	0.353	1.0	0.741	3	0.9135004042037187
bridge	LOC129528748	LOC129534180	17	2	1	0.059	0.5	0.203	1	0.983440662373505
bridge	LOC129528748	LOC134756822	17	6	5	0.294	0.833	0.724	2	0.9038461538461539
bridge	LOC129528748	LOC129527139	17	5	1	0.059	0.2	0.18	1	0.9831697054698457
bridge	LOC129528748	LOC134757746	17	2	2	0.118	1.0	0.667	2	0.9776223776223776
bridge	LOC129528748	LOC134759264	17	2	2	0.118	1.0	0.386	2	0.9926402943882244
bridge	LOC129528748	LOC134758144	17	3	2	0.118	0.667	0.176	2	0.9823788546255506
bridge	LOC129528748	LOC134758137	17	5	3	0.176	0.6	0.318	2	0.9232876712328767
bridge	LOC129528748	LOC134758141	17	4	3	0.176	0.75	0.483	2	0.9081818181818182
bridge	LOC129528748	LOC134759266	17	2	0	0.0	0.0	0.179	0	0.9917203311867525
bridge	LOC129528748	LOC134759136	17	1	1	0.059	1.0	0.204	1	0.983433734939759
bridge	LOC129528748	LOC129531754	17	5	1	0.059	0.2	0.193	1	0.9897025171624714
bridge	LOC129528748	LOC134757748	17	5	5	0.294	1.0	0.701	2	0.9147940074906367
bridge	LOC129528748	LOC129534279	17	5	5	0.294	1.0	0.692	2	0.9096185737976783
bridge	LOC129528748	LOC134757293	17	5	5	0.294	1.0	0.79	2	0.920863309352518
bridge	LOC129528748	LOC134759260	17	7	5	0.294	0.714	0.365	2	0.9255639097744361
bridge	LOC129528748	LOC134757164	17	8	6	0.353	0.75	0.49	3	0.9148397976391232
bridge	LOC129528748	LOC134756731	17	4	3	0.176	0.75	0.73	2	0.9033149171270718
bridge	LOC129528748	LOC134758029	17	1	1	0.059	1.0	0.396	1	0.9874285714285714
bridge	LOC129528748	LOC129534176	17	5	5	0.294	1.0	0.692	2	0.912106135986733
bridge	LOC129528748	LOC134759262	17	2	2	0.118	1.0	0.386	2	0.9926402943882244
bridge	LOC115936299	LOC109027802	24	1	1	0.042	1.0	0.737	1	0.9606656580937972
bridge	LOC115936299	LOC129523542	24	4	4	0.167	1.0	0.48	4	0.9630350194552529
bridge	LOC115936299	LOC115931714	24	9	8	0.333	0.889	0.465	8	0.9612742036227357
bridge	LOC115936299	LOC129527979	24	3	2	0.083	0.667	0.612	2	0.9580265095729014
bridge	LOC115936299	LOC129533402	24	10	10	0.417	1.0	0.783	8	0.9758620689655172
bridge	LOC115936299	LOC115930814	24	5	5	0.208	1.0	0.66	5	0.979372197309417
bridge	LOC115936299	LOC115934372	24	4	4	0.167	1.0	0.374	4	0.9821782178217822
bridge	LOC115936299	LOC129524011	24	7	2	0.083	0.286	0.357	2	0.966
bridge	LOC115936299	LOC134757950	24	2	2	0.083	1.0	0.819	2	0.9512195121951219
bridge	LOC115936299	LOC129523881	24	3	0	0.0	0.0	0.896	0	0.9063604240282686
bridge	LOC115936299	LOC101136188	24	14	14	0.583	1.0	0.984	12	0.9761410788381742
bridge	LOC115936299	LOC134758407	24	1	0	0.0	0.0	0.876	0	1.0
bridge	LOC115936299	LOC129529231	24	7	7	0.292	1.0	0.541	7	0.9813471502590674
bridge	LOC115936299	LOC101124648	24	19	13	0.542	0.684	0.353	11	0.9172025723472669
bridge	LOC115936299	LOC129534780	24	2	2	0.083	1.0	0.821	2	0.9378238341968912
bridge	LOC115936299	LOC129523684	24	8	2	0.083	0.25	0.435	2	0.9483240223463687
bridge	LOC129528441	LOC129530470	12	5	5	0.417	1.0	0.955	5	0.9575191163976211
bridge	LOC129528441	LOC129528460	12	11	11	0.917	1.0	0.963	11	0.9972144846796658
bridge	LOC129528441	LOC129528448	12	3	3	0.25	1.0	0.863	3	0.9961612284069098
bridge	LOC129528441	LOC129530394	12	2	2	0.167	1.0	1.0	2	1.0
bridge	LOC129528441	LOC129524600	12	10	10	0.833	1.0	0.986	10	0.9925330269959793
bridge	LOC129528441	LOC129528196	12	7	5	0.417	0.714	0.74	5	0.984399375975039
bridge	LOC129528441	LOC129528163	12	9	7	0.583	0.778	0.81	7	0.9865702479338843
bridge	LOC129528441	LOC134756432	12	3	3	0.25	1.0	0.631	3	0.9872448979591837
bridge	LOC129528441	LOC134757222	12	3	3	0.25	1.0	0.631	3	0.9872448979591837
bridge	LOC129528441	LOC129524662	12	3	3	0.25	1.0	0.863	3	0.9961612284069098
bridge	LOC129528441	LOC129524659	12	3	3	0.25	1.0	0.872	3	0.9951807228915662
bridge	LOC129528441	LOC129530491	12	7	5	0.417	0.714	0.733	5	0.9359375
bridge	LOC129528441	LOC129530393	12	2	2	0.167	1.0	1.0	2	0.9754601226993865
bridge	LOC129528441	LOC129530485	12	6	6	0.5	1.0	0.95	6	0.9918256130790191
bridge	LOC129528441	LOC129529380	12	12	12	1.0	1.0	0.989	12	0.9829984544049459
bridge	LOC129528441	LOC134756951	12	3	3	0.25	1.0	0.992	3	0.982421875
bridge	LOC129528441	LOC134757887	12	2	2	0.167	1.0	1.0	2	0.996415770609319
bridge	LOC129528441	LOC134756947	12	9	6	0.5	0.667	0.725	3	0.984488107549121
bridge	LOC129528441	LOC134757054	12	3	3	0.25	1.0	0.885	3	0.9911764705882353
