family_id	n_genes	n_contigs	cross_chrom	dom_biotype	compara_paralog	genes
GFAM10	29	8	1	protein_coding	0	LOC101152650,LOC101128844,ZNF273,LOC101136021,ZNF92,LOC101133796,RPS26,LOC101141346,LOC101130286,LOC101145780,LOC101146854,ZNF506,LOC101129892,LOC101129171,ZNF90,LOC101134578,ZNF486,LOC101136009,LOC101136504,ZNF626,LOC101137462,LOC101137843,ZNF430,LOC101141027,ZNF738,LOC115931570,LOC101144838,LOC101145945,ZNF723
GFAM11	28	4	1	protein_coding	0	LOC115935007,LOC101143516,LOC115935969,LOC115936053,LOC101142918,LOC101143280,LOC101141440,LOC101143887,CNTNAP3C,LOC101144253,LOC129523567,LOC129523482,LOC101143875,LOC115933307,LOC109024996,LOC115930095,LOC101145348,LOC101145975,LOC101148827,LOC101150259,LOC115935781,LOC129523464,LOC115935778,LOC115935779,LOC109025440,LOC115935771,NUTM2F,CTSV
GFAM12	27	6	1	protein_coding	0	LOC101150595,POTEA,LOC101139634,LOC115933751,LOC115933765,LOC101140864,LOC129527232,LOC134756975,LOC129527234,LOC134756976,LOC129527231,LOC115933423,LOC101142994,LOC129526087,LOC129526444,LOC129527204,LOC134756956,LOC129527203,LOC129526137,LOC115930170,LOC129527244,LOC129527049,LOC101135203,LOC134757302,LOC129527066,LOC115933317,FEM1A
GFAM13	25	1	0	protein_coding	0	LOC101140852,LOC129526367,LOC129526467,LOC129526373,LOC129526372,LOC129526463,LOC129526371,LOC134757062,LOC134757063,LOC129526462,LOC134757064,LOC129526459,LOC129526460,LOC129526461,LOC129526457,LOC129526458,LOC134757065,LOC129526370,LOC134757066,LOC134757067,LOC129526452,LOC129526455,LOC134757068,LOC134757069,LOC129526352
GFAM14	24	5	1	protein_coding	0	NOC2L,LOC101131416,LOC101148384,LOC134756636,LOC101147293,LOC115933728,LOC115933730,LOC101147656,LOC101146937,LOC115933763,LOC129532216,LOC109025943,TUBA3E,LOC109025979,LOC101134642,LOC115930154,PHF2,LOC129523500,LOC115932675,LOC129526434,LOC129527240,LOC109029477,LOC101136583,LOC101137311
GFAM15	23	2	1	protein_coding	0	LOC101145738,LOC101146458,LOC115936245,LOC115936243,LOC101124042,LOC101138016,TRIM51,UBTFL1,LOC115932712,LOC115932791,LOC115932790,LOC101149329,LOC101151746,LOC101151378,LOC129525445,LOC115936253,LOC129523488,LOC101153544,LOC115933568,LOC115933342,LOC115933540,LOC101134418,LOC101138028
GFAM16	22	1	0	protein_coding	0	LOC101151653,LOC129533461,LOC129533458,LOC101144080,LOC115933306,LOC129533792,LOC129533794,LOC101140367,LOC101125558,LOC129533810,LOC101139671,LOC129533812,LOC129533809,LOC129533808,LOC129533806,LOC115934662,LOC129533797,LOC129533805,LOC129533813,LOC101123729,CCL3,LOC109026840
GFAM17	22	1	0	protein_coding	0	LOC129528415,LOC129528410,LOC129528411,LOC129528417,LOC129528419,LOC129528414,LOC129528424,LOC129528422,LOC129528429,LOC129528421,LOC129528428,LOC129528420,LOC129528427,LOC129528423,LOC129528426,LOC129528418,LOC129528430,LOC129528416,LOC129528412,LOC134756367,LOC129528431,ELOA2
GFAM18	20	1	0	protein_coding	0	AGAP5,LOC115935978,LOC129525050,LOC101143038,LOC101136048,WASHC2A,AGAP6,LOC129525002,LOC101144261,ANTXRL,LOC101143406,LOC101143885,LOC129525008,LOC101136772,WASHC2C,LOC101141934,LOC101138261,LOC115935981,LOC101131388,FAM25A
GFAM19	20	2	1	protein_coding	0	LOC101131885,LOC101126098,LOC101125738,LOC101153414,LOC101154495,LOC101123911,LOC101151967,LOC101152321,LOC115934932,LOC101136257,LOC101136632,LOC109024886,LOC101143962,LOC101135184,LOC101133882,LOC101140761,LOC109023047,LOC101141136,LOC101141751,LOC101142132
GFAM20	20	2	1	protein_coding	0	LOC109023795,LOC101135886,ZNF808,ZNF701,LOC101151324,ZNF611,ZNF600,ZNF28,ZNF468,LOC101152401,ZNF888,LOC109024170,LOC101153131,LOC115931654,LOC109024216,LOC101133546,LOC101140029,ZNF761,ZNF813,LOC109024093
GFAM21	20	1	0	protein_coding	0	LOC129523509,LOC101151425,LRRC37A3,LOC129533524,LOC101135518,ARL17A,LOC115934628,LOC101135168,LOC115934626,LOC101151290,LOC115933002,PLEKHM1,ARHGAP27,LOC134758435,LOC101144084,RDM1,LOC101128092,LOC109026815,LOC101143223,LOC109026918
GFAM22	18	1	0	protein_coding	0	ARSH,LOC101136299,LOC129530063,LOC129530062,LOC129530061,LOC129530067,LOC101135574,LOC129530069,LOC101152064,LOC115932322,LOC101137030,LOC129529678,LOC115932784,LOC115932783,LOC101138507,LOC101140413,LOC101141178,LOC115932374
GFAM23	17	1	0	protein_coding	0	LOC101142673,IFNA8,IFNA2,LOC101141543,IFNA6,LOC101140412,LOC101139713,LOC101138981,LOC101139336,LOC115935829,LOC115935834,LOC134756937,LOC115935833,LOC115935827,LOC115935832,LOC115935831,IFNA21
GFAM24	15	5	1	protein_coding	0	LOC129523471,LOC129530537,LOC101147225,LOC101131725,LOC129530594,LOC134757033,LOC134757034,LOC134757411,LOC129530595,LOC129530592,LOC129530591,AMACR,C1QTNF3,TINCR,LOC115931637
GFAM25	14	6	1	protein_coding	0	LOC101142993,LOC109027258,LOC115935612,LOC109025589,LOC115935839,LOC129524434,LOC109028392,LOC115935789,LOC101143315,LOC115931078,LOC115931087,LOC115931082,LOC115931086,NPAP1L
GFAM26	14	1	0	protein_coding	0	LOC129530256,LOC129530259,LOC129530261,LOC129530264,LOC129530266,LOC129530267,LOC129530243,LOC129530239,LOC129530240,LOC129530238,LOC129530241,LOC129530242,LOC129530249,LOC129530252
GFAM27	14	1	0	protein_coding	0	PCDHB2,LOC101125318,LOC101126997,LOC101145202,PCDHB8,PCDHB16,PCDHB9,PCDHB11,PCDHB12,LOC115934657,PCDHB14,LOC101127374,LOC101146984,PCDHB15
GFAM28	14	2	1	protein_coding	0	ZC3H11B,ZC3H11C,LOC101154628,LOC129534179,LOC129534225,LOC115933154,LOC115933063,LOC129534073,LOC115936187,LOC129534074,LOC129534075,LOC101123746,LOC129534219,LOC101125574
GFAM29	13	3	1	protein_coding	0	LOC134758274,LOC101124938,LOC101125304,LOC101125671,LOC115931107,LOC129523465,LOC101126985,LOC101134211,LOC109023678,LOC101127721,LOC129527364,LOC101126623,LOC101153373
GFAM30	13	1	0	protein_coding	0	PKD1,LOC101138318,LOC101136480,LOC134757425,LOC115933209,LOC101129526,LOC129527620,LOC101131561,LOC115933066,LOC115933250,LOC129527624,LOC115931016,LOC115933354
GFAM31	12	1	0	protein_coding	0	LOC101132076,LOC129529765,LOC129529767,LOC129529768,LOC129529769,LOC129529770,LOC129529771,LOC101132445,LOC129529773,LOC129529774,LOC129529775,PAGE1
GFAM32	12	1	0	protein_coding	0	LOC101133154,LOC101154187,LOC109026769,LOC115934576,LOC101125311,LOC115932657,LGALS9C,LOC115934575,CCDC144A,LOC101127370,LOC101126875,LOC115934569
GFAM33	12	2	1	protein_coding	0	LOC101144465,LOC115930068,LOC101142134,LOC101141279,LOC101143108,LOC134758727,LOC101153360,LOC101142998,LOC101142644,LOC101143844,LOC101150350,RPL3
GFAM34	12	7	1	protein_coding	0	LOC129532770,LOC101127689,LOC101137804,LOC101140345,LOC109027238,LOC101141058,LOC115935862,LOC109023133,LOC101126607,LOC101148869,LOC101140615,LOC101130226
GFAM35	11	1	0	protein_coding	0	CT47C1,LOC115932251,LOC101125118,LOC115932294,LOC115932289,LOC115932301,LOC129529693,LOC129529694,LOC101124756,LOC129529695,LOC115932226
GFAM36	11	9	1	protein_coding	0	LOC101130686,RPSA,LOC115930187,LOC101154352,LOC101142220,LOC101123958,LOC101148649,LOC129528351,LOC101145104,LOC101138859,LOC109024647
GFAM37	10	1	0	protein_coding	0	CEACAM7,CEACAM5,CEACAM6,LOC101148900,LOC101151083,LOC129528544,LOC129528545,LOC101152037,LOC115931550,LOC101152645
GFAM38	10	5	1	protein_coding	0	FGFR3,LETM1,LOC134756831,LOC115933202,LOC129531501,LOC134757056,LOC129531205,LOC129530721,LOC134757964,LOC129530381
GFAM39	10	1	0	protein_coding	0	LOC101135404,LOC109026844,LOC101137823,LOC101132032,LOC101131333,LOC129533766,LOC129533767,LOC129533768,LOC115934664,LOC101131675
GFAM40	10	1	0	protein_coding	0	LOC101136522,LOC101139086,LOC109024495,LOC129529257,LOC101139701,LOC109024494,LOC115931850,LOC101137607,LOC109024496,LOC109024497
GFAM41	10	10	1	protein_coding	0	LOC101142804,LOC129534058,LOC101151121,LOC101126577,LOC101151037,LOC101146120,LOC109028360,RPS2,LOC115931577,LOC101137478
GFAM42	10	1	0	protein_coding	0	LOC129523908,LOC129523909,LOC129523910,LOC129523911,LOC129523912,LOC129523913,LOC129523914,LOC129523915,LOC129523916,MUC3A
GFAM43	9	1	0	protein_coding	0	LOC101140047,LOC109024635,LOC101151343,LOC115930166,LOC129523569,SSX4,LOC115930107,LOC101153153,LOC129529923
GFAM44	9	1	0	protein_coding	0	LOC101141135,LOC115931596,LOC101141507,LOC115931598,LOC115931597,LOC115931599,LOC115931624,LOC115931595,MBD3L3
