kind	both_spliced	gene_a	chrom_a	jA	psiA	gene_b	chrom_b	jB	psiB	uA	spA	uB	spB	dPSI	pval	q
A_private		IGSF3	NC_073224.2	120986263-120989888	1.0	LOC129526379	-	-	0.0	268	268	0	0	1.0	1.0	1.0
B_private		TEX14	NC_073228.2	33351309-33388381	1.0	LOC115933152	-	-	0.0	60	60	0	0	1.0	1.0	1.0
B_private		TEX14	NC_073228.2	33422267-33423348	1.0	LOC115933152	-	-	0.0	72	72	0	0	1.0	1.0	1.0
B_private		TEX14	NC_073228.2	33464551-33465743	1.0	LOC115933152	-	-	0.0	87	87	0	0	1.0	1.0	1.0
B_private		TEX14	NC_073228.2	33473194-33476282	1.0	LOC115933152	-	-	0.0	88	88	0	0	1.0	1.0	1.0
B_private		TEX14	NC_073228.2	33476345-33477226	1.0	LOC115933152	-	-	0.0	88	88	0	0	1.0	1.0	1.0
B_private		LOC101142904	NC_073246.2	2223093-2224079	1.0	FRG1	-	-	0.0	34	34	0	0	1.0	1.0	1.0
A_private		LOC129526395	NC_073238.2	24706039-24707824	1.0	LOC129527278	-	-	0.0	49	49	0	0	1.0	1.0	1.0
B_private		PRDM9	NC_073243.2	88367683-88368662	1.0	PRDM7	-	-	0.0	15	15	0	0	1.0	1.0	1.0
B_private		NME2	NC_073228.2	40903885-40905152	1.0	LOC101129624	-	-	0.0	146	146	0	0	1.0	1.0	1.0
B_private		NME2	NC_073228.2	40902174-40903783	1.0	LOC101129624	-	-	0.0	147	147	0	0	1.0	1.0	1.0
A_private		LOC115932781	NC_073242.2	28450034-28457880	1.0	LOC129528916	-	-	0.0	5	5	0	0	1.0	1.0	1.0
B_private		NPIPB11	NC_073242.2	31357139-31358901	1.0	LOC129528916	-	-	0.0	16	16	0	0	1.0	1.0	1.0
B_private		NPIPB11	NC_073242.2	31363776-31365640	1.0	LOC129528916	-	-	0.0	18	18	0	0	1.0	1.0	1.0
B_private		NPIPB11	NC_073242.2	31391580-31403570	1.0	LOC129528916	-	-	0.0	15	15	0	0	1.0	1.0	1.0
B_private		PRIM2	NC_073229.2	75109022-75110873	1.0	LOC115934923	-	-	0.0	83	83	0	0	1.0	1.0	1.0
B_private		PRIM2	NC_073229.2	75110977-75114605	1.0	LOC115934923	-	-	0.0	85	85	0	0	1.0	1.0	1.0
B_private		PRIM2	NC_073229.2	75114685-75116329	1.0	LOC115934923	-	-	0.0	88	88	0	0	1.0	1.0	1.0
B_private		PRIM2	NC_073229.2	75170094-75172128	1.0	LOC115934923	-	-	0.0	96	96	0	0	1.0	1.0	1.0
A_private		IGSF3	NC_073224.2	120986263-120989888	1.0	LOC129524664	-	-	0.0	268	268	0	0	1.0	1.0	1.0
B_private		LOC129524664	NC_073237.2	15502818-15508193	1.0	IGSF3	-	-	0.0	12	12	0	0	1.0	1.0	1.0
A_private		LOC101152972	NC_073240.2	21590978-21595936	1.0	LOC115931074	-	-	0.0	29	29	0	0	1.0	1.0	1.0
A_private		AURKA	NC_073245.2	68650248-68651873	1.0	LOC109028275	-	-	0.0	114	114	0	0	1.0	1.0	1.0
A_private		AURKA	NC_073245.2	68646891-68647986	1.0	LOC109028275	-	-	0.0	118	118	0	0	1.0	1.0	1.0
A_private		AURKA	NC_073245.2	68645296-68646699	1.0	LOC109028275	-	-	0.0	118	118	0	0	1.0	1.0	1.0
A_private		RPL39	NC_073247.2	131471982-131473556	1.0	RPL39L	-	-	0.0	15	15	0	0	1.0	1.0	1.0
A_private		LOC129526389	NC_073238.2	23409156-23410343	1.0	LRPAP1	-	-	0.0	81	81	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29111074-29112840	1.0	LOC115933039	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29106341-29110948	1.0	LOC115933039	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC101142904	NC_073246.2	2223093-2224079	1.0	LOC129526550	-	-	0.0	34	34	0	0	1.0	1.0	1.0
A_private		DLST	NC_073239.2	91754218-91754579	1.0	LOC101140310	-	-	0.0	173	173	0	0	1.0	1.0	1.0
A_private		DLST	NC_073239.2	91754656-91755543	1.0	LOC101140310	-	-	0.0	174	174	0	0	1.0	1.0	1.0
A_private		LOC129526389	NC_073238.2	23409156-23410343	1.0	LOC134756753	-	-	0.0	81	81	0	0	1.0	1.0	1.0
B_private		MAPKBP1	NC_073240.2	42490160-42517294	1.0	LOC129532032	-	-	0.0	19	19	0	0	1.0	1.0	1.0
B_private		MAPKBP1	NC_073240.2	42517386-42528370	1.0	LOC129532032	-	-	0.0	20	20	0	0	1.0	1.0	1.0
A_private		LOC115932992	NC_073242.2	16399371-16401490	1.0	LOC129528916	-	-	0.0	51	51	0	0	1.0	1.0	1.0
A_private		LOC115932992	NC_073242.2	16391445-16394699	1.0	LOC129528916	-	-	0.0	48	48	0	0	1.0	1.0	1.0
A_private		LOC101130854	NC_073242.2	15967441-15969204	1.0	LOC129528916	-	-	0.0	27	27	0	0	1.0	1.0	1.0
A_private		LOC101130854	NC_073242.2	16005451-16007571	1.0	LOC129528916	-	-	0.0	36	36	0	0	1.0	1.0	1.0
A_private		LOC101130854	NC_073242.2	16007733-16012155	1.0	LOC129528916	-	-	0.0	39	39	0	0	1.0	1.0	1.0
A_private		LOC101130854	NC_073242.2	16012248-16015499	1.0	LOC129528916	-	-	0.0	43	43	0	0	1.0	1.0	1.0
A_private		LOC101130854	NC_073242.2	16092500-16094462	1.0	LOC129528916	-	-	0.0	140	140	0	0	1.0	1.0	1.0
B_private		UPF3A	NC_073238.2	129118529-129118725	1.0	LOC101127370	-	-	0.0	38	38	0	0	1.0	1.0	1.0
B_private		RPL34	NC_073227.2	129019932-129020242	1.0	LOC129528949	-	-	0.0	84	84	0	0	1.0	1.0	1.0
A_private		ANKRD18A	NC_073237.2	24409078-24413742	1.0	LOC115933254	-	-	0.0	9	9	0	0	1.0	1.0	1.0
B_private		LOC115933254	NC_073236.2	32869297-32874031	1.0	ANKRD18A	-	-	0.0	25	25	0	0	1.0	1.0	1.0
B_private		LOC129525065	NC_073232.2	8832341-8834492	1.0	LOC101148271	-	-	0.0	7	7	0	0	1.0	1.0	1.0
B_private		LOC129525065	NC_073232.2	8668549-8668642	1.0	LOC101148271	-	-	0.0	8	8	0	0	1.0	1.0	1.0
B_private		LOC129530552	NC_086018.1	1762438-1763424	1.0	FRG1	-	-	0.0	7	7	0	0	1.0	1.0	1.0
B_private		LOC129526391	NC_073236.2	25270924-25273797	1.0	ABCD1	-	-	0.0	10	10	0	0	1.0	1.0	1.0
B_private		LOC129526391	NC_073236.2	25273906-25276575	1.0	ABCD1	-	-	0.0	11	11	0	0	1.0	1.0	1.0
B_private		LOC129526391	NC_073236.2	25276632-25287869	1.0	ABCD1	-	-	0.0	11	11	0	0	1.0	1.0	1.0
A_private		LOC129526471	NC_073236.2	22679812-22693037	1.0	LOC129531453	-	-	0.0	5	5	0	0	1.0	1.0	1.0
A_private		IGSF3	NC_073224.2	120986263-120989888	1.0	LOC129528193	-	-	0.0	268	268	0	0	1.0	1.0	1.0
B_private		LOC129528193	NC_073241.2	26305329-26310704	1.0	IGSF3	-	-	0.0	12	12	0	0	1.0	1.0	1.0
A_private		LOC129527053	NC_073240.2	23250845-23253412	1.0	RHPN2	-	-	0.0	26	26	0	0	1.0	1.0	1.0
B_private		RHPN2	NC_073244.2	44022115-44025472	1.0	LOC129527053	-	-	0.0	33	33	0	0	1.0	1.0	1.0
A_private		KCTD9	NC_073231.2	29657029-29659827	1.0	LOC101135809	-	-	0.0	233	233	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29549566-29555939	1.0	LOC101149126	-	-	0.0	77	77	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29527518-29528864	1.0	LOC101149126	-	-	0.0	84	84	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29525220-29525851	1.0	LOC101149126	-	-	0.0	84	84	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29513825-29517342	1.0	LOC101149126	-	-	0.0	86	86	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29511081-29512436	1.0	LOC101149126	-	-	0.0	80	80	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29470224-29471385	1.0	LOC101149126	-	-	0.0	10	10	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29468755-29470085	1.0	LOC101149126	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29464016-29468611	1.0	LOC101149126	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29460071-29463873	1.0	LOC101149126	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29459706-29459803	1.0	LOC101149126	-	-	0.0	12	12	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29458987-29459569	1.0	LOC101149126	-	-	0.0	11	11	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29456164-29458888	1.0	LOC101149126	-	-	0.0	13	13	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29455898-29455995	1.0	LOC101149126	-	-	0.0	14	14	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29453960-29455772	1.0	LOC101149126	-	-	0.0	14	14	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29453745-29453851	1.0	LOC101149126	-	-	0.0	14	14	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29449526-29453605	1.0	LOC101149126	-	-	0.0	17	17	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29448624-29449335	1.0	LOC101149126	-	-	0.0	17	17	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29448436-29448518	1.0	LOC101149126	-	-	0.0	18	18	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29444128-29448344	1.0	LOC101149126	-	-	0.0	18	18	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29436661-29439843	1.0	LOC101149126	-	-	0.0	21	21	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29434947-29436324	1.0	LOC101149126	-	-	0.0	25	25	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29434565-29434856	1.0	LOC101149126	-	-	0.0	27	27	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29434037-29434124	1.0	LOC101149126	-	-	0.0	34	34	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29433096-29433865	1.0	LOC101149126	-	-	0.0	38	38	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29432061-29432951	1.0	LOC101149126	-	-	0.0	41	41	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29427095-29431835	1.0	LOC101149126	-	-	0.0	52	52	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29426033-29426923	1.0	LOC101149126	-	-	0.0	58	58	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29402937-29404368	1.0	LOC101149126	-	-	0.0	84	84	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29393819-29399559	1.0	LOC101149126	-	-	0.0	125	125	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29390961-29393604	1.0	LOC101149126	-	-	0.0	137	137	0	0	1.0	1.0	1.0
A_private		HERC2	NC_073240.2	29383333-29388291	1.0	LOC101149126	-	-	0.0	156	156	0	0	1.0	1.0	1.0
A_private		LOC101142904	NC_073246.2	2229811-2232057	1.0	LOC129527278	-	-	0.0	30	30	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161128471-161130203	1.0	LOC134756703	-	-	0.0	112	112	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161085226-161093762	1.0	LOC134756703	-	-	0.0	114	114	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161083147-161085054	1.0	LOC134756703	-	-	0.0	115	115	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161072754-161083032	1.0	LOC134756703	-	-	0.0	119	119	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160997966-160999797	1.0	LOC134756703	-	-	0.0	11	11	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160994201-160996146	1.0	LOC134756703	-	-	0.0	16	16	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160991297-160994089	1.0	LOC134756703	-	-	0.0	19	19	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160974743-160976208	1.0	LOC134756703	-	-	0.0	87	87	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160969432-160971169	1.0	LOC134756703	-	-	0.0	155	155	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160960071-160965005	1.0	LOC134756703	-	-	0.0	261	261	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160959539-160959954	1.0	LOC134756703	-	-	0.0	273	273	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29111074-29112840	1.0	SORL1	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29106341-29110948	1.0	SORL1	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29075005-29076160	1.0	SORL1	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29072707-29074827	1.0	SORL1	-	-	0.0	9	9	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29068105-29072545	1.0	SORL1	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29052664-29064549	1.0	SORL1	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29037496-29041385	1.0	SORL1	-	-	0.0	6	6	0	0	1.0	1.0	1.0
A_private		LOC115932779	NC_073242.2	29030757-29034127	1.0	SORL1	-	-	0.0	7	7	0	0	1.0	1.0	1.0
A_private		LOC115933039	NC_073244.2	21155849-21156999	1.0	SORL1	-	-	0.0	11	11	0	0	1.0	1.0	1.0
A_private		LOC115933039	NC_073244.2	21153545-21155671	1.0	SORL1	-	-	0.0	11	11	0	0	1.0	1.0	1.0
B_private		SORL1	NC_073233.2	129415871-129425249	1.0	LOC115933039	-	-	0.0	146	146	0	0	1.0	1.0	1.0
B_private		LOC129527053	NC_073240.2	23250845-23253412	1.0	LOC115931074	-	-	0.0	26	26	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30186567-30226039	1.0	LOC101149650	-	-	0.0	83	83	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30126564-30163408	1.0	LOC101149650	-	-	0.0	88	88	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30113078-30126488	1.0	LOC101149650	-	-	0.0	97	97	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30089184-30112983	1.0	LOC101149650	-	-	0.0	98	98	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30076143-30089076	1.0	LOC101149650	-	-	0.0	99	99	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30073294-30076091	1.0	LOC101149650	-	-	0.0	97	97	0	0	1.0	1.0	1.0
B_private		SH3KBP1	NC_073247.2	30026209-30050175	1.0	LOC101149650	-	-	0.0	95	95	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161128471-161130203	1.0	LOC129526471	-	-	0.0	112	112	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161085226-161093762	1.0	LOC129526471	-	-	0.0	114	114	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161083147-161085054	1.0	LOC129526471	-	-	0.0	115	115	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161072754-161083032	1.0	LOC129526471	-	-	0.0	119	119	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160997966-160999797	1.0	LOC129526471	-	-	0.0	11	11	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160994201-160996146	1.0	LOC129526471	-	-	0.0	16	16	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160974743-160976208	1.0	LOC129526471	-	-	0.0	87	87	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160960071-160965005	1.0	LOC129526471	-	-	0.0	261	261	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160959539-160959954	1.0	LOC129526471	-	-	0.0	273	273	0	0	1.0	1.0	1.0
B_private		LOC129526471	NC_073236.2	22705007-22707670	1.0	KMT2C	-	-	0.0	12	12	0	0	1.0	1.0	1.0
B_private		LOC129531453	NC_073240.2	15976532-15987778	1.0	ABCD1	-	-	0.0	16	16	0	0	1.0	1.0	1.0
B_private		LOC129523503	NC_073236.2	30219192-30219855	1.0	LOC115932756	-	-	0.0	119	119	0	0	1.0	1.0	1.0
B_private		LOC129523503	NC_073236.2	30219192-30219855	1.0	LOC115932954	-	-	0.0	119	119	0	0	1.0	1.0	1.0
B_private		LOC129526389	NC_073238.2	23406429-23407079	1.0	LOC115932756	-	-	0.0	81	81	0	0	1.0	1.0	1.0
B_private		LOC129526389	NC_073238.2	23407238-23409073	1.0	LOC115932756	-	-	0.0	81	81	0	0	1.0	1.0	1.0
B_private		LOC129526389	NC_073238.2	23409156-23410343	1.0	LOC115932756	-	-	0.0	81	81	0	0	1.0	1.0	1.0
A_private		LOC129526389	NC_073238.2	23406429-23407079	1.0	LOC134756368	-	-	0.0	81	81	0	0	1.0	1.0	1.0
A_private		LOC129526389	NC_073238.2	23407238-23409073	1.0	LOC134756368	-	-	0.0	81	81	0	0	1.0	1.0	1.0
A_private		LOC129526389	NC_073238.2	23409156-23410343	1.0	LOC134756368	-	-	0.0	81	81	0	0	1.0	1.0	1.0
B_private		LOC129531862	NC_073236.2	31692639-31696705	1.0	LOC101137900	-	-	0.0	20	20	0	0	1.0	1.0	1.0
B_private		LOC129531862	NC_073236.2	31696869-31698280	1.0	LOC101137900	-	-	0.0	17	17	0	0	1.0	1.0	1.0
B_private		PGM5	NC_073237.2	64600541-64603460	1.0	LOC101149650	-	-	0.0	35	35	0	0	1.0	1.0	1.0
B_private		PGM5	NC_073237.2	64603586-64607517	1.0	LOC101149650	-	-	0.0	39	39	0	0	1.0	1.0	1.0
B_private		PGM5	NC_073237.2	64608457-64681343	1.0	LOC101149650	-	-	0.0	43	43	0	0	1.0	1.0	1.0
A_private		LOC101142904	NC_073246.2	2229811-2232057	1.0	LOC115933219	-	-	0.0	30	30	0	0	1.0	1.0	1.0
A_private		LOC101142904	NC_073246.2	2223093-2224079	1.0	LOC115933219	-	-	0.0	34	34	0	0	1.0	1.0	1.0
B_private		LOC129527278	NC_073236.2	21839686-21840467	1.0	LOC101144369	-	-	0.0	16	16	0	0	1.0	1.0	1.0
B_private		LOC129527278	NC_073236.2	21837843-21839628	1.0	LOC101144369	-	-	0.0	17	17	0	0	1.0	1.0	1.0
B_private		LOC101148918	NC_073224.2	6679042-6679280	1.0	LOC101148271	-	-	0.0	9	9	0	0	1.0	1.0	1.0
B_private		LOC101148918	NC_073224.2	6677704-6678951	1.0	LOC101148271	-	-	0.0	9	9	0	0	1.0	1.0	1.0
B_private		LOC129526389	NC_073238.2	23409156-23410343	1.0	LOC129523503	-	-	0.0	81	81	0	0	1.0	1.0	1.0
B_private		ZRSR2	NC_073247.2	26282357-26288705	1.0	SRP19	-	-	0.0	50	50	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117996719-117998809	1.0	LOC115934544	-	-	0.0	6	6	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117995943-117996627	1.0	LOC115934544	-	-	0.0	6	6	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117994633-117995815	1.0	LOC115934544	-	-	0.0	6	6	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117994415-117994492	1.0	LOC115934544	-	-	0.0	8	8	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117996719-117998809	1.0	LOC134757324	-	-	0.0	6	6	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117995943-117996627	1.0	LOC134757324	-	-	0.0	6	6	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117994633-117995815	1.0	LOC134757324	-	-	0.0	6	6	0	0	1.0	1.0	1.0
B_private		ZCCHC14	NC_073242.2	117994415-117994492	1.0	LOC134757324	-	-	0.0	8	8	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161128471-161130203	1.0	LOC129526385	-	-	0.0	112	112	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161085226-161093762	1.0	LOC129526385	-	-	0.0	114	114	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161083147-161085054	1.0	LOC129526385	-	-	0.0	115	115	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	161072754-161083032	1.0	LOC129526385	-	-	0.0	119	119	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160997966-160999797	1.0	LOC129526385	-	-	0.0	11	11	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160994201-160996146	1.0	LOC129526385	-	-	0.0	16	16	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160991297-160994089	1.0	LOC129526385	-	-	0.0	19	19	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160974743-160976208	1.0	LOC129526385	-	-	0.0	87	87	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160960071-160965005	1.0	LOC129526385	-	-	0.0	261	261	0	0	1.0	1.0	1.0
A_private		KMT2C	NC_073230.2	160959539-160959954	1.0	LOC129526385	-	-	0.0	273	273	0	0	1.0	1.0	1.0
B_private		LOC129526471	NC_073236.2	22705007-22707670	1.0	ABCD1	-	-	0.0	12	12	0	0	1.0	1.0	1.0
B_private		LOC129526471	NC_073236.2	22707727-22718979	1.0	ABCD1	-	-	0.0	11	11	0	0	1.0	1.0	1.0
B_private		LOC115933254	NC_073236.2	32861508-32866653	1.0	LOC101149535	-	-	0.0	10	10	0	0	1.0	1.0	1.0
B_private		TOR3A	NC_073224.2	77712605-77713345	1.0	LOC101148457	-	-	0.0	34	34	0	0	1.0	1.0	1.0
A_private		DAZ1	NC_073248.2	42851980-42852540	1.0	DAZL	-	-	0.0	141	141	0	0	1.0	1.0	1.0
A_private		DAZ1	NC_073248.2	42841330-42841604	1.0	DAZL	-	-	0.0	156	156	0	0	1.0	1.0	1.0
A_private		DAZ1	NC_073248.2	42840678-42841238	1.0	DAZL	-	-	0.0	160	160	0	0	1.0	1.0	1.0
A_private		DAZ1	NC_073248.2	42817961-42820269	1.0	DAZL	-	-	0.0	182	182	0	0	1.0	1.0	1.0
A_private		DAZ1	NC_073248.2	42812971-42815465	1.0	DAZL	-	-	0.0	185	185	0	0	1.0	1.0	1.0
A_private		DAZ1	NC_073248.2	42810592-42812899	1.0	DAZL	-	-	0.0	186	186	0	0	1.0	1.0	1.0
B_private		SMIM10L1	NC_073234.2	26570795-26589623	1.0	LOC101137462	-	-	0.0	26	26	0	0	1.0	1.0	1.0
A_private		LOC101125455	NC_073244.2	59809351-59809667	1.0	LOC101148457	-	-	0.0	5	5	0	0	1.0	1.0	1.0
A_private		LOC101125455	NC_073244.2	59809715-59809860	1.0	LOC101148457	-	-	0.0	5	5	0	0	1.0	1.0	1.0
A_private		LOC101125455	NC_073244.2	59810124-59810406	1.0	LOC101148457	-	-	0.0	5	5	0	0	1.0	1.0	1.0
