family	copy	chrom	start	end	gene	n_psv	n_sun	tier	hap_unique	group_size
5	copy1	NC_073240.2	21429854	21478499	LOC115932683	139	139	1	1	1
7	copy0	NC_073224.2	15783681	15902118	LOC129534585	0	0	3	0	7
7	copy1	NC_073224.2	29070812	29090914	LOC129531982	0	0	3	0	7
7	copy2	NC_073224.2	15670207	15690288	LOC129529226	0	0	3	0	7
7	copy3	NC_073224.2	19016247	19035461	LOC129523520	0	0	3	0	7
7	copy4	NC_073224.2	19333679	19352450	LOC134758753	0	0	3	0	7
7	copy5	NC_073224.2	19135994	19144219	LOC101130728	0	0	3	0	7
7	copy6	NC_073224.2	19235747	19243971	LOC134756437	0	0	3	0	7
8	copy0	NC_073237.2	83709393	83918168	DAPK1	610	610	1	1	1
8	copy1	NC_073237.2	84364241	84459516	LOC115935778	610	610	1	1	1
9	copy0	NC_073236.2	21263951	21342157	LOC129526957	342	20	1	1	1
9	copy1	NC_073240.2	14396114	14474143	LOC134757216	342	33	1	1	1
9	copy2	NC_073238.2	24580330	24654199	LOC129526398	342	50	1	1	1
9	copy3	NC_073238.2	22875925	22937381	LOC129526385	342	114	1	1	1
10	copy0	NC_073224.2	218434288	218484862	LOC115930576	376	376	1	1	1
10	copy1	NC_073224.2	218361255	218405896	LOC101131274	376	376	1	1	1
11	copy0	NC_073230.2	86199152	86247786	LOC101130894	13	0	3	0	2
11	copy1	NC_073230.2	86091135	86139540	LOC109027627	13	0	3	0	2
11	copy2	NC_073230.2	86181068	86209484	LOC129534750	13	0	3	0	2
11	copy3	NC_073230.2	86077849	86101240	LOC115935268	13	0	3	0	2
12	copy0	NC_073242.2	18197143	18276360	SMG1	1479	652	1	1	1
12	copy1	NC_073242.2	22021271	22088933	LOC101135276	1479	134	1	1	1
12	copy2	NC_073242.2	21673619	21722338	LOC115931069	1479	22	1	1	1
12	copy3	NC_073242.2	21122105	21170729	LOC129527586	1479	21	1	1	1
12	copy4	NC_073242.2	35989661	36035091	LOC101128221	1479	345	1	1	1
13	copy0	NC_073224.2	130011266	130080187	GSTM2	531	148	1	1	1
13	copy1	NC_073224.2	117217148	117278033	LOC134756922	531	128	1	1	1
13	copy2	NC_073224.2	115215234	115246016	LOC101126097	531	261	1	1	1
14	copy0	NC_073224.2	223478280	223553675	LOC115930164	0	0	3	0	4
14	copy1	NC_073224.2	223291568	223342022	LOC115930164	0	0	3	0	4
14	copy2	NC_073224.2	223585187	223625872	LOC115930164	0	0	3	0	4
14	copy3	NC_073224.2	223443826	223456053	LOC115930164	0	0	3	0	4
15	copy0	NC_073240.2	17174470	17192329	LOC115932756	93	69	1	1	1
15	copy1	NC_073238.2	25250945	25267153	LOC115932954	93	15	1	1	1
15	copy2	NC_073236.2	23070420	23086575	LOC134756368	93	9	1	1	1
16	copy0	NC_073232.2	68618124	68643969	LOC101143406	311	5	1	1	1
16	copy1	NC_073232.2	68371563	68397386	LOC101144261	311	7	1	1	1
16	copy2	NC_073232.2	69473322	69495348	LOC129525008	311	301	1	1	1
17	copy0	NC_073232.2	65534545	65601401	LOC101146782	229	186	1	1	1
17	copy1	NC_073232.2	65009281	65028936	LOC101141192	229	22	1	1	1
17	copy2	NC_073232.2	64911725	64931284	LOC134759160	229	21	1	1	1
18	copy0	NC_073240.2	103747497	103777102	LOC134757299	401	37	1	1	1
18	copy1	NC_073232.2	8573029	8602469	LOC129525064	401	22	1	1	1
18	copy2	NC_073242.2	121237165	121266517	LOC129527429	401	17	1	1	1
18	copy3	NC_073227.2	8155721	8175332	LOC129533287	401	15	1	1	1
18	copy4	NC_073227.2	211080863	211100446	LOC129532808	401	17	1	1	1
18	copy5	NC_073239.2	124648897	124668428	LOC129527285	401	13	1	1	1
18	copy6	NC_073237.2	118498911	118518230	NDUFA8	401	107	1	1	1
18	copy7	NC_073230.2	168783006	168798864	LOC129523822	401	29	1	1	1
18	copy8	NC_086017.1	9337960	9353628	LOC129532709	401	52	1	1	1
19	copy0	NC_073242.2	30717385	30779463	LOC115933250	240	57	1	1	1
19	copy1	NC_073242.2	15726061	15788074	LOC101136480	240	115	1	1	1
19	copy2	NC_073242.2	28614328	28647617	LOC129527620	240	68	1	1	1
21	copy0	NC_073232.2	99595955	99723245	LOC101141440	0	0	3	0	5
21	copy1	NC_073232.2	92105557	92224000	LOC129524932	0	0	3	0	5
21	copy2	NC_073232.2	99722497	99738506	LOC115936005	0	0	3	0	5
21	copy3	NC_073232.2	92223069	92238799	LOC101142918	0	0	3	0	5
21	copy4	NC_073232.2	99737382	99747746	LOC115936003	0	0	3	0	5
22	copy0	NC_073236.2	32866582	32988430	LOC115933254	0	0	3	0	6
22	copy1	NC_073237.2	29407910	29453726	LOC101142783	0	0	3	0	6
22	copy2	NC_073237.2	31481990	31514454	ANKRD18B	0	0	3	0	6
22	copy3	NC_073237.2	24387014	24415087	ANKRD18A	0	0	3	0	6
22	copy4	NC_073237.2	24384479	24389525	LOC129524732	0	0	3	0	6
22	copy5	NC_073236.2	32986425	32990818	.	0	0	3	0	6
23	copy0	NC_073239.2	35410657	35468594	LOC101124683	17	17	1	1	1
23	copy1	NC_073239.2	35555893	35581020	LOC115930071	17	17	1	1	1
24	copy0	NC_073224.2	124983304	125008555	LOC101129940	386	74	1	1	1
24	copy1	NC_073224.2	130157457	130182043	GSTM2	386	64	1	1	1
24	copy2	NC_073224.2	117115202	117139432	SEC22B	386	254	1	1	1
25	copy0	NC_073237.2	84000972	84078878	LOC134756941	97	97	1	1	1
25	copy1	NC_073237.2	84204480	84278114	LOC101150998	97	97	1	1	1
26	copy0	NC_073229.2	49609902	49624707	C4B	31	31	1	1	1
26	copy1	NC_073229.2	49583451	49598228	C4A	31	31	1	1	1
27	copy0	NC_073239.2	44147073	44192602	LOC129526550	137	40	1	1	1
27	copy1	NC_073236.2	26203134	26248578	LOC129531431	137	38	1	1	1
27	copy2	NC_073238.2	24693721	24718486	LOC129526395	137	7	1	1	1
27	copy3	NC_073240.2	14911190	14933437	.	137	6	1	1	1
27	copy4	NC_073236.2	21829724	21835462	LOC129527278	137	9	1	1	1
28	copy0	NC_073242.2	99181437	99199012	LOC115930161	165	44	1	1	1
28	copy1	NC_073242.2	99604879	99622219	LOC101154433	165	75	1	1	1
28	copy2	NC_073242.2	104912717	104926217	LOC101127609	165	3	1	1	1
28	copy3	NC_073242.2	104350782	104364080	LOC129527724	165	3	1	1	1
29	copy0	NC_073247.2	11949199	12001450	CD99	46	46	1	1	1
29	copy1	NC_073248.2	9270633	9322656	CD99	46	46	1	1	1
30	copy0	NC_073247.2	166164992	166189655	IKBKG	1	1	1	1	1
30	copy1	NC_073247.2	166250782	166258482	LOC115932121	1	1	1	1	1
31	copy0	NC_073229.2	17702988	17720448	LOC109025132	106	22	1	1	1
31	copy1	NC_073234.2	15631092	15648171	LOC129525643	106	30	1	1	1
31	copy2	NC_086017.1	9790455	9798554	LOC129523505	106	54	1	1	1
32	copy0	NC_073228.2	45710809	45835280	LOC115934629	46	0	3	0	2
32	copy1	NC_073228.2	45686842	45728564	ARL17A	46	0	3	0	2
32	copy2	NC_073228.2	45925593	45959234	LOC115934626	46	19	1	1	1
32	copy3	NC_073228.2	46729356	46757824	LOC115933002	46	16	1	1	1
33	copy0	NC_073232.2	36391573	36400064	PPIF	45	45	1	1	1
33	copy1	NC_073232.2	91788490	91796438	LOC115932634	45	45	1	1	1
34	copy0	NC_073240.2	21107958	21229369	LOC115930538	0	0	3	0	8
34	copy1	NC_073240.2	20415301	20507702	LOC129527253	0	0	3	0	8
34	copy2	NC_073238.2	33425477	33511623	LOC129526138	0	0	3	0	8
34	copy3	NC_073238.2	32266743	32352771	LOC129527231	0	0	3	0	8
34	copy4	NC_073240.2	24224495	24300314	LOC129527063	0	0	3	0	8
34	copy5	NC_073240.2	22123280	22183941	.	0	0	3	0	8
34	copy6	NC_073238.2	29962908	29994153	LOC101140864	0	0	3	0	8
34	copy7	NC_073240.2	20543122	20547757	.	0	0	3	0	8
35	copy0	NC_073240.2	21863898	22022227	LOC101143448	202	202	1	1	1
35	copy1	NC_073240.2	22861517	22903821	.	202	202	1	1	1
36	copy0	NC_073242.2	27042267	27176990	LOC129523519	54	54	1	1	1
36	copy1	NC_073242.2	26867490	26887408	KDM8	54	54	1	1	1
37	copy0	NC_073242.2	32495201	32531745	BFAR	51	51	1	1	1
37	copy1	NC_073242.2	32258496	32294904	LOC101150079	51	51	1	1	1
38	copy0	NC_073248.2	19694606	19708553	LOC129530205	662	8	1	1	1
38	copy1	NC_073248.2	19625716	19639637	LOC129530205	662	1	1	1	1
38	copy2	NC_073248.2	19648671	19662590	LOC129530205	662	7	1	1	1
38	copy3	NC_073248.2	25725363	25739264	LOC129530249	662	60	1	1	1
38	copy4	NC_073248.2	19602755	19616647	LOC129530205	662	109	1	1	1
38	copy5	NC_073248.2	19671639	19685492	LOC129530238	662	3	1	1	1
38	copy6	NC_073248.2	25704431	25716342	LOC129530271	662	107	1	1	1
38	copy7	NC_073248.2	16416010	16427389	LOC129530266	662	149	1	1	1
39	copy0	NC_073231.2	151170137	151185973	LOC134756389	357	43	1	1	1
39	copy1	NC_073235.2	15131698	15147531	RABL2A	357	25	1	1	1
39	copy2	NC_073247.2	167707344	167723173	LOC101142457	357	29	1	1	1
39	copy3	NC_073227.2	212285016	212300800	LOC129523511	357	55	1	1	1
39	copy4	NC_086018.1	48817508	48832011	RABL2B	357	153	1	1	1
40	copy0	NC_073228.2	62386769	62466075	LOC101143223	123	123	1	1	1
40	copy1	NC_073228.2	60912497	60946734	LOC101128092	123	123	1	1	1
41	copy0	NC_073244.2	11377973	11414022	SAFB2	143	32	1	1	1
41	copy1	NC_073238.2	8052083	8073788	LOC129531501	143	35	1	1	1
41	copy2	NC_073240.2	4575875	4597574	LOC129531205	143	21	1	1	1
41	copy3	NC_073241.2	195924	202955	LOC129530593	143	40	1	1	1
42	copy0	NC_073247.2	59715729	59724620	LOC129529768	49	1	1	1	1
42	copy1	NC_073247.2	59706220	59715078	LOC129529767	49	3	1	1	1
42	copy2	NC_073247.2	59696701	59705136	LOC129529765	49	4	1	1	1
42	copy3	NC_073247.2	59725264	59733595	LOC129529769	49	3	1	1	1
42	copy4	NC_073247.2	59772963	59781277	LOC129529774	49	0	2	1	1
42	copy5	NC_073247.2	59753367	59761248	LOC101132445	49	3	1	1	1
42	copy6	NC_073247.2	59782481	59789847	LOC129529775	49	3	1	1	1
42	copy7	NC_073247.2	59744368	59751694	LOC129529771	49	3	1	1	1
43	copy0	NC_073247.2	161414193	161453486	TMEM185A	4	4	1	1	1
43	copy1	NC_073247.2	161266095	161270014	LOC129530020	4	4	1	1	1
44	copy0	NC_086017.1	211655827	211723367	LOC129532625	221	12	1	1	1
44	copy1	NC_073241.2	110003031	110070564	LOC134756415	221	15	1	1	1
44	copy2	NC_073232.2	146269317	146336693	LOC129525175	221	45	1	1	1
44	copy3	NC_073244.2	70818649	70886016	LOC129528751	221	71	1	1	1
44	copy4	NC_073236.2	140400059	140454207	LOC129531751	221	26	1	1	1
44	copy5	NC_073229.2	195378107	195392338	LOC129534552	221	27	1	1	1
46	copy0	NC_073247.2	114140052	114204763	LOC101145461	26	26	1	1	1
46	copy1	NC_073247.2	114041704	114106258	LOC129523474	26	26	1	1	1
47	copy0	NC_073237.2	17678391	17729192	LOC101139703	300	300	1	1	1
47	copy1	NC_073238.2	22049850	22097817	LOC129526951	300	300	1	1	1
48	copy0	NC_073237.2	83935038	83940813	LOC101145975	43	43	1	1	1
48	copy1	NC_073237.2	84341455	84346915	LOC129523464	43	43	1	1	1
49	copy0	NC_073238.2	24372581	24402512	LOC129526403	112	112	1	1	1
49	copy1	NC_073238.2	23273370	23295646	LOC134756951	112	112	1	1	1
50	copy0	NC_073238.2	33938268	33978026	MPHOSPH8	53	53	1	1	1
50	copy1	NC_073240.2	20704445	20725690	LOC115933429	53	53	1	1	1
52	copy0	NC_073242.2	35785092	35832728	LOC115932749	174	100	1	1	1
52	copy1	NC_073242.2	28528734	28548021	LOC101136971	174	43	1	1	1
52	copy2	NC_073242.2	15387792	15406952	ZC3H7A	174	35	1	1	1
53	copy0	NC_073247.2	161158546	161173481	EOLA1	3	3	1	1	1
53	copy1	NC_073247.2	161607555	161615285	EOLA2	3	3	1	1	1
54	copy0	NC_073227.2	211898132	211927312	LOC134758386	140	140	1	1	1
54	copy1	NC_073240.2	103158559	103187687	LOC129526855	140	140	1	1	1
55	copy0	NC_073228.2	182513642	182572979	LOC115933189	126	126	1	1	1
55	copy1	NC_073228.2	182587557	182622585	LOC115933006	126	126	1	1	1
57	copy0	NC_073232.2	65721054	65787229	LOC101143038	653	653	1	1	1
57	copy1	NC_073232.2	69612505	69654543	WASHC2C	653	653	1	1	1
58	copy0	NC_073247.2	11459653	11756424	DHRSX	57	57	1	1	1
58	copy1	NC_073248.2	9064540	9079391	DHRSX	57	57	1	1	1
59	copy0	NC_073242.2	15582646	15595416	LOC134757427	73	14	1	1	1
59	copy1	NC_073242.2	31473281	31485967	LOC129527626	73	15	1	1	1
59	copy2	NC_073242.2	30609225	30621899	LOC134757432	73	44	1	1	1
62	copy0	NC_073240.2	31271054	31315009	LOC115930830	0	0	3	0	4
62	copy1	NC_073240.2	23459848	23492764	LOC109023386	0	0	3	0	4
62	copy2	NC_073240.2	24764672	24786557	LOC134757229	0	0	3	0	4
62	copy3	NC_073240.2	23447377	23461673	LOC109023386	0	0	3	0	4
63	copy0	NC_073247.2	164442447	164446101	LOC129529986	0	0	3	0	2
63	copy1	NC_073247.2	164381222	164384848	LOC129529976	0	0	3	0	2
64	copy0	NC_073224.2	124490999	124554083	LOC101128637	572	572	1	1	1
64	copy1	NC_073224.2	116008764	116055232	GPR89A	572	572	1	1	1
65	copy0	NC_073230.2	158024672	158089886	ZNF425	66	11	1	1	1
65	copy1	NC_086018.1	27470342	27519978	LOC134758217	66	19	1	1	1
65	copy2	NC_073241.2	83874271	83882657	LOC129528278	66	8	1	1	1
65	copy3	NC_073229.2	67950085	67956974	LOC109027212	66	16	1	1	1
66	copy0	NC_073238.2	59675778	59777857	LOC101124545	459	459	1	1	1
66	copy1	NC_073238.2	60756272	60840221	LOC129526151	459	459	1	1	1
67	copy0	NC_073240.2	23725358	23774780	LOC101149946	420	420	1	1	1
67	copy1	NC_073240.2	29803770	29834635	LOC134757265	420	420	1	1	1
68	copy0	NC_073242.2	66060512	66062974	LOC129523521	1	1	1	1	1
68	copy1	NC_073242.2	66832275	66834422	LOC129527828	1	1	1	1	1
69	copy0	NC_073247.2	131773856	131781439	LOC115932259	0	0	3	0	2
69	copy1	NC_073247.2	131863961	131871060	LOC101149428	0	0	3	0	2
71	copy0	NC_073228.2	46778766	46833605	PLEKHM1	59	59	1	1	1
71	copy1	NC_073228.2	45974488	46016637	LOC101151290	59	59	1	1	1
72	copy0	NC_073238.2	29552503	29566851	LOC129526479	315	17	1	1	1
72	copy1	NC_073237.2	22957046	22968678	LOC129524676	315	115	1	1	1
72	copy2	NC_073236.2	30994185	31005814	LOC134756761	315	97	1	1	1
72	copy3	NC_073238.2	31858801	31870401	LOC115933090	315	20	1	1	1
73	copy0	NC_073228.2	182778476	182788817	LOC101131460	59	59	1	1	1
73	copy1	NC_073228.2	179795915	179805701	THOC3	59	59	1	1	1
74	copy0	NC_073228.2	181521331	181545341	.	51	8	1	1	1
74	copy1	NC_073228.2	182670660	182694597	.	51	10	1	1	1
74	copy2	NC_073228.2	179980536	180003907	LOC134758618	51	33	1	1	1
75	copy0	NC_073243.2	82538653	82569309	CPLANE1	0	0	3	0	3
75	copy1	NC_073243.2	82739824	82765535	LOC115933270	0	0	3	0	3
75	copy2	NC_073243.2	82594889	82620180	CPLANE1	0	0	3	0	3
77	copy0	NC_073230.2	64705322	64726877	LOC129523694	125	125	1	1	1
77	copy1	NC_073230.2	63938075	63954422	LOC109027782	125	125	1	1	1
78	copy0	NC_073232.2	8894398	8899125	LOC129525065	38	38	1	1	1
78	copy1	NC_073242.2	120770730	120775422	LOC115931432	38	38	1	1	1
79	copy0	NC_073242.2	3673676	3679850	SNRNP25	17	17	1	1	1
79	copy1	NC_073235.2	144823500	144827312	LOC101143820	17	17	1	1	1
80	copy0	NC_073236.2	22701854	22771560	LOC129526471	2002	620	1	1	1
80	copy1	NC_073240.2	15970659	16028853	LOC129531453	2002	840	1	1	1
80	copy2	NC_073236.2	25270756	25322454	LOC129526391	2002	746	1	1	1
81	copy0	NC_073236.2	32676987	32683217	LOC115935842	167	58	1	1	1
81	copy1	NC_073237.2	31692944	31699120	LOC129524687	167	49	1	1	1
81	copy2	NC_073237.2	24562360	24568445	ALDH1B1	167	62	1	1	1
82	copy0	NC_073238.2	54836019	54942913	FOXO1	432	432	1	1	1
82	copy1	NC_073236.2	32935295	32988354	LOC115933254	432	432	1	1	1
83	copy0	NC_073240.2	22623333	22670541	LOC101137311	51	19	1	1	1
83	copy1	NC_073238.2	32460857	32490304	LOC129526088	51	17	1	1	1
83	copy2	NC_073238.2	33291944	33321309	LOC129527203	51	15	1	1	1
85	copy0	NC_073242.2	28555731	28647616	LOC101135984	439	439	1	1	1
85	copy1	NC_073242.2	15316071	15380496	TXNDC11	439	439	1	1	1
87	copy0	NC_073242.2	15911262	16101058	LOC101130854	1048	328	1	1	1
87	copy1	NC_073242.2	29051840	29157089	LOC115932779	1048	548	1	1	1
87	copy2	NC_073242.2	16378095	16435866	LOC115932992	1048	182	1	1	1
89	copy0	NC_086018.1	1957958	1963131	LOC129530550	100	21	1	1	1
89	copy1	NC_086018.1	6578545	6583522	.	100	59	1	1	1
89	copy2	NC_073246.2	2410732	2415397	.	100	20	1	1	1
90	copy0	NC_086018.1	6525382	6529265	.	54	19	1	1	1
90	copy1	NC_086018.1	2012052	2015916	LOC101143142	54	15	1	1	1
90	copy2	NC_073246.2	2464898	2468732	LOC129530478	54	20	1	1	1
91	copy0	NC_073247.2	10802440	10807750	LOC129530050	18	18	1	1	1
91	copy1	NC_073248.2	8111002	8116268	LOC129530050	18	18	1	1	1
92	copy0	NC_073247.2	62249485	62256990	LOC101146541	2	2	1	1	1
92	copy1	NC_073247.2	62361049	62368512	LOC101144987	2	2	1	1	1
93	copy0	NC_073247.2	62664032	62669073	LOC115932194	0	0	3	0	2
93	copy1	NC_073247.2	62680288	62685316	LOC101148088	0	0	3	0	2
94	copy0	NC_073247.2	161458538	161464324	MAGEA9	2	2	1	1	1
94	copy1	NC_073247.2	161251228	161256499	LOC129530018	2	2	1	1	1
95	copy0	NC_073247.2	164397061	164401095	LOC129529978	0	0	3	0	2
95	copy1	NC_073247.2	164426194	164430228	LOC129529983	0	0	3	0	2
96	copy0	NC_073248.2	34736504	34739289	LOC129530275	1	0	3	0	3
96	copy1	NC_073248.2	34839953	34842734	LOC129530280	1	1	1	1	1
96	copy2	NC_073248.2	34819290	34822050	LOC129530279	1	0	3	0	3
96	copy3	NC_073248.2	34798633	34801361	LOC129530278	1	0	3	0	3
97	copy0	NC_073224.2	5565564	5584557	LOC101144634	3	3	1	1	1
97	copy1	NC_073224.2	5715398	5721172	LOC115930073	3	3	1	1	1
98	copy0	NC_073246.2	2221697	2244379	LOC101142904	52	52	1	1	1
98	copy1	NC_086018.1	1761044	1783719	LOC129530552	52	52	1	1	1
100	copy0	NC_073228.2	182638384	182662903	LOC101137455	33	33	1	1	1
100	copy1	NC_073228.2	182473921	182496031	LOC129533419	33	33	1	1	1
101	copy0	NC_073229.2	44451307	44461566	.	2	2	1	1	1
101	copy1	NC_073229.2	44402483	44412486	LOC129534200	2	2	1	1	1
102	copy0	NC_073229.2	49412576	49424704	HSPA1L	32	32	1	1	1
102	copy1	NC_073229.2	49424706	49433125	LOC101131586	32	32	1	1	1
105	copy0	NC_073234.2	24978856	24995089	LOC109029264	92	92	1	1	1
105	copy1	NC_073234.2	24956987	24963123	LOC115930232	92	92	1	1	1
106	copy0	NC_073235.2	31723374	31730230	LOC115933728	135	135	1	1	1
106	copy1	NC_073235.2	32697745	32704507	TUBA3E	135	135	1	1	1
107	copy0	NC_073236.2	31570340	31633246	LOC129531864	33	33	1	1	1
107	copy1	NC_073236.2	31364804	31388732	LOC129531867	33	33	1	1	1
109	copy0	NC_073237.2	23553592	23573999	LOC129523567	197	197	1	1	1
109	copy1	NC_073237.2	30220076	30240425	LOC101145348	197	197	1	1	1
110	copy0	NC_073245.2	35910980	35984802	LOC134757821	207	207	1	1	1
110	copy1	NC_073245.2	36382129	36430505	LOC115933008	207	207	1	1	1
111	copy0	NC_073238.2	31467876	31476702	LOC129526434	43	43	1	1	1
111	copy1	NC_073240.2	22595737	22604454	LOC101136583	43	43	1	1	1
114	copy0	NC_073240.2	23219711	23277799	LOC129527053	114	114	1	1	1
114	copy1	NC_073240.2	21546861	21601794	LOC101152972	114	114	1	1	1
115	copy0	NC_073240.2	33427321	33443666	LOC129527023	33	11	1	1	1
115	copy1	NC_073240.2	33337179	33348985	LOC134757267	33	11	1	1	1
115	copy2	NC_073240.2	33035459	33046560	LOC129527017	33	11	1	1	1
116	copy0	NC_073246.2	15789320	15819201	LOC115931857	439	439	1	1	1
116	copy1	NC_073241.2	36126183	36154489	ZNF519	439	439	1	1	1
117	copy0	NC_073242.2	27178722	27222847	LOC101123970	122	122	1	1	1
117	copy1	NC_073242.2	26889052	26932791	LOC129527614	122	122	1	1	1
118	copy0	NC_073242.2	35270505	35364400	LOC129527341	22	22	1	1	1
118	copy1	NC_073242.2	35624699	35690967	LOC115933144	22	22	1	1	1
119	copy0	NC_073242.2	67959407	68000598	LOC115931729	32	32	1	1	1
119	copy1	NC_073242.2	66613619	66651969	LOC129527827	32	32	1	1	1
120	copy0	NC_073244.2	68292932	68300387	LOC115931590	10	10	1	1	1
120	copy1	NC_073244.2	68333010	68340095	LOC101153611	10	10	1	1	1
121	copy0	NC_073247.2	10819598	10877612	ASMTL	178	178	1	1	1
121	copy1	NC_073248.2	8163494	8181868	ASMTL	178	178	1	1	1
122	copy0	NC_073247.2	84678651	84679545	LOC129530010	0	0	3	0	2
122	copy1	NC_073247.2	84517974	84518773	DMRTC1B	0	0	3	0	2
123	copy0	NC_073227.2	139561331	139608435	LOC129533124	289	289	1	1	1
123	copy1	NC_073227.2	148254337	148292806	LARP1B	289	289	1	1	1
124	copy0	NC_073224.2	101602135	101607689	LOC101127437	25	25	1	1	1
124	copy1	NC_073224.2	101585057	101587069	GBA1	25	25	1	1	1
125	copy0	NC_073224.2	130690990	130774376	SORT1	694	694	1	1	1
125	copy1	NC_073224.2	116693847	116752792	LOC129532935	694	694	1	1	1
128	copy0	NC_073224.2	130157338	130166646	GSTM2	21	21	1	1	1
128	copy1	NC_073224.2	124986534	124991833	LOC101129940	21	21	1	1	1
129	copy0	NC_073224.2	130305133	130333659	GSTM2	246	246	1	1	1
129	copy1	NC_073224.2	117447152	117475649	LOC109023809	246	246	1	1	1
132	copy0	NC_073224.2	218433979	218484750	LOC115930576	389	389	1	1	1
132	copy1	NC_073224.2	218361248	218406123	LOC101131274	389	389	1	1	1
135	copy0	NC_086017.1	209206933	209212655	LOC101138917	62	62	1	1	1
135	copy1	NC_086017.1	207204667	207210180	LOC115932771	62	62	1	1	1
136	copy0	NC_086017.1	207500181	207533707	TNK2	724	724	1	1	1
136	copy1	NC_086017.1	209194304	209212633	LOC101138917	724	724	1	1	1
137	copy0	NC_086017.1	207546660	207569024	LOC101147313	447	447	1	1	1
137	copy1	NC_086017.1	207228664	207247480	LOC101136819	447	447	1	1	1
138	copy0	NC_073243.2	110546118	110602842	LOC134757564	1009	1009	1	1	1
138	copy1	NC_073243.2	112047446	112070614	PDCD6	1009	1009	1	1	1
139	copy0	NC_073236.2	140396809	140400008	LOC129531752	16	16	1	1	1
139	copy1	NC_073227.2	211100517	211103608	LOC129532807	16	16	1	1	1
143	copy0	NC_073228.2	70719297	70725013	LOC134758545	41	41	1	1	1
143	copy1	NC_073228.2	66328056	66332632	LOC101142859	41	41	1	1	1
145	copy0	NC_073229.2	136550623	136557225	LOC115935025	3	3	1	1	1
145	copy1	NC_073229.2	136502891	136507428	LOC101148313	3	3	1	1	1
146	copy0	NC_073230.2	14245227	14272545	LOC101143855	118	118	1	1	1
146	copy1	NC_073230.2	13331389	13358703	LOC115935294	118	118	1	1	1
147	copy0	NC_073230.2	14200490	14245468	LOC129523491	215	215	1	1	1
147	copy1	NC_073230.2	13358875	13403622	LOC101143487	215	215	1	1	1
150	copy0	NC_073230.2	51605178	51614231	LOC129523854	137	137	1	1	1
150	copy1	NC_073230.2	47037184	47045620	YAE1	137	137	1	1	1
151	copy0	NC_073230.2	72907176	72917863	LOC129523647	1	1	1	1	1
151	copy1	NC_073230.2	72857214	72867876	LOC129523646	1	1	1	1	1
152	copy0	NC_073232.2	65938498	66059110	PARG	1374	1374	1	1	1
152	copy1	NC_073232.2	69359898	69467329	LOC115933075	1374	1374	1	1	1
153	copy0	NC_073232.2	99535470	99576094	SHLD2	342	342	1	1	1
153	copy1	NC_073232.2	68914292	68939510	LOC115935989	342	342	1	1	1
154	copy0	NC_073232.2	99667554	99723309	LOC115936005	707	707	1	1	1
154	copy1	NC_073232.2	92169976	92224119	LOC101142918	707	707	1	1	1
156	copy0	NC_073242.2	3677891	3692352	RHBDF1	12	12	1	1	1
156	copy1	NC_073235.2	144819821	144823105	LOC101144552	12	12	1	1	1
157	copy0	NC_073235.2	144827388	144834179	LOC101151284	56	56	1	1	1
157	copy1	NC_073242.2	3666815	3673470	POLR3K	56	56	1	1	1
158	copy0	NC_073242.2	3614426	3620421	LOC129527809	29	29	1	1	1
158	copy1	NC_073235.2	144879602	144885585	.	29	29	1	1	1
160	copy0	NC_073237.2	31667030	31685089	LOC115935867	137	137	1	1	1
