family	gene	cls	n_loci	chi_H	collapsed_excess	K_read	K_asm20	read_derived_delta	n_read_psv	psvs_asm20	mean_phi	n_reads	med_depth	med_maf	balanced_frac	copy_like	het_risk	n_edit_cand	K_read_noedit	n_read_psv_noedit	frac_edit_psv	editing_robust	null_linked	null_K	survives_null	sedef_partner_regions	sedef_partner_external	sedef_identity	sedef_corr	backbone	clust_sizes
58	DHRSX	fully_resolvable	2	2	0	2	2	0	7	14	0.995	566	455	0.464	1.000	0	1	5	0	0	0.714	0	0	0	1	4	2	0.98888	1	NC_073248.2:9064540-9079391	[285, 281]
65	ZNF425	fully_resolvable	4	4	0	2	4	-2	482	59	0.876	22	20	0.421	0.586	0	1	350	2	131	0.722	1	416	0	0	97	93	0.99382	1	NC_073241.2:83874271-83882657	[11, 10, 1]
71	PLEKHM1	fully_resolvable	2	2	0	2	2	0	42	11	0.961	119	115	0.415	0.721	0	1	32	2	10	0.738	1	0	0	1	11	9	0.99668	1	NC_073228.2:45974488-46014488	[71, 48]
79	SNRNP25	fully_resolvable	2	2	0	2	2	0	5	13	0.925	54	54	0.224	0.143	1	0	3	2	3	0.400	1	0	0	1	3	1	0.99478	1	NC_073242.2:3673676-3679850	[43, 11]
87	LOC101130854	fully_resolvable	3	3	0	2	3	-1	10	117	0.888	38	33	0.378	0.462	0	1	7	3	5	0.400	1	0	0	1	19	16	0.98363	1	NC_073242.2:15911262-15951262	[24, 14]
91	LOC129530050	fully_resolvable	2	2	0	2	2	0	4	3	1.0	314	300	0.410	1.000	0	1	3	0	0	0.750	0	0	0	1	3	1	0.98888	1	NC_073247.2:10802440-10807750	[184, 130]
98	LOC101142904	fully_resolvable	2	2	0	2	2	0	358	27	0.881	16	43	0.333	0.320	1	0	233	2	126	0.642	1	131	0	0	22	20	0.98189	1	NC_073246.2:2221697-2244379	[7, 6, 1, 1, 1]
105	LOC109029264	fully_resolvable	2	2	0	2	2	0	16	55	0.958	122	100	0.300	0.000	1	0	9	1	7	0.438	0	0	0	1	15	13	0.96874	1	NC_073234.2:24956987-24963123	[69, 53]
109	LOC129523567	fully_resolvable	2	2	0	2	2	0	44	55	0.916	184	169	0.341	0.068	1	0	25	2	16	0.568	1	0	0	1	2	0	0.98791	1	NC_073237.2:23553592-23573999	[120, 64]
129	GSTM2	fully_resolvable	2	2	0	2	2	0	249	97	0.933	42	40	0.293	0.114	1	0	189	2	70	0.707	1	142	0	0	12	10	0.98889	1	NC_073224.2:130305133-130333659	[30, 11, 1]
15	LOC115932756	fully_resolvable	3	3	0	1	3	-2	17	19	0.93	663	627	0.341	0.316	1	0	13	2	4	0.706	1	0	0	0	12	9	0.99397	1	NC_073240.2:17174470-17192329	[663]
31	LOC109025132	fully_resolvable	3	3	0	1	3	-2	68	99	0.825	36	18	0.333	0.391	0	0	51	2	14	0.750	1	13	1	0	30	27	0.98360	1	NC_073229.2:17702988-17720448	[34, 1, 1]
47	LOC101139703	fully_resolvable	2	2	0	1	2	-1	58	65	0.894	17	16	0.331	0.279	1	0	37	2	20	0.586	1	4	1	0	76	74	0.98978	1	NC_073238.2:22049850-22089850	[15, 1, 1]
50	MPHOSPH8	fully_resolvable	2	2	0	1	2	-1	149	18	0.826	20	19	0.300	0.331	1	0	112	2	39	0.738	1	93	0	0	11	9	0.99738	1	NC_073240.2:20704445-20725690	[11, 2, 2, 2, 1, 1, 1]
74	LOC134758618	fully_resolvable	3	3	0	1	3	-2	116	51	0.895	14	24	0.344	0.353	0	0	78	0	36	0.655	0	9	2	0	16	13	0.98681	1	NC_073228.2:181521331-181545341	[6, 3, 3, 1, 1]
0	GSTM2	fully_resolvable	7	7	0	0	7	-7	727	246	0.887	7	44	0.308	0.170	1	0	443	2	278	0.600	1	346	0	0	47	41	0.98754	1	NC_073224.2:130335549-130375549	[1, 1, 1, 1, 1, 1, 1]
5	TUBGCP5	fully_resolvable	2	2	0	0	2	-2	0	33	1.0	0	863	0.304	0.000	1	0	2	0	0	0.000	0	0	0	0	5	3	0.99631	1	NC_073240.2:23992777-24032777	[]
36	LOC129523519	fully_resolvable	2	2	0	0	2	-2	0	15	0.0	0	1	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	3	1	0.99635	1	NC_073242.2:27042267-27082267	[]
54	LOC134758386	fully_resolvable	2	2	0	0	2	-2	55	37	0.753	17	15	0.333	0.236	1	0	63	0	0	0.945	0	35	0	0	12	10	0.97128	1	NC_073240.2:103158559-103187687	[3, 2, 2, 1, 1, 1, 1, 1]
117	LOC101123970	fully_resolvable	2	2	0	0	2	-2	1	26	0.809	0	115	0.235	0.333	1	0	2	0	0	0.000	0	0	0	0	2	0	0.99635	1	NC_073242.2:27178722-27218722	[]
120	LOC115931590	fully_resolvable	2	2	0	0	2	-2	0	6	0.991	0	108	0.364	0.500	0	1	3	0	0	0.000	0	0	0	0	1	0	0.83710	1	NC_073244.2:68333010-68340095	[]
124	LOC101127437	fully_resolvable	2	2	0	0	2	-2	0	8	0.0	0	286	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	2	0	0.87682	1	NC_073224.2:101585057-101587069	[]
94	MAGEA9	no_psv	2	2	0	4	1	3	125	0	0.954	241	218	0.434	0.744	0	1	74	2	49	0.592	1	1	0	1	16	14	0.99661	1	NC_073247.2:161458538-161464324	[103, 93, 35, 7, 2, 1]
21	LOC101141440	no_psv	5	1	4	3	1	2	46	0	0.944	86	80	0.300	0.188	1	0	32	4	9	0.674	1	1	0	1	59	57	0.98765	1	NC_073232.2:92223069-92238799	[62, 15, 8, 1]
34	LOC115930538	no_psv	8	1	7	3	1	2	101	0	0.794	41	35	0.317	0.297	1	0	69	3	36	0.604	1	17	1	1	203	193	0.98194	1	NC_073240.2:21107958-21147958	[24, 7, 5, 3, 1, 1]
63	LOC129529986	no_psv	2	1	1	3	1	2	252	0	0.878	1011	992	0.354	0.377	0	0	149	3	102	0.591	1	1	0	1	9	8	0.95709	1	NC_073247.2:164381222-164384848	[545, 358, 108]
95	LOC129529978	no_psv	2	1	1	3	1	2	276	0	0.912	298	242	0.339	0.312	1	0	171	3	104	0.620	1	1	0	1	10	9	0.95709	1	NC_073247.2:164426194-164430228	[123, 102, 71, 1, 1]
145	LOC115935025	no_psv	2	2	0	3	1	2	5	0	0.758	124	122	0.367	0.500	0	1	5	0	0	0.800	0	0	0	1	1	0	0.99650	1	NC_073229.2:136502891-136507428	[68, 31, 25]
175	UBE2Q2P16	no_psv	2	1	1	3	1	2	22	0	0.939	202	192	0.304	0.115	1	0	18	3	6	0.682	1	1	0	1	24	22	0.98823	1	NC_073240.2:85821672-85861672	[141, 51, 10]
1	LOC109025447	no_psv	7	1	6	2	1	1	74	0	0.868	803	656	0.327	0.247	1	0	44	2	30	0.595	1	0	0	1	9	1	0.97985	1	NC_073236.2:46642885-46675998	[483, 320]
62	LOC109023386	no_psv	4	1	3	2	1	1	31	0	0.872	213	75	0.315	0.182	1	0	36	2	5	0.742	1	0	0	1	15	12	0.98990	1	NC_073240.2:24764672-24786557	[145, 65, 3]
75	CPLANE1	no_psv	3	1	2	2	1	1	4	0	0.827	95	30	0.347	0.375	0	0	22	0	0	0.750	0	3	4	0	6	4	0.99793	1	NC_073243.2:82739824-82765535	[54, 41]
151	LOC129523647	no_psv	2	2	0	2	1	1	285	0	0.993	19	19	0.444	0.564	0	1	180	2	105	0.628	1	161	0	0	12	10	0.99807	1	NC_073230.2:72907176-72917863	[10, 9]
191	LOC129530554	no_psv	2	1	1	2	1	1	22	0	0.9	25	25	0.255	0.167	1	0	16	2	3	0.727	1	0	0	1	14	12	0.98189	1	NC_086018.1:1713296-1719732	[19, 6]
195	LOC129529923	no_psv	2	2	0	2	1	1	30	0	0.934	47	46	0.326	0.000	1	0	19	2	11	0.633	1	0	0	1	10	9	0.95257	1	NC_073247.2:62876862-62887262	[31, 15, 1]
7	LOC129534585	no_psv	7	1	6	1	1	0	23	0	0.843	236	43	0.282	0.214	1	0	20	0	1	0.783	0	0	0	0	100	97	0.99131	1	NC_073224.2:19235747-19243971	[236]
14	LOC115930164	no_psv	4	1	3	1	1	0	163	0	0.884	11	18	0.375	0.272	1	0	108	2	57	0.638	1	48	0	0	138	135	0.97483	1	NC_073224.2:223478280-223518280	[10, 1]
46	LOC101145461	no_psv	2	2	0	1	1	0	35	0	0.715	19	14	0.294	0.127	1	0	48	0	0	0.914	0	12	1	0	9	7	0.99958	1	NC_073247.2:114041704-114081704	[4, 3, 2, 2, 1, 1, 1, 1]
30	IKBKG	no_psv	2	2	0	0	1	-1	0	0	1.0	0	60	0.358	0.000	1	0	2	0	0	0.000	0	0	0	0	2	0	0.99770	1	NC_073247.2:166164992-166189655	[]
68	LOC129523521	no_psv	2	2	0	0	1	-1	0	0	1.0	0	31	0.259	0.000	1	0	1	0	0	0.000	0	0	0	0	10	8	0.99756	1	NC_073242.2:66060512-66062974	[]
69	LOC115932259	no_psv	2	1	1	0	1	-1	0	0	0.0	0	15	0.467	1.000	0	1	1	0	0	0.000	0	0	0	0	2	0	0.99199	1	NC_073247.2:131773856-131781439	[]
93	LOC115932194	no_psv	2	1	1	0	1	-1	0	0	0.0	0	15	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	11	10	0.96450	1	NC_073247.2:62664032-62669073	[]
96	LOC129530275	no_psv	4	2	2	0	1	-1	0	0	0.0	0	4	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	9	8	0.99318	1	NC_073248.2:34736504-34739289	[]
101	LOC129534200	no_psv	2	2	0	0	1	-1	0	0	0.656	0	25	0.267	0.250	1	0	2	0	0	0.000	0	0	0	0	1	0	0.99874	1	NC_073229.2:44451307-44461566	[]
122	LOC129530010	no_psv	2	1	1	0	1	-1	0	0	0.0	0	41	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	1	0	0.99445	1	NC_073247.2:84678651-84679545	[]
168	LOC101124683	no_psv	2	2	0	0	1	-1	0	0	0.0	0	913	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	18	17	0.99465	1	NC_073239.2:35464611-35468594	[]
169	LOC101124683	no_psv	2	1	1	0	1	-1	0	0	0.0	0	898	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	18	17	0.99465	1	NC_073239.2:35465817-35469874	[]
170	LOC101124683	no_psv	2	1	1	0	1	-1	0	0	0.0	0	1019	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	18	17	0.99465	1	NC_073239.2:35466171-35468601	[]
176	LOC115931067	no_psv	2	1	1	0	1	-1	0	0	0.0	0	9	0.000	0.000	1	0	0	0	0	0.000	0	0	0	0	1	0	0.91983	1	NC_073242.2:3790652-3791552	[]
32	LOC115934629	partial	4	3	1	4	3	1	206	31	0.957	183	118	0.361	0.311	1	0	129	3	77	0.617	1	10	1	1	37	32	0.99335	1	NC_073228.2:45686842-45726842	[58, 45, 43, 37]
22	LOC115933254	partial	6	1	5	3	4	-1	96	61	0.917	149	131	0.345	0.227	1	0	58	3	38	0.594	1	2	1	1	50	45	0.98296	1	NC_073236.2:32986425-32990818	[109, 33, 7]
11	LOC101130894	partial	4	2	2	2	2	0	33	13	0.879	13	31	0.357	0.361	0	0	26	2	5	0.697	1	4	2	0	37	36	0.99827	1	NC_073230.2:86181068-86209484	[7, 4, 1, 1]
