gene	chrom	n_snp	n_tv	phase_qual	donor	acceptor	psi0	psi1	dPSI	q	multi_snp_only
PSMD2	NC_086017.1	2	2	0.63	195406804	195406955	0.0	1.0	1.000	4.995e-07	0
LOC115934626	NC_073228.2	5	3	0.72	45956648	45956726	1.0	0.0	1.000	7.554e-07	0
LOC134758754	NC_073224.2	1	0	1.0	19339269	19339542	1.0	0.0	1.000	1.068e-06	0
CNTNAP2	NC_073230.2	9	3	1.0	157376594	157376646	0.0	1.0	1.000	4.541e-06	0
LOC109025523	NC_073236.2	12	5	1.0	35361648	35363325	0.0	1.0	1.000	5.629e-06	0
LOC109025523	NC_073236.2	12	5	1.0	35359770	35361451	0.0	1.0	1.000	5.629e-06	0
LOC109025523	NC_073236.2	12	5	1.0	35361524	35361619	0.0	1.0	1.000	5.629e-06	0
LOC109025523	NC_073236.2	12	5	1.0	35371006	35372685	1.0	0.0	1.000	5.629e-06	0
LOC109025523	NC_073236.2	12	5	1.0	35372881	35374552	1.0	0.0	1.000	5.629e-06	0
LOC109025523	NC_073236.2	12	5	1.0	35372758	35372852	1.0	0.0	1.000	5.629e-06	0
LOC129527496	NC_073242.2	15	6	0.93	4908324	4908418	0.0	1.0	1.000	9.186e-06	0
KLF8	NC_073247.2	1	1	1.0	66389872	66391915	1.0	0.0	1.000	2.913e-05	0
LOC134758712	NC_073224.2	1	0	0.97	15905225	15905338	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15910610	15910751	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15910338	15910505	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15909177	15909411	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15909634	15909766	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15910931	15911217	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15904775	15905088	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15905470	15905619	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15905660	15905795	1.0	0.0	1.000	5.998e-05	1
LOC134758712	NC_073224.2	1	0	0.97	15909884	15910200	1.0	0.0	1.000	5.998e-05	1
LOC101140402	NC_086018.1	3	1	1.0	23409751	23411143	0.0	1.0	1.000	7.921e-05	0
LOC129527636	NC_073242.2	6	0	0.77	35228529	35228571	1.0	0.0	1.000	2.846e-04	1
LOC101148457	NC_086018.1	1	1	1.0	19857272	19859713	1.0	0.0	1.000	3.912e-04	0
LOC101152880	NC_073244.2	9	1	1.0	13639977	13640116	1.0	0.0	1.000	4.517e-04	0
LOC101138086	NC_073228.2	13	5	1.0	181658964	181659857	0.0	1.0	1.000	7.436e-04	0
LOC101138086	NC_073228.2	13	5	1.0	181658964	181662686	1.0	0.0	1.000	7.436e-04	0
TUBAL3	NC_073232.2	1	0	1.0	14353412	14354279	0.0	1.0	1.000	7.436e-04	0
LOC115931062	NC_073242.2	40	18	0.81	21768385	21768637	1.0	0.0	1.000	9.708e-04	1
LOC115931062	NC_073242.2	40	18	0.81	21767764	21767806	1.0	0.0	1.000	9.708e-04	1
DAXX	NC_073229.2	1	1	1.0	51041967	51042120	0.0	1.0	1.000	1.291e-03	0
LOC115931062	NC_073242.2	40	18	0.81	21766564	21766606	1.0	0.0	1.000	1.531e-03	1
ADGRE1	NC_073244.2	10	2	1.0	12702345	12706542	1.0	0.0	1.000	1.531e-03	0
ADGRE1	NC_073244.2	10	2	1.0	12702345	12707691	0.0	1.0	1.000	1.531e-03	0
LOC109025073	NC_073244.2	9	3	1.0	18096968	18106041	1.0	0.0	1.000	3.256e-03	1
RHD	NC_073224.2	29	10	0.77	214527781	214530920	0.0	1.0	1.000	7.801e-03	0
LOC101133995	NC_073229.2	35	14	1.0	50362281	50362694	0.0	1.0	1.000	1.291e-02	0
LOC101146691	NC_073236.2	2	1	1.0	47843875	47845873	1.0	0.0	1.000	1.787e-02	1
LOC101146691	NC_073236.2	2	1	1.0	47843875	47844486	0.0	1.0	1.000	1.787e-02	1
LOC101146691	NC_073236.2	2	1	1.0	47844579	47845873	0.0	1.0	1.000	1.787e-02	1
GAL3ST2	NC_073235.2	2	1	1.0	144478896	144478947	0.0	1.0	1.000	3.399e-02	0
LOC129531205	NC_073240.2	5	0	1.0	4576090	4577102	0.0	1.0	1.000	3.399e-02	0
ZNF8	NC_073244.2	5	0	1.0	70323083	70323564	1.0	0.0	1.000	3.843e-02	0
COL4A5	NC_073247.2	2	2	0.88	120461928	120470931	0.0	1.0	1.000	3.843e-02	0
LOC115932143	NC_073247.2	2	0	1.0	147515351	147515728	0.0	1.0	1.000	3.843e-02	0
LOC115932143	NC_073247.2	2	0	1.0	147515822	147517043	0.0	1.0	1.000	3.843e-02	0
LOC115932143	NC_073247.2	2	0	1.0	147515351	147517043	1.0	0.0	1.000	3.843e-02	0
RHD	NC_073224.2	29	10	0.77	214531054	214541295	0.0	1.0	1.000	4.902e-02	0
CCDC125	NC_073243.2	1	0	1.0	40951093	40953496	0.0	1.0	1.000	4.902e-02	1
NUSAP1	NC_073240.2	2	0	1.0	42058360	42063275	0.0	0.984	0.984	6.105e-35	0
ALDH1B1	NC_073237.2	11	1	1.0	24565289	24568248	1.0	0.018	0.982	8.607e-109	0
LOC129525331	NC_073224.2	40	10	0.79	125054945	125065033	0.981	0.0	0.981	8.578e-10	1
DAZ1	NC_073248.2	1	1	1.0	42830532	42830806	0.977	0.0	0.977	6.937e-28	1
DAZ1	NC_073248.2	1	1	1.0	42830953	42839897	0.976	0.0	0.976	2.107e-27	1
CCDC14	NC_086017.1	14	4	0.96	134812083	134813454	0.974	0.0	0.974	8.555e-60	0
UBC	NC_073234.2	18	1	0.89	140369822	140370050	0.0	0.97	0.970	0.000e+00	0
ALDH1B1	NC_073237.2	11	1	1.0	24565287	24568248	0.0	0.97	0.970	2.092e-105	0
GM2A	NC_073228.2	5	1	0.95	155104204	155110666	0.966	0.0	0.966	2.733e-46	0
DAZ1	NC_073248.2	1	1	1.0	42829239	42840126	0.012	0.975	0.963	1.151e-26	1
DAZ1	NC_073248.2	1	1	1.0	42840037	42840126	0.963	0.0	0.963	4.065e-26	1
CNTNAP3C	NC_073236.2	20	3	0.98	33312509	33328122	0.963	0.0	0.963	3.408e-09	0
LOC101141065	NC_073224.2	3	3	1.0	192934145	192941082	0.961	0.0	0.961	2.296e-27	0
RPAP1	NC_073240.2	3	1	0.99	42247628	42254646	0.0	0.96	0.960	7.793e-39	0
CASP10	NC_073235.2	7	1	0.98	103835036	103835169	0.96	0.0	0.960	4.321e-09	0
LOC101141065	NC_073224.2	3	3	1.0	192931153	192931945	0.958	0.0	0.958	2.460e-26	0
TULP3	NC_073234.2	2	0	0.98	18577780	18577837	0.0	0.958	0.958	3.023e-12	0
C18H16orf89	NC_073242.2	2	0	1.0	8702251	8710312	0.042	1.0	0.958	5.097e-10	0
C18H16orf89	NC_073242.2	2	0	1.0	8709630	8710312	0.958	0.0	0.958	5.097e-10	0
C18H16orf89	NC_073242.2	2	0	1.0	8702251	8709525	0.958	0.0	0.958	5.097e-10	0
LOC134758712	NC_073224.2	1	0	0.97	15906514	15906757	0.958	0.0	0.958	4.072e-04	1
LOC134758712	NC_073224.2	1	0	0.97	15908381	15909040	0.958	0.0	0.958	4.072e-04	1
LOC134758712	NC_073224.2	1	0	0.97	15906841	15907114	0.958	0.0	0.958	4.072e-04	1
LOC115932992	NC_073242.2	19	7	0.84	16424081	16425845	0.0	0.955	0.955	1.019e-09	0
DAZ1	NC_073248.2	1	1	1.0	42829880	42830440	0.977	0.024	0.952	1.704e-26	1
ZNF225	NC_073244.2	17	5	1.0	55647014	55647112	0.0	0.952	0.952	3.643e-09	0
LOC115933340	NC_073228.2	6	3	0.97	55036835	55043934	0.952	0.0	0.952	8.025e-08	0
CLCC1	NC_073224.2	8	1	0.99	131151648	131151687	0.003	0.95	0.947	1.222e-315	0
LOC115933340	NC_073228.2	6	3	0.97	55036835	55037614	0.0	0.944	0.944	9.233e-08	0
LOC134758754	NC_073224.2	1	0	1.0	19338144	19339542	0.0	0.944	0.944	1.229e-05	0
LOC109025523	NC_073236.2	12	5	1.0	35342897	35363325	0.944	0.0	0.944	5.622e-05	0
LOC115932984	NC_073224.2	40	14	0.94	130256492	130265657	0.056	1.0	0.944	1.856e-03	0
CCDC127	NC_073243.2	28	7	1.0	112130921	112130971	0.943	0.0	0.943	2.096e-29	0
BDKRB2	NC_073239.2	21	4	0.99	113200893	113200923	0.943	0.0	0.943	7.283e-14	0
LOC134758712	NC_073224.2	1	0	0.97	15795935	15796182	0.0	0.941	0.941	7.661e-09	1
LOC134758712	NC_073224.2	1	0	0.97	15794584	15794887	0.0	0.941	0.941	7.661e-09	1
LOC134758712	NC_073224.2	1	0	0.97	15798969	15799203	0.0	0.941	0.941	7.661e-09	1
LOC134758712	NC_073224.2	1	0	0.97	15799426	15799558	0.0	0.941	0.941	7.661e-09	1
LOC134758712	NC_073224.2	1	0	0.97	15795024	15795137	0.0	0.941	0.941	7.661e-09	1
LAMTOR3	NC_073227.2	8	0	0.97	120194072	120194105	0.938	0.0	0.938	2.626e-41	0
LOC101143875	NC_073237.2	40	9	0.91	23692880	23692951	0.0	0.933	0.933	1.219e-16	0
CEP162	NC_073229.2	7	2	1.0	108383234	108384364	0.933	0.0	0.933	1.177e-11	0
LOC134756389	NC_073231.2	16	6	1.0	151178150	151178978	0.067	1.0	0.933	1.117e-04	0
MRPL50	NC_073237.2	5	1	1.0	97723460	97723490	0.0	0.929	0.929	1.481e-37	0
DAZ1	NC_073248.2	1	1	1.0	42829392	42829828	0.977	0.048	0.929	2.219e-25	1
CEP162	NC_073229.2	7	2	1.0	108383234	108384360	0.0	0.926	0.926	1.326e-11	0
WDR4	NC_073246.2	40	12	1.0	44726725	44727019	0.925	0.0	0.925	1.573e-24	0
LOC134758754	NC_073224.2	1	0	1.0	19338144	19339231	0.923	0.0	0.923	1.625e-05	0
LOC109025073	NC_073244.2	9	3	1.0	18106165	18107316	0.923	0.0	0.923	9.139e-03	1
LOC101142646	NC_073244.2	13	3	1.0	27877934	27880952	0.077	1.0	0.923	1.972e-02	0
AP2B1	NC_073228.2	2	1	0.99	57418529	57427063	0.922	0.0	0.922	5.668e-20	0
LOC129525331	NC_073224.2	40	10	0.79	125057247	125057955	0.078	1.0	0.922	1.404e-16	1
LOC129525331	NC_073224.2	40	10	0.79	125056559	125057195	0.078	1.0	0.922	1.404e-16	1
WDR4	NC_073246.2	40	12	1.0	44726448	44726971	0.0	0.918	0.918	4.925e-25	0
MYLK	NC_086017.1	9	1	0.76	134558010	134558046	0.0	0.917	0.917	1.555e-67	0
COL6A3	NC_073235.2	8	3	0.92	140060847	140063397	0.917	0.0	0.917	6.090e-09	0
LOC134756448	NC_073224.2	2	0	0.56	223545998	223546964	0.0	0.917	0.917	3.657e-04	0
ADGRE1	NC_073244.2	10	2	1.0	12706941	12707691	1.0	0.083	0.917	6.604e-03	0
ADGRE1	NC_073244.2	10	2	1.0	12706698	12706821	1.0	0.083	0.917	6.604e-03	0
ZNF888	NC_073244.2	9	5	0.98	64879333	64901614	0.939	0.023	0.916	4.007e-15	0
SLC27A6	NC_073228.2	13	2	1.0	132917193	132920590	0.994	0.08	0.914	0.000e+00	0
LOC134756861	NC_073224.2	40	13	0.86	117517117	117517732	0.087	1.0	0.913	2.005e-19	1
APOL4	NC_086018.1	4	3	0.98	34192903	34196789	1.0	0.087	0.913	1.200e-11	0
SLC27A6	NC_073228.2	13	2	1.0	132918102	132920590	0.004	0.914	0.910	0.000e+00	0
GOLGA3	NC_073234.2	7	2	0.89	148312669	148318621	0.909	0.0	0.909	1.216e-23	0
LOC134756861	NC_073224.2	40	13	0.86	117513957	117514560	0.091	1.0	0.909	1.465e-17	1
LOC134756861	NC_073224.2	40	13	0.86	117513186	117513905	0.091	1.0	0.909	1.465e-17	1
LOC109025523	NC_073236.2	12	5	1.0	35359647	35359741	0.0	0.909	0.909	8.420e-05	0
LOC109025523	NC_073236.2	12	5	1.0	35342897	35359574	0.0	0.909	0.909	8.420e-05	0
LOC115932779	NC_073242.2	20	6	0.44	28928691	28933193	0.909	0.0	0.909	1.942e-02	1
TUBGCP6	NC_086018.1	10	1	0.99	48268601	48268682	0.908	0.0	0.908	3.064e-56	0
LOC134756861	NC_073224.2	40	13	0.86	117512378	117513013	0.093	1.0	0.907	1.151e-16	1
LOC129525331	NC_073224.2	40	10	0.79	125058128	125058727	0.094	1.0	0.906	3.058e-16	1
SYS1	NC_073245.2	5	0	1.0	57599841	57599872	0.905	0.0	0.905	4.760e-45	0
NUSAP1	NC_073240.2	2	0	1.0	42058360	42063269	0.905	0.0	0.905	6.528e-28	0
LOC129525331	NC_073224.2	40	10	0.79	125058779	125059498	0.095	1.0	0.905	4.464e-16	1
RPAP1	NC_073240.2	3	1	0.99	42247628	42254614	0.929	0.026	0.903	8.861e-33	0
SLC19A1	NC_073246.2	6	0	0.99	47400421	47404689	0.0	0.9	0.900	1.334e-09	0
NEK10	NC_086017.1	8	3	1.0	37193345	37209611	0.0	0.9	0.900	7.588e-07	0
LOC101130871	NC_073228.2	3	0	1.0	179941410	179941998	0.9	0.0	0.900	6.333e-05	0
LOC115931919	NC_086018.1	2	1	0.99	40523442	40581687	1.0	0.1	0.900	2.205e-03	0
LOC115931919	NC_086018.1	2	1	0.99	40525073	40581746	0.0	0.9	0.900	2.205e-03	0
ADAM17	NC_073236.2	7	3	0.99	130444933	130444974	0.014	0.912	0.899	1.562e-26	0
SEC14L1	NC_073228.2	7	2	1.0	14760807	14760858	0.897	0.0	0.897	3.963e-165	0
AP2B1	NC_073228.2	2	1	0.99	57418529	57427057	0.059	0.956	0.897	2.419e-18	0
LOC101134912	NC_073242.2	4	2	1.0	21719803	21719971	0.0	0.897	0.897	7.129e-18	0
DAZ1	NC_073248.2	1	1	1.0	42829239	42829328	0.989	0.093	0.895	1.548e-24	1
AFAP1	NC_073227.2	21	7	0.99	13643493	13643545	0.0	0.895	0.895	1.964e-13	0
LOC134756922	NC_073224.2	19	7	0.97	117270234	117271173	0.893	0.0	0.893	8.633e-62	0
MYLK	NC_086017.1	9	1	0.76	134558028	134558064	0.889	0.0	0.889	1.262e-62	0
LOC134756861	NC_073224.2	40	13	0.86	117515494	117516122	0.111	1.0	0.889	2.297e-17	1
LOC134756861	NC_073224.2	40	13	0.86	117514733	117515442	0.111	1.0	0.889	3.742e-17	1
LOC134756861	NC_073224.2	40	13	0.86	117516295	117517008	0.089	0.978	0.889	8.529e-17	1
CNTNAP3C	NC_073236.2	20	3	0.98	33313368	33328122	0.0	0.889	0.889	6.375e-08	0
CNTNAP3C	NC_073236.2	20	3	0.98	33328270	33364858	0.0	0.889	0.889	9.579e-08	0
LOC115933340	NC_073228.2	6	3	0.97	55037659	55043969	0.0	0.889	0.889	9.075e-07	0
SERPINB12	NC_073241.2	4	2	1.0	92896474	92896519	0.0	0.889	0.889	1.032e-02	0
SCLY	NC_073235.2	6	3	0.96	140781098	140781122	0.889	0.0	0.889	2.919e-02	1
APOBEC3D	NC_086018.1	40	13	0.58	37024253	37025539	0.889	0.0	0.889	2.919e-02	1
ADAM17	NC_073236.2	7	3	0.99	130444917	130444958	0.905	0.018	0.888	4.668e-25	0
LOC134756861	NC_073224.2	40	13	0.86	117512378	117517732	0.884	0.0	0.884	1.077e-15	1
LOC101141065	NC_073224.2	3	3	1.0	192941273	192941848	0.882	0.0	0.882	1.018e-22	0
LOC134758712	NC_073224.2	1	0	0.97	15801864	15801989	0.0	0.882	0.882	1.013e-07	1
LOC134758712	NC_073224.2	1	0	0.97	15800130	15800297	0.0	0.882	0.882	1.013e-07	1
LOC134758712	NC_073224.2	1	0	0.97	15795637	15795880	0.0	0.882	0.882	1.013e-07	1
TEDC2	NC_073242.2	1	0	1.0	6085982	6086028	0.882	0.0	0.882	2.476e-04	0
LOC115932992	NC_073242.2	19	7	0.84	16429198	16433809	0.12	1.0	0.880	9.916e-07	0
LOC115932992	NC_073242.2	19	7	0.84	16433935	16435699	0.12	1.0	0.880	8.419e-06	0
LOC129525331	NC_073224.2	40	10	0.79	125055672	125056386	0.125	1.0	0.875	4.181e-14	1
COL6A3	NC_073235.2	8	3	0.92	140060844	140063397	0.083	0.958	0.875	1.093e-07	0
TECPR1	NC_073230.2	7	1	1.0	90626767	90626807	0.0	0.875	0.875	7.688e-07	0
LOC134758712	NC_073224.2	1	0	0.97	15911384	15911884	0.875	0.0	0.875	4.513e-03	1
LOC134758712	NC_073224.2	1	0	0.97	15912071	15912196	0.875	0.0	0.875	4.513e-03	1
CHN2	NC_073230.2	10	4	1.0	36961113	36961145	0.0	0.873	0.873	3.482e-32	0
PGGHG	NC_073233.2	12	1	1.0	6746749	6746811	0.0	0.868	0.868	4.287e-19	0
LOC115932779	NC_073242.2	20	6	0.44	28892789	28893650	0.0	0.867	0.867	1.842e-07	0
LOC101153131	NC_073244.2	7	0	1.0	64909072	64909156	0.865	0.0	0.865	4.065e-13	0
SMC6	NC_073236.2	3	1	1.0	122163873	122171627	0.858	0.0	0.858	1.315e-98	0
MARCHF10	NC_073228.2	2	1	1.0	29263018	29275287	0.969	0.111	0.858	1.262e-07	1
LOC109025073	NC_073244.2	9	3	1.0	18108374	18108458	0.0	0.857	0.857	6.454e-03	1
GALNT17	NC_073230.2	2	0	1.0	80899961	80901011	1.0	0.143	0.857	1.972e-02	0
GALNT17	NC_073230.2	2	0	1.0	80866777	80899793	1.0	0.143	0.857	1.972e-02	0
LOC115932779	NC_073242.2	20	6	0.44	28929912	28933193	0.0	0.857	0.857	2.716e-02	1
LOC115931576	NC_073244.2	3	2	1.0	29077458	29077542	0.853	0.0	0.853	6.609e-10	0
LOC134756922	NC_073224.2	19	7	0.97	117264178	117271173	0.0	0.852	0.852	7.312e-62	0
LOC115933039	NC_073244.2	11	1	0.75	20961174	20961333	1.0	0.15	0.850	3.979e-07	0
LOC115933039	NC_073244.2	11	1	0.75	20959729	20961333	0.0	0.85	0.850	3.979e-07	0
NEK10	NC_086017.1	8	3	1.0	37193353	37209611	0.85	0.0	0.850	5.101e-06	0
LOC115932992	NC_073242.2	19	7	0.84	16457934	16462315	0.846	0.0	0.846	5.137e-04	0
LOC115932992	NC_073242.2	19	7	0.84	16453422	16457796	0.846	0.0	0.846	5.137e-04	0
LOC115932992	NC_073242.2	19	7	0.84	16462453	16466837	0.846	0.0	0.846	5.137e-04	0
LOC134756448	NC_073224.2	2	0	0.56	223540756	223545834	0.154	1.0	0.846	2.209e-03	0
ZNF835	NC_073244.2	9	3	1.0	68767792	68767949	0.0	0.84	0.840	3.079e-08	0
LOC115932992	NC_073242.2	19	7	0.84	16466975	16471362	0.84	0.0	0.840	6.862e-04	0
LOC115932992	NC_073242.2	19	7	0.84	16471500	16475882	0.84	0.0	0.840	6.862e-04	0
LOC115932992	NC_073242.2	19	7	0.84	16476020	16480404	0.84	0.0	0.840	6.862e-04	0
MTMR2	NC_073233.2	4	0	0.99	103747016	103747047	0.0	0.836	0.836	8.492e-261	0
LOC101141065	NC_073224.2	3	3	1.0	192930575	192931070	0.833	0.0	0.833	9.765e-20	0
INPP5E	NC_073237.2	4	0	0.97	132838455	132839174	0.0	0.833	0.833	6.428e-04	0
SLC27A6	NC_073228.2	13	2	1.0	132917193	132921458	0.0	0.833	0.833	4.955e-03	1
IAH1	NC_073236.2	11	3	0.99	130444933	130444974	0.085	0.914	0.829	1.924e-23	0
LOC101134912	NC_073242.2	4	2	1.0	21719693	21719971	0.88	0.051	0.829	1.042e-13	0
GM2A	NC_073228.2	5	1	0.95	155104204	155110675	0.0	0.827	0.827	4.516e-35	0
APOL4	NC_086018.1	4	3	0.98	34192907	34196789	0.0	0.826	0.826	1.369e-09	0
LOC115932735	NC_073224.2	9	1	1.0	124293481	124295060	0.0	0.824	0.824	4.494e-47	0
LOC134756861	NC_073224.2	40	13	0.86	117521018	117521732	0.176	1.0	0.824	7.778e-18	1
LOC134758712	NC_073224.2	1	0	0.97	15801177	15801677	0.0	0.824	0.824	9.075e-07	1
LOC134758712	NC_073224.2	1	0	0.97	15799676	15799992	0.0	0.824	0.824	9.075e-07	1
LOC101138206	NC_073243.2	6	3	0.85	111897795	111900893	0.822	0.0	0.822	2.117e-34	0
LOC134756861	NC_073224.2	40	13	0.86	117521841	117522453	0.146	0.968	0.822	1.853e-11	1
LOC134756861	NC_073224.2	40	13	0.86	117519452	117520161	0.16	0.98	0.820	7.041e-16	1
LOC109025523	NC_073236.2	12	5	1.0	35371006	35374552	0.0	0.818	0.818	6.901e-04	0
LOC101138066	NC_073240.2	2	1	0.47	86405352	86406067	0.0	0.818	0.818	1.382e-03	0
LOC115933270	NC_073243.2	10	2	0.67	82856291	82856490	0.889	0.071	0.817	6.674e-04	0
SRSF3	NC_073229.2	2	1	1.0	54363435	54363626	0.816	0.0	0.816	3.026e-65	0
USP35	NC_073233.2	12	2	0.83	86093078	86093198	0.0	0.816	0.816	3.057e-18	0
LOC101148384	NC_073235.2	15	5	1.0	31690648	31697635	0.815	0.0	0.815	1.988e-06	0
NEFH	NC_086018.1	1	0	1.0	27528541	27528583	0.811	0.0	0.811	5.480e-28	0
TENT5A	NC_073229.2	8	0	0.95	105891437	105891467	0.018	0.829	0.811	3.136e-15	0
CEP152	NC_073240.2	7	1	1.0	49554908	49557211	0.0	0.81	0.810	8.759e-06	0
LOC109026500	NC_073227.2	2	1	1.0	9976227	9976258	0.808	0.0	0.808	3.157e-04	1
ALDH9A1	NC_073224.2	7	2	0.99	91068459	91068498	0.0	0.807	0.807	8.584e-18	0
ZNF578	NC_073244.2	6	0	0.55	64485805	64489196	0.931	0.125	0.806	4.957e-07	0
CNTNAP3C	NC_073236.2	20	3	0.98	33328270	33387126	0.923	0.118	0.805	1.865e-05	0
LOC134756861	NC_073224.2	40	13	0.86	117520213	117520845	0.176	0.98	0.804	1.320e-15	1
LOC134756861	NC_073224.2	40	13	0.86	117519452	117524876	0.804	0.0	0.804	6.993e-09	1
SMAP1	NC_073229.2	6	4	1.0	94963694	94963747	0.0	0.8	0.800	3.508e-07	0
CSNK1D	NC_073228.2	7	4	0.68	9740191	9740319	0.0	0.8	0.800	4.301e-04	0
LOC115932992	NC_073242.2	19	7	0.84	16480542	16484928	0.8	0.0	0.800	1.831e-03	0
LOC115932992	NC_073242.2	19	7	0.84	16525983	16527750	0.8	0.0	0.800	3.427e-03	0
LOC129526389	NC_073238.2	20	2	0.99	23411378	23415169	0.0	0.8	0.800	1.054e-02	0
DDB1	NC_073233.2	1	0	0.95	69098176	69098271	0.2	1.0	0.800	4.587e-02	0
SP140	NC_073235.2	6	2	1.0	132955246	132957498	0.062	0.857	0.795	3.189e-02	1
SP140	NC_073235.2	6	2	1.0	132953162	132955165	0.062	0.857	0.795	3.189e-02	1
LOC134758712	NC_073224.2	1	0	0.97	15905838	15906081	0.792	0.0	0.792	2.257e-02	1
LOC134758712	NC_073224.2	1	0	0.97	15906136	15906383	0.792	0.0	0.792	2.257e-02	1
GOLGA3	NC_073234.2	7	2	0.89	148312669	148318590	0.018	0.807	0.789	6.247e-17	0
CNTNAP3C	NC_073236.2	20	3	0.98	33364956	33387126	0.0	0.789	0.789	2.326e-06	0
ORMDL1	NC_073235.2	10	4	0.99	92227347	92229013	0.786	0.0	0.786	1.006e-93	0
LOC101140402	NC_086018.1	3	1	1.0	23409751	23410419	0.786	0.0	0.786	1.267e-02	0
SMC6	NC_073236.2	3	1	1.0	122163947	122171627	0.104	0.888	0.784	6.840e-75	0
SLFN5	NC_073228.2	20	5	0.99	57749656	57749692	0.0	0.784	0.784	2.966e-12	0
RICTOR	NC_073243.2	4	3	0.95	72965031	72965075	0.81	0.028	0.782	1.735e-07	0
ZNF544	NC_073244.2	4	1	1.0	70323083	70323564	0.09	0.87	0.780	4.521e-26	0
LOC101141065	NC_073224.2	3	3	1.0	192930566	192934097	0.0	0.778	0.778	2.176e-16	0
MARCHF10	NC_073228.2	2	1	1.0	29263140	29275287	0.0	0.778	0.778	7.428e-07	1
BDKRB2	NC_073239.2	21	4	0.99	113200411	113200806	0.0	0.774	0.774	1.341e-09	0
