gene_a	gene_b	dn_a	dn_b	cls	in_ep	core	aln_len	aln_frac
AMN1	ETFBKMT	DN_NC_073234.2_69501458_7	DN_NC_073234.2_69557459_4	genuine	0	0.6472	1540	0.6468
AMY2A	ZNF888	DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	genuine	0	0.1698	0	0.0
AMZ2	LOC101129405	DN_NC_073228.2_23742950_7	DN_NC_073228.2_27022347_6	genuine	0	0.1651	2054	0.7199
ANKRD37	UFSP2	DN_NC_073227.2_206378182_5	DN_NC_073227.2_206379213_12	genuine	0	0.2174	220	0.2174
ANKRD6	LYRM2	DN_NC_073229.2_113642543_16	DN_NC_073229.2_113787300_3	genuine	0	0.6194	3402	0.6194
ANKRD62	LOC109025523	DN_NC_073236.2_35320202_37	DN_NC_073241.2_38130293_13	genuine	0	0.2212	0	0.0
ANO1	PRKAR2A	DN_NC_073233.2_78071205_2	DN_NC_086017.1_58705155_2	genuine	0	0.1371	0	0.0
AP1S2	BDP1	DN_NC_073243.2_40339828_3	DN_NC_073247.2_26298821_5	genuine	0	0.2271	531	0.2262
APOBEC3C	APOBEC3D	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37016890_4	genuine	0	0.2709	855	0.308
APOBEC3C	APOBEC3F	DN_NC_086018.1_37016890_4	DN_NC_086018.1_37043543_7	genuine	0	0.3030	1882	0.678
APOL4	LOC129527096	DN_NC_073240.2_41396094_2	DN_NC_086018.1_34186611_4	genuine	0	0.2801	837	0.7764
ARHGEF39	CCDC107	DN_NC_073237.2_27307884_9	DN_NC_073237.2_27311993_5	genuine	0	0.4694	446	0.4705
ARHGEF4	SPATA13	DN_NC_073235.2_32368514_11	DN_NC_073238.2_38585508_10	genuine	0	0.2424	0	0.0
ARL17A	LOC101135168	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45710800_6	genuine	0	0.5577	1705	0.5577
ARL17A	LOC115934626	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45948292_6	genuine	0	0.4194	1881	0.6153
ASB6	NTMT1	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	TP	0	0.7080	1522	0.7066
ASNS	LOC129531864	DN_NC_073230.2_90977223_13	DN_NC_073236.2_31570340_7	genuine	0	0.2269	510	0.2159
ATP5ME	PDE6B	DN_NC_073227.2_9231816_7	DN_NC_073227.2_9238554_4	genuine	0	0.2016	530	0.3748
ATP6V1C2	PDIA6	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	TP	0	0.3828	1083	0.38
ATPSCKMT	LOC101133249	DN_NC_073227.2_16860393_3	DN_NC_073243.2_101845354_5	genuine	0	0.1790	1860	0.7193
AUNIP	MTFR1L	DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	genuine	0	0.7245	2696	0.7245
B3GAT2	SMAP1	DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	genuine	0	0.4622	1809	0.5285
B3GNTL1	TBCD	DN_NC_073228.2_8941710_13	DN_NC_073228.2_9043620_39	genuine	0	0.5383	1632	0.536
BBIP1	PDCD4	DN_NC_073232.2_123144734_12	DN_NC_073232.2_123171879_4	genuine	0	0.6716	1483	0.6716
BCR	LOC101132434	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	TP	0	0.3002	1498	0.6622
BCR	LOC101135843	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	TP	0	0.2560	1498	0.5649
BCR	LOC115932815	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	TP	0	0.2679	1450	0.5461
BEX3	NXF3	DN_NC_073247.2_114994295_3	DN_NC_073247.2_115162367_2	genuine	0	0.1391	0	0.0
BLID	LOC101154388	DN_NC_073233.2_130017597_2	DN_NC_073233.2_130017597_4	genuine	0	0.8713	2607	0.8713
BLNK	ZNF518A	DN_NC_073232.2_108425417_2	DN_NC_073232.2_108425608_2	genuine	0	0.9746	3916	0.9746
BLOC1S6	HMGN2	DN_NC_073224.2_213462039_6	DN_NC_073240.2_46341896_2	genuine	0	0.1527	1105	0.4889
BMAL1	BTBD10	DN_NC_073233.2_19708960_19	DN_NC_073233.2_19815473_9	genuine	0	0.5174	2558	0.5152
BMS1	LOC101143777	DN_NC_073232.2_42022900_16	DN_NC_073232.2_72618921_23	genuine	0	0.1317	1127	0.3085
BMS1	LOC101148457	DN_NC_073232.2_72618921_23	DN_NC_086018.1_19844955_6	genuine	0	0.1545	1129	0.4509
BMS1	LOC129524676	DN_NC_073232.2_72618921_23	DN_NC_073237.2_22957046_5	genuine	0	0.1696	623	0.2013
BMS1	LOC129526479	DN_NC_073232.2_72618921_23	DN_NC_073238.2_29552503_8	genuine	0	0.1652	1128	0.3563
BMS1	LOC134756761	DN_NC_073232.2_72618921_23	DN_NC_073236.2_30994185_5	genuine	0	0.1712	623	0.2019
BRD3	BRD4	DN_NC_073237.2_130396115_12	DN_NC_073244.2_21687258_9	genuine	0	0.2222	0	0.0
BRICD5	MLST8	DN_NC_073242.2_5822452_9	DN_NC_073242.2_5827060_6	genuine	0	0.2247	336	0.3912
BUD31	PTCD1	DN_NC_073230.2_89389986_8	DN_NC_073230.2_89408091_6	genuine	0	0.2119	229	0.2128
C10H12orf56	OOEP	DN_NC_073229.2_97456874_3	DN_NC_073234.2_36991193_12	genuine	0	0.1816	0	0.0
C1H1orf146	GLMN	DN_NC_073224.2_147663563_19	DN_NC_073224.2_147715668_5	genuine	0	0.5228	1102	0.5228
C1H1orf56	CDC42SE1	DN_NC_073224.2_105776266_5	DN_NC_073224.2_105784199_2	genuine	0	0.5756	1542	0.576
C3H4orf36	LOC101143448	DN_NC_073227.2_107202270_4	DN_NC_073240.2_21986088_4	genuine	0	0.1523	464	0.3142
C3H4orf36	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073227.2_107202270_4	genuine	0	0.1370	468	0.3524
C3H4orf36	LOC129533438	DN_NC_073224.2_219630924_4	DN_NC_073227.2_107202270_4	genuine	0	0.2038	0	0.0
C3H4orf36	MINPP1	DN_NC_073227.2_107202270_4	DN_NC_073232.2_99830035_5	genuine	0	0.2167	419	0.2837
C3H4orf36	PDCD5	DN_NC_073227.2_107202270_4	DN_NC_073244.2_43610901_6	genuine	0	0.1448	466	0.3707
C3H4orf36	SEM1	DN_NC_073227.2_107202270_4	DN_NC_073230.2_92132360_3	genuine	0	0.2126	470	0.3182
C3H4orf36	SPC25	DN_NC_073227.2_107202270_4	DN_NC_073235.2_71373985_7	genuine	0	0.1654	469	0.3449
C7H8orf33	LOC129527512	DN_NC_073231.2_150893284_5	DN_NC_073242.2_6296327_3	genuine	0	0.2129	915	0.6145
C9H11orf65	LOC101145464	DN_NC_073233.2_116263271_8	DN_NC_073247.2_147586730_5	genuine	0	0.1376	475	0.1934
C9H11orf65	LOC109023154	DN_NC_073233.2_116263271_8	DN_NC_073239.2_123333523_2	genuine	0	0.1467	497	0.2176
C9H11orf65	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073233.2_116263271_8	genuine	0	0.2508	467	0.3517
C9H11orf65	PDCD5	DN_NC_073233.2_116263271_8	DN_NC_073244.2_43610901_6	genuine	0	0.2665	475	0.3779
C9H11orf65	SPC25	DN_NC_073233.2_116263271_8	DN_NC_073235.2_71373985_7	genuine	0	0.2449	478	0.3515
CAB39L	LOC101133249	DN_NC_073227.2_16860393_3	DN_NC_073238.2_63928303_2	genuine	0	0.1539	0	0.0
CAND2	RPL32	DN_NC_086017.1_22612673_15	DN_NC_086017.1_22648299_4	genuine	0	0.4415	1920	0.4415
CANX	HMGB3	DN_NC_073228.2_183658467_2	DN_NC_073247.2_162650382_5	genuine	0	0.4859	450	0.7031
CAPS2	RAPH1	DN_NC_073234.2_90680832_2	DN_NC_073235.2_106111443_2	genuine	0	0.1834	0	0.0
CARD16	LOC101136563	DN_NC_073233.2_112912081_9	DN_NC_073233.2_112925764_3	genuine	0	0.1444	288	0.1444
CASP3	CGREF1	DN_NC_073227.2_205610166_3	DN_NC_073236.2_112799498_6	genuine	0	0.2026	0	0.0
CCDC152	SELENOP	DN_NC_073243.2_69046517_5	DN_NC_073243.2_69056468_9	TP	0	0.4776	1673	0.4768
CCDC92	IL20RB	DN_NC_073234.2_139370404_3	DN_NC_086017.1_148168205_5	genuine	0	0.1788	820	0.3442
CCNH	RASA1	DN_NC_073228.2_91400267_25	DN_NC_073228.2_91522397_9	genuine	0	0.6116	3641	0.6114
CCPG1	LDLR	DN_NC_073240.2_56108341_2	DN_NC_073244.2_17124484_18	genuine	0	0.1432	0	0.0
CCPG1	PRXL2A	DN_NC_073232.2_92781991_6	DN_NC_073240.2_56108341_2	genuine	0	0.2110	0	0.0
CDK4	TSPAN31	DN_NC_073234.2_43619064_8	DN_NC_073234.2_43623304_5	genuine	0	0.5438	1009	0.5358
CDR2	LOC101131923	DN_NC_073242.2_21170576_8	DN_NC_073242.2_21650759_11	genuine	0	0.3045	891	0.4426
CDRT4	TVP23B	DN_NC_073228.2_81446275_7	DN_NC_073243.2_30823221_7	TP	0	0.2413	1692	0.511
CENPP	IPPK	DN_NC_073237.2_89073528_3	DN_NC_073237.2_89075402_13	TP	0	0.8865	2874	0.8865
CENPU	PRIMPOL	DN_NC_073227.2_205644909_14	DN_NC_073227.2_205687695_12	genuine	0	0.2158	482	0.214
CEP192	LOC129533419	DN_NC_073228.2_182473921_9	DN_NC_073241.2_37141428_27	genuine	0	0.1453	0	0.0
CEP57	MTMR2	DN_NC_073233.2_103702122_11	DN_NC_073233.2_103744968_15	genuine	0	0.5439	2597	0.5439
CEP76	PSMG2	DN_NC_073241.2_37538314_7	DN_NC_073241.2_37560383_12	genuine	0	0.3001	678	0.2988
CGREF1	GGCT	DN_NC_073230.2_37931018_4	DN_NC_073236.2_112799498_6	genuine	0	0.1310	0	0.0
CGREF1	LOC134756666	DN_NC_073235.2_94365284_2	DN_NC_073236.2_112799498_6	genuine	0	0.2135	0	0.0
CGREF1	OTULINL	DN_NC_073236.2_112799498_6	DN_NC_073243.2_97413463_8	genuine	0	0.1568	0	0.0
CHEK2	LOC101136352	DN_NC_073240.2_23210840_6	DN_NC_086018.1_26719433_15	genuine	0	0.2828	700	0.7071
CHEK2	LOC101152610	DN_NC_073240.2_21601841_7	DN_NC_086018.1_26719433_15	TP	0	0.2914	833	0.8668
CHEK2	LOC129527660	DN_NC_073242.2_37476471_6	DN_NC_086018.1_26719433_15	genuine	0	0.3387	700	0.7035
CHM	OPN3	DN_NC_073224.2_13850922_2	DN_NC_073247.2_97674612_15	genuine	0	0.2699	0	0.0
CHRNA3	PCCA	DN_NC_073238.2_114796219_2	DN_NC_073240.2_79492690_6	genuine	0	0.1533	0	0.0
CHST6	TMEM231	DN_NC_073242.2_105982851_4	DN_NC_073242.2_106027382_7	genuine	0	0.5166	1684	0.5206
CKLF	GSTM2	DN_NC_073224.2_130406472_4	DN_NC_073242.2_95678785_4	genuine	0	0.1305	0	0.0
CLMP	LOC101134145	DN_NC_073231.2_53708239_3	DN_NC_073233.2_130995027_7	genuine	0	0.1489	0	0.0
CLN8	METTL2B	DN_NC_073230.2_137552467_7	DN_NC_073231.2_6126395_2	genuine	0	0.1418	0	0.0
CNTNAP3C	LOC101143875	DN_NC_073236.2_33289090_9	DN_NC_073237.2_23692487_10	genuine	0	0.3548	1961	0.7301
CNTNAP3C	LOC115933307	DN_NC_073236.2_33289090_9	DN_NC_073237.2_30061699_3	genuine	0	0.1558	683	0.1744
COG1	SSTR2	DN_NC_073228.2_18779384_3	DN_NC_073228.2_18798859_2	genuine	0	0.5916	1477	0.592
COG1	VCF1	DN_NC_073228.2_18740149_2	DN_NC_073228.2_18761647_14	genuine	0	0.5477	1455	0.5447
COG5	HBP1	DN_NC_073230.2_116119215_11	DN_NC_073230.2_116150343_22	genuine	0	0.4001	1129	0.4005
COPB2	MRPS22	DN_NC_086017.1_150515222_8	DN_NC_086017.1_150527432_22	genuine	0	0.3514	1044	0.3514
COPS9	LOC101145464	DN_NC_073235.2_142785844_3	DN_NC_073247.2_147586730_5	genuine	0	0.1779	477	0.1942
COPS9	LOC109023154	DN_NC_073235.2_142785844_3	DN_NC_073239.2_123333523_2	genuine	0	0.1467	472	0.2067
COPS9	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073235.2_142785844_3	genuine	0	0.3276	426	0.3208
COPS9	LOC129530131	DN_NC_073235.2_142785844_3	DN_NC_073247.2_115708949_2	genuine	0	0.1427	472	0.1545
COPS9	LOC134756589	DN_NC_073234.2_126370406_2	DN_NC_073235.2_142785844_3	genuine	0	0.1538	477	0.1663
COPS9	PDCD5	DN_NC_073235.2_142785844_3	DN_NC_073244.2_43610901_6	genuine	0	0.3405	465	0.3699
COPS9	SEM1	DN_NC_073230.2_92132360_3	DN_NC_073235.2_142785844_3	genuine	0	0.1482	469	0.2405
COPS9	SPC25	DN_NC_073235.2_142785844_3	DN_NC_073235.2_71373985_7	genuine	0	0.2449	468	0.3441
CPSF2	NDUFB1	DN_NC_073239.2_109052370_3	DN_NC_073239.2_109057706_16	genuine	0	0.4806	481	0.4777
CRBN	TRNT1	DN_NC_086017.1_12917334_8	DN_NC_086017.1_12936527_11	genuine	0	0.5988	3568	0.6856
CRMP1	EVC	DN_NC_073227.2_15519199_14	DN_NC_073227.2_15589297_3	TP	0	0.3478	1070	0.3472
CRNKL1	NAA20	DN_NC_073245.2_30021133_6	DN_NC_073245.2_30036345_14	genuine	0	0.8479	3237	0.8458
CS	LOC129532516	DN_NC_073234.2_45066531_11	DN_NC_086017.1_118126676_3	genuine	0	0.1527	2752	0.9173
CTBP1	CTBP2	DN_NC_073227.2_9789563_10	DN_NC_073232.2_137259733_11	genuine	0	0.4268	0	0.0
CTSA	NEURL2	DN_NC_073245.2_58117175_2	DN_NC_073245.2_58118781_15	TP	0	0.8084	1044	0.8099
CTSZ	NELFCD	DN_NC_073245.2_71261640_15	DN_NC_073245.2_71275662_6	genuine	0	0.3816	579	0.3797
CTU2	PIEZO1	DN_NC_073242.2_119293235_15	DN_NC_073242.2_119301617_14	genuine	0	0.1933	1863	0.7143
DAND5	TRDN	DN_NC_073229.2_147682056_8	DN_NC_073244.2_19011585_2	genuine	0	0.1517	0	0.0
DAP3	GON4L	DN_NC_073224.2_100975273_21	DN_NC_073224.2_101136214_11	genuine	0	0.5987	2307	0.8618
DAZ1	DAZL	DN_NC_073248.2_42783128_31	DN_NC_086017.1_26423028_11	genuine	0	0.1417	2047	0.5884
DCAF16	GIMAP4	DN_NC_073227.2_26000468_4	DN_NC_073230.2_159385621_3	genuine	0	0.1528	459	0.1528
DCAF16	LOC101145464	DN_NC_073227.2_26000468_4	DN_NC_073247.2_147586730_5	genuine	0	0.1869	459	0.1869
DCAF16	LOC109023154	DN_NC_073227.2_26000468_4	DN_NC_073239.2_123333523_2	genuine	0	0.1471	459	0.201
DCAF16	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073227.2_26000468_4	genuine	0	0.3502	454	0.3419
DCAF16	LOC129530131	DN_NC_073227.2_26000468_4	DN_NC_073247.2_115708949_2	genuine	0	0.1528	459	0.1528
DCAF16	LOC134756589	DN_NC_073227.2_26000468_4	DN_NC_073234.2_126370406_2	genuine	0	0.1600	459	0.16
DCAF16	NCALD	DN_NC_073227.2_26000468_4	DN_NC_073231.2_107519754_4	genuine	0	0.1512	455	0.1515
DCAF16	NCR3LG1	DN_NC_073227.2_26000468_4	DN_NC_073233.2_23732821_4	genuine	0	0.1522	456	0.1518
DCAF16	PDCD5	DN_NC_073227.2_26000468_4	DN_NC_073244.2_43610901_6	genuine	0	0.3628	456	0.3628
DCAF16	SEM1	DN_NC_073227.2_26000468_4	DN_NC_073230.2_92132360_3	genuine	0	0.1672	460	0.2359
DCAF16	SPC25	DN_NC_073227.2_26000468_4	DN_NC_073235.2_71373985_7	genuine	0	0.2426	459	0.3375
DCAF16	UCHL1	DN_NC_073227.2_26000468_4	DN_NC_073227.2_49278079_9	genuine	0	0.1538	457	0.1522
DCP1B	FRK	DN_NC_073229.2_140139419_8	DN_NC_073234.2_17584207_9	genuine	0	0.1329	0	0.0
DCP1B	LOC129529082	DN_NC_073234.2_17584207_9	DN_NC_073245.2_35160176_6	genuine	0	0.1307	0	0.0
DCP1B	NAP1L3	DN_NC_073234.2_17584207_9	DN_NC_073247.2_105439613_2	genuine	0	0.1329	465	0.1736
DCP1B	NDUFAF2	DN_NC_073234.2_17584207_9	DN_NC_073243.2_49045190_4	genuine	0	0.1804	473	0.216
DCP1B	SLC11A2	DN_NC_073234.2_17584207_9	DN_NC_073234.2_50306180_17	genuine	0	0.1359	0	0.0
DCP1B	SOX30	DN_NC_073228.2_161454333_5	DN_NC_073234.2_17584207_9	genuine	0	0.1326	456	0.1703
DDX11	LOC109029264	DN_NC_073234.2_24978856_8	DN_NC_073234.2_70140848_27	genuine	0	0.2642	263	0.2612
DDX42	FTSJ3	DN_NC_073228.2_28222257_21	DN_NC_073228.2_28230327_9	genuine	0	0.5990	1628	0.5994
DEDD	NIT1	DN_NC_073224.2_95638704_6	DN_NC_073224.2_95648579_7	genuine	0	0.6935	2028	0.6884
DEXI	LOC101149946	DN_NC_073240.2_23725358_9	DN_NC_073242.2_14569289_2	genuine	0	0.5268	1367	0.8729
DEXI	LOC134757265	DN_NC_073240.2_29803770_8	DN_NC_073242.2_14569289_2	genuine	0	0.5268	1349	0.8614
DFFB	PRKAR2A	DN_NC_073224.2_236757333_2	DN_NC_086017.1_58705155_2	genuine	0	0.1507	0	0.0
DHRSX	ZBED1	DN_NC_073247.2_11741821_2	DN_NC_073248.2_9064807_2	genuine	0	0.9634	4332	0.962
DIMT1	KIF2A	DN_NC_073243.2_47785917_12	DN_NC_073243.2_47800408_20	genuine	0	0.7311	2892	0.7301
DLD	EPPIN	DN_NC_073230.2_116851282_14	DN_NC_073245.2_57775599_4	genuine	0	0.1933	0	0.0
DLGAP5	LGALS3	DN_NC_073239.2_72077053_6	DN_NC_073239.2_72093949_19	genuine	0	0.4702	2461	0.4702
DMTF1	LOC115935379	DN_NC_073230.2_101602035_18	DN_NC_073230.2_101646316_2	genuine	0	0.5206	250	0.5144
DMTF1	TMEM243	DN_NC_073230.2_101581724_4	DN_NC_073230.2_101602035_18	genuine	0	0.3955	2073	0.4745
DNAJC14	ORMDL2	DN_NC_073234.2_45531723_7	DN_NC_073234.2_45539357_4	genuine	0	0.5889	1935	0.5889
DNAJC17	GCHFR	DN_NC_073240.2_41471977_3	DN_NC_073240.2_41473848_11	TP	0	0.3242	487	0.3242
DND1	WDR55	DN_NC_073228.2_144514226_7	DN_NC_073228.2_144520267_4	genuine	0	0.6266	958	0.6266
DOCK1	LOC129523564	DN_NC_073227.2_211418821_2	DN_NC_073232.2_139190015_27	genuine	0	0.1337	0	0.0
DOK7	LOC115933190	DN_NC_073227.2_12039502_7	DN_NC_073236.2_24822888_6	genuine	0	0.4664	2628	1.0512
DPY19L2	LOC115935244	DN_NC_073230.2_98668717_3	DN_NC_073234.2_37699488_22	TP	0	0.3401	1199	0.5289
DUSP5	LOC129532115	DN_NC_073224.2_16928217_2	DN_NC_073232.2_122771445_4	genuine	0	0.2144	1267	0.5022
ECI2	LOC101130624	DN_NC_073229.2_21709541_6	DN_NC_073229.2_21735101_10	genuine	0	0.1748	225	0.1725
ECSIT	RPL18A	DN_NC_073244.2_17541226_2	DN_NC_073244.2_24302535_5	genuine	0	0.4925	585	0.8731
EDARADD	ENO1	DN_NC_073224.2_231736369_12	DN_NC_073224.2_25093112_7	genuine	0	0.4376	1549	0.6492
EDARADD	ENO3	DN_NC_073224.2_25093112_7	DN_NC_073243.2_20078090_12	genuine	0	0.5953	0	0.0
EEF1A1	LOC101132881	DN_NC_073229.2_97606864_8	DN_NC_073239.2_98531685_2	genuine	0	0.2109	1419	0.4759
EEF1A1	LOC101148191	DN_NC_073229.2_97606864_8	DN_NC_073230.2_28044538_2	genuine	0	0.1544	835	0.2096
EEF2KMT	LOC101137806	DN_NC_073242.2_8737492_8	DN_NC_086017.1_136773097_2	genuine	0	0.3144	1744	0.631
EFHC2	RRM2	DN_NC_073236.2_129795378_10	DN_NC_073247.2_54705383_3	genuine	0	0.1603	3090	0.9175
EIF1AX	LOC101137900	DN_NC_073238.2_32661686_2	DN_NC_073247.2_30604924_7	TP	0	0.4016	1700	0.8687
EIF2AK4	SRP14	DN_NC_073240.2_40710955_17	DN_NC_073240.2_40740697_5	genuine	0	0.2602	562	0.2589
EIF3E	KHDC1	DN_NC_073229.2_97353754_3	DN_NC_073231.2_114003443_13	genuine	0	0.2398	1498	0.541
EMC3	LOC101151509	DN_NC_086017.1_19795280_8	DN_NC_086017.1_19858571_3	genuine	0	0.2288	0	0.0
EMG1	LPCAT3	DN_NC_073234.2_22631499_6	DN_NC_073234.2_22636891_13	genuine	0	0.2735	1570	0.6022
EML5	ZC3H14	DN_NC_073239.2_105498614_17	DN_NC_073239.2_105549018_9	genuine	0	0.6204	3003	0.6206
ENO1	TMEM237	DN_NC_073224.2_231736369_12	DN_NC_073235.2_104226160_12	genuine	0	0.1446	0	0.0
EP400	LOC101150057	DN_NC_073234.2_147445272_9	DN_NC_073234.2_147580679_4	genuine	0	0.3348	705	0.3352
EPB41	SDHAF4	DN_NC_073224.2_210837399_19	DN_NC_073229.2_94673034_3	genuine	0	0.1362	0	0.0
EPCIP	LOC101137472	DN_NC_073246.2_34687084_3	DN_NC_073246.2_34687085_2	genuine	0	0.9472	2785	1.0277
EPCIP	NABP2	DN_NC_073234.2_45136934_7	DN_NC_073246.2_34687085_2	genuine	0	0.1470	0	0.0
EPPIN	LOC101149946	DN_NC_073240.2_23725358_9	DN_NC_073245.2_57775599_4	genuine	0	0.2055	0	0.0
EPPIN	SDHAF3	DN_NC_073230.2_91654449_3	DN_NC_073245.2_57775599_4	genuine	0	0.1377	0	0.0
ERCC1	POLR1G	DN_NC_073244.2_56915266_3	DN_NC_073244.2_56916454_10	TP	0	0.6722	1593	0.6722
ESRRA	TPTE2	DN_NC_073233.2_72203709_7	DN_NC_073238.2_33853352_3	genuine	0	0.2350	1482	0.5485
ETFDH	PPID	DN_NC_073227.2_179688123_13	DN_NC_073227.2_179727029_10	TP	0	0.3906	1466	0.3861
ETFRF1	KRAS	DN_NC_073234.2_76035232_5	DN_NC_073234.2_76077727_3	genuine	0	0.7239	3275	0.7239
EXOC3L2	TIMM23B	DN_NC_073232.2_65905862_9	DN_NC_073244.2_56720868_3	genuine	0	0.1308	0	0.0
EXOG	RPL18A	DN_NC_073244.2_24302535_5	DN_NC_086017.1_48397256_6	genuine	0	0.4701	582	0.8687
EXOSC3	TRMT10B	DN_NC_073237.2_25172073_4	DN_NC_073237.2_25176692_9	genuine	0	0.6631	2114	0.6631
FAM136A	LOC101147326	DN_NC_073228.2_28439701_5	DN_NC_073236.2_69434930_3	genuine	0	0.4246	1733	0.9543
FAM13C	PHYHIPL	DN_NC_073232.2_56389207_14	DN_NC_073232.2_56509561_5	genuine	0	0.4794	1609	0.4773
FAM200A	LOC101145047	DN_NC_073227.2_23893974_2	DN_NC_073230.2_89274458_2	genuine	0	0.5685	1558	0.6331
FAM228B	FGD3	DN_NC_073236.2_115828789_3	DN_NC_073237.2_89465596_2	genuine	0	0.1568	3390	0.9162
FAM228B	LOC129526638	DN_NC_073236.2_115828789_3	DN_NC_073239.2_70164897_2	genuine	0	0.1656	1362	0.6317
FAM228B	MTHFD2L	DN_NC_073227.2_94499432_2	DN_NC_073236.2_115828789_3	genuine	0	0.3256	2556	0.6271
FAM228B	ZNF626	DN_NC_073236.2_115828789_3	DN_NC_073244.2_27139185_2	genuine	0	0.2572	2308	0.7533
FAM236B	LOC115932943	DN_NC_073247.2_84517974_3	DN_NC_073247.2_84653260_2	genuine	0	0.4391	0	0.0
FAM236B	LOC129530010	DN_NC_073247.2_84517974_3	DN_NC_073247.2_84678651_3	genuine	0	0.6974	468	1.0263
FANCL	VRK2	DN_NC_073236.2_81530457_14	DN_NC_073236.2_81606261_13	genuine	0	0.2704	479	0.2709
