gene_a	gene_b	in_dna_loose	cls	core_recip	aln_frac	fold	residual	up_aln_frac	up_id	down_aln_frac	down_id	max_flank_aln_frac	min_flank_aln_frac	mean_flank_aln_frac	best_flank_id
BEX3	BEX5	0	truthbar	0.1691	0.0000	2	0	NA	NA	NA	NA	NA	NA	NA	NA
BEX3	NXF3	0	genuine	0.1391	0.0000	2	0	NA	NA	NA	NA	NA	NA	NA	NA
BFAR	LOC101150079	1	TP	0.6357	1.0030	3	0	0.259000	1.000000	0.273000	1.000000	0.273000	0.259000	0.266000	1.000000
BIRC2	BIRC3	0	truthbar	0.2775	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BLID	LOC101154388	0	genuine	0.8713	0.8713	1	0	NA	NA	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
BLK	HCK	0	truthbar	0.1480	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BLNK	ZNF518A	0	genuine	0.9746	0.9746	3	0	0.893500	1.000000	NA	NA	0.893500	0.893500	0.893500	1.000000
BLOC1S6	HMGN2	0	genuine	0.1527	0.4889	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BMAL1	BTBD10	0	genuine	0.5174	0.5152	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BMS1	LOC101143777	0	genuine	0.1317	0.3085	0	0	NA	NA	NA	NA	NA	NA	NA	NA
BMS1	LOC101148457	0	genuine	0.1545	0.4509	0	0	NA	NA	NA	NA	NA	NA	NA	NA
BMS1	LOC129524676	0	genuine	0.1696	0.2013	0	0	NA	NA	NA	NA	NA	NA	NA	NA
BMS1	LOC129526479	0	genuine	0.1652	0.3563	0	0	NA	NA	NA	NA	NA	NA	NA	NA
BMS1	LOC134756761	0	genuine	0.1712	0.2019	0	0	NA	NA	NA	NA	NA	NA	NA	NA
BRD1	BRPF1	0	truthbar	0.1857	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BRD3	BRD4	0	genuine	0.2222	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
BRICD5	MLST8	0	genuine	0.2247	0.3912	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BTN1A1	BTN2A2	0	truthbar	0.1411	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BTN2A1	BTN2A2	1	TP	0.2455	0.7791	1	0	0.266000	0.925926	NA	NA	0.266000	0.266000	0.266000	0.925926
BTN3A1	LOC101147830	0	truthbar	0.3390	0.5166	3	0	NA	NA	NA	NA	NA	NA	NA	NA
BTRC	FBXW11	0	truthbar	0.2124	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
BUD31	PTCD1	0	genuine	0.2119	0.2128	3	0	NA	NA	NA	NA	NA	NA	NA	NA
C10H12orf56	OOEP	0	genuine	0.1816	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
C1H1orf146	GLMN	0	genuine	0.5228	0.5228	3	0	NA	NA	NA	NA	NA	NA	NA	NA
C1H1orf56	CDC42SE1	0	genuine	0.5756	0.5760	3	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	LOC101143448	0	genuine	0.1523	0.3142	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	LOC109025730	0	genuine	0.1370	0.3524	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	LOC129533438	0	genuine	0.2038	0.0000	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	MINPP1	0	genuine	0.2167	0.2837	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	PDCD5	0	genuine	0.1448	0.3707	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	SEM1	0	genuine	0.2126	0.3182	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C3H4orf36	SPC25	0	genuine	0.1654	0.3449	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C4A	C4B	1	TP	0.9998	1.0000	0	0	0.755500	0.992409	0.990000	0.995818	0.990000	0.755500	0.872750	0.995818
C7H8orf33	LOC129527512	0	genuine	0.2129	0.6145	1	0	NA	NA	NA	NA	NA	NA	NA	NA
C9H11orf65	LOC101145464	0	genuine	0.1376	0.1934	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C9H11orf65	LOC109023154	0	genuine	0.1467	0.2176	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C9H11orf65	LOC109025730	0	genuine	0.2508	0.3517	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C9H11orf65	PDCD5	0	genuine	0.2665	0.3779	0	0	NA	NA	NA	NA	NA	NA	NA	NA
C9H11orf65	SPC25	0	genuine	0.2449	0.3515	0	0	NA	NA	NA	NA	NA	NA	NA	NA
CAB39L	LOC101133249	0	genuine	0.1539	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CACNB1	CACNB3	0	truthbar	0.2270	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CAMK1	CAMK1G	0	truthbar	0.2976	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CAMK2B	CAMK2G	0	truthbar	0.5365	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CAMK2D	CAMK2G	0	truthbar	0.2228	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CAND2	RPL32	0	genuine	0.4415	0.4415	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CANX	HMGB3	0	genuine	0.4859	0.7031	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CAPS2	RAPH1	0	genuine	0.1834	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CARD16	LOC101136563	0	genuine	0.1444	0.1444	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CASP3	CGREF1	0	genuine	0.2026	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CBR1	CBR3	0	truthbar	0.8453	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CCDC144A	LOC109026769	1	TP	0.3998	1.0048	1	0	0.413000	0.958678	0.441000	0.995714	0.441000	0.413000	0.427000	0.995714
CCDC152	SELENOP	1	TP	0.4776	0.4768	0	0	NA	NA	NA	NA	NA	NA	NA	NA
CCDC92	IL20RB	0	genuine	0.1788	0.3442	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CCL8	LOC101134802	0	truthbar	0.4194	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CCNH	RASA1	0	genuine	0.6116	0.6114	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CCPG1	LDLR	0	genuine	0.1432	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CCPG1	PRXL2A	0	genuine	0.2110	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CCR2	CCR5	0	truthbar	0.1500	0.2522	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CCT6A	CCT6B	0	truthbar	0.4597	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CDK4	TSPAN31	0	genuine	0.5438	0.5358	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CDR2	LOC101131923	0	genuine	0.3045	0.4426	3	0	0.956000	0.986962	NA	NA	0.956000	0.956000	0.956000	0.986962
CDRT4	TVP23B	1	TP	0.2413	0.5110	0	0	0.806500	0.992447	NA	NA	0.806500	0.806500	0.806500	0.992447
CENPP	IPPK	1	TP	0.8865	0.8865	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CENPU	PRIMPOL	0	genuine	0.2158	0.2140	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CEP192	LOC129533419	0	genuine	0.1453	0.0000	4	0	NA	NA	NA	NA	NA	NA	NA	NA
CEP57	MTMR2	0	genuine	0.5439	0.5439	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CEP76	PSMG2	0	genuine	0.3001	0.2988	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CES1	LOC101128088	0	truthbar	0.1437	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CES1	LOC101128458	0	truthbar	0.1437	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CES1	LOC115931015	1	TP	0.7709	0.9729	1	0	0.405000	0.907984	0.324500	0.866142	0.405000	0.324500	0.364750	0.907984
CES1	LOC115931020	0	truthbar	0.1437	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CGREF1	GGCT	0	genuine	0.1310	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CGREF1	LOC134756666	0	genuine	0.2135	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CGREF1	OTULINL	0	genuine	0.1568	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CHD1	CHD2	0	truthbar	0.3211	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CHEK2	LOC101136352	0	genuine	0.2828	0.7071	2	0	NA	NA	0.579000	0.961722	0.579000	0.579000	0.579000	0.961722
CHEK2	LOC101152610	1	TP	0.2914	0.8668	2	0	NA	NA	0.579000	0.959888	0.579000	0.579000	0.579000	0.959888
CHEK2	LOC129527660	0	genuine	0.3387	0.7035	2	0	NA	NA	0.575500	0.949580	0.575500	0.575500	0.575500	0.949580
CHM	OPN3	0	genuine	0.2699	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CHRNA3	PCCA	0	genuine	0.1533	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CHST6	TMEM231	0	genuine	0.5166	0.5206	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CILP	CILP2	0	truthbar	0.1735	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CKB	CKM	0	truthbar	0.6256	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CKLF	GSTM2	0	genuine	0.1305	0.0000	1	1	NA	NA	NA	NA	NA	NA	NA	NA
CLCN3	CLCN5	0	truthbar	0.2517	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CLK1	CLK4	0	truthbar	0.5606	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CLMP	LOC101134145	0	genuine	0.1489	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CLN8	METTL2B	0	genuine	0.1418	0.0000	2	0	NA	NA	NA	NA	NA	NA	NA	NA
CLTC	CLTCL1	0	truthbar	0.8862	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CNPY3	CNPY4	0	truthbar	0.2549	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CNTNAP3C	LOC101143875	0	genuine	0.3548	0.7301	4	0	NA	NA	NA	NA	NA	NA	NA	NA
CNTNAP3C	LOC115933307	0	genuine	0.1558	0.1744	4	0	NA	NA	NA	NA	NA	NA	NA	NA
COG1	SSTR2	0	genuine	0.5916	0.5920	3	0	NA	NA	NA	NA	NA	NA	NA	NA
COG1	VCF1	0	genuine	0.5477	0.5447	3	0	NA	NA	NA	NA	NA	NA	NA	NA
COG5	HBP1	0	genuine	0.4001	0.4005	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL1A1	COL1A2	0	truthbar	0.3536	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL1A1	COL2A1	0	truthbar	0.6005	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL1A1	COL3A1	0	truthbar	0.5071	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL1A2	COL2A1	0	truthbar	0.5323	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL1A2	COL3A1	0	truthbar	0.3528	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL2A1	COL3A1	0	truthbar	0.2938	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COL2A1	COL5A2	0	truthbar	0.3487	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COMP	THBS4	0	truthbar	0.3155	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COPB2	MRPS22	0	genuine	0.3514	0.3514	1	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	LOC101145464	0	genuine	0.1779	0.1942	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	LOC109023154	0	genuine	0.1467	0.2067	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	LOC109025730	0	genuine	0.3276	0.3208	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	LOC129530131	0	genuine	0.1427	0.1545	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	LOC134756589	0	genuine	0.1538	0.1663	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	PDCD5	0	genuine	0.3405	0.3699	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	SEM1	0	genuine	0.1482	0.2405	0	0	NA	NA	NA	NA	NA	NA	NA	NA
COPS9	SPC25	0	genuine	0.2449	0.3441	0	0	NA	NA	NA	NA	NA	NA	NA	NA
CORO1A	CORO1B	0	truthbar	0.4138	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CORO2A	CORO2B	0	truthbar	0.2648	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CPEB2	CPEB4	0	truthbar	0.3725	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CPEB3	CPEB4	0	truthbar	0.3684	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CPLANE1	LOC115933270	1	TP	0.7414	0.8699	3	0	NA	NA	0.779500	0.996983	0.779500	0.779500	0.779500	0.996983
CPNE6	CPNE7	0	truthbar	0.2391	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CPSF2	NDUFB1	0	genuine	0.4806	0.4777	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CRBN	TRNT1	0	genuine	0.5988	0.6856	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CRMP1	DPYSL3	0	truthbar	0.3881	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CRMP1	DPYSL4	0	truthbar	0.5100	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CRMP1	EVC	1	TP	0.3478	0.3472	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CRNKL1	NAA20	0	genuine	0.8479	0.8458	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CS	LOC129532516	0	genuine	0.1527	0.9173	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CSNK1D	CSNK1E	0	truthbar	0.2459	0.0000	3	0	NA	NA	NA	NA	NA	NA	NA	NA
CTBP1	CTBP2	0	genuine	0.4268	0.0000	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CTSA	NEURL2	1	TP	0.8084	0.8099	1	0	NA	NA	NA	NA	NA	NA	NA	NA
CTSV	LOC101145975	0	truthbar	0.3599	0.4764	4	0	NA	NA	NA	NA	NA	NA	NA	NA
CTSV	LOC129523464	0	truthbar	0.3477	0.5631	4	0	NA	NA	NA	NA	NA	NA	NA	NA
