chrom	start	end	best_gene	identity	kind	n_reads	transcribed
NC_073240.2	21154348	21155294	LOC129526802	0.973	pseudogene_copy	32	1
NC_086018.1	30317478	30324084	SHISAL1	0.861	unannotated	31	1
NC_073228.2	79860002	79864358	LOC101125311	0.988	pseudogene_copy	31	1
NC_073231.2	30601553	30604604	SDAD1	0.92	pseudogene_copy	29	1
NC_073239.2	37367056	37382531	LOC101149340	0.957	pseudogene_copy	29	1
NC_073224.2	96557939	96558925	LOC101148649	0.925	pseudogene_copy	28	1
NC_073239.2	37169320	37172521	USP10	0.923	pseudogene_copy	28	1
NC_073228.2	70516268	70532982	LOC129523556	0.981	unannotated	28	1
NC_073224.2	19125421	19135835	LOC129531982	0.987	pseudogene_copy	27	1
NC_073224.2	117447124	117468809	TRIP13	0.984	pseudogene_copy	27	1
NC_073228.2	58000292	58000959	LOC101153278	0.902	pseudogene_copy	27	1
NC_073228.2	61367589	61368007	RPL41	0.974	unannotated	26	1
NC_073230.2	76456695	76459114	LOC115935376	0.984	unannotated	25	1
NC_073228.2	155615323	155615835	RPLP1	0.922	pseudogene_copy	25	1
NC_086017.1	37480688	37484360	TPM4	0.868	pseudogene_copy	24	1
NC_073246.2	37796302	37799662	PPP1R2	0.88	pseudogene_copy	24	1
NC_073230.2	51607750	51614252	YAE1	0.996	pseudogene_copy	23	1
NC_073240.2	24257859	24258908	LOC101134485	0.959	pseudogene_copy	23	1
NC_073237.2	25069675	25071570	TMX2	0.958	pseudogene_copy	23	1
NC_073238.2	31854401	31872598	LOC129523556	0.995	pseudogene_copy	23	1
NC_073232.2	42736953	42737753	RPL17	0.942	unannotated	22	1
NC_073236.2	24785307	24805469	LOC134756753	0.988	pseudogene_copy	22	1
NC_073238.2	8069762	8072659	TINCR	0.976	unannotated	22	1
NC_073238.2	35554085	35556761	ESRRA	0.936	pseudogene_copy	22	1
NC_073229.2	81570939	81835953	PRIM2	0.977	pseudogene_copy	21	1
NC_073227.2	8145653	8175287	NDUFA8	0.981	pseudogene_copy	21	1
NC_073227.2	161166852	161167507	RPL14	0.901	pseudogene_copy	21	1
NC_073230.2	43193976	43196965	GCSH	0.894	pseudogene_copy	21	1
NC_073230.2	73370458	73373165	NMD3	0.803	pseudogene_copy	21	1
NC_073240.2	24176293	24204906	LOC129523579	0.999	pseudogene_copy	21	1
NC_073238.2	33464304	33465250	LOC129526802	0.972	pseudogene_copy	21	1
NC_086018.1	22605253	22606417	LOC129525034	0.954	unannotated	20	1
NC_073229.2	86208768	86211326	LOC115931305	0.984	unannotated	20	1
NC_073239.2	17229606	17232240	COIL	0.92	pseudogene_copy	20	1
NC_073235.2	34370670	34383283	LOC129529220	0.898	unannotated	20	1
NC_073224.2	116445451	116474020	LOC129525691	0.98	pseudogene_copy	19	1
NC_073232.2	92109846	92119121	LOC101141440	0.982	pseudogene_copy	19	1
NC_073248.2	32214889	32267076	ZNF717	0.911	pseudogene_copy	19	1
NC_073240.2	24283445	24283970	LOC129532087	0.922	pseudogene_copy	19	1
NC_073240.2	56096479	56103057	LOC129532506	0.914	unannotated	19	1
NC_073237.2	22959377	22970405	LOC101138622	0.98	pseudogene_copy	19	1
NC_073233.2	102097423	102098255	ARPC3	0.951	pseudogene_copy	18	1
NC_073248.2	45277241	45297429	LOC134756753	0.984	pseudogene_copy	18	1
NC_073224.2	224582004	224582785	CHCHD2	0.949	pseudogene_copy	17	1
NC_073230.2	85344602	85349448	LOC129534752	0.983	pseudogene_copy	17	1
NC_073228.2	49333466	49334541	LOC134758435	0.909	pseudogene_copy	17	1
NC_073229.2	88594081	88596636	LOC115931305	0.981	unannotated	16	1
NC_073247.2	38035463	38038169	RDX	0.924	pseudogene_copy	16	1
NC_073230.2	65268731	65272649	LOC101132213	0.879	pseudogene_copy	16	1
NC_073237.2	134603397	134610470	LOC109025051	0.954	pseudogene_copy	16	1
NC_073242.2	37678869	37710050	LOC129527454	0.982	pseudogene_copy	16	1
NC_073236.2	30993034	31003493	LOC109028162	0.978	pseudogene_copy	16	1
NC_073238.2	8146623	8160821	FGFR3	0.982	pseudogene_copy	16	1
NC_073245.2	69597682	69597985	LOC109029139	0.907	unannotated	16	1
NC_073247.2	50724087	50726355	IMPDH1	0.908	pseudogene_copy	15	1
NC_073235.2	91750552	91751893	KRT18	0.915	pseudogene_copy	15	1
NC_073234.2	72721284	72721778	LOC101152626	0.881	pseudogene_copy	15	1
NC_073240.2	84012814	84020590	LOC101127226	0.993	pseudogene_copy	15	1
NC_073228.2	78846558	78863906	LOC115931727	0.919	unannotated	15	1
NC_073228.2	79873691	79874199	LOC115934569	0.986	pseudogene_copy	15	1
NC_073244.2	70876886	70903422	LOC129532709	0.992	pseudogene_copy	14	1
NC_073230.2	63483238	63484895	TUBB	0.911	pseudogene_copy	14	1
NC_073230.2	168783040	168812577	LOC129525577	0.983	pseudogene_copy	14	1
NC_073238.2	29548696	29566297	LOC129523556	0.995	pseudogene_copy	14	1
NC_073238.2	37224664	37228453	NUS1	0.93	pseudogene_copy	14	1
NC_073238.2	55141829	55142163	LOC109025909	0.908	unannotated	14	1
NC_073224.2	28790054	28849234	LOC129526178	0.983	pseudogene_copy	13	1
NC_073244.2	49301952	49304257	IST1	0.952	pseudogene_copy	13	1
NC_073239.2	37309949	37311677	ACTB	0.904	pseudogene_copy	13	1
NC_073235.2	108733046	108734402	GCSH	0.845	pseudogene_copy	13	1
NC_073232.2	8954675	8955150	LOC101141087	0.883	pseudogene_copy	13	1
NC_073230.2	165519530	165520019	LOC101138287	0.91	pseudogene_copy	13	1
NC_073248.2	46961795	46964805	LOC129526378	0.987	pseudogene_copy	13	1
NC_073240.2	21291648	21294741	RNF145	0.961	pseudogene_copy	13	1
NC_073240.2	23777751	23784610	GOLGA6L7	0.956	pseudogene_copy	13	1
NC_086017.1	209194987	209197067	PPP4R2	0.901	pseudogene_copy	13	1
NC_073236.2	32561590	32572365	LOC101138622	0.992	pseudogene_copy	13	1
NC_073236.2	32574808	32575579	LOC129523556	0.988	pseudogene_copy	13	1
NC_073236.2	139903395	139905204	LOC129533108	0.906	unannotated	13	1
NC_073236.2	140445091	140471531	LOC115933269	0.987	pseudogene_copy	13	1
NC_073238.2	22117317	22122011	LOC129531870	0.966	pseudogene_copy	13	1
NC_073245.2	9956910	9964458	LOC109025132	0.959	pseudogene_copy	13	1
NC_073247.2	59855014	59859960	SALL1	0.895	pseudogene_copy	12	1
NC_073235.2	84433927	84435253	KRT18	0.905	pseudogene_copy	12	1
NC_073240.2	22904219	22905193	LOC101142728	0.943	pseudogene_copy	12	1
NC_073237.2	15482143	15491192	LOC129524426	0.981	pseudogene_copy	12	1
NC_086017.1	211714243	211741116	LOC129532709	0.993	pseudogene_copy	12	1
NC_073241.2	195927	348982	LOC129531205	0.976	pseudogene_copy	12	1
NC_073236.2	29540098	29559846	LOC101128212	0.979	pseudogene_copy	12	1
NC_073236.2	30634775	30634881	LOC129530398	0.981	unannotated	12	1
NC_073236.2	81318964	81320824	IK	0.945	pseudogene_copy	12	1
NC_073238.2	55447032	55447286	LOC101140627	0.898	pseudogene_copy	12	1
NC_073231.2	15723574	15740369	LOC134759064	0.974	unannotated	11	1
NC_073229.2	89909018	89919141	LOC115933154	0.983	pseudogene_copy	11	1
NC_073239.2	124648897	124853026	LOC129523704	0.996	unannotated	11	1
NC_073227.2	211926665	211931348	LOC134758710	0.971	unannotated	11	1
NC_073235.2	31773236	31778735	GNAQ	0.953	pseudogene_copy	11	1
NC_073232.2	65040507	65043097	PGGT1B	0.909	pseudogene_copy	11	1
NC_073230.2	13403813	13427811	PMS2	0.95	pseudogene_copy	11	1
NC_073240.2	103015409	103029480	LOC101139904	0.892	pseudogene_copy	11	1
NC_073242.2	35776572	35777508	LOC134757469	0.977	pseudogene_copy	11	1
NC_073228.2	70258459	70267214	LOC134757820	0.963	unannotated	11	1
NC_073228.2	70538231	70539976	LOC134757042	0.951	unannotated	11	1
NC_086017.1	136766529	136778628	LOC134756549	0.935	pseudogene_copy	11	1
NC_073241.2	24762388	24764510	LOC129529426	0.988	pseudogene_copy	11	1
NC_073236.2	4639763	4654365	FGFR3	0.983	pseudogene_copy	11	1
NC_073238.2	59658658	59662275	LOC115930426	0.974	unannotated	11	1
NC_073238.2	78522987	78524939	LOC101125773	0.976	unannotated	11	1
NC_073245.2	35761235	35778813	LOC115931727	0.951	pseudogene_copy	11	1
NC_073224.2	150568512	150581627	LOC101130426	0.894	pseudogene_copy	10	1
NC_073244.2	54276250	54276768	LOC101139046	0.921	unannotated	10	1
NC_073244.2	69278629	69282107	PTCD3	0.899	pseudogene_copy	10	1
NC_073243.2	112319624	112324411	LOC134758710	0.963	unannotated	10	1
NC_073239.2	81501845	81506076	LOC101140640	0.965	pseudogene_copy	10	1
NC_073239.2	93497013	93498055	RPSA	0.971	pseudogene_copy	10	1
NC_073227.2	164653935	164682389	LOC115932948	0.907	unannotated	10	1
NC_073235.2	89419149	89421428	IMPDH1	0.898	pseudogene_copy	10	1
NC_073235.2	89974856	90088929	PMM2	0.907	unannotated	10	1
NC_073235.2	111763381	111765918	LOC101147661	0.919	pseudogene_copy	10	1
NC_073230.2	80977664	80980082	LOC115935376	0.986	unannotated	10	1
NC_073230.2	158053562	158054724	LOC129525034	0.955	unannotated	10	1
NC_073248.2	15112359	15177769	ZNF717	0.925	pseudogene_copy	10	1
NC_073240.2	85764407	85769389	LOC129523549	0.997	pseudogene_copy	10	1
NC_073237.2	93178426	93180046	MKRN1	0.918	pseudogene_copy	10	1
NC_073228.2	49717574	49718747	LOC101140345	0.946	pseudogene_copy	10	1
NC_086017.1	207215991	207222748	LOC115933999	0.954	pseudogene_copy	10	1
NC_073241.2	26284651	26293703	LOC129524426	0.981	pseudogene_copy	10	1
NC_073231.2	15744598	15752524	LOC134756435	0.939	unannotated	9	1
NC_073224.2	41227951	41234429	LOC129526178	0.978	pseudogene_copy	9	1
NC_086018.1	19835606	19837384	LOC134757042	0.967	unannotated	9	1
NC_073233.2	24596121	24598142	SLC25A51	0.913	pseudogene_copy	9	1
NC_073247.2	92748280	92750889	LOC115931305	0.916	unannotated	9	1
NC_073247.2	115752966	115754058	DPPA3	0.949	pseudogene_copy	9	1
NC_073247.2	157277555	157279396	TRMT1	0.866	pseudogene_copy	9	1
NC_073227.2	17264625	17433979	LOC134756435	0.946	pseudogene_copy	9	1
NC_073235.2	111791440	111794288	PKP4	0.884	pseudogene_copy	9	1
NC_073232.2	51605543	51607888	DBF4	0.923	pseudogene_copy	9	1
NC_073240.2	24415890	24417251	LOC115930126	0.979	pseudogene_copy	9	1
NC_073237.2	112196648	112197190	LOC129526805	0.95	unannotated	9	1
NC_073228.2	45874952	45878419	C4H17orf58	0.87	pseudogene_copy	9	1
NC_086017.1	19832423	19832733	LOC101146129	0.897	pseudogene_copy	9	1
NC_086017.1	195135001	195136745	EEF1A1	0.925	pseudogene_copy	9	1
NC_073236.2	55537355	55538494	FUNDC2	0.919	pseudogene_copy	9	1
NC_073231.2	150997625	151033638	LOC134759133	1.0	unannotated	8	1
NC_073224.2	112890137	112890908	LOC129523556	0.984	unannotated	8	1
NC_073229.2	45626788	45629168	IQCB1	0.864	pseudogene_copy	8	1
NC_073229.2	173772691	173773234	RPS18	0.939	pseudogene_copy	8	1
NC_073239.2	122530270	122534709	ELK1	0.871	pseudogene_copy	8	1
NC_073233.2	11906175	11907521	LOC101134010	0.918	pseudogene_copy	8	1
NC_073247.2	38390101	38390930	VKORC1	0.902	pseudogene_copy	8	1
NC_073247.2	167723291	167732261	LOC101149305	0.991	pseudogene_copy	8	1
NC_073227.2	17508082	17510286	LOC134758236	0.998	unannotated	8	1
NC_073232.2	22191599	22191953	LOC101152497	0.912	unannotated	8	1
NC_073230.2	74042995	74044123	GCSH	0.898	pseudogene_copy	8	1
NC_073230.2	137733471	137742812	LOC115930151	0.973	pseudogene_copy	8	1
NC_073248.2	30183962	30264816	ANOS1	0.945	pseudogene_copy	8	1
NC_073240.2	15946442	15962055	LOC129524662	0.985	unannotated	8	1
NC_073240.2	16446487	16459124	LOC101143341	0.994	pseudogene_copy	8	1
NC_073240.2	20576474	20577523	LOC101134485	0.959	pseudogene_copy	8	1
NC_073240.2	20799435	20806549	GOLM2	0.945	pseudogene_copy	8	1
NC_073240.2	22850676	22861258	LOC115930170	0.985	pseudogene_copy	8	1
NC_073240.2	24213694	24224236	LOC115930170	0.994	pseudogene_copy	8	1
NC_073240.2	38192505	38192974	LOC101140090	0.881	pseudogene_copy	8	1
NC_073240.2	43386733	43387770	LOC115934314	0.927	pseudogene_copy	8	1
NC_073240.2	96079010	96080513	NOP53	0.949	pseudogene_copy	8	1
NC_073240.2	103188341	103273502	LOC134758710	0.973	unannotated	8	1
NC_073228.2	45261883	45265532	ARL17A	0.974	pseudogene_copy	8	1
NC_073228.2	61371891	61382520	LOC109026815	0.974	pseudogene_copy	8	1
NC_073236.2	71630921	71632279	SMIM30	0.883	unannotated	8	1
NC_073238.2	29940390	29941336	LOC129526802	0.972	pseudogene_copy	8	1
NC_073238.2	33138605	33139377	LOC134756395	0.999	pseudogene_copy	8	1
NC_073231.2	11617418	11624774	LOC115932960	0.976	unannotated	7	1
NC_073231.2	22276353	22279383	ABRAXAS1	0.92	pseudogene_copy	7	1
NC_073231.2	34249939	34252112	MAP2K1	0.941	pseudogene_copy	7	1
NC_073224.2	41240109	41251116	LOC129524261	0.973	pseudogene_copy	7	1
NC_073224.2	44958752	44959815	LOC129533119	0.87	unannotated	7	1
NC_073224.2	55898346	55898764	LOC109023382	0.929	pseudogene_copy	7	1
NC_073224.2	201026581	201027456	LOC129526381	0.961	unannotated	7	1
NC_073229.2	74214169	74218109	RCC2	0.88	pseudogene_copy	7	1
NC_073229.2	191686396	191712849	LOC115934925	0.97	pseudogene_copy	7	1
NC_073239.2	87126487	87129318	LOC101154539	0.938	pseudogene_copy	7	1
NC_073233.2	67993718	68031166	MS4A4A	0.865	unannotated	7	1
NC_073227.2	17512819	17515023	LOC134758236	0.998	unannotated	7	1
NC_073227.2	17517554	17520152	LOC134758236	0.998	unannotated	7	1
NC_073227.2	17522293	17524503	LOC134758236	0.997	unannotated	7	1
NC_073227.2	17526729	17530000	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17531468	17534743	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17536519	17539114	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17541253	17543851	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17545990	17548596	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17550430	17553691	LOC129533206	0.997	unannotated	7	1
NC_073227.2	17555159	17558422	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17559890	17563145	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17564907	17567159	LOC129533209	1.0	unannotated	7	1
NC_073227.2	17635671	17638938	LOC129524399	0.998	unannotated	7	1
NC_073227.2	17640406	17643673	LOC129533206	0.999	unannotated	7	1
NC_073227.2	17645454	17648045	LOC134758236	0.998	unannotated	7	1
NC_073227.2	89586665	89601044	LOC101140616	0.956	pseudogene_copy	7	1
NC_073235.2	77795072	77796175	LOC129533119	0.897	unannotated	7	1
NC_073234.2	23860381	23867773	LOC115932960	0.968	unannotated	7	1
NC_073234.2	38358215	38359882	LDHAL6B	0.917	pseudogene_copy	7	1
NC_073232.2	81008755	81009575	LOC101139966	0.951	pseudogene_copy	7	1
NC_073240.2	20602019	20602544	LOC129532087	0.924	pseudogene_copy	7	1
NC_073240.2	35931152	35932223	ANP32A	0.936	pseudogene_copy	7	1
NC_073237.2	16742582	16760065	LOC129529427	0.987	pseudogene_copy	7	1
NC_073237.2	22956165	22956936	LOC129523556	0.993	unannotated	7	1
NC_073242.2	3428175	3448128	LOC129532621	0.984	pseudogene_copy	7	1
NC_073242.2	3449055	3471626	LOC101144932	0.983	pseudogene_copy	7	1
NC_073242.2	117846677	117846997	LOC101146227	0.934	unannotated	7	1
NC_073228.2	185265730	185269487	LOC134757081	0.879	pseudogene_copy	7	1
NC_073241.2	47269631	47270012	LOC134756791	0.892	unannotated	7	1
NC_073236.2	23943625	23954065	LOC134757820	0.937	unannotated	7	1
NC_073236.2	38276514	38280172	RALBP1	0.917	pseudogene_copy	7	1
NC_073238.2	21985925	21986031	LOC129530398	0.991	unannotated	7	1
NC_073245.2	60138090	60151545	LOC134757798	0.822	unannotated	7	1
NC_073246.2	37925284	37925807	LOC101129567	0.941	pseudogene_copy	7	1
NC_073231.2	16794093	16794940	LOC101132345	0.907	pseudogene_copy	6	1
NC_073231.2	16819134	16825917	LOC115936283	0.916	unannotated	6	1
NC_073224.2	55242053	55242637	LOC109025084	0.943	pseudogene_copy	6	1
NC_073244.2	15438582	15446971	LOC134757970	0.994	pseudogene_copy	6	1
NC_073229.2	22320306	22321862	PSMC1	0.939	pseudogene_copy	6	1
NC_073229.2	37321872	37323204	KRT18	0.904	pseudogene_copy	6	1
NC_073229.2	84809030	84809888	RPL7A	0.926	pseudogene_copy	6	1
NC_073229.2	167640594	167642040	LOC109024694	0.889	pseudogene_copy	6	1
NC_073239.2	44184225	44196900	LOC129529220	0.953	unannotated	6	1
NC_073233.2	5885836	6447969	LOC129534177	0.996	unannotated	6	1
NC_073233.2	9854209	9986393	LOC115930184	0.948	pseudogene_copy	6	1
NC_073247.2	80949538	80949960	LOC101127907	0.928	pseudogene_copy	6	1
NC_073227.2	8038576	8118995	LOC129532709	0.99	pseudogene_copy	6	1
NC_073227.2	211331525	211334456	LOC134758710	0.96	unannotated	6	1
NC_073234.2	32384532	32386552	EEF1A1	0.907	pseudogene_copy	6	1
NC_073230.2	6713440	6740023	LOC115933269	0.987	pseudogene_copy	6	1
NC_073240.2	20842813	20845486	LOC129526252	0.898	unannotated	6	1
NC_073240.2	103338910	103359444	LOC129534554	0.994	unannotated	6	1
NC_073242.2	99660481	99677143	LOC129527726	0.996	unannotated	6	1
NC_073242.2	106734273	106734916	RPL18	0.913	pseudogene_copy	6	1
NC_073228.2	84379977	84381947	MEIS3	0.853	pseudogene_copy	6	1
NC_073228.2	128941908	128942892	SMIM30	0.921	unannotated	6	1
NC_086017.1	159338183	159340048	HNRNPA1	0.838	pseudogene_copy	6	1
NC_073238.2	141502	152517	LOC129530595	0.996	pseudogene_copy	6	1
NC_073238.2	39228702	39230624	LOC129526135	0.969	unannotated	6	1
NC_073224.2	5752373	5765371	LOC134756357	0.954	pseudogene_copy	5	1
NC_073224.2	106989948	106990609	LOC101154495	1.0	unannotated	5	1
NC_086018.1	23235423	23238015	LOC101140402	0.894	pseudogene_copy	5	1
NC_073244.2	28413010	28423010	LOC129527512	0.935	unannotated	5	1
NC_073244.2	28671195	28673380	PCGF6	0.967	pseudogene_copy	5	1
NC_073243.2	20249789	20252354	LOC101149014	0.896	unannotated	5	1
NC_073229.2	95257975	95260449	LYPLA1	0.98	pseudogene_copy	5	1
NC_073229.2	95675344	95676762	KRT19	0.91	pseudogene_copy	5	1
NC_073229.2	151542740	151545816	YWHAZ	0.919	pseudogene_copy	5	1
NC_073239.2	11926887	11933146	DOCK11	0.882	pseudogene_copy	5	1
NC_073239.2	37435719	37443176	LOC129532220	0.948	pseudogene_copy	5	1
NC_073233.2	80165775	80166989	U2AF1	0.897	pseudogene_copy	5	1
NC_073247.2	53664339	53666642	IMPDH1	0.883	pseudogene_copy	5	1
NC_073247.2	132850166	132852418	HSPA8	0.932	pseudogene_copy	5	1
NC_073227.2	147668090	147719201	LOC134758964	0.998	unannotated	5	1
NC_073235.2	134117985	134125452	LOC129533540	0.841	unannotated	5	1
NC_073234.2	23917624	23923692	LOC129527542	0.927	unannotated	5	1
NC_073234.2	57702916	57706501	LOC101138975	0.924	pseudogene_copy	5	1
NC_073234.2	116050147	116064115	ERV3-1	0.92	unannotated	5	1
NC_073232.2	26564367	26567133	PRPF38A	0.93	pseudogene_copy	5	1
NC_073230.2	34396371	34397005	LOC101150009	0.889	pseudogene_copy	5	1
NC_073230.2	56669159	56675156	LOC101139443	0.987	pseudogene_copy	5	1
NC_073230.2	73895983	73897825	YWHAE	0.875	pseudogene_copy	5	1
NC_073230.2	74028090	74030821	IGLON5	0.946	pseudogene_copy	5	1
NC_073230.2	138132084	138133316	TPI1	0.899	pseudogene_copy	5	1
NC_073230.2	161274615	161283952	LOC134757075	0.981	unannotated	5	1
NC_073230.2	168849246	168929717	LOC115933269	0.989	pseudogene_copy	5	1
NC_073248.2	16068096	16082416	LOC129530264	0.999	pseudogene_copy	5	1
NC_073248.2	25702473	25716364	LOC129530267	0.991	pseudogene_copy	5	1
NC_073240.2	33353315	33356503	LOC134757308	1.0	pseudogene_copy	5	1
NC_073240.2	90199451	90201044	CAPZA2	0.852	pseudogene_copy	5	1
NC_073237.2	26953031	26961639	LOC101129209	0.888	pseudogene_copy	5	1
NC_073237.2	27002895	27004044	YBX1	0.974	pseudogene_copy	5	1
NC_073242.2	98988047	98990685	NONO	0.963	pseudogene_copy	5	1
NC_073242.2	101765708	101767759	MYCBP	0.929	pseudogene_copy	5	1
NC_073242.2	106201338	106202468	ATP5PB	0.895	pseudogene_copy	5	1
NC_073228.2	120746773	120749496	FBXO28	0.926	pseudogene_copy	5	1
NC_073228.2	131022435	131023929	LOC101141821	0.894	pseudogene_copy	5	1
NC_073236.2	24160371	24173018	LOC101143341	0.994	pseudogene_copy	5	1
NC_073236.2	31005928	31006699	LOC129523556	0.991	pseudogene_copy	5	1
NC_073236.2	31135293	31142215	LOC101137874	0.974	pseudogene_copy	5	1
NC_073238.2	73185615	73188025	LOC101143553	0.943	pseudogene_copy	5	1
NC_073238.2	80820373	80907368	LOC129526805	0.94	unannotated	5	1
NC_073246.2	15979084	15984006	SNX19	0.906	pseudogene_copy	5	1
NC_073231.2	12142336	12145593	SUB1	0.896	pseudogene_copy	4	0
NC_073224.2	107405362	107410824	FAM91A1	0.93	pseudogene_copy	4	0
NC_073244.2	5986995	6032450	LOC134758710	0.975	unannotated	4	0
NC_073244.2	27255543	27263733	LOC129533540	0.934	unannotated	4	0
NC_073229.2	47459461	47460347	RPL7A	0.923	pseudogene_copy	4	0
NC_073229.2	181594944	181597274	HSD17B12	0.903	pseudogene_copy	4	0
NC_073239.2	82908989	82910128	YBX1	0.969	pseudogene_copy	4	0
NC_073239.2	115942179	115945936	PMM2	0.914	unannotated	4	0
NC_073239.2	122667660	122669953	ELK1	0.91	unannotated	4	0
NC_073233.2	121707218	121708607	ATF4	0.941	pseudogene_copy	4	0
NC_073227.2	63573232	63577168	EXOC5	0.908	pseudogene_copy	4	0
NC_073227.2	208928871	208931148	PRDX6	0.858	pseudogene_copy	4	0
NC_073235.2	66772111	66939360	LOC129527394	0.951	unannotated	4	0
NC_073235.2	105923616	105924942	MRPL50	0.909	pseudogene_copy	4	0
NC_073232.2	65031538	65037006	LOC115933075	0.946	pseudogene_copy	4	0
NC_073232.2	146327561	146354117	LOC129532709	0.995	pseudogene_copy	4	0
NC_073230.2	94995784	94998160	NDUFAF4	0.875	pseudogene_copy	4	0
NC_073230.2	138205053	138206782	MAP2K2	0.95	pseudogene_copy	4	0
NC_073248.2	52350437	52367905	LOC129529427	0.983	pseudogene_copy	4	0
NC_073240.2	4670486	4684920	FGFR3	0.982	pseudogene_copy	4	0
