name	chrom	primary	secondary	supplementary	secondary_frac	flagged
FXYD6-FXYD2	chr11	12	0	0	0.0000	0
GET1-SH3BGR	chr21	1	0	0	0.0000	0
GIMAP1-GIMAP5	chr7	0	0	0		0
GJA9-MYCBP	chr1	229	0	0	0.0000	0
GPR75-ASB3	chr2	1	0	0	0.0000	0
GUCA1ANB-GUCA1A	chr6	2	0	0	0.0000	0
HNRNPUL2-BSCL2	chr11	35	0	0	0.0000	0
HOXA10-HOXA9	chr7	1	0	0	0.0000	0
HSPB2-C11orf52	chr11	0	0	0		0
HSPE1-MOB4	chr2	1	0	0	0.0000	0
IFNAR2-IL10RB	chr21	4	0	0	0.0000	0
INMT-MINDY4	chr7	4	0	0	0.0000	0
INO80B-WBP1	chr2	0	0	0		0
INS-IGF2	chr11	0	0	0		0
IQCJ-SCHIP1	chr3	0	0	0		0
ISY1-RAB43	chr3	3	0	0	0.0000	0
JMJD7-PLA2G4B	chr15	2	0	0	0.0000	0
KLRC4-KLRK1	chr12	3	0	0	0.0000	0
KYAT1-SPOUT1	chr9	3	0	0	0.0000	0
LINC00680-GUSBP4	chr6	1	0	0	0.0000	0
LINC02210-CRHR1	chr17	2	0	0	0.0000	0
LY6G6F-LY6G6D	chr6	3	0	0	0.0000	0
LY75-CD302	chr2	3	0	0	0.0000	0
LYNX1-SLURP2	chr8	0	0	0		0
LYPLA1-TCEA1	chr8	83	0	0	0.0000	0
MIA-RAB4B	chr19	0	0	0		0
MICOS10-NBL1	chr1	0	0	0		0
MMP24-AS1-EDEM2	chr20	4	0	0	0.0000	0
MPV17L-BMERB1	chr16	2	0	0	0.0000	0
MROH7-TTC4	chr1	158	0	0	0.0000	0
MSANTD3-TMEFF1	chr9	4	0	0	0.0000	0
NDUFC2-KCTD14	chr11	0	0	0		0
NEDD8-MDP1	chr14	11	0	0	0.0000	0
NME1-NME2	chr17	10	0	0	0.0000	0
NPHP3-ACAD11	chr3	0	0	0		0
NT5C1B-RDH14	chr2	291	0	0	0.0000	0
P3R3URF-PIK3R3	chr1	294	0	0	0.0000	0
PDCD6-AHRR	chr5	2	0	0	0.0000	0
PEDS1-UBE2V1	chr20	6	0	0	0.0000	0
PHOSPHO2-KLHL23	chr2	5	0	0	0.0000	0
PIR-FIGF	chrX	6	0	0	0.0000	0
PMF1-BGLAP	chr1	8	0	0	0.0000	0
POC1B-DUSP6	chr12	4	0	0	0.0000	0
PPAN-P2RY11	chr19	6	0	0	0.0000	0
PPIP5K1P1-CATSPER2	chr15	6	0	0	0.0000	0
PPT2-EGFL8	chr6	52	0	0	0.0000	0
PRH1-PRR4	chr12	16	0	0	0.0000	0
PRORP-PSMA6	chr14	4	0	0	0.0000	0
PRR5-ARHGAP8	chr22	1	0	0	0.0000	0
PTGES3L-AARSD1	chr17	51	0	0	0.0000	0
RAB4B-EGLN2	chr19	11	0	0	0.0000	0
RAD51L3-RFFL	chr17	3	0	0	0.0000	0
RAET1E-LRP11	chr6	2	0	0	0.0000	0
RBAK-RBAKDN	chr7	0	0	0		0
RBM14-RBM4	chr11	4	0	0	0.0000	0
RBM27-POU4F3	chr5	0	0	0		0
RIPPLY2-CYB5R4	chr6	4	0	0	0.0000	0
RNASEK-C17orf49	chr17	22	0	0	0.0000	0
RNF103-CHMP3	chr2	11	0	0	0.0000	0
RPL17-C18orf32	chr18	21	0	0	0.0000	0
RPL36A-HNRNPH2	chrX	0	0	0		0
RPS10-NUDT3	chr6	0	0	0		0
RTEL1-TNFRSF6B	chr20	47	0	0	0.0000	0
SAA2-SAA4	chr11	2	0	0	0.0000	0
SENP3-EIF4A1	chr17	4	0	0	0.0000	0
SEPT5-GP1BB	chr22	351	0	0	0.0000	0
SERF2-C15ORF63	chr15	0	0	0		0
SETDB2-PHF11	chr13	1	0	0	0.0000	0
SLC35D2-HSD17B3	chr9	4	0	0	0.0000	0
SLCO1B3-SLCO1B7	chr12	1	0	0	0.0000	0
SMURF2P1-LRRC37BP1	chr17	286	0	1	0.0000	0
SOGA3-KIAA0408	chr6	509	0	1	0.0000	0
SPECC1L-ADORA2A	chr22	0	0	0		0
SPESP1-NOX5	chr15	19	0	0	0.0000	0
SPICE1-CFAP44	chr3	1	0	0	0.0000	0
ST20-MTHFS	chr15	0	0	0		0
ST6GALNAC4-ST6GALNAC6-AK1	chr9	75	0	0	0.0000	0
STAG3L5P-PVRIG2P-PILRB	chr7	1503	0	0	0.0000	0
STIMATE-MUSTN1	chr3	0	0	0		0
STON1-GTF2A1L	chr2	6	0	0	0.0000	0
STX16-NPEPL1	chr20	0	0	0		0
SUGT1P4-STRA6LP	chr9	85	0	0	0.0000	0
SUGT1P4-STRA6LP-CCDC180	chr9	23	0	0	0.0000	0
SYNJ2BP-COX16	chr14	0	0	0		0
SYS1-DBNDD2	chr20	19	0	0	0.0000	0
TBC1D3P1-DHX40P1	chr17	0	0	0		0
TBC1D7-LOC100130357	chr6	0	0	0		0
TBCEL-TECTA	chr11	58	0	0	0.0000	0
TEN1-CDK3	chr17	77	0	0	0.0000	0
TGIF2-RAB5IF	chr20	0	0	0		0
TLCD4-RWDD3	chr1	16	0	0	0.0000	0
TM4SF19-DYNLT2B	chr3	2	0	0	0.0000	0
TMED7-TICAM2	chr5	28	0	0	0.0000	0
TMEM256-PLSCR3	chr17	0	0	0		0
TMEM276-ZFTRAF1	chr8	4	0	0	0.0000	0
TMX2-CTNND1	chr11	0	0	0		0
TNFAIP8L2-SCNM1	chr1	0	0	0		0
TNFSF12-TNFSF13	chr17	0	0	0		0
TPD52-MRPS28	chr8	0	0	0		0
TPTEP2-CSNK1E	chr22	6	0	0	0.0000	0
TRIM39-RPP21	chr6	122	0	0	0.0000	0
TRIM59-IFT80	chr3	15	0	0	0.0000	0
TRIM6-TRIM34	chr11	31	0	0	0.0000	0
TSC22D4-C7ORF61	chr7	3	0	0	0.0000	0
TSNAX-DISC1	chr1	12	0	0	0.0000	0
TVP23C-CDRT4	chr17	0	0	0		0
UBE2F-SCLY	chr2	1	0	0	0.0000	0
URGCP-MRPS24	chr7	1	0	0	0.0000	0
ZFP91-CNTF	chr11	14	0	0	0.0000	0
ZHX1-C8orf76	chr8	5	0	0	0.0000	0
ZNF286A-TBC1D26	chr17	0	0	0		0
ZNF511-PRAP1	chr10	0	0	0		0
ZNF559-ZNF177	chr19	49	0	0	0.0000	0
ZNF625-ZNF20	chr19	0	0	0		0
ZNF660-ZNF197	chr3	1	0	0	0.0000	0
ZNF664-RFLNA	chr12	1	0	0	0.0000	0
ZNF670-ZNF695	chr1	0	0	0		0
ZNF71-SMIM17	chr19	1	0	0	0.0000	0
ZNF765-ZNF761	chr19	3	0	0	0.0000	0
ZNF8-ERVK3-1	chr19	64	0	0	0.0000	0
