gene_a	gene_b	cls	in_ep	core	bridge_dn_a	bridge_dn_b	mask_a	mask_b	bridge_mask
ACADL	SMYD3	genuine	0						
ACADL	SPATA33	genuine	0						
ACADL	SPC25	genuine	0	0.1610	DN_NC_073235.2_112807340_11	DN_NC_073235.2_71373985_7	0.3029	0.4132	0.4132
ACADL	THNSL1	genuine	0						
ACADL	TMEM38B	genuine	0						
ACADL	TSPAN8	genuine	0						
ACADL	UCHL1	genuine	0						
ACAT2	TCP1	genuine	0	0.1573	DN_NC_073229.2_183992530_9	DN_NC_073229.2_184008587_12	0.0635	0.0449	0.0635
ACO2	POLR3H	genuine	0	0.2132	DN_NC_086018.1_39469630_18	DN_NC_086018.1_39525778_6	0.0728	0.0518	0.0728
ACOT4	ACOT6	truthbar	1						
ACOT4	CDKN2AIPNL	genuine	0						
ACOT6	CDKN2AIPNL	genuine	0	0.1320	DN_NC_073228.2_138307166_3	DN_NC_073239.2_90471291_2	0.4691	0.2657	0.4691
ACOT9	LOC129525165	genuine	0	0.1880	DN_NC_073232.2_145623155_3	DN_NC_073247.2_34199522_16	0.2373	0.2501	0.2501
ACOT9	SLC35F6	genuine	0						
ACP1	ALKAL2	genuine	0	0.8616	DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	0.1440	0.1211	0.1440
ACSBG1	IDH3A	TP	0	0.5137	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	0.0698	0.0605	0.0698
ACSL3	ACSL4	truthbar	1	0.1790	DN_NC_073235.2_125539339_16	DN_NC_073247.2_121395319_16	0.1388	0.1322	0.1388
ACSM1	LOC129528956	genuine	0	0.1515	DN_NC_073242.2_20304889_2	DN_NC_073244.2_28133171_2	0.1629	0.1964	0.1964
ACSM1	LOC134757664	genuine	0						
ACTA2	ACTB	truthbar	1	0.6390	DN_NC_073230.2_12962256_6	DN_NC_073232.2_101260375_9	0.1127	0.0404	0.1127
ACTA2	ACTG1	truthbar	1	0.6350	DN_NC_073228.2_10434405_6	DN_NC_073232.2_101260375_9	0.0385	0.0404	0.0404
ACTB	ACTG1	TP	1	0.5384	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	0.0385	0.1127	0.1127
ACTL6A	MRPL47	genuine	0	0.4282	DN_NC_086017.1_190656695_14	DN_NC_086017.1_190680196_7	0.1383	0.2165	0.2165
ACTN1	ACTN3	truthbar	1	0.3588	DN_NC_073233.2_74467231_21	DN_NC_073239.2_85769342_21	0.0168	0.0866	0.0866
ACTN1	ACTN4	truthbar	1	0.6757	DN_NC_073239.2_85769342_21	DN_NC_073244.2_50412691_21	0.0866	0.0805	0.0866
ACTN3	ACTN4	truthbar	1	0.7921	DN_NC_073233.2_74467231_21	DN_NC_073244.2_50412691_21	0.0168	0.0805	0.0805
ADA	PKIG	genuine	0	0.2136	DN_NC_073245.2_56763975_4	DN_NC_073245.2_56852545_12	0.0430	0.0315	0.0430
ADAM29	LOC101154164	truthbar	1	0.3251	DN_NC_073227.2_195911333_4	DN_NC_073239.2_87316371_2	0.0665	0.0710	0.0710
ADAT1	LOC109026802	genuine	0	0.2491	DN_NC_073228.2_185199640_2	DN_NC_073242.2_106088342_11	0.4280	0.3729	0.4280
ADAT1	SMIM15	genuine	0						
ADGRF5	LOC109023105	genuine	0	0.2208	DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	0.0714	0.1398	0.1398
ADH1B	LOC101136823	TP	1	0.3518	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	0.2359	0.1016	0.2359
ADORA1	CHIT1	genuine	0	0.4714	DN_NC_073224.2_53524414_11	DN_NC_073224.2_53535059_3	0.0195	0.0387	0.0387
AFG3L2	TUBB6	genuine	0	0.2395	DN_NC_073241.2_37890028_17	DN_NC_073241.2_37935842_4	0.0760	0.3383	0.3383
AK6	TAF9B	genuine	0	0.3182	DN_NC_073243.2_40875168_3	DN_NC_073247.2_89808941_7	0.0552	0.1683	0.1683
AKR1B10	LOC115935241	TP	1	0.4206	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	0.3018	0.0738	0.3018
AKR1C3	LOC129525965	genuine	0						
AKR1C3	LOC129532059	genuine	0						
AKR1C3	LOC129532348	genuine	0						
AKR1C3	PASD1	genuine	0						
AKR1C3	RTP4	genuine	0						
AKR7A2	LOC115933748	TP	1	0.7366	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	0.0305	0.2469	0.2469
AKT1	AKT2	truthbar	1	0.2018	DN_NC_073239.2_121772610_13	DN_NC_073244.2_51984253_14	0.0666	0.1000	0.1000
AKTIP	RBL2	genuine	0	0.3117	DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	0.0990	0.2095	0.2095
ALB	AVEN	genuine	0	0.1543	DN_NC_073227.2_93560991_18	DN_NC_073240.2_34703303_6	0.1899	0.3271	0.3271
ALDH1B1	ALDH2	truthbar	1	0.4238	DN_NC_073234.2_127179897_13	DN_NC_073237.2_24562366_2	0.1566	0.1689	0.1689
ALDH1B1	LOC115935842	TP	1	0.3444	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	0.1603	0.1689	0.1689
ALDH1B1	LOC129524687	TP	1	0.8829	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	0.1663	0.1547	0.1663
ALDH1L1	ALDH1L2	truthbar	1	0.5237	DN_NC_073234.2_120456173_23	DN_NC_086017.1_136950625_23	0.0436	0.0043	0.0436
ALDH2	LOC115935842	truthbar	1						
ALDH2	LOC129524687	truthbar	1	0.2743	DN_NC_073234.2_127179897_13	DN_NC_073237.2_31692944_2	0.1566	0.1547	0.1566
ALG1	EEF2KMT	genuine	0						
ALG1	LOC101125415	genuine	0						
ALG1	LOC101133440	genuine	0						
ALG1	LOC101137806	genuine	0						
ALG1	LOC101139163	genuine	0	0.1538	DN_NC_073242.2_8725127_13	DN_NC_086017.1_141278779_5	0.0363	0.0477	0.0477
ALG1	LOC101152938	genuine	0	0.1724	DN_NC_073233.2_75718276_6	DN_NC_073242.2_8725127_13	0.0604	0.0363	0.0604
ALG1	LOC115934341	genuine	0						
ALG10	ALG10B	TP	1	0.5702	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	0.2850	0.2430	0.2850
ALG1L1P	LOC101127338	genuine	0	0.6561	DN_NC_086017.1_134833806_5	DN_NC_086017.1_136815000_6	0.0498	0.0020	0.0498
AMN1	ETFBKMT	genuine	0	0.6472	DN_NC_073234.2_69501458_7	DN_NC_073234.2_69557459_4	0.1214	0.3050	0.3050
AMPD2	AMPD3	truthbar	1	0.1647	DN_NC_073224.2_130449319_18	DN_NC_073233.2_16844162_15	0.0386	0.0587	0.0587
AMY2A	KRBOX5	genuine	0						
AMY2A	LOC101123988	genuine	0						
AMY2A	LOC101124778	genuine	0						
AMY2A	LOC101126065	genuine	0						
AMY2A	LOC101128106	genuine	0						
AMY2A	LOC101128844	genuine	0						
AMY2A	LOC101129171	genuine	0						
AMY2A	LOC101130023	genuine	0						
AMY2A	LOC101133546	genuine	0						
AMY2A	LOC101133668	genuine	0						
AMY2A	LOC101136009	genuine	0						
AMY2A	LOC101137462	genuine	0						
AMY2A	LOC101141027	genuine	0						
AMY2A	LOC101142646	genuine	0						
AMY2A	LOC101144119	genuine	0						
AMY2A	LOC101144471	genuine	0						
AMY2A	LOC101144838	genuine	0						
AMY2A	LOC101145945	genuine	0						
AMY2A	LOC101146634	genuine	0						
AMY2A	LOC101147715	genuine	0						
AMY2A	LOC101150965	genuine	0						
AMY2A	LOC101151892	genuine	0						
AMY2A	LOC101152401	genuine	0						
AMY2A	LOC101153126	genuine	0						
AMY2A	LOC101153131	genuine	0						
AMY2A	LOC109024216	genuine	0						
AMY2A	LOC109026610	genuine	0						
AMY2A	LOC115930172	genuine	0						
AMY2A	LOC115931567	genuine	0						
AMY2A	LOC115931568	genuine	0						
AMY2A	LOC115931576	genuine	0						
AMY2A	LOC115931654	genuine	0						
AMY2A	LOC115931857	genuine	0						
AMY2A	LOC129527827	genuine	0						
AMY2A	LOC129528947	genuine	0						
AMY2A	OSBPL10	genuine	0						
AMY2A	ZNF141	genuine	0						
AMY2A	ZNF195	genuine	0						
AMY2A	ZNF254	genuine	0						
AMY2A	ZNF267	genuine	0						
AMY2A	ZNF273	genuine	0						
AMY2A	ZNF28	genuine	0						
AMY2A	ZNF347	genuine	0						
AMY2A	ZNF415	genuine	0						
AMY2A	ZNF429	genuine	0						
AMY2A	ZNF43	genuine	0						
AMY2A	ZNF430	genuine	0						
AMY2A	ZNF468	genuine	0						
AMY2A	ZNF480	genuine	0						
AMY2A	ZNF486	genuine	0						
AMY2A	ZNF506	genuine	0						
AMY2A	ZNF519	genuine	0						
AMY2A	ZNF528	genuine	0						
AMY2A	ZNF578	genuine	0						
AMY2A	ZNF595	genuine	0						
AMY2A	ZNF600	genuine	0						
AMY2A	ZNF611	genuine	0						
AMY2A	ZNF616	genuine	0						
AMY2A	ZNF626	genuine	0						
AMY2A	ZNF655	genuine	0						
AMY2A	ZNF675	genuine	0						
AMY2A	ZNF678	genuine	0						
AMY2A	ZNF680	genuine	0						
AMY2A	ZNF681	genuine	0						
AMY2A	ZNF682	genuine	0						
AMY2A	ZNF695	genuine	0						
AMY2A	ZNF701	genuine	0						
AMY2A	ZNF721	genuine	0						
AMY2A	ZNF723	genuine	0						
AMY2A	ZNF727	genuine	0						
AMY2A	ZNF736	genuine	0						
AMY2A	ZNF761	genuine	0						
AMY2A	ZNF766	genuine	0						
AMY2A	ZNF8	genuine	0						
AMY2A	ZNF808	genuine	0						
AMY2A	ZNF813	genuine	0						
AMY2A	ZNF83	genuine	0						
AMY2A	ZNF836	genuine	0						
AMY2A	ZNF841	genuine	0						
AMY2A	ZNF888	genuine	0	0.1698	DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	0.1511	0.4244	0.4244
AMY2A	ZNF91	genuine	0						
AMY2A	ZNF92	genuine	0						
AMZ2	LOC101129405	genuine	0	0.1651	DN_NC_073228.2_23742950_7	DN_NC_073228.2_27022347_6	0.0752	0.0778	0.0778
ANKRD18A	ANKRD18B	TP	1	0.2528	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	0.1510	0.1933	0.1933
ANKRD18A	FOXO1	genuine	0						
ANKRD18A	LOC101142783	TP	1	0.3383	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	0.1510	0.1295	0.1510
ANKRD18A	LOC101147259	TP	1						
ANKRD18A	LOC115933254	TP	1	0.2170	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	0.0838	0.1510	0.1510
ANKRD18A	LOC129524732	genuine	0						
ANKRD18B	FOXO1	genuine	0						
ANKRD18B	LOC101142783	TP	1	0.5768	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	0.1295	0.1933	0.1933
ANKRD18B	LOC101147259	TP	1	0.2605	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	0.1933	0.2186	0.2186
ANKRD18B	LOC115933254	TP	1	0.5644	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	0.1595	0.1933	0.1933
ANKRD18B	LOC129524732	genuine	0						
ANKRD36C	ANKRD62	genuine	0						
ANKRD36C	LOC101125154	truthbar	1	0.1925	DN_NC_073236.2_33699714_3	DN_NC_073236.2_35163364_4	0.5403	0.5830	0.5830
ANKRD36C	LOC109025523	TP	1	0.5033	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	0.1204	0.1464	0.1464
ANKRD37	UFSP2	genuine	0	0.2174	DN_NC_073227.2_206378182_5	DN_NC_073227.2_206379213_12	0.0464	0.1900	0.1900
ANKRD6	LYRM2	genuine	0	0.6194	DN_NC_073229.2_113642543_16	DN_NC_073229.2_113787300_3	0.1408	0.2837	0.2837
ANKRD62	LOC109025523	genuine	0	0.2212	DN_NC_073236.2_35320202_37	DN_NC_073241.2_38130293_13	0.1464	0.1629	0.1629
ANO1	ANO2	truthbar	1	0.2128	DN_NC_073233.2_78027084_24	DN_NC_073234.2_21213540_25	0.0602	0.0331	0.0602
ANO1	DFFB	genuine	0						
ANO1	MTHFD2	genuine	0						
ANO1	MTHFD2L	genuine	0						
ANO1	PRKAR2A	genuine	0	0.1371	DN_NC_073233.2_78071205_2	DN_NC_086017.1_58705155_2	0.2901	0.6819	0.6819
ANO1	PRKAR2B	genuine	0						
AP1B1	AP2B1	truthbar	1	0.4286	DN_NC_073228.2_57285795_22	DN_NC_086018.1_27357888_21	0.0566	0.0312	0.0566
AP1M1	AP1M2	truthbar	1	0.3873	DN_NC_073244.2_16606086_12	DN_NC_073244.2_22635247_12	0.0633	0.0463	0.0633
AP1S2	BDP1	genuine	0	0.2271	DN_NC_073243.2_40339828_3	DN_NC_073247.2_26298821_5	0.2051	0.1709	0.2051
AP2A1	AP2A2	truthbar	1	0.2691	DN_NC_073233.2_7370930_22	DN_NC_073244.2_59973129_7	0.0276	0.2243	0.2243
APBA2	APBA3	truthbar	1	0.1630	DN_NC_073240.2_29886021_14	DN_NC_073244.2_9529410_11	0.0386	0.1298	0.1298
APOBEC3C	APOBEC3D	genuine	0	0.2709	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37016890_4	0.3990	0.2651	0.3990
APOBEC3C	APOBEC3F	genuine	0	0.3030	DN_NC_086018.1_37016890_4	DN_NC_086018.1_37043543_7	0.2651	0.4450	0.4450
APOBEC3D	APOBEC3F	TP	1	0.3807	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	0.3990	0.4450	0.4450
APOL2	APOL3	truthbar	1	0.3708	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34223461_5	0.0792	0.1408	0.1408
APOL2	APOL4	truthbar	1						
APOL2	LOC109024811	genuine	0						
APOL2	LOC115934372	genuine	0						
APOL2	LOC129526178	genuine	0						
APOL2	LOC129527096	genuine	0						
APOL2	PP2D1	genuine	0						
APOL2	RAB5A	genuine	0						
APOL3	APOL4	truthbar	1	0.2863	DN_NC_086018.1_34137538_4	DN_NC_086018.1_34186611_4	0.0792	0.3524	0.3524
APOL3	LOC109024811	genuine	0						
APOL3	LOC115934372	genuine	0						
APOL3	LOC129526178	genuine	0						
APOL3	LOC129527096	genuine	0						
APOL3	PP2D1	genuine	0						
APOL3	RAB5A	genuine	0						
APOL4	LOC109024811	genuine	0						
APOL4	LOC115934372	genuine	0						
APOL4	LOC129526178	genuine	0						
APOL4	LOC129527096	genuine	0	0.2801	DN_NC_073240.2_41396094_2	DN_NC_086018.1_34186611_4	0.8061	0.3524	0.8061
APOL4	PP2D1	genuine	0						
APOL4	RAB5A	genuine	0						
ARFGEF1	ARFGEF2	truthbar	1	0.2362	DN_NC_073231.2_53153474_12	DN_NC_073245.2_61178675_39	0.1039	0.0922	0.1039
ARHGEF39	CCDC107	genuine	0	0.4694	DN_NC_073237.2_27307884_9	DN_NC_073237.2_27311993_5	0.1613	0.0475	0.1613
ARHGEF4	SPATA13	genuine	0	0.2424	DN_NC_073235.2_32368514_11	DN_NC_073238.2_38585508_10	0.0484	0.1325	0.1325
ARID1A	ARID1B	truthbar	1	0.2719	DN_NC_073224.2_213161178_3	DN_NC_073229.2_181371301_3	0.1197	0.1602	0.1602
ARL17A	LOC101128092	genuine	0						
ARL17A	LOC101135168	genuine	0	0.5577	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45710800_6	0.0831	0.0627	0.0831
ARL17A	LOC115933002	genuine	0						
ARL17A	LOC115934626	genuine	0	0.4194	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45948292_6	0.0831	0.1392	0.1392
ARL17A	LOC115934680	genuine	0						
ARL17A	LRRC37A3	genuine	0						
ARRB1	ARRB2	truthbar	1	0.5264	DN_NC_073233.2_83154693_15	DN_NC_073243.2_19834097_15	0.0650	0.0645	0.0650
ASB6	NTMT1	TP	0	0.7080	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	0.3435	0.1574	0.3435
ASNS	LOC129531864	genuine	0	0.2269	DN_NC_073230.2_90977223_13	DN_NC_073236.2_31570340_7	0.0322	0.3205	0.3205
ASNS	LOC129531867	genuine	0						
ATP12A	ATP1A1	truthbar	1						
ATP12A	ATP1A2	truthbar	1	0.2964	DN_NC_073224.2_96681549_23	DN_NC_073238.2_38964005_23	0.0789	0.0468	0.0789
ATP12A	ATP1A3	truthbar	1	0.5263	DN_NC_073238.2_38964005_23	DN_NC_073244.2_53573424_23	0.0468	0.0417	0.0468
ATP1A1	ATP1A2	truthbar	1	0.5176	DN_NC_073224.2_120787661_19	DN_NC_073224.2_96681549_23	0.0491	0.0789	0.0789
ATP1A1	ATP1A3	truthbar	1	0.8895	DN_NC_073224.2_120787661_19	DN_NC_073244.2_53573424_23	0.0491	0.0417	0.0491
ATP1A2	ATP1A3	truthbar	1	0.4359	DN_NC_073224.2_96681549_23	DN_NC_073244.2_53573424_23	0.0789	0.0417	0.0789
ATP2A1	ATP2A2	truthbar	1	0.4375	DN_NC_073234.2_125738330_13	DN_NC_073242.2_29733807_20	0.0795	0.0363	0.0795
ATP2B3	ATP2B4	truthbar	1	0.3204	DN_NC_073224.2_53012398_21	DN_NC_073247.2_165220768_21	0.0660	0.0348	0.0660
ATP5ME	PDE6B	genuine	0	0.2016	DN_NC_073227.2_9231816_7	DN_NC_073227.2_9238554_4	0.2942	0.2339	0.2942
ATP6V0A2	TCIRG1	truthbar	1	0.1467	DN_NC_073233.2_75965332_20	DN_NC_073234.2_139148650_20	0.0291	0.1554	0.1554
ATP6V1C2	PDIA6	TP	0	0.3828	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	0.2220	0.1221	0.2220
ATP9A	ATP9B	truthbar	1	0.3714	DN_NC_073241.2_108384307_29	DN_NC_073245.2_63862966_28	0.0501	0.1002	0.1002
ATPSCKMT	CAB39L	genuine	0						
ATPSCKMT	LOC101133249	genuine	0	0.1790	DN_NC_073227.2_16860393_3	DN_NC_073243.2_101845354_5	0.6879	0.5295	0.6879
ATPSCKMT	LOC109024404	genuine	0						
ATPSCKMT	LOC109026441	genuine	0						
ATPSCKMT	MCFD2	genuine	0						
AUNIP	MTFR1L	genuine	0	0.7245	DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	0.2668	0.2956	0.2956
B3GAT2	SMAP1	genuine	0	0.4622	DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	0.0789	0.0914	0.0914
B3GNTL1	TBCD	genuine	0	0.5383	DN_NC_073228.2_8941710_13	DN_NC_073228.2_9043620_39	0.0223	0.0314	0.0314
BBIP1	PDCD4	genuine	0	0.6716	DN_NC_073232.2_123144734_12	DN_NC_073232.2_123171879_4	0.2000	0.2595	0.2595
BCR	LOC101132434	TP	0	0.3002	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	0.0508	0.0684	0.0684
BCR	LOC101135843	TP	0	0.2560	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	0.0684	0.0671	0.0684
BCR	LOC115932815	TP	0	0.2679	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	0.0684	0.0584	0.0684
BEX1	BEX2	truthbar	1	0.3416	DN_NC_073247.2_114842677_3	DN_NC_073247.2_115094764_3	0.0277	0.0333	0.0333
BEX3	BEX5	truthbar	1	0.1691	DN_NC_073247.2_113936318_3	DN_NC_073247.2_115162367_2	0.0662	0.0936	0.0936
BEX3	NXF3	genuine	0	0.1391	DN_NC_073247.2_114994295_3	DN_NC_073247.2_115162367_2	0.1420	0.0936	0.1420
BEX5	NXF3	genuine	0						
BFAR	LOC101150079	TP	1	0.6357	DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	0.1754	0.1901	0.1901
BIRC2	BIRC3	truthbar	1	0.2775	DN_NC_073233.2_110213303_8	DN_NC_073233.2_110238282_9	0.1944	0.0966	0.1944
BLID	LOC101154388	genuine	0	0.8713	DN_NC_073233.2_130017597_2	DN_NC_073233.2_130017597_4	0.2029	0.1491	0.2029
BLK	HCK	truthbar	1	0.1480	DN_NC_073231.2_12364354_11	DN_NC_073245.2_44289870_13	0.0201	0.0364	0.0364
BLK	LCK	truthbar	1						
BLNK	ZNF518A	genuine	0	0.9746	DN_NC_073232.2_108425417_2	DN_NC_073232.2_108425608_2	0.0940	0.1005	0.1005
BLOC1S6	HMGN2	genuine	0	0.1527	DN_NC_073224.2_213462039_6	DN_NC_073240.2_46341896_2	0.1189	0.1013	0.1189
BLOC1S6	LOC129533754	genuine	0						
BMAL1	BTBD10	genuine	0	0.5174	DN_NC_073233.2_19708960_19	DN_NC_073233.2_19815473_9	0.1033	0.1118	0.1118
BMS1	EXOC3L2	genuine	0						
BMS1	LOC101132325	genuine	0						
BMS1	LOC101136036	genuine	0						
BMS1	LOC101143777	genuine	0	0.1317	DN_NC_073232.2_42022900_16	DN_NC_073232.2_72618921_23	0.0983	0.1926	0.1926
BMS1	LOC101148457	genuine	0	0.1545	DN_NC_073232.2_72618921_23	DN_NC_086018.1_19844955_6	0.1926	0.5974	0.5974
BMS1	LOC109025592	genuine	0						
BMS1	LOC115933090	genuine	0						
BMS1	LOC129524676	genuine	0	0.1696	DN_NC_073232.2_72618921_23	DN_NC_073237.2_22957046_5	0.1926	0.2889	0.2889
BMS1	LOC129525008	genuine	0						
BMS1	LOC129526479	genuine	0	0.1652	DN_NC_073232.2_72618921_23	DN_NC_073238.2_29552503_8	0.1926	0.4889	0.4889
BMS1	LOC134756761	genuine	0	0.1712	DN_NC_073232.2_72618921_23	DN_NC_073236.2_30994185_5	0.1926	0.2807	0.2807
BMS1	MKRN1	genuine	0						
BMS1	TIMM23B	genuine	0						
BMS1	TOR3A	genuine	0						
BMS1	TRAF5	genuine	0						
BRD1	BRPF1	truthbar	1	0.1857	DN_NC_086017.1_19569853_12	DN_NC_086018.1_47820238_12	0.0380	0.0471	0.0471
BRD3	BRD4	genuine	0	0.2222	DN_NC_073237.2_130396115_12	DN_NC_073244.2_21687258_9	0.1488	0.0532	0.1488
BRICD5	MLST8	genuine	0	0.2247	DN_NC_073242.2_5822452_9	DN_NC_073242.2_5827060_6	0.0857	0.0466	0.0857
BTN1A1	BTN2A1	truthbar	1						
BTN1A1	BTN2A2	truthbar	1	0.1411	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44179535_6	0.1799	0.0195	0.1799
BTN2A1	BTN2A2	TP	1	0.2455	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44135507_8	0.1799	0.1164	0.1799
BTN3A1	LOC101147830	truthbar	1	0.3390	DN_NC_073229.2_44079934_10	DN_NC_073229.2_44118209_11	0.1404	0.0990	0.1404
BTRC	FBXW11	truthbar	1	0.2124	DN_NC_073228.2_175667319_12	DN_NC_073232.2_113619502_15	0.1088	0.0772	0.1088
BUD31	PTCD1	genuine	0	0.2119	DN_NC_073230.2_89389986_8	DN_NC_073230.2_89408091_6	0.1863	0.0316	0.1863
C10H12orf56	OOEP	genuine	0	0.1816	DN_NC_073229.2_97456874_3	DN_NC_073234.2_36991193_12	0.0673	0.0718	0.0718
C1H1orf146	GLMN	genuine	0	0.5228	DN_NC_073224.2_147663563_19	DN_NC_073224.2_147715668_5	0.1671	0.3287	0.3287
C1H1orf56	CDC42SE1	genuine	0	0.5756	DN_NC_073224.2_105776266_5	DN_NC_073224.2_105784199_2	0.1259	0.0904	0.1259
C3H4orf36	C9H11orf65	genuine	0						
C3H4orf36	CCDC152	genuine	0						
C3H4orf36	COPS9	genuine	0						
C3H4orf36	DCAF16	genuine	0						
C3H4orf36	GIMAP4	genuine	0						
C3H4orf36	KLHL33	genuine	0						
C3H4orf36	LIPA	genuine	0						
C3H4orf36	LOC101126025	genuine	0						
C3H4orf36	LOC101143448	genuine	0	0.1523	DN_NC_073227.2_107202270_4	DN_NC_073240.2_21986088_4	0.3974	0.2448	0.3974
C3H4orf36	LOC101145464	genuine	0						
C3H4orf36	LOC109023154	genuine	0						
C3H4orf36	LOC109024560	genuine	0						
C3H4orf36	LOC109025730	genuine	0	0.1370	DN_NC_073224.2_123525276_5	DN_NC_073227.2_107202270_4	0.4684	0.3974	0.4684
C3H4orf36	LOC109028669	genuine	0						
C3H4orf36	LOC129530096	genuine	0						
C3H4orf36	LOC129530131	genuine	0						
C3H4orf36	LOC129533438	genuine	0	0.2038	DN_NC_073224.2_219630924_4	DN_NC_073227.2_107202270_4	0.1855	0.3974	0.3974
C3H4orf36	LOC134756589	genuine	0						
C3H4orf36	LRFN5	genuine	0						
C3H4orf36	MINPP1	genuine	0	0.2167	DN_NC_073227.2_107202270_4	DN_NC_073232.2_99830035_5	0.3974	0.2283	0.3974
C3H4orf36	MMP24OS	genuine	0						
C3H4orf36	NCALD	genuine	0						
C3H4orf36	NCR3LG1	genuine	0						
C3H4orf36	NFXL1	genuine	0						
C3H4orf36	OXCT1	genuine	0						
