gene_id	name	chrom	start	end	strand	project_level1	project_level2	dishuck_group	dishuck_evidence	agreement	notes
GeneID:440345	NPIPB4	chr16	22359822	22382362	+	NPIPB	B3-5	paralog=B4; isoseq_group=B3-5; subfamily=NPIPB	p12 Fig1A B4; p14 Fig3A bar B4 at 22.367 Mb (+7 kb); p14 Fig3E B4; p16 Fig4B B4	same	
GeneID:100132247	NPIPB5	chr16	22781607	22814310	+	NPIPB	B3-5	paralog=B35L1; isoseq_group=B3-5; subfamily=NPIPB	p14 Fig3A bar B35L1 at 22.806 Mb (+24 kb); p14 Fig3E CHM13 track B35L1; p16 Fig4A window B35L1; but p12 Fig1A and p16 Fig4B label this copy "B3"	renamed	RefSeq symbol B5; the paper names it B35L1 (phylogenetic, Figs 2/3/4A) or B3 (GRCh38 best-match naming, Figs 1A/4B); never B5; group B3-5 unchanged
GeneID:728741	NPIPB6	chr16	28623033	28645151	-	NPIPB	B6-9	paralog=B7; isoseq_group=B6-9; subfamily=NPIPB	p12 Fig1A B7; p14 Fig3A bar B7 at 28.631 Mb (+7 kb); p14 Fig3D CHM13 track B7; p16 Fig4C B7	renamed	RefSeq symbol B6 but Dishuck paralog B7; group B6-9 unchanged; CHM13 has no phylogenetic B6 copy
GeneID:440350	NPIPB7	chr16	28737009	28778611	-	NPIPB	B6-9	paralog=B9L1; isoseq_group=B6-9; subfamily=NPIPB	p14 Fig3A bar B9L1 at 28.746 Mb (+9 kb); p14 Fig3D B9L1; p16 Fig4A/4C B9L1; p12 Fig1A labels it "B9"	renamed	RefSeq symbol B7 but Dishuck B9L1 (GRCh38-name layer: B9); B9L1 is inside the B6-9 clade (p13 Fig2A); intron trees place it outside {NPIPB6,B8,B9} = Dishuck B7 (supported in 24/30 leave-out trees)
GeneID:728734	NPIPB8	chr16	28928825	28939457	+	NPIPB	B6-9	paralog=B7; isoseq_group=B6-9; subfamily=NPIPB	p12 Fig1A B7; p14 Fig3A bar B7 at 28.929 Mb (+1 kb); p14 Fig3D B7; p16 Fig4C B7	renamed	RefSeq symbol B8 but Dishuck paralog B7; group B6-9 unchanged
GeneID:100507607	NPIPB9	chr16	29016081	29053452	+	NPIPB	B6-9	paralog=B7; isoseq_group=B6-9; subfamily=NPIPB	p12 Fig1A B7; p14 Fig3A bar B7 at 29.036 Mb (+19 kb); p14 Fig3D B7; p16 Fig4C B7	renamed	RefSeq symbol B9 but Dishuck paralog B7; group B6-9 unchanged
GeneID:730153	NPIPB10P	chr16	29318968	29333452	+	NPIPB	B10	paralog=B10; isoseq_group=B10; subfamily=NPIPB	p12 Fig1A B10; p14 Fig3A bar B10 at 29.325 Mb (+6 kb); p16 Fig4C B10; p6 text NPIPB10P = B10	same	
GeneID:728888	NPIPB11	chr16	29663351	29688504	-	NPIPB	B11	paralog=B11; isoseq_group=B11; subfamily=NPIPB	p12 Fig1A B11; p14 Fig3A bar B11 at 29.672 Mb (+9 kb); p16 Fig4C B11	same	
GeneID:440353	NPIPB12	chr16	29765318	29788442	-	NPIPB	B12/13	paralog=B12/B13 (figure label B12); isoseq_group=B12/13; subfamily=NPIPB	p12 Fig1A B12; p14 Fig3A bar B12 at 29.778 Mb (+13 kb); p16 Fig4C B12; p3 text B12/B13 is one phylogenetic group	same	B12/B13 is the only project level-2 group that is also one of the paper's 28 phylogenetic groups
GeneID:124907834	LOC124907834	chr16	30507434	30529793	-	-	-	paralog=B12/B13 (figure label B13); isoseq_group=B12/13; subfamily=NPIPB	p12 Fig1A B13 (first of B13,B13 block, 104 kb spacing); p14 Fig3A bar B13 at 30.511 Mb (+4 kb); p16 Fig4C B13 highlight at 30.50 Mb	not_in_truth	RefSeq description "B13-like" (transcribed pseudogene); omitted by the NPIP* name filter; B12/13 group has 3 CHM13 copies, not 2
GeneID:613037	NPIPB13	chr16	30609397	30634670	-	NPIPB	B12/13	paralog=B12/B13 (figure label B13); isoseq_group=B12/13; subfamily=NPIPB	p12 Fig1A B13 (second); p14 Fig3A bar B13 at 30.617 Mb (+8 kb); p16 Fig4C B13 highlight at 30.60 Mb	same	
GeneID:109729168	NPIPB14P	chr16	75785806	75805631	-	NPIPB	B14	paralog=B14; isoseq_group=B14; subfamily=NPIPB	p12 Fig1A B14 (16q); p6 text NPIPB14P = B14; p13 Fig2B B14 fixed 1 copy	same	outside Fig3A (16p only); overlapped by PDXDC2P-NPIPB14P readthrough
GeneID:440348	NPIPB15	chr16	80194084	80209885	+	NPIPB	B15	paralog=B15; isoseq_group=B15; subfamily=NPIPB	p12 Fig1A B15 (first of three, ~115 kb spacing); p16 Fig4D B15 highlight at 80.21 Mb	same	B15 has 3 CHM13 copies; the truth makes it a singleton
GeneID:124907808	LOC124907808	chr16	80308277	80324260	+	-	-	paralog=B15; isoseq_group=B15; subfamily=NPIPB	p12 Fig1A B15 (second); p16 Fig4D B15 highlight at 80.33 Mb	not_in_truth	protein_coding LOC "NPIP family member B15"; omitted by the NPIP* name filter; per-copy label from gene-name figures only (Fig3A does not cover 16q); {NPIPB15,LOC124907808,LOC124907807} is a supported clade in 30/30 leave-out intron trees
GeneID:124907807	LOC124907807	chr16	80421482	80438591	+	-	-	paralog=B15; isoseq_group=B15; subfamily=NPIPB	p12 Fig1A B15 (third); p16 Fig4D B15 highlight at 80.44 Mb	not_in_truth	as LOC124907808
GeneID:729602	NPIPB1P	chr18	11781941	11796470	-	NPIPB	B1	paralog=B1; isoseq_group=B1; subfamily=NPIPB	p12 Fig1A B1 (chr18); p6 text NPIPB1P = B1, the only chr18 paralog	same	
