fam	n	exit	reads_in_units	assigned	tied	amb	q60	q60_assigned	q60_agree	qlow	qlow_assigned	elapsed	rss_mb	forecast_unassignable
fam_MCL4_073244	15	exit=0	1618	1063	210	345	1618	1063	1063	0	0	273.18	2113	0
fam_MCL51_073242	4	exit=0	481	62	266	153	444	61	61	37	1	15.28	752	0
fam_MCL54_073242	4	exit=0	779	299	20	460	594	232	232	185	67	20.83	337	3
fam_MCL58_073242	3	exit=0	421	19	354	48	324	0	0	97	19	7.01	628	2
fam_MCL61_073242	2	exit=0	2	1	0	1	0	0	0	2	1	2.08	257	2
fam_MCL65_073244	2	exit=0	94	0	92	2	93	0	0	1	0	86.29	611	0
fam_MCL67_073242	2	exit=0	183	170	0	13	183	170	170	0	0	2.0	257	0
fam_MCL68_073242	3	exit=0	9	3	0	6	9	3	3	0	0	0.57	257	0
fam_MCL69_073244	2	exit=0	42	31	6	5	37	30	30	5	1	6.87	159	2
fam_MCL6_073244	7	exit=0	1396	630	456	310	1396	630	630	0	0	327.91	1325	0
fam_MCL71_073244	2	exit=0	17	0	13	4	17	0	0	0	0	0.23	159	1
fam_MCL75_073241	2	exit=0	1	0	0	1	1	0	0	0	0	2.59	227	0
fam_MCL7_073242	11	exit=0	696	252	70	374	601	232	232	95	20	73.95	845	5
fam_MCL83_073242	2	exit=0	31	14	5	12	31	14	14	0	0	0.56	257	0
fam_MCL86_073242	3	exit=0	1048	740	2	306	1012	727	727	36	13	16.33	558	0
fam_MCL87_073242	2	exit=0	1025	916	9	100	1017	913	913	8	3	14.44	257	0
fam_MCL88_073242	3	exit=0	2364	1991	0	373	2347	1982	1982	17	9	54.11	344	3
fam_MCL89_073242	2	exit=0	7	3	0	4	7	3	3	0	0	0.77	257	2
fam_MCL8_073244	3	exit=0	12	1	3	8	12	1	1	0	0	1.11	220	0
fam_MCL90_073242	2	exit=0	17	3	8	6	10	0	0	7	3	11.48	356	0
fam_MCL94_073242	2	exit=0	1069	837	86	146	1066	837	837	3	0	12.6	257	0
fam_MCL95_073242	3	exit=0	2830	35	2722	73	2762	35	35	68	0	9.84	338	2
fam_MCL96_073242	3	exit=0	1006	747	31	228	897	717	717	109	30	52.71	733	3
fam_MCL9_073244	9	exit=0	876	203	640	33	876	203	203	0	0	420.12	1963	0
