stage	name	gate_status	env_flag	direction	what_it_rejects	file_anchor
junctions	skip_junction_mini_exon_rejection	default_off_optin	RUSTLE_SKIP_JCT_REJECT	precision	Long-intron junctions (D,A) when sub-junctions (D,A') and (D'',A) with min_ratio=10x support (A' < D'' mini-exon) exist; rejects the long junction to bypass false mini-exons	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/graph_build.rs:1050-1117
junctions	spurious_mini_exon_rejection	default_off_optin	RUSTLE_SPURIOUS_ME_REJECT	precision	Sub-junctions (D,A') and (D'',A) when high-support long junction (D,A) exists with reads_long > min_ratio * reads_sub (default min_ratio=10); demotes both sub-junctions	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/graph_build.rs:1132-1209
junctions	pair_witness_junction_filter	default_off_optin	RUSTLE_PAIR_WITNESS	sensitivity	Multi-exon transcripts (>= 3 exons) whose consecutive junction pairs lack witness in junction_pair_stats (read co-occurrence count); requires RUSTLE_PAIR_WITNESS=1 env flag to enable	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:2911-2949
junctions	min_junction_support_filter	default_off_optin	RUSTLE_MIN_JUNC_SUPPORT	sensitivity	Multi-exon transcripts whose weakest junction has < min_reads support (checked via nreads_good); unless longcov >= cov_exemption_threshold (default 10) or guide-derived	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:8963-9042
junctions	isofrac_longunder_filter	default_off_optin	RUSTLE_ENABLE_ISOFRAC_LONGUNDER	sensitivity	Multi-exon transcripts with longcov < isofrac * (sum of overlapping multi-exon longcov) (default isofrac=0.01); exempts guide/oracle/rescue-derived transcripts	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7001-7068
graph_bundle	Alt-junction coalescing (weak sibling demotion)	default_off_optin	RUSTLE_ALT_JUNC_COALESCE	precision	Weak alt-donor and alt-acceptor junctions with low read support that cluster near high-read canonical junctions; demotes them so they don't create separate graph-node boundaries	graph_build.rs:891
graph_bundle	Skip-junction rejection (mini-exon bypass)	default_off_optin	RUSTLE_SKIP_JCT_REJECT	precision	Long-intron junctions (D,A) when high-support mini-exon sub-junctions (D,A') and (D'',A) exist with reads >= min_ratio*long_reads; demotes the skip junction	graph_build.rs:900
graph_bundle	Spurious mini-exon rejection	default_off_optin	RUSTLE_SPURIOUS_ME_REJECT	precision	Low-support sub-junctions (D,A') and (D'',A) when a high-support long junction (D,A) already spans the mini-exon; demotes both sub-junctions	graph_build.rs:908
graph_bundle	Graph-level alt-junction coalescing (weak donors/acceptors in node-building)	default_off_optin	RUSTLE_GRAPH_ALT_COALESCE	precision	Alt-donor and alt-acceptor coordinates at graph-node boundaries that cluster within N bp of canonical junctions with < min_ratio reads; prevents creation of separate graph nodes	graph_build.rs:1297
graph_bundle	Longtrim strict read-boundary thresholds	default_off_optin	RUSTLE_LONGTRIM_STRICT_LEND	precision	Lend events with < RUSTLE_LONGTRIM_STRICT_MIN_READS (default 5.0) accumulated reads or tmpcov < RUSTLE_LONGTRIM_STRICT_MIN_TMPCOV (default 20.0); stricter than default (3.0 reads, 25.0 tmpcov)	graph_build.rs:2448
graph_bundle	Longtrim ratio gate (coverage-contrast ratio filtering)	default_off_optin	RUSTLE_LONGTRIM_RATIO_GATE	precision	Source-trim (lstart) splits where avg_left / avg_right >= threshold (default 0.2), and sink-trim (lend) splits where avg_right / avg_left >= threshold; gates on 50bp window coverage ratio	graph_build.rs:2717
graph_bundle	Bundle-building strict coverage boundaries	default_off_optin	RUSTLE_CGROUP_STRICT_BOUNDARIES	precision	Group boundary extensions (start/end) that violate hard-boundary markers (hardstart/hardend set from read alignment endpoints); prevents merging of groups separated by marked boundaries	bundle_builder.rs:17
graph_bundle	Bundle merge hard-boundary veto	default_off_optin	RUSTLE_MERGE_HARD_BOUNDARY_VETO	precision	Merging of close groups when either group is marked with hardstart/hardend during merge_close_groups; prevents collapsing read-aligned boundary markers	bundle_builder.rs:55
graph_bundle	Zero-width node compaction	hardcoded	RUSTLE_COMPACT_ZW_NODES_OFF	sensitivity	Empty graph nodes [X,X) created by coincident junction donor/acceptor events; merges them via transitive closure to reduce over-segmentation	graph_build.rs:2974
graph_bundle	Micro-exon (CHI_THR=50bp) filtering in bundle groups	hardcoded	none	sensitivity	Exons < 50bp or (long-read AND < 50bp AND < 50% of read length) lacking good junctions on both sides; trims small terminal exons from bundles	bundle_builder.rs:472
graph_bundle	Junction mmcount<0 demotion (layer 2.5 shadow)	default_on_optout	RUSTLE_KEEP_MM_NEG	precision	Junctions with nreads_good < 5 and consleft=0 (non-canonical) that don't coordinate with surviving junctions; demotes so they don't create node boundaries	graph_build.rs:1269
graph_bundle	Coverage-link recursion through zero-coverage nodes	default_on_optout	RUSTLE_COVLINK_RECURSE_ZERO_OFF	both	Source/sink edge decisions that don't recurse through zero-coverage phantom nodes to find true ancestor coverage; makes source/sink edge addition stricter by detecting hidden high-coverage parents	graph_build.rs:146
transfrags	KEEPTRF_RET2_LEGACY strict guard	default_on_optout	RUSTLE_KEEPTRF_RET2_LEGACY	precision	In ret=2 (kept extends past tf), when RUSTLE_KEEPTRF_RET2_LEGACY=1 is set, refuses to fold any transfrag with a hard/long boundary (hardstart/hardend or longstart/longend), which is stricter than StringTie's rlink.cpp:5736-5749 that has NO such inner guard	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transfrag_process.rs:1784
transfrags	SHORT_TF_STRICT keeptrf gate	default_off_optin	RUSTLE_SHORT_TF_STRICT	precision	When RUSTLE_SHORT_TF_STRICT=1 (opt-in), for transfrags with ≤2 nodes, requires BOTH boundary evidence (longstart and longend), preventing short mid-chain transfrags from becoming keeptrf seeds	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transfrag_process.rs:2449-2462
transfrags	FLOW_SUBSEQ_PROTECT transfrag depletion	default_on_optout	RUSTLE_FLOW_SUBSEQ_PROTECT_OFF	precision	Default ON: prevents depletion of transfrags whose intron chain is NOT a contiguous subsequence of the flow path (catches skip-cassette variants with different junctions than the path). StringTie's rlink.cpp:8627-8665 has NO subseq protection and depletes every transfrag with flow>0. Opt-out via RUSTLE_FLOW_SUBSEQ_PROTECT_OFF=1	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/max_flow.rs:643-665, 996-1008, 1882-1907
transfrags	FULL_CHAIN_WITNESS K-intron window witness	default_on_optout	RUSTLE_FULL_CHAIN_WITNESS_OFF	precision	Default ON: requires full K-intron windows (default K=4) to be witnessed by at least one transfrag or collectively tiled by multiple reads with ≥1 intron overlap or ≤max_gap introns gap (default gap=2 pre-predcluster, 0 post-predcluster). StringTie has no equivalent. Catches chimeric chains whose K-intron windows lack read support. Opt-out via RUSTLE_FULL_CHAIN_WITNESS_OFF=1	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/pipeline.rs:7720-7810, 15238-15250
transfrags	FULL_CHAIN_WITNESS_TERMINAL_STRICT	default_off_optin	RUSTLE_FULL_CHAIN_WITNESS_TERMINAL_STRICT	precision	When RUSTLE_FULL_CHAIN_WITNESS_TERMINAL_STRICT=1 (opt-in), enforces strict K-window witness check on terminal windows (first and last K-windows). Default behavior skips terminal windows when n_windows ≥ 3 to relax graph-derived 5'/3' boundary junctions. Stricter mode checks all windows	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:6898, 6951
transfrags	FULL_CHAIN_WITNESS_SINGLE_ONLY	default_off_optin	RUSTLE_FULL_CHAIN_WITNESS_SINGLE_ONLY	precision	When RUSTLE_FULL_CHAIN_WITNESS_SINGLE_ONLY=1 (opt-in), requires K-intron windows to be witnessed by a SINGLE read rather than allowing collective tiling from multiple reads. Stricter than default collective mode	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:6920
transfrags	FULL_CHAIN_WITNESS_GAP coverage tolerance	config_param	RUSTLE_FULL_CHAIN_WITNESS_GAP	precision	Tunable max intron gap allowed between tiled read segments in collective witness mode (default 2 pre-predcluster, 0 post-predcluster). Smaller values (down to 0) strictly require direct consecutive coverage without jumping over unwitnessed skip junctions	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:6917
transfrags	FULL_CHAIN_WITNESS_K window size	config_param	RUSTLE_FULL_CHAIN_WITNESS_K	both	Tunable minimum K consecutive introns required for full-chain witness validation (default 4). Larger K values are stricter and catch longer unchained windows	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:6910
transfrags	TERMINAL_EDGE_INJECT synthesis	default_off_optin	RUSTLE_TERMINAL_EDGE_INJECT	sensitivity	When RUSTLE_TERMINAL_EDGE_INJECT=1 (opt-in), synthesizes source/sink helper edges for real transfrags lacking direct connectivity to source/sink. StringTie's futuretr adds these unconditionally; Rustle's default skips them. This opt-in adds edges more aggressively than default Rustle behavior	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transfrag_process.rs:1682-1688
transfrags	TRFLONG_PASS2_OFF seed selection	default_on_optout	RUSTLE_TRFLONG_PASS2_OFF	precision	Default ON (Pass 2 enabled): adds complete or guide transfrags as seeds even when incomplete (rlink.cpp:6470-6477). With RUSTLE_TRFLONG_PASS2_OFF=1 (opt-out), skips Pass 2 and includes only incomplete non-guide seeds, being stricter about what becomes a seed (parity experiments only)	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transfrag_process.rs:2708
transfrags	TRFLONG_SINK_COMPLETION boundary walk	default_off_optin	RUSTLE_TRFLONG_SINK_COMPLETION	sensitivity	When RUSTLE_TRFLONG_SINK_COMPLETION=1 (opt-in), allows transfrags' last nodes to reach sink via forward-chain walk (indirect hardend/sink reachability). Default OFF matches StringTie; enabled mode is more lenient (sensitivity), not stricter. NOT a stricter option	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transfrag_process.rs:2716
pred_filters	Survival gate (cov/readthr/length)	hardcoded	none	both	Predictions with coverage < 1.0 (READTHR) or exonic_len < 200bp; guides exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/predcluster_st.rs:165-180
pred_filters	Retained intron (lowintron-gated)	default_on_optout	RUSTLE_RI_ZERO_INTRON_LOW (disables zero-intron gate)	precision	Contained predictions whose exons bridge a low-coverage intron of a higher-cov container; gates on per-base coverage mask; guides exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/predcluster_st.rs:274-276
pred_filters	Included drop (pairwise containment)	hardcoded	none	both	Contained multi-exon predictions i (cov_i <= cov_j * 0.5); introns(i) subset of introns(j), significant overlap required; guides exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/predcluster_st.rs:277-291
pred_filters	Isofrac longunder (per-maxint, long-read only)	default_on_optout	RUSTLE_PREDCLUSTER_ST (gates entire ST-faithful path, default OFF)	both	Multi-exon predictions cov < isofraclong * max(usedcov, multicov); coverage-gated isofraclong (0.005-0.01); guides exempt; single-exon: cov < isofraclong * usedcov	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/predcluster_st.rs:302-304
pred_filters	Isofrac filter (pre-predcluster, legacy)	default_on_optout	RUSTLE_ISOFRAC_TLEN_NORM, RUSTLE_ISOFRAC_ST_COV, RUSTLE_ISOFRAC_TLEN_EXP, RUSTLE_ISOFRAC_PER_MAXINT (tuning flags); isofrac param passed in	both	Predictions cov < effective_frac * max_cov (single-exon) or multicov (multi-exon); isofrac and single_exon_stricter params; coverage-scaled isofrac for high-cov; synthetic exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:603-723
pred_filters	Low-coverage singleton chains	default_off_optin	RUSTLE_FILTER_LOW_COV_SINGLETONS (set to threshold value to enable; default 2.0)	precision	Multi-exon transcripts with coverage < 1.0 whose intron chain appears only once at locus; guides, multi-instance chains, shared-locus chains exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:9063-9177
pred_filters	Chimeric zero-novel (requires ref GTF)	default_off_optin	RUSTLE_CHIMERA_FILTER_GTF=/path; RUSTLE_DISABLE_CHIMERA_FILTER=1 to disable	precision	Multi-exon predictions with zero novel introns that are chimeric combinations (introns from disjoint ref-tx groups); guides, oracle, ref-chain-rescue exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7191-7266
pred_filters	Zero-novel proper subset (requires ref GTF)	default_off_optin	RUSTLE_CHIMERA_FILTER_GTF=/path; RUSTLE_DISABLE_SUBSET_FILTER=1 to disable	precision	Multi-exon predictions with zero novel introns whose chain is proper subset of single ref tx (end-truncated/contained); guides, oracle, ref-chain-rescue, exact-chain TPs exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7285-7335
pred_filters	Zero-novel not-exact (requires ref GTF)	default_off_optin	RUSTLE_CHIMERA_FILTER_GTF=/path	precision	Multi-exon predictions with zero novel introns whose exact intron chain is NOT in reference (chimeric combinations not matching any single ref tx); guides, oracle, ref-chain-rescue exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7346-7407
pred_filters	Singleton novel junctions (requires ref GTF)	default_off_optin	RUSTLE_CHIMERA_FILTER_GTF=/path	precision	Predictions whose novel introns each appear in only this transcript (singleton novel junctions); spares chains with shared exon structure; guides, oracle exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7408-7487
pred_filters	Dominated novel junctions (requires ref GTF)	default_off_optin	RUSTLE_CHIMERA_FILTER_GTF=/path	precision	Predictions whose novel introns are all dominated by other transcripts' usage at same locus; guides, oracle exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7488-7581
pred_filters	Isofrac longunder (post-predcluster, opt-in)	default_off_optin	RUSTLE_ENABLE_ISOFRAC_LONGUNDER=1 (enable); RUSTLE_DISABLE_ISOFRAC_LONGUNDER=1 (disable); RUSTLE_ISOFRAC_LONGUNDER=<frac> (tune threshold)	both	Multi-exon predictions cov < 0.01 * overlapping_multicov (per-locus; tunable); guides, oracle, ref-chain-rescue exempt	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/transcript_filter.rs:7001-7068
pred_filters	Cross-strand retained intron	default_on_optout	RUSTLE_CROSS_STRAND_KRI=1 (legacy enable); RUSTLE_CROSS_STRAND_DRY_RUN=1 (dry-run); RUSTLE_CROSS_STRAND_MIN_COV=N (default 50.0); RUSTLE_CROSS_STRAND_DEBUG=1; RUSTLE_STRAND_PURE_MINORITY_OFF (disable auto-enable) 	precision	Low-cov antisense transcripts (cov < cov_threshold) whose exons bridge high-cov same-chrom introns of opposite-strand neighbor; guides exempt; revives sole-gene survivors	/mnt/c/Users/jfris/Desktop/Rustle/src/rustle/cross_strand_predcluster.rs:245-531
flow	ST-port soft gate (parse_trflong back/fwd)	default_on_optout	RUSTLE_PARSE_TRFLONG_ST_GATE_OFF	both	Seeds where rustle's path reconstruction succeeds but StringTie's strict algorithm would fail — routes over-extended candidates to checktrf instead of flow storage; treats weak/inconsistent transfrags as completion-path artifacts	path_extract.rs:7405-7520
flow	Min coverage gate (flow store)	config_param	RUSTLE_MIN_COV_GATE	precision	Seeds with coverage < 0.15 (default) are rejected from flow storage and deferred to checktrf; stricter than StringTie's epsilon gate; filters ultra-low-coverage FP predictions that clutter predcluster	path_extract.rs:8986-9017
flow	Flow-redundancy dedup (checktrf)	default_on_optout	RUSTLE_CHECKTRF_NO_FLOW_REDUNDANT_OFF	precision	Checktrf rescues whose junction chain is a sub-chain of a higher-coverage FLOW chain at the same locus (F1 win +0.148pp: -15 FP, -8 TP on GGO_19); suppresses redundant shorter siblings	path_extract.rs:9355-9447
flow	Flow-redundancy dominant-coverage refinement	default_on_optout	RUSTLE_CHECKTRF_NO_FLOW_REDUNDANT_ALLCOV	sensitivity	Requires flow-containing chain has STRICTLY HIGHER coverage (not just equal) to suppress rescue; protects genuine alt isoforms that are sub-chains of weaker flow; enables net F1 win by saving ~9 TPs	path_extract.rs:9382-9392
flow	Strict admission gate (checktrf primary)	default_off_optin	RUSTLE_CHECKTRF_STRICT_ADMIT	precision	Non-guide transfrags not linked to both source and sink (incomplete bundle-spanning paths); mirrors StringTie's rlink.cpp:10044 primary gate; drops partial/internal seeds that inflate checktrf volume vs ST	path_extract.rs:9518-9558
flow	Checktrf sort by abundance	default_on_optout	RUSTLE_CHECKTRF_SORT_ABUND_OFF	both	Processes checktrf candidates in DESCENDING abundance order (StringTie-parity); prevents chimeric long-reads from being rescued first and over-extending past gene boundaries; tiebreak on node count DESC	path_extract.rs:9408-9426
flow	Forward extend (checktrf rescue)	default_on_optout	RUSTLE_CHECKTRF_FWD_EXTEND_OFF	precision	Suppresses checktrf rescue extension past hardend or back-extended nodes; requires next child to be non-hardend and have real children; prevents k-class over-extension spanning past ref gene + adjacent territory	path_extract.rs:10023-10070
flow	JAB (Junction-Acceptor Bridge) extension	default_on_optout	RUSTLE_CHECKTRF_JAB_OFF	precision	Blocks JAB extension when last rescue node ends at incoming-junction boundary with non-contiguous parents; prevents spurious artifactual node-splits from extending the rescue path	path_extract.rs:10095-10140
flow	Junction quality gate (checktrf)	default_off_optin	RUSTLE_CHECKTRF_JUNC_GATE	precision	Rescues containing any junction NOT in good_junctions set are skipped; targets artifact/noisy-read junctions that never accumulated enough support; opt-in stricter gate	path_extract.rs:10377-10389
flow	Truncated-at-hardend dedup (checktrf)	default_on_optout	RUSTLE_CHECKTRF_TRUNC_HARDEND_OFF	precision	Suppresses rescues that are strict subset of higher-coverage kept chain AND terminate at hardend node with no independent 3' read-end mass (8x FP enrichment: 0.379 FP vs 0.164 TP); removes 3 final-GTF FP for 0 TP loss	path_extract.rs:10449-10526
flow	Subset-of-cosurvivor truncation suppression	default_on_optout	RUSTLE_CHECKTRF_SUBSET_COSURVIVOR_OFF	precision	Drops checktrf rescues that are junction strict subset of higher-coverage kept path AND (default) terminate at hardstart node (spurious 5'-truncation); protects isoforms with strong independent 5' read evidence (reads_start >= 4.0)	path_extract.rs:10589-10674
flow	Back-extend disable (checktrf rescue)	hardcoded	RUSTLE_CHECKTRF_BACK_EXTEND_ON	both	Disables back-extension prefix generation in checktrf rescue; blocklist default due to verified double-win (+3 TP, -3 FP, F1 93.30→93.46); back-extend over-inflates false-positive multi-prefix alt-TSS chains	path_extract.rs:9923-9939
flow	Multinode no-match drop (checktrf)	default_off_optin	RUSTLE_CHECKTRF_MULTINODE_DROP	precision	DEFAULT-OFF; opt-in only: drops multi-node long-read rescues with no matching kept paths (rlink.cpp gate); gate is NET-NEGATIVE default-on per validation 2026-06-09 (over-rejects 156 StringTie-shared TPs)	path_extract.rs:9816-9837
flow	Zero-flux deferral to checktrf (flow_flux <= 0)	hardcoded	none	both	Long-read, non-mixed-mode, non-guide seeds with zero/negative flux are deferred to checktrf without flow storage; separates flow paths from rescue candidates; routes low-signal candidates to dedicated rescue logic	path_extract.rs:8893-8935
flow	Strict longrec checktrf deferral	default_on_optout	RUSTLE_DISABLE_STRICT_LONGREC_CHECKTRF_DEFERRAL	both	Failed direct long-rec seeds are strictly deferred to checktrf for potential rescue; default strict behavior; only diagnostic opt-out available	path_extract.rs:6383-6384
