case	source_id	target_id	relation	layer	identity	coverage	orientation	source_interval	target_interval	evidence	direction_status
GOLGA6_8	L~chr15_26296281_26309739	RB~GOLGA6_8~3	CONTAINS	RNA	0.9916	0.7968	+	1603-5274	936-4607	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_32184800_32193680	RNA_HOMOLOGY	RNA	0.9135	0.5550	+	1106-3663	2288-4883	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~4	CONTAINS	RNA	0.9135	0.5550	+	1106-3663	2288-4883	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_32184800_32193680	RB~GOLGA6_8~4	CONTAINS	RNA	0.9135	0.5550	+	2288-4883	1106-3663	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_80204134_80213595	RNA_HOMOLOGY	RNA	0.8628	0.6515	+	1567-4599	1542-4428	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~5	CONTAINS	RNA	0.8628	0.6515	+	1567-4599	1542-4428	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80204134_80213595	RB~GOLGA6_8~5	CONTAINS	RNA	0.8628	0.6515	+	1542-4428	1567-4599	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_80293456_80303275	RNA_HOMOLOGY	RNA	0.8630	0.6599	+	1567-4607	4396-7249	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~6	CONTAINS	RNA	0.8630	0.6599	+	1567-4607	4396-7249	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80293456_80303275	RB~GOLGA6_8~6	CONTAINS	RNA	0.8630	0.6599	+	4396-7249	1567-4607	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_82101756_82111482	RNA_HOMOLOGY	RNA	0.8407	0.7146	+	1315-4607	1552-4682	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~7	CONTAINS	RNA	0.8407	0.7146	+	1315-4607	1552-4682	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82101756_82111482	RB~GOLGA6_8~7	CONTAINS	RNA	0.8407	0.7146	+	1552-4682	1315-4607	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_82259345_82265184	RNA_HOMOLOGY	RNA	0.8410	0.7244	+	1315-4607	968-4098	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~8	CONTAINS	RNA	0.8410	0.7244	+	1315-4607	968-4098	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82259345_82265184	RB~GOLGA6_8~8	CONTAINS	RNA	0.8410	0.7244	+	968-4098	1315-4607	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	L~chr15_18484393_18487719	RNA_HOMOLOGY	RNA	0.9975	0.9462	+	1460-4607	0-3147	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20096768_20102630	RB~GOLGA6_8~9	CONTAINS	RNA	0.9975	0.9462	+	1460-4607	0-3147	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_18484393_18487719	RB~GOLGA6_8~9	CONTAINS	RNA	0.9975	0.9462	+	0-3147	1460-4607	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr15_20841196_20854572	RNA_HOMOLOGY	RNA	0.9030	0.9983	+	4-2323	7-2479	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~10	CONTAINS	RNA	0.9030	0.9983	+	4-2323	7-2479	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~10	CONTAINS	RNA	0.9030	0.9983	+	7-2479	4-2323	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr15_20972619_20985986	RNA_HOMOLOGY	RNA	0.9034	0.9983	+	4-2323	7-2479	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~11	CONTAINS	RNA	0.9034	0.9983	+	4-2323	7-2479	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~11	CONTAINS	RNA	0.9034	0.9983	+	7-2479	4-2323	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr15_26121347_26134747	RNA_HOMOLOGY	RNA	0.9000	0.9983	+	4-2323	16-2488	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~12	CONTAINS	RNA	0.9000	0.9983	+	4-2323	16-2488	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~12	CONTAINS	RNA	0.9000	0.9983	+	16-2488	4-2323	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr15_26296281_26309739	RNA_HOMOLOGY	RNA	0.8991	0.9983	+	4-2323	7-2479	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~13	CONTAINS	RNA	0.8991	0.9983	+	4-2323	7-2479	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	RB~GOLGA6_8~13	CONTAINS	RNA	0.8991	0.9983	+	7-2479	4-2323	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr15_30241447_30252178	RNA_HOMOLOGY	RNA	0.9591	0.9864	+	23-2323	0-2168	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~14	CONTAINS	RNA	0.9591	0.9864	+	23-2323	0-2168	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_30241447_30252178	RB~GOLGA6_8~14	CONTAINS	RNA	0.9591	0.9864	+	0-2168	23-2323	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr15_32184800_32193680	RNA_HOMOLOGY	RNA	0.8441	0.7094	+	675-2323	1361-3015	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~15	CONTAINS	RNA	0.8441	0.7094	+	675-2323	1361-3015	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_32184800_32193680	RB~GOLGA6_8~15	CONTAINS	RNA	0.8441	0.7094	+	1361-3015	675-2323	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	L~chr9_140463642_140483173	RNA_HOMOLOGY	RNA	0.7431	0.7718	+	313-2106	522-3029	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20279485_20289994	RB~GOLGA6_8~16	CONTAINS	RNA	0.7431	0.7718	+	313-2106	522-3029	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr9_140463642_140483173	RB~GOLGA6_8~16	CONTAINS	RNA	0.7431	0.7718	+	522-3029	313-2106	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_20972619_20985986	RNA_HOMOLOGY	RNA	0.9966	1.0000	+	0-5269	0-5267	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~17	CONTAINS	RNA	0.9966	1.0000	+	0-5269	0-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~17	CONTAINS	RNA	0.9966	1.0000	+	0-5267	0-5269	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_26121347_26134747	RNA_HOMOLOGY	RNA	0.9922	1.0000	+	0-5269	9-5277	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~18	CONTAINS	RNA	0.9922	1.0000	+	0-5269	9-5277	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~18	CONTAINS	RNA	0.9922	1.0000	+	9-5277	0-5269	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_26296281_26309739	RNA_HOMOLOGY	RNA	0.9922	1.0000	+	0-5269	0-5268	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~19	CONTAINS	RNA	0.9922	1.0000	+	0-5269	0-5268	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	RB~GOLGA6_8~19	CONTAINS	RNA	0.9922	1.0000	+	0-5268	0-5269	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_30241447_30252178	RNA_HOMOLOGY	RNA	0.8983	1.0000	+	26-2509	0-2198	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~20	CONTAINS	RNA	0.8983	1.0000	+	26-2509	0-2198	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_30241447_30252178	RB~GOLGA6_8~20	CONTAINS	RNA	0.8983	1.0000	+	0-2198	26-2509	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_32184800_32193680	RNA_HOMOLOGY	RNA	0.9030	0.6780	+	750-4331	1361-4883	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~21	CONTAINS	RNA	0.9030	0.6780	+	750-4331	1361-4883	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_32184800_32193680	RB~GOLGA6_8~21	CONTAINS	RNA	0.9030	0.6780	+	1361-4883	750-4331	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_73646286_73657758	RNA_HOMOLOGY	RNA	0.8169	0.5957	+	845-2364	1107-2751	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~22	CONTAINS	RNA	0.8169	0.5957	+	845-2364	1107-2751	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_73646286_73657758	RB~GOLGA6_8~22	CONTAINS	RNA	0.8169	0.5957	+	1107-2751	845-2364	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_80204134_80213595	RNA_HOMOLOGY	RNA	0.8627	0.6350	+	2269-5267	1615-4428	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~23	CONTAINS	RNA	0.8627	0.6350	+	2269-5267	1615-4428	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80204134_80213595	RB~GOLGA6_8~23	CONTAINS	RNA	0.8627	0.6350	+	1615-4428	2269-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_80293456_80303275	RNA_HOMOLOGY	RNA	0.8282	0.7713	+	1203-5267	3581-7241	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~24	CONTAINS	RNA	0.8282	0.7713	+	1203-5267	3581-7241	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80293456_80303275	RB~GOLGA6_8~24	CONTAINS	RNA	0.8282	0.7713	+	3581-7241	1203-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_82101756_82111482	RNA_HOMOLOGY	RNA	0.8621	0.5991	+	2269-5267	1863-4674	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~25	CONTAINS	RNA	0.8621	0.5991	+	2269-5267	1863-4674	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82101756_82111482	RB~GOLGA6_8~25	CONTAINS	RNA	0.8621	0.5991	+	1863-4674	2269-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_82259345_82265184	RNA_HOMOLOGY	RNA	0.8402	0.7225	+	1982-5267	968-4090	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~26	CONTAINS	RNA	0.8402	0.7225	+	1982-5267	968-4090	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82259345_82265184	RB~GOLGA6_8~26	CONTAINS	RNA	0.8402	0.7225	+	968-4090	1982-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr9_140463642_140483173	RNA_HOMOLOGY	RNA	0.7614	0.8342	+	7-2262	1-3029	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~27	CONTAINS	RNA	0.7614	0.8342	+	7-2262	1-3029	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr9_140463642_140483173	RB~GOLGA6_8~27	CONTAINS	RNA	0.7614	0.8342	+	1-3029	7-2262	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	L~chr15_18484393_18487719	RNA_HOMOLOGY	RNA	0.9952	0.9444	+	2127-5269	0-3141	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20841196_20854572	RB~GOLGA6_8~28	CONTAINS	RNA	0.9952	0.9444	+	2127-5269	0-3141	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_18484393_18487719	RB~GOLGA6_8~28	CONTAINS	RNA	0.9952	0.9444	+	0-3141	2127-5269	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_26121347_26134747	RNA_HOMOLOGY	RNA	0.9922	1.0000	+	0-5267	9-5277	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~29	CONTAINS	RNA	0.9922	1.0000	+	0-5267	9-5277	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~29	CONTAINS	RNA	0.9922	1.0000	+	9-5277	0-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_26296281_26309739	RNA_HOMOLOGY	RNA	0.9922	1.0000	+	0-5267	0-5268	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~30	CONTAINS	RNA	0.9922	1.0000	+	0-5267	0-5268	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	RB~GOLGA6_8~30	CONTAINS	RNA	0.9922	1.0000	+	0-5268	0-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_30241447_30252178	RNA_HOMOLOGY	RNA	0.8988	1.0000	+	26-2509	0-2198	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~31	CONTAINS	RNA	0.8988	1.0000	+	26-2509	0-2198	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_30241447_30252178	RB~GOLGA6_8~31	CONTAINS	RNA	0.8988	1.0000	+	0-2198	26-2509	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_32184800_32193680	RNA_HOMOLOGY	RNA	0.9020	0.6780	+	750-4329	1361-4883	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~32	CONTAINS	RNA	0.9020	0.6780	+	750-4329	1361-4883	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_32184800_32193680	RB~GOLGA6_8~32	CONTAINS	RNA	0.9020	0.6780	+	1361-4883	750-4329	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_73646286_73657758	RNA_HOMOLOGY	RNA	0.8160	0.5957	+	845-2364	1107-2751	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~33	CONTAINS	RNA	0.8160	0.5957	+	845-2364	1107-2751	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_73646286_73657758	RB~GOLGA6_8~33	CONTAINS	RNA	0.8160	0.5957	+	1107-2751	845-2364	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_80204134_80213595	RNA_HOMOLOGY	RNA	0.8631	0.6350	+	2269-5265	1615-4428	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~34	CONTAINS	RNA	0.8631	0.6350	+	2269-5265	1615-4428	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80204134_80213595	RB~GOLGA6_8~34	CONTAINS	RNA	0.8631	0.6350	+	1615-4428	2269-5265	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_80293456_80303275	RNA_HOMOLOGY	RNA	0.8282	0.7712	+	1203-5265	3581-7241	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~35	CONTAINS	RNA	0.8282	0.7712	+	1203-5265	3581-7241	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80293456_80303275	RB~GOLGA6_8~35	CONTAINS	RNA	0.8282	0.7712	+	3581-7241	1203-5265	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_82101756_82111482	RNA_HOMOLOGY	RNA	0.8624	0.5991	+	2269-5265	1863-4674	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~36	CONTAINS	RNA	0.8624	0.5991	+	2269-5265	1863-4674	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82101756_82111482	RB~GOLGA6_8~36	CONTAINS	RNA	0.8624	0.5991	+	1863-4674	2269-5265	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_82259345_82265184	RNA_HOMOLOGY	RNA	0.8397	0.7225	+	1982-5265	968-4090	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~37	CONTAINS	RNA	0.8397	0.7225	+	1982-5265	968-4090	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82259345_82265184	RB~GOLGA6_8~37	CONTAINS	RNA	0.8397	0.7225	+	968-4090	1982-5265	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr9_140463642_140483173	RNA_HOMOLOGY	RNA	0.7611	0.8342	+	7-2262	1-3029	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~38	CONTAINS	RNA	0.7611	0.8342	+	7-2262	1-3029	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr9_140463642_140483173	RB~GOLGA6_8~38	CONTAINS	RNA	0.7611	0.8342	+	1-3029	7-2262	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	L~chr15_18484393_18487719	RNA_HOMOLOGY	RNA	0.9952	0.9444	+	2127-5267	0-3141	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_20972619_20985986	RB~GOLGA6_8~39	CONTAINS	RNA	0.9952	0.9444	+	2127-5267	0-3141	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_18484393_18487719	RB~GOLGA6_8~39	CONTAINS	RNA	0.9952	0.9444	+	0-3141	2127-5267	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_21175968_21180517	L~chr15_27926395_27929106	RNA_HOMOLOGY	RNA	0.8275	0.7540	+	0-2050	379-2423	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_21175968_21180517	RB~GOLGA6_8~40	CONTAINS	RNA	0.8275	0.7540	+	0-2050	379-2423	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_27926395_27929106	RB~GOLGA6_8~40	CONTAINS	RNA	0.8275	0.7540	+	379-2423	0-2050	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_26296281_26309739	RNA_HOMOLOGY	RNA	0.9996	0.9983	+	9-5283	0-5274	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~41	CONTAINS	RNA	0.9996	0.9983	+	9-5283	0-5274	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	RB~GOLGA6_8~41	CONTAINS	RNA	0.9996	0.9983	+	0-5274	9-5283	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_30241447_30252178	RNA_HOMOLOGY	RNA	0.8956	1.0000	+	35-2518	0-2198	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~42	CONTAINS	RNA	0.8956	1.0000	+	35-2518	0-2198	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_30241447_30252178	RB~GOLGA6_8~42	CONTAINS	RNA	0.8956	1.0000	+	0-2198	35-2518	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_32184800_32193680	RNA_HOMOLOGY	RNA	0.9023	0.6780	+	759-4339	1361-4883	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~43	CONTAINS	RNA	0.9023	0.6780	+	759-4339	1361-4883	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_32184800_32193680	RB~GOLGA6_8~43	CONTAINS	RNA	0.9023	0.6780	+	1361-4883	759-4339	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_73646286_73657758	RNA_HOMOLOGY	RNA	0.8190	0.5957	+	854-2373	1107-2751	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~44	CONTAINS	RNA	0.8190	0.5957	+	854-2373	1107-2751	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_73646286_73657758	RB~GOLGA6_8~44	CONTAINS	RNA	0.8190	0.5957	+	1107-2751	854-2373	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_80204134_80213595	RNA_HOMOLOGY	RNA	0.8633	0.6350	+	2278-5275	1615-4428	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~45	CONTAINS	RNA	0.8633	0.6350	+	2278-5275	1615-4428	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80204134_80213595	RB~GOLGA6_8~45	CONTAINS	RNA	0.8633	0.6350	+	1615-4428	2278-5275	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_80293456_80303275	RNA_HOMOLOGY	RNA	0.8452	0.6231	+	1991-5283	4158-7249	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~46	CONTAINS	RNA	0.8452	0.6231	+	1991-5283	4158-7249	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_80293456_80303275	RB~GOLGA6_8~46	CONTAINS	RNA	0.8452	0.6231	+	4158-7249	1991-5283	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_82101756_82111482	RNA_HOMOLOGY	RNA	0.8631	0.6008	+	2278-5283	1863-4682	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~47	CONTAINS	RNA	0.8631	0.6008	+	2278-5283	1863-4682	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82101756_82111482	RB~GOLGA6_8~47	CONTAINS	RNA	0.8631	0.6008	+	1863-4682	2278-5283	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_82259345_82265184	RNA_HOMOLOGY	RNA	0.8404	0.7244	+	1991-5283	968-4098	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~48	CONTAINS	RNA	0.8404	0.7244	+	1991-5283	968-4098	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_82259345_82265184	RB~GOLGA6_8~48	CONTAINS	RNA	0.8404	0.7244	+	968-4098	1991-5283	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr9_140463642_140483173	RNA_HOMOLOGY	RNA	0.7987	0.5113	+	1039-2271	1173-3029	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~49	CONTAINS	RNA	0.7987	0.5113	+	1039-2271	1173-3029	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr9_140463642_140483173	RB~GOLGA6_8~49	CONTAINS	RNA	0.7987	0.5113	+	1173-3029	1039-2271	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	L~chr15_18484393_18487719	RNA_HOMOLOGY	RNA	0.9930	0.9462	+	2136-5283	0-3147	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26121347_26134747	RB~GOLGA6_8~50	CONTAINS	RNA	0.9930	0.9462	+	2136-5283	0-3147	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_18484393_18487719	RB~GOLGA6_8~50	CONTAINS	RNA	0.9930	0.9462	+	0-3147	2136-5283	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	L~chr15_30241447_30252178	RNA_HOMOLOGY	RNA	0.8947	1.0000	+	26-2509	0-2198	fresh_Er	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	RB~GOLGA6_8~51	CONTAINS	RNA	0.8947	1.0000	+	26-2509	0-2198	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_30241447_30252178	RB~GOLGA6_8~51	CONTAINS	RNA	0.8947	1.0000	+	0-2198	26-2509	minimap2_PAF	UNROOTED
GOLGA6_8	L~chr15_26296281_26309739	L~chr15_32184800_32193680	RNA_HOMOLOGY	RNA	0.9023	0.6780	+	750-4330	1361-4883	fresh_Er	UNROOTED
