evidence_id	haplotype	probe_id	target	target_start	target_end	strand	identity	query_coverage	aligned_span	mapq
MAT_LOCUS_16	MAT	FAM_000	chr16_mat_hsa15	32122114	32125646	+	0.9229	0.9931	3303	0
MAT_LOCUS_17	MAT	FAM_000	chr16_mat_hsa15	34100412	34103941	+	0.9216	0.9931	3303	0
MAT_LOCUS_18	MAT	FAM_001	chr16_mat_hsa15	30193171	30199146	+	0.9365	0.9944	5829	20
MAT_LOCUS_19	MAT	FAM_001	chr16_mat_hsa15	25383115	25389088	+	0.9339	0.9957	5837	0
MAT_LOCUS_20	MAT	FAM_001	chr16_mat_hsa15	24025009	24030982	-	0.9337	0.9957	5837	0
MAT_LOCUS_21	MAT	FAM_001	chr16_mat_hsa15	30460885	30466865	+	0.9333	0.9957	5837	0
MAT_LOCUS_22	MAT	FAM_001	chr16_mat_hsa15	31853695	31859675	-	0.9331	0.9957	5837	0
MAT_LOCUS_23	MAT	FAM_001	chr16_mat_hsa15	24110675	24116649	+	0.9329	0.9957	5837	0
MAT_LOCUS_24	MAT	FAM_001	chr16_mat_hsa15	33870138	33876111	+	0.9327	0.9944	5829	0
MAT_LOCUS_25	MAT	FAM_001	chr16_mat_hsa15	25173573	25179553	+	0.9324	0.9957	5837	0
MAT_LOCUS_26	MAT	FAM_001	chr16_mat_hsa15	30103821	30109796	-	0.9322	0.9944	5829	0
MAT_LOCUS_27	MAT	FAM_001	chr16_mat_hsa15	32206361	32212362	-	0.9322	0.9944	5829	0
MAT_LOCUS_28	MAT	FAM_001	chr16_mat_hsa15	34012997	34018979	-	0.9317	0.9944	5829	0
MAT_LOCUS_29	MAT	FAM_001	chr16_mat_hsa15	30144247	30150222	+	0.9315	0.9944	5829	0
MAT_LOCUS_30	MAT	FAM_001	chr16_mat_hsa15	32119499	32125473	-	0.9314	0.9932	5822	0
MAT_LOCUS_31	MAT	FAM_001	chr16_mat_hsa15	34097809	34103775	-	0.9304	0.9944	5829	0
MAT_LOCUS_32	MAT	FAM_002	chr16_mat_hsa15	30196194	30206891	+	0.9723	1.0000	10509	2
MAT_LOCUS_33	MAT	FAM_002	chr16_mat_hsa15	30147271	30157996	+	0.9714	1.0000	10509	0
MAT_LOCUS_34	MAT	FAM_002	chr16_mat_hsa15	30096045	30106772	-	0.9713	1.0000	10509	0
MAT_LOCUS_35	MAT	FAM_002	chr16_mat_hsa15	25386139	25396809	+	0.9713	0.9998	10507	0
MAT_LOCUS_36	MAT	FAM_002	chr16_mat_hsa15	24113699	24124368	+	0.9714	0.9998	10507	0
MAT_LOCUS_37	MAT	FAM_002	chr16_mat_hsa15	25176601	25187291	+	0.9711	1.0000	10509	0
MAT_LOCUS_38	MAT	FAM_002	chr16_mat_hsa15	24017284	24027959	-	0.9711	0.9998	10507	0
MAT_LOCUS_39	MAT	FAM_002	chr16_mat_hsa15	31845974	31856647	-	0.9706	1.0000	10509	0
MAT_LOCUS_40	MAT	FAM_002	chr16_mat_hsa15	30463913	30474600	+	0.9704	1.0000	10509	0
MAT_LOCUS_41	MAT	FAM_002	chr16_mat_hsa15	32198577	32209325	-	0.9689	1.0000	10509	0
MAT_LOCUS_42	MAT	FAM_002	chr16_mat_hsa15	34090020	34100755	-	0.9686	1.0000	10509	0
MAT_LOCUS_43	MAT	FAM_002	chr16_mat_hsa15	33873161	33883896	+	0.9685	1.0000	10509	0
MAT_LOCUS_44	MAT	FAM_002	chr16_mat_hsa15	34005206	34015956	-	0.9685	1.0000	10509	0
MAT_LOCUS_45	MAT	FAM_002	chr16_mat_hsa15	32111712	32122457	-	0.9684	1.0000	10509	0
MAT_LOCUS_46	MAT	FAM_003	chr16_mat_hsa15	30193171	30206766	-	0.9238	0.9916	13264	1
MAT_LOCUS_47	MAT	FAM_003	chr16_mat_hsa15	30096049	30109796	+	0.9225	0.9993	13367	0
MAT_LOCUS_48	MAT	FAM_003	chr16_mat_hsa15	31846099	31859667	+	0.9220	0.9916	13264	0
MAT_LOCUS_49	MAT	FAM_003	chr16_mat_hsa15	25383123	25396684	-	0.9220	0.9916	13264	0
MAT_LOCUS_50	MAT	FAM_003	chr16_mat_hsa15	30460893	30474475	-	0.9217	0.9916	13264	0
MAT_LOCUS_51	MAT	FAM_003	chr16_mat_hsa15	24017409	24030974	+	0.9218	0.9916	13264	0
MAT_LOCUS_52	MAT	FAM_003	chr16_mat_hsa15	24110683	24124243	-	0.9215	0.9916	13264	0
MAT_LOCUS_53	MAT	FAM_003	chr16_mat_hsa15	32198702	32212362	+	0.9211	0.9916	13264	0
MAT_LOCUS_54	MAT	FAM_003	chr16_mat_hsa15	25173581	25187166	-	0.9211	0.9916	13264	0
MAT_LOCUS_55	MAT	FAM_003	chr16_mat_hsa15	34005331	34018979	+	0.9210	0.9916	13264	0
MAT_LOCUS_56	MAT	FAM_003	chr16_mat_hsa15	34090145	34103775	+	0.9208	0.9916	13264	0
MAT_LOCUS_57	MAT	FAM_003	chr16_mat_hsa15	32111837	32125473	+	0.9206	0.9911	13257	0
MAT_LOCUS_58	MAT	FAM_003	chr16_mat_hsa15	30147442	30157992	-	0.9220	0.7781	10408	0
MAT_LOCUS_59	MAT	FAM_004	chr16_mat_hsa15	30193171	30206766	+	0.9234	0.9916	13255	1
MAT_LOCUS_60	MAT	FAM_004	chr16_mat_hsa15	30096049	30109796	-	0.9222	0.9993	13358	0
MAT_LOCUS_61	MAT	FAM_004	chr16_mat_hsa15	30460893	30474475	+	0.9215	0.9916	13255	0
MAT_LOCUS_62	MAT	FAM_004	chr16_mat_hsa15	31846099	31859667	-	0.9216	0.9916	13255	0
MAT_LOCUS_63	MAT	FAM_004	chr16_mat_hsa15	25383123	25396684	+	0.9216	0.9916	13255	0
MAT_LOCUS_64	MAT	FAM_004	chr16_mat_hsa15	24017409	24030974	-	0.9216	0.9916	13255	0
MAT_LOCUS_65	MAT	FAM_004	chr16_mat_hsa15	24110683	24124243	+	0.9212	0.9916	13255	0
MAT_LOCUS_66	MAT	FAM_004	chr16_mat_hsa15	25173581	25187166	+	0.9209	0.9916	13255	0
MAT_LOCUS_67	MAT	FAM_004	chr16_mat_hsa15	32198702	32212362	-	0.9207	0.9916	13255	0
MAT_LOCUS_68	MAT	FAM_004	chr16_mat_hsa15	34005331	34018979	-	0.9206	0.9916	13255	0
MAT_LOCUS_69	MAT	FAM_004	chr16_mat_hsa15	34090145	34103775	-	0.9205	0.9916	13255	0
MAT_LOCUS_70	MAT	FAM_004	chr16_mat_hsa15	32111837	32125473	-	0.9203	0.9911	13248	0
MAT_LOCUS_71	MAT	FAM_004	chr16_mat_hsa15	30147442	30157992	+	0.9213	0.7781	10401	0
MAT_LOCUS_72	MAT	FAM_005	chr16_mat_hsa15	25460635	25465051	+	0.9737	0.9703	4414	60
MAT_LOCUS_73	MAT	FAM_006	chr16_mat_hsa15	30193171	30206766	-	0.9221	0.9905	13273	1
MAT_LOCUS_74	MAT	FAM_006	chr16_mat_hsa15	30096049	30109796	+	0.9210	0.9982	13376	0
MAT_LOCUS_75	MAT	FAM_006	chr16_mat_hsa15	25383115	25396684	-	0.9207	0.9911	13281	0
MAT_LOCUS_76	MAT	FAM_006	chr16_mat_hsa15	31846099	31859675	+	0.9205	0.9911	13281	0
MAT_LOCUS_77	MAT	FAM_006	chr16_mat_hsa15	24017409	24030982	+	0.9204	0.9911	13281	0
MAT_LOCUS_78	MAT	FAM_006	chr16_mat_hsa15	30460885	30474475	-	0.9203	0.9911	13281	0
MAT_LOCUS_79	MAT	FAM_006	chr16_mat_hsa15	32198702	32212362	+	0.9197	0.9905	13273	0
MAT_LOCUS_80	MAT	FAM_006	chr16_mat_hsa15	24110675	24124243	-	0.9200	0.9911	13281	0
MAT_LOCUS_81	MAT	FAM_006	chr16_mat_hsa15	25173573	25187166	-	0.9198	0.9911	13281	0
MAT_LOCUS_82	MAT	FAM_006	chr16_mat_hsa15	34005331	34018979	+	0.9195	0.9905	13273	0
MAT_LOCUS_83	MAT	FAM_006	chr16_mat_hsa15	34090145	34103775	+	0.9193	0.9905	13273	0
MAT_LOCUS_84	MAT	FAM_006	chr16_mat_hsa15	32111837	32125473	+	0.9193	0.9900	13266	0
MAT_LOCUS_85	MAT	FAM_006	chr16_mat_hsa15	30147504	30157992	-	0.9195	0.7728	10356	0
MAT_LOCUS_86	MAT	FAM_007	chr16_mat_hsa15	30193097	30206766	+	0.9219	0.9918	13348	1
MAT_LOCUS_87	MAT	FAM_007	chr16_mat_hsa15	30096049	30109870	-	0.9208	0.9995	13451	0
MAT_LOCUS_88	MAT	FAM_007	chr16_mat_hsa15	25383052	25396684	+	0.9208	0.9915	13344	0
MAT_LOCUS_89	MAT	FAM_007	chr16_mat_hsa15	31846099	31859738	-	0.9207	0.9915	13344	0
MAT_LOCUS_90	MAT	FAM_007	chr16_mat_hsa15	24017409	24031045	-	0.9206	0.9915	13344	0
MAT_LOCUS_91	MAT	FAM_007	chr16_mat_hsa15	30460822	30474475	+	0.9205	0.9915	13344	0
MAT_LOCUS_92	MAT	FAM_007	chr16_mat_hsa15	24110612	24124243	+	0.9201	0.9915	13344	0
MAT_LOCUS_93	MAT	FAM_007	chr16_mat_hsa15	25173510	25187166	+	0.9199	0.9915	13344	0
MAT_LOCUS_94	MAT	FAM_007	chr16_mat_hsa15	32198702	32212437	-	0.9195	0.9918	13348	0
MAT_LOCUS_95	MAT	FAM_007	chr16_mat_hsa15	34005331	34019054	-	0.9192	0.9918	13348	0
MAT_LOCUS_96	MAT	FAM_007	chr16_mat_hsa15	34090145	34103850	-	0.9190	0.9918	13348	0
MAT_LOCUS_97	MAT	FAM_007	chr16_mat_hsa15	32111837	32125555	-	0.9188	0.9918	13348	0
MAT_LOCUS_98	MAT	FAM_007	chr16_mat_hsa15	30147504	30157992	+	0.9195	0.7695	10356	0
MAT_LOCUS_99	MAT	FAM_008	chr16_mat_hsa15	30095695	30098394	+	0.9785	0.9982	2699	0
MAT_LOCUS_100	MAT	FAM_008	chr16_mat_hsa15	30155647	30158346	-	0.9785	0.9982	2699	0
MAT_LOCUS_101	MAT	FAM_008	chr16_mat_hsa15	30204516	30207239	-	0.9760	0.9982	2706	0
MAT_LOCUS_102	MAT	FAM_008	chr16_mat_hsa15	24121995	24124716	-	0.9749	0.9982	2706	0
MAT_LOCUS_103	MAT	FAM_008	chr16_mat_hsa15	25184917	25187639	-	0.9745	0.9982	2706	0
MAT_LOCUS_104	MAT	FAM_008	chr16_mat_hsa15	34004856	34007570	+	0.9737	0.9970	2703	0
MAT_LOCUS_105	MAT	FAM_008	chr16_mat_hsa15	32198227	32200944	+	0.9734	0.9982	2706	0
MAT_LOCUS_106	MAT	FAM_008	chr16_mat_hsa15	32111362	32114079	+	0.9734	0.9982	2706	0
MAT_LOCUS_107	MAT	FAM_008	chr16_mat_hsa15	34089670	34092386	+	0.9730	0.9982	2706	0
MAT_LOCUS_108	MAT	FAM_008	chr16_mat_hsa15	24016936	24019658	+	0.9727	0.9982	2706	0
MAT_LOCUS_109	MAT	FAM_008	chr16_mat_hsa15	33881529	33884246	-	0.9726	0.9982	2706	0
MAT_LOCUS_110	MAT	FAM_008	chr16_mat_hsa15	25394435	25397157	-	0.9723	0.9982	2706	0
MAT_LOCUS_111	MAT	FAM_008	chr16_mat_hsa15	30472235	30474949	-	0.9722	0.9978	2705	0
MAT_LOCUS_112	MAT	FAM_008	chr16_mat_hsa15	31845626	31848334	+	0.9718	0.9982	2706	0
MAT_LOCUS_113	MAT	FAM_009	chr16_mat_hsa15	30096068	30106802	-	0.9764	1.0000	10731	1
MAT_LOCUS_114	MAT	FAM_009	chr16_mat_hsa15	30147241	30157973	+	0.9763	1.0000	10731	0
MAT_LOCUS_115	MAT	FAM_009	chr16_mat_hsa15	32198691	32209355	-	0.9753	0.9932	10658	0
MAT_LOCUS_116	MAT	FAM_009	chr16_mat_hsa15	34090134	34100785	-	0.9751	0.9932	10651	0
MAT_LOCUS_117	MAT	FAM_009	chr16_mat_hsa15	34005320	34015986	-	0.9748	0.9932	10658	0
MAT_LOCUS_118	MAT	FAM_009	chr16_mat_hsa15	33873131	33883782	+	0.9748	0.9932	10651	0
MAT_LOCUS_119	MAT	FAM_009	chr16_mat_hsa15	32111826	32122487	-	0.9747	0.9932	10658	0
MAT_LOCUS_120	MAT	FAM_009	chr16_mat_hsa15	30196164	30206868	+	0.9669	1.0000	10704	0
MAT_LOCUS_121	MAT	FAM_009	chr16_mat_hsa15	24113699	24124345	+	0.9656	0.9970	10646	0
MAT_LOCUS_122	MAT	FAM_009	chr16_mat_hsa15	31846088	31856677	-	0.9656	0.9932	10589	0
MAT_LOCUS_123	MAT	FAM_009	chr16_mat_hsa15	25386139	25396786	+	0.9653	0.9970	10647	0
MAT_LOCUS_124	MAT	FAM_009	chr16_mat_hsa15	25176571	25187268	+	0.9650	1.0000	10697	0
MAT_LOCUS_125	MAT	FAM_009	chr16_mat_hsa15	30463883	30474577	+	0.9650	1.0000	10694	0
MAT_LOCUS_126	MAT	FAM_009	chr16_mat_hsa15	24017307	24027959	-	0.9649	0.9970	10652	0
MAT_LOCUS_127	MAT	FAM_010	chr16_mat_hsa15	35872266	35881103	+	0.9740	1.0000	8837	60
MAT_LOCUS_128	MAT	FAM_011	chr16_mat_hsa15	35872265	35874657	+	0.9703	1.0000	2392	60
MAT_LOCUS_129	MAT	FAM_012	chr16_mat_hsa15	77219725	77231389	+	0.9699	0.9997	11468	60
MAT_LOCUS_130	MAT	FAM_013	chr16_mat_hsa15	86174655	86183957	+	0.9804	0.9999	9302	14
MAT_LOCUS_131	MAT	FAM_013	chr16_mat_hsa15	86919569	86929530	+	0.9793	1.0000	9461	0
MAT_LOCUS_132	MAT	FAM_013	chr16_mat_hsa15	87098508	87110583	-	0.9787	1.0000	9461	0
MAT_LOCUS_133	MAT	FAM_013	chr16_mat_hsa15	86759423	86769553	+	0.9786	1.0000	9461	0
MAT_LOCUS_134	MAT	FAM_013	chr16_mat_hsa15	84460668	84471601	-	0.9782	0.8771	8298	0
MAT_LOCUS_135	MAT	FAM_013	chr16_mat_hsa15	84520648	84533822	-	0.9734	0.9998	9459	0
MAT_LOCUS_136	MAT	FAM_014	chr16_mat_hsa15	86174639	86184616	-	0.9765	1.0000	9819	4
MAT_LOCUS_137	MAT	FAM_014	chr16_mat_hsa15	87097849	87110599	+	0.9766	1.0000	9819	0
MAT_LOCUS_138	MAT	FAM_014	chr16_mat_hsa15	86919553	86930185	-	0.9762	1.0000	9819	0
MAT_LOCUS_139	MAT	FAM_014	chr16_mat_hsa15	86759407	86770212	-	0.9760	1.0000	9819	0
MAT_LOCUS_140	MAT	FAM_014	chr16_mat_hsa15	84460009	84471601	+	0.9774	0.8789	8630	0
MAT_LOCUS_141	MAT	FAM_014	chr16_mat_hsa15	84519989	84533837	+	0.9720	0.9997	9816	0
MAT_LOCUS_142	MAT	FAM_014	chr16_mat_hsa15	87008603	87018389	+	0.9569	1.0000	9786	0
MAT_LOCUS_143	MAT	FAM_014	chr16_mat_hsa15	86263997	86273785	-	0.9568	1.0000	9788	0
MAT_LOCUS_144	MAT	FAM_015	chr16_mat_hsa15	86174639	86183944	-	0.9799	1.0000	9305	60
MAT_LOCUS_145	MAT	FAM_015	chr16_mat_hsa15	87098521	87110599	+	0.9729	1.0000	9726	0
MAT_LOCUS_146	MAT	FAM_015	chr16_mat_hsa15	86919553	86929517	-	0.9726	1.0000	9726	0
MAT_LOCUS_147	MAT	FAM_015	chr16_mat_hsa15	86759407	86769540	-	0.9724	1.0000	9726	0
MAT_LOCUS_148	MAT	FAM_015	chr16_mat_hsa15	84460681	84471601	+	0.9739	0.8788	8547	0
MAT_LOCUS_149	MAT	FAM_015	chr16_mat_hsa15	84520661	84533837	+	0.9686	0.9997	9723	0
MAT_LOCUS_150	MAT	FAM_016	chr16_mat_hsa15	86174434	86179539	+	0.9735	0.8738	5102	60
MAT_LOCUS_151	MAT	FAM_016	chr16_mat_hsa15	87013418	87018596	-	0.9647	0.9185	5178	0
MAT_LOCUS_152	MAT	FAM_016	chr16_mat_hsa15	86263790	86268972	+	0.9637	0.9185	5182	0
MAT_LOCUS_153	MAT	FAM_016	chr16_mat_hsa15	87104948	87110804	-	0.9596	0.9832	5741	0
MAT_LOCUS_154	MAT	FAM_016	chr16_mat_hsa15	86759202	86764914	+	0.9591	0.9832	5712	0
MAT_LOCUS_155	MAT	FAM_016	chr16_mat_hsa15	86919348	86925249	+	0.9584	0.9832	5741	0
MAT_LOCUS_156	MAT	FAM_016	chr16_mat_hsa15	84528399	84533875	-	0.9524	0.9539	5476	0
MAT_LOCUS_157	MAT	FAM_017	chr19_mat_hsa5x17	100405731	100412316	-	0.9795	0.9997	6585	0
MAT_LOCUS_158	MAT	FAM_017	chr19_mat_hsa5x17	100446569	100453155	-	0.9795	0.9997	6586	0
MAT_LOCUS_159	MAT	FAM_017	chr16_mat_hsa15	31718674	31725462	-	0.9667	1.0000	6788	0
MAT_LOCUS_160	MAT	FAM_017	chr16_mat_hsa15	24252829	24259953	+	0.9636	1.0000	7124	0
PAT_LOCUS_0	PAT	SRC_GOLGA2	chr13_pat_hsa9	124641300	124661563	+	0.9870	1.0000	20179	60
PAT_LOCUS_1	PAT	SRC_ITSN2	chr12_pat_hsa2a	115565526	115722934	-	0.9842	0.9999	157408	60
PAT_LOCUS_2	PAT	FAM_000	chr16_pat_hsa15	31105533	31109044	+	0.9288	0.9856	3278	1
PAT_LOCUS_3	PAT	FAM_000	chr16_pat_hsa15	24898107	24901612	-	0.9287	0.9856	3278	0
PAT_LOCUS_4	PAT	FAM_000	chr16_pat_hsa15	23552590	23556127	+	0.9282	0.9982	3320	0
PAT_LOCUS_5	PAT	FAM_000	chr16_pat_hsa15	23635476	23638988	-	0.9285	0.9856	3278	0
PAT_LOCUS_6	PAT	FAM_000	chr16_pat_hsa15	29713141	29716640	-	0.9282	0.9805	3261	0
PAT_LOCUS_7	PAT	FAM_000	chr16_pat_hsa15	24702441	24705945	-	0.9268	0.9856	3278	0
PAT_LOCUS_8	PAT	FAM_000	chr16_pat_hsa15	103025466	103028904	-	0.9275	0.9666	3215	0
PAT_LOCUS_9	PAT	FAM_000	chr16_pat_hsa15	101040590	101043999	+	0.9274	0.9666	3215	0
PAT_LOCUS_10	PAT	FAM_000	chr16_pat_hsa15	33177147	33180679	+	0.9238	0.9931	3303	0
PAT_LOCUS_11	PAT	FAM_000	chr16_pat_hsa15	33203614	33207146	-	0.9238	0.9931	3303	0
PAT_LOCUS_12	PAT	FAM_000	chr16_pat_hsa15	33032683	33036195	-	0.9239	0.9871	3283	0
PAT_LOCUS_13	PAT	FAM_000	chr16_pat_hsa15	33347559	33351071	+	0.9239	0.9871	3283	0
PAT_LOCUS_14	PAT	FAM_000	chr16_pat_hsa15	31371012	31374538	+	0.9235	0.9931	3303	0
PAT_LOCUS_15	PAT	FAM_000	chr16_pat_hsa15	29626926	29630458	+	0.9235	0.9931	3303	0
PAT_LOCUS_16	PAT	FAM_000	chr16_pat_hsa15	33432352	33435881	+	0.9219	0.9931	3303	0
PAT_LOCUS_17	PAT	FAM_000	chr16_pat_hsa15	29664601	29668126	-	0.9216	0.9931	3303	0
PAT_LOCUS_18	PAT	FAM_001	chr16_pat_hsa15	29713307	29719282	+	0.9337	0.9944	5829	1
PAT_LOCUS_19	PAT	FAM_001	chr16_pat_hsa15	23549981	23555954	-	0.9337	0.9957	5837	0
PAT_LOCUS_20	PAT	FAM_001	chr16_pat_hsa15	31102891	31108871	-	0.9334	0.9957	5837	0
PAT_LOCUS_21	PAT	FAM_001	chr16_pat_hsa15	24898280	24904253	+	0.9334	0.9957	5837	0
PAT_LOCUS_22	PAT	FAM_001	chr16_pat_hsa15	23635649	23641630	+	0.9324	0.9957	5837	0
PAT_LOCUS_23	PAT	FAM_001	chr16_pat_hsa15	24702614	24708586	+	0.9323	0.9957	5837	0
PAT_LOCUS_24	PAT	FAM_001	chr16_pat_hsa15	33174531	33180513	-	0.9324	0.9944	5829	0
PAT_LOCUS_25	PAT	FAM_001	chr16_pat_hsa15	33203780	33209762	+	0.9322	0.9944	5829	0
PAT_LOCUS_26	PAT	FAM_001	chr16_pat_hsa15	29624321	29630293	-	0.9322	0.9944	5829	0
PAT_LOCUS_27	PAT	FAM_001	chr16_pat_hsa15	33344943	33350925	-	0.9315	0.9944	5829	0
PAT_LOCUS_28	PAT	FAM_001	chr16_pat_hsa15	33032829	33038802	+	0.9315	0.9944	5829	0
PAT_LOCUS_29	PAT	FAM_001	chr16_pat_hsa15	31368397	31374373	-	0.9313	0.9944	5829	0
PAT_LOCUS_30	PAT	FAM_001	chr16_pat_hsa15	29664766	29670735	+	0.9309	0.9944	5829	0
PAT_LOCUS_31	PAT	FAM_001	chr16_pat_hsa15	33429749	33435715	-	0.9301	0.9944	5829	0
PAT_LOCUS_32	PAT	FAM_002	chr16_pat_hsa15	29616539	29627269	-	0.9712	1.0000	10509	17
PAT_LOCUS_33	PAT	FAM_002	chr16_pat_hsa15	24901304	24911974	+	0.9713	0.9998	10507	0
PAT_LOCUS_34	PAT	FAM_002	chr16_pat_hsa15	24705637	24716306	+	0.9713	0.9998	10507	0
PAT_LOCUS_35	PAT	FAM_002	chr16_pat_hsa15	29716330	29727017	+	0.9713	1.0000	10509	0
PAT_LOCUS_36	PAT	FAM_002	chr16_pat_hsa15	23542255	23552931	-	0.9710	0.9998	10507	0
PAT_LOCUS_37	PAT	FAM_002	chr16_pat_hsa15	31095156	31105843	-	0.9709	1.0000	10509	0
PAT_LOCUS_38	PAT	FAM_002	chr16_pat_hsa15	23638678	23649374	+	0.9700	1.0000	10509	0
PAT_LOCUS_39	PAT	FAM_002	chr16_pat_hsa15	33166741	33177490	-	0.9695	1.0000	10509	0
PAT_LOCUS_40	PAT	FAM_002	chr16_pat_hsa15	29667783	29678506	+	0.9693	1.0000	10509	0
PAT_LOCUS_41	PAT	FAM_002	chr16_pat_hsa15	33206803	33217545	+	0.9690	1.0000	10509	0
PAT_LOCUS_42	PAT	FAM_002	chr16_pat_hsa15	33421961	33432695	-	0.9690	1.0000	10509	0
PAT_LOCUS_43	PAT	FAM_002	chr16_pat_hsa15	33337151	33347902	-	0.9689	1.0000	10509	0
PAT_LOCUS_44	PAT	FAM_002	chr16_pat_hsa15	33035852	33046588	+	0.9688	1.0000	10509	0
PAT_LOCUS_45	PAT	FAM_002	chr16_pat_hsa15	31360604	31371355	-	0.9685	1.0000	10509	0
PAT_LOCUS_46	PAT	FAM_003	chr16_pat_hsa15	29713307	29726892	-	0.9225	0.9916	13264	1
PAT_LOCUS_47	PAT	FAM_003	chr16_pat_hsa15	29616543	29630293	+	0.9217	0.9993	13367	0
PAT_LOCUS_48	PAT	FAM_003	chr16_pat_hsa15	31095281	31108863	+	0.9221	0.9916	13264	0
PAT_LOCUS_49	PAT	FAM_003	chr16_pat_hsa15	23542380	23555946	+	0.9219	0.9916	13264	0
PAT_LOCUS_50	PAT	FAM_003	chr16_pat_hsa15	24898288	24911849	-	0.9217	0.9916	13264	0
PAT_LOCUS_51	PAT	FAM_003	chr16_pat_hsa15	33166866	33180513	+	0.9213	0.9916	13264	0
PAT_LOCUS_52	PAT	FAM_003	chr16_pat_hsa15	29664766	29678502	-	0.9208	0.9993	13367	0
PAT_LOCUS_53	PAT	FAM_003	chr16_pat_hsa15	33337276	33350925	+	0.9211	0.9916	13264	0
PAT_LOCUS_54	PAT	FAM_003	chr16_pat_hsa15	33422086	33435715	+	0.9211	0.9916	13264	0
PAT_LOCUS_55	PAT	FAM_003	chr16_pat_hsa15	31360729	31374373	+	0.9210	0.9916	13264	0
PAT_LOCUS_56	PAT	FAM_003	chr16_pat_hsa15	24702622	24716181	-	0.9213	0.9916	13264	0
PAT_LOCUS_57	PAT	FAM_003	chr16_pat_hsa15	33206974	33217420	-	0.9202	0.7704	10305	0
PAT_LOCUS_58	PAT	FAM_003	chr16_pat_hsa15	33036023	33046463	-	0.9199	0.7704	10305	0
PAT_LOCUS_59	PAT	FAM_004	chr16_pat_hsa15	29713307	29726892	+	0.9221	0.9916	13255	1
PAT_LOCUS_60	PAT	FAM_004	chr16_pat_hsa15	29616543	29630293	-	0.9214	0.9993	13358	0
PAT_LOCUS_61	PAT	FAM_004	chr16_pat_hsa15	31095281	31108863	-	0.9219	0.9916	13255	0
PAT_LOCUS_62	PAT	FAM_004	chr16_pat_hsa15	23542380	23555946	-	0.9217	0.9916	13255	0
PAT_LOCUS_63	PAT	FAM_004	chr16_pat_hsa15	24898288	24911849	+	0.9215	0.9916	13255	0
PAT_LOCUS_64	PAT	FAM_004	chr16_pat_hsa15	29664766	29678502	+	0.9205	0.9993	13358	0
PAT_LOCUS_65	PAT	FAM_004	chr16_pat_hsa15	33166866	33180513	-	0.9209	0.9916	13255	0
PAT_LOCUS_66	PAT	FAM_004	chr16_pat_hsa15	33422086	33435715	-	0.9208	0.9916	13255	0
PAT_LOCUS_67	PAT	FAM_004	chr16_pat_hsa15	24702622	24716181	+	0.9211	0.9916	13255	0
PAT_LOCUS_68	PAT	FAM_004	chr16_pat_hsa15	33337276	33350925	-	0.9207	0.9916	13255	0
PAT_LOCUS_69	PAT	FAM_004	chr16_pat_hsa15	31360729	31374373	-	0.9206	0.9916	13255	0
PAT_LOCUS_70	PAT	FAM_004	chr16_pat_hsa15	33206974	33217420	+	0.9194	0.7704	10298	0
PAT_LOCUS_71	PAT	FAM_005	chr16_pat_hsa15	24976025	24980437	+	0.9732	0.9703	4412	60
PAT_LOCUS_72	PAT	FAM_006	chr16_pat_hsa15	29616543	29630293	+	0.9203	0.9982	13376	10
PAT_LOCUS_73	PAT	FAM_006	chr16_pat_hsa15	31095281	31108871	+	0.9207	0.9911	13281	0
