gene	gene_name	chrom	start	end	strand	n_introns	n_chain_reads	primary_frac	n_secondary	dom_sibling	nm_taxonomy	nm_anchor_G	nm_anchor_sibling	nm_anchor_ambiguous	nm_margin_median	gene_biotype	gene_desc	locus_rel	same_family
gene-DAPK1	DAPK1	NC_073237.2	83709295	83917729	+	29	411	0.236	314	NC_073237.2:intergenic	expressed_real_copy	77	306	22	-7	protein_coding	death associated protein kinase 1	no_sibling	False
gene-LOC101126097	LOC101126097	NC_073224.2	115215234	115300842	-	34	392	0.138	338	gene-LOC134756922	expressed_real_copy	28	326	1	-26	protein_coding	myomegalin	distal	True
gene-LOC129523520	LOC129523520	NC_073224.2	19024562	19035441	-	8	377	0.125	330	gene-LOC134758712	expressed_real_copy	24	88	2	-3.0	protein_coding	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7-like	distal	True
gene-LOC129523464	LOC129523464	NC_073237.2	84341528	84346814	-	8	369	0.081	339	gene-LOC101145975	expressed_real_copy	29	278	0	-11	protein_coding	procathepsin L-like	tandem	True
gene-LOC134756437	LOC134756437	NC_073224.2	19235754	19243961	-	9	366	0.21	289	gene-LOC134758712	expressed_real_copy	68	73	0	-5	protein_coding	bifunctional peptidase and (3S)-lysyl hydroxylase JMJD7-like	distal	True
gene-LOC115931069	LOC115931069	NC_073242.2	21674069	21706179	+	11	349	0.203	278	NC_073242.2:intergenic	expressed_real_copy	7	28	0	-48	protein_coding	putative uncharacterized SMG1-like protein	no_sibling	False
gene-ZC3H7A	ZC3H7A	NC_073242.2	15387798	15414682	-	19	343	0.05	326	gene-LOC115932749	expressed_real_copy	20	312	9	-21	protein_coding	zinc finger CCCH-type containing 7A	distal	False
gene-LOC101136971	LOC101136971	NC_073242.2	28520981	28548016	+	17	342	0.053	324	gene-LOC115932749	expressed_real_copy	14	314	8	-20.0	protein_coding	zinc finger CCCH domain-containing protein 7A	distal	True
gene-LOC129529226	LOC129529226	NC_073224.2	15679357	15690289	+	21	336	0.238	256	NC_073224.2:intergenic	expressed_real_copy	8	36	8	-20.5	protein_coding	cytosolic phospholipase A2 beta	no_sibling	False
gene-LOC134758744	LOC134758744	NC_073224.2	19225183	19235592	-	20	311	0.035	300	NC_073224.2:intergenic	expressed_real_copy	10	298	0	-23.0	protein_coding	cytosolic phospholipase A2 beta-like	no_sibling	False
gene-LOC129531982	LOC129531982	NC_073224.2	29070816	29081209	-	22	294	0.194	237	NC_073224.2:intergenic	expressed_real_copy	53	234	0	-27	protein_coding	cytosolic phospholipase A2 beta-like	no_sibling	False
gene-GPR89A	GPR89A	NC_073224.2	116008802	116054830	+	16	284	0.158	239	gene-LOC101128637	expressed_real_copy	29	204	7	-292.0	protein_coding	G protein-coupled receptor 89A	distal	False
gene-LOC101146324	LOC101146324	NC_073232.2	13947463	13961736	-	8	282	0.174	233	gene-LOC115936027	expressed_real_copy	30	125	0	-22.0	protein_coding	aldo-keto reductase family 1 member C1	tandem	True
gene-LOC115935989	LOC115935989	NC_073232.2	68914287	68962914	-	7	267	0.056	252	gene-SHLD2	expressed_real_copy	7	251	0	-43.5	protein_coding	shieldin complex subunit 2-like	distal	False
gene-LOC129526385	LOC129526385	NC_073238.2	22875847	22937373	-	8	255	0.118	225	gene-LOC129526957	expressed_real_copy	18	199	16	-8	protein_coding	histone-lysine N-methyltransferase 2C-like	trans	True
gene-LOC101127609	LOC101127609	NC_073242.2	104908709	104928775	-	19	250	0.168	208	gene-LOC115930161	expressed_real_copy	3	178	68	-14	protein_coding	C-type lectin domain family 18 member A	distal	True
gene-LOC129529769	LOC129529769	NC_073247.2	59725270	59732619	+	4	232	0.177	191	gene-LOC129529765	expressed_real_copy	3	30	198	0	protein_coding	G antigen 2D-like	tandem	True
gene-LOC101148384	LOC101148384	NC_073235.2	31684679	31709055	-	20	228	0.202	182	gene-LOC101134642	expressed_real_copy	44	183	0	-93	protein_coding	sphingomyelin phosphodiesterase 4-like	distal	True
gene-LOC101148570	LOC101148570	NC_073230.2	42499102	42605586	-	22	215	0.135	186	gene-DPY19L2	expressed_real_copy	13	94	0	-133	protein_coding	probable C-mannosyltransferase DPY19L2	trans	False
gene-WASHC2A	WASHC2A	NC_073232.2	65791542	65834548	+	27	211	0.062	198	gene-WASHC2C	expressed_real_copy	6	182	0	-38.0	protein_coding	WASH complex subunit 2A	distal	True
gene-DGCR6	DGCR6	NC_086018.1	16346278	16354782	+	5	207	0.029	201	gene-DGCR6L	expressed_real_copy	5	202	0	-24	protein_coding	DiGeorge syndrome critical region gene 6	distal	True
gene-LOC101128092	LOC101128092	NC_073228.2	60886217	60946734	+	19	201	0.075	186	gene-LOC101143223	expressed_real_copy	13	25	1	-4	protein_coding	leucine-rich repeat-containing protein 37B	distal	True
gene-LOC115931912	LOC115931912	NC_086018.1	18911591	18920359	+	5	197	0.01	195	gene-DGCR6L	expressed_real_copy	3	194	0	-26	protein_coding	protein DGCR6-like	distal	False
gene-LOC101146691	LOC101146691	NC_073236.2	47822681	47852734	+	10	196	0.107	175	gene-LIMS1	expressed_real_copy	19	175	0	-71.0	protein_coding	LIM and senescent cell antigen-like-containing domain protein 1	distal	False
gene-LOC129534588	LOC129534588	NC_073224.2	15791575	15802484	+	22	192	0.177	158	gene-LOC129529234	expressed_real_copy	4	28	5	-22	protein_coding	cytosolic phospholipase A2 beta-like	tandem	True
gene-LOC129531666	LOC129531666	NC_073236.2	51155573	51224381	+	24	191	0.199	153	gene-LOC109025447	expressed_real_copy	24	158	9	-78	protein_coding	ranBP2-like and GRIP domain-containing protein 4	distal	True
gene-LOC129525191	LOC129525191	NC_073224.2	129926455	129995155	+	26	186	0.097	168	gene-LOC129525331	expressed_real_copy	14	168	0	-18.0	protein_coding	neuroblastoma breakpoint family member 15-like	distal	True
gene-LOC101131768	LOC101131768	NC_073236.2	52782967	52858013	+	25	181	0.099	163	gene-LOC109025447	expressed_real_copy	16	157	0	-84	protein_coding	ranBP2-like and GRIP domain-containing protein 4	distal	True
gene-LOC129531667	LOC129531667	NC_073236.2	51395454	51458531	+	24	176	0.051	167	gene-LOC109025447	expressed_real_copy	13	152	8	-76	protein_coding	ranBP2-like and GRIP domain-containing protein 4	distal	True
gene-LOC129527278	LOC129527278	NC_073236.2	21806176	21851950	-	15	153	0.098	138	gene-LOC129526395	expressed_real_copy	11	132	10	-7	protein_coding	protein FRG1-like	trans	True
gene-LOC134756389	LOC134756389	NC_073231.2	151170135	151186001	-	17	134	0.187	109	gene-LOC101142457	expressed_real_copy	10	119	2	-11	protein_coding	rab-like protein 2B	trans	True
gene-LOC115935268	LOC115935268	NC_073230.2	86073582	86100405	+	12	133	0.195	107	gene-LOC115932796	expressed_real_copy	14	81	11	-7.0	protein_coding	drebrin-like protein	tandem	True
gene-LOC101138318	LOC101138318	NC_073242.2	15670202	15708874	-	35	117	0.214	92	gene-LOC101131561	expressed_real_copy	4	6	0	-84.5	protein_coding	polycystin-1	distal	True
gene-LOC115930536	LOC115930536	NC_073239.2	32665973	32681460	-	9	114	0.246	86	gene-LOC101144919	expressed_real_copy	23	86	0	-31	protein_coding	dehydrogenase/reductase SDR family member 4-like	tandem	True
gene-LOC129526409	LOC129526409	NC_073238.2	22521825	22567629	-	16	109	0.037	105	gene-LOC129526395	expressed_real_copy	3	102	3	-11.0	protein_coding	protein FRG1-like	distal	True
gene-LOC129530239	LOC129530239	NC_073248.2	19625715	19639621	-	14	106	0.075	98	gene-LOC129530241	expressed_real_copy	8	93	4	-2	protein_coding	RNA-binding motif protein, Y chromosome, family 1 member F/J-like	tandem	True
gene-LOC115934004	LOC115934004	NC_073224.2	124449206	124474484	-	21	104	0.25	78	gene-LOC115932984	expressed_real_copy	26	77	0	-112	protein_coding	neuroblastoma breakpoint family member 1	distal	True
gene-LOC129531985	LOC129531985	NC_073224.2	28878203	28927987	-	10	98	0.041	94	gene-LOC134758682	expressed_real_copy	5	93	0	-52.5	protein_coding	centrosomal protein of 170 kDa-like	distal	True
gene-PLEKHM1	PLEKHM1	NC_073228.2	46778720	46833609	+	15	96	0.219	75	NC_073228.2:intergenic	expressed_real_copy	23	62	3	-2.0	protein_coding	pleckstrin homology and RUN domain containing M1	no_sibling	False
gene-LOC129530249	LOC129530249	NC_073248.2	25725362	25739264	-	9	95	0.105	85	gene-LOC129530241	expressed_real_copy	10	83	0	-21	protein_coding	RNA-binding motif protein, Y chromosome, family 1 member F/J-like	distal	True
gene-LOC115931590	LOC115931590	NC_073244.2	68293346	68300389	-	6	95	0.2	76	gene-LOC101153611	expressed_real_copy	21	58	1	-4.0	protein_coding	zinc finger and SCAN domain-containing protein 5A	tandem	True
gene-LOC115933006	LOC115933006	NC_073228.2	182582937	182620612	+	33	91	0.165	76	gene-LOC115933189	expressed_real_copy	25	50	10	-2	protein_coding	protein FAM153B	tandem	True
gene-LOC129523468	LOC129523468	NC_073236.2	140592917	140608774	-	20	90	0.0	90	gene-RABL2B	expressed_real_copy	6	77	4	-12	protein_coding	rab-like protein 2B	trans	False
gene-LOC115933307	LOC115933307	NC_073237.2	29865112	30100545	-	25	83	0.133	72	gene-LOC101143875	expressed_real_copy	11	72	0	-14	protein_coding	contactin-associated protein-like 3	distal	True
gene-LOC129530020	LOC129530020	NC_073247.2	161266102	161270121	-	2	78	0.09	71	gene-TMEM185A	expressed_real_copy	30	0	38	1.0	protein_coding	transmembrane protein 185A-like	tandem	False
gene-LOC129529560	LOC129529560	NC_086018.1	16252381	16264613	-	6	72	0.069	67	gene-LOC129529591	expressed_real_copy	3	65	1	-11	protein_coding	zinc finger protein 74-like	distal	True
gene-LOC115931040	LOC115931040	NC_073240.2	16216758	16255074	-	12	71	0.113	63	NC_073236.2:intergenic	expressed_real_copy	8	27	1	-19.5	protein_coding	inactive serine/threonine-protein kinase TEX14-like	no_sibling	False
gene-LOC129523511	LOC129523511	NC_073227.2	212285014	212300835	-	19	69	0.174	57	gene-RABL2B	expressed_real_copy	14	52	0	-14.0	protein_coding	rab-like protein 2B	trans	False
gene-LOC129530243	LOC129530243	NC_073248.2	19602754	19616644	-	9	66	0.121	58	gene-LOC129530241	expressed_real_copy	8	55	0	-23	protein_coding	RNA-binding motif protein, Y chromosome, family 1 member B-like	tandem	True
gene-LOC129530382	LOC129530382	NC_073248.2	52311113	52349790	+	9	60	0.05	57	gene-LOC129526379	expressed_real_copy	3	55	0	-34.5	protein_coding	immunoglobulin superfamily member 3-like	trans	True
gene-LOC129527723	LOC129527723	NC_073242.2	104785375	104844092	+	19	55	0.182	45	NC_073242.2:intergenic	expressed_real_copy	7	29	0	-11.5	protein_coding	serine/threonine-protein kinase SMG1-like	no_sibling	False
gene-LOC115933002	LOC115933002	NC_073228.2	46722625	46761985	+	23	54	0.13	47	gene-LOC101135168	expressed_real_copy	6	35	0	-12	protein_coding	leucine-rich repeat-containing protein 37A3-like	tandem	True
gene-LOC109027627	LOC109027627	NC_073230.2	86091366	86139617	-	10	53	0.151	45	gene-LOC101130894	expressed_real_copy	4	26	3	-3	protein_coding	DNA-directed RNA polymerase II subunit RPB11-b2	tandem	True
gene-RABL2A	RABL2A	NC_073235.2	15131653	15147533	+	23	51	0.196	41	gene-RABL2B	expressed_real_copy	10	39	1	-12.5	protein_coding	RAB, member of RAS oncogene family like 2A	trans	True
gene-LOC134756757	LOC134756757	NC_073236.2	24336627	24396462	+	11	50	0.06	47	NC_073236.2:intergenic	expressed_real_copy	3	15	1	-12	protein_coding	inactive serine/threonine-protein kinase TEX14-like	no_sibling	False
gene-LOC101152610	LOC101152610	NC_073240.2	21601779	21610583	+	9	45	0.222	35	gene-LOC101136352	expressed_real_copy	10	34	1	-112	lncRNA	uncharacterized LOC101152610	distal	True
gene-LOC101151351	LOC101151351	NC_073237.2	84122229	84132470	+	9	41	0.171	34	gene-CDK20	expressed_real_copy	3	31	0	-9.0	protein_coding	cyclin-dependent kinase 20	tandem	False
gene-LOC115935022	LOC115935022	NC_073229.2	49603424	49608395	-	12	41	0.22	32	gene-LOC101147118	expressed_real_copy	7	30	2	-7	protein_coding	tenascin-X-like	tandem	True
gene-LOC129530552	LOC129530552	NC_086018.1	1761044	1783741	-	15	39	0.205	31	gene-LOC101142904	expressed_real_copy	8	30	0	-3.0	protein_coding	protein FRG1-like	trans	True
gene-LOC129530478	LOC129530478	NC_073246.2	2455896	2468733	-	4	39	0.103	35	gene-LOC101143142	expressed_real_copy	4	35	0	-13	lncRNA	uncharacterized LOC129530478	trans	True
gene-LOC101147888	LOC101147888	NC_073233.2	54906943	54976085	-	24	35	0.229	27	gene-LOC101149915	expressed_real_copy	8	27	0	-37	protein_coding	glutamate carboxypeptidase 2	distal	True
gene-LOC115931432	LOC115931432	NC_073242.2	120770931	121178437	+	83	33	0.212	26	gene-LOC134758023	expressed_real_copy	11	19	2	-6.0	protein_coding	decreased expression in renal and prostate cancer protein	trans	True
gene-LOC115932771	LOC115932771	NC_086017.1	207202770	207214438	+	3	30	0.1	27	NC_086017.1:intergenic	expressed_real_copy	3	27	0	-30.0	lncRNA	uncharacterized LOC115932771	no_sibling	False
gene-LOC115932143	LOC115932143	NC_073247.2	147502478	147517296	+	9	30	0.2	24	gene-LOC101145464	expressed_real_copy	16	9	3	3.5	protein_coding	cancer/testis antigen family 45 member A6-like	tandem	True
gene-LOC101144261	LOC101144261	NC_073232.2	68345369	68394081	-	14	29	0.172	24	NC_073232.2:intergenic	expressed_real_copy	5	24	0	-62	protein_coding	arf-GAP with GTPase, ANK repeat and PH domain-containing protein 10	no_sibling	False
gene-LOC129532022	LOC129532022	NC_073235.2	144999581	145368832	+	56	23	0.217	18	gene-LOC134758023	expressed_real_copy	6	11	5	-2.0	lncRNA	uncharacterized LOC129532022	trans	True
gene-LOC129534750	LOC129534750	NC_073230.2	86091366	86220039	-	8	21	0.19	17	gene-LOC101130894	expressed_real_copy	5	0	0	2	protein_coding	uroplakin-3b-like protein 1	overlapping	True
gene-LOC129530372	LOC129530372	NC_073248.2	44126198	44162443	+	16	18	0.0	18	gene-DNAI1	expressed_real_copy	4	5	9	1.0	protein_coding	dynein axonemal intermediate chain 1-like	trans	False
gene-LOC129532018	LOC129532018	NC_073235.2	144622575	144683955	+	16	17	0.118	15	gene-LOC134758023	expressed_real_copy	3	7	5	0	lncRNA	uncharacterized LOC129532018	trans	True
gene-LOC129527175	LOC129527175	NC_073240.2	31359989	31374377	+	19	16	0.25	12	gene-LOC129527176	expressed_real_copy	4	10	0	-4.0	protein_coding	golgin subfamily A member 8N-like	distal	True
gene-LOC129526914	LOC129526914	NC_073240.2	84057516	84068088	+	9	16	0.25	12	NC_073240.2:intergenic	expressed_real_copy	4	11	0	-76	protein_coding	trichohyalin-like	no_sibling	False
gene-LOC101143516	LOC101143516	NC_073232.2	64998892	65011730	-	9	14	0.214	11	NC_073232.2:intergenic	expressed_real_copy	3	11	0	-47.0	protein_coding	NUT family member 2D-like	no_sibling	False
gene-LOC115930163	LOC115930163	NC_073242.2	104723483	104781487	+	15	14	0.214	11	gene-LOC129527695	expressed_real_copy	3	10	0	-25	protein_coding	serine/threonine-protein phosphatase 2A regulatory subunit B'' subunit beta-like	distal	True
gene-LOC101134418	LOC101134418	NC_073236.2	34921153	34935198	-	6	13	0.231	10	gene-LOC101147060	expressed_real_copy	3	10	0	-28	protein_coding	tripartite motif-containing protein 43	distal	True
