family_id	seed_tid	tid	chrom	start	end	n_exon	strand	n_reads	identity	coverage
GWFAM95	DN_NC_073240.2_24008963_23	SE_NC_073240.2_21430404_23	NC_073240.2	21430404	21470967	23	+	1	0.9772	0.9838
GWFAM145	DN_NC_073247.2_161266102_3	SE_NC_073247.2_161441989_4	NC_073247.2	161441989	161449441	4	+	1	0.9859	0.9736
GWFAM40	DN_NC_073230.2_13359013_21	SE_NC_073230.2_14200445_21	NC_073230.2	14200445	14244918	21	+	1	0.9709	0.9886
GWFAM92	DN_NC_073239.2_35396928_9	SE_NC_073239.2_35520684_8	NC_073239.2	35520684	35581003	8	+	1	0.9707	0.9877
GWFAM14	DN_NC_073236.2_140396858_2	SE_NC_073233.2_5828682_2	NC_073233.2	5828682	5831770	2	+	1	0.9679	0.9887
GWFAM95	DN_NC_073240.2_21430323_23	SE_NC_073240.2_24008966_23	NC_073240.2	24008966	24049490	23	-	1	0.9772	0.9754
GWFAM93	DN_NC_073239.2_122741456_4	SE_NC_073239.2_122741462_5	NC_073239.2	122741462	122920232	5	-	1	1.0000	0.9521
GWFAM42	DN_NC_073230.2_86128997_5	SE_NC_073230.2_86237218_5	NC_073230.2	86237218	86247750	5	-	2	0.9679	0.9820
GWFAM111	DN_NC_073242.2_26889052_8	SE_NC_073242.2_27178722_8	NC_073242.2	27178722	27222349	8	-	2	0.9682	0.9814
GWFAM143	DN_NC_073247.2_131863977_4	SE_NC_073247.2_131774354_4	NC_073247.2	131774354	131781309	4	-	1	0.9956	0.9543
GWFAM19	DN_NC_073228.2_56462421_14	SE_NC_073228.2_54400031_14	NC_073228.2	54400031	54411025	14	-	2	0.9804	0.9689
GWFAM113	DN_NC_073242.2_32258504_8	SE_NC_073242.2_32495364_9	NC_073242.2	32495364	32531671	9	-	2	0.9722	0.9769
GWFAM87	DN_NC_073238.2_32266748_7	SE_NC_073238.2_33425477_8	NC_073238.2	33425477	33511623	8	-	2	0.9547	0.9927
GWFAM65	DN_NC_073238.2_22875931_6	SE_NC_073236.2_21265378_6	NC_073236.2	21265378	21342125	6	-	1	0.9678	0.9777
GWFAM144	DN_NC_073247.2_161251228_4	SE_NC_073247.2_161459562_4	NC_073247.2	161459562	161464316	4	+	1	1.0000	0.9448
GWFAM79	DN_NC_073237.2_83893634_7	SE_NC_073237.2_84364262_8	NC_073237.2	84364262	84388341	8	-	1	0.9591	0.9836
GWFAM104	DN_NC_073242.2_15387798_13	SE_NC_073242.2_28528783_13	NC_073242.2	28528783	28548014	13	+	1	0.9438	0.9965
GWFAM65	DN_NC_073238.2_22875931_6	SE_NC_073240.2_14397531_6	NC_073240.2	14397531	14474108	6	-	2	0.9624	0.9751
GWFAM16	DN_NC_073247.2_167707352_7	SE_NC_073231.2_151170139_7	NC_073231.2	151170139	151185962	7	-	1	0.9458	0.9908
GWFAM85	DN_NC_073238.2_30171533_2	SE_NC_073238.2_33197456_2	NC_073238.2	33197456	33228323	2	+	1	0.9413	0.9953
GWFAM144	DN_NC_073247.2_161458548_3	SE_NC_073247.2_161251228_2	NC_073247.2	161251228	161256981	2	-	2	0.9506	0.9823
GWFAM150	DN_NC_073248.2_19671639_11	SE_NC_073248.2_19648671_11	NC_073248.2	19648671	19662518	11	-	1	0.9389	0.9945
GWFAM96	DN_NC_073240.2_21546862_14	SE_NC_073240.2_23219754_15	NC_073240.2	23219754	23274570	15	+	2	0.9387	0.9936
GWFAM80	DN_NC_073237.2_84341528_8	SE_NC_073237.2_83935273_8	NC_073237.2	83935273	83940513	8	+	1	0.9399	0.9915
GWFAM88	DN_NC_073238.2_32460881_5	SE_NC_073238.2_30078508_5	NC_073238.2	30078508	30107912	5	+	1	0.9496	0.9813
GWFAM56	DN_NC_073242.2_28854512_28	SE_NC_073244.2_20936585_27	NC_073244.2	20936585	20998840	27	-	1	0.9789	0.9498
GWFAM13	DN_NC_073238.2_24693721_8	SE_NC_073240.2_14911192_8	NC_073240.2	14911192	14933374	8	-	1	0.9442	0.9847
GWFAM147	DN_NC_073247.2_164426194_3	SE_NC_073247.2_164397085_4	NC_073247.2	164397085	164401084	4	+	1	0.9538	0.9747
GWFAM3	DN_NC_073224.2_101602474_9	SE_NC_073224.2_101594000_10	NC_073224.2	101594000	101607689	10	+	2	1.0000	0.9293
GWFAM81	DN_NC_073237.2_84204483_4	SE_NC_073237.2_84005225_4	NC_073237.2	84005225	84078830	4	-	1	0.9415	0.9869
GWFAM16	DN_NC_073231.2_151170138_9	SE_NC_073247.2_167707335_9	NC_073247.2	167707335	167723151	9	-	1	0.9482	0.9788
GWFAM146	DN_NC_073247.2_164381225_3	SE_NC_073247.2_164442451_3	NC_073247.2	164442451	164446017	3	-	1	0.9605	0.9634
GWFAM124	DN_NC_073244.2_17994655_4	SE_NC_073244.2_17960526_4	NC_073244.2	17960526	18010584	4	+	1	0.9975	0.9263
GWFAM52	DN_NC_073232.2_91788496_6	SE_NC_073232.2_36391584_6	NC_073232.2	36391584	36399479	6	-	2	0.9401	0.9819
GWFAM36	DN_NC_073229.2_136502913_3	SE_NC_073229.2_136550637_2	NC_073229.2	136550637	136554622	2	+	2	0.9298	0.9927
GWFAM134	DN_NC_073247.2_11949208_10	SE_NC_073248.2_9270708_10	NC_073248.2	9270708	9321428	10	+	1	0.9907	0.9314
GWFAM48	DN_NC_073236.2_24785620_8	SE_NC_073236.2_22553726_8	NC_073236.2	22553726	22573572	8	-	1	0.9374	0.9836
GWFAM150	DN_NC_073248.2_19694607_11	SE_NC_073248.2_19625716_10	NC_073248.2	19625716	19639602	10	-	2	0.9285	0.9922
GWFAM110	DN_NC_073242.2_27157172_8	SE_NC_073242.2_26867512_7	NC_073242.2	26867512	26886426	7	+	1	0.9454	0.9745
GWFAM119	DN_NC_073242.2_104351249_12	SE_NC_073242.2_104913185_13	NC_073242.2	104913185	104926309	13	-	1	1.0000	0.9192
GWFAM133	DN_NC_073247.2_11741820_2	SE_NC_073248.2_9064807_2	NC_073248.2	9064807	9079535	2	-	1	0.9574	0.9590
GWFAM52	DN_NC_073232.2_36391573_6	SE_NC_073232.2_91788560_6	NC_073232.2	91788560	91796427	6	+	1	0.9541	0.9612
GWFAM150	DN_NC_073248.2_19625716_11	SE_NC_073248.2_19694607_12	NC_073248.2	19694607	19708480	12	-	1	0.9237	0.9921
GWFAM10	DN_NC_073227.2_8155822_4	SE_NC_086017.1_9334389_3	NC_086017.1	9334389	9353586	3	-	1	0.9313	0.9838
GWFAM154	DN_NC_086018.1_22406144_7	SE_NC_086018.1_22371802_7	NC_086018.1	22371802	22391271	7	-	2	0.9221	0.9932
GWFAM147	DN_NC_073247.2_164397061_3	SE_NC_073247.2_164426195_4	NC_073247.2	164426195	164430206	4	-	2	0.9306	0.9833
GWFAM38	DN_NC_073232.2_146269345_5	SE_NC_073244.2_5551322_5	NC_073244.2	5551322	5618501	5	-	1	0.9229	0.9906
GWFAM29	DN_NC_073228.2_182587557_24	SE_NC_073228.2_182513643_25	NC_073228.2	182513643	182570119	25	-	1	0.9396	0.9725
GWFAM84	DN_NC_073238.2_23273370_7	SE_NC_073238.2_24374294_7	NC_073238.2	24374294	24402044	7	-	1	0.9308	0.9813
GWFAM13	DN_NC_073240.2_14911190_8	SE_NC_073238.2_24693764_8	NC_073238.2	24693764	24715940	8	+	1	0.9321	0.9799
GWFAM82	DN_NC_073237.2_109453316_3	SE_NC_073237.2_109461589_2	NC_073237.2	109461589	109468401	2	+	1	0.9246	0.9873
GWFAM104	DN_NC_073242.2_15387798_13	SE_NC_073242.2_35785094_12	NC_073242.2	35785094	35803904	12	-	2	0.9601	0.9505
GWFAM132	DN_NC_073248.2_8111002_4	SE_NC_073247.2_10802453_5	NC_073247.2	10802453	10807715	5	-	2	0.9201	0.9908
GWFAM79	DN_NC_073237.2_84364241_25	SE_NC_073237.2_83709396_25	NC_073237.2	83709396	83917728	25	+	1	0.9924	0.9186
GWFAM17	DN_NC_073228.2_46778779_7	SE_NC_073228.2_45974568_6	NC_073228.2	45974568	46012133	6	+	1	0.9124	0.9986
GWFAM77	DN_NC_073237.2_17678399_14	SE_NC_073238.2_22049881_14	NC_073238.2	22049881	22096529	14	+	1	0.9235	0.9848
GWFAM148	DN_NC_073247.2_166251078_8	SE_NC_073247.2_166175396_8	NC_073247.2	166175396	166182663	8	+	1	0.9926	0.9136
GWFAM150	DN_NC_073248.2_19625716_11	SE_NC_073248.2_19671639_12	NC_073248.2	19671639	19685439	12	-	1	0.9448	0.9588
GWFAM104	DN_NC_073242.2_28528745_13	SE_NC_073242.2_15387798_13	NC_073242.2	15387798	15406730	13	-	1	0.9658	0.9375
GWFAM119	DN_NC_073242.2_104351249_12	SE_NC_073242.2_99181141_13	NC_073242.2	99181141	99194535	13	+	1	0.9290	0.9731
GWFAM136	DN_NC_073247.2_59782501_5	SE_NC_073247.2_59696708_5	NC_073247.2	59696708	59704039	5	+	1	0.9693	0.9309
GWFAM53	DN_NC_073232.2_64911732_5	SE_NC_073232.2_65009288_5	NC_073232.2	65009288	65028687	5	-	2	0.9260	0.9733
GWFAM14	DN_NC_073236.2_140396858_2	SE_NC_073234.2_149321917_2	NC_073234.2	149321917	149325020	2	-	1	0.9227	0.9768
GWFAM66	DN_NC_073236.2_25270780_7	SE_NC_073236.2_22701878_7	NC_073236.2	22701878	22771559	7	+	1	0.9120	0.9873
GWFAM2	DN_NC_073224.2_19027217_8	SE_NC_073224.2_15783752_8	NC_073224.2	15783752	15791928	8	+	1	0.9107	0.9886
GWFAM127	DN_NC_073244.2_68333010_5	SE_NC_073244.2_68293347_5	NC_073244.2	68293347	68300401	5	-	1	0.9095	0.9895
GWFAM15	DN_NC_073227.2_211898133_4	SE_NC_073240.2_103158559_4	NC_073240.2	103158559	103187578	4	-	1	0.9163	0.9821
GWFAM24	DN_NC_073228.2_79926337_12	SE_NC_073228.2_83435532_12	NC_073228.2	83435532	83477430	12	-	1	0.9333	0.9640
GWFAM77	DN_NC_073238.2_22049850_15	SE_NC_073237.2_17678415_15	NC_073237.2	17678415	17729191	15	+	1	0.9081	0.9892
GWFAM61	DN_NC_073242.2_3677891_18	SE_NC_073235.2_144816105_17	NC_073235.2	144816105	144823105	17	+	1	0.9309	0.9636
GWFAM20	DN_NC_073228.2_60914218_12	SE_NC_073228.2_62386775_13	NC_073228.2	62386775	62419678	13	-	1	0.9839	0.9108
GWFAM108	DN_NC_073242.2_16378095_15	SE_NC_073242.2_16378249_16	NC_073242.2	16378249	16544506	16	-	1	0.9466	0.9464
GWFAM133	DN_NC_073247.2_11741820_2	SE_NC_073248.2_9064813_2	NC_073248.2	9064813	9078979	2	-	1	0.9574	0.9355
GWFAM56	DN_NC_073242.2_28854512_28	SE_NC_073233.2_129495978_29	NC_073233.2	129495978	129566303	29	+	2	0.9517	0.9409
GWFAM43	DN_NC_073230.2_64705378_4	SE_NC_073230.2_63938115_4	NC_073230.2	63938115	63959789	4	+	1	0.9655	0.9269
GWFAM113	DN_NC_073242.2_32495347_8	SE_NC_073242.2_32258512_9	NC_073242.2	32258512	32294781	9	-	2	0.9394	0.9524
GWFAM10	DN_NC_073230.2_168783028_4	SE_NC_073242.2_121237221_4	NC_073242.2	121237221	121252792	4	+	1	0.9455	0.9436
GWFAM38	DN_NC_073232.2_146269345_5	SE_NC_073224.2_241112672_5	NC_073224.2	241112672	241180047	5	+	2	0.8972	0.9916
GWFAM16	DN_NC_073231.2_151170138_9	SE_NC_073227.2_212285016_9	NC_073227.2	212285016	212300819	9	-	2	0.8983	0.9898
GWFAM109	DN_NC_073242.2_30595894_2	SE_NC_073242.2_31459616_2	NC_073242.2	31459616	31462078	2	+	2	0.9187	0.9672
GWFAM21	DN_NC_073228.2_70719322_2	SE_NC_073228.2_66329319_2	NC_073228.2	66329319	66333761	2	-	2	0.8924	0.9954
GWFAM34	DN_NC_073229.2_49609912_41	SE_NC_073229.2_49583457_41	NC_073229.2	49583457	49597694	41	+	1	0.9800	0.9057
GWFAM60	DN_NC_073235.2_32697780_5	SE_NC_073235.2_31723381_4	NC_073235.2	31723381	31728137	4	-	2	0.9724	0.9116
GWFAM10	DN_NC_073232.2_8586772_4	SE_NC_073240.2_103747510_4	NC_073240.2	103747510	103763369	4	+	1	0.9108	0.9731
GWFAM16	DN_NC_073231.2_151170138_9	SE_NC_073235.2_15131706_9	NC_073235.2	15131706	15147528	9	+	1	0.8938	0.9911
GWFAM38	DN_NC_073229.2_195378121_3	SE_NC_073241.2_110003039_3	NC_073241.2	110003039	110016067	3	+	1	0.9025	0.9814
GWFAM127	DN_NC_073244.2_68333010_5	SE_NC_073244.2_68333131_5	NC_073244.2	68333131	68424913	5	-	1	1.0000	0.8839
GWFAM60	DN_NC_073235.2_31723375_5	SE_NC_073235.2_32699880_4	NC_073235.2	32699880	32704500	4	+	2	0.9723	0.9089
GWFAM133	DN_NC_073247.2_11741820_2	SE_NC_073248.2_9064810_3	NC_073248.2	9064810	9079347	3	-	1	0.8872	0.9951
GWFAM29	DN_NC_073228.2_182513645_26	SE_NC_073228.2_179898678_25	NC_073228.2	179898678	179943178	25	+	2	0.9073	0.9729
GWFAM81	DN_NC_073237.2_84204483_4	SE_NC_073237.2_84005233_5	NC_073237.2	84005233	84078755	5	-	1	0.9130	0.9665
GWFAM88	DN_NC_073238.2_33291944_5	SE_NC_073238.2_32460929_4	NC_073238.2	32460929	32490302	4	+	1	0.8964	0.9842
GWFAM17	DN_NC_073228.2_45974521_9	SE_NC_073228.2_46778777_8	NC_073228.2	46778777	46818630	8	+	1	0.9942	0.8871
GWFAM154	DN_NC_086018.1_22406144_7	SE_NC_086018.1_22520078_8	NC_086018.1	22520078	22539545	8	-	1	0.8838	0.9971
GWFAM119	DN_NC_073242.2_104912717_12	SE_NC_073242.2_104350782_12	NC_073242.2	104350782	104363973	12	-	1	0.9389	0.9385
GWFAM38	DN_NC_073232.2_146269345_5	SE_NC_086017.1_211655876_5	NC_086017.1	211655876	211723209	5	+	1	0.8843	0.9916
GWFAM96	DN_NC_073240.2_23219748_14	SE_NC_073240.2_21546865_15	NC_073240.2	21546865	21601802	15	-	2	0.9388	0.9323
GWFAM38	DN_NC_073232.2_146269345_5	SE_NC_086017.1_9234757_5	NC_086017.1	9234757	9353580	5	-	1	0.8983	0.9734
GWFAM78	DN_NC_073237.2_30220068_5	SE_NC_073237.2_23553584_5	NC_073237.2	23553584	23573992	5	+	1	0.8787	0.9930
GWFAM10	DN_NC_073230.2_168783028_4	SE_NC_073227.2_211084536_4	NC_073227.2	211084536	211100421	4	-	2	0.9234	0.9436
GWFAM81	DN_NC_073237.2_84005209_4	SE_NC_073237.2_84204663_5	NC_073237.2	84204663	84278096	5	+	1	0.9128	0.9545
GWFAM48	DN_NC_073236.2_23070422_5	SE_NC_073238.2_25250991_4	NC_073238.2	25250991	25267149	4	-	1	0.8776	0.9923
GWFAM65	DN_NC_073240.2_14397327_6	SE_NC_073238.2_22875939_6	NC_073238.2	22875939	22937338	6	-	1	0.9734	0.8945
GWFAM15	DN_NC_073240.2_103158561_3	SE_NC_073227.2_211898137_4	NC_073227.2	211898137	211927312	4	-	1	0.8946	0.9730
GWFAM139	DN_NC_073247.2_62664065_4	SE_NC_073247.2_62680288_4	NC_073247.2	62680288	62685286	4	-	1	0.9051	0.9618
GWFAM154	DN_NC_086018.1_22406144_7	SE_NC_086018.1_22166714_8	NC_086018.1	22166714	22186684	8	+	2	0.8763	0.9917
GWFAM119	DN_NC_073242.2_104912717_12	SE_NC_073242.2_99604403_13	NC_073242.2	99604403	99618206	13	+	2	0.9225	0.9418
GWFAM73	DN_NC_073237.2_23917148_2	SE_NC_073237.2_29865830_2	NC_073237.2	29865830	29871706	2	-	2	0.8801	0.9870
GWFAM107	DN_NC_073242.2_30717385_31	SE_NC_073242.2_15726068_32	NC_073242.2	15726068	15788025	32	-	2	0.8965	0.9672
GWFAM39	DN_NC_073230.2_14245235_15	SE_NC_073230.2_13331535_14	NC_073230.2	13331535	13358695	14	+	1	0.9347	0.9263
GWFAM48	DN_NC_073238.2_25250977_5	SE_NC_073236.2_23070415_5	NC_073236.2	23070415	23086554	5	-	2	0.8690	0.9961
GWFAM75	DN_NC_073236.2_46553271_10	SE_NC_073236.2_46432735_11	NC_073236.2	46432735	46585594	11	+	1	0.9235	0.9363
GWFAM30	DN_NC_073234.2_15631095_11	SE_NC_073229.2_17702992_11	NC_073229.2	17702992	17720042	11	-	1	0.8849	0.9766
GWFAM133	DN_NC_073248.2_9064541_2	SE_NC_073247.2_11741840_2	NC_073247.2	11741840	11756607	2	-	1	0.9573	0.9021
GWFAM139	DN_NC_073247.2_62680288_4	SE_NC_073247.2_62664075_4	NC_073247.2	62664075	62669070	4	+	1	0.9434	0.9153
GWFAM130	DN_NC_086018.1_1957958_2	SE_NC_073246.2_2410732_2	NC_073246.2	2410732	2415699	2	-	2	0.9368	0.9213
GWFAM78	DN_NC_073237.2_23553601_5	SE_NC_073237.2_30220076_5	NC_073237.2	30220076	30240412	5	-	1	0.8693	0.9923
GWFAM11	DN_NC_073248.2_45277558_8	SE_NC_073227.2_12090724_8	NC_073227.2	12090724	12110551	8	-	1	0.8738	0.9859
GWFAM110	DN_NC_073242.2_27157172_8	SE_NC_073242.2_27042290_8	NC_073242.2	27042290	27176058	8	+	1	0.9774	0.8802
GWFAM118	DN_NC_073242.2_66481486_2	SE_NC_073242.2_68109145_2	NC_073242.2	68109145	68152718	2	-	1	0.9799	0.8780
GWFAM118	DN_NC_073242.2_66481486_2	SE_NC_073242.2_68109147_2	NC_073242.2	68109147	68141478	2	-	1	0.9799	0.8780
GWFAM64	DN_NC_073235.2_144882295_2	SE_NC_073242.2_3614473_2	NC_073242.2	3614473	3617719	2	+	1	0.8842	0.9706
GWFAM11	DN_NC_073248.2_45277558_8	SE_NC_073236.2_30205538_8	NC_073236.2	30205538	30225542	8	+	1	0.8687	0.9859
GWFAM27	DN_NC_073228.2_182670660_2	SE_NC_073228.2_181540086_3	NC_073228.2	181540086	181545340	3	+	2	0.8976	0.9539
GWFAM9	DN_NC_073224.2_223291577_8	SE_NC_073224.2_223156794_8	NC_073224.2	223156794	223342021	8	+	2	0.8762	0.9771
GWFAM134	DN_NC_073248.2_9270657_10	SE_NC_073247.2_11949223_9	NC_073247.2	11949223	11999954	9	+	2	0.9022	0.9482
GWFAM117	DN_NC_073242.2_66832275_2	SE_NC_073242.2_66060507_3	NC_073242.2	66060507	66062625	3	+	2	0.9924	0.8611
GWFAM10	DN_NC_086017.1_9337960_4	SE_NC_073232.2_8586772_4	NC_073232.2	8586772	8602397	4	-	1	0.9503	0.8984
GWFAM99	DN_NC_073240.2_23337808_11	SE_NC_073240.2_29369421_12	NC_073240.2	29369421	29388725	12	-	1	0.9462	0.8991
GWFAM2	DN_NC_073224.2_15783716_8	SE_NC_073224.2_19027219_8	NC_073224.2	19027219	19035384	8	-	1	0.8928	0.9527
GWFAM55	DN_NC_073232.2_92224154_5	SE_NC_073232.2_99723589_4	NC_073232.2	99723589	99737874	4	+	2	0.8665	0.9800
GWFAM2	DN_NC_073224.2_19235748_8	SE_NC_073224.2_15783766_8	NC_073224.2	15783766	15902124	8	+	1	0.8724	0.9725
GWFAM117	DN_NC_073242.2_66060869_2	SE_NC_073242.2_66832275_3	NC_073242.2	66832275	66834397	3	-	2	0.9925	0.8545
GWFAM87	DN_NC_073238.2_32266748_7	SE_NC_073240.2_24226772_6	NC_073240.2	24226772	24300310	6	+	1	0.8941	0.9474
GWFAM13	DN_NC_073236.2_26203134_8	SE_NC_073238.2_22521827_8	NC_073238.2	22521827	22567589	8	-	1	0.8616	0.9827
GWFAM100	DN_NC_073240.2_33035919_18	SE_NC_073240.2_33337179_17	NC_073240.2	33337179	33347828	17	+	1	0.8527	0.9927
GWFAM88	DN_NC_073238.2_32460881_5	SE_NC_073238.2_33291944_6	NC_073238.2	33291944	33321248	6	-	2	0.8763	0.9650
GWFAM144	DN_NC_073247.2_161458548_3	SE_NC_073247.2_161251228_4	NC_073247.2	161251228	161256932	4	-	1	1.0000	0.8454
GWFAM16	DN_NC_073231.2_151170138_9	SE_NC_086018.1_48817510_9	NC_086018.1	48817510	48831949	9	-	1	0.8532	0.9888
GWFAM48	DN_NC_073236.2_23070422_5	SE_NC_073240.2_17176065_6	NC_073240.2	17176065	17192309	6	-	1	0.8529	0.9841
GWFAM38	DN_NC_073236.2_140400063_5	SE_NC_073229.2_195378097_5	NC_073229.2	195378097	195445527	5	+	2	0.8541	0.9826
GWFAM115	DN_NC_073242.2_35270506_17	SE_NC_073242.2_35595268_16	NC_073242.2	35595268	35686491	16	-	1	0.9804	0.8558
GWFAM2	DN_NC_073224.2_19135995_8	SE_NC_073224.2_19235754_9	NC_073224.2	19235754	19243905	9	-	2	0.8521	0.9845
GWFAM19	DN_NC_073228.2_54243403_14	SE_NC_073228.2_54292844_14	NC_073228.2	54292844	54303755	14	-	1	0.8424	0.9957
GWFAM48	DN_NC_073236.2_23070422_5	SE_NC_073238.2_25250992_5	NC_073238.2	25250992	25267149	5	-	1	0.8447	0.9915
GWFAM140	DN_NC_073247.2_62876948_8	SE_NC_073247.2_62823558_8	NC_073247.2	62823558	62832729	8	-	1	0.9841	0.8510
GWFAM51	DN_NC_073242.2_120770770_3	SE_NC_073232.2_8894428_3	NC_073232.2	8894428	8898630	3	-	1	0.9202	0.9098
GWFAM10	DN_NC_073230.2_168783028_4	SE_NC_073237.2_118502497_4	NC_073237.2	118502497	118518191	4	-	2	0.8668	0.9645
GWFAM38	DN_NC_073232.2_146269345_5	SE_NC_073227.2_8056123_5	NC_073227.2	8056123	8175265	5	-	1	0.8400	0.9916
GWFAM100	DN_NC_073240.2_33035919_18	SE_NC_073240.2_29616569_18	NC_073240.2	29616569	29627196	18	+	1	0.8853	0.9397
GWFAM9	DN_NC_073224.2_223613827_8	SE_NC_073224.2_223540622_8	NC_073224.2	223540622	223625869	8	+	1	0.8651	0.9604
GWFAM2	DN_NC_073224.2_19135995_8	SE_NC_073224.2_29081369_8	NC_073224.2	29081369	29090914	8	-	2	0.8661	0.9588
GWFAM39	DN_NC_073230.2_13331394_15	SE_NC_073230.2_14245235_14	NC_073230.2	14245235	14272486	14	-	1	0.8357	0.9926
GWFAM51	DN_NC_073232.2_8894428_4	SE_NC_073242.2_120770777_3	NC_073242.2	120770777	120775413	3	+	1	0.8481	0.9756
GWFAM117	DN_NC_073242.2_66060869_2	SE_NC_073242.2_66832287_3	NC_073242.2	66832287	66834776	3	-	1	1.0000	0.8236
GWFAM17	DN_NC_073228.2_46778779_7	SE_NC_073228.2_27169376_8	NC_073228.2	27169376	27206988	8	+	1	0.8276	0.9941
GWFAM11	DN_NC_073248.2_45277558_8	SE_NC_073236.2_24785625_8	NC_073236.2	24785625	24805471	8	+	1	0.8259	0.9960
GWFAM146	DN_NC_073247.2_164442448_2	SE_NC_073247.2_164381308_3	NC_073247.2	164381308	164384844	3	+	2	1.0000	0.8203
GWFAM117	DN_NC_073242.2_66060869_2	SE_NC_073242.2_66832285_2	NC_073242.2	66832285	66834007	2	-	1	0.8480	0.9659
GWFAM24	DN_NC_073228.2_83435233_12	SE_NC_073228.2_79926417_12	NC_073228.2	79926417	79970835	12	-	1	0.9371	0.8724
GWFAM38	DN_NC_073232.2_146269345_5	SE_NC_073236.2_140400084_4	NC_073236.2	140400084	140454049	4	+	2	0.8253	0.9897
GWFAM13	DN_NC_073239.2_44147092_8	SE_NC_073238.2_26538465_7	NC_073238.2	26538465	26588854	7	+	1	0.8869	0.9197
GWFAM13	DN_NC_073240.2_14911190_8	SE_NC_086018.1_10403121_8	NC_086018.1	10403121	10425268	8	-	1	0.8195	0.9871
GWFAM13	DN_NC_073240.2_14911190_8	SE_NC_073239.2_44147109_8	NC_073239.2	44147109	44168995	8	+	1	0.8315	0.9728
GWFAM118	DN_NC_073242.2_68110829_2	SE_NC_073242.2_66460984_2	NC_073242.2	66460984	66500563	2	+	1	0.9770	0.8269
GWFAM65	DN_NC_073240.2_14397327_6	SE_NC_073236.2_30633000_6	NC_073236.2	30633000	30708620	6	+	2	0.8220	0.9825
GWFAM1	DN_NC_073224.2_6827758_6	SE_NC_073230.2_165840311_6	NC_073230.2	165840311	165855075	6	+	1	0.8417	0.9595
GWFAM116	DN_NC_073242.2_65851148_2	SE_NC_073242.2_66880615_2	NC_073242.2	66880615	66889156	2	-	2	0.9841	0.8197
GWFAM150	DN_NC_073248.2_19625716_11	SE_NC_073248.2_15477439_11	NC_073248.2	15477439	15491519	11	+	1	0.8258	0.9764
GWFAM9	DN_NC_073224.2_223291577_8	SE_NC_073224.2_223478353_8	NC_073224.2	223478353	223553669	8	+	1	0.8205	0.9814
GWFAM70	DN_NC_073237.2_24387112_11	SE_NC_073237.2_29425545_10	NC_073237.2	29425545	29453939	10	-	1	0.8389	0.9598
GWFAM150	DN_NC_073248.2_19671639_11	SE_NC_073248.2_19602755_10	NC_073248.2	19602755	19616595	10	-	1	0.8082	0.9959
GWFAM70	DN_NC_073237.2_29418618_13	SE_NC_073236.2_32861438_13	NC_073236.2	32861438	32988207	13	-	1	0.8627	0.9286
GWFAM71	DN_NC_073238.2_54832837_2	SE_NC_073236.2_32935396_3	NC_073236.2	32935396	32984886	3	-	1	0.8993	0.8894
GWFAM111	DN_NC_073242.2_27178722_8	SE_NC_073242.2_26889057_9	NC_073242.2	26889057	26932764	9	-	1	0.8892	0.8994
GWFAM83	DN_NC_073241.2_195934_6	SE_NC_073240.2_4575975_6	NC_073240.2	4575975	4582986	6	+	1	0.8014	0.9960
GWFAM44	DN_NC_073230.2_72907176_2	SE_NC_073230.2_72857218_2	NC_073230.2	72857218	72867296	2	-	1	1.0000	0.7961
