gene_a	chrom_a	gene_b	chrom_b	core_cov	core_ident	same_chrom
LOC101137218	NC_073243.2	LOC115931294	NC_073243.2	1.0	1.0	1
LOC101137218	NC_073243.2	LOC134757625	NC_073243.2	0.936	1.0	1
LOC101148313	NC_073229.2	LOC115935025	NC_073229.2	0.93	1.0	1
LOC129526461	NC_073238.2	LOC134757066	NC_073238.2	1.0	1.0	1
LOC109028392	NC_073237.2	LOC129524434	NC_073237.2	1.0	1.0	1
LOC115935789	NC_073237.2	LOC129524434	NC_073237.2	1.0	1.0	1
LOC101143588	NC_073228.2	SLC35A4	NC_073228.2	1.0	1.0	1
P2RY11	NC_073244.2	PPAN	NC_073244.2	0.954	1.0	1
LOC129524687	NC_073237.2	LOC129524766	NC_073237.2	1.0	1.0	1
KIFC1	NC_073229.2	PHF1	NC_073229.2	0.309	1.0	1
LOC129524399	NC_073227.2	LOC129533206	NC_073227.2	1.0	1.0	1
LOC129524399	NC_073227.2	LOC129533212	NC_073227.2	1.0	1.0	1
LOC129524399	NC_073227.2	LOC129533214	NC_073227.2	0.864	1.0	1
LOC129524399	NC_073227.2	LOC129533215	NC_073227.2	0.864	1.0	1
LOC129524399	NC_073227.2	LOC129533221	NC_073227.2	0.864	1.0	1
LOC129524399	NC_073227.2	LOC129533222	NC_073227.2	1.0	1.0	1
LOC129524399	NC_073227.2	LOC129533223	NC_073227.2	0.864	1.0	1
CDK5RAP3	NC_073228.2	PNPO	NC_073228.2	0.582	1.0	1
LOC129524399	NC_073227.2	LOC134758236	NC_073227.2	0.864	1.0	1
LOC129533206	NC_073227.2	LOC134758236	NC_073227.2	0.744	1.0	1
LOC129533212	NC_073227.2	LOC134758236	NC_073227.2	0.744	1.0	1
LOC129533214	NC_073227.2	LOC134758236	NC_073227.2	0.744	1.0	1
LOC129533215	NC_073227.2	LOC134758236	NC_073227.2	0.744	1.0	1
LOC129533221	NC_073227.2	LOC134758236	NC_073227.2	0.744	1.0	1
LOC129533222	NC_073227.2	LOC134758236	NC_073227.2	0.744	1.0	1
LOC129526141	NC_073238.2	LOC134756400	NC_073238.2	1.0	1.0	1
LOC134757582	NC_073243.2	LOC134757583	NC_073243.2	1.0	1.0	1
LOC101149482	NC_073242.2	LOC129527445	NC_073242.2	0.81	1.0	1
LOC101145835	NC_073247.2	LOC129530096	NC_073247.2	1.0	1.0	1
LOC129527445	NC_073242.2	LOC129527830	NC_073242.2	0.581	1.0	1
GON4L	NC_073224.2	LOC129526672	NC_073224.2	0.452	1.0	1
LOC129533217	NC_073227.2	LOC134758236	NC_073227.2	0.922	1.0	1
LOC129524399	NC_073227.2	LOC129533217	NC_073227.2	0.922	1.0	1
LOC129533206	NC_073227.2	LOC129533217	NC_073227.2	0.922	1.0	1
LOC129533212	NC_073227.2	LOC129533217	NC_073227.2	0.922	1.0	1
LOC129533214	NC_073227.2	LOC129533217	NC_073227.2	0.922	1.0	1
LOC129533215	NC_073227.2	LOC129533217	NC_073227.2	0.922	1.0	1
LOC129533217	NC_073227.2	LOC129533221	NC_073227.2	0.922	1.0	1
LOC129533217	NC_073227.2	LOC129533222	NC_073227.2	0.922	1.0	1
LOC129533217	NC_073227.2	LOC129533223	NC_073227.2	0.922	1.0	1
LOC129529976	NC_073247.2	LOC129529986	NC_073247.2	1.0	1.0	1
LOC101149482	NC_073242.2	LOC129527830	NC_073242.2	0.597	1.0	1
LOC134757864	NC_073246.2	LOC134757875	NC_073246.2	0.859	1.0	1
F8A3	NC_073247.2	LOC115932395	NC_073247.2	1.0	1.0	1
LOC101151897	NC_073242.2	LOC129527629	NC_073242.2	0.834	1.0	1
LOC129528237	NC_073241.2	TIA1	NC_073236.2	0.707	1.0	0
CCDC103	NC_073228.2	FAM187A	NC_073228.2	1.0	1.0	1
LOC129524397	NC_073231.2	LOC134758996	NC_073231.2	1.0	1.0	1
LOC129524399	NC_073227.2	LOC129533224	NC_073227.2	0.999	1.0	1
LOC129524399	NC_073227.2	LOC129533225	NC_073227.2	0.999	1.0	1
LOC129533206	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533206	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533212	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533212	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533214	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533214	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533215	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533215	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533217	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533217	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533221	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533221	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533222	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533222	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533223	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533223	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533224	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533224	NC_073227.2	LOC134758236	NC_073227.2	1.0	1.0	1
LOC129533225	NC_073227.2	LOC134758236	NC_073227.2	1.0	1.0	1
LOC129524399	NC_073227.2	LOC129533220	NC_073227.2	0.999	1.0	1
LOC129533206	NC_073227.2	LOC129533220	NC_073227.2	1.0	1.0	1
LOC129533212	NC_073227.2	LOC129533220	NC_073227.2	1.0	1.0	1
LOC129533214	NC_073227.2	LOC129533220	NC_073227.2	1.0	1.0	1
LOC129533215	NC_073227.2	LOC129533220	NC_073227.2	1.0	1.0	1
LOC129533217	NC_073227.2	LOC129533220	NC_073227.2	1.0	1.0	1
LOC129533220	NC_073227.2	LOC129533221	NC_073227.2	1.0	1.0	1
LOC129533220	NC_073227.2	LOC129533222	NC_073227.2	1.0	1.0	1
LOC129533220	NC_073227.2	LOC129533223	NC_073227.2	1.0	1.0	1
LOC129533220	NC_073227.2	LOC129533224	NC_073227.2	0.995	1.0	1
LOC129533220	NC_073227.2	LOC129533225	NC_073227.2	0.995	1.0	1
LOC129533220	NC_073227.2	LOC134758236	NC_073227.2	1.0	1.0	1
LOC129524346	NC_073231.2	LOC129524347	NC_073231.2	1.0	1.0	1
LOC134758993	NC_073231.2	LOC134758996	NC_073231.2	1.0	1.0	1
LOC129524348	NC_073231.2	LOC129524352	NC_073231.2	1.0	1.0	1
LOC129529978	NC_073247.2	LOC129529983	NC_073247.2	0.776	1.0	1
LOC129524399	NC_073227.2	LOC129533209	NC_073227.2	1.0	1.0	1
LOC129533206	NC_073227.2	LOC129533209	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533212	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533214	NC_073227.2	1.0	1.0	1
LOC129533209	NC_073227.2	LOC129533215	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533217	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533220	NC_073227.2	1.0	1.0	1
LOC129533209	NC_073227.2	LOC129533221	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533222	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533223	NC_073227.2	0.999	1.0	1
LOC129533209	NC_073227.2	LOC129533224	NC_073227.2	1.0	1.0	1
LOC129533209	NC_073227.2	LOC129533225	NC_073227.2	1.0	1.0	1
LOC129533209	NC_073227.2	LOC134758236	NC_073227.2	1.0	1.0	1
LOC129524350	NC_073231.2	LOC134759008	NC_073231.2	1.0	1.0	1
LOC129533777	NC_073228.2	PGAP3	NC_073228.2	1.0	1.0	1
LOC129530473	NC_073246.2	LOC129530554	NC_086018.1	0.964	1.0	0
CDH18	NC_073243.2	LOC134757554	NC_073243.2	0.856	1.0	1
LOC101144003	NC_073224.2	LOC115933279	NC_073224.2	0.999	1.0	1
LOC101124000	NC_073230.2	LOC129523644	NC_073230.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC115932855	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532416	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532809	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532810	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532811	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532813	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532416	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532809	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532810	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532811	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532813	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC115932855	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532809	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532810	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532811	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532813	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532416	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532810	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532811	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532813	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532809	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC129532811	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC129532813	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532810	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532811	NC_073227.2	LOC129532813	NC_073227.2	1.0	1.0	1
LOC129532811	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC129532811	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC129532811	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532811	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532811	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532813	NC_073227.2	LOC129532815	NC_073227.2	1.0	1.0	1
LOC129532813	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC129532813	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532813	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532813	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532815	NC_073227.2	LOC129532817	NC_073227.2	1.0	1.0	1
LOC129532815	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532815	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532815	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532817	NC_073227.2	LOC129532818	NC_073227.2	1.0	1.0	1
LOC129532817	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532817	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532818	NC_073227.2	LOC129532828	NC_073227.2	1.0	1.0	1
LOC129532818	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC129532828	NC_073227.2	LOC134758385	NC_073227.2	1.0	1.0	1
LOC101152665	NC_073247.2	LOC115932047	NC_073247.2	1.0	1.0	1
LOC115932853	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC115932855	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532416	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532809	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532810	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532811	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532813	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532815	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532817	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532818	NC_073227.2	LOC129532826	NC_073227.2	0.986	1.0	1
LOC129532826	NC_073227.2	LOC129532828	NC_073227.2	0.986	1.0	1
LOC129532826	NC_073227.2	LOC134758385	NC_073227.2	0.986	1.0	1
LOC115932144	NC_073247.2	LOC115932146	NC_073247.2	1.0	1.0	1
LOC129524358	NC_073231.2	LOC129524370	NC_073231.2	1.0	1.0	1
LOC129524367	NC_073231.2	LOC129524368	NC_073231.2	1.0	1.0	1
LOC129524361	NC_073231.2	LOC129524364	NC_073231.2	1.0	1.0	1
LOC129524361	NC_073231.2	LOC129524376	NC_073231.2	1.0	1.0	1
LOC129524364	NC_073231.2	LOC129524376	NC_073231.2	1.0	1.0	1
LOC129524365	NC_073231.2	LOC134759004	NC_073231.2	1.0	1.0	1
LOC129524365	NC_073231.2	LOC134759005	NC_073231.2	1.0	1.0	1
LOC134759004	NC_073231.2	LOC134759005	NC_073231.2	1.0	1.0	1
LOC101125118	NC_073247.2	LOC115932289	NC_073247.2	1.0	1.0	1
LOC101125118	NC_073247.2	LOC115932294	NC_073247.2	1.0	1.0	1
LOC101125118	NC_073247.2	LOC129529694	NC_073247.2	1.0	1.0	1
LOC115932289	NC_073247.2	LOC115932294	NC_073247.2	1.0	1.0	1
LOC115932289	NC_073247.2	LOC129529694	NC_073247.2	1.0	1.0	1
LOC115932294	NC_073247.2	LOC129529694	NC_073247.2	1.0	1.0	1
LOC101130877	NC_073244.2	LOC134757659	NC_073244.2	1.0	1.0	1
LOC101146871	NC_073244.2	LOC134757697	NC_073244.2	1.0	1.0	1
LOC129523912	NC_073230.2	LOC129523913	NC_073230.2	1.0	1.0	1
LOC129523912	NC_073230.2	LOC129523914	NC_073230.2	1.0	1.0	1
LOC129523912	NC_073230.2	LOC129523915	NC_073230.2	1.0	1.0	1
LOC129523913	NC_073230.2	LOC129523914	NC_073230.2	1.0	1.0	1
LOC129523913	NC_073230.2	LOC129523915	NC_073230.2	1.0	1.0	1
LOC129523914	NC_073230.2	LOC129523915	NC_073230.2	1.0	1.0	1
LOC101151746	NC_073233.2	LOC115936253	NC_073233.2	1.0	1.0	1
LOC101146886	NC_086018.1	LOC109024512	NC_086018.1	0.999	1.0	1
LOC129532418	NC_086017.1	LOC129532420	NC_086017.1	1.0	1.0	1
LOC129532418	NC_086017.1	LOC134758004	NC_086017.1	1.0	1.0	1
LOC129532418	NC_086017.1	LOC134758005	NC_086017.1	1.0	1.0	1
LOC129532418	NC_086017.1	LOC134758006	NC_086017.1	1.0	1.0	1
LOC129532418	NC_086017.1	LOC134758007	NC_086017.1	1.0	1.0	1
LOC129532418	NC_086017.1	LOC134758008	NC_086017.1	1.0	1.0	1
LOC129532420	NC_086017.1	LOC134758004	NC_086017.1	1.0	1.0	1
LOC129532420	NC_086017.1	LOC134758005	NC_086017.1	1.0	1.0	1
LOC129532420	NC_086017.1	LOC134758006	NC_086017.1	1.0	1.0	1
LOC129532420	NC_086017.1	LOC134758007	NC_086017.1	1.0	1.0	1
LOC129532420	NC_086017.1	LOC134758008	NC_086017.1	1.0	1.0	1
LOC134758004	NC_086017.1	LOC134758005	NC_086017.1	1.0	1.0	1
LOC134758004	NC_086017.1	LOC134758006	NC_086017.1	1.0	1.0	1
LOC134758004	NC_086017.1	LOC134758007	NC_086017.1	1.0	1.0	1
LOC134758004	NC_086017.1	LOC134758008	NC_086017.1	1.0	1.0	1
LOC134758005	NC_086017.1	LOC134758006	NC_086017.1	1.0	1.0	1
LOC134758005	NC_086017.1	LOC134758007	NC_086017.1	1.0	1.0	1
LOC134758005	NC_086017.1	LOC134758008	NC_086017.1	1.0	1.0	1
LOC134758006	NC_086017.1	LOC134758007	NC_086017.1	1.0	1.0	1
LOC134758006	NC_086017.1	LOC134758008	NC_086017.1	1.0	1.0	1
LOC134758007	NC_086017.1	LOC134758008	NC_086017.1	1.0	1.0	1
LOC101154167	NC_073239.2	LOC134757191	NC_073239.2	1.0	1.0	1
LOC109028257	NC_073237.2	NDOR1	NC_073237.2	1.0	1.0	1
LOC115936196	NC_073233.2	LOC115936305	NC_073233.2	0.999	1.0	1
LOC115931069	NC_073242.2	LOC129527586	NC_073242.2	0.941	1.0	1
LOC115932301	NC_073247.2	LOC129529693	NC_073247.2	1.0	1.0	1
LOC101146547	NC_073247.2	LOC115932259	NC_073247.2	1.0	1.0	1
LOC101141136	NC_073229.2	LOC109023047	NC_073229.2	1.0	1.0	1
LOC129523578	NC_086017.1	LOC129532360	NC_086017.1	1.0	1.0	1
LOC129523578	NC_086017.1	LOC129532377	NC_086017.1	1.0	1.0	1
