gene	family	gene_annot	ci_chrom	ci_start	ci_end	cj_chrom	cj_start	cj_end	ci_member	cj_member	touches_gene_copy	gene_to_paralog_edge	shared_18mer	shared_15mer	shared_13mer	shared_11mer	minimizer_share	core_recip	aln_frac	shipped_proposes	loosened_proposes	passes_scoring
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	32266743	32352771	NC_073240.2	22123280	22183941	DN_NC_073238.2_32266743_7	DN_NC_073240.2_22123280_6	0	0	230	239	245	267	49	0.0939	0.0939	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	32266743	32352771	NC_073240.2	24224495	24300314	DN_NC_073238.2_32266743_7	DN_NC_073240.2_24224495_7	0	0	4201	4357	4464	4558	921	0.4262	0.9493	1	1	1
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	33425477	33511623	NC_073240.2	20415301	20547757	DN_NC_073238.2_33425477_7	DN_NC_073240.2_20415301_4	0	0	180	204	225	267	46	0.0635	0.0635	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	33425477	33511623	NC_073240.2	21107958	21229369	DN_NC_073238.2_33425477_7	DN_NC_073240.2_21107958_3	1	1	279	290	300	328	63	0.12	0.12	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	33425477	33511623	NC_073240.2	22123280	22183941	DN_NC_073238.2_33425477_7	DN_NC_073240.2_22123280_6	0	0	186	201	211	235	43	0.0882	0.0882	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073238.2	33425477	33511623	NC_073240.2	24224495	24300314	DN_NC_073238.2_33425477_7	DN_NC_073240.2_24224495_7	0	0	4237	4387	4491	4582	925	0.4252	0.9472	1	1	1
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073240.2	20415301	20547757	NC_073240.2	21107958	21229369	DN_NC_073240.2_20415301_4	DN_NC_073240.2_21107958_3	1	1	168	190	208	235	41	0.1082	0.1082	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073240.2	20415301	20547757	NC_073240.2	22123280	22183941	DN_NC_073240.2_20415301_4	DN_NC_073240.2_22123280_6	0	0	250	256	260	273	55	0.0955	0.0945	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073240.2	20415301	20547757	NC_073240.2	24224495	24300314	DN_NC_073240.2_20543122_2	DN_NC_073240.2_24224495_7	0	0	412	418	425	446	79	0.0943	0.1847	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073240.2	21107958	21229369	NC_073240.2	22123280	22183941	DN_NC_073240.2_21107958_3	DN_NC_073240.2_22123280_6	1	1	185	200	210	221	43	0.1082	0.1082	1	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073240.2	21107958	21229369	NC_073240.2	24224495	24300314	DN_NC_073240.2_21107958_3	DN_NC_073240.2_24224495_7	1	1	2	12	24	58	3	0.0204	0.0	0	1	0
LOC115930538	34	NC_073240.2:21123901-21134037	NC_073240.2	22123280	22183941	NC_073240.2	24224495	24300314	DN_NC_073240.2_22123280_6	DN_NC_073240.2_24224495_7	0	0	0	2	6	28	0	0.0235	0.0	0	1	0
LOC115934629	32	NC_073228.2:45754758-45835592	NC_073228.2	45686842	45959234	NC_073228.2	46729356	46757824	DN_NC_073228.2_45925593_13	DN_NC_073228.2_46729356_10	1	1	3725	3739	3735	3706	708	0.8499	0.8495	1	1	1
LOC129534585	7	NC_073224.2:15805110-15833058	NC_073224.2	15670207	15902118	NC_073224.2	19016247	19035461	DN_NC_073224.2_15783681_8	DN_NC_073224.2_19027212_8	1	1	1401	1413	1421	1427	257	1.0	1.0	1	1	1
LOC129534585	7	NC_073224.2:15805110-15833058	NC_073224.2	15670207	15902118	NC_073224.2	19135994	19352450	DN_NC_073224.2_15783681_8	DN_NC_073224.2_19135994_8	1	1	1338	1359	1373	1385	245	1.0	1.0	1	1	1
LOC129534585	7	NC_073224.2:15805110-15833058	NC_073224.2	15670207	15902118	NC_073224.2	29070812	29090914	DN_NC_073224.2_15783765_26	DN_NC_073224.2_29070812_26	1	1	3233	3278	3307	3324	625	0.9213	1.0	1	1	1
LOC129534585	7	NC_073224.2:15805110-15833058	NC_073224.2	19016247	19035461	NC_073224.2	19135994	19352450	DN_NC_073224.2_19027212_8	DN_NC_073224.2_19235747_8	0	0	1202	1241	1269	1297	216	1.0	1.0	1	1	1
LOC129534585	7	NC_073224.2:15805110-15833058	NC_073224.2	19016247	19035461	NC_073224.2	29070812	29090914	DN_NC_073224.2_19016645_25	DN_NC_073224.2_29070812_26	0	0	3152	3212	3251	3275	610	0.6504	1.0	1	1	1
LOC129534585	7	NC_073224.2:15805110-15833058	NC_073224.2	19135994	19352450	NC_073224.2	29070812	29090914	DN_NC_073224.2_19344252_8	DN_NC_073224.2_29070818_24	0	0	786	804	818	832	146	0.6378	0.6384	1	1	1
TNK2	136	NC_086017.1:207437719-207533765	NC_086017.1	207500181	207533707	NC_086017.1	209194304	209212633	DN_NC_086017.1_207500181_3	DN_NC_086017.1_209194304_3	1	1	90	93	95	99	18	0.0533	0.0	1	1	0
UBE2Q2P16	175	NC_073240.2:85814027-85868602	NC_073240.2	85821672	85868140	NC_073240.2	86403557	86409251	DN_NC_073240.2_85821672_6	DN_NC_073240.2_86403557_3	1	1	0	8	16	41	0	0.0226	0.0	0	1	0
ZNF425	65	NC_073230.2:158066726-158091246	NC_073229.2	67950085	67956974	NC_073230.2	158024672	158089886	DN_NC_073229.2_67950085_3	DN_NC_073230.2_158024672_6	1	1	0	0	0	1	0	0.0271	0.0	0	0	0
ZNF425	65	NC_073230.2:158066726-158091246	NC_073229.2	67950085	67956974	NC_073241.2	83874271	83882657	DN_NC_073229.2_67950085_3	DN_NC_073241.2_83874271_3	0	0	1237	1252	1260	1265	266	0.9992	1.0	1	1	1
ZNF425	65	NC_073230.2:158066726-158091246	NC_073229.2	67950085	67956974	NC_086018.1	27470342	27519978	DN_NC_073229.2_67950085_3	DN_NC_086018.1_27470342_2	0	0	0	0	0	2	0	0.0505	0.0	0	0	0
ZNF425	65	NC_073230.2:158066726-158091246	NC_073230.2	158024672	158089886	NC_073241.2	83874271	83882657	DN_NC_073230.2_158024672_6	DN_NC_073241.2_83874271_3	1	1	0	0	0	1	0	0.0293	0.0	0	0	0
ZNF425	65	NC_073230.2:158066726-158091246	NC_073230.2	158024672	158089886	NC_086018.1	27470342	27519978	DN_NC_073230.2_158024672_6	DN_NC_086018.1_27470342_2	1	1	0	0	0	14	0	0.0251	0.0	0	1	0
ZNF425	65	NC_073230.2:158066726-158091246	NC_073241.2	83874271	83882657	NC_086018.1	27470342	27519978	DN_NC_073241.2_83874271_3	DN_NC_086018.1_27470342_2	0	0	0	0	0	2	0	0.0369	0.0	0	0	0
