family_id	n_loci	dominant_gene	member_dn	member_gene	chrom	start	end	psv_status	n_psv	n_aligned_cols
38	35	ZNF92	DN_NC_073244.2_28256975_5	LOC101144838	NC_073244.2	28256975	28304593	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_28333451_4	ZNF43	NC_073244.2	28333451	28380753	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_28588105_4	LOC101145945	NC_073244.2	28588105	28627201	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_28711447_2	LOC101146634	NC_073244.2	28711447	28749576	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_28711447_4	LOC101146634	NC_073244.2	28711447	28749561	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_28820229_4	LOC101147715	NC_073244.2	28820229	28854386	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29046961_4	LOC115931576	NC_073244.2	29046961	29080061	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29232445_4	ZNF723	NC_073244.2	29232445	29259316	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29297022_4	LOC101153126	NC_073244.2	29297022	29327777	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29557605_4	LOC101123988	NC_073244.2	29557605	29586429	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29680825_2	ZNF91	NC_073244.2	29680825	29718633	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29680825_4	ZNF91	NC_073244.2	29680825	29718693	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_29970261_4	ZNF675	NC_073244.2	29970261	30005993	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_30067652_4	ZNF681	NC_073244.2	30067652	30086648	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_30438340_4	ZNF254	NC_073244.2	30438340	30483558	inter_chromosomal_psv	463	501
38	35	ZNF92	DN_NC_073244.2_30438386_2	ZNF254	NC_073244.2	30438386	30483513	inter_chromosomal_psv	463	501
39	2	CHIT1	DN_NC_073224.2_53524414_11	CHIT1	NC_073224.2	53524414	53538001	same_chrom_segmental_psv	1162	2083
39	2	CHIT1	DN_NC_073224.2_53535059_3	ADORA1	NC_073224.2	53535059	53625813	same_chrom_segmental_psv	1162	2083
40	2	LOC101144634	DN_NC_073224.2_5565564_3	LOC101144634	NC_073224.2	5565564	5584557	same_chrom_segmental_psv	99	2966
40	2	LOC101144634	DN_NC_073224.2_5715398_2	LOC115930073	NC_073224.2	5715398	5721172	same_chrom_segmental_psv	99	2966
42	2	LOC101141950	DN_NC_073224.2_5868780_3	LOC101141950	NC_073224.2	5868780	5878118	tandem_like_psv	25	56
42	2	LOC101141950	DN_NC_073224.2_5875208_2	LOC101141950	NC_073224.2	5875208	5878152	tandem_like_psv	25	56
43	2	LOC101124243	DN_NC_073224.2_6827773_11	LOC101124243	NC_073224.2	6827773	6848254	inter_chromosomal_psv	115	6036
43	2	LOC101124243	DN_NC_073230.2_165840202_11	NOM1	NC_073230.2	165840202	165861376	inter_chromosomal_psv	115	6036
46	2	FCGR2B	DN_NC_073224.2_95093869_7	FCGR2B	NC_073224.2	95093869	95109444	tandem_like_psv	230	1488
46	2	FCGR2B	DN_NC_073224.2_95171181_7	FCGR2A	NC_073224.2	95171181	95185561	tandem_like_psv	230	1488
47	2	DEDD	DN_NC_073224.2_95638704_6	DEDD	NC_073224.2	95638704	95651681	tandem_like_psv	646	1387
47	2	DEDD	DN_NC_073224.2_95648579_7	NIT1	NC_073224.2	95648579	95653144	tandem_like_psv	646	1387
48	2	LOC115930226	DN_NC_073224.2_95894630_7	LOC115930226	NC_073224.2	95894630	95903850	tandem_like_psv	34	1136
48	2	LOC115930226	DN_NC_073224.2_95939283_8	LOC101146454	NC_073224.2	95939283	95948008	tandem_like_psv	34	1136
49	2	ATP1A2	DN_NC_073224.2_96681549_23	ATP1A2	NC_073224.2	96681549	96709345	inter_chromosomal_psv	794	3552
49	2	ATP1A2	DN_NC_073244.2_53573424_23	ATP1A3	NC_073244.2	53573424	53600605	inter_chromosomal_psv	794	3552
50	3	LOC101138011	DN_NC_073224.2_98617594_3	LOC101138011	NC_073224.2	98617594	98626164	inter_chromosomal_psv	227	752
50	3	LOC101138011	DN_NC_073229.2_52163606_6	LOC109025084	NC_073229.2	52163606	52172176	inter_chromosomal_psv	227	752
50	3	LOC101138011	DN_NC_073244.2_54257531_4	LOC129528550	NC_073244.2	54257531	54277925	inter_chromosomal_psv	227	752
53	2	C3H4orf36	DN_NC_073227.2_107202270_4	C3H4orf36	NC_073227.2	107202270	107208564	inter_chromosomal_psv	851	1877
53	2	C3H4orf36	DN_NC_073247.2_147586730_5	LOC101145464	NC_073247.2	147586730	147600703	inter_chromosomal_psv	851	1877
54	5	LOC129532854	DN_NC_073227.2_109806788_5	LOC129532854	NC_073227.2	109806788	110009960	inter_chromosomal_psv	303	451
54	5	LOC129532854	DN_NC_073235.2_91038771_5	LOC129532145	NC_073235.2	91038771	91048976	inter_chromosomal_psv	303	451
54	5	LOC129532854	DN_NC_073235.2_93196915_2	NA	NC_073235.2	93196915	93204187	inter_chromosomal_psv	303	451
54	5	LOC129532854	DN_NC_073238.2_125561692_4	LOC129526123	NC_073238.2	125561692	125570942	inter_chromosomal_psv	303	451
54	5	LOC129532854	DN_NC_073239.2_87154592_2	LOC109023261	NC_073239.2	87154592	87175509	inter_chromosomal_psv	303	451
55	2	ADH1B	DN_NC_073227.2_119617950_9	ADH1B	NC_073227.2	119617950	119635004	tandem_like_psv	97	1462
55	2	ADH1B	DN_NC_073227.2_119647764_9	LOC101136823	NC_073227.2	119647764	119666104	tandem_like_psv	97	1462
56	2	DOK7	DN_NC_073227.2_12039502_7	DOK7	NC_073227.2	12039502	12073268	inter_chromosomal_psv	33	1466
56	2	DOK7	DN_NC_073236.2_24822888_6	LOC115933190	NC_073236.2	24822888	24855058	inter_chromosomal_psv	33	1466
57	11	XRCC2	DN_NC_073227.2_12088225_8	LRPAP1	NC_073227.2	12088225	12110703	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073230.2_161461453_3	XRCC2	NC_073230.2	161461453	161489378	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073230.2_161461454_2	XRCC2	NC_073230.2	161461454	161489360	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073236.2_22549336_8	LOC134756753	NC_073236.2	22549336	22573893	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073236.2_23070420_5	LOC134756368	NC_073236.2	23070420	23086559	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073236.2_24785599_8	LOC115933156	NC_073236.2	24785599	24806449	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073236.2_30205531_7	LOC129523503	NC_073236.2	30205531	30227896	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073238.2_23392840_7	LOC129526389	NC_073238.2	23392840	23415402	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073238.2_25250945_5	LOC115932954	NC_073238.2	25250945	25267153	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073240.2_17174470_5	LOC115932756	NC_073240.2	17174470	17192320	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073246.2_11287585_8	LOC129523574	NC_073246.2	11287585	11311890	inter_chromosomal_psv	454	767
57	11	XRCC2	DN_NC_073248.2_45277558_8	LOC129530227	NC_073248.2	45277558	45297431	inter_chromosomal_psv	454	767
59	2	FGF2	DN_NC_073227.2_142943898_3	FGF2	NC_073227.2	142943898	143016072	tandem_like_psv	381	989
59	2	FGF2	DN_NC_073227.2_143010447_5	NUDT6	NC_073227.2	143010447	143042953	tandem_like_psv	381	989
60	5	LOC129533004	DN_NC_073227.2_144460538_3	NA	NC_073227.2	144460538	144480029	inter_chromosomal_psv	1067	1285
60	5	LOC129533004	DN_NC_073227.2_144461700_2	NA	NC_073227.2	144461700	144480029	inter_chromosomal_psv	1067	1285
60	5	LOC129533004	DN_NC_073227.2_208386894_3	LOC129533004	NC_073227.2	208386894	208404091	inter_chromosomal_psv	1067	1285
60	5	LOC129533004	DN_NC_073230.2_59739987_2	NA	NC_073230.2	59739987	59770676	inter_chromosomal_psv	1067	1285
60	5	LOC129533004	DN_NC_073233.2_11450665_3	LOC101150644	NC_073233.2	11450665	11475387	inter_chromosomal_psv	1067	1285
60	5	LOC129533004	DN_NC_073234.2_21810248_3	NA	NC_073234.2	21810248	21816314	inter_chromosomal_psv	1067	1285
61	2	CRMP1	DN_NC_073227.2_15519199_14	CRMP1	NC_073227.2	15519199	15592017	tandem_like_psv	1421	3283
61	2	CRMP1	DN_NC_073227.2_15589297_3	EVC	NC_073227.2	15589297	15600223	tandem_like_psv	1421	3283
62	6	LOC101133249	DN_NC_073227.2_16860393_3	LOC101133249	NC_073227.2	16860393	16870778	inter_chromosomal_psv	118	147
62	6	LOC101133249	DN_NC_073227.2_21866694_4	LOC109026441	NC_073227.2	21866694	22223098	inter_chromosomal_psv	118	147
62	6	LOC101133249	DN_NC_073227.2_22207916_2	NA	NC_073227.2	22207916	22222891	inter_chromosomal_psv	118	147
62	6	LOC101133249	DN_NC_073227.2_47550779_2	NA	NC_073227.2	47550779	47558338	inter_chromosomal_psv	118	147
62	6	LOC101133249	DN_NC_073230.2_133049988_3	NA	NC_073230.2	133049988	133140820	inter_chromosomal_psv	118	147
62	6	LOC101133249	DN_NC_073235.2_106111443_2	RAPH1	NC_073235.2	106111443	106143532	inter_chromosomal_psv	118	147
63	6	TMEM128	DN_NC_073227.2_17184793_5	TMEM128	NC_073227.2	17184793	17197528	inter_chromosomal_psv	265	457
63	6	TMEM128	DN_NC_073227.2_17184840_5	TMEM128	NC_073227.2	17184840	17197527	inter_chromosomal_psv	265	457
63	6	TMEM128	DN_NC_073230.2_161022909_27	KMT2C	NC_073230.2	161022909	161255278	inter_chromosomal_psv	265	457
63	6	TMEM128	DN_NC_073236.2_21263952_7	LOC129526957	NC_073236.2	21263952	21342153	inter_chromosomal_psv	265	457
63	6	TMEM128	DN_NC_073238.2_22875925_6	LOC129526385	NC_073238.2	22875925	22937381	inter_chromosomal_psv	265	457
63	6	TMEM128	DN_NC_073238.2_24580375_8	LOC129526398	NC_073238.2	24580375	24653974	inter_chromosomal_psv	265	457
63	6	TMEM128	DN_NC_073240.2_14396114_6	LOC134757216	NC_073240.2	14396114	14474143	inter_chromosomal_psv	265	457
64	7	LOC101125415	DN_NC_073227.2_17445647_6	LOC101125415	NC_073227.2	17445647	17459327	inter_chromosomal_psv	270	474
64	7	LOC101125415	DN_NC_073231.2_11581641_7	LOC101133440	NC_073231.2	11581641	11593493	inter_chromosomal_psv	270	474
