cid	kind	chrom	start	end	protein	divergence	n_loci_read	haploid_label	ref_loci	mat_loci	pat_loci	ref_frag	mat_frag	pat_frag	best_id_ref	best_id_mat	best_id_pat	anyid_ref	anyid_mat	anyid_pat	allcov_ref	allcov_mat	allcov_pat	diploid_label	subclass	confidence	oracle_family	oracle_class	oracle_collapsed	reason
NC_073230.2_47186239	collapsed	NC_073230.2	47186239	47265740	UBE2D1	3.3	1	AMBIGUOUS	1	1	1	0	0	0	0.9791	0.9791	0.9791	0.9791	0.9791	0.9791	0.8771	0.8771	0.8771	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073230.2_164524994	collapsed	NC_073230.2	164524994	164582667	SH3BGRL2	55.2	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9595	0.9595	0.9612	0.9595	0.9595	0.9612	0.8543	0.8543	0.851	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073230.2_165840202	collapsed	NC_073230.2	165840202	165861376	NOM1	4.7	2	AMBIGUOUS	2	2	2	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.6758	0.6758	0.6758	UNDECIDABLE		med				reference already models 2 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073230.2_167930813	collapsed	NC_073230.2	167930813	168043118	NO-HIT	10.0	None	AMBIGUOUS	1	1	1	2	2	2	0.9621	0.9621	0.9597	0.9621	0.9621	0.9597	0.8455	0.8455	0.8455	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073230.2_168287264	collapsed	NC_073230.2	168287264	168315378	NO-HIT	9.7	None	AMBIGUOUS	4	4	4	1	1	1	0.9885	0.9885	0.988	0.9885	0.9885	0.988	0.8259	0.8018	0.8395	UNDECIDABLE		med				reference already models 4 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073231.2_4861523	collapsed	NC_073231.2	4861523	4914672	NO-HIT	12.2	None	AMBIGUOUS	1	1	1	0	0	0	0.9357	0.9357	0.9357	0.9357	0.9357	0.9357	0.931	0.931	0.931	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073231.2_5862495	collapsed	NC_073231.2	5862495	6099490	NO-HIT	13.1	None	AMBIGUOUS	1	1	1	0	0	0	0.9355	0.9383	0.9355	0.9355	0.9383	0.9355	0.8183	0.8183	0.8183	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073231.2_17091306	collapsed	NC_073231.2	17091306	17164559	WDR82	15.5	1	ALLELE/HET	1	1	1	0	0	0	0.9581	0.9592	0.9581	0.9581	0.9592	0.9581	0.8634	0.8634	0.8634	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073231.2_39477379	collapsed	NC_073231.2	39477379	39719282	NO-HIT	73.6	None	COPY	0	0	0	1	1	1	0.9042	0.9042	0.9042	0.9042	0.9042	0.9042	0.2223	0.2223	0.2223	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~90%) fragments cover 22% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073231.2_65184475	collapsed	NC_073231.2	65184475	65394711	XKR4	10.6	1	AMBIGUOUS	0	0	0	1	1	1	0.9982	0.9982	0.9982	0.9982	0.9982	0.9982	0.4386	0.4386	0.4386	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 44% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073231.2_95446522	collapsed	NC_073231.2	95446522	95650344	RIPK2	14.4	1	AMBIGUOUS	0	0	0	1	1	1	0.9903	0.9923	0.9903	0.9903	0.9923	0.9903	0.4186	0.4186	0.4186	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~99%) fragments cover 42% (<50%) of the consensus in mat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073232.2_99589336	collapsed	NC_073232.2	99589336	99747746	SH3BGRL2	17.6	None	AMBIGUOUS	3	3	3	0	0	0	0.9876	0.9905	0.9876	0.9876	0.9905	0.9876	0.7079	0.7079	0.7079	UNDECIDABLE		med	21	multi_copy	0	reference already models 3 loci and both haplotypes match (no diploid-visible extra) -- RNA variant is an allele of an existing copy / reference already contains the paralog (MHC-class); not a NEW reference-absent copy
NC_073232.2_144274196	collapsed	NC_073232.2	144274196	144328240	PPP2R2B	23.7	None	COPY	1	1	1	0	0	0	0.9832	0.9832	0.9832	0.9832	0.9832	0.9832	0.5879	0.5879	0.5879	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073233.2_12653514	collapsed	NC_073233.2	12653514	12668539	CAVIN3	11.0	1	ALLELE/HET	1	1	1	0	0	0	0.9941	0.9935	0.9941	0.9941	0.9935	0.9941	0.6587	0.6587	0.6587	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073233.2_14003549	collapsed	NC_073233.2	14003549	14017083	LOC101134045	3.6	1	ALLELE/HET	0	0	0	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	0.2953	0.451	0.2953	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 30% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073233.2_45380640	collapsed	NC_073233.2	45380640	45516376	NO-HIT	28.0	None	COPY	1	1	1	0	0	0	0.9654	0.9651	0.9654	0.9654	0.9651	0.9654	0.7577	0.7577	0.7577	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073233.2_93425668	collapsed	NC_073233.2	93425668	93538180	TMEM126B	10.9	1	AMBIGUOUS	1	1	1	0	0	0	0.9978	1.0	0.9978	0.9978	1.0	0.9978	0.7378	0.7378	0.7378	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073233.2_113941584	collapsed	NC_073233.2	113941584	113990333	KBTBD3	19.9	1	ALLELE/HET	1	1	1	0	0	0	0.9774	0.9774	0.9774	0.9774	0.9774	0.9774	0.6528	0.6528	0.6528	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073233.2_133023968	collapsed	NC_073233.2	133023968	133041307	TMEM218	4.1	1	ALLELE/HET	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.7346	0.7346	0.7346	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073233.2_137548997	collapsed	NC_073233.2	137548997	137751522	LOC129524615	4.4	1	AMBIGUOUS	1	1	1	0	0	0	0.9944	0.9944	0.9944	0.9944	0.9944	0.9944	0.999	0.9992	0.999	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073234.2_27052843	collapsed	NC_073234.2	27052843	27291823	NO-HIT	25.6	None	COPY	1	1	1	0	0	0	0.928	0.928	0.9286	0.928	0.928	0.9286	0.8302	0.8302	0.8302	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073234.2_27746178	collapsed	NC_073234.2	27746178	27950123	DUSP16	7.2	1	AMBIGUOUS	1	1	1	0	0	0	0.9975	0.9975	0.9975	0.9975	0.9975	0.9975	0.7883	0.7883	0.7883	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073234.2_69501458	collapsed	NC_073234.2	69501458	69573135	AMN1	30.3	None	DIVERGENT-NOVEL	0	0	0	1	1	1	0.9961	0.9961	1.0	0.9961	0.9961	1.0	0.4299	0.4299	0.4299	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 43% (<50%) of the consensus in pat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073234.2_69638301	collapsed	NC_073234.2	69638301	69846085	DENND5B	12.0	None	AMBIGUOUS	1	1	1	0	0	0	0.999	0.999	1.0	0.999	0.999	1.0	0.6074	0.6074	0.6074	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073234.2_79607745	collapsed	NC_073234.2	79607745	79626238	LOC129525150	3.2	1	ALLELE/HET	1	1	1	0	0	0	0.993	0.993	0.993	0.993	0.993	0.993	0.9315	0.9315	0.9964	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073234.2_87153506	collapsed	NC_073234.2	87153506	87240996	TBC1D15	7.1	1	AMBIGUOUS	0	0	0	1	1	1	1.0	1.0	1.0	1.0	1.0	1.0	0.4542	0.4542	0.4542	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 45% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073234.2_87500533	collapsed	NC_073234.2	87500533	87981748	TRHDE	54.0	None	COPY	0	0	0	1	1	1	0.991	0.991	0.9928	0.991	0.991	0.9928	0.2234	0.2234	0.2234	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~99%) fragments cover 22% (<50%) of the consensus in pat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073234.2_139370404	collapsed	NC_073234.2	139370404	139406520	CCDC92	7.8	1	ALLELE/HET	1	1	1	0	0	0	0.9651	0.9651	0.9651	0.9651	0.9651	0.9651	0.6662	0.6662	0.6662	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073234.2_143793491	collapsed	NC_073234.2	143793491	144181462	TMEM132C	5.5	1	AMBIGUOUS	1	1	1	0	0	0	1.0	1.0	1.0	1.0	1.0	1.0	0.7551	0.7551	0.7559	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073235.2_54611666	collapsed	NC_073235.2	54611666	54740389	NO-HIT	6.8	None	AMBIGUOUS	1	1	1	0	0	0	0.9533	0.9533	0.9555	0.9533	0.9533	0.9555	0.9996	0.9996	0.9996	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073235.2_61469647	collapsed	NC_073235.2	61469647	61733782	TANC1	16.7	1	AMBIGUOUS	1	1	1	0	0	0	0.9923	0.9923	0.9916	0.9923	0.9923	0.9916	0.667	0.667	0.667	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073235.2_102948110	collapsed	NC_073235.2	102948110	103131729	SGO2	6.4	1	AMBIGUOUS	1	1	1	0	0	0	0.9954	0.9954	0.9954	0.9954	0.9954	0.9954	0.7204	0.7204	0.7204	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073235.2_107578994	collapsed	NC_073235.2	107578994	108227649	PARD3B	57.4	None	COPY	0	0	0	1	1	1	0.9021	0.9021	0.9061	0.9021	0.9021	0.9061	0.4922	0.4922	0.4922	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~91%) fragments cover 49% (<50%) of the consensus in pat -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073235.2_109351808	collapsed	NC_073235.2	109351808	109410337	FASTKD2	12.1	1	ALLELE/HET	0	0	0	1	1	1	1.0	1.0	0.991	1.0	1.0	0.991	0.3474	0.3474	0.3474	NOVEL	partial_present	high				reference/hap-PRESENT but only PARTIAL coverage: high-identity (~100%) fragments cover 35% (<50%) of the consensus in ref -- chimeric/fragmentary transcript consensus of a locus that IS in the genome, not a full extra copy and not novel
NC_073235.2_139705999	collapsed	NC_073235.2	139705999	139794450	NO-HIT	8.4	None	ALLELE/HET	1	1	1	0	0	0	0.9605	0.9605	0.9593	0.9605	0.9605	0.9593	0.9834	0.9834	0.9834	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073236.2_31151610	collapsed	NC_073236.2	31151610	31182107	NO-HIT	30.7	None	COPY	5	6	5	0	0	0	0.9441	0.9469	0.9441	0.9441	0.9469	0.9441	0.7311	0.7311	0.7311	ALLELE		high				extra locus on MATERNAL only (ref=5,mat=6,pat=5) -- heterozygous one-chromosome CNV, not a germline copy
NC_073236.2_43122786	collapsed	NC_073236.2	43122786	43166427	TGFBRAP1	38.6	None	DIVERGENT-NOVEL	1	1	1	0	0	0	0.9942	0.9942	0.9942	0.9942	0.9942	0.9942	0.8074	0.8074	0.8074	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073236.2_44341131	collapsed	NC_073236.2	44341131	44542729	NO-HIT	9.0	None	AMBIGUOUS	1	1	1	0	0	0	0.9962	0.9969	0.9962	0.9962	0.9969	0.9962	0.8602	0.8641	0.8602	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
NC_073236.2_45309982	collapsed	NC_073236.2	45309982	45313228	NO-HIT	10.5	None	AMBIGUOUS	1	1	1	0	0	0	0.9257	0.9206	0.9257	0.9257	0.9206	0.9257	1.0	1.0	1.0	ALLELE		med				single locus in reference AND both haplotypes (ref=mat=pat=1) -- the co-segregating RNA PSVs are a het allele of a one-copy gene, not a copy
