family_id	tid	chrom	start	end	strand	n_exon	support	core_recip	introns
DSFAM71	RC_NC_073242.2_96131759_12	NC_073242.2	96131759	96143130	+	12	1	0.514	96132112-96137021;96137226-96138192;96138334-96139200;96139334-96139415;96139674-96140102;96140201-96140483;96140624-96140745;96140826-96141410;96141549-96141624;96141762-96142030;96142103-96142562
DSFAM44	RC_NC_073234.2_48547416_9	NC_073234.2	48547416	48554392	+	9	1	0.498	48548538-48549604;48549825-48550712;48550773-48551128;48551224-48551531;48551696-48552258;48552384-48552648;48552869-48553202;48553237-48553716
DSFAM71	RC_NC_073242.2_84807866_6	NC_073242.2	84807866	84821241	+	6	1	0.489	84807885-84811898;84812039-84814288;84814436-84818263;84818395-84820482;84820555-84820851
DSFAM44	RC_NC_073234.2_48896527_9	NC_073234.2	48896527	48902115	+	9	1	0.466	48897239-48898150;48898365-48898698;48898759-48898917;48899013-48899137;48899302-48899803;48899929-48900769;48900990-48901194;48901229-48901342
DSFAM809	RC_NC_073242.2_104149289_2	NC_073242.2	104149289	104161993	-	2	2	0.456	104151203-104161679
DSFAM238	RC_NC_073247.2_58565093_8	NC_073247.2	58565093	58575755	-	8	2	0.454	58565681-58566444;58566549-58568932;58569068-58571040;58571090-58572932;58573028-58573542;58573657-58574093;58574182-58575539
DSFAM44	RC_NC_073234.2_48874745_9	NC_073234.2	48874745	48880224	+	9	1	0.445	48875546-48876461;48876676-48877009;48877070-48877228;48877324-48877448;48877613-48878114;48878240-48878855;48879076-48879300;48879335-48879448
DSFAM163	RC_NC_073247.2_147392594_19	NC_073247.2	147392594	147418562	+	19	1	0.445	147392660-147393538;147393651-147400703;147400898-147409090;147409256-147409894;147410029-147410277;147410418-147410664;147410805-147411053;147411194-147411826;147411967-147412213;147412354-147412989;147413130-147413302;147413443-147413692;147413833-147414470;147414611-147415257;147415398-147415646;147415780-147416027;147416396-147416766;147416860-147417894
DSFAM115	RC_NC_073224.2_129234733_4	NC_073224.2	129234733	129240526	-	4	1	0.44	129235272-129238426;129238537-129238627;129238723-129240333
DSFAM100	RC_NC_073224.2_96638417_22	NC_073224.2	96638417	96673482	-	22	1	0.439	96638529-96638832;96638924-96643053;96643155-96643271;96643402-96647404;96647550-96648476;96648600-96648834;96648989-96650333;96650502-96650820;96650971-96651364;96651501-96653324;96653497-96653641;96653831-96657665;96657800-96658001;96658111-96658352;96658551-96660654;96660923-96665551;96665669-96665941;96666076-96668921;96669035-96669831;96670035-96671860;96671920-96672897
DSFAM37	RC_NC_073242.2_85781172_3	NC_073242.2	85781172	85782851	+	3	1	0.438	85781548-85782023;85782087-85782618
DSFAM17	RC_NC_073224.2_116445556_24	NC_073224.2	116445556	116494186	-	24	1	0.437	116447317-116447936;116448045-116448638;116448932-116449586;116449638-116450347;116450520-116451116;116451168-116451885;116452058-116452665;116452717-116453759;116453923-116457819;116457871-116459155;116459361-116459825;116459898-116460941;116461156-116461991;116462094-116463856;116464066-116465422;116465634-116466097;116466170-116467221;116467436-116468266;116468369-116470213;116470423-116481250;116481392-116483252;116483351-116489060;116489328-116493892
DSFAM175	RC_NC_086018.1_22192663_5	NC_086018.1	22192663	22199144	+	5	1	0.437	22192713-22197574;22197762-22197994;22198122-22198223;22198531-22198835
DSFAM88	RC_NC_073248.2_16139854_6	NC_073248.2	16139854	16150658	-	6	2	0.417	16140751-16142764;16142917-16144826;16145004-16148008;16148112-16148584;16148697-16150560
DSFAM44	RC_NC_073234.2_48747782_8	NC_073234.2	48747782	48763805	+	8	2	0.414	48748313-48750242;48750457-48756416;48756477-48756877;48756973-48757740;48757905-48758427;48758553-48761538;48761759-48762412
DSFAM175	RC_NC_086018.1_22543424_5	NC_086018.1	22543424	22548520	-	5	1	0.414	22543738-22544042;22544350-22544451;22544579-22544811;22545021-22548441
DSFAM51	RC_NC_073248.2_19720060_7	NC_073248.2	19720060	19730897	-	7	1	0.414	19720961-19722976;19723129-19725039;19725217-19728234;19728338-19728820;19728933-19730055;19730114-19730795
DSFAM54	RC_NC_073243.2_25906816_27	NC_073243.2	25906816	25926427	-	27	1	0.4	25906962-25907877;25908015-25908122;25908218-25908372;25908739-25909817;25910017-25910093;25910297-25910743;25911052-25911845;25911970-25916074;25916201-25916308;25916698-25917139;25917230-25917310;25917456-25917564;25917741-25917826;25918069-25918265;25918521-25918602;25918739-25918832;25918956-25919354;25919472-25919554;25919642-25920504;25920575-25920681;25920988-25921090;25921261-25922606;25922756-25922839;25922958-25923971;25924110-25924193;25924297-25925446
DSFAM141	RC_NC_073238.2_24253465_4	NC_073238.2	24253465	24271572	+	4	2	0.395	24253527-24256919;24257065-24269185;24269294-24270041
DSFAM175	RC_NC_086018.1_21784276_5	NC_086018.1	21784276	21787893	-	5	1	0.375	21784563-21784867;21785175-21785276;21785407-21785636;21785846-21787814
DSFAM243	RC_NC_086018.1_23198876_4	NC_086018.1	23198876	23237388	+	4	2	0.373	23199295-23217075;23217152-23235426;23235545-23236933
DSFAM88	RC_NC_073248.2_15477439_11	NC_073248.2	15477439	15491519	+	11	1	0.371	15477552-15479414;15479527-15479999;15480103-15483348;15483526-15485432;15485585-15487599;15487714-15488665;15488776-15489214;15489325-15490245;15490356-15490440;15490529-15490941
DSFAM24	RC_NC_073224.2_126015477_2	NC_073224.2	126015477	126043345	-	2	1	0.367	126015617-126042757
DSFAM296	RC_NC_086018.1_6470440_3	NC_086018.1	6470440	6474148	-	3	1	0.366	6471091-6471199;6471249-6473949
DSFAM17	RC_NC_073224.2_115967066_22	NC_073224.2	115967066	115992204	-	22	1	0.362	115967164-115968246;115968827-115969440;115969552-115970266;115970439-115971081;115971133-115971841;115972014-115972538;115972662-115973381;115973554-115974173;115974225-115975267;115975431-115979330;115979382-115980671;115980877-115981341;115981414-115982441;115982656-115983490;115983593-115985368;115985544-115986936;115987148-115987611;115987684-115988734;115988949-115989784;115989887-115991726;115991936-115992036
DSFAM31	RC_NC_073237.2_31974417_11	NC_073237.2	31974417	32003754	-	11	1	0.361	31975396-31975487;31975516-31978322;31978404-31982341;31982411-31985102;31985133-31991691;31991747-31994354;31994492-31995534;31995641-31999521;31999695-31999857;31999972-32003291
DSFAM238	RC_NC_073247.2_58716843_10	NC_073247.2	58716843	58727922	-	10	1	0.359	58717461-58717922;58718027-58718723;58718866-58720406;58720542-58722534;58722584-58724427;58724523-58725059;58725174-58725607;58725696-58727393;58727500-58727724
DSFAM231	RC_NC_073233.2_54768065_5	NC_073233.2	54768065	54775320	-	5	1	0.353	54768739-54769826;54769924-54771613;54771844-54773666;54773762-54774045
DSFAM44	RC_NC_073234.2_48686565_9	NC_073234.2	48686565	48701835	+	9	1	0.343	48686910-48687600;48687795-48696419;48696480-48697291;48697387-48698056;48698221-48698538;48698664-48699437;48699658-48700828;48700863-48700963
DSFAM44	RC_NC_073234.2_48976013_11	NC_073234.2	48976013	48987132	+	11	1	0.34	48976415-48978137;48978223-48979541;48980089-48981911;48982120-48982715;48982776-48982918;48983014-48983668;48983833-48984099;48984225-48984607;48984828-48985569;48985601-48986021
DSFAM102	RC_NC_073248.2_34715039_4	NC_073248.2	34715039	34718498	-	4	1	0.334	34716093-34716760;34716977-34717193;34717305-34717429
DSFAM303	RC_NC_073240.2_46064558_15	NC_073240.2	46064558	46087819	+	15	1	0.33	46064805-46073244;46073336-46074290;46074474-46075111;46075253-46075885;46075999-46076319;46076397-46076813;46076894-46077311;46077392-46078680;46078806-46079435;46079604-46080561;46080759-46081418;46081500-46083559;46083658-46083937;46084049-46086692
DSFAM618	RC_NC_073247.2_34862182_2	NC_073247.2	34862182	34867681	+	2	1	0.329	34862393-34862575
DSFAM44	RC_NC_073234.2_48946261_15	NC_073234.2	48946261	48969829	+	15	1	0.305	48946377-48946460;48946556-48946934;48947099-48950059;48950185-48950835;48951056-48951277;48951309-48960073;48960240-48961225;48962021-48963265;48963480-48964537;48964633-48965544;48965709-48965864;48965990-48966486;48966707-48967162;48967194-48968693
DSFAM36	RC_NC_073237.2_134581228_5	NC_073237.2	134581228	134607415	+	5	2	0.303	134581276-134604087;134604916-134605411;134605520-134605598;134605709-134606205
DSFAM95	RC_NC_086018.1_22243958_2	NC_086018.1	22243958	22255276	-	2	2	0.301	22244580-22254669
DSFAM263	RC_NC_073233.2_69463009_3	NC_073233.2	69463009	69503973	+	3	1	0.3	69463096-69502691;69502830-69503258
DSFAM217	RC_NC_073238.2_113838878_3	NC_073238.2	113838878	113884379	+	3	1	0.298	113838963-113852726;113852966-113881413
DSFAM381	RC_NC_086017.1_19697952_6	NC_086017.1	19697952	19722058	-	6	1	0.287	19698535-19701439;19701627-19701721;19701880-19708643;19708797-19710009;19710087-19721826
DSFAM619	RC_NC_073244.2_70126493_2	NC_073244.2	70126493	70134409	+	2	1	0.286	70126597-70133688
DSFAM817	RC_NC_073229.2_44428242_5	NC_073229.2	44428242	44438128	-	5	1	0.284	44428561-44430290;44430406-44431158;44431283-44431656;44431747-44437648
DSFAM0	RC_NC_073244.2_47534044_5	NC_073244.2	47534044	47574735	-	5	1	0.284	47536468-47555953;47556052-47557630;47557757-47563395;47563483-47574703
DSFAM77	RC_NC_073238.2_21932985_3	NC_073238.2	21932985	21987834	-	3	2	0.284	21934091-21985868;21986030-21987561
DSFAM253	RC_NC_073247.2_153591825_3	NC_073247.2	153591825	153594788	+	3	2	0.282	153591972-153592732;153592826-153593134
DSFAM84	RC_NC_073230.2_13406128_13	NC_073230.2	13406128	13501233	-	13	2	0.279	13406400-13410458;13410575-13411417;13411513-13415695;13415863-13419622;13420483-13422157;13422242-13425476;13425576-13433102;13433136-13455919;13456010-13458339;13458811-13458983;13459078-13500038;13500103-13501103
DSFAM4	RC_NC_073230.2_73711647_4	NC_073230.2	73711647	73730213	+	4	1	0.25	73711845-73722921;73723048-73723528;73723624-73728582
DSFAM1075	RC_NC_073232.2_14119332_9	NC_073232.2	14119332	14150982	-	9	1	0.25	14120608-14122502;14122668-14123468;14123578-14124752;14124875-14125681;14125759-14126595;14126663-14126739;14126856-14127724;14127892-14150947
DSFAM44	RC_NC_073234.2_48491375_10	NC_073234.2	48491375	48504877	+	10	1	0.245	48491445-48495506;48495581-48496006;48496221-48497307;48497368-48497839;48497935-48499413;48499578-48499918;48500044-48503858;48504079-48504355;48504390-48504470
DSFAM496	RC_NC_073238.2_33193575_2	NC_073238.2	33193575	33197245	-	2	2	0.24	33196213-33197078
DSFAM235	RC_NC_073247.2_164754064_2	NC_073247.2	164754064	164756657	-	2	1	0.235	164756146-164756469
DSFAM44	RC_NC_073234.2_48787652_10	NC_073234.2	48787652	48804787	+	10	1	0.228	48787793-48795076;48796052-48798445;48798660-48799335;48799396-48799892;48799988-48800372;48800537-48800706;48800832-48802183;48802404-48803097;48803132-48803953
DSFAM476	RC_NC_073236.2_129646253_2	NC_073236.2	129646253	129647765	-	2	1	0.219	129647523-129647731
DSFAM365	RC_NC_073233.2_112978451_2	NC_073233.2	112978451	112981715	-	2	1	0.218	112979303-112979774
DSFAM496	RC_NC_073238.2_29799217_4	NC_073238.2	29799217	29893879	-	4	1	0.215	29800206-29800361;29800486-29892707;29892869-29893736
DSFAM0	RC_NC_073236.2_33171482_3	NC_073236.2	33171482	33215810	+	3	1	0.214	33171560-33185699;33185853-33215434
DSFAM399	RC_NC_073230.2_85342513_33	NC_073230.2	85342513	85578768	+	33	2	0.21	85342530-85345368;85345561-85345766;85345903-85346471;85346616-85347159;85347329-85349309;85349448-85351271;85351385-85351903;85351965-85354736;85354866-85358291;85358373-85360300;85360432-85360734;85360829-85369589;85369745-85373840;85373938-85375432;85375487-85375573;85375645-85386140;85386203-85389540;85389673-85396130;85396240-85411107;85411284-85423135;85423322-85424276;85424407-85435848;85435957-85438177;85438349-85441804;85441952-85451139;85451212-85466398;85466505-85490557;85490641-85500313;85500426-85500601;85500704-85508294;85508477-85569900;85569978-85578599
DSFAM211	RC_NC_073229.2_174084836_5	NC_073229.2	174084836	174091886	-	5	2	0.197	174086660-174087312;174087523-174088181;174088463-174088691;174088955-174091682
DSFAM5	RC_NC_073232.2_144799069_4	NC_073232.2	144799069	144813235	-	4	1	0.19	144800976-144806504;144806646-144807337;144807420-144812649
DSFAM44	RC_NC_073234.2_49153974_9	NC_073234.2	49153974	49177309	+	9	3	0.185	49154705-49160730;49160939-49165354;49165415-49165709;49165805-49172535;49172700-49173137;49173263-49173883;49174104-49174593;49174649-49174784
DSFAM88	RC_NC_073248.2_16438969_12	NC_073248.2	16438969	16463384	+	12	1	0.183	16439082-16440944;16441057-16441526;16441630-16444648;16444826-16446729;16446882-16448897;16449012-16449966;16450077-16450458;16450569-16450654;16450743-16454478;16454625-16455931;16456865-16461948
DSFAM132	RC_NC_073247.2_62076004_13	NC_073247.2	62076004	62084890	+	13	1981	0.179	62076277-62076791;62076872-62077572;62078280-62078933;62079602-62079732;62079796-62080071;62080151-62080319;62080411-62080638;62080718-62080809;62080852-62081105;62081168-62082709;62082824-62084084;62084470-62084677
DSFAM5	RC_NC_073232.2_145567222_2	NC_073232.2	145567222	145570838	+	2	1	0.177	145568816-145568880
DSFAM5	RC_NC_073232.2_145595455_2	NC_073232.2	145595455	145600826	-	2	4	0.176	145597459-145600372
DSFAM204	RC_NC_073242.2_105950804_2	NC_073242.2	105950804	105951505	-	2	1	0.173	105951100-105951222
DSFAM6	RC_NC_073244.2_19353435_3	NC_073244.2	19353435	19354895	-	3	1	0.173	19354037-19354302;19354434-19354598
DSFAM0	RC_NC_073244.2_67564635_3	NC_073244.2	67564635	67569869	-	3	1	0.173	67565485-67567569;67567691-67569682
DSFAM231	RC_NC_073233.2_97633301_9	NC_073233.2	97633301	97655754	+	9	1	0.16	97633673-97640907;97641104-97647253;97647431-97649777;97650189-97650720;97650816-97651513;97651744-97652500;97652523-97653885;97653983-97655082
DSFAM88	RC_NC_073248.2_16068096_8	NC_073248.2	16068096	16082425	-	8	1	0.159	16069733-16070147;16070236-16072361;16072476-16074502;16074655-16076549;16076742-16079746;16079850-16080275;16080388-16082335
DSFAM895	RC_NC_073228.2_47572626_5	NC_073228.2	47572626	47589789	+	5	369	0.155	47573450-47579072;47579160-47580909;47581045-47582392;47582451-47583992
DSFAM377	RC_NC_073236.2_31388978_4	NC_073236.2	31388978	31438454	+	4	2	0.153	31389293-31422022;31422206-31433172;31433266-31436991
DSFAM23	RC_NC_073230.2_64431659_4	NC_073230.2	64431659	64443711	+	4	1	0.149	64432268-64439064;64439184-64442661;64442747-64443372
DSFAM9	RC_NC_073231.2_148957309_2	NC_073231.2	148957309	148959492	+	2	1	0.149	148957770-148959067
DSFAM865	RC_NC_073228.2_57131276_3	NC_073228.2	57131276	57140098	+	3	5	0.147	57131542-57133134;57133246-57139309
DSFAM5	RC_NC_073231.2_53521808_17	NC_073231.2	53521808	53608892	-	17	109	0.144	53524417-53532899;53532989-53536473;53536629-53540235;53540331-53542667;53542754-53543528;53543565-53543660;53543773-53547804;53547936-53548035;53548119-53552566;53552624-53555152;53555202-53561420;53561508-53569945;53570021-53579426;53579499-53585383;53585467-53590141;53590358-53608647
DSFAM9	RC_NC_073231.2_130721848_2	NC_073231.2	130721848	130724687	-	2	1	0.142	130722652-130724379
DSFAM4	RC_NC_073244.2_27171340_2	NC_073244.2	27171340	27202763	+	2	1	0.141	27171411-27200153
DSFAM44	RC_NC_073234.2_48998192_4	NC_073234.2	48998192	49006602	-	4	1	0.139	48999145-48999790;49000977-49002720;49002929-49005521
DSFAM0	RC_NC_073228.2_182497231_4	NC_073228.2	182497231	182502872	-	4	1	0.135	182498129-182499728;182499785-182501764;182501942-182502697
DSFAM0	RC_NC_073232.2_72903317_8	NC_073232.2	72903317	72936462	+	8	2	0.131	72903342-72903544;72904151-72904282;72904564-72904678;72904741-72905531;72905590-72932447;72932574-72932883;72933007-72935134
DSFAM0	RC_NC_073237.2_123949070_2	NC_073237.2	123949070	123952025	+	2	1	0.131	123949397-123950729
