dna_family	n_copies	n_transcribed	n_well_expressed	genes
DFAM10	44	0	0	LOC101123968,LOC101128508,LOC115932853,LOC115932855,LOC129523578,LOC129532360,LOC129532377,LOC129532378,LOC129532381,LOC129532382,LOC129532414,LOC129532416,LOC129532417,LOC129532418,LOC129532419,LOC129532420,LOC129532421,LOC129532423,LOC129532425,LOC129532809,LOC129532810,LOC129532811,LOC129532813,LOC129532815,LOC129532817,LOC129532818,LOC129532820,LOC129532826,LOC129532828,LOC129532829,LOC129532831,LOC134757997,LOC134757998,LOC134757999,LOC134758000,LOC134758001,LOC134758002,LOC134758003,LOC134758004,LOC134758005,LOC134758006,LOC134758007,LOC134758008,LOC134758385
DFAM11	43	17	0	LOC101126783,LOC101127524,LOC129524344,LOC129524346,LOC129524347,LOC129524348,LOC129524349,LOC129524350,LOC129524351,LOC129524352,LOC129524353,LOC129524394,LOC129524397,LOC129524399,LOC129524400,LOC129533206,LOC129533209,LOC129533212,LOC129533214,LOC129533215,LOC129533217,LOC129533219,LOC129533220,LOC129533221,LOC129533222,LOC129533223,LOC129533224,LOC129533225,LOC134758236,LOC134758981,LOC134758982,LOC134758983,LOC134758989,LOC134758990,LOC134758991,LOC134758993,LOC134758995,LOC134758996,LOC134759008,LOC134759009,LOC134759010,LOC134759057,LOC134759084
DFAM12	42	37	30	LOC101128599,LOC101135415,LOC101144397,LOC101153611,LOC101153957,LOC115931590,LOC115932619,ZKSCAN1,ZKSCAN3,ZKSCAN4,ZNF165,ZNF174,ZNF18,ZNF213,ZNF215,ZNF24,ZNF263,ZNF274,ZNF396,ZNF397,ZNF444,ZNF445,ZNF446,ZNF449,ZNF597,ZNF75A,ZNF75D,ZSCAN1,ZSCAN12,ZSCAN16,ZSCAN18,ZSCAN21,ZSCAN22,ZSCAN23,ZSCAN26,ZSCAN29,ZSCAN30,ZSCAN31,ZSCAN32,ZSCAN4,ZSCAN5B,ZSCAN9
DFAM13	36	2	0	FAM90A1,LOC101126312,LOC101130785,LOC101131835,LOC115931658,LOC115934340,LOC129524355,LOC129524356,LOC129524357,LOC129524358,LOC129524359,LOC129524360,LOC129524361,LOC129524362,LOC129524363,LOC129524364,LOC129524365,LOC129524366,LOC129524367,LOC129524368,LOC129524369,LOC129524370,LOC129524371,LOC129524372,LOC129524373,LOC129524376,LOC134758998,LOC134758999,LOC134759000,LOC134759001,LOC134759002,LOC134759003,LOC134759004,LOC134759005,LOC134759006,LOC134759007
DFAM14	35	1	1	LOC101138466,LOC101144003,LOC101144371,LOC101144999,LOC101145725,LOC101146552,LOC101146902,LOC101150488,LOC101150863,LOC101151592,LOC101152310,LOC101153753,LOC115930113,LOC115931091,LOC115932888,LOC115932944,LOC115932946,LOC115932965,LOC115933009,LOC115933122,LOC115933180,LOC115933244,LOC115933279,LOC129525038,LOC129529599,LOC129533087,LOC129533091,LOC134758527,LOC134758535,LOC134758536,LOC134759254,PRAMEF12,PRAMEF17,PRAMEF19,PRAMEF20
DFAM15	35	26	21	CDC34,LOC101130608,LOC101132580,LOC101139396,LOC101139714,LOC101152063,LOC101153713,LOC115931260,LOC115931720,LOC129531718,UBE2A,UBE2B,UBE2C,UBE2D1,UBE2D2,UBE2D3,UBE2D4,UBE2E1,UBE2E2,UBE2E3,UBE2F,UBE2G1,UBE2G2,UBE2H,UBE2I,UBE2K,UBE2L3,UBE2L5,UBE2L6,UBE2M,UBE2N,UBE2R2,UBE2S,UBE2T,UBE2W
DFAM16	34	17	13	CABP2,CABP4,CABP5,CALM1,CALM2,CALM3,CALML3,CALML4,CALML5,CALML6,CAPSL,CETN1,CETN2,CETN3,LOC101127500,LOC101139541,LOC101140627,LOC109026304,LOC109027176,LOC109028042,LOC115934314,MYL1,MYL10,MYL11,MYL12B,MYL2,MYL3,MYL4,MYL6,MYL6B,MYL7,MYL9,TNNC1,TNNC2
DFAM17	34	29	19	DIRAS1,DIRAS2,DIRAS3,ERAS,GEM,HRAS,KRAS,LOC101135135,LOC129525003,MRAS,NRAS,RALA,RALB,RAP1A,RAP1B,RAP2A,RAP2B,RAP2C,RASD1,RASD2,RASL11A,RASL11B,RASL12,REM1,REM2,RERG,RERGL,RHEB,RHEBL1,RIT1,RIT2,RRAD,RRAS,RRAS2
DFAM18	33	12	3	DOC2B,LOC115930119,LOC115933091,LOC115933182,LOC115933194,LOC115933227,LOC115933239,LOC129523819,LOC129524034,LOC129525174,LOC129525554,LOC129525684,LOC129526565,LOC129526909,LOC129532712,LOC129532956,LOC134756358,LOC134757295,RPH3A,SYT1,SYT10,SYT11,SYT12,SYT13,SYT15,SYT17,SYT2,SYT3,SYT4,SYT5,SYT6,SYT8,SYT9
DFAM19	33	1	1	LOC115931231,LOC115931232,LOC129527865,LOC129527866,LOC129527868,LOC129527871,LOC129527874,LOC129527881,LOC129527886,LOC129527888,LOC129527890,LOC129527892,LOC129527896,LOC129527897,LOC129527898,LOC129527899,LOC129527901,LOC129527909,LOC129527910,LOC129527912,LOC134757555,LOC134757556,LOC134757557,LOC134757558,LOC134757559,LOC134757560,LOC134757561,LOC134757562,LOC134757563,LOC134757567,LOC134757613,LOC134757618,TAF11
DFAM20	32	14	9	LOC101124387,LOC101125151,LOC101127555,LOC101127811,LOC101135138,LOC101137179,LOC101139294,LOC101139366,LOC101140340,LOC101144515,LOC101147117,LOC101151494,LOC101152412,LOC101153289,LOC101153588,LOC101154144,LOC101154368,LOC115932777,LOC115933479,LOC129525115,LOC129525276,LOC129526222,LOC129529189,LOC134758505,PPIA,PPIAL4H,PPIB,PPIC,PPIL1,PPIL3,PPIL6,TMEM42
DFAM21	31	28	16	LOC101125318,LOC101125684,LOC101126280,LOC101126997,LOC101127374,LOC101128585,LOC101141132,LOC101145202,LOC101146984,LOC101152878,LOC115934657,LOC129533915,LOC134758598,PCDH1,PCDH10,PCDH12,PCDH17,PCDH18,PCDH19,PCDH7,PCDH8,PCDHB1,PCDHB11,PCDHB12,PCDHB14,PCDHB15,PCDHB16,PCDHB2,PCDHB5,PCDHB8,PCDHB9
DFAM22	31	14	9	LOC101139802,LOC101147918,LOC101153093,LOC101154167,LOC115931453,LOC134757191,SERPINA10,SERPINA11,SERPINA12,SERPINA3,SERPINA4,SERPINA5,SERPINA6,SERPINA7,SERPINA9,SERPINB1,SERPINB10,SERPINB11,SERPINB12,SERPINB13,SERPINB2,SERPINB5,SERPINB6,SERPINB7,SERPINB9,SERPINC1,SERPIND1,SERPINE2,SERPINF2,SERPINI1,SERPINI2
DFAM23	30	26	16	MEFV,RNF187,TRIM10,TRIM11,TRIM15,TRIM17,TRIM21,TRIM22,TRIM26,TRIM27,TRIM31,TRIM34,TRIM35,TRIM38,TRIM39,TRIM4,TRIM41,TRIM5,TRIM58,TRIM6,TRIM60,TRIM61,TRIM62,TRIM65,TRIM68,TRIM69,TRIM7,TRIM72,TRIM75,TRIML1
DFAM24	29	22	17	LOC101131374,LOC101140953,LOC129530050,SLC25A1,SLC25A10,SLC25A11,SLC25A14,SLC25A16,SLC25A20,SLC25A23,SLC25A25,SLC25A27,SLC25A29,SLC25A30,SLC25A31,SLC25A34,SLC25A35,SLC25A38,SLC25A4,SLC25A41,SLC25A42,SLC25A43,SLC25A45,SLC25A47,SLC25A48,SLC25A5,UCP1,UCP2,UCP3
DFAM25	28	24	16	LOC101126547,LOC101137392,LOC101151835,LOC101152062,LOC109024728,LOC129529929,LOC129529976,LOC129529978,LOC129529983,LOC129529986,LOC129530018,MAGEA1,MAGEA10,MAGEA12,MAGEA4,MAGEA9,MAGEB1,MAGEB16,MAGEB17,MAGEB18,MAGEB2,MAGEB3,MAGEB5,MAGEB6,MAGEB6B,MAGEF1,NDN,NSMCE3
DFAM26	28	13	3	GOLGA2,GOLGA6L10,LOC101131916,LOC101133389,LOC101138066,LOC101139171,LOC101149363,LOC101149595,LOC101150678,LOC101151050,LOC101153918,LOC115930772,LOC115930779,LOC115930818,LOC115930840,LOC115930844,LOC129523543,LOC129526914,LOC129527017,LOC129527021,LOC129527057,LOC129527071,LOC129527170,LOC129527171,LOC129527175,LOC129527176,LOC134757232,LOC134757307
DFAM27	28	23	17	ARF1,ARF3,ARF4,ARF5,ARF6,ARFRP1,ARL1,ARL10,ARL11,ARL14,ARL2,ARL3,ARL4A,ARL4C,ARL4D,ARL5A,ARL5B,ARL5C,ARL6,ARL8A,ARL8B,ARL9,LOC101135338,LOC101135389,LOC115934320,LOC129524725,LOC129534288,LOC134757235
DFAM28	28	17	6	LOC101123911,LOC101125738,LOC101126098,LOC101127003,LOC101127738,LOC101129166,LOC101129330,LOC101131632,LOC101131885,LOC101133280,LOC101133882,LOC101134814,LOC101136257,LOC101138472,LOC101140733,LOC101141483,LOC101141751,LOC101142869,LOC101144335,LOC101144401,LOC101151967,LOC101152776,LOC101154087,LOC109023047,LOC115932133,LOC115932200,LOC129524322,LOC129529901
DFAM29	27	14	6	ACHE,BCHE,CEL,CES1,CES4A,CES5A,LOC101128088,LOC101128458,LOC101136153,LOC101143341,LOC101149966,LOC109023694,LOC109023710,LOC115931015,LOC115931020,LOC115931021,LOC115931038,LOC115932799,LOC115932915,LOC129531429,LOC134756833,LOC134757223,NLGN1,NLGN2,NLGN3,NLGN4X,NLGN4Y
DFAM30	27	18	4	KCNA1,KCNA10,KCNA2,KCNA3,KCNA4,KCNA5,KCNA6,KCNA7,KCNB1,KCNB2,KCNC1,KCNC2,KCNC3,KCNC4,KCND1,KCND2,KCND3,KCNF1,KCNG1,KCNG2,KCNG3,KCNG4,KCNS1,KCNS2,KCNS3,KCNV1,KCNV2
DFAM31	26	1	0	LOC101140852,LOC129526352,LOC129526367,LOC129526370,LOC129526371,LOC129526372,LOC129526373,LOC129526452,LOC129526455,LOC129526457,LOC129526458,LOC129526459,LOC129526460,LOC129526461,LOC129526462,LOC129526463,LOC129526467,LOC134757062,LOC134757063,LOC134757064,LOC134757065,LOC134757066,LOC134757067,LOC134757068,LOC134757069,PRR20G
DFAM32	26	13	9	LOC101127274,LOC101128005,LOC101137298,LOC101137655,LOC101138029,LOC101138407,LOC101139500,LOC129525946,TAS2R1,TAS2R10,TAS2R13,TAS2R14,TAS2R16,TAS2R20,TAS2R3,TAS2R38,TAS2R39,TAS2R4,TAS2R40,TAS2R42,TAS2R5,TAS2R50,TAS2R60,TAS2R7,TAS2R8,TAS2R9
DFAM33	25	11	4	LOC101126456,LOC101127173,LOC101127384,LOC101129522,LOC101130358,LOC101133172,LOC101134278,LOC101138067,LOC101142890,LOC101146638,LOC101147473,LOC101148349,LOC101150033,LOC101151246,LOC101151678,LOC101151965,LOC101152080,LOC101152395,LOC101152766,LOC109023079,LOC109025371,LOC109026135,LOC115931944,LOC134756383,LOC134757673
