family_id	category	fam_class	bridge_dn	bridge_gene	chrom	start	n_exons	n_subfam	subfams	per_exon_best_subfamily	classification	best_single_colinear	best_single_neighbor	vg_would_split	bridge_kind	confidence
57	ep_impure	DISCONNECTED	__NO_BRIDGE__				9	9	med_cov=0.0;xcompid=0.627		DISCONNECTED			0	-	-
58	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.167;xcompid=None		DOMAIN-SHARE			0	-	-
64	ep_impure	DISCONNECTED	__NO_BRIDGE__				10	9	med_cov=0.0;xcompid=0.691		DISCONNECTED			0	-	-
69	ep_impure	DOMAIN-SHARE-BRIDGE	DN_NC_073247.2_65342412_4	NA	NC_073247.2	65342412	4	2	SLC38A6(1);LOC129527528(1)	e1:- e2:- e3:- e4:SLC38A6(1)|LOC129527528(1)(SHARED,0.746)	DOMAIN-SHARE	0.25	SLC38A6	0	-	-
75	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073238.2_24580375_8	LOC129526398	NC_073238.2	24580375	8	2	TMEM128(2);KMT2C(4)	e1:KMT2C(4)(0.996) e2:KMT2C(4)(1.0) e3:KMT2C(4)(0.988) e4:KMT2C(4)(0.982) e5:KMT2C(4)(0.991) e6:KMT2C(4)(0.997) e7:TMEM128(2)(0.972) e8:TMEM128(2)(0.962)	RECOMBINANT	0.75	LOC129526385	0	DISTRIBUTED-MOSAIC	HIGH
79	ep_impure	CARDINALITY	__NO_BRIDGE__				16	1	med_cov=0.75;xcompid=None		CARDINALITY			0	-	-
92	ep_impure	DOMAIN-SHARE-BRIDGE	DN_NC_073230.2_150857421_7	SSBP1	NC_073230.2	150857421	7	2	NA(1);LOC109027212(5)	e1:- e2:- e3:- e4:- e5:- e6:- e7:NA(1)|LOC109027212(5)(SHARED,0.83)	DOMAIN-SHARE	0.143	NA	0	-	-
94	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073229.2_110027725_2	NA	NC_073229.2	110027725	2	2	LOC134757313(3);FAM228B(3)	e1:- e2:LOC134757313(3)|FAM228B(3)(SHARED,0.941)	DOMAIN-SHARE	0.5	MTHFD2L	0	-	-
94	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073240.2_44461085_2	LOC134757313	NC_073240.2	44461085	2	2	MTHFD2L(5);LOC134757313(1)	e1:LOC134757313(1)(1.0) e2:MTHFD2L(5)(0.799)	RECOMBINANT	0.5	MTHFD2L	1	DISTRIBUTED-MOSAIC	LOW
94	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073244.2_27139185_2	ZNF626	NC_073244.2	27139185	2	2	LOC134757313(5);LOC129526638(1)	e1:- e2:LOC134757313(5)|LOC129526638(1)(SHARED,0.898)	DOMAIN-SHARE	0.5	NA	0	-	-
110	oversize_NLGN1	RECOMBINANT-BRIDGE	DN_NC_073228.2_179980536_5	LOC134758618	NC_073228.2	179980536	5	2	NA(2);NA(6)	e1:NA(6)(0.879) e2:- e3:- e4:- e5:NA(2)(0.991)	RECOMBINANT	0.2	NA	1	DISTRIBUTED-MOSAIC	LOW
110	oversize_NLGN1	RECOMBINANT-BRIDGE	DN_NC_073228.2_182670660_2	NA	NC_073228.2	182670660	2	2	NA(7);NA(1)	e1:NA(1)(0.996) e2:NA(7)(0.991)	RECOMBINANT	0.5	LOC134758618	1	DISTRIBUTED-MOSAIC	LOW
111	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.25;xcompid=None		DOMAIN-SHARE			0	-	-
116	ep_impure	DISCONNECTED	__NO_BRIDGE__				3	2	med_cov=0.0;xcompid=0.552		DISCONNECTED			0	-	-
121	ep_impure	DOMAIN-SHARE-BRIDGE	DN_NC_073228.2_45948292_6	LOC115934626	NC_073228.2	45948292	6	2	LRRC37A3(5);ARL17A(1)	e1:LRRC37A3(5)|ARL17A(1)(SHARED,0.994) e2:LRRC37A3(5)(0.96) e3:LRRC37A3(5)(0.959) e4:LRRC37A3(5)(0.981) e5:- e6:LRRC37A3(5)(0.949)	DOMAIN-SHARE	0.667	LRRC37A3	0	-	-
128	ep_impure	DISCONNECTED	__NO_BRIDGE__				5	5	med_cov=0.0;xcompid=0.618		DISCONNECTED			0	-	-
144	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=0.75;xcompid=None		CARDINALITY			0	-	-
165	ep_impure	DISCONNECTED	__NO_BRIDGE__				5	2	med_cov=0.5;xcompid=0.588		DISCONNECTED			0	-	-
182	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.576		DISCONNECTED			0	-	-
187	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073230.2_47098444_23	LOC115935376	NC_073230.2	47098444	23	2	LOC129523494(4);LOC101146405(1)	e1:- e2:LOC101146405(1)(0.967) e3:LOC129523494(4)(0.989) e4:LOC129523494(4)(0.983) e5:LOC129523494(4)(0.953) e6:- e7:- e8:LOC101146405(1)(0.992) e9:LOC101146405(1)(0.989) e10:LOC101146405(1)(0.991) e11:LOC101146405(1)(0.979) e12:LOC101146405(1)(0.964) e13:LOC101146405(1)(0.979) e14:LOC101146405(1)(0.988) e15:LOC101146405(1)(0.971) e16:LOC101146405(1)(0.973) e17:LOC101146405(1)(0.967) e18:LOC101146405(1)(0.984) e19:LOC101146405(1)(0.938) e20:LOC101146405(1)(0.936) e21:LOC101146405(1)(0.989) e22:LOC101146405(1)(0.957) e23:-	RECOMBINANT	0.348	LOC101146405	1	DISTRIBUTED-MOSAIC	HIGH
196	ep_impure	DISCONNECTED	__NO_BRIDGE__				3	2	med_cov=0.0;xcompid=0.597		DISCONNECTED			0	-	-
210	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073230.2_81087606_7	LOC115935264	NC_073230.2	81087606	7	2	LOC101126070(1);GALNT17(1)	e1:- e2:LOC101126070(1)(0.993) e3:LOC101126070(1)(0.988) e4:LOC101126070(1)(0.978) e5:LOC101126070(1)(0.988) e6:GALNT17(1)(0.994) e7:GALNT17(1)(0.983)	RECOMBINANT	0.571	LOC101126070	1	DISTRIBUTED-MOSAIC	HIGH
216	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
230	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.565		DISCONNECTED			0	-	-
255	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
259	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.581		DISCONNECTED			0	-	-
265	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.111;xcompid=None		DOMAIN-SHARE			0	-	-
269	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.521		DISCONNECTED			0	-	-
279	ep_impure	DISCONNECTED	__NO_BRIDGE__				3	3	med_cov=0.0;xcompid=0.578		DISCONNECTED			0	-	-
285	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.536		DISCONNECTED			0	-	-
288	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073234.2_24978856_8	LOC109029264	NC_073234.2	24978856	8	2	LOC115930232(1);DDX11(1)	e1:DDX11(1)(0.973) e2:- e3:LOC115930232(1)(0.972) e4:LOC115930232(1)(0.978) e5:LOC115930232(1)(1.0) e6:LOC115930232(1)(0.99) e7:LOC115930232(1)(0.973) e8:LOC115930232(1)(1.0)	RECOMBINANT	0.75	LOC115930232	0	DISTRIBUTED-MOSAIC	LOW
290	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.2;xcompid=None		DOMAIN-SHARE			0	-	-
304	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.083;xcompid=None		DOMAIN-SHARE			0	-	-
311	ep_impure	DISCONNECTED	__NO_BRIDGE__				4	2	med_cov=0.0;xcompid=0.59		DISCONNECTED			0	-	-
321	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073236.2_121348824_2	RDH14	NC_073236.2	121348824	2	2	NT5C1B(2);RDH14(1)	e1:NT5C1B(2)(1.0) e2:RDH14(1)(1.0)	RECOMBINANT	0.5	RDH14	1	READTHROUGH-CHIMERA	LOW
321	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073236.2_121349000_3	RDH14	NC_073236.2	121349000	3	2	NT5C1B(1);RDH14(2)	e1:RDH14(2)(1.0) e2:- e3:NT5C1B(1)(1.0)	RECOMBINANT	0.333	NT5C1B	1	READTHROUGH-CHIMERA	LOW
323	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.619		DISCONNECTED			0	-	-
325	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.616		DISCONNECTED			0	-	-
326	ep_impure	CARDINALITY	__NO_BRIDGE__				4	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
332	multifam_FOXO1	DISCONNECTED	__NO_BRIDGE__				15	2	med_cov=0.0;xcompid=0.573		DISCONNECTED			0	-	-
336	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.2;xcompid=None		DOMAIN-SHARE			0	-	-
339	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073236.2_47712811_9	LOC109025447	NC_073236.2	47712811	9	2	LOC101136692(1);LOC101137060(6)	e1:LOC101137060(6)(0.995) e2:LOC101136692(1)(0.988) e3:LOC101136692(1)(0.989) e4:LOC101136692(1)(1.0) e5:LOC101136692(1)(1.0) e6:LOC101136692(1)(0.994) e7:LOC101136692(1)(1.0) e8:LOC101136692(1)(1.0) e9:LOC101136692(1)(0.996)	RECOMBINANT	0.889	LOC101136692	0	DISTRIBUTED-MOSAIC	LOW
339	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073236.2_47732210_12	LOC109025447	NC_073236.2	47732210	12	2	LOC101136692(6);LOC101137060(1)	e1:LOC101137060(1)(1.0) e2:LOC101137060(1)(0.863) e3:LOC101137060(1)(1.0) e4:LOC101137060(1)(1.0) e5:LOC101137060(1)(1.0) e6:LOC101137060(1)(0.983) e7:LOC101137060(1)(0.987) e8:LOC101137060(1)(0.991) e9:LOC101137060(1)(0.994) e10:LOC101136692(6)(0.978) e11:LOC101136692(6)(0.995) e12:LOC101136692(6)(0.981)	RECOMBINANT	0.75	LOC101137060	0	DISTRIBUTED-MOSAIC	HIGH
351	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.583		DISCONNECTED			0	-	-
366	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.125;xcompid=None		DOMAIN-SHARE			0	-	-
373	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.516		DISCONNECTED			0	-	-
374	oversize_MPHOSPH8	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=0.667;xcompid=None		CARDINALITY			0	-	-
387	ep_impure	CARDINALITY	__NO_BRIDGE__				4	1	med_cov=0.833;xcompid=None		CARDINALITY			0	-	-
391	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.633		DISCONNECTED			0	-	-
403	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
404	ep_impure	DISCONNECTED	__NO_BRIDGE__				7	2	med_cov=0.2;xcompid=0.56		DISCONNECTED			0	-	-
420	ep_impure	DISCONNECTED	__NO_BRIDGE__				7	5	med_cov=0.0;xcompid=0.601		DISCONNECTED			0	-	-
424	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.091;xcompid=None		DOMAIN-SHARE			0	-	-
425	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.582		DISCONNECTED			0	-	-
434	ep_impure	DISCONNECTED	__NO_BRIDGE__				4	3	med_cov=0.0;xcompid=0.588		DISCONNECTED			0	-	-
443	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073242.2_15607160_18	LOC134757427	NC_073242.2	15607160	18	2	LOC101136480(4);LOC101131561(1)	e1:LOC101131561(1)(0.986) e2:LOC101131561(1)(0.946) e3:LOC101131561(1)(0.993) e4:LOC101131561(1)(0.986) e5:LOC101131561(1)(0.967) e6:LOC101131561(1)(0.981) e7:LOC101131561(1)(0.958) e8:LOC101131561(1)(0.981) e9:LOC101131561(1)(0.987) e10:LOC101131561(1)(0.98) e11:LOC101131561(1)(0.969) e12:LOC101131561(1)(0.965) e13:LOC101131561(1)(0.979) e14:LOC101131561(1)(0.986) e15:LOC101131561(1)(0.96) e16:LOC101131561(1)(0.99) e17:LOC101131561(1)(0.981) e18:LOC101136480(4)(0.997)	RECOMBINANT	0.944	LOC101131561	0	DISTRIBUTED-MOSAIC	LOW
443	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073242.2_30717385_31	LOC115933250	NC_073242.2	30717385	31	2	LOC134757427(3);LOC101136480(2)	e1:LOC134757427(3)(1.0) e2:LOC134757427(3)(1.0) e3:LOC134757427(3)(1.0) e4:LOC134757427(3)(0.99) e5:LOC134757427(3)(1.0) e6:LOC134757427(3)(1.0) e7:LOC134757427(3)(0.993) e8:LOC101136480(2)(1.0) e9:LOC101136480(2)(0.989) e10:LOC101136480(2)(1.0) e11:LOC101136480(2)(0.987) e12:LOC101136480(2)(0.989) e13:LOC101136480(2)(0.993) e14:LOC101136480(2)(1.0) e15:LOC101136480(2)(1.0) e16:LOC101136480(2)(1.0) e17:LOC101136480(2)(1.0) e18:LOC101136480(2)(0.979) e19:LOC101136480(2)(1.0) e20:LOC101136480(2)(0.988) e21:LOC101136480(2)(0.994) e22:LOC101136480(2)(0.992) e23:LOC101136480(2)(1.0) e24:LOC101136480(2)(1.0) e25:LOC101136480(2)(0.979) e26:LOC101136480(2)(0.976) e27:LOC101136480(2)(1.0) e28:LOC101136480(2)(0.99) e29:LOC101136480(2)(1.0) e30:LOC101136480(2)(0.989) e31:LOC101136480(2)(0.995)	RECOMBINANT	0.774	LOC101136480	0	DISTRIBUTED-MOSAIC	HIGH
443	ep_impure	RECOMBINANT-BRIDGE	DN_NC_073242.2_31497679_8	LOC115933349	NC_073242.2	31497679	8	2	LOC134757427(2);LOC101136480(3)	e1:LOC101136480(3)(1.0) e2:LOC101136480(3)(1.0) e3:LOC101136480(3)(1.0) e4:LOC101136480(3)(0.99) e5:LOC101136480(3)(1.0) e6:LOC101136480(3)(1.0) e7:LOC101136480(3)(0.993) e8:LOC134757427(2)(0.997)	RECOMBINANT	0.875	LOC115933250	0	DISTRIBUTED-MOSAIC	LOW
444	ep_impure	CARDINALITY	__NO_BRIDGE__				3	1	med_cov=0.867;xcompid=None		CARDINALITY			0	-	-
447	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				4	1	med_cov=0.455;xcompid=None		DOMAIN-SHARE			0	-	-
452	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.559		DISCONNECTED			0	-	-
455	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.586		DISCONNECTED			0	-	-
485	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.083;xcompid=None		DOMAIN-SHARE			0	-	-
486	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.579		DISCONNECTED			0	-	-
493	ep_impure	DISCONNECTED	__NO_BRIDGE__				3	3	med_cov=0.0;xcompid=0.566		DISCONNECTED			0	-	-
528	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=0.714;xcompid=None		CARDINALITY			0	-	-
547	mage	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
549	mage_oversize	CARDINALITY	__NO_BRIDGE__				11	1	med_cov=0.667;xcompid=None		CARDINALITY			0	-	-
554	mage	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.5;xcompid=None		DOMAIN-SHARE			0	-	-
565	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
575	ep_impure	CARDINALITY	__NO_BRIDGE__				2	1	med_cov=1.0;xcompid=None		CARDINALITY			0	-	-
586	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				2	1	med_cov=0.125;xcompid=None		DOMAIN-SHARE			0	-	-
587	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.603		DISCONNECTED			0	-	-
588	ep_impure	DISCONNECTED	__NO_BRIDGE__				2	2	med_cov=0.0;xcompid=0.551		DISCONNECTED			0	-	-
598	ep_impure	CARDINALITY	__NO_BRIDGE__				4	1	med_cov=0.857;xcompid=None		CARDINALITY			0	-	-
601	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				4	1	med_cov=0.5;xcompid=None		DOMAIN-SHARE			0	-	-
602	ep_impure	DOMAIN-SHARE	__NO_BRIDGE__				3	1	med_cov=0.5;xcompid=None		DOMAIN-SHARE			0	-	-
