family	n_copies	K	psvs	class	reads	reads_one_copy	validation	chroms
179	2	2	1	fully_resolvable	272	219	219/219	NC_073242.2
181	2	2	5	fully_resolvable	32	10	10/10	NC_073242.2
182	2	2	8	fully_resolvable	53	8	8/8	NC_073242.2
183	2	2	24	fully_resolvable	73	60	58/60	NC_073242.2
189	2	2	6	fully_resolvable	100	97	96/97	NC_073244.2
192	2	2	15	fully_resolvable	85	36	35/36	NC_073246.2,NC_086018.1
193	2	2	4	fully_resolvable	87	7	7/7	NC_073247.2
34	8	1	0	no_psv	596	0	0/0	NC_073238.2,NC_073240.2
1	7	1	0	no_psv	1621	0	0/0	NC_073236.2
7	7	1	0	no_psv	683	0	0/0	NC_073224.2
21	5	1	0	no_psv	415	0	0/0	NC_073232.2
14	4	1	0	no_psv	541	0	0/0	NC_073224.2
62	4	1	0	no_psv	224	0	0/0	NC_073240.2
96	4	1	0	no_psv	49	0	0/0	NC_073248.2
75	3	1	0	no_psv	205	0	0/0	NC_073243.2
30	2	1	0	no_psv	475	0	0/0	NC_073247.2
46	2	1	0	no_psv	364	0	0/0	NC_073247.2
63	2	1	0	no_psv	315	0	0/0	NC_073247.2
68	2	1	0	no_psv	159	0	0/0	NC_073242.2
69	2	1	0	no_psv	92	0	0/0	NC_073247.2
93	2	1	0	no_psv	40	0	0/0	NC_073247.2
94	2	1	0	no_psv	104	0	0/0	NC_073247.2
95	2	1	0	no_psv	76	0	0/0	NC_073247.2
101	2	1	0	no_psv	42	0	0/0	NC_073229.2
122	2	1	0	no_psv	78	0	0/0	NC_073247.2
145	2	1	0	no_psv	124	0	0/0	NC_073229.2
151	2	1	0	no_psv	96	0	0/0	NC_073230.2
168	2	1	0	no_psv	3383	0	0/0	NC_073239.2
169	2	1	0	no_psv	3383	0	0/0	NC_073239.2
170	2	1	0	no_psv	3382	0	0/0	NC_073239.2
175	2	1	0	no_psv	193	0	0/0	NC_073240.2
176	2	1	0	no_psv	8	0	0/0	NC_073242.2
191	2	1	0	no_psv	33	0	0/0	NC_073246.2,NC_086018.1
195	2	1	0	no_psv	38	0	0/0	NC_073247.2
22	6	4	61	partial	634	76	74/76	NC_073236.2,NC_073237.2
11	4	2	13	partial	714	0	0/0	NC_073230.2
32	4	3	31	partial	437	171	58/171	NC_073228.2
