gene_a	gene_b	cls	cls_auth	in_dna_loose	in_ep	ep_tier	core_recip	core_source	has_direct_edge	aln_len	aln_frac	mm_median_hi	mm_mean_hi	mm_max_hi	mm_median_lo	mm_mean_lo	mm_max_lo	mm_max_max	mm_max_min	mm_median_max	mm_mean_max	allele_gene	allele_balanced_frac	allele_het_risk	allele_copy_like	allele_med_maf	abl_bridge_mask
ADH1B	LOC101136823	TP	TP	1	1	tier1	0.3518	dn	1	NA	NA	3.0000	6.9025	51	3.0000	7.3900	51	51	51	3.0000	7.3900	NA	NA	NA	NA	NA	0.2359
ADORA1	CHIT1	genuine	genuine-FP	0	0	none	0.4714	dn	1	1063	0.4710	1.0000	3.7455	51	1.0000	2.1269	51	51	51	1.0000	3.7455	NA	NA	NA	NA	NA	0.0387
AFG3L2	TUBB6	genuine	genuine-FP	0	0	none	0.2395	dn	1	641	0.2391	2.0000	2.1275	8	2.0000	2.1275	8	8	8	2.0000	2.1275	NA	NA	NA	NA	NA	0.3383
AK6	TAF9B	genuine	genuine-FP	0	0	none	0.3182	dn	1	0	0.0000	4.0000	5.2832	52	2.0000	6.7650	51	52	51	4.0000	6.7650	NA	NA	NA	NA	NA	0.1683
AKR1B10	LOC115935241	TP	TP	1	1	tier1	0.4206	dn	1	NA	NA	5.0000	6.2222	51	5.0000	7.3524	51	51	51	5.0000	7.3524	NA	NA	NA	NA	NA	0.3018
AKR1C3	LOC129525965	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1C3	LOC129532059	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1C3	LOC129532348	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1C3	PASD1	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR1C3	RTP4	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AKR7A2	LOC115933748	TP	TP	1	1	tier1	0.7366	dn	1	NA	NA	5.0000	5.0271	51	5.0000	4.9157	6	51	6	5.0000	5.0271	NA	NA	NA	NA	NA	0.2469
AKT1	AKT2	truthbar	truthbar-FP	0	1	tier1	0.2018	dn	1	NA	NA	1.0000	1.4878	8	1.0000	1.1583	6	8	6	1.0000	1.4878	NA	NA	NA	NA	NA	0.1000
AKTIP	RBL2	genuine	genuine-FP	0	0	none	0.3117	dn	1	1525	0.3105	1.0000	1.4925	51	1.0000	1.1175	48	51	48	1.0000	1.4925	NA	NA	NA	NA	NA	0.2095
ALB	AVEN	genuine	genuine-FP	0	0	none	0.1543	dn	1	0	0.0000	37.0000	26.8095	52	30.5000	26.0690	51	52	51	37.0000	26.8095	NA	NA	NA	NA	NA	0.3271
ALDH1B1	ALDH2	truthbar	truthbar-FP	0	1	tier1	0.4238	dn	1	NA	NA	3.0000	3.6750	52	1.0000	1.0025	2	52	2	3.0000	3.6750	NA	NA	NA	NA	NA	0.1689
ALDH1B1	LOC115935842	TP	TP	1	1	tier1	0.3444	dn	1	NA	NA	3.0000	3.6750	52	3.0000	3.0950	22	52	22	3.0000	3.6750	NA	NA	NA	NA	NA	0.1689
ALDH1B1	LOC129524687	TP	TP	1	1	tier1	0.8829	dn	1	NA	NA	3.0000	3.6750	52	3.0000	3.0450	18	52	18	3.0000	3.6750	NA	NA	NA	NA	NA	0.1663
ALDH1L1	ALDH1L2	truthbar	truthbar-FP	0	1	tier1	0.5237	dn	1	NA	NA	51.0000	40.0000	51	1.0000	1.4716	51	51	51	51.0000	40.0000	NA	NA	NA	NA	NA	0.0436
ALDH2	LOC115935842	truthbar	truthbar-FP	0	1	tier1	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALDH2	LOC129524687	truthbar	truthbar-FP	0	1	tier1	0.2743	dn	1	NA	NA	3.0000	3.0450	18	1.0000	1.0025	2	18	2	3.0000	3.0450	NA	NA	NA	NA	NA	0.1566
ALG1	EEF2KMT	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	LOC101125415	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	LOC101133440	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	LOC101137806	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG1	LOC101139163	genuine	genuine-FP	0	0	none	0.1538	dn	1	957	0.4459	15.0000	15.7675	52	15.0000	14.6300	51	52	51	15.0000	15.7675	NA	NA	NA	NA	NA	0.0477
ALG1	LOC101152938	genuine	genuine-FP	0	0	none	0.1724	dn	1	901	0.4199	15.0000	21.1800	52	15.0000	14.6300	51	52	51	15.0000	21.1800	NA	NA	NA	NA	NA	0.0604
ALG1	LOC115934341	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ALG10	ALG10B	TP	TP	1	1	tier1	0.5702	dn	1	NA	NA	2.0000	17.3649	52	2.0000	6.1311	51	52	51	2.0000	17.3649	NA	NA	NA	NA	NA	0.2850
ALG1L1P	LOC101127338	genuine	genuine-FP	0	0	none	0.6561	dn	1	994	1.1244	2.0000	3.9231	52	2.0000	1.9615	2	52	2	2.0000	3.9231	NA	NA	NA	NA	NA	0.0498
AMN1	ETFBKMT	genuine	genuine-FP	0	0	none	0.6472	dn	1	1540	0.6468	1.0000	4.7573	51	1.0000	1.8810	51	51	51	1.0000	4.7573	NA	NA	NA	NA	NA	0.3050
AMPD2	AMPD3	truthbar	truthbar-FP	0	1	tier1	0.1647	dn	1	NA	NA	1.0000	4.9323	51	1.0000	1.1153	39	51	39	1.0000	4.9323	NA	NA	NA	NA	NA	0.0587
AMY2A	KRBOX5	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101123988	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101124778	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101126065	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101128106	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101128844	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101129171	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101130023	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101133546	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101133668	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101136009	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101137462	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101141027	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101142646	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101144119	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101144471	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101144838	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101145945	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101146634	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101147715	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101150965	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101151892	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101152401	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101153126	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC101153131	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC109024216	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC109026610	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC115930172	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC115931567	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC115931568	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC115931576	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC115931654	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC115931857	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC129527827	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	LOC129528947	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	OSBPL10	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	ZNF141	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	ZNF195	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	ZNF254	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
AMY2A	ZNF267	genuine	genuine-FP	0	0	none	NA	none	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
