family_id	tid	chrom	start	end	n_exon	strand	n_reads	core_recip
GWFAM93	RC_NC_073230.2_86159933_6	NC_073230.2	86159933	86209473	6	+	2	0.995
GWFAM253	RC_NC_073247.2_164442458_5	NC_073247.2	164442458	164465364	5	-	1	0.994
GWFAM260	RC_NC_086018.1_18253470_50	NC_086018.1	18253470	18365345	50	-	2	0.991
GWFAM4	RC_NC_073224.2_19225190_26	NC_073224.2	19225190	19243897	26	-	2	0.987
GWFAM53	RC_NC_073228.2_31615349_33	NC_073228.2	31615349	31828756	33	+	2	0.987
GWFAM243	RC_NC_073247.2_62673923_5	NC_073247.2	62673923	62685286	5	-	1	0.979
GWFAM64	RC_NC_073228.2_81097033_8	NC_073228.2	81097033	81227944	8	+	1	0.979
GWFAM168	RC_NC_073237.2_24544525_4	NC_073237.2	24544525	24569512	4	-	1	0.974
GWFAM58	RC_NC_073238.2_32618985_9	NC_073238.2	32618985	32677130	9	-	2	0.961
GWFAM56	RC_NC_073228.2_54178268_26	NC_073228.2	54178268	54254352	26	+	1	0.949
GWFAM230	RC_NC_073244.2_68331378_6	NC_073244.2	68331378	68424674	6	-	2	0.948
GWFAM214	RC_NC_073242.2_66460984_2	NC_073242.2	66460984	66500563	2	+	1	0.944
GWFAM11	RC_NC_073224.2_101594000_10	NC_073224.2	101594000	101607689	10	+	2	0.941
GWFAM126	RC_NC_073242.2_30376963_5	NC_073242.2	30376963	30425475	5	-	2	0.939
GWFAM198	RC_NC_073240.2_33323651_20	NC_073240.2	33323651	33349323	20	+	1	0.936
GWFAM230	RC_NC_073244.2_68258639_5	NC_073244.2	68258639	68266723	5	-	2	0.935
GWFAM31	RC_NC_086017.1_136766545_3	NC_086017.1	136766545	136779956	3	+	1	0.932
GWFAM262	RC_NC_086018.1_22520079_8	NC_086018.1	22520079	22539548	8	-	1	0.923
GWFAM147	RC_NC_073235.2_144800093_17	NC_073235.2	144800093	144823088	17	+	1	0.916
GWFAM214	RC_NC_073242.2_66460936_2	NC_073242.2	66460936	66500423	2	+	2	0.916
GWFAM56	RC_NC_073228.2_56531264_42	NC_073228.2	56531264	56815418	42	-	2	0.912
GWFAM61	RC_NC_073228.2_70427937_2	NC_073228.2	70427937	70441035	2	+	1	0.908
GWFAM150	RC_NC_073242.2_3615639_2	NC_073242.2	3615639	3645375	2	-	1	0.897
GWFAM214	RC_NC_073242.2_68111935_2	NC_073242.2	68111935	68150530	2	-	1	0.893
GWFAM240	RC_NC_073247.2_59691116_3	NC_073247.2	59691116	59694516	3	+	2	0.891
GWFAM211	RC_NC_073242.2_29255711_8	NC_073242.2	29255711	29260839	8	+	2	0.888
GWFAM23	RC_NC_073230.2_10192582_5	NC_073230.2	10192582	10337651	5	-	1	0.883
GWFAM47	RC_NC_073227.2_211600300_2	NC_073227.2	211600300	211614712	2	+	1	0.882
GWFAM151	RC_NC_073236.2_24584475_13	NC_073236.2	24584475	24682730	13	-	1	0.876
GWFAM56	RC_NC_073228.2_54882442_11	NC_073228.2	54882442	54891829	11	+	1	0.872
GWFAM39	RC_NC_073227.2_132915877_27	NC_073227.2	132915877	133012979	27	-	2	0.871
GWFAM191	RC_NC_073239.2_123333527_2	NC_073239.2	123333527	123466889	2	-	2	0.865
GWFAM213	RC_NC_073242.2_66832285_3	NC_073242.2	66832285	66836664	3	-	1	0.858
GWFAM1	RC_NC_073224.2_5567537_3	NC_073224.2	5567537	5617213	3	-	1	0.857
GWFAM73	RC_NC_073228.2_176866747_9	NC_073228.2	176866747	176949656	9	+	2	0.845
GWFAM176	RC_NC_073238.2_24804471_2	NC_073238.2	24804471	24806985	2	-	1	0.834
GWFAM233	RC_NC_086018.1_1957962_3	NC_086018.1	1957962	2015873	3	-	1	0.831
GWFAM214	RC_NC_073242.2_68109145_2	NC_073242.2	68109145	68152718	2	-	1	0.829
GWFAM230	RC_NC_073244.2_68309808_5	NC_073244.2	68309808	68317938	5	+	1	0.826
GWFAM176	RC_NC_073248.2_33731639_5	NC_073248.2	33731639	33824684	5	+	1	0.823
GWFAM151	RC_NC_073236.2_30633000_6	NC_073236.2	30633000	30708620	6	+	2	0.819
GWFAM145	RC_NC_073235.2_39290408_29	NC_073235.2	39290408	40202489	29	+	1	0.815
GWFAM59	RC_NC_073234.2_45248495_4	NC_073234.2	45248495	45249676	4	-	1	0.812
GWFAM90	RC_NC_086017.1_9234757_5	NC_086017.1	9234757	9353580	5	-	1	0.804
GWFAM262	RC_NC_086018.1_22371802_7	NC_086018.1	22371802	22391271	7	-	2	0.798
GWFAM112	RC_NC_073244.2_70993649_3	NC_073244.2	70993649	70999429	3	+	1	0.795
GWFAM254	RC_NC_073247.2_164407411_3	NC_073247.2	164407411	164411318	3	-	1	0.794
GWFAM254	RC_NC_073247.2_164407412_4	NC_073247.2	164407412	164411338	4	-	1	0.793
GWFAM64	RC_NC_073228.2_81077247_4	NC_073228.2	81077247	81084084	4	-	2	0.791
GWFAM57	RC_NC_073228.2_54841142_2	NC_073228.2	54841142	54844353	2	+	1	0.789
GWFAM203	RC_NC_073242.2_3798324_3	NC_073242.2	3798324	3799186	3	+	1	0.777
GWFAM112	RC_NC_073227.2_212171239_11	NC_073227.2	212171239	212235112	11	+	1	0.765
GWFAM43	RC_NC_073227.2_208335650_2	NC_073227.2	208335650	208342692	2	-	1	0.764
GWFAM83	RC_NC_073229.2_49603424_13	NC_073229.2	49603424	49608336	13	-	2	0.758
GWFAM122	RC_NC_073239.2_105551442_43	NC_073239.2	105551442	105732426	43	-	1	0.756
GWFAM161	RC_NC_073236.2_51395638_23	NC_073236.2	51395638	51458529	23	+	2	0.752
GWFAM75	RC_NC_073228.2_184672267_6	NC_073228.2	184672267	184705496	6	+	1	0.746
GWFAM70	RC_NC_073228.2_144930589_2	NC_073228.2	144930589	144943604	2	+	1	0.743
GWFAM70	RC_NC_073228.2_144930603_2	NC_073228.2	144930603	144946459	2	+	1	0.743
GWFAM93	RC_NC_073230.2_86149240_21	NC_073230.2	86149240	86292176	21	-	2	0.741
GWFAM176	RC_NC_073236.2_21758301_2	NC_073236.2	21758301	21775739	2	+	1	0.739
GWFAM90	RC_NC_073227.2_8056123_5	NC_073227.2	8056123	8175265	5	-	1	0.72
GWFAM40	RC_NC_073227.2_147995391_2	NC_073227.2	147995391	148000185	2	+	1	0.719
GWFAM5	RC_NC_073230.2_76008771_7	NC_073230.2	76008771	76033748	7	-	1	0.715
GWFAM56	RC_NC_073243.2_20243275_22	NC_073243.2	20243275	20266941	22	+	2	0.711
GWFAM14	RC_NC_073224.2_114661581_6	NC_073224.2	114661581	114673155	6	-	1	0.709
GWFAM46	RC_NC_073232.2_8602575_4	NC_073232.2	8602575	8619131	4	+	2	0.708
GWFAM85	RC_NC_073229.2_50166630_5	NC_073229.2	50166630	50179556	5	-	2	0.706
GWFAM203	RC_NC_073242.2_3771193_3	NC_073242.2	3771193	3772963	3	+	1	0.696
GWFAM6	RC_NC_073230.2_43580295_4	NC_073230.2	43580295	43586170	4	-	2	0.677
GWFAM177	RC_NC_073240.2_20415301_10	NC_073240.2	20415301	20622720	10	+	1	0.662
GWFAM126	RC_NC_073242.2_35377344_13	NC_073242.2	35377344	35541597	13	-	2	0.656
GWFAM197	RC_NC_073240.2_23417734_2	NC_073240.2	23417734	23461762	2	-	1	0.651
GWFAM46	RC_NC_073230.2_168757896_5	NC_073230.2	168757896	168778242	5	-	1	0.65
GWFAM131	RC_NC_073242.2_8688261_9	NC_073242.2	8688261	8738970	9	+	2	0.637
GWFAM204	RC_NC_073247.2_61926414_2	NC_073247.2	61926414	61928938	2	+	1	0.631
GWFAM204	RC_NC_073242.2_28555363_26	NC_073242.2	28555363	28647616	26	+	2	0.628
GWFAM112	RC_NC_073229.2_195514826_7	NC_073229.2	195514826	195534255	7	+	2	0.626
GWFAM112	RC_NC_086017.1_211772824_18	NC_086017.1	211772824	211837969	18	+	1	0.625
GWFAM17	RC_NC_073224.2_129295752_36	NC_073224.2	129295752	129423661	36	+	2	0.622
GWFAM119	RC_NC_086017.1_85409942_2	NC_086017.1	85409942	85446085	2	+	1	0.62
GWFAM177	RC_NC_073235.2_31607341_18	NC_073235.2	31607341	31662627	18	-	1	0.603
GWFAM59	RC_NC_073240.2_20532555_8	NC_073240.2	20532555	20542842	8	-	2	0.603
GWFAM207	RC_NC_073242.2_28995107_2	NC_073242.2	28995107	28998306	2	-	1	0.601
GWFAM207	RC_NC_073242.2_28995202_2	NC_073242.2	28995202	28998999	2	-	1	0.601
GWFAM14	RC_NC_073224.2_116908689_26	NC_073224.2	116908689	117094876	26	-	2	0.592
GWFAM245	RC_NC_073247.2_84543508_2	NC_073247.2	84543508	84544274	2	-	2	0.586
GWFAM262	RC_NC_086018.1_22450607_2	NC_086018.1	22450607	22454159	2	-	1	0.585
GWFAM258	RC_NC_073248.2_34924334_4	NC_073248.2	34924334	34933895	4	-	1	0.575
GWFAM29	RC_NC_073232.2_8543409_5	NC_073232.2	8543409	8602429	5	-	1	0.573
GWFAM51	RC_NC_073229.2_101751931_5	NC_073229.2	101751931	102110131	5	+	1	0.572
GWFAM70	RC_NC_073228.2_145017788_2	NC_073228.2	145017788	145090673	2	+	1	0.572
GWFAM81	RC_NC_073243.2_82538877_34	NC_073243.2	82538877	82620107	34	-	2	0.572
GWFAM116	RC_NC_073237.2_83710426_2	NC_073237.2	83710426	83737289	2	+	1	0.565
GWFAM70	RC_NC_073228.2_145017765_2	NC_073228.2	145017765	145026656	2	+	1	0.561
GWFAM228	RC_NC_073244.2_65102393_6	NC_073244.2	65102393	65129044	6	-	2	0.558
GWFAM45	RC_NC_073246.2_2221697_9	NC_073246.2	2221697	2244380	9	-	2	0.558
GWFAM204	RC_NC_073247.2_61926477_2	NC_073247.2	61926477	61929222	2	+	1	0.557
GWFAM177	RC_NC_073240.2_22756290_9	NC_073240.2	22756290	22782361	9	-	1	0.557
GWFAM46	RC_NC_073236.2_140375596_5	NC_073236.2	140375596	140395259	5	-	1	0.555
GWFAM198	RC_NC_073240.2_33342512_4	NC_073240.2	33342512	33443668	4	-	2	0.554
GWFAM70	RC_NC_073228.2_144936249_3	NC_073228.2	144936249	144958886	3	-	1	0.549
GWFAM181	RC_NC_073238.2_33719493_19	NC_073238.2	33719493	33860787	19	-	1	0.539
GWFAM2	RC_NC_073224.2_6828643_12	NC_073224.2	6828643	6871060	12	+	2	0.537
GWFAM196	RC_NC_073242.2_18345274_5	NC_073242.2	18345274	18375142	5	-	1	0.536
GWFAM218	RC_NC_073242.2_99586847_5	NC_073242.2	99586847	99604325	5	-	2	0.536
GWFAM112	RC_NC_073234.2_15557611_7	NC_073234.2	15557611	15577461	7	-	1	0.519
GWFAM204	RC_NC_073247.2_61926424_2	NC_073247.2	61926424	61929232	2	+	1	0.517
GWFAM181	RC_NC_073240.2_20803101_20	NC_073240.2	20803101	20944382	20	+	1	0.516
GWFAM204	RC_NC_073247.2_61926466_3	NC_073247.2	61926466	61929233	3	+	1	0.511
GWFAM177	RC_NC_073235.2_32815101_7	NC_073235.2	32815101	32834840	7	+	2	0.511
GWFAM207	RC_NC_073242.2_31459967_2	NC_073242.2	31459967	31462078	2	+	1	0.511
GWFAM45	RC_NC_086018.1_1761058_8	NC_086018.1	1761058	1783695	8	-	1	0.51
GWFAM17	RC_NC_073224.2_116762067_33	NC_073224.2	116762067	116847210	33	+	2	0.507
GWFAM37	RC_NC_073233.2_6761460_5	NC_073233.2	6761460	6766910	5	+	1	0.504
GWFAM57	RC_NC_073228.2_54840929_3	NC_073228.2	54840929	54844078	3	+	1	0.497
GWFAM70	RC_NC_073228.2_145044143_2	NC_073228.2	145044143	145061719	2	+	1	0.493
GWFAM112	RC_NC_073229.2_17637917_23	NC_073229.2	17637917	17699157	23	-	1	0.484
GWFAM70	RC_NC_073228.2_145017787_2	NC_073228.2	145017787	145021629	2	+	1	0.48
GWFAM119	RC_NC_073235.2_31241428_3	NC_073235.2	31241428	31261198	3	+	1	0.471
GWFAM178	RC_NC_073224.2_130406504_2	NC_073224.2	130406504	130413539	2	-	1	0.469
GWFAM70	RC_NC_073228.2_145013271_2	NC_073228.2	145013271	145021287	2	+	1	0.469
GWFAM131	RC_NC_073242.2_8687977_13	NC_073242.2	8687977	8738776	13	+	1	0.469
GWFAM157	RC_NC_073237.2_29407940_14	NC_073237.2	29407940	29524374	14	-	2	0.467
GWFAM207	RC_NC_073240.2_23569014_3	NC_073240.2	23569014	23575436	3	+	1	0.467
GWFAM214	RC_NC_073228.2_78905168_3	NC_073228.2	78905168	78988182	3	+	1	0.462
GWFAM4	RC_NC_073224.2_15783750_27	NC_073224.2	15783750	15912704	27	+	2	0.461
GWFAM4	RC_NC_073224.2_19016645_26	NC_073224.2	19016645	19035384	26	-	2	0.46
GWFAM151	RC_NC_073247.2_165421958_7	NC_073247.2	165421958	165430296	7	+	2	0.46
GWFAM70	RC_NC_073228.2_145161651_4	NC_073228.2	145161651	145343540	4	+	2	0.46
GWFAM112	RC_NC_073234.2_15550699_6	NC_073234.2	15550699	15619353	6	-	1	0.459
GWFAM4	RC_NC_073224.2_19125424_25	NC_073224.2	19125424	19144169	25	-	2	0.456
GWFAM251	RC_NC_073247.2_161280183_7	NC_073247.2	161280183	161346580	7	+	1	0.456
GWFAM111	RC_NC_073231.2_123394302_8	NC_073231.2	123394302	123502565	8	+	1	0.456
GWFAM141	RC_NC_073231.2_11433504_3	NC_073231.2	11433504	11530443	3	+	1	0.454
GWFAM178	RC_NC_073224.2_7484733_2	NC_073224.2	7484733	7495653	2	-	1	0.451
GWFAM4	RC_NC_073224.2_19333680_25	NC_073224.2	19333680	19352414	25	-	2	0.451
GWFAM217	RC_NC_073242.2_104149289_2	NC_073242.2	104149289	104161993	2	-	2	0.448
GWFAM112	RC_NC_073232.2_8357967_22	NC_073232.2	8357967	8424641	22	-	1	0.439
GWFAM119	RC_NC_073231.2_11468234_7	NC_073231.2	11468234	11581508	7	-	1	0.439
GWFAM17	RC_NC_073224.2_116445556_24	NC_073224.2	116445556	116494186	24	-	1	0.437
GWFAM20	RC_NC_086018.1_22192663_5	NC_086018.1	22192663	22199144	5	+	1	0.437
GWFAM204	RC_NC_073247.2_61926418_2	NC_073247.2	61926418	61929233	2	+	2	0.436
GWFAM13	RC_NC_073224.2_124294237_2	NC_073224.2	124294237	124327223	2	-	1	0.433
GWFAM223	RC_NC_073244.2_18470484_5	NC_073244.2	18470484	18482313	5	-	2	0.427
GWFAM250	RC_NC_073247.2_161606110_2	NC_073247.2	161606110	161607844	2	+	2	0.426
GWFAM108	RC_NC_073244.2_26349281_2	NC_073244.2	26349281	26388431	2	+	1	0.422
GWFAM54	RC_NC_073228.2_45710800_16	NC_073228.2	45710800	45835254	16	-	2	0.421
GWFAM141	RC_NC_073244.2_27255543_2	NC_073244.2	27255543	27264100	2	-	1	0.419
GWFAM256	RC_NC_073248.2_16139854_6	NC_073248.2	16139854	16150658	6	-	2	0.417
GWFAM20	RC_NC_086018.1_22543424_5	NC_086018.1	22543424	22548520	5	-	1	0.414
GWFAM257	RC_NC_073248.2_19720060_7	NC_073248.2	19720060	19730897	7	-	1	0.414
GWFAM226	RC_NC_073244.2_55798295_6	NC_073244.2	55798295	55816898	6	-	2	0.413
GWFAM228	RC_NC_073244.2_64725697_2	NC_073244.2	64725697	64748641	2	-	1	0.41
GWFAM141	RC_NC_073244.2_27255543_2	NC_073244.2	27255543	27261166	2	-	2	0.407
GWFAM151	RC_NC_073240.2_14973196_4	NC_073240.2	14973196	14991239	4	-	1	0.407
GWFAM175	RC_NC_073244.2_11346787_3	NC_073244.2	11346787	11356811	3	-	2	0.405
GWFAM178	RC_NC_073247.2_86671006_2	NC_073247.2	86671006	86676811	2	-	1	0.404
GWFAM196	RC_NC_086018.1_19815929_5	NC_086018.1	19815929	19844944	5	-	2	0.404
GWFAM190	RC_NC_073239.2_122655960_5	NC_073239.2	122655960	122664134	5	-	1	0.401
GWFAM93	RC_NC_073230.2_86058507_10	NC_073230.2	86058507	86073989	10	-	1	0.399
GWFAM232	RC_NC_086018.1_6847657_2	NC_086018.1	6847657	6855316	2	-	2	0.399
GWFAM30	RC_NC_073227.2_12085129_3	NC_073227.2	12085129	12088324	3	-	1	0.399
GWFAM177	RC_NC_073238.2_29894114_13	NC_073238.2	29894114	29999929	13	+	1	0.397
GWFAM135	RC_NC_073242.2_28854512_44	NC_073242.2	28854512	28994977	44	-	2	0.396
GWFAM151	RC_NC_073238.2_24253465_4	NC_073238.2	24253465	24271572	4	+	2	0.395
GWFAM152	RC_NC_073236.2_30530564_12	NC_073236.2	30530564	30573698	12	-	1	0.394
GWFAM94	RC_NC_073230.2_42499096_21	NC_073230.2	42499096	42605394	21	-	2	0.392
GWFAM178	RC_NC_073224.2_130406472_3	NC_073224.2	130406472	130413554	3	-	2	0.39
GWFAM119	RC_NC_086017.1_136658654_3	NC_086017.1	136658654	136765705	3	-	1	0.387
GWFAM75	RC_NC_073228.2_182670663_7	NC_073228.2	182670663	182710309	7	-	2	0.385
GWFAM206	RC_NC_073242.2_15529031_4	NC_073242.2	15529031	15537239	4	+	1	0.384
GWFAM70	RC_NC_073228.2_144991180_2	NC_073228.2	144991180	144994470	2	+	1	0.383
GWFAM226	RC_NC_073244.2_55678293_9	NC_073244.2	55678293	55749198	9	+	2	0.381
GWFAM264	RC_NC_086018.1_23198876_4	NC_086018.1	23198876	23237388	4	+	2	0.381
GWFAM27	RC_NC_073244.2_55538453_6	NC_073244.2	55538453	55546206	6	+	1	0.378
GWFAM14	RC_NC_073224.2_115215258_27	NC_073224.2	115215258	115312510	27	-	2	0.376
GWFAM20	RC_NC_086018.1_21784276_5	NC_086018.1	21784276	21787893	5	-	1	0.375
GWFAM247	RC_NC_073247.2_114855132_19	NC_073247.2	114855132	114872713	19	-	2	0.373
GWFAM46	RC_NC_073229.2_195366946_4	NC_073229.2	195366946	195377940	4	-	1	0.372
GWFAM37	RC_NC_073233.2_6755666_5	NC_073233.2	6755666	6761011	5	+	1	0.372
GWFAM157	RC_NC_073236.2_32986584_3	NC_073236.2	32986584	33001242	3	+	1	0.371
GWFAM256	RC_NC_073248.2_15477439_11	NC_073248.2	15477439	15491519	11	+	1	0.371
GWFAM54	RC_NC_073232.2_36203617_2	NC_073232.2	36203617	36208911	2	-	2	0.367
GWFAM228	RC_NC_073244.2_64725692_5	NC_073244.2	64725692	64748643	5	-	2	0.366
GWFAM234	RC_NC_086018.1_6470440_3	NC_086018.1	6470440	6474148	3	-	1	0.366
GWFAM28	RC_NC_073224.2_223156800_4	NC_073224.2	223156800	223263942	4	+	1	0.365
GWFAM27	RC_NC_073244.2_55618658_3	NC_073244.2	55618658	55626352	3	-	1	0.364
GWFAM13	RC_NC_073224.2_115967066_22	NC_073224.2	115967066	115992204	22	-	1	0.362
GWFAM157	RC_NC_073237.2_31974417_11	NC_073237.2	31974417	32003754	11	-	1	0.361
GWFAM151	RC_NC_073236.2_21891736_5	NC_073236.2	21891736	21909822	5	-	1	0.36
GWFAM27	RC_NC_073244.2_55464842_7	NC_073244.2	55464842	55484577	7	+	2	0.36
GWFAM225	RC_NC_073244.2_49072477_2	NC_073244.2	49072477	49087151	2	-	1	0.359
GWFAM228	RC_NC_073244.2_64725697_4	NC_073244.2	64725697	64748695	4	-	1	0.359
GWFAM178	RC_NC_073235.2_15340403_3	NC_073235.2	15340403	15362855	3	-	1	0.357
GWFAM175	RC_NC_073238.2_8052123_6	NC_073238.2	8052123	8073787	6	+	2	0.357
GWFAM90	RC_NC_073229.2_195378099_4	NC_073229.2	195378099	195459332	4	+	2	0.355
GWFAM214	RC_NC_073228.2_78905256_2	NC_073228.2	78905256	78989114	2	+	1	0.354
GWFAM254	RC_NC_073247.2_163795456_8	NC_073247.2	163795456	163841431	8	+	1	0.35
GWFAM228	RC_NC_073244.2_64125568_2	NC_073244.2	64125568	64128025	2	-	1	0.348
GWFAM108	RC_NC_073244.2_26349249_3	NC_073244.2	26349249	26388893	3	+	2	0.347
GWFAM206	RC_NC_073244.2_21075545_24	NC_073244.2	21075545	21214496	24	-	1	0.345
GWFAM135	RC_NC_073244.2_20936541_43	NC_073244.2	20936541	21076512	43	-	2	0.343
GWFAM160	RC_NC_073236.2_33681520_7	NC_073236.2	33681520	33716967	7	+	1	0.342
GWFAM223	RC_NC_073244.2_18649752_3	NC_073244.2	18649752	18667614	3	+	2	0.342
GWFAM55	RC_NC_073231.2_148957309_2	NC_073231.2	148957309	148959492	2	+	1	0.342
GWFAM131	RC_NC_086017.1_167192400_2	NC_086017.1	167192400	167195991	2	+	2	0.342
GWFAM245	RC_NC_073247.2_84543508_2	NC_073247.2	84543508	84544284	2	-	2	0.339
GWFAM245	RC_NC_073247.2_84653284_2	NC_073247.2	84653284	84654020	2	+	1	0.339
GWFAM227	RC_NC_073244.2_64836608_6	NC_073244.2	64836608	64855277	6	-	2	0.338
GWFAM178	RC_NC_073239.2_78640220_3	NC_073239.2	78640220	78684031	3	-	1	0.336
GWFAM258	RC_NC_073248.2_34715039_4	NC_073248.2	34715039	34718498	4	-	1	0.336
GWFAM240	RC_NC_073247.2_59878462_7	NC_073247.2	59878462	59886458	7	-	1	0.335
GWFAM171	RC_NC_073232.2_69065894_7	NC_073232.2	69065894	69072457	7	+	1	0.335
GWFAM223	RC_NC_073244.2_17830169_4	NC_073244.2	17830169	17840968	4	+	1	0.335
GWFAM226	RC_NC_073244.2_55838164_3	NC_073244.2	55838164	55870327	3	-	2	0.33
GWFAM45	RC_NC_073238.2_22521827_8	NC_073238.2	22521827	22567589	8	-	1	0.33
GWFAM48	RC_NC_073227.2_211335762_4	NC_073227.2	211335762	211363184	4	+	1	0.328
GWFAM159	RC_NC_073237.2_29866039_3	NC_073237.2	29866039	29874403	3	-	1	0.327
GWFAM223	RC_NC_073244.2_17846635_5	NC_073244.2	17846635	17898966	5	+	2	0.326
GWFAM214	RC_NC_073228.2_78946150_2	NC_073228.2	78946150	78989250	2	+	2	0.325
GWFAM223	RC_NC_073244.2_18309414_3	NC_073244.2	18309414	18315054	3	-	2	0.324
GWFAM178	RC_NC_086017.1_131728755_2	NC_086017.1	131728755	131731805	2	-	1	0.324
GWFAM213	RC_NC_073242.2_67776039_2	NC_073242.2	67776039	67777987	2	+	1	0.324
GWFAM75	RC_NC_073228.2_181521331_7	NC_073228.2	181521331	181545341	7	+	2	0.323
GWFAM223	RC_NC_073244.2_17595090_4	NC_073244.2	17595090	17658051	4	+	2	0.322
GWFAM169	RC_NC_086018.1_21805663_2	NC_086018.1	21805663	21806957	2	-	1	0.32
GWFAM230	RC_NC_073244.2_68276443_2	NC_073244.2	68276443	68277669	2	-	1	0.319
GWFAM131	RC_NC_086017.1_167192400_2	NC_086017.1	167192400	167196406	2	+	2	0.319
GWFAM181	RC_NC_073233.2_72205127_6	NC_073233.2	72205127	72214659	6	+	2	0.317
GWFAM78	RC_NC_073236.2_93156519_5	NC_073236.2	93156519	93196562	5	-	2	0.314
GWFAM141	RC_NC_073231.2_11433471_2	NC_073231.2	11433471	11532753	2	+	1	0.313
GWFAM178	RC_NC_073242.2_88791184_7	NC_073242.2	88791184	88865546	7	-	1	0.313
GWFAM58	RC_NC_073228.2_53944864_2	NC_073228.2	53944864	53946503	2	+	1	0.309
GWFAM30	RC_NC_073236.2_22545417_3	NC_073236.2	22545417	22551644	3	-	1	0.308
GWFAM78	RC_NC_073235.2_31737950_3	NC_073235.2	31737950	31743288	3	+	1	0.308
GWFAM214	RC_NC_073228.2_78986196_2	NC_073228.2	78986196	78998090	2	-	1	0.307
GWFAM137	RC_NC_073229.2_49886705_3	NC_073229.2	49886705	49909483	3	+	1	0.304
GWFAM225	RC_NC_073244.2_49059466_2	NC_073244.2	49059466	49124369	2	+	1	0.304
GWFAM228	RC_NC_073244.2_64426406_6	NC_073244.2	64426406	64489900	6	+	2	0.301
GWFAM262	RC_NC_086018.1_22243958_2	NC_086018.1	22243958	22255276	2	-	2	0.301
GWFAM178	RC_NC_073247.2_62023001_2	NC_073247.2	62023001	62043224	2	+	1	0.295
GWFAM85	RC_NC_073229.2_50380202_4	NC_073229.2	50380202	50387423	4	-	2	0.293
GWFAM253	RC_NC_073247.2_164460855_2	NC_073247.2	164460855	164465966	2	-	1	0.291
GWFAM157	RC_NC_073248.2_34004241_8	NC_073248.2	34004241	34048183	8	-	1	0.29
GWFAM159	RC_NC_073237.2_29865830_2	NC_073237.2	29865830	29871706	2	-	2	0.289
GWFAM214	RC_NC_073228.2_78946124_3	NC_073228.2	78946124	78989109	3	+	2	0.289
GWFAM223	RC_NC_073244.2_17751587_5	NC_073244.2	17751587	17769625	5	-	1	0.286
GWFAM223	RC_NC_073244.2_17751586_4	NC_073244.2	17751586	17769647	4	-	2	0.286
GWFAM228	RC_NC_073244.2_64908464_4	NC_073244.2	64908464	64921938	4	-	2	0.285
GWFAM80	RC_NC_073229.2_44428242_5	NC_073229.2	44428242	44438128	5	-	1	0.284
GWFAM151	RC_NC_073238.2_21932985_3	NC_073238.2	21932985	21987834	3	-	2	0.284
GWFAM151	RC_NC_073227.2_17184827_4	NC_073227.2	17184827	17197527	4	+	2	0.284
