tier	chrom	start	end	n_isoforms	n_fsm	n_psv	n_coseg	n_copies	frac_sec	frac_mq0	n_aln	minor_frac
B_dense2copy	NC_073245.2	28784638	28792549	1	0	17	17	2	0.000	0.000	29	0.464
B_dense2copy	NC_073227.2	32770941	32776840	1	0	17	16	2	0.000	0.000	16	0.444
B_dense2copy	NC_073229.2	120702827	120759213	2	0	25	16	2	0.000	0.000	439	0.474
B_dense2copy	NC_086017.1	124836957	124961666	3	1	24	16	2	0.005	0.000	559	0.310
B_dense2copy	NC_086018.1	23786790	24083588	6	0	38	16	2	0.000	0.000	44	0.250
B_dense2copy	NC_073233.2	69981141	70012019	1	1	20	15	2	0.017	0.000	59	0.455
B_dense2copy	NC_073238.2	38472877	38621632	7	0	23	15	2	0.006	0.000	321	0.292
B_dense2copy	NC_073240.2	28794170	28868715	1	0	15	15	2	0.000	0.000	14	0.231
B_dense2copy	NC_073243.2	68893029	69022697	2	0	16	15	2	0.000	0.000	24	0.364
B_dense2copy	NC_073244.2	51780502	51808434	1	0	32	15	2	0.032	0.000	30	0.417
B_dense2copy	NC_086017.1	14594961	14665814	2	0	17	15	2	0.000	0.000	295	0.476
B_dense2copy	NC_086017.1	167965209	168188780	1	1	16	15	2	0.000	0.000	21	0.462
B_dense2copy	NC_086018.1	19906924	19936476	1	0	18	15	2	0.000	0.000	29	0.273
B_dense2copy	NC_073229.2	167885175	167974147	1	0	20	14	2	0.000	0.000	527	0.387
B_dense2copy	NC_073231.2	67530407	67556398	1	0	19	14	2	0.000	0.000	65	0.286
B_dense2copy	NC_073237.2	80725371	80817233	3	0	14	14	2	0.000	0.000	7	0.429
B_dense2copy	NC_073237.2	110958630	110992972	1	1	19	14	2	0.011	0.000	87	0.421
B_dense2copy	NC_073240.2	92439263	92508356	1	0	19	14	2	0.000	0.000	86	0.250
B_dense2copy	NC_073243.2	112027788	112074023	3	0	25	14	2	0.000	0.000	247	0.300
B_dense2copy	NC_073244.2	65283626	65292755	1	0	30	14	2	0.006	0.000	172	0.400
B_dense2copy	NC_073246.2	48214083	48358506	13	0	37	14	2	0.000	0.000	139	0.500
B_dense2copy	NC_073227.2	97192814	97287791	2	1	20	13	2	0.003	0.000	308	0.286
B_dense2copy	NC_073229.2	53101652	53185034	1	0	15	13	2	0.000	0.000	93	0.429
B_dense2copy	NC_073229.2	91952746	91985514	1	0	13	13	2	0.000	0.000	14	0.500
B_dense2copy	NC_073234.2	90597596	90648259	3	0	14	13	2	0.000	0.000	33	0.312
B_dense2copy	NC_073237.2	96675276	96901049	2	0	23	13	2	0.000	0.000	40	0.208
B_dense2copy	NC_073240.2	26952937	27046799	1	0	14	13	2	0.000	0.000	11	0.455
B_dense2copy	NC_073242.2	4907880	4913628	3	0	15	13	2	0.000	0.000	30	0.308
B_dense2copy	NC_073244.2	40366258	40379975	1	0	15	13	2	0.000	0.000	261	0.027
B_dense2copy	NC_073224.2	85382767	85427754	1	0	14	12	2	0.053	0.000	18	0.455
B_dense2copy	NC_073224.2	96972113	96998951	1	0	12	12	2	0.000	0.000	22	0.400
B_dense2copy	NC_073228.2	182334734	182459372	1	0	13	12	2	0.000	0.000	105	0.488
B_dense2copy	NC_073235.2	117682749	117686781	1	0	12	12	2	0.000	0.000	7	0.429
B_dense2copy	NC_073236.2	55245039	55367491	1	0	14	12	2	0.000	0.000	23	0.375
B_dense2copy	NC_073236.2	136302603	136323661	1	0	14	12	2	0.027	0.000	36	0.357
B_dense2copy	NC_073239.2	93013472	93064828	1	0	30	12	2	0.000	0.000	27	0.500
B_dense2copy	NC_073240.2	29884298	30427864	18	1	35	12	2	0.000	0.000	31	0.250
B_dense2copy	NC_073240.2	83677653	83699819	1	0	12	12	2	0.000	0.000	20	0.438
B_dense2copy	NC_073242.2	118815569	118818419	1	0	16	12	2	0.000	0.000	26	0.364
B_dense2copy	NC_073244.2	60300666	60317761	2	0	12	12	2	0.000	0.000	55	0.291
B_dense2copy	NC_073245.2	13635872	13656266	1	0	17	12	2	0.000	0.000	134	0.105
B_dense2copy	NC_073246.2	40864797	40919382	1	0	12	12	2	0.000	0.000	12	0.455
B_dense2copy	NC_073246.2	44105087	44186544	1	0	30	12	2	0.000	0.000	203	0.500
B_dense2copy	NC_086017.1	206135851	206259094	1	0	12	12	2	0.000	0.000	84	0.458
B_dense2copy	NC_073227.2	109773450	109803889	1	0	11	11	2	0.026	0.000	37	0.417
B_dense2copy	NC_073227.2	119616083	119641265	2	1	23	11	2	0.002	0.000	550	0.300
B_dense2copy	NC_073227.2	167530234	167553948	1	0	11	11	2	0.000	0.000	9	0.333
B_dense2copy	NC_073228.2	12966565	12984872	5	3	17	11	2	0.000	0.000	573	0.417
B_dense2copy	NC_073228.2	184963792	184988032	1	0	12	11	2	0.000	0.000	48	0.364
B_dense2copy	NC_073229.2	194804284	194822412	2	0	15	11	2	0.000	0.000	60	0.421
B_dense2copy	NC_073233.2	36765046	36942536	4	0	13	11	2	0.000	0.000	7	0.429
B_dense2copy	NC_073234.2	53519688	53617904	6	0	22	11	2	0.000	0.000	844	0.455
B_dense2copy	NC_073234.2	144269343	144467319	2	0	14	11	2	0.000	0.000	15	0.286
B_dense2copy	NC_073235.2	135756882	135915648	1	0	12	11	2	0.000	0.000	19	0.389
B_dense2copy	NC_073235.2	142705596	142708798	1	0	11	11	2	0.000	0.000	12	0.417
B_dense2copy	NC_073237.2	93897328	94014855	8	4	40	11	2	0.000	0.000	265	0.333
B_dense2copy	NC_073237.2	109761707	109780751	2	0	14	11	2	0.000	0.000	52	0.444
B_dense2copy	NC_073240.2	25290231	25321756	1	0	25	11	2	0.018	0.000	108	0.432
B_dense2copy	NC_073242.2	77311119	77420662	1	0	14	11	2	0.001	0.000	1010	0.500
B_dense2copy	NC_073243.2	79144858	79419195	1	0	22	11	2	0.000	0.000	25	0.250
B_dense2copy	NC_073244.2	6458750	6461262	3	0	12	11	2	0.000	0.000	124	0.432
B_dense2copy	NC_073244.2	70076193	70126299	3	1	20	11	2	0.000	0.000	434	0.409
B_dense2copy	NC_073246.2	30485471	30793069	1	1	19	11	2	0.000	0.000	11	0.429
B_dense2copy	NC_073246.2	46163406	46174519	4	0	24	11	2	0.000	0.000	82	0.375
B_dense2copy	NC_073224.2	48907971	49025886	35	1	33	10	2	0.000	0.000	760	0.429
B_dense2copy	NC_073224.2	51070811	51093425	1	0	16	10	2	0.000	0.000	121	0.500
B_dense2copy	NC_073224.2	51295423	51355785	1	0	11	10	2	0.000	0.000	36	0.300
B_dense2copy	NC_073224.2	120096816	120237508	2	0	16	10	2	0.000	0.000	54	0.457
B_dense2copy	NC_073227.2	55478691	55606277	3	0	15	10	2	0.000	0.000	155	0.493
B_dense2copy	NC_073227.2	56356745	56432392	1	0	19	10	2	0.000	0.000	21	0.444
B_dense2copy	NC_073229.2	184668659	184689039	1	0	10	10	2	0.019	0.000	52	0.288
B_dense2copy	NC_073232.2	107574142	107824051	1	0	12	10	2	0.000	0.000	133	0.450
B_dense2copy	NC_073234.2	25847503	25853762	1	0	10	10	2	0.000	0.000	6	0.500
B_dense2copy	NC_073235.2	135227603	135240495	1	0	10	10	2	0.000	0.000	6	0.500
B_dense2copy	NC_073237.2	92627654	92652004	1	0	10	10	2	0.000	0.000	8	0.375
B_dense2copy	NC_073242.2	111754494	111807054	1	0	11	10	2	0.000	0.000	17	0.438
B_dense2copy	NC_073246.2	17726551	17871905	4	0	14	10	2	0.000	0.000	16	0.400
B_dense2copy	NC_073246.2	18182220	18611650	6	0	33	10	2	0.000	0.000	72	0.162
B_dense2copy	NC_073224.2	132510324	132668925	1	0	9	9	2	0.000	0.000	11	0.455
B_dense2copy	NC_073224.2	183153410	183230585	1	0	10	9	2	0.000	0.000	24	0.458
B_dense2copy	NC_073228.2	9822280	9843247	1	0	9	9	2	0.000	0.000	50	0.389
B_dense2copy	NC_073228.2	58025856	58079916	3	1	17	9	2	0.000	0.000	129	0.378
B_dense2copy	NC_073229.2	46057357	46072134	1	0	41	9	2	0.000	0.000	92	0.103
B_dense2copy	NC_073229.2	49629886	49644909	2	0	26	9	2	0.097	0.000	84	0.160
B_dense2copy	NC_073230.2	15083720	15321391	4	1	11	9	2	0.000	0.000	193	0.494
B_dense2copy	NC_073230.2	64880455	64946173	2	0	30	9	2	0.034	0.000	56	0.400
B_dense2copy	NC_073233.2	38570546	38616572	2	0	9	9	2	0.000	0.000	12	0.250
B_dense2copy	NC_073233.2	102085036	102091754	1	0	23	9	2	0.000	0.000	605	0.185
B_dense2copy	NC_073234.2	44474714	44493535	1	0	9	9	2	0.000	0.000	12	0.250
B_dense2copy	NC_073234.2	50306197	50353549	7	2	17	9	2	0.002	0.000	910	0.455
B_dense2copy	NC_073235.2	82416677	82472890	1	0	14	9	2	0.000	0.000	35	0.500
B_dense2copy	NC_073237.2	103533208	103577428	1	0	12	9	2	0.006	0.000	153	0.333
B_dense2copy	NC_073237.2	129839298	129850362	3	0	12	9	2	0.000	0.000	105	0.500
B_dense2copy	NC_073238.2	125378591	125460575	3	0	24	9	2	0.010	0.000	100	0.455
B_dense2copy	NC_073240.2	34573431	34703186	2	0	15	9	2	0.000	0.000	46	0.375
B_dense2copy	NC_073242.2	6946908	6968035	11	3	18	9	2	0.001	0.000	693	0.385
B_dense2copy	NC_073242.2	13855817	13882969	1	0	10	9	2	0.000	0.000	30	0.286
B_dense2copy	NC_073242.2	87815728	87838385	1	0	10	9	2	0.009	0.000	107	0.321
B_dense2copy	NC_073242.2	114980839	115007739	1	0	27	9	2	0.000	0.000	304	0.207
B_dense2copy	NC_073243.2	18970754	18990540	1	0	9	9	2	0.000	0.000	167	0.478
B_dense2copy	NC_073243.2	34193958	34253898	1	0	11	9	2	0.000	0.000	437	0.480
B_dense2copy	NC_073244.2	17876786	17897809	1	0	11	9	2	0.014	0.000	73	0.412
B_dense2copy	NC_073244.2	48352999	48377365	3	1	10	9	2	0.000	0.000	92	0.088
B_dense2copy	NC_073244.2	61577415	61600962	2	0	10	9	2	0.000	0.000	52	0.389
B_dense2copy	NC_073244.2	68548765	68634705	7	0	30	9	2	0.013	0.000	224	0.067
B_dense2copy	NC_086017.1	137788961	137836380	1	0	19	9	2	0.000	0.000	224	0.312
B_dense2copy	NC_073224.2	120359015	120470750	2	0	12	8	2	0.000	0.000	44	0.500
B_dense2copy	NC_073224.2	146368406	146474580	2	0	30	8	2	0.045	0.000	21	0.500
B_dense2copy	NC_073224.2	174917625	174940811	1	0	8	8	2	0.000	0.000	15	0.400
B_dense2copy	NC_073227.2	127998728	128105323	1	0	13	8	2	0.004	0.000	557	0.435
B_dense2copy	NC_073228.2	33837542	33852187	2	0	14	8	2	0.004	0.000	263	0.500
B_dense2copy	NC_073228.2	94601465	94642830	3	0	13	8	2	0.016	0.000	60	0.088
B_dense2copy	NC_073228.2	166715429	166746020	1	0	8	8	2	0.000	0.000	14	0.462
B_dense2copy	NC_073228.2	180865936	180876998	1	0	8	8	2	0.000	0.000	48	0.468
B_dense2copy	NC_073229.2	56639363	56705231	1	0	9	8	2	0.000	0.000	11	0.333
B_dense2copy	NC_073229.2	62631493	62984821	2	1	14	8	2	0.000	0.000	103	0.500
B_dense2copy	NC_073229.2	133017530	133171794	7	1	14	8	2	0.000	0.000	88	0.333
B_dense2copy	NC_073230.2	11405393	11473649	1	0	8	8	2	0.000	0.000	6	0.500
B_dense2copy	NC_073230.2	44313870	44905857	4	2	16	8	2	0.000	0.000	12	0.333
B_dense2copy	NC_073230.2	139568187	139746841	2	0	12	8	2	0.000	0.000	661	0.500
B_dense2copy	NC_073230.2	151227443	151271665	1	0	8	8	2	0.000	0.000	10	0.400
B_dense2copy	NC_073231.2	10758492	11092986	10	1	42	8	2	0.000	0.000	112	0.429
B_dense2copy	NC_073231.2	60115251	60210712	1	0	19	8	2	0.000	0.000	103	0.073
B_dense2copy	NC_073232.2	16784294	16804015	1	0	9	8	2	0.000	0.000	52	0.476
B_dense2copy	NC_073232.2	72767474	72897856	6	0	17	8	2	0.000	0.000	69	0.455
B_dense2copy	NC_073232.2	103094824	103177578	1	0	8	8	2	0.000	0.000	15	0.267
B_dense2copy	NC_073233.2	68192784	68212503	1	0	9	8	2	0.000	0.000	42	0.294
B_dense2copy	NC_073234.2	86426169	86683395	2	1	12	8	2	0.077	0.000	24	0.300
B_dense2copy	NC_073235.2	28846352	28857033	1	0	11	8	2	0.000	0.000	118	0.312
B_dense2copy	NC_073235.2	140266234	140283101	1	0	13	8	2	0.000	0.000	31	0.400
B_dense2copy	NC_073236.2	32340381	32376688	1	0	12	8	2	0.060	0.000	252	0.455
B_dense2copy	NC_073236.2	51993738	52056096	2	0	13	8	2	0.000	0.000	9	0.444
B_dense2copy	NC_073236.2	111578932	112026624	4	0	8	8	2	0.000	0.000	10	0.375
B_dense2copy	NC_073236.2	113673650	113734209	2	0	18	8	2	0.000	0.000	27	0.286
B_dense2copy	NC_073236.2	139237224	139250375	1	0	15	8	2	0.000	0.000	186	0.421
B_dense2copy	NC_073238.2	37888899	37985671	1	0	16	8	2	0.000	0.000	322	0.500
B_dense2copy	NC_073238.2	98635871	98850693	2	0	12	8	2	0.000	0.000	13	0.364
B_dense2copy	NC_073238.2	113068457	113165950	3	0	14	8	2	0.000	0.000	32	0.400
B_dense2copy	NC_073239.2	17266114	17350488	1	0	16	8	2	0.000	0.000	624	0.500
B_dense2copy	NC_073239.2	23810278	24208958	1	0	14	8	2	0.000	0.000	17	0.471
B_dense2copy	NC_073239.2	35789932	35797286	2	0	19	8	2	0.000	0.000	62	0.370
B_dense2copy	NC_073240.2	61189711	61358205	10	1	55	8	2	0.001	0.000	1513	0.500
B_dense2copy	NC_073240.2	64046184	64076998	1	0	15	8	2	0.000	0.000	185	0.412
B_dense2copy	NC_073241.2	39331865	39474480	1	0	8	8	2	0.000	0.000	10	0.500
B_dense2copy	NC_073241.2	106340074	106378737	1	0	17	8	2	0.000	0.000	39	0.263
B_dense2copy	NC_073242.2	86121330	86215528	4	0	14	8	2	0.000	0.000	21	0.381
B_dense2copy	NC_073244.2	17200046	17233713	4	4	19	8	2	0.000	0.000	551	0.286
B_dense2copy	NC_073244.2	48066693	48177203	4	0	24	8	2	0.000	0.000	135	0.375
B_dense2copy	NC_073244.2	70323047	70390987	5	0	28	8	2	0.004	0.000	239	0.222
B_dense2copy	NC_073244.2	70501782	70511572	1	1	8	8	2	0.011	0.000	94	0.462
B_dense2copy	NC_073245.2	23807820	23960502	3	1	9	8	2	0.000	0.000	11	0.429
B_dense2copy	NC_073245.2	64422518	64458075	1	0	13	8	2	0.029	0.000	66	0.333
B_dense2copy	NC_086017.1	14158964	14264769	1	0	9	8	2	0.000	0.000	477	0.484
B_dense2copy	NC_086017.1	120212578	120227496	5	1	11	8	2	0.016	0.000	242	0.444
C_multimap	NC_073230.2	168250586	168320310	7	1	67	54	2	0.212	0.000	41	0.400
C_multimap	NC_086017.1	207204440	207256998	5	0	143	40	2	0.670	0.000	143	0.207
C_multimap	NC_073242.2	21087707	21108952	1	0	30	30	2	0.500	0.000	10	0.375
C_multimap	NC_086018.1	21038858	21050572	1	0	31	23	2	0.143	0.000	24	0.500
C_multimap	NC_086017.1	9742245	9786689	2	0	20	20	2	0.353	0.000	11	0.364
C_multimap	NC_073237.2	24364858	24416391	3	0	25	17	2	0.814	0.000	35	0.267
C_multimap	NC_073236.2	46395027	46432511	2	0	19	15	2	0.126	0.000	167	0.364
C_multimap	NC_073224.2	125048459	125120736	6	0	64	14	2	0.807	0.026	155	0.238
C_multimap	NC_073232.2	32872814	33069978	1	0	14	13	2	0.488	0.000	21	0.421
C_multimap	NC_073238.2	124422141	124462736	1	0	17	13	2	0.378	0.000	28	0.286
C_multimap	NC_073224.2	115725452	115741493	1	0	12	12	2	0.674	0.000	14	0.231
C_multimap	NC_073231.2	151170130	151185371	2	0	13	12	2	0.862	0.037	27	0.286
C_multimap	NC_073237.2	84550138	84562077	1	0	12	12	2	0.480	0.000	13	0.500
C_multimap	NC_073239.2	123658164	123658700	1	0	16	11	2	0.814	0.000	21	0.188
C_multimap	NC_073224.2	117217113	117275592	1	0	31	10	2	0.514	0.000	410	0.500
C_multimap	NC_073240.2	4575876	4597574	1	0	10	9	2	0.906	0.059	17	0.455
C_multimap	NC_073234.2	24978857	24997330	4	1	54	8	2	0.239	0.000	51	0.385
C_multimap	NC_073238.2	41576560	41581829	1	0	10	8	2	0.303	0.000	23	0.250
C_multimap	NC_073245.2	63903508	64035485	1	0	8	8	2	0.111	0.000	8	0.375
C_multimap	NC_073224.2	115151524	115193872	2	0	39	7	2	0.167	0.000	180	0.216
C_multimap	NC_073224.2	125591890	125607768	2	0	28	7	2	0.759	0.000	167	0.189
C_multimap	NC_073228.2	81588229	81599810	2	0	10	7	2	0.240	0.000	79	0.303
C_multimap	NC_073230.2	166970841	167211183	1	0	34	7	2	0.180	0.000	50	0.458
C_multimap	NC_073234.2	15631093	15648516	1	0	26	7	2	0.692	0.000	68	0.145
C_multimap	NC_073236.2	50826041	50862170	1	0	7	7	2	0.100	0.000	9	0.500
C_multimap	NC_073240.2	23338058	23357170	1	0	8	7	2	0.101	0.000	285	0.455
C_multimap	NC_073243.2	110546119	110637586	4	0	10	7	2	0.244	0.000	31	0.375
C_multimap	NC_073244.2	48660604	48688625	3	0	29	7	2	0.673	0.000	178	0.417
C_multimap	NC_073228.2	23816487	23822348	1	0	8	6	2	0.105	0.000	17	0.500
C_multimap	NC_073228.2	27078549	27157112	1	0	8	6	2	0.600	0.000	26	0.333
C_multimap	NC_073229.2	87181908	87236563	2	0	55	6	2	0.158	0.000	48	0.462
C_multimap	NC_073230.2	85291725	85578660	4	0	17	6	2	0.627	0.000	22	0.235
C_multimap	NC_073230.2	149842794	150035398	2	0	7	6	2	0.125	0.000	7	0.429
C_multimap	NC_073232.2	65721327	65834903	13	0	8	6	2	0.635	0.000	327	0.273
C_multimap	NC_073240.2	31251882	31315028	4	0	19	6	2	0.633	0.000	66	0.476
C_multimap	NC_073242.2	68761374	68808081	3	0	7	6	2	0.519	0.077	13	0.462
C_multimap	NC_073244.2	51893889	51919850	1	0	14	6	2	0.500	0.000	9	0.333
C_multimap	NC_073224.2	125619889	125728537	1	0	17	5	2	0.682	0.000	130	0.109
C_multimap	NC_073227.2	12088185	12110719	1	0	12	5	2	0.487	0.000	580	0.500
C_multimap	NC_073227.2	16763730	16992929	2	0	5	5	2	0.200	0.000	8	0.429
C_multimap	NC_073228.2	54209479	54254352	1	0	5	5	2	0.719	0.000	9	0.333
C_multimap	NC_073230.2	13358688	13403622	1	1	7	5	2	0.721	0.000	12	0.333
C_multimap	NC_073230.2	85868070	85931035	1	0	5	5	2	0.667	0.000	7	0.429
C_multimap	NC_073232.2	28470545	28771854	1	0	7	5	2	0.417	0.000	7	0.429
C_multimap	NC_073234.2	23008348	23095029	1	0	9	5	2	0.828	0.000	21	0.438
C_multimap	NC_073235.2	47172832	47336102	3	0	5	5	2	0.167	0.000	10	0.400
C_multimap	NC_073236.2	35016924	35134773	9	0	22	5	2	0.722	0.000	62	0.462
C_multimap	NC_073236.2	35315538	35413504	2	0	14	5	2	0.426	0.000	35	0.357
C_multimap	NC_073237.2	29433928	29524375	1	0	44	5	2	0.697	0.000	69	0.500
C_multimap	NC_073240.2	23734805	23787276	2	0	8	5	2	0.520	0.000	85	0.406
C_multimap	NC_073243.2	86633682	86761199	3	0	10	5	2	0.669	0.000	46	0.333
C_multimap	NC_073247.2	10819597	10876837	2	0	9	5	2	0.191	0.000	161	0.453
C_multimap	NC_086017.1	9789316	9798554	5	0	15	5	2	0.428	0.000	234	0.333
C_multimap	NC_073224.2	5714405	5722216	1	1	4	4	2	0.856	0.154	13	0.400
C_multimap	NC_073224.2	19016646	19035461	4	0	9	4	2	0.877	0.000	61	0.429
C_multimap	NC_073224.2	82372370	82689607	5	0	8	4	2	0.134	0.000	142	0.438
C_multimap	NC_073224.2	130011264	130080187	14	0	41	4	2	0.579	0.000	362	0.476
C_multimap	NC_073224.2	202396397	202406930	2	0	6	4	2	0.417	0.000	70	0.120
C_multimap	NC_073228.2	179907998	179943178	2	0	6	4	2	0.730	0.000	44	0.333
C_multimap	NC_073228.2	182473893	182496031	2	0	10	4	2	0.439	0.000	23	0.455
C_multimap	NC_073229.2	88889367	88926373	1	1	4	4	2	0.400	0.000	6	0.500
C_multimap	NC_073230.2	22601612	22617023	1	0	4	4	2	0.200	0.000	12	0.300
C_multimap	NC_073230.2	64705323	64726910	1	0	4	4	2	0.904	0.077	13	0.417
C_multimap	NC_073232.2	68599432	68643652	5	0	32	4	2	0.417	0.045	176	0.240
C_multimap	NC_073233.2	102091755	102185084	1	0	17	4	2	0.613	0.000	60	0.353
C_multimap	NC_073234.2	73588910	73760675	2	0	5	4	2	0.171	0.000	34	0.400
C_multimap	NC_073236.2	33308531	33439563	1	0	5	4	2	0.132	0.000	46	0.413
C_multimap	NC_073236.2	47704776	47729529	1	0	6	4	2	0.770	0.009	225	0.429
C_multimap	NC_073237.2	17678383	17729192	6	0	10	4	2	0.445	0.000	96	0.429
C_multimap	NC_073238.2	33723053	33890785	4	0	4	4	2	0.385	0.000	8	0.375
C_multimap	NC_073238.2	36337942	36388079	1	0	6	4	2	0.273	0.000	16	0.333
C_multimap	NC_073238.2	106416817	106659525	1	0	7	4	2	0.136	0.000	273	0.333
C_multimap	NC_073239.2	118728939	118895697	3	0	6	4	2	0.154	0.000	11	0.273
C_multimap	NC_073240.2	24224494	24229391	1	0	9	4	2	0.471	0.000	46	0.375
C_multimap	NC_073242.2	21648842	21731788	7	0	8	4	2	0.641	0.000	93	0.333
C_multimap	NC_073242.2	28858921	28909650	1	0	7	4	2	0.844	0.000	69	0.267
C_multimap	NC_086017.1	135763696	135800520	1	0	4	4	2	0.200	0.000	8	0.375
C_multimap	NC_073224.2	115215231	115312561	5	0	52	3	2	0.913	0.000	65	0.300
C_multimap	NC_073224.2	223478281	223553675	7	0	6	3	2	0.513	0.060	182	0.295
C_multimap	NC_073228.2	181504749	181547565	4	0	53	3	2	0.417	0.058	137	0.333
C_multimap	NC_073229.2	49583449	49597695	3	0	10	3	2	0.504	0.008	121	0.214
C_multimap	NC_073229.2	86562762	86892978	5	0	6	3	2	0.169	0.000	59	0.390
C_multimap	NC_073230.2	22643993	22876109	1	0	9	3	2	0.164	0.000	56	0.138
C_multimap	NC_073230.2	58288245	58367913	1	0	3	3	2	0.125	0.000	7	0.429
C_multimap	NC_073230.2	86149239	86247761	7	0	17	3	2	0.183	0.036	443	0.467
C_multimap	NC_073232.2	8975314	8977966	1	0	3	3	2	0.424	0.000	19	0.412
C_multimap	NC_073232.2	42022505	42077206	1	0	4	3	2	0.902	0.000	13	0.500
C_multimap	NC_073232.2	127091607	127122820	1	0	4	3	2	0.522	0.000	11	0.444
C_multimap	NC_073234.2	68562840	68577171	1	0	6	3	2	0.135	0.000	45	0.462
C_multimap	NC_073236.2	30528023	30573698	2	0	4	3	2	0.737	0.000	10	0.500
C_multimap	NC_073236.2	32849926	32990856	2	0	45	3	2	0.521	0.000	157	0.375
C_multimap	NC_073236.2	46042693	46346091	6	0	16	3	2	0.103	0.000	52	0.357
C_multimap	NC_073237.2	83709378	83917746	2	0	12	3	2	0.762	0.000	105	0.333
C_multimap	NC_073237.2	84364247	84459516	3	0	4	3	2	0.234	0.000	317	0.469
C_multimap	NC_073238.2	8052084	8073788	1	0	9	3	2	0.410	0.000	69	0.429
C_multimap	NC_073238.2	24580294	24653974	11	6	10	3	2	0.526	0.000	237	0.060
C_multimap	NC_073238.2	33042647	33143753	2	0	3	3	2	0.273	0.000	8	0.375
C_multimap	NC_073238.2	33411335	33511623	1	0	3	3	2	0.662	0.148	27	0.423
C_multimap	NC_073238.2	54832838	54922584	1	0	8	3	2	0.629	0.000	88	0.462
C_multimap	NC_073238.2	59673456	59776894	3	0	7	3	2	0.817	0.000	34	0.500
C_multimap	NC_073239.2	35396929	35467188	6	1	38	3	2	0.778	0.000	335	0.250
C_multimap	NC_073239.2	80754657	81046604	5	0	4	3	2	0.200	0.000	8	0.375
C_multimap	NC_073240.2	21546660	21601802	1	0	4	3	2	0.481	0.000	28	0.385
C_multimap	NC_073240.2	29816278	29859907	4	0	11	3	2	0.287	0.000	144	0.211
