dn	n_kmers	km_median	km_mean	km_p90	km_frac_ge_100
DN_NC_073224.2_130416112_8	1354	0.0000	1.1965	2.0000	0.0015
DN_NC_073224.2_130449319_18	4154	0.0000	0.4807	1.0000	0.0000
DN_NC_073224.2_130486250_9	6394	1.0000	603.0020	1.0000	0.0145
DN_NC_073224.2_130686217_20	6993	0.0000	0.8155	1.0000	0.0004
DN_NC_073224.2_136262916_11	2171	0.0000	3.6988	3.0000	0.0134
DN_NC_073224.2_13812644_2	2583	1.0000	482.9520	577.2000	0.1343
DN_NC_073224.2_13850922_2	3433	0.0000	0.5063	1.0000	0.0000
DN_NC_073224.2_14366670_16	2422	0.0000	1321.6086	1.0000	0.0380
DN_NC_073224.2_14727985_2	3480	1.0000	1.1759	3.0000	0.0011
DN_NC_073224.2_147572773_13	5101	0.0000	82.4897	2.0000	0.0418
DN_NC_073224.2_147663563_19	3709	0.0000	0.4767	1.0000	0.0000
DN_NC_073224.2_147715668_5	2088	0.0000	340.5876	1.0000	0.0230
DN_NC_073224.2_150567709_6	2809	0.0000	0.6504	2.0000	0.0000
DN_NC_073224.2_150600792_11	2996	0.0000	944.8895	1.0000	0.0357
DN_NC_073224.2_150712594_12	8232	1.0000	108.5595	2.0000	0.0463
DN_NC_073224.2_150787798_12	3964	0.0000	45.2899	3.0000	0.0325
DN_NC_073224.2_150835184_3	3528	0.0000	27.1063	5.0000	0.0609
DN_NC_073224.2_150859518_11	4406	1.0000	10.3936	1.0000	0.0211
DN_NC_073224.2_150903711_11	3957	1.0000	0.8284	2.0000	0.0000
DN_NC_073224.2_150948916_11	3366	1.0000	0.6946	2.0000	0.0000
DN_NC_073224.2_150982352_2	4894	0.0000	1.0723	4.0000	0.0000
DN_NC_073224.2_155484145_3	1767	1.0000	0.8840	2.0000	0.0000
DN_NC_073224.2_155489872_9	4809	0.0000	354.1146	1.0000	0.0227
DN_NC_073224.2_15670210_25	3328	0.0000	3.4847	9.0000	0.0000
DN_NC_073224.2_15783681_8	1454	0.0000	3.4147	9.0000	0.0000
DN_NC_073224.2_16928217_2	3376	1.0000	18.3824	4.5000	0.0924
DN_NC_073224.2_186733859_5	595	0.0000	0.5429	2.0000	0.0000
DN_NC_073224.2_19027212_8	1452	0.0000	3.8127	9.0000	0.0000
DN_NC_073224.2_19135994_8	1448	0.0000	3.9330	9.0000	0.0000
DN_NC_073224.2_19235747_8	1454	0.0000	3.6685	9.0000	0.0000
DN_NC_073224.2_19344252_8	1421	0.0000	3.7987	9.0000	0.0000
DN_NC_073224.2_194445089_11	3781	0.0000	0.4835	1.0000	0.0000
DN_NC_073224.2_194593658_8	3984	0.0000	0.4807	1.0000	0.0000
DN_NC_073224.2_196241058_22	4551	0.0000	7.4812	1.0000	0.0046
DN_NC_073224.2_196323176_17	4231	0.0000	2.0714	1.0000	0.0026
DN_NC_073224.2_197128142_3	3555	1.0000	174.8838	5.0000	0.0599
DN_NC_073224.2_199406700_5	2105	0.0000	0.6133	1.0000	0.0000
DN_NC_073224.2_199458269_6	2645	0.0000	0.6790	1.0000	0.0000
DN_NC_073224.2_199494304_6	2108	0.0000	0.9616	1.0000	0.0000
DN_NC_073224.2_200263910_4	4636	0.0000	0.5013	1.0000	0.0000
DN_NC_073224.2_206460331_8	4212	0.0000	0.5411	1.0000	0.0000
DN_NC_073224.2_207257149_3	2934	1.0000	240.3091	2.0000	0.0048
DN_NC_073224.2_207270226_12	5093	1.0000	548.7169	3.0000	0.0194
DN_NC_073224.2_207670698_13	1919	0.0000	0.4398	1.0000	0.0000
DN_NC_073224.2_208886621_22	4140	0.0000	6.4114	1.0000	0.0027
DN_NC_073224.2_210837399_19	5953	0.0000	521.1176	1.0000	0.0163
DN_NC_073224.2_211985035_3	2204	1.0000	0.6497	2.0000	0.0000
DN_NC_073224.2_213161178_3	4081	0.0000	3.1649	1.0000	0.0042
DN_NC_073224.2_213368965_21	3206	0.0000	0.4417	1.0000	0.0000
DN_NC_073224.2_213462039_6	5401	1.0000	215.3818	7.0000	0.0131
DN_NC_073224.2_214075309_3	4316	1.0000	352.5459	1.0000	0.0327
DN_NC_073224.2_214095871_7	3701	0.0000	410.7149	1.0000	0.0367
DN_NC_073224.2_214517378_2	1575	1.0000	572.9111	4.0000	0.0254
DN_NC_073224.2_216467757_3	5780	0.0000	435.3457	1.0000	0.0140
DN_NC_073224.2_216927976_16	4849	0.0000	0.4929	1.0000	0.0000
DN_NC_073224.2_218361248_19	4164	0.0000	4.0877	13.0000	0.0000
DN_NC_073224.2_218434129_23	4037	0.0000	4.3587	13.4000	0.0000
DN_NC_073224.2_219630924_4	2983	0.0000	112.8012	1.0000	0.0278
DN_NC_073224.2_220588830_7	1358	0.0000	0.7106	2.0000	0.0000
DN_NC_073224.2_220611411_7	2880	1.0000	40.4958	2.0000	0.0139
DN_NC_073224.2_223156764_8	2506	0.0000	5.2753	17.0000	0.0000
DN_NC_073224.2_223478295_8	3710	0.0000	646.7367	19.0000	0.0318
DN_NC_073224.2_228923130_6	2160	0.0000	1643.1912	1.0000	0.0593
DN_NC_073224.2_228936705_6	2930	1.0000	638.6860	2.0000	0.0532
DN_NC_073224.2_231736369_12	2366	0.0000	0.5579	1.0000	0.0000
DN_NC_073224.2_236757333_2	2496	1.0000	2287.4527	21.0000	0.0901
DN_NC_073224.2_239070568_18	3954	0.0000	0.4535	1.0000	0.0000
DN_NC_073224.2_239365488_12	3062	0.0000	0.5562	1.0000	0.0003
DN_NC_073224.2_239847758_15	2885	0.0000	0.4856	1.0000	0.0000
DN_NC_073224.2_25093112_7	3684	0.0000	14.8882	1.0000	0.0027
DN_NC_073224.2_26635584_9	2182	0.0000	1.4725	1.0000	0.0014
DN_NC_073224.2_27333739_3	3103	1.0000	6.1247	2.0000	0.0077
DN_NC_073224.2_29070818_24	3897	0.0000	3.5096	9.0000	0.0000
DN_NC_073224.2_38911600_25	4430	0.0000	0.4609	1.0000	0.0000
DN_NC_073224.2_38985857_7	1766	0.0000	0.4824	1.0000	0.0000
DN_NC_073224.2_40627195_4	3643	1.0000	4.7771	2.0000	0.0093
DN_NC_073224.2_45389129_11	4085	0.0000	288.4923	162.6000	0.1097
DN_NC_073224.2_46970626_9	4689	0.0000	117.7251	1.0000	0.0077
DN_NC_073224.2_47163026_13	2464	0.0000	0.4387	1.0000	0.0000
DN_NC_073224.2_50024137_10	2717	0.0000	22.1038	1.0000	0.0048
DN_NC_073224.2_51430719_7	3435	1.0000	482.3921	1.0000	0.0361
DN_NC_073224.2_53012398_21	5284	0.0000	0.4822	1.0000	0.0000
DN_NC_073224.2_53524414_11	2237	0.0000	0.4752	1.0000	0.0000
DN_NC_073224.2_53535059_3	3904	0.0000	0.5074	1.0000	0.0000
DN_NC_073224.2_53955814_27	8698	0.0000	0.5282	1.0000	0.0002
DN_NC_073224.2_5565564_3	4230	2.0000	640.6057	23.0000	0.0730
DN_NC_073224.2_5641112_4	3137	0.0000	0.5190	1.0000	0.0000
DN_NC_073224.2_5715398_2	3018	0.0000	6.7972	2.0000	0.0149
DN_NC_073224.2_58834163_5	3484	0.0000	250.3117	1.0000	0.0057
DN_NC_073224.2_6827773_11	3134	0.0000	106.9164	2.0000	0.0182
DN_NC_073224.2_77707994_7	2451	0.0000	712.4243	83.0000	0.0959
DN_NC_073224.2_8222533_5	4253	0.0000	1079.1070	3.0000	0.0409
DN_NC_073224.2_8261601_4	1644	1.0000	1.6162	2.0000	0.0012
DN_NC_073224.2_8329397_4	1679	0.0000	3023.3734	24.0000	0.0876
DN_NC_073224.2_8356715_4	5211	0.0000	189.0760	1.0000	0.0109
DN_NC_073224.2_8422960_4	3492	1.0000	17.8983	1.0000	0.0215
DN_NC_073224.2_84334480_20	2863	0.0000	0.4275	1.0000	0.0000
DN_NC_073224.2_85416146_10	2298	0.0000	0.4835	1.0000	0.0000
DN_NC_073224.2_85471368_7	2111	0.0000	0.4661	1.0000	0.0000
DN_NC_073224.2_90855831_7	4915	1.0000	7.1316	1.0000	0.0031
DN_NC_073224.2_91906991_7	6034	1.0000	0.9021	1.0000	0.0015
DN_NC_073224.2_95093869_7	2128	0.0000	2.4286	2.0000	0.0038
DN_NC_073224.2_95171181_7	2674	0.0000	509.7517	2.0000	0.0329
DN_NC_073224.2_9521619_7	2913	0.0000	148.1191	1.0000	0.0374
DN_NC_073224.2_95638704_6	3783	0.0000	2.0336	1.0000	0.0024
DN_NC_073224.2_95648579_7	2926	0.0000	2.4778	1.0000	0.0031
DN_NC_073224.2_95894630_7	1122	0.0000	0.8146	2.0000	0.0000
DN_NC_073224.2_95939283_8	1251	0.0000	0.7834	2.0000	0.0000
DN_NC_073224.2_96681549_23	5468	0.0000	636.4241	1.0000	0.0170
DN_NC_073224.2_98617594_3	3495	1.0000	163.2615	16.0000	0.0489
DN_NC_073227.2_103831874_13	2808	0.0000	0.5620	1.0000	0.0000
DN_NC_073227.2_107202270_4	1457	1.0000	1012.0453	2479.2000	0.1531
DN_NC_073227.2_107737271_8	2844	0.0000	120.5840	1.0000	0.0316
DN_NC_073227.2_108696648_23	3944	0.0000	0.5167	1.0000	0.0000
DN_NC_073227.2_108774177_23	5554	0.0000	201.4409	1.0000	0.0216
DN_NC_073227.2_109806788_5	2798	0.0000	35.3142	7.0000	0.0536
DN_NC_073227.2_119617950_9	4583	1.0000	749.3205	2.0000	0.0290
DN_NC_073227.2_119647764_9	3513	0.0000	0.6425	2.0000	0.0000
DN_NC_073227.2_120192697_7	4004	1.0000	225.9813	1.0000	0.0197
DN_NC_073227.2_12039502_7	2538	0.0000	2.1403	7.0000	0.0000
DN_NC_073227.2_12088225_8	4033	1.0000	8.5691	9.0000	0.0104
DN_NC_073227.2_123234622_13	1885	0.0000	1.4610	5.0000	0.0000
DN_NC_073227.2_13097386_9	2588	0.0000	0.4590	1.0000	0.0000
DN_NC_073227.2_133828574_18	5654	0.0000	1.3682	1.0000	0.0014
DN_NC_073227.2_138626266_4	4076	0.0000	30.8140	6.0000	0.0400
DN_NC_073227.2_139561252_10	3240	0.0000	1054.0481	4.0000	0.0349
DN_NC_073227.2_142943898_3	6324	0.0000	59.4295	1.0000	0.0127
DN_NC_073227.2_143010447_5	1520	0.0000	0.4875	1.0000	0.0000
DN_NC_073227.2_14699796_2	1604	0.0000	0.5206	1.0000	0.0000
DN_NC_073227.2_14766891_2	2431	1.0000	0.5952	1.0000	0.0000
DN_NC_073227.2_147946045_19	6099	0.0000	297.1699	1.0000	0.0162
DN_NC_073227.2_148229831_8	3368	0.0000	235.9418	54.0000	0.0784
DN_NC_073227.2_148253939_6	4091	0.0000	2.2471	3.0000	0.0027
DN_NC_073227.2_14847068_10	4293	0.0000	1.8074	1.0000	0.0014
DN_NC_073227.2_149041423_9	4438	0.0000	535.5014	1.0000	0.0252
DN_NC_073227.2_15519199_14	3062	0.0000	0.4690	1.0000	0.0000
DN_NC_073227.2_15589297_3	4845	0.0000	456.3579	1.0000	0.0223
DN_NC_073227.2_160095836_15	3439	0.0000	12.2460	1.0000	0.0032
DN_NC_073227.2_164298818_24	5597	0.0000	1167.8765	1.0000	0.0229
DN_NC_073227.2_166164041_5	3517	1.0000	1308.0023	38.4000	0.0930
DN_NC_073227.2_16860393_3	2566	1.0000	90.1871	232.5000	0.1383
DN_NC_073227.2_17184793_5	1270	0.0000	24.7685	7.0000	0.0071
DN_NC_073227.2_17445647_6	2384	1.0000	2.6854	9.0000	0.0000
DN_NC_073227.2_179688123_13	5353	1.0000	848.9753	1.0000	0.0284
DN_NC_073227.2_179727029_10	3777	0.0000	1203.1168	1.0000	0.0405
DN_NC_073227.2_185890924_3	4326	1.0000	1227.3687	3.0000	0.0386
DN_NC_073227.2_185943028_3	2110	1.0000	1.6152	1.0000	0.0024
DN_NC_073227.2_190603026_12	5868	0.0000	75.5855	1.0000	0.0070
DN_NC_073227.2_195911333_4	3152	0.0000	0.5251	1.0000	0.0000
DN_NC_073227.2_204398881_3	3545	0.0000	487.2556	13.6000	0.0702
DN_NC_073227.2_205610166_3	3398	1.0000	278.6486	1.0000	0.0527
DN_NC_073227.2_205644909_14	2232	0.0000	0.4615	1.0000	0.0000
DN_NC_073227.2_205687695_12	4634	0.0000	702.2460	1.0000	0.0319
DN_NC_073227.2_206378182_5	992	0.0000	0.4415	1.0000	0.0000
DN_NC_073227.2_206379213_12	4554	0.0000	689.9260	1.0000	0.0193
DN_NC_073227.2_208386894_3	3278	1.0000	19.7349	2.0000	0.0464
DN_NC_073227.2_210893336_9	1004	0.0000	3.7958	17.0000	0.0000
DN_NC_073227.2_211080863_4	4489	4.0000	4.8289	9.0000	0.0000
DN_NC_073227.2_211100517_2	2470	0.0000	64.0656	22.0000	0.0093
DN_NC_073227.2_211418821_2	1438	0.0000	2141.2879	141.9000	0.1182
DN_NC_073227.2_211898132_4	3612	1.0000	1865.9457	5.0000	0.0501
DN_NC_073227.2_212285016_9	2194	0.0000	1446.7890	8.0000	0.0469
DN_NC_073227.2_21866694_4	3426	0.0000	57.2151	18.0000	0.0610
DN_NC_073227.2_22580407_2	2776	1.0000	20.7331	1.0000	0.0231
DN_NC_073227.2_23212119_11	5664	0.0000	2.7249	1.0000	0.0016
DN_NC_073227.2_23893974_2	4242	0.0000	54.8555	2.0000	0.0085
DN_NC_073227.2_26000468_4	2983	1.0000	593.5796	5.8000	0.0781
DN_NC_073227.2_36265860_3	3248	0.0000	9.3682	1.0000	0.0212
DN_NC_073227.2_47476685_7	1104	1.0000	1.7880	6.0000	0.0000
DN_NC_073227.2_49278079_9	3754	0.0000	445.6247	2.0000	0.0538
DN_NC_073227.2_50003246_2	3973	1.0000	61.6748	1.0000	0.0098
DN_NC_073227.2_55859426_23	4435	0.0000	416.1353	1.0000	0.0474
DN_NC_073227.2_56356744_8	6189	0.0000	0.5382	1.0000	0.0000
DN_NC_073227.2_72845455_9	3976	0.0000	0.5113	1.0000	0.0000
DN_NC_073227.2_72905683_18	5408	0.0000	0.8497	1.0000	0.0007
DN_NC_073227.2_8155721_4	4502	1.0000	4.7550	9.0000	0.0000
DN_NC_073227.2_8633416_4	2573	1.0000	1294.3269	12.0000	0.0501
DN_NC_073227.2_8633418_2	2277	1.0000	1462.3188	16.0000	0.0567
DN_NC_073227.2_8705656_4	3871	1.0000	3.8719	2.0000	0.0080
DN_NC_073227.2_8792448_3	3162	1.0000	569.7356	25.0000	0.0623
DN_NC_073227.2_8907801_4	4765	1.0000	3.3398	2.0000	0.0067
DN_NC_073227.2_9009655_3	4287	0.0000	276.7457	3.0000	0.0289
DN_NC_073227.2_9009888_2	3872	0.0000	305.5460	3.0000	0.0307
DN_NC_073227.2_9010062_2	3632	0.0000	325.6952	3.0000	0.0328
DN_NC_073227.2_9231816_7	1394	0.0000	1386.8931	8.0000	0.0768
DN_NC_073227.2_9238554_4	2907	0.0000	1488.3966	1.0000	0.0643
DN_NC_073227.2_93560991_18	2608	0.0000	13.9456	1.0000	0.0238
DN_NC_073227.2_94411155_8	2329	0.0000	0.4951	1.0000	0.0000
DN_NC_073227.2_94499432_2	4056	0.0000	1605.8570	6818.5000	0.2751
DN_NC_073227.2_96191422_22	4935	0.0000	374.2578	2.0000	0.0193
DN_NC_073227.2_97044821_2	3653	1.0000	425.4161	5.0000	0.0413
DN_NC_073227.2_9789563_10	2377	0.0000	1.4085	1.0000	0.0034
DN_NC_073227.2_99578163_2	6588	1.0000	728.7294	1.0000	0.0153
DN_NC_073228.2_10057969_7	3059	0.0000	0.5031	1.0000	0.0000
DN_NC_073228.2_103031498_31	4923	0.0000	0.4804	1.0000	0.0000
DN_NC_073228.2_10434405_6	2213	0.0000	1.5386	5.0000	0.0000
DN_NC_073228.2_113136254_10	4918	1.0000	0.5919	1.0000	0.0000
DN_NC_073228.2_115483850_5	2814	1.0000	0.9964	2.0000	0.0000
DN_NC_073228.2_115545008_4	3398	1.0000	0.9467	3.0000	0.0000
DN_NC_073228.2_11820810_12	5551	0.0000	1046.5741	1.0000	0.0479
DN_NC_073228.2_13195036_13	3331	0.0000	1.7001	1.0000	0.0018
DN_NC_073228.2_13540554_8	3255	0.0000	696.6369	1.0000	0.0270
DN_NC_073228.2_136205303_10	3033	0.0000	0.5074	1.0000	0.0000
DN_NC_073228.2_136280772_10	3526	0.0000	4.4056	1.0000	0.0026
DN_NC_073228.2_138094944_7	5802	1.0000	388.3542	1.0000	0.0224
DN_NC_073228.2_138307166_3	1306	1.0000	1467.2198	91.5000	0.0957
DN_NC_073228.2_138430444_12	3219	0.0000	0.5017	1.0000	0.0000
DN_NC_073228.2_141706476_5	2927	0.0000	452.7482	69.0000	0.0871
DN_NC_073228.2_142333279_8	2194	0.0000	0.5387	1.0000	0.0000
DN_NC_073228.2_144488767_12	3072	0.0000	1664.6924	1.0000	0.0384
DN_NC_073228.2_144494736_3	698	0.0000	0.4656	1.0000	0.0000
DN_NC_073228.2_144514226_7	3942	0.0000	1352.0987	3.0000	0.0548
DN_NC_073228.2_144520267_4	1509	1.0000	1.0596	3.0000	0.0000
DN_NC_073228.2_144523376_13	2282	0.0000	0.4610	1.0000	0.0000
DN_NC_073228.2_144540580_13	2800	0.0000	0.4418	1.0000	0.0000
DN_NC_073228.2_144930567_2	3570	0.0000	1229.7686	9.0000	0.0249
DN_NC_073228.2_144930638_2	3905	0.0000	1124.3104	7.0000	0.0228
DN_NC_073228.2_144957130_2	2923	1.0000	1.7420	5.0000	0.0000
DN_NC_073228.2_144970572_2	4542	0.0000	898.6312	8.0000	0.0251
DN_NC_073228.2_145022553_2	2398	0.0000	681.9058	14.0000	0.0388
DN_NC_073228.2_145079893_2	2599	1.0000	1.9473	9.0000	0.0000
DN_NC_073228.2_145079904_2	6778	1.0000	1.1319	1.0000	0.0000
DN_NC_073228.2_145157318_2	5016	1.0000	0.7618	1.0000	0.0000
DN_NC_073228.2_145186024_2	4222	0.0000	0.5767	1.0000	0.0000
DN_NC_073228.2_151255605_14	5077	0.0000	0.4897	1.0000	0.0000
DN_NC_073228.2_154339565_7	2596	0.0000	0.5724	1.0000	0.0000
DN_NC_073228.2_154747841_5	4341	1.0000	0.7144	1.0000	0.0000
DN_NC_073228.2_154780892_3	4762	0.0000	333.2885	1.0000	0.0181
DN_NC_073228.2_15481792_19	3500	0.0000	0.4797	1.0000	0.0000
DN_NC_073228.2_155613898_3	2139	1.0000	2.3221	2.0000	0.0019
DN_NC_073228.2_156235200_4	2080	0.0000	38.9462	1.0000	0.0096
DN_NC_073228.2_157310163_16	5806	0.0000	0.4941	1.0000	0.0000
DN_NC_073228.2_161096696_31	4083	0.0000	0.4587	1.0000	0.0000
DN_NC_073228.2_161454333_5	6499	0.0000	107.7150	1.0000	0.0262
DN_NC_073228.2_16703728_6	1311	0.0000	0.5370	1.0000	0.0000
DN_NC_073228.2_16706128_5	3819	0.0000	521.1393	1.0000	0.0346
DN_NC_073228.2_16713346_17	3887	0.0000	0.6030	1.0000	0.0005
DN_NC_073228.2_174193084_4	3206	0.0000	1676.3500	5.0000	0.0802
DN_NC_073228.2_174681363_28	5013	0.0000	0.4486	1.0000	0.0000
DN_NC_073228.2_175667319_12	4557	1.0000	0.6643	2.0000	0.0000
DN_NC_073228.2_176576489_4	3994	0.0000	837.5966	1.0000	0.0255
DN_NC_073228.2_177718215_8	2157	0.0000	1.3500	1.0000	0.0019
DN_NC_073228.2_179795915_6	2498	1.0000	1.0705	2.0000	0.0000
DN_NC_073228.2_179980536_5	1179	0.0000	26.7863	7.0000	0.0458
DN_NC_073228.2_180865938_18	3093	0.0000	0.5066	1.0000	0.0000
DN_NC_073228.2_181756447_11	4343	0.0000	13.4492	1.0000	0.0081
DN_NC_073228.2_181772207_4	4302	0.0000	5.1499	1.0000	0.0016
DN_NC_073228.2_182227322_13	3125	0.0000	985.9040	1.0000	0.0362
DN_NC_073228.2_182334642_5	2544	0.0000	1.1863	2.0000	0.0012
DN_NC_073228.2_182473921_9	1625	0.0000	21.6486	3.0000	0.0043
DN_NC_073228.2_182513643_26	2550	0.0000	1203.4020	6.0000	0.0337
DN_NC_073228.2_182587557_24	2493	0.0000	1162.2162	7.0000	0.0353
DN_NC_073228.2_182638384_11	2765	0.0000	10.7819	3.0000	0.0025
DN_NC_073228.2_182778476_6	3060	1.0000	2.7046	2.0000	0.0039
DN_NC_073228.2_182827930_5	7411	0.0000	241.7054	1.0000	0.0073
DN_NC_073228.2_182864372_4	2455	1.0000	2.3153	1.0000	0.0033
DN_NC_073228.2_182909765_5	2557	1.0000	1765.6156	4.0000	0.0536
DN_NC_073228.2_182994030_5	3478	1.0000	567.8758	2.0000	0.0368
DN_NC_073228.2_183595646_14	2238	1.0000	9.6725	2.0000	0.0058
DN_NC_073228.2_183658467_2	620	0.0000	1.3532	5.0000	0.0000
DN_NC_073228.2_183798210_8	3328	0.0000	655.9916	1.0000	0.0081
DN_NC_073228.2_183812935_7	1276	0.0000	0.4608	1.0000	0.0000
DN_NC_073228.2_184836165_2	4046	0.0000	0.7368	1.0000	0.0000
DN_NC_073228.2_184836166_2	3910	0.0000	0.7463	1.0000	0.0000
DN_NC_073228.2_185199640_2	1064	1.0000	2155.0893	99.1000	0.1006
DN_NC_073228.2_18740149_2	2651	1.0000	0.5398	1.0000	0.0000
DN_NC_073228.2_18761647_14	5097	0.0000	0.4750	1.0000	0.0000
DN_NC_073228.2_18779384_3	2475	0.0000	0.4893	1.0000	0.0000
DN_NC_073228.2_18798859_2	4224	0.0000	842.8184	1.0000	0.0526
DN_NC_073228.2_22763468_38	5888	0.0000	0.5217	1.0000	0.0000
DN_NC_073228.2_22930246_39	6542	0.0000	115.3476	1.0000	0.0258
DN_NC_073228.2_23038330_39	5961	0.0000	0.4734	1.0000	0.0000
DN_NC_073228.2_23742950_7	5236	1.0000	0.8098	2.0000	0.0000
DN_NC_073228.2_27022347_6	2833	0.0000	0.6378	2.0000	0.0000
DN_NC_073228.2_27148471_4	3968	1.0000	416.9239	5.0000	0.0262
DN_NC_073228.2_27169290_8	4944	0.0000	238.6462	3.0000	0.0055
DN_NC_073228.2_28222257_21	5267	0.0000	1.7594	1.0000	0.0019
DN_NC_073228.2_28230327_9	2696	0.0000	0.5000	1.0000	0.0000
DN_NC_073228.2_28439701_5	5265	0.0000	711.4281	2.0000	0.0365
DN_NC_073228.2_29619142_9	3313	0.0000	2249.4606	114.4000	0.1020
DN_NC_073228.2_30586164_7	2835	0.0000	0.4660	1.0000	0.0000
DN_NC_073228.2_31824273_3	2714	0.0000	1.5829	5.0000	0.0000
DN_NC_073228.2_32366054_32	7164	0.0000	0.4700	1.0000	0.0000
DN_NC_073228.2_33351152_31	4700	0.0000	0.9996	4.0000	0.0000
DN_NC_073228.2_33351168_2	1537	1.0000	0.6936	1.0000	0.0000
DN_NC_073228.2_33518400_11	1345	0.0000	0.4595	1.0000	0.0000
DN_NC_073228.2_37084614_4	3676	0.0000	0.6069	2.0000	0.0000
DN_NC_073228.2_37089052_16	5172	0.0000	0.5315	1.0000	0.0000
DN_NC_073228.2_41229799_2	3283	1.0000	0.6790	1.0000	0.0006
DN_NC_073228.2_41871026_51	5949	0.0000	3.8178	1.0000	0.0034
DN_NC_073228.2_45686814_4	3027	1.0000	260.8091	7.0000	0.0036
DN_NC_073228.2_45710800_6	3226	0.0000	244.7471	6.0000	0.0034
DN_NC_073228.2_45948292_6	5585	1.0000	435.7656	6.0000	0.0283
DN_NC_073228.2_45974488_9	3141	0.0000	1.4435	3.0000	0.0000
