family_id	n_members	n_chroms	chroms	genes	status	n_psv	n_aligned_cols	ref_len	max_span	mean_member_len
57	12	7	NC_073227.2,NC_073230.2,NC_073236.2,NC_073238.2,NC_073240.2,NC_073246.2,NC_073248.2	LOC115932756,LOC115932954,LOC115933156,LOC129523503,LOC129523574,LOC129526389,LOC129530227,LOC134756368,LOC134756753,LRPAP1,XRCC2	inter_chromosomal_psv	454	767	6222	7678560	2925.4
58	2	1	NC_073227.2	BBS12	aligned_no_psv	0	3302	3302	44468	3302.0
59	2	1	NC_073227.2	FGF2,NUDT6	tandem_like_psv	381	989	6770	99055	3884.5
60	6	4	NC_073227.2,NC_073230.2,NC_073233.2,NC_073234.2	LOC101150644,LOC129533004	inter_chromosomal_psv	1067	1285	3976	63943553	4833.5
61	2	1	NC_073227.2	CRMP1,EVC	tandem_like_psv	1421	3283	14647	81024	8981.0
62	6	3	NC_073227.2,NC_073230.2,NC_073235.2	LOC101133249,LOC109026441,RAPH1	inter_chromosomal_psv	118	147	7925	30697945	3191.8
63	7	5	NC_073227.2,NC_073230.2,NC_073236.2,NC_073238.2,NC_073240.2	KMT2C,LOC129526385,LOC129526398,LOC129526957,LOC134757216,TMEM128	inter_chromosomal_psv	265	457	4356	1778049	2876.1
64	7	5	NC_073227.2,NC_073231.2,NC_073233.2,NC_073242.2,NC_086017.1	EEF2KMT,LOC101125415,LOC101133440,LOC101137806,LOC101139163,LOC101152938,LOC115934341	inter_chromosomal_psv	270	474	2709	55962521	2274.1
65	11	8	NC_073227.2,NC_073235.2,NC_073236.2,NC_073238.2,NC_073239.2,NC_073240.2,NC_073245.2,NC_073248.2	FRG1,LOC115933219,LOC129526395,LOC129526550,LOC129526557,LOC129527278,LOC129530429,LOC129531431,LOC129532222,LOC129532224	no_alignment	0	0	6057	4418854	2108.7
66	16	13	NC_073227.2,NC_073229.2,NC_073230.2,NC_073231.2,NC_073232.2,NC_073236.2,NC_073237.2,NC_073239.2,NC_073240.2,NC_073241.2,NC_073242.2,NC_073244.2,NC_086017.1	LOC129523822,LOC129525064,LOC129525175,LOC129527285,LOC129527429,LOC129528751,LOC129531751,LOC129532625,LOC129532709,LOC129532808,LOC129533287,LOC129534552,LOC134756415,LOC134757299,LOC134759133,NDUFA8	inter_chromosomal_psv	150	204	4499	202944725	1465.1
67	3	3	NC_073227.2,NC_073236.2,NC_073239.2	LOC129526566,LOC129531752,LOC129532807	aligned_no_psv	0	134	153	3199	140.3
68	2	2	NC_073227.2,NC_073240.2	LOC129526855,LOC134758386	inter_chromosomal_psv	558	1138	3184	29180	2169.5
69	5	5	NC_073227.2,NC_073231.2,NC_073235.2,NC_073247.2,NC_086018.1	LOC101142457,LOC129523511,LOC134756389,RABL2A,RABL2B	inter_chromosomal_psv	59	1159	3327	15836	2883.0
70	6	2	NC_073227.2,NC_073230.2	FAM200A,LOC101145047	inter_chromosomal_psv	596	2508	4811	12537	3279.7
71	2	1	NC_073227.2	LCORL	aligned_no_psv	0	7490	8477	181143	7983.5
72	2	1	NC_073227.2	LOC101132889	aligned_no_psv	0	2209	3495	187601	2852.0
73	2	2	NC_073227.2,NC_073241.2	LOC129532904	inter_chromosomal_psv	1440	3071	3562	260940	3940.5
74	2	2	NC_073227.2,NC_073240.2	RPL9,TIPIN	inter_chromosomal_psv	560	949	1069	7648	1043.5
75	2	2	NC_073227.2,NC_073239.2	DCAF4,DCAF4L1	inter_chromosomal_psv	364	1448	3792	33212	2687.0
76	2	1	NC_073227.2	FIP1L1,LNX1	same_chrom_segmental_psv	1326	2235	2433	145352	2388.0
77	3	1	NC_073227.2	LOC109026610,ZNF595	same_chrom_segmental_psv	516	2306	16590	111598	7244.0
78	7	7	NC_073227.2,NC_073229.2,NC_073230.2,NC_073236.2,NC_073241.2,NC_073244.2,NC_086017.1	LOC109027212,LOC115934041,LOC129528278,LOC129528791,SSBP1	inter_chromosomal_psv	707	978	20573	14086	6968.1
79	7	6	NC_073227.2,NC_073229.2,NC_073236.2,NC_073239.2,NC_073240.2,NC_073244.2	FAM228B,LOC129526638,LOC134757313,MTHFD2L,ZNF626	inter_chromosomal_psv	15	17	14051	98880	4208.3
80	2	2	NC_073227.2,NC_073231.2	LOC101129910,SDAD1	inter_chromosomal_psv	206	474	3078	48913	1785.0
81	7	2	NC_073227.2,NC_073233.2	IFITM1,IFITM2,LOC101128980,LOC134758331	inter_chromosomal_psv	39	51	809	13564	593.1
82	2	2	NC_073228.2,NC_073230.2	ACTB,ACTG1	inter_chromosomal_psv	477	1815	2083	3765	1965.0
83	2	1	NC_073228.2	LOC129533692,NREP	tandem_like_psv	446	782	1861	90877	1365.5
84	2	1	NC_073228.2	EPB41L4A	aligned_no_psv	0	2499	5546	257354	4022.5
85	3	1	NC_073228.2	TNFAIP8	aligned_no_psv	0	1629	2086	128610	1781.3
86	2	1	NC_073228.2	SLC22A4,SLC22A5	same_chrom_segmental_psv	835	2672	3793	101638	3369.5
87	2	1	NC_073228.2	NDUFA2,TMCO6	tandem_like_psv	269	495	1908	8384	1203.5
88	3	1	NC_073228.2	DND1,WDR55	tandem_like_psv	924	1637	2934	8797	2547.3
89	8	1	NC_073228.2	LOC101126280,PCDHB15,PCDHB16,PCDHB2,PCDHB5	same_chrom_segmental_psv	1479	3096	13440	156924	6082.1
90	3	1	NC_073228.2	LOC134758598	aligned_no_psv	0	69	4044	17084	1394.0
91	3	1	NC_073228.2	LOC101128585	aligned_no_psv	0	2027	2175	37167	2076.3
92	3	3	NC_073228.2,NC_073240.2,NC_073242.2	LOC101140892,RPLP1,TXNL4B	inter_chromosomal_psv	135	266	3018	25193	1314.0
93	2	1	NC_073228.2	MIF4GD,MRPS7	tandem_like_psv	689	1185	1604	9546	1416.0
94	2	1	NC_073228.2	LOC101131460,THOC3	same_chrom_segmental_psv	14	1604	2113	2992902	1858.5
95	9	7	NC_073228.2,NC_073229.2,NC_073232.2,NC_073239.2,NC_073241.2,NC_073246.2,NC_086017.1	LOC134758618,NLGN1	inter_chromosomal_psv	181	197	7464	2695607	4136.2
96	2	1	NC_073228.2	NHP2,RMND5B	tandem_like_psv	556	1051	2485	23761	1802.0
97	2	1	NC_073228.2	ZNF354A,ZNF354B	same_chrom_segmental_psv	417	2852	6646	523284	4763.5
98	2	1	NC_073228.2	LOC101137455,LOC129533419	same_chrom_segmental_psv	181	1609	2775	188982	2210.0
99	2	1	NC_073228.2	LOC115933006,LOC115933189	same_chrom_segmental_psv	8	2531	3552	106969	3042.0
100	5	2	NC_073228.2,NC_073247.2	HNRNPH1,HNRNPH2	inter_chromosomal_psv	329	1975	3551	9625	2598.8
101	3	2	NC_073228.2,NC_073247.2	CANX,HMGB3	inter_chromosomal_psv	96	630	3733	16166	1669.7
102	2	1	NC_073228.2	MRNIP,SQSTM1	tandem_like_psv	724	1282	2399	35388	1853.0
103	4	1	NC_073228.2	CDC42EP4	aligned_no_psv	0	2975	3737	27522	3323.5
104	3	1	NC_073228.2	COG1,VCF1	tandem_like_psv	1226	2493	3149	40016	2961.0
105	2	1	NC_073228.2	COG1,SSTR2	tandem_like_psv	97	293	4312	27630	2302.5
106	7	1	NC_073228.2	ARL17A,LOC101128092,LOC101135168,LOC115933002,LOC115934626,LOC115934680,LRRC37A3	same_chrom_segmental_psv	56	74	5597	35213833	2433.6
107	3	1	NC_073228.2	LOC101135518,LOC101151290,PLEKHM1	same_chrom_segmental_psv	31	2531	2996	19647059	2764.7
108	2	1	NC_073228.2	DDX42,FTSJ3	tandem_like_psv	1105	2341	3300	18572	3007.5
109	2	2	NC_073228.2,NC_073236.2	FAM136A,LOC101147326	inter_chromosomal_psv	841	1470	1851	11322	1780.0
110	2	2	NC_073228.2,NC_073230.2	METTL2A,METTL2B	inter_chromosomal_psv	53	1352	4638	27041	3014.0
111	2	2	NC_073228.2,NC_073236.2	LOC115933152,TEX14	inter_chromosomal_psv	148	2157	4795	142633	3476.0
112	2	2	NC_073228.2,NC_073247.2	IGBP1,IGBP1C	inter_chromosomal_psv	330	1522	1820	34610	1679.0
113	5	3	NC_073228.2,NC_073240.2,NC_073245.2	SERF2,SERINC4,TTPAL	inter_chromosomal_psv	65	92	9151	19096	2626.0
114	2	1	NC_073228.2	MMD	aligned_no_psv	0	314	2721	29501	1517.5
115	2	2	NC_073228.2,NC_073233.2	CEP295	inter_chromosomal_psv	75	340	64926	64926	32633.0
116	2	1	NC_073228.2	LOC101154437,TUBG2	tandem_like_psv	276	1752	1844	57544	1801.5
117	3	1	NC_073228.2	LOC115933306,LOC115934662,LOC129533797	same_chrom_segmental_psv	4	2006	2497	2375342	2211.3
118	2	1	NC_073228.2	LOC101143714,SLFN12	same_chrom_segmental_psv	346	836	2269	128828	1573.0
119	2	1	NC_073228.2	LOC101143714,SLFN11	tandem_like_psv	499	4044	5186	98764	4749.5
120	2	2	NC_073228.2,NC_073234.2	RPL41	inter_chromosomal_psv	243	424	424	13993	1166.0
121	2	1	NC_073228.2	LOC115934550,WDR45B	same_chrom_segmental_psv	285	2800	3353	53120508	3089.5
122	2	1	NC_073228.2	MYO18A	aligned_no_psv	0	1363	7509	106950	4436.0
123	2	1	NC_073228.2	SARM1,SLC46A1	tandem_like_psv	1355	2911	6489	21702	4723.5
124	2	1	NC_073228.2	IFT20,TMEM97	tandem_like_psv	435	787	1473	17007	1302.0
125	2	1	NC_073228.2	LOC101142859,LOC134758545	same_chrom_segmental_psv	35	3095	8001	4396957	5687.0
126	6	2	NC_073228.2,NC_073234.2	LOC109026704,UBB,UBC	inter_chromosomal_psv	184	283	2580	13359695	1710.3
127	3	1	NC_073228.2	LOC115932821	same_chrom_segmental_psv	461	795	2092	8407433	1707.7
128	2	1	NC_073228.2	LOC115932787,MAP2K3	same_chrom_segmental_psv	170	1461	1510	490326	1497.5
129	3	2	NC_073228.2,NC_073245.2	LOC115932794,LOC129529083,LOC134757821	inter_chromosomal_psv	1532	2886	4429	322532	3916.0
130	5	2	NC_073228.2,NC_073242.2	LINC02693,LOC109025320,LOC129527663	inter_chromosomal_psv	92	2451	11266	1648502	8462.2
131	2	1	NC_073228.2	LOC109026767,LOC115934575	same_chrom_segmental_psv	39	2741	3225	3518279	2993.5
132	2	1	NC_073228.2	CCDC144A,LOC109026769	same_chrom_segmental_psv	62	4775	4849	3552382	4817.0
133	2	2	NC_073228.2,NC_073243.2	CDRT4,TVP23B	inter_chromosomal_psv	10	745	2310	29599	1527.5
134	2	1	NC_073228.2	FLCN	aligned_no_psv	0	286	4409	25152	2347.5
135	2	1	NC_073228.2	B3GNTL1,TBCD	same_chrom_segmental_psv	1730	3594	6469	294935	5091.0
136	2	2	NC_073228.2,NC_073240.2	NR2F1,NR2F2	inter_chromosomal_psv	305	1318	3570	13244	2574.0
137	2	1	NC_073228.2	ARB2A	aligned_no_psv	0	3075	4410	493437	3742.5
138	2	1	NC_073229.2	AKIRIN2	aligned_no_psv	0	959	1682	26928	1320.5
139	2	1	NC_073229.2	LOC101148313,LOC115935025	aligned_no_psv	0	1960	3747	54334	2853.5
140	2	2	NC_073229.2,NC_073237.2	RFX6,RPL7A	inter_chromosomal_psv	515	1129	3056	97533	2108.0
141	2	1	NC_073229.2	AKAP7	same_chrom_segmental_psv	845	1988	4792	152093	3400.0
142	3	1	NC_073229.2	LOC101140030,ULBP1,ULBP3	same_chrom_segmental_psv	324	1542	3515	106428	2699.3
143	3	3	NC_073229.2,NC_073234.2,NC_086017.1	LOC109025132,LOC129523505,LOC129525643	inter_chromosomal_psv	225	1960	4643	17460	3005.7
144	4	4	NC_073229.2,NC_073232.2,NC_073238.2,NC_073240.2	LOC101138261,LOC109027124,MPHOSPH8	inter_chromosomal_psv	520	1175	18575	31629	6735.0
145	6	5	NC_073229.2,NC_073232.2,NC_073237.2,NC_073242.2,NC_073244.2	LOC101131674,TUBB,TUBB2A,TUBB4A,TUBB4B,TUBB8	inter_chromosomal_psv	392	1219	3102	27652368	2158.8
146	6	1	NC_073229.2	LOC109027217	same_chrom_segmental_psv	95	156	156	127025	327.7
147	4	4	NC_073229.2,NC_073230.2,NC_073232.2,NC_086017.1	IL20RB	inter_chromosomal_psv	972	1217	1391	23687	3905.5
148	2	1	NC_073229.2	LOC101134115,TMEM14B	tandem_like_psv	124	1001	3267	80902	2144.0
149	2	2	NC_073229.2,NC_073240.2	HIVEP1	inter_chromosomal_psv	526	1160	1182	75097	1994.0
150	2	1	NC_073229.2	LOC101136127	aligned_no_psv	0	3688	3688	5507	3688.0
151	2	1	NC_073229.2	BTN2A1,BTN2A2	tandem_like_psv	456	3529	4694	89261	4460.5
152	2	1	NC_073229.2	BTN3A1,LOC101147830	tandem_like_psv	290	2968	4930	51203	3954.0
153	2	1	NC_073229.2	LOC129534200	aligned_no_psv	0	3837	3840	58921	3893.0
154	2	2	NC_073229.2,NC_073243.2	LOC101151070,LOC115931277	inter_chromosomal_psv	109	2394	4464	124297	3836.5
155	2	1	NC_073229.2	ZKSCAN3,ZKSCAN4	same_chrom_segmental_psv	1062	4004	5119	129606	5080.5
156	2	1	NC_073229.2	LOC101150953,TRNAA-AGC	aligned_no_psv	0	2588	4975	7184	3781.5
157	7	1	NC_073229.2	LOC101142134,LOC101142998,LOC101143844,LOC101153360,LOC109027174,MHC-G	same_chrom_segmental_psv	705	1146	3807	1677157	2363.0
158	6	2	NC_073229.2,NC_073239.2	HSPA1L,HSPA2,LOC101131586	inter_chromosomal_psv	821	2250	3641	20675	2921.8
159	2	1	NC_073229.2	C4A,C4B	tandem_like_psv	11	5426	5426	41256	5426.0
160	3	1	NC_073229.2	LOC101132303,LOC115935014	same_chrom_segmental_psv	525	1201	13721	228519	5772.7
161	3	1	NC_073229.2	TCP11	aligned_no_psv	0	2379	3532	43373	2896.7
162	3	1	NC_073229.2	SAYSD1	aligned_no_psv	0	4380	6106	11133	5530.7
163	2	2	NC_073229.2,NC_073238.2	ADGRF5,LOC109023105	inter_chromosomal_psv	930	2089	6025	188401	4081.5
164	4	1	NC_073229.2	LOC101148684,LOC101152035,LOC101153366,LOC109027180	same_chrom_segmental_psv	247	851	1435	160175	1086.5
165	2	1	NC_073229.2	B3GAT2,SMAP1	same_chrom_segmental_psv	1108	2242	3429	289394	2976.0
166	2	2	NC_073229.2,NC_073231.2	EIF3E,KHDC1	inter_chromosomal_psv	11	43	1590	48196	816.5
167	4	3	NC_073229.2,NC_073239.2,NC_073243.2	EEF1A1,LOC101132881,LOC109023808,LOC115931240	inter_chromosomal_psv	417	505	2283	40529	1813.0
168	2	1	NC_073230.2	DMTF1,TMEM243	tandem_like_psv	1209	2683	4542	65079	3812.0
169	2	1	NC_073230.2	LOC115935379	aligned_no_psv	0	1352	1352	2422	1352.0
170	3	1	NC_073230.2	FGL2	aligned_no_psv	0	5407	5812	52321	5542.0
171	4	1	NC_073230.2	LOC101130894,LOC115933167,LOC129523494,LOC129534750	same_chrom_segmental_psv	258	521	10953	60354560	4193.5
172	2	1	NC_073230.2	COG5,HBP1	same_chrom_segmental_psv	1361	2937	4351	406094	3830.0
173	2	1	NC_073230.2	LOC101143855,LOC115935294	same_chrom_segmental_psv	5	1818	1821	941156	1819.5
174	2	1	NC_073230.2	LOC101143487,LOC129523491	same_chrom_segmental_psv	11	3028	3457	886593	3316.0
175	2	1	NC_073230.2	GPR37	aligned_no_psv	0	2361	3701	22433	3031.0
176	2	1	NC_073230.2	AKR1B10,LOC115935241	tandem_like_psv	59	1607	3950	49710	3015.5
177	2	2	NC_073230.2,NC_073247.2	LOC101132325,MKRN1	inter_chromosomal_psv	252	1726	2800	28711	2360.5
178	2	1	NC_073230.2	NDUFB2	aligned_no_psv	0	1096	1096	27136	1096.0
179	3	2	NC_073230.2,NC_073232.2	LOC115935989,RHEB,SHLD2	inter_chromosomal_psv	685	1411	3843	30661809	2525.0
180	2	1	NC_073230.2	PTPRN2	aligned_no_psv	0	1784	2972	142437	2378.0
181	2	1	NC_073230.2	STEAP1,STEAP1B	same_chrom_segmental_psv	13	977	3656	68730840	2351.0
182	2	1	NC_073230.2	AVL9	aligned_no_psv	0	414	7059	91402	3736.5
183	2	1	NC_073230.2	FKBP9,LOC101129903	same_chrom_segmental_psv	32	2059	3591	23144782	2825.5
184	2	1	NC_073230.2	LOC129523854,YAE1	same_chrom_segmental_psv	1	309	914	4577127	741.0
185	3	1	NC_073230.2	LOC109027782,LOC129523694,PSPH	same_chrom_segmental_psv	131	544	1873	788817	1191.0
186	2	1	NC_073230.2	LOC129523646,LOC129523647	aligned_no_psv	0	982	982	60649	982.0
187	2	2	NC_073230.2,NC_073231.2	GPAT4,LOC101133668	inter_chromosomal_psv	131	1869	4710	24898	3290.0
188	2	1	NC_073230.2	LOC129523664,LOC129523899	aligned_no_psv	0	1014	2155	21384	1584.5
189	2	1	NC_073230.2	LOC129523746	aligned_no_psv	0	3767	4745	6308	4256.0
190	2	1	NC_073230.2	LOC101132313,SBDS	same_chrom_segmental_psv	48	2179	2249	6108440	2221.5
191	2	1	NC_073230.2	LOC101126070,LOC129534728	same_chrom_segmental_psv	82	3270	3908	6088640	3591.5
192	2	1	NC_073230.2	DNAAF5	aligned_no_psv	0	957	3633	59246	2295.0
193	2	1	NC_073230.2	POM121,POM121C	same_chrom_segmental_psv	107	3899	3957	1824228	3953.0
194	2	1	NC_073230.2	LOC101131844,NSUN5	same_chrom_segmental_psv	43	2271	3155	1811707	3117.0
195	2	1	NC_073230.2	TRIM50,TRIM73	same_chrom_segmental_psv	49	818	2068	1791353	1448.5
196	3	1	NC_073230.2	C6H7orf50	aligned_no_psv	0	3932	14730	14730	7650.0
197	2	1	NC_073230.2	LOC115935268,LOC129534750	same_chrom_segmental_psv	220	4450	23429	131635	13939.5
198	2	1	NC_073230.2	LOC101150976	aligned_no_psv	0	828	1706	14982	1267.0
199	2	2	NC_073230.2,NC_073234.2	DPY19L2,LOC115935244	inter_chromosomal_psv	182	2403	4474	109632	3530.0
200	2	1	NC_073231.2	DPY19L4	aligned_no_psv	0	2098	4238	74136	3168.0
201	2	1	NC_073231.2	LOC101144243,VPS13B	tandem_like_psv	193	530	3813	40140	2172.0
202	2	1	NC_073231.2	UBR5	aligned_no_psv	0	1173	4145	46465	2659.0
203	2	1	NC_073231.2	SQLE,WASHC5	tandem_like_psv	1400	2992	4146	93680	3768.5
204	2	1	NC_073231.2	LOC129524309	aligned_no_psv	0	3067	4190	26588	3628.5
205	2	2	NC_073231.2,NC_073235.2	LOC129524028,SLC35F5	inter_chromosomal_psv	717	3653	5675	44770	5112.5
206	2	1	NC_073231.2	LOC115935615,TNFRSF10D	tandem_like_psv	204	3388	3746	60471	3606.5
207	2	2	NC_073231.2,NC_073244.2	LOC101131852,LOC129528486	inter_chromosomal_psv	34	136	5024	25473	2580.0
208	2	2	NC_073231.2,NC_073234.2	LOC129525654,RPL7	inter_chromosomal_psv	145	919	2555	39633	1738.5
209	2	1	NC_073231.2	MSC	aligned_no_psv	0	1186	1963	4833	1574.5
210	2	1	NC_073231.2	MCMDC2	tandem_like_psv	532	1336	4420	56365	2878.0
211	3	2	NC_073231.2,NC_086017.1	CLN8	inter_chromosomal_psv	802	2020	2144	6107	2473.0
212	2	1	NC_073232.2	LIPK,RNLS	same_chrom_segmental_psv	156	305	1188	156387	751.5
213	3	1	NC_073232.2	LOC109028559	tandem_like_psv	2643	6205	13260	39334	9918.3
214	4	1	NC_073232.2	PPP1R3C	same_chrom_segmental_psv	1	4	4474	175469	2512.2
215	3	1	NC_073232.2	BLNK,ZNF518A	tandem_like_psv	1439	3133	7504	74745	5750.3
216	2	1	NC_073232.2	BBIP1,PDCD4	tandem_like_psv	1025	2120	3018	47718	2686.0
217	2	1	NC_073232.2	IKZF5,PSTK	tandem_like_psv	1337	2385	2929	28436	2886.0
218	2	1	NC_073232.2	LOC101146324,LOC115936027	tandem_like_psv	21	1271	1375	40848	1323.5
219	2	1	NC_073232.2	LOC109028502,VIM	tandem_like_psv	1424	2865	5346	23534	4173.5
220	2	1	NC_073232.2	LOC115932634,PPIF	same_chrom_segmental_psv	10	2408	6194	55404865	4507.5
221	2	1	NC_073232.2	LRMDA	aligned_no_psv	0	2980	2980	122290	2980.0
