family_id	seed_tid	tid	chrom	start	end	n_exon	strand	n_reads	identity	coverage
GWFAM42	DN_NC_073238.2_30202645_2	SE_NC_073238.2_32263021_2	NC_073238.2	32263021	32266541	2	-	1	0.9682	0.6092
GWFAM42	DN_NC_073238.2_30202645_2	SE_NC_073238.2_32262990_2	NC_073238.2	32262990	32266553	2	-	1	0.9463	0.6175
GWFAM70	DN_NC_073247.2_59772964_5	SE_NC_073247.2_59792070_5	NC_073247.2	59792070	59806544	5	+	1	1.0000	0.5640
GWFAM78	DN_NC_086018.1_20202983_4	SE_NC_086018.1_19935960_4	NC_086018.1	19935960	20390692	4	+	2	0.8372	0.6704
GWFAM42	DN_NC_073238.2_30202645_2	SE_NC_073238.2_32256059_2	NC_073238.2	32256059	32265313	2	-	1	0.9762	0.5627
GWFAM24	DN_NC_073234.2_24978863_8	SE_NC_073234.2_24954696_8	NC_073234.2	24954696	24963118	8	+	1	0.8464	0.5980
GWFAM40	DN_NC_073238.2_29962913_11	SE_NC_073240.2_20543122_12	NC_073240.2	20543122	20632919	12	+	1	0.8860	0.5705
GWFAM4	DN_NC_073228.2_46729676_10	SE_NC_073228.2_45715756_11	NC_073228.2	45715756	45781252	11	-	1	0.9907	0.4977
GWFAM20	DN_NC_073230.2_75623247_9	SE_NC_073230.2_75622749_10	NC_073230.2	75622749	75693843	10	-	1	0.8830	0.5561
GWFAM78	DN_NC_086018.1_20202983_4	SE_NC_086018.1_19876798_4	NC_086018.1	19876798	20385311	4	+	1	0.8804	0.5353
GWFAM14	DN_NC_073228.2_182473922_9	SE_NC_073228.2_179961148_8	NC_073228.2	179961148	179977494	8	-	1	0.8046	0.5706
GWFAM10	DN_NC_073228.2_145306441_4	SE_NC_073228.2_145161651_4	NC_073228.2	145161651	145343540	4	+	2	1.0000	0.4527
GWFAM13	DN_NC_073228.2_182638384_11	SE_NC_073228.2_182478017_12	NC_073228.2	182478017	182496024	12	+	1	0.9193	0.4614
GWFAM4	DN_NC_073228.2_46729676_10	SE_NC_073228.2_45932521_11	NC_073228.2	45932521	45958103	11	+	1	0.9774	0.4284
GWFAM32	DN_NC_073236.2_49989276_2	SE_NC_073236.2_52821978_2	NC_073236.2	52821978	52826994	2	+	1	0.8713	0.4728
GWFAM48	DN_NC_073240.2_22072042_10	SE_NC_073240.2_24449474_10	NC_073240.2	24449474	24495719	10	+	2	0.9127	0.4259
GWFAM48	DN_NC_073240.2_22072042_10	SE_NC_073240.2_21248804_11	NC_073240.2	21248804	21294941	11	+	1	0.9035	0.4259
GWFAM24	DN_NC_073234.2_24957014_7	SE_NC_073234.2_24978870_8	NC_073234.2	24978870	24995094	8	+	2	0.8487	0.4524
GWFAM28	DN_NC_073236.2_23070422_5	SE_NC_073230.2_161461467_4	NC_073230.2	161461467	161489309	4	-	1	0.8047	0.4451
GWFAM31	DN_NC_073236.2_33699716_3	SE_NC_073236.2_35276291_2	NC_073236.2	35276291	35280989	2	-	1	0.8421	0.4006
