dn_a	dn_b	n_exon_a	n_exon_b	n_exon_min	colinear	colinear_nd	n_matched	exon_match_frac	mean_matched_id	best_exon_id	isolated_domain	colinear_50	colinear_60	colinear_65	colinear_70	colinear_75	colinear_80
DN_NC_073224.2_115215234_17	DN_NC_073224.2_117217199_13	17	13	13	11	11	11	0.8462	0.9805	0.988	0	12	11	11	11	11	11
DN_NC_073224.2_115215234_17	DN_NC_073224.2_130013703_13	17	13	13	12	12	12	0.9231	0.9886	1.0	0	13	12	12	12	12	12
DN_NC_073224.2_116008764_12	DN_NC_073224.2_124490902_14	12	14	12	11	11	11	0.9167	0.9864	1.0	0	11	11	11	11	11	11
DN_NC_073224.2_116693847_11	DN_NC_073224.2_130686217_20	11	20	11	8	8	8	0.7273	0.9895	1.0	0	9	8	8	8	8	8
DN_NC_073224.2_116807774_25	DN_NC_073224.2_117494263_25	25	25	25	17	17	25	1.0	0.9885	1.0	0	17	17	17	17	17	17
DN_NC_073224.2_116807774_25	DN_NC_073224.2_124234032_12	25	12	12	6	7	11	0.9167	0.8468	0.9052	0	7	7	6	6	5	4
DN_NC_073224.2_116807774_25	DN_NC_073224.2_124254598_20	25	20	20	6	10	12	0.6	0.8463	0.9673	0	7	7	7	6	4	4
DN_NC_073224.2_116807774_25	DN_NC_073224.2_125055626_35	25	35	25	17	18	35	1.4	0.972	0.9953	0	17	17	17	17	17	17
DN_NC_073224.2_116807774_25	DN_NC_073224.2_125594338_29	25	29	25	16	17	29	1.16	0.9736	0.9953	0	16	16	16	16	16	16
DN_NC_073224.2_116807774_25	DN_NC_073224.2_129970070_21	25	21	21	16	16	24	1.1429	0.9835	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_116807774_25	DN_NC_073224.2_130224824_25	25	25	25	16	17	25	1.0	0.9735	0.9953	0	16	16	16	16	16	16
DN_NC_073224.2_116807774_25	DN_NC_073224.2_130335848_23	25	23	23	16	17	24	1.0435	0.983	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_116807774_25	DN_NC_073224.2_218361248_19	25	19	19	13	15	23	1.2105	0.8906	0.9608	0	13	13	13	13	13	13
DN_NC_073224.2_116807774_25	DN_NC_073224.2_218434129_23	25	23	23	13	15	23	1.0	0.9003	0.9804	0	13	13	13	13	13	13
DN_NC_073224.2_117114419_5	DN_NC_073224.2_124983304_5	5	5	5	5	5	5	1.0	0.9833	0.9938	0	5	5	5	5	5	5
DN_NC_073224.2_117114419_5	DN_NC_073224.2_130157457_4	5	4	4	3	3	3	0.75	0.9847	0.9938	0	3	3	3	3	3	3
DN_NC_073224.2_117217199_13	DN_NC_073224.2_130013703_13	13	13	13	12	12	12	0.9231	0.9787	0.9957	0	12	12	12	12	12	12
DN_NC_073224.2_117217199_13	DN_NC_073243.2_49045190_4	13	4	4	0	0	0	0.0	0.0	0.0	0	3	2	0	0	0	0
DN_NC_073224.2_117447152_14	DN_NC_073224.2_130305133_13	14	13	13	13	13	13	1.0	0.9932	1.0	0	13	13	13	13	13	13
DN_NC_073224.2_117447152_14	DN_NC_073243.2_111262956_13	14	13	13	11	11	11	0.8462	0.9705	0.9861	0	12	11	11	11	11	11
DN_NC_073224.2_117494263_25	DN_NC_073224.2_124234032_12	25	12	12	6	7	11	0.9167	0.844	0.9052	0	7	7	6	6	4	4
DN_NC_073224.2_117494263_25	DN_NC_073224.2_124254598_20	25	20	20	6	10	12	0.6	0.8538	0.9673	0	8	8	8	6	4	4
DN_NC_073224.2_117494263_25	DN_NC_073224.2_125055626_35	25	35	25	17	19	35	1.4	0.9757	0.9953	0	17	17	17	17	17	17
DN_NC_073224.2_117494263_25	DN_NC_073224.2_125594338_29	25	29	25	16	18	29	1.16	0.9751	0.9953	0	16	16	16	16	16	16
DN_NC_073224.2_117494263_25	DN_NC_073224.2_129970070_21	25	21	21	16	16	24	1.1429	0.988	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_117494263_25	DN_NC_073224.2_130224824_25	25	25	25	16	17	25	1.0	0.9785	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_117494263_25	DN_NC_073224.2_130335848_23	25	23	23	16	17	24	1.0435	0.9879	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_117494263_25	DN_NC_073224.2_218361248_19	25	19	19	13	15	23	1.2105	0.8907	0.9804	0	13	13	13	13	13	13
DN_NC_073224.2_117494263_25	DN_NC_073224.2_218434129_23	25	23	23	13	15	23	1.0	0.9008	1.0	0	13	13	13	13	13	13
DN_NC_073224.2_120787661_19	DN_NC_073224.2_96681549_23	19	23	19	17	17	17	0.8947	0.7826	0.8374	0	18	18	18	17	15	5
DN_NC_073224.2_120787661_19	DN_NC_073244.2_53573424_23	19	23	19	17	17	17	0.8947	0.7876	0.8538	0	18	18	18	17	14	6
DN_NC_073224.2_120975632_11	DN_NC_073238.2_24435116_16	11	16	11	4	4	4	0.3636	0.9723	0.9771	0	4	4	4	4	4	4
DN_NC_073224.2_123525276_5	DN_NC_073224.2_9521619_7	5	7	5	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_107202270_4	5	4	4	1	1	1	0.25	0.8088	0.8088	1	3	1	1	1	1	1
DN_NC_073224.2_123525276_5	DN_NC_073227.2_26000468_4	5	4	4	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_49278079_9	5	9	5	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073227.2_55859426_23	5	23	5	0	0	0	0.0	0.0	0.0	0	4	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073230.2_159385621_3	5	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073230.2_92132360_3	5	3	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073231.2_107519754_4	5	4	4	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_101543079_10	5	10	5	0	0	0	0.0	0.0	0.0	0	4	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_34013134_3	5	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_50172230_4	5	4	4	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073232.2_99830035_5	5	5	5	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073233.2_116263271_8	5	8	5	0	0	0	0.0	0.0	0.0	0	3	1	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073233.2_23732821_4	5	4	4	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073234.2_126370406_2	5	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073234.2_86426177_10	5	10	5	0	0	0	0.0	0.0	0.0	0	4	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073235.2_142785844_3	5	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073235.2_71373985_7	5	7	5	1	1	1	0.2	0.8282	0.8282	1	3	2	1	1	1	1
DN_NC_073224.2_123525276_5	DN_NC_073237.2_101948554_6	5	6	5	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_123333523_2	5	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_123449122_2	5	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_14838701_6	5	6	5	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073239.2_36370724_4	5	4	4	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073240.2_21986088_4	5	4	4	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073242.2_120248671_3	5	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073243.2_69046517_5	5	5	5	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073243.2_70014918_17	5	17	5	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073244.2_43610901_6	5	6	5	1	1	1	0.2	0.8088	0.8088	1	4	1	1	1	1	1
DN_NC_073224.2_123525276_5	DN_NC_073245.2_47429376_4	5	4	4	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073247.2_114234875_11	5	11	5	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073247.2_115708949_2	5	2	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_073247.2_147586730_5	5	5	5	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_123525276_5	DN_NC_086018.1_24877691_3	5	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_124008865_3	DN_NC_073242.2_36121013_3	3	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_124008865_3	DN_NC_073242.2_36498381_3	3	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_124008865_3	DN_NC_073242.2_6758889_7	3	7	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_124008865_3	DN_NC_073244.2_68766684_2	3	2	2	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_124234032_12	DN_NC_073224.2_124254598_20	12	20	12	7	7	8	0.6667	0.9153	1.0	0	9	7	7	7	7	7
DN_NC_073224.2_124234032_12	DN_NC_073224.2_125594338_29	12	29	12	6	9	21	1.75	0.8662	0.91	0	8	7	7	6	6	4
DN_NC_073224.2_124234032_12	DN_NC_073224.2_130224824_25	12	25	12	6	8	16	1.3333	0.8649	0.91	0	7	7	7	6	6	4
DN_NC_073224.2_124234032_12	DN_NC_073224.2_130335848_23	12	23	12	6	7	11	0.9167	0.8515	0.9052	0	8	7	6	6	5	4
DN_NC_073224.2_124234032_12	DN_NC_073224.2_218361248_19	12	19	12	7	8	12	1.0	0.8515	0.9065	0	8	7	7	7	7	5
DN_NC_073224.2_124234032_12	DN_NC_073224.2_218434129_23	12	23	12	7	8	16	1.3333	0.8476	0.9065	0	8	7	7	7	7	5
DN_NC_073224.2_124234032_12	DN_NC_073224.2_223156764_8	12	8	8	1	1	1	0.125	0.7276	0.7276	1	4	3	2	1	0	0
DN_NC_073224.2_124254598_20	DN_NC_073224.2_125055626_35	20	35	20	7	13	22	1.1	0.8607	0.972	0	8	7	7	7	6	4
DN_NC_073224.2_124254598_20	DN_NC_073224.2_125594338_29	20	29	20	7	11	20	1.0	0.8624	0.972	0	9	8	8	7	5	4
DN_NC_073224.2_124254598_20	DN_NC_073224.2_129970070_21	20	21	20	7	9	11	0.55	0.8456	0.9673	0	8	7	7	7	4	4
DN_NC_073224.2_124254598_20	DN_NC_073224.2_130224824_25	20	25	20	7	10	16	0.8	0.8557	0.9673	0	9	9	8	7	5	4
DN_NC_073224.2_124254598_20	DN_NC_073224.2_130335848_23	20	23	20	10	12	14	0.7	0.8698	0.9898	0	10	10	10	10	7	7
DN_NC_073224.2_124254598_20	DN_NC_073224.2_218361248_19	20	19	19	7	9	12	0.6316	0.8424	0.9393	0	8	8	8	7	6	4
DN_NC_073224.2_124254598_20	DN_NC_073224.2_218434129_23	20	23	20	8	11	17	0.85	0.834	0.9393	0	8	8	8	8	6	4
DN_NC_073224.2_124983304_5	DN_NC_073224.2_130157457_4	5	4	4	3	3	3	0.75	0.9953	1.0	0	3	3	3	3	3	3
DN_NC_073224.2_125055626_35	DN_NC_073224.2_125594338_29	35	29	29	16	19	34	1.1724	0.9952	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_125055626_35	DN_NC_073224.2_129970070_21	35	21	21	16	18	34	1.619	0.9789	0.9953	0	16	16	16	16	16	16
DN_NC_073224.2_125055626_35	DN_NC_073224.2_130224824_25	35	25	25	16	19	35	1.4	0.9941	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_125055626_35	DN_NC_073224.2_130335848_23	35	23	23	16	19	34	1.4783	0.9845	0.9953	0	16	16	16	16	16	16
DN_NC_073224.2_125055626_35	DN_NC_073224.2_218361248_19	35	19	19	13	17	33	1.7368	0.9003	1.0	0	13	13	13	13	13	13
DN_NC_073224.2_125055626_35	DN_NC_073224.2_218434129_23	35	23	23	13	17	33	1.4348	0.8941	0.9804	0	13	13	13	13	13	13
DN_NC_073224.2_125594338_29	DN_NC_073224.2_129970070_21	29	21	21	15	17	28	1.3333	0.979	0.9953	0	15	15	15	15	15	15
DN_NC_073224.2_125594338_29	DN_NC_073224.2_130224824_25	29	25	25	16	18	29	1.16	0.9948	1.0	0	16	16	16	16	16	16
DN_NC_073224.2_125594338_29	DN_NC_073224.2_130335848_23	29	23	23	16	18	29	1.2609	0.986	0.9953	0	16	16	16	16	16	16
DN_NC_073224.2_125594338_29	DN_NC_073224.2_218361248_19	29	19	19	12	15	28	1.4737	0.9005	1.0	0	12	12	12	12	12	12
DN_NC_073224.2_125594338_29	DN_NC_073224.2_218434129_23	29	23	23	12	15	28	1.2174	0.8945	0.9804	0	12	12	12	12	12	12
DN_NC_073224.2_125859316_3	DN_NC_073224.2_45389129_11	3	11	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_125859316_3	DN_NC_073224.2_77707994_7	3	7	3	0	0	0	0.0	0.0	0.0	0	3	0	0	0	0	0
DN_NC_073224.2_125859316_3	DN_NC_073232.2_65905862_9	3	9	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_125859316_3	DN_NC_073237.2_96675699_5	3	5	3	0	0	0	0.0	0.0	0.0	0	3	1	1	0	0	0
DN_NC_073224.2_125859316_3	DN_NC_086018.1_19844955_6	3	9	3	1	1	1	0.3333	0.7189	0.7189	1	2	1	1	1	0	0
DN_NC_073224.2_126139506_3	DN_NC_073242.2_97073460_5	3	5	3	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073224.2_126184593_6	DN_NC_073224.2_126189262_21	6	21	6	0	0	0	0.0	0.0	0.0	0	3	1	0	0	0	0
DN_NC_073224.2_129169623_8	DN_NC_073224.2_129191737_8	8	8	8	6	6	6	0.75	0.7782	0.8438	0	6	6	6	6	4	3
DN_NC_073224.2_129169623_8	DN_NC_073224.2_129211328_8	8	8	8	5	5	5	0.625	0.787	0.8438	0	6	6	6	5	3	2
DN_NC_073224.2_129169623_8	DN_NC_073224.2_130416112_8	8	8	8	6	6	6	0.75	0.7746	0.8438	0	7	6	6	6	4	2
DN_NC_073224.2_129191737_8	DN_NC_073224.2_129211328_8	8	8	8	7	7	7	0.875	0.9422	1.0	0	7	7	7	7	7	7
DN_NC_073224.2_129191737_8	DN_NC_073224.2_130416112_8	8	8	8	6	6	6	0.75	0.9167	1.0	0	8	7	6	6	6	6
DN_NC_073224.2_129200469_3	DN_NC_073248.2_27104145_4	3	4	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_129211328_8	DN_NC_073224.2_130416112_8	8	8	8	6	6	6	0.75	0.9243	1.0	0	7	7	6	6	6	6
DN_NC_073224.2_129429039_7	DN_NC_073224.2_129970070_21	7	21	7	7	7	7	1.0	0.9967	1.0	0	7	7	7	7	7	7
DN_NC_073224.2_129429039_7	DN_NC_073224.2_218361248_19	7	19	7	4	5	6	0.8571	0.9031	0.9804	0	5	5	4	4	4	4
DN_NC_073224.2_129429039_7	DN_NC_073224.2_218434129_23	7	23	7	4	5	6	0.8571	0.9132	1.0	0	5	5	4	4	4	4
DN_NC_073224.2_129429039_7	DN_NC_073224.2_223478295_8	7	8	7	4	5	6	0.8571	0.9007	1.0	0	5	5	5	4	4	3
DN_NC_073224.2_129970070_21	DN_NC_073224.2_130224824_25	21	25	21	17	17	24	1.1429	0.982	0.9942	0	17	17	17	17	17	17
DN_NC_073224.2_129970070_21	DN_NC_073224.2_130335848_23	21	23	21	15	15	18	0.8571	0.9924	1.0	0	16	15	15	15	15	15
DN_NC_073224.2_129970070_21	DN_NC_073224.2_218361248_19	21	19	19	13	14	19	1.0	0.8913	0.9804	0	13	13	13	13	13	13
DN_NC_073224.2_129970070_21	DN_NC_073224.2_218434129_23	21	23	21	13	14	22	1.0476	0.9035	1.0	0	13	13	13	13	13	13
DN_NC_073224.2_129970070_21	DN_NC_073224.2_223156764_8	21	8	8	6	7	8	1.0	0.916	1.0	0	7	6	6	6	6	6
DN_NC_073224.2_130224824_25	DN_NC_073224.2_130335848_23	25	23	23	19	20	25	1.087	0.9901	0.9986	0	19	19	19	19	19	19
DN_NC_073224.2_130224824_25	DN_NC_073224.2_218361248_19	25	19	19	12	14	23	1.2105	0.9003	1.0	0	13	13	12	12	12	12
DN_NC_073224.2_130224824_25	DN_NC_073224.2_218434129_23	25	23	23	12	14	23	1.0	0.8938	0.9804	0	13	13	12	12	12	12
DN_NC_073224.2_130305133_13	DN_NC_073243.2_111262956_13	13	13	13	10	10	10	0.7692	0.9731	0.9879	0	11	10	10	10	10	10
DN_NC_073224.2_130335848_23	DN_NC_073224.2_218361248_19	23	19	19	13	14	19	1.0	0.8854	0.9804	0	13	13	13	13	13	12
DN_NC_073224.2_130335848_23	DN_NC_073224.2_218434129_23	23	23	23	13	14	22	0.9565	0.9021	1.0	0	13	13	13	13	13	13
DN_NC_073224.2_130406472_2	DN_NC_073224.2_13812644_2	2	2	2	1	1	1	0.5	0.7354	0.7354	1	1	1	1	1	0	0
DN_NC_073224.2_130406472_2	DN_NC_073229.2_109663823_28	2	28	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073224.2_130406472_2	DN_NC_073235.2_137582288_5	2	5	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073224.2_130406472_2	DN_NC_073241.2_80636266_2	2	2	2	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_130406472_2	DN_NC_086017.1_165200217_5	2	5	2	0	0	0	0.0	0.0	0.0	0	2	1	0	0	0	0
DN_NC_073224.2_130406472_4	DN_NC_073229.2_136550623_3	4	3	3	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_130406472_4	DN_NC_073233.2_132097253_2	4	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0
DN_NC_073224.2_130406472_4	DN_NC_073242.2_95678785_4	4	4	4	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_130406472_4	DN_NC_073243.2_21894066_7	4	7	4	0	0	0	0.0	0.0	0.0	0	3	1	1	0	0	0
DN_NC_073224.2_130449319_18	DN_NC_073233.2_16844162_15	18	15	15	6	6	6	0.4	0.7341	0.7545	0	12	8	8	6	2	0
DN_NC_073224.2_130486250_9	DN_NC_073230.2_108545376_8	9	8	8	6	6	6	0.75	0.8059	0.9048	0	7	6	6	6	6	2
DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	11	4	4	0	0	0	0.0	0.0	0.0	0	2	0	0	0	0	0
DN_NC_073224.2_13812644_2	DN_NC_073229.2_109663823_28	2	28	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073224.2_13812644_2	DN_NC_073235.2_137582288_5	2	5	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073224.2_13812644_2	DN_NC_073235.2_74414844_11	2	11	2	0	0	0	0.0	0.0	0.0	0	1	1	0	0	0	0
DN_NC_073224.2_13812644_2	DN_NC_073240.2_95564610_15	2	15	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0
DN_NC_073224.2_13812644_2	DN_NC_073241.2_80636266_2	2	2	2	0	0	0	0.0	0.0	0.0	0	0	0	0	0	0	0
DN_NC_073224.2_13812644_2	DN_NC_086017.1_165200217_5	2	5	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_13850922_2	DN_NC_073247.2_97674612_15	2	15	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_14366670_16	DN_NC_073239.2_89227263_15	16	15	15	10	10	10	0.6667	0.7508	0.8158	0	14	13	12	10	3	3
DN_NC_073224.2_14727985_2	DN_NC_073233.2_84240332_5	2	5	2	1	1	1	0.5	0.8227	0.8227	1	1	1	1	1	1	1
DN_NC_073224.2_147572773_13	DN_NC_073239.2_32663808_8	13	8	8	0	0	0	0.0	0.0	0.0	0	5	2	0	0	0	0
DN_NC_073224.2_147663563_19	DN_NC_073224.2_147715668_5	19	5	5	1	1	1	0.2	0.7437	0.7437	1	4	1	1	1	0	0
DN_NC_073224.2_150567709_6	DN_NC_073224.2_150859518_11	6	12	6	4	4	4	0.6667	0.8665	0.8899	0	5	4	4	4	4	4
DN_NC_073224.2_150567709_6	DN_NC_073224.2_150903711_11	6	11	6	5	5	5	0.8333	0.9351	0.9606	0	5	5	5	5	5	5
DN_NC_073224.2_150567709_6	DN_NC_073224.2_150948916_11	6	11	6	5	5	5	0.8333	0.8643	0.9266	0	5	5	5	5	5	4
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150787798_12	11	12	11	9	9	9	0.8182	0.8286	0.9528	0	10	9	9	9	8	5
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150859518_11	11	12	11	3	3	3	0.2727	0.7796	0.8257	0	10	6	5	3	2	1
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150903711_11	11	11	11	3	3	3	0.2727	0.7887	0.8425	0	10	6	5	3	2	2
DN_NC_073224.2_150600792_11	DN_NC_073224.2_150948916_11	11	11	11	3	3	3	0.2727	0.7768	0.8165	0	9	5	5	3	2	2
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150859518_11	12	12	12	7	7	7	0.5833	0.7835	0.9	0	9	9	8	7	3	3
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150903711_11	12	11	11	8	8	8	0.7273	0.7892	0.8679	0	9	9	8	8	5	4
DN_NC_073224.2_150712594_12	DN_NC_073224.2_150948916_11	12	11	11	8	8	8	0.7273	0.7949	0.8857	0	9	9	8	8	6	4
DN_NC_073224.2_150787798_12	DN_NC_073224.2_150948916_11	12	11	11	4	4	4	0.3636	0.7656	0.8189	0	11	5	5	4	2	1
DN_NC_073224.2_150835184_3	DN_NC_073233.2_132992860_18	3	18	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_150835184_3	DN_NC_086017.1_148168205_5	3	5	3	1	1	1	0.3333	0.7032	0.7032	1	2	1	1	1	0	0
DN_NC_073224.2_150859518_11	DN_NC_073224.2_150903711_11	12	11	11	9	9	9	0.8182	0.8338	0.9358	0	10	9	9	9	8	5
DN_NC_073224.2_150859518_11	DN_NC_073224.2_150948916_11	12	11	11	9	9	9	0.8182	0.8501	0.9358	0	10	9	9	9	8	5
DN_NC_073224.2_150903711_11	DN_NC_073224.2_150948916_11	11	11	11	11	11	11	1.0	0.9037	1.0	0	11	11	11	11	10	9
DN_NC_073224.2_150982352_2	DN_NC_073247.2_148580448_11	2	11	2	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_155484145_3	DN_NC_073224.2_155489872_9	3	9	3	0	0	0	0.0	0.0	0.0	0	1	0	0	0	0	0
DN_NC_073224.2_15670210_25	DN_NC_073224.2_15783681_8	25	8	8	6	6	6	0.75	1.0	1.0	0	8	6	6	6	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19027212_8	25	8	8	6	6	6	0.75	0.9907	1.0	0	8	6	6	6	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19135994_8	25	8	8	6	6	6	0.75	0.9885	1.0	0	8	6	6	6	6	6
DN_NC_073224.2_15670210_25	DN_NC_073224.2_19235747_8	25	8	8	6	6	6	0.75	0.9831	0.9886	0	8	6	6	6	6	6
