gene_a	gene_b	dn_a	dn_b	cls	in_dna_loose	aln_frac	core_recip	n_exon_a	n_exon_b	n_exon_min	n_matched	exon_match_frac	mean_matched_id	best_exon_id	colinear	colinear_nd	isolated_domain	cut_K1	cut_K2	div_bin	ep_impure	gstm2	mage	colinear_50	colinear_60	colinear_65	colinear_70	colinear_75	colinear_80
ANKRD18B	LOC101147259	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	TP	1	0.5576	0.2605	11	6	6	5	0.8333	0.9325	1.0	5	5	0	0	0	0.90-0.95	0	0	0	5	5	5	5	5	5
ANKRD18B	LOC115933254	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	TP	1	0.9919	0.5644	11	11	11	10	0.9091	0.9704	0.9906	10	10	0	0	0	id>=0.95	0	0	0	10	10	10	10	10	10
ANKRD36C	LOC109025523	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	TP	1	0.5014	0.5033	41	37	37	20	0.5405	0.9379	0.9861	13	15	0	0	0	0.90-0.95	0	0	0	13	13	13	13	13	13
APOBEC3D	APOBEC3F	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	TP	1	0.9775	0.3807	6	7	6	6	1.0	0.9193	0.9872	6	6	0	0	0	0.90-0.95	0	0	0	6	6	6	6	6	5
ASB6	NTMT1	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	TP	1	0.7066	0.708	4	6	4	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	1	0	0	0	0	0
ATP6V1C2	PDIA6	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	TP	1	0.38	0.3828	13	10	10	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	1	0	0	6	1	0	0	0	0
BCR	LOC101132434	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	TP	1	0.6622	0.3002	6	15	6	4	0.6667	0.9794	0.9925	4	4	0	0	0	id>=0.95	1	0	0	6	4	4	4	4	4
BCR	LOC101135843	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	TP	1	0.5649	0.256	15	7	7	6	0.8571	0.9448	0.9928	6	6	0	0	0	0.90-0.95	1	0	0	7	6	6	6	6	6
BCR	LOC115932815	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	TP	1	0.5461	0.2679	15	7	7	6	0.8571	0.9568	0.9928	6	6	0	0	0	id>=0.95	1	0	0	7	6	6	6	6	6
BFAR	LOC101150079	DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	TP	1	1.003	0.6357	8	8	8	8	1.0	0.9977	1.0	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
BTN2A1	BTN2A2	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44135507_8	TP	1	0.7791	0.2455	8	8	8	4	0.5	0.9177	0.9827	4	4	0	0	0	0.90-0.95	0	0	0	5	5	5	4	4	4
C4A	C4B	DN_NC_073229.2_49583451_41	DN_NC_073229.2_49609902_41	TP	1	1.0	0.9998	41	41	41	41	1.0	0.9982	1.0	41	41	0	0	0	id>=0.95	0	0	0	41	41	41	41	41	41
CCDC144A	LOC109026769	DN_NC_073228.2_79926211_12	DN_NC_073228.2_83434996_12	TP	1	1.0048	0.3998	12	12	12	11	0.9167	0.9915	1.0	11	11	0	0	0	id>=0.95	0	0	0	11	11	11	11	11	11
CCDC152	SELENOP	DN_NC_073243.2_69046517_5	DN_NC_073243.2_69056468_9	TP	1	0.4768	0.4776	5	9	5	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	2	0	0	0	0	0
CDRT4	TVP23B	DN_NC_073228.2_81446275_7	DN_NC_073243.2_30823221_7	TP	1	0.511	0.2413	7	7	7	5	0.7143	0.9886	1.0	5	5	0	0	0	id>=0.95	0	0	0	6	6	6	5	5	5
CENPP	IPPK	DN_NC_073237.2_89073528_3	DN_NC_073237.2_89075402_13	TP	1	0.8865	0.8865	3	13	3	1	0.3333	1.0	1.0	1	1	1	1	1	id>=0.95	0	0	0	3	1	1	1	1	1
CES1	LOC115931015	DN_NC_073242.2_84833963_14	DN_NC_073242.2_84922514_14	TP	1	0.9729	0.7709	14	14	14	14	1.0	0.9156	0.9861	14	14	0	0	0	0.90-0.95	0	0	0	14	14	14	14	14	13
CHEK2	LOC101152610	DN_NC_073240.2_21601841_7	DN_NC_086018.1_26719433_15	TP	1	0.8668	0.2914	7	15	7	5	0.7143	0.9642	0.9816	5	5	0	0	0	id>=0.95	0	0	0	5	5	5	5	5	5
CPLANE1	LOC115933270	DN_NC_073243.2_82594889_12	DN_NC_073243.2_82739824_8	TP	1	0.8699	0.7414	12	8	8	4	0.5	0.9944	0.996	4	4	0	0	0	id>=0.95	0	0	0	7	4	4	4	4	4
CRMP1	EVC	DN_NC_073227.2_15519199_14	DN_NC_073227.2_15589297_3	TP	1	0.3472	0.3478	14	3	3	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	1	0	0	0	0	0
CTSA	NEURL2	DN_NC_073245.2_58117175_2	DN_NC_073245.2_58118781_15	TP	1	0.8099	0.8084	2	15	2	1	0.5	1.0	1.0	1	1	1	1	1	id>=0.95	0	0	0	2	1	1	1	1	1
DAPK1	LOC115935778	DN_NC_073237.2_83892884_7	DN_NC_073237.2_84363825_25	TP	1	0.7914	0.6965	7	25	7	6	0.8571	0.9932	0.998	6	6	0	0	0	id>=0.95	0	0	0	6	6	6	6	6	6
DCAF12L1	DCAF12L2	DN_NC_073247.2_137840069_2	DN_NC_073247.2_138224742_2	TP	1	0.3869	0.394	2	2	2	1	0.5	0.8492	0.8492	1	1	1	1	1	0.80-0.90	0	0	0	2	1	1	1	1	1
DDX19A	DDX19B	DN_NC_073242.2_99745328_12	DN_NC_073242.2_99793055_12	TP	1	0.5369	0.5031	12	12	12	10	0.8333	0.9247	1.0	10	10	0	0	0	0.90-0.95	0	0	0	12	11	11	10	10	10
DHFR	DHFR2	DN_NC_073228.2_84714357_6	DN_NC_086017.1_104876268_2	TP	1	0.9308	0.1373	6	2	2	1	0.5	0.7087	0.7087	1	1	1	1	1	0.70-0.80	0	0	0	2	1	1	1	0	0
DNAJC17	GCHFR	DN_NC_073240.2_41471977_3	DN_NC_073240.2_41473848_11	TP	1	0.3242	0.3242	3	11	3	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	1	0	0	0	0	0
DPY19L2	LOC115935244	DN_NC_073230.2_98668717_3	DN_NC_073234.2_37699488_22	TP	1	0.5289	0.3401	3	22	3	2	0.6667	0.8635	0.8758	2	2	0	0	1	0.80-0.90	0	0	0	2	2	2	2	2	2
EEF1A1	LOC109023808	DN_NC_073229.2_97606864_8	DN_NC_073243.2_97368870_3	TP	1	0.6488	0.6499	8	3	3	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	3	0	0	0	0	0
EIF1AX	LOC101137900	DN_NC_073238.2_32661686_2	DN_NC_073247.2_30604924_7	TP	1	0.8687	0.4016	2	7	2	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	1	0	0	1	0	0	0	0	0
EIF1AX	LOC129530234	DN_NC_073247.2_30604924_7	DN_NC_073248.2_26554434_7	TP	1	0.2132	0.2257	7	7	7	5	0.7143	0.9198	0.963	5	5	0	0	0	0.90-0.95	0	0	0	5	5	5	5	5	5
EOLA1	EOLA2	DN_NC_073247.2_161158664_6	DN_NC_073247.2_161607555_5	TP	1	0.4244	0.4244	6	5	5	4	0.8	0.9919	1.0	4	4	0	0	0	id>=0.95	0	0	0	4	4	4	4	4	4
ERCC1	POLR1G	DN_NC_073244.2_56915266_3	DN_NC_073244.2_56916454_10	TP	1	0.6722	0.6722	3	10	3	1	0.3333	0.9607	0.9607	1	1	1	1	1	id>=0.95	0	0	0	2	1	1	1	1	1
ETFDH	PPID	DN_NC_073227.2_179688123_13	DN_NC_073227.2_179727029_10	TP	1	0.3861	0.3906	13	10	10	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	5	2	0	0	0	0
FGF2	NUDT6	DN_NC_073227.2_142943898_3	DN_NC_073227.2_143010447_5	TP	1	0.4208	0.4208	3	5	3	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	2	0	0	0	0	0
FKBP9	LOC101129903	DN_NC_073230.2_40386475_10	DN_NC_073230.2_63523034_4	TP	1	0.7798	0.4661	10	4	4	3	0.75	0.9834	0.9931	3	3	0	0	0	id>=0.95	0	0	0	4	3	3	3	3	3
FRG1	LOC101142904	DN_NC_073227.2_210893336_9	DN_NC_073246.2_2235416_3	TP	1	0.0	0.2852	9	3	3	2	0.6667	0.9204	0.942	2	2	0	0	1	0.90-0.95	0	0	0	2	2	2	2	2	2
FRG1	LOC115933219	DN_NC_073227.2_210893336_9	DN_NC_073245.2_42779121_5	TP	1	0.5957	0.2217	9	5	5	3	0.6	0.9559	0.978	3	3	0	0	0	id>=0.95	0	0	0	3	3	3	3	3	3
FRG1	LOC129526395	DN_NC_073227.2_210893336_9	DN_NC_073238.2_24693721_8	TP	1	0.5557	0.4893	9	8	8	6	0.75	0.9561	1.0	6	6	0	0	0	id>=0.95	0	0	0	6	6	6	6	6	6
FRG1	LOC129526550	DN_NC_073227.2_210893336_9	DN_NC_073239.2_44147073_8	TP	1	0.4561	0.3984	9	8	8	6	0.75	0.9453	0.984	6	6	0	0	0	0.90-0.95	0	0	0	6	6	6	6	6	6
FRG1	LOC129530552	DN_NC_073227.2_210893336_9	DN_NC_086018.1_1774757_3	TP	1	0.0	0.2852	9	3	3	2	0.6667	0.9204	0.942	2	2	0	0	1	0.90-0.95	0	0	0	2	2	2	2	2	2
FRG1	LOC129531431	DN_NC_073227.2_210893336_9	DN_NC_073236.2_26203134_8	TP	1	0.4648	0.3984	9	8	8	6	0.75	0.9406	0.9825	6	6	0	0	0	0.90-0.95	0	0	0	6	6	6	6	6	6
FRG1	LOC129532222	DN_NC_073227.2_210893336_9	DN_NC_073235.2_33703802_2	TP	1	0.0	0.2041	9	2	2	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	0	0	0	0	0	0
GATC	SRSF9	DN_NC_073234.2_135871466_4	DN_NC_073234.2_135886660_4	TP	1	0.4406	0.4406	4	4	4	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	2	0	0	0	0	0
GBA1	LOC101127437	DN_NC_073224.2_101578782_11	DN_NC_073224.2_101602135_9	TP	1	0.832	0.3588	11	9	9	6	0.6667	0.9513	1.0	6	6	0	0	0	id>=0.95	0	0	0	6	6	6	6	6	5
GLUD1	GLUD2	DN_NC_073232.2_99433455_13	DN_NC_073247.2_132688708_2	TP	1	0.8402	0.7331	13	2	2	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	1	0	0	0	0	0
GSTM1	GSTM4	DN_NC_073224.2_129211328_8	DN_NC_073224.2_130416112_8	TP	1	0.4365	0.4365	8	8	8	6	0.75	0.9243	1.0	6	6	0	0	0	0.90-0.95	0	0	0	7	7	6	6	6	6
IFITM2	LOC101128980	DN_NC_073233.2_6759783_2	DN_NC_073233.2_6771931_2	TP	1	0.8394	0.57	2	2	2	1	0.5	0.9107	0.9107	1	1	1	1	1	0.90-0.95	0	0	0	1	1	1	1	1	1
IGBP1	IGBP1C	DN_NC_073228.2_33351168_2	DN_NC_073247.2_81944671_6	TP	1	0.7309	0.5703	2	6	2	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	1	0	0	0	0	0
IGSF3	LOC129526379	DN_NC_073224.2_120975632_11	DN_NC_073238.2_24435116_16	TP	1	0.4676	0.4585	11	16	11	4	0.3636	0.9723	0.9771	4	4	0	0	0	id>=0.95	0	0	0	4	4	4	4	4	4
IKBKG	LOC115932121	DN_NC_073247.2_166164942_10	DN_NC_073247.2_166250782_8	TP	1	0.7547	0.7542	10	8	8	7	0.875	0.9918	0.9986	7	7	0	0	0	id>=0.95	0	0	0	7	7	7	7	7	7
JMJD8	STUB1	DN_NC_073242.2_4304426_7	DN_NC_073242.2_4305661_8	TP	1	0.465	0.3153	7	8	7	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	1	0	0	3	0	0	0	0	0
KDM8	LOC129523519	DN_NC_073242.2_26867490_8	DN_NC_073242.2_27157172_8	TP	1	1.0	0.9997	8	8	8	8	1.0	0.999	1.0	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
KRBOX4	ZNF674	DN_NC_073247.2_56848572_6	DN_NC_073247.2_56899135_7	TP	1	0.3636	0.1656	6	7	6	5	0.8333	0.8818	0.9921	5	5	0	0	0	0.80-0.90	0	0	0	5	5	5	5	4	4
LIMS1	LOC101146691	DN_NC_073236.2_46553268_10	DN_NC_073236.2_47822803_9	TP	1	0.9074	0.3281	10	9	9	9	1.0	0.9829	1.0	9	9	0	0	0	id>=0.95	0	0	0	9	9	9	9	9	9
LINC02693	LOC109025320	DN_NC_073228.2_78970117_3	DN_NC_073242.2_66481481_2	TP	1	1.0208	0.2001	3	2	2	2	1.0	0.9456	0.9556	2	2	0	0	1	0.90-0.95	0	0	0	2	2	2	2	2	2
LOC101123934	SLC2A14	DN_NC_073234.2_23452056_11	DN_NC_073234.2_23565467_10	TP	1	0.9256	0.5556	11	10	10	9	0.9	0.9592	0.9904	9	9	0	0	0	id>=0.95	0	0	0	9	9	9	9	9	9
LOC101123970	LOC129527614	DN_NC_073242.2_26889052_8	DN_NC_073242.2_27178722_8	TP	1	1.0	1.0	8	8	8	7	0.875	0.9978	1.0	7	7	0	0	0	id>=0.95	0	0	0	7	7	7	7	7	7
LOC101124026	LOC101141789	DN_NC_073237.2_109453117_3	DN_NC_073237.2_109461576_3	TP	1	0.9982	0.9803	3	3	3	3	1.0	0.9936	0.9972	3	3	0	0	0	id>=0.95	0	0	0	3	3	3	3	3	3
LOC101124243	NOM1	DN_NC_073224.2_6827773_11	DN_NC_073230.2_165840202_11	TP	1	0.9997	0.5098	11	11	11	11	1.0	0.9861	1.0	11	11	0	0	0	id>=0.95	0	0	0	11	11	11	11	11	11
LOC101124545	LOC129526151	DN_NC_073238.2_59732356_14	DN_NC_073238.2_60756272_9	TP	1	0.2055	0.2091	14	9	9	6	0.6667	0.985	0.9931	6	6	0	0	0	id>=0.95	0	0	0	8	6	6	6	6	6
LOC101124683	LOC115930071	DN_NC_073239.2_35396913_9	DN_NC_073239.2_35520561_9	TP	1	1.0	0.9991	9	9	9	8	0.8889	0.9992	1.0	8	8	0	0	0	id>=0.95	1	0	0	8	8	8	8	8	8
LOC101124732	ZNF552	DN_NC_073244.2_69910623_3	DN_NC_073244.2_70009554_3	TP	1	0.0	0.2816	3	3	3	1	0.3333	0.8651	0.8651	1	1	1	1	1	0.80-0.90	0	0	0	3	3	2	1	1	1
LOC101125415	LOC101139163	DN_NC_073227.2_17445647_6	DN_NC_086017.1_141278779_5	TP	1	0.7543	0.4138	6	5	5	5	1.0	0.9438	0.9839	5	5	0	0	0	0.90-0.95	0	0	0	5	5	5	5	5	5
LOC101125415	LOC115934341	DN_NC_073227.2_17445647_6	DN_NC_086017.1_85330170_7	TP	1	0.8743	0.3743	6	7	6	6	1.0	0.9349	0.9677	6	6	0	0	0	0.90-0.95	0	0	0	6	6	6	6	6	6
LOC101126070	LOC129534728	DN_NC_073230.2_76190196_16	DN_NC_073230.2_82009167_15	TP	1	1.0161	0.4986	16	15	15	15	1.0	0.973	0.9909	15	15	0	0	0	id>=0.95	0	0	0	15	15	15	15	15	15
LOC101127500	MYL12B	DN_NC_073241.2_47004815_4	DN_NC_073241.2_47028473_4	TP	1	0.2909	0.2707	4	4	4	2	0.5	0.9336	0.9441	2	2	0	0	1	0.90-0.95	0	0	0	3	2	2	2	2	2
LOC101127609	LOC101154433	DN_NC_073242.2_104912717_12	DN_NC_073242.2_99604879_12	TP	1	1.0026	0.459	12	12	12	11	0.9167	0.9828	0.9917	11	11	0	0	0	id>=0.95	0	0	0	11	11	11	11	11	11
LOC101127609	LOC115930161	DN_NC_073242.2_104912717_12	DN_NC_073242.2_99181437_12	TP	1	1.0	0.5836	12	12	12	12	1.0	0.9857	0.992	12	12	0	0	0	id>=0.95	0	0	0	12	12	12	12	12	12
LOC101127631	ZNF569	DN_NC_073244.2_48660338_4	DN_NC_073244.2_48919547_6	TP	1	0.8963	0.8963	4	6	4	1	0.25	0.9952	0.9952	1	1	1	1	1	id>=0.95	0	0	0	3	1	1	1	1	1
LOC101128088	LOC101128458	DN_NC_073242.2_96060106_12	DN_NC_073242.2_96161607_12	TP	1	0.9962	0.4844	12	12	12	11	0.9167	0.9401	1.0	11	11	0	0	0	0.90-0.95	0	0	0	11	11	11	11	11	11
LOC101128088	LOC115931020	DN_NC_073242.2_96073882_12	DN_NC_073242.2_96161607_12	TP	1	0.9983	0.9583	12	12	12	11	0.9167	0.9739	0.9925	11	11	0	0	0	id>=0.95	0	0	0	11	11	11	11	11	11
LOC101128351	LOC101128712	DN_NC_073244.2_17876785_4	DN_NC_073244.2_17922158_4	TP	1	0.3797	0.3863	4	4	4	3	0.75	0.928	0.9667	3	3	0	0	0	0.90-0.95	0	0	0	4	4	4	3	3	3
LOC101128458	LOC115931020	DN_NC_073242.2_96060106_12	DN_NC_073242.2_96073882_12	TP	1	0.7913	0.3547	12	12	12	10	0.8333	0.9334	0.9884	10	10	0	0	0	0.90-0.95	0	0	0	10	10	10	10	10	10
LOC101128712	ZNF440	DN_NC_073244.2_17846610_4	DN_NC_073244.2_17922158_4	TP	1	0.5917	0.4939	4	4	4	3	0.75	0.9104	1.0	3	3	0	0	0	0.90-0.95	0	0	0	4	4	4	3	3	2
LOC101129219	ZNF33B	DN_NC_073232.2_72820474_5	DN_NC_073232.2_81033881_5	TP	1	1.0068	0.4566	5	5	5	5	1.0	0.9265	0.9789	5	5	0	0	0	0.90-0.95	0	0	0	5	5	5	5	5	5
LOC101129558	LOC101135429	DN_NC_073245.2_11562885_6	DN_NC_073245.2_11814428_9	TP	1	0.3459	0.3748	6	9	6	3	0.5	0.8961	0.9243	3	3	0	0	0	0.80-0.90	0	0	0	6	3	3	3	3	3
LOC101129940	SEC22B	DN_NC_073224.2_117114419_5	DN_NC_073224.2_124983304_5	TP	1	1.0017	0.2783	5	5	5	5	1.0	0.9833	0.9938	5	5	0	0	0	id>=0.95	0	1	0	5	5	5	5	5	5
LOC101130542	TCEAL5	DN_NC_073247.2_115050911_3	DN_NC_073247.2_115394224_3	TP	1	0.2299	0.2431	3	3	3	0	0.0	0.0	0.0	0	0	0	1	1	<0.70	0	0	0	3	1	0	0	0	0
LOC101130542	TCEAL6	DN_NC_073247.2_113922705_3	DN_NC_073247.2_115394224_3	TP	1	0.8272	0.4757	3	3	3	2	0.6667	0.8856	0.9162	2	2	0	0	1	0.80-0.90	0	0	0	2	2	2	2	2	2
LOC101130728	LOC129523520	DN_NC_073224.2_19027212_8	DN_NC_073224.2_19135994_8	TP	1	0.9993	0.9993	8	8	8	8	1.0	0.9962	1.0	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
LOC101130728	LOC134756437	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19235747_8	TP	1	1.0	1.0	8	8	8	8	1.0	0.9925	1.0	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
LOC101130728	LOC134758712	DN_NC_073224.2_15783681_8	DN_NC_073224.2_19135994_8	TP	1	1.0	1.0	8	8	8	8	1.0	0.9883	0.9937	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
LOC101130728	LOC134758754	DN_NC_073224.2_19135994_8	DN_NC_073224.2_19344252_8	TP	1	1.0	1.0	8	8	8	8	1.0	0.9995	1.0	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
LOC101130854	LOC115932992	DN_NC_073242.2_15911262_31	DN_NC_073242.2_16378095_15	TP	1	0.6031	0.2915	31	15	15	13	0.8667	0.97	0.9951	10	11	0	0	0	id>=0.95	0	0	0	11	10	10	10	10	10
LOC101130894	LOC115933167	DN_NC_073230.2_51812102_9	DN_NC_073230.2_86213678_7	TP	1	0.5428	0.5193	9	7	7	6	0.8571	0.9653	0.9938	6	6	0	0	0	id>=0.95	0	0	0	6	6	6	6	6	6
LOC101130894	LOC129523494	DN_NC_073230.2_112158616_4	DN_NC_073230.2_86213678_7	TP	1	0.1684	0.1408	4	7	4	3	0.75	0.9143	0.9775	3	3	0	0	0	0.90-0.95	0	0	0	3	3	3	3	3	3
LOC101131274	LOC115930164	DN_NC_073224.2_218361248_19	DN_NC_073224.2_223156764_8	TP	1	0.9468	0.9202	19	8	8	7	0.875	0.973	0.9939	7	7	0	0	0	id>=0.95	0	1	0	8	7	7	7	7	7
LOC101131274	LOC115930576	DN_NC_073224.2_218361248_19	DN_NC_073224.2_218434129_23	TP	1	0.8902	0.8486	19	23	19	23	1.2105	0.9832	0.9953	15	16	0	0	0	id>=0.95	0	1	0	15	15	15	15	15	15
LOC101131274	LOC115932984	DN_NC_073224.2_130224824_25	DN_NC_073224.2_218361248_19	TP	1	0.5846	0.1952	25	19	19	23	1.2105	0.9003	1.0	12	14	0	0	0	0.90-0.95	0	0	0	13	13	12	12	12	12
LOC101131274	LOC115933235	DN_NC_073224.2_129429039_7	DN_NC_073224.2_218361248_19	TP	1	0.9123	0.4724	7	19	7	6	0.8571	0.9031	0.9804	4	5	0	0	0	0.90-0.95	0	0	0	5	5	4	4	4	4
LOC101131274	LOC129525330	DN_NC_073224.2_125594338_29	DN_NC_073224.2_218361248_19	TP	1	0.5802	0.1937	29	19	19	28	1.4737	0.9005	1.0	12	15	0	0	0	0.90-0.95	0	0	0	12	12	12	12	12	12
LOC101131274	LOC129525331	DN_NC_073224.2_125055626_35	DN_NC_073224.2_218361248_19	TP	1	0.536	0.1709	35	19	19	33	1.7368	0.9003	1.0	13	17	0	0	0	0.90-0.95	0	0	0	13	13	13	13	13	13
LOC101131416	LOC115930154	DN_NC_073235.2_31672555_8	DN_NC_073235.2_32750477_8	TP	1	1.011	0.771	8	8	8	8	1.0	0.9662	0.9928	8	8	0	0	0	id>=0.95	0	0	0	8	8	8	8	8	8
LOC101131460	THOC3	DN_NC_073228.2_179795915_6	DN_NC_073228.2_182778476_6	TP	1	1.0	1.0	6	6	6	5	0.8333	0.9969	1.0	5	5	0	0	0	id>=0.95	0	0	0	5	5	5	5	5	5
LOC101131674	TUBB2A	DN_NC_073229.2_20766733_4	DN_NC_073242.2_120516047_4	TP	1	0.7565	0.7718	4	4	4	3	0.75	0.782	0.8317	3	3	0	0	0	0.70-0.80	0	0	0	4	4	4	3	2	1
LOC101131674	TUBB4A	DN_NC_073242.2_120516047_4	DN_NC_073244.2_12296250_4	TP	1	0.7027	0.7011	4	4	4	3	0.75	0.7818	0.8219	3	3	0	0	0	0.70-0.80	0	0	0	4	4	4	3	2	1
LOC101131768	LOC109025447	DN_NC_073236.2_47712811_9	DN_NC_073236.2_52824428_4	TP	1	0.468	0.468	9	4	4	1	0.25	0.9812	0.9812	1	1	1	1	1	id>=0.95	0	0	0	4	1	1	1	1	1
LOC101131768	LOC129531666	DN_NC_073236.2_51202468_4	DN_NC_073236.2_52824428_4	TP	1	0.9993	0.7321	4	4	4	4	1.0	0.9821	0.9928	4	4	0	0	0	id>=0.95	0	0	0	4	4	4	4	4	4
LOC101131768	LOC129531667	DN_NC_073236.2_51437835_4	DN_NC_073236.2_52824428_4	TP	1	1.0	1.0	4	4	4	4	1.0	0.9824	0.9928	4	4	0	0	0	id>=0.95	0	0	0	4	4	4	4	4	4
LOC101131768	RGPD8	DN_NC_073236.2_49989275_2	DN_NC_073236.2_52824428_4	TP	1	1.0397	0.4873	2	4	2	2	1.0	0.9821	0.9843	2	2	0	0	1	id>=0.95	0	0	0	2	2	2	2	2	2
