a	b	core_recip
DN_NC_073229.2_45005781_3	DN_NC_073244.2_18232282_4	0.2021
DN_NC_073237.2_89310571_5	DN_NC_073244.2_70024584_5	0.2655
DN_NC_073228.2_182864372_4	DN_NC_073244.2_65046428_2	0.2815
DN_NC_073224.2_8222533_5	DN_NC_073230.2_73977205_4	0.4083
DN_NC_073244.2_64543447_4	DN_NC_073244.2_64908457_4	0.2348
DN_NC_073230.2_73977205_4	DN_NC_073244.2_27285351_4	0.373
DN_NC_073229.2_44967262_5	DN_NC_073231.2_150817007_4	0.1848
DN_NC_073224.2_8261601_4	DN_NC_073244.2_17831067_3	0.2079
DN_NC_073243.2_20204464_2	DN_NC_073244.2_48319142_5	0.2517
DN_NC_073227.2_8705656_4	DN_NC_073228.2_83513581_6	0.1762
DN_NC_073244.2_18232282_4	DN_NC_073244.2_18649721_4	0.1795
DN_NC_073228.2_184836165_2	DN_NC_073231.2_150817007_4	0.1824
DN_NC_073244.2_48384768_7	DN_NC_086017.1_41849524_2	0.1773
DN_NC_073244.2_48980018_5	DN_NC_086017.1_54612772_3	0.1639
DN_NC_073244.2_64908457_4	DN_NC_073244.2_68513423_5	0.3753
DN_NC_073230.2_74299233_4	DN_NC_073244.2_29297022_4	0.1654
DN_NC_073244.2_28711447_4	DN_NC_073244.2_64836827_4	0.1657
DN_NC_073231.2_150671293_2	DN_NC_073244.2_15569240_8	0.1683
DN_NC_073236.2_51202468_4	DN_NC_073236.2_52824428_4	0.7321
DN_NC_073243.2_20204464_2	DN_NC_073244.2_51825388_5	0.148
DN_NC_073244.2_55678004_6	DN_NC_073244.2_55771764_5	0.1368
DN_NC_073244.2_26240035_4	DN_NC_073244.2_30438386_2	0.2311
DN_NC_073234.2_52202911_4	DN_NC_073235.2_31723374_5	0.8599
DN_NC_073231.2_150777699_3	DN_NC_073244.2_15605841_4	0.19
DN_NC_073244.2_45737704_5	DN_NC_073244.2_59726455_2	0.1713
DN_NC_073224.2_8222533_5	DN_NC_073244.2_28072858_4	0.3969
DN_NC_073229.2_43677378_4	DN_NC_073230.2_150857421_7	0.1343
DN_NC_073229.2_42464475_7	DN_NC_073242.2_30609225_2	0.1547
DN_NC_073247.2_40747465_5	DN_NC_073247.2_40763707_2	0.2977
DN_NC_073244.2_48620420_5	DN_NC_073244.2_64081943_4	0.1647
DN_NC_073237.2_109279481_4	DN_NC_073244.2_70043245_2	0.2121
DN_NC_073244.2_17831067_3	DN_NC_073244.2_17922158_4	0.3454
DN_NC_073227.2_17184793_5	DN_NC_073238.2_24580375_8	0.607
DN_NC_073244.2_18124175_2	DN_NC_073244.2_18614963_5	0.1416
DN_NC_073244.2_69601170_4	DN_NC_073244.2_70043245_2	0.3423
DN_NC_073236.2_32985892_2	DN_NC_073236.2_32986917_2	0.9098
DN_NC_073230.2_88683937_6	DN_NC_073244.2_15508499_10	0.1376
DN_NC_086017.1_55487080_8	DN_NC_086017.1_55569143_2	0.6771
DN_NC_073244.2_48093173_7	DN_NC_073244.2_49176797_4	0.1879
DN_NC_073231.2_150777699_3	DN_NC_073244.2_65102393_4	0.4044
DN_NC_073227.2_8705656_4	DN_NC_073244.2_65293743_4	0.1417
DN_NC_073243.2_20322881_2	DN_NC_073244.2_48030811_4	0.1392
DN_NC_073242.2_36498381_3	DN_NC_086018.1_17871581_2	0.1454
DN_NC_073230.2_74637814_2	DN_NC_073244.2_29046961_4	0.4376
DN_NC_073230.2_74637722_4	DN_NC_073244.2_30438386_2	0.3409
DN_NC_073238.2_24493081_2	DN_NC_073238.2_24493686_3	0.9244
DN_NC_073244.2_45796040_6	DN_NC_073244.2_48030384_3	0.1662
DN_NC_073237.2_23553596_5	DN_NC_073244.2_49101177_5	0.1333
DN_NC_073242.2_100900995_5	DN_NC_073244.2_51783968_5	0.1788
DN_NC_073244.2_17994654_4	DN_NC_073244.2_18201516_4	0.1664
DN_NC_073229.2_45067329_6	DN_NC_073244.2_64585864_4	0.4378
DN_NC_073232.2_34013134_3	DN_NC_073235.2_71373985_7	0.1647
DN_NC_073228.2_182334642_5	DN_NC_073244.2_48919547_6	0.1812
DN_NC_073224.2_130449319_18	DN_NC_073233.2_16844162_15	0.1647
DN_NC_073236.2_112799498_6	DN_NC_073243.2_53724919_2	0.1832
DN_NC_073244.2_27408454_4	DN_NC_073244.2_29680825_4	0.2237
DN_NC_073244.2_26666712_5	DN_NC_073244.2_28588105_4	0.2178
DN_NC_073230.2_92132360_3	DN_NC_073234.2_126370406_2	0.1682
DN_NC_073228.2_179980536_5	DN_NC_073232.2_54688339_2	0.144
DN_NC_073244.2_48242798_5	DN_NC_073244.2_48660338_4	0.307
DN_NC_073244.2_29680825_2	DN_NC_073244.2_64836827_4	0.241
DN_NC_073231.2_150671293_2	DN_NC_073237.2_97733433_3	0.1662
DN_NC_073241.2_110003031_5	DN_NC_073242.2_121237165_4	0.1358
DN_NC_073247.2_59725264_5	DN_NC_073247.2_59772963_5	0.9352
DN_NC_073244.2_29970261_4	DN_NC_073244.2_55678004_6	0.1708
DN_NC_073244.2_47831779_6	DN_NC_073244.2_68513423_5	0.1687
DN_NC_073244.2_27566430_5	DN_NC_073244.2_65293743_4	0.1636
DN_NC_073228.2_83600319_6	DN_NC_073244.2_64618758_7	0.1733
DN_NC_073244.2_30438386_2	DN_NC_073244.2_64672255_4	0.2475
DN_NC_073244.2_48030384_3	DN_NC_073244.2_65470296_6	0.2156
DN_NC_073229.2_45764485_6	DN_NC_086017.1_54527845_6	0.1481
DN_NC_073244.2_27566430_5	DN_NC_073244.2_49101177_5	0.1441
DN_NC_073224.2_123525276_5	DN_NC_073234.2_86426177_10	0.2387
DN_NC_073244.2_26240035_4	DN_NC_073244.2_27408454_4	0.3256
DN_NC_073232.2_116585934_2	DN_NC_073232.2_116588372_2	0.9642
DN_NC_073234.2_148420424_5	DN_NC_073244.2_69466443_4	0.1339
DN_NC_073224.2_40627195_4	DN_NC_073244.2_29970261_4	0.5159
DN_NC_073246.2_37979530_3	DN_NC_073246.2_38044178_3	0.8453
DN_NC_073244.2_51749194_6	DN_NC_073244.2_63840101_6	0.1914
DN_NC_073228.2_184836165_2	DN_NC_073233.2_9788172_5	0.1671
DN_NC_073244.2_48352926_4	DN_NC_073244.2_69422908_4	0.1396
DN_NC_073240.2_21986088_4	DN_NC_073244.2_43610901_6	0.257
DN_NC_073224.2_8422960_4	DN_NC_073242.2_66613619_4	0.2424
DN_NC_073244.2_29232445_4	DN_NC_073244.2_29680825_4	0.2569
DN_NC_073227.2_9010062_2	DN_NC_073244.2_28256975_5	0.2277
DN_NC_073228.2_182994030_5	DN_NC_073244.2_64426370_6	0.1333
DN_NC_073244.2_26901109_4	DN_NC_073244.2_28588105_4	0.1893
DN_NC_073242.2_28606635_19	DN_NC_073242.2_30717385_31	0.495
DN_NC_073236.2_46676942_15	DN_NC_073236.2_47732210_12	0.2617
DN_NC_073228.2_182909765_5	DN_NC_073244.2_15508499_10	0.2249
DN_NC_073242.2_105636398_4	DN_NC_073244.2_65398487_4	0.1927
DN_NC_073228.2_182334642_5	DN_NC_073228.2_83600319_6	0.3974
DN_NC_073237.2_30220066_5	DN_NC_073244.2_55797441_5	0.133
DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	0.3807
DN_NC_073228.2_182334642_5	DN_NC_073242.2_97765438_4	0.1652
DN_NC_073232.2_99830035_5	DN_NC_073235.2_71373985_7	0.2368
DN_NC_073224.2_8261601_4	DN_NC_073224.2_8356715_4	0.2085
DN_NC_073244.2_30438340_4	DN_NC_073244.2_65326089_4	0.1522
DN_NC_073235.2_76383763_5	DN_NC_073235.2_76429632_2	0.2802
DN_NC_073227.2_16860393_3	DN_NC_073236.2_92822528_4	0.1485
DN_NC_073228.2_154747841_5	DN_NC_073244.2_69974453_2	0.1799
DN_NC_073244.2_27131194_2	DN_NC_073244.2_28820229_4	0.3013
DN_NC_073237.2_93275727_4	DN_NC_086017.1_54612772_3	0.3256
DN_NC_073230.2_74126483_4	DN_NC_073244.2_27869273_3	0.1792
DN_NC_073244.2_66923641_8	DN_NC_073244.2_66965840_13	0.3935
DN_NC_073244.2_17635782_4	DN_NC_073244.2_17922158_4	0.2351
DN_NC_073227.2_8705656_4	DN_NC_073244.2_64724127_4	0.1493
DN_NC_073236.2_30490104_2	DN_NC_073239.2_77917590_16	0.2739
DN_NC_073244.2_48242798_5	DN_NC_073244.2_64724127_4	0.1852
DN_NC_073241.2_64468689_4	DN_NC_073244.2_68477557_5	0.1857
DN_NC_086018.1_34137538_4	DN_NC_086018.1_34186611_4	0.2863
DN_NC_073232.2_27927613_2	DN_NC_073234.2_121621201_3	0.1395
DN_NC_073224.2_8422960_4	DN_NC_073230.2_74637814_2	0.3973
DN_NC_073224.2_199406700_5	DN_NC_073244.2_65046428_4	0.3209
DN_NC_073228.2_182864372_4	DN_NC_073244.2_68513423_5	0.1712
DN_NC_073244.2_28711447_2	DN_NC_073244.2_65326089_4	0.14
DN_NC_073228.2_154747841_5	DN_NC_073244.2_70077616_7	0.2801
DN_NC_073244.2_28072858_4	DN_NC_073244.2_65398487_4	0.3144
DN_NC_073230.2_9870516_2	DN_NC_073230.2_9870856_2	0.9736
DN_NC_073244.2_68258639_5	DN_NC_073244.2_68333010_5	0.4856
DN_NC_073224.2_8222533_5	DN_NC_073244.2_30438386_2	0.2298
DN_NC_086018.1_39469630_18	DN_NC_086018.1_39525778_6	0.2132
DN_NC_073243.2_20322881_2	DN_NC_073243.2_20324218_2	0.8983
DN_NC_073232.2_146269317_5	DN_NC_073232.2_8583099_4	0.1349
DN_NC_073232.2_81033881_5	DN_NC_073234.2_148420424_5	0.1972
DN_NC_073224.2_13812644_2	DN_NC_073229.2_109663823_28	0.1521
DN_NC_073233.2_72751588_5	DN_NC_073236.2_108637713_6	0.4502
DN_NC_073229.2_136550623_3	DN_NC_073236.2_30490104_2	0.1658
DN_NC_073232.2_71973207_3	DN_NC_073237.2_109230975_4	0.1512
DN_NC_073230.2_74190289_5	DN_NC_073242.2_66613619_4	0.2386
DN_NC_073238.2_122935066_2	DN_NC_073238.2_122935066_3	0.9593
DN_NC_073224.2_52075783_3	DN_NC_073224.2_52075812_2	0.9765
DN_NC_073244.2_15508499_10	DN_NC_073244.2_17960497_4	0.1681
DN_NC_073244.2_17678736_4	DN_NC_073244.2_26156853_4	0.2761
DN_NC_073244.2_27504818_5	DN_NC_073244.2_27956158_2	0.6199
DN_NC_073244.2_27956158_4	DN_NC_073246.2_15789320_2	0.324
DN_NC_073244.2_48030384_3	DN_NC_073244.2_64125568_5	0.1921
DN_NC_073244.2_64400145_5	DN_NC_073244.2_64860608_4	0.1498
DN_NC_073235.2_71287360_16	DN_NC_073247.2_66706466_2	0.1566
DN_NC_086017.1_205396306_2	DN_NC_086017.1_205396414_2	0.8613
DN_NC_073232.2_71881610_2	DN_NC_073244.2_55835875_4	0.2014
DN_NC_073228.2_182994030_5	DN_NC_073244.2_49072464_4	0.3933
DN_NC_073224.2_124234032_12	DN_NC_073224.2_124254598_20	0.245
DN_NC_073244.2_64306022_6	DN_NC_086017.1_41849470_3	0.2317
DN_NC_073224.2_130406472_4	DN_NC_073232.2_34013134_3	0.2489
DN_NC_073241.2_64520244_2	DN_NC_086017.1_54612772_3	0.1821
DN_NC_073234.2_49097599_9	DN_NC_086017.1_171687563_2	0.1967
DN_NC_073244.2_64500861_5	DN_NC_073244.2_65326089_4	0.3258
DN_NC_073230.2_74637722_4	DN_NC_073244.2_27566430_5	0.2459
DN_NC_073244.2_27051998_4	DN_NC_073244.2_28072858_4	0.4541
DN_NC_073244.2_48093173_7	DN_NC_073244.2_65003440_7	0.1758
DN_NC_073247.2_161458538_3	DN_NC_073247.2_164407414_2	0.385
DN_NC_073235.2_94365284_2	DN_NC_073236.2_112799498_6	0.2135
DN_NC_073244.2_30438386_2	DN_NC_073244.2_65102393_4	0.2194
DN_NC_073244.2_17994654_4	DN_NC_073244.2_18356684_4	0.1944
DN_NC_073236.2_32240619_3	DN_NC_073243.2_20324218_2	0.1666
DN_NC_073228.2_97735756_11	DN_NC_073228.2_97735756_2	0.9451
DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	0.6357
DN_NC_073232.2_71973207_3	DN_NC_073244.2_47831779_6	0.1863
DN_NC_073224.2_8222533_5	DN_NC_073244.2_27408454_4	0.2929
DN_NC_073244.2_15569240_8	DN_NC_073244.2_48384768_7	0.2104
DN_NC_073227.2_8633418_2	DN_NC_073242.2_37386128_4	0.1842
DN_NC_073227.2_9010062_2	DN_NC_073244.2_29232445_4	0.1541
DN_NC_073244.2_17831067_3	DN_NC_073244.2_18426035_4	0.3042
DN_NC_073227.2_9010062_2	DN_NC_073244.2_28711447_4	0.2339
DN_NC_073224.2_199494304_6	DN_NC_073244.2_47739503_5	0.2349
DN_NC_073230.2_73776646_4	DN_NC_073244.2_29297022_4	0.2136
DN_NC_073230.2_74190289_5	DN_NC_073230.2_74637814_2	0.197
DN_NC_073237.2_23553596_5	DN_NC_073244.2_63542066_5	0.178
DN_NC_073224.2_27333739_3	DN_NC_073228.2_64771915_4	0.1345
DN_NC_073244.2_64426370_6	DN_NC_073244.2_64585864_4	0.3601
DN_NC_086017.1_54457640_6	DN_NC_086017.1_54527845_6	0.2943
DN_NC_073244.2_48093173_7	DN_NC_073244.2_69783488_3	0.1438
DN_NC_073242.2_100900995_5	DN_NC_073247.2_58372296_6	0.2127
DN_NC_073235.2_31723374_5	DN_NC_073238.2_31467876_5	0.8922
DN_NC_073229.2_44967262_5	DN_NC_073232.2_81253567_6	0.135
DN_NC_073241.2_99621344_3	DN_NC_073241.2_99622143_2	0.9679
DN_NC_073228.2_182864372_4	DN_NC_073244.2_47288294_4	0.1993
DN_NC_073230.2_159385621_3	DN_NC_073234.2_126370406_2	0.1628
DN_NC_073244.2_47586219_5	DN_NC_073244.2_68491976_5	0.1967
DN_NC_073231.2_150671293_2	DN_NC_073231.2_150817007_4	0.2105
DN_NC_073244.2_49072464_4	DN_NC_073244.2_64836827_4	0.2107
DN_NC_073242.2_37386128_4	DN_NC_073244.2_64860608_4	0.1373
DN_NC_073244.2_26470366_4	DN_NC_073246.2_15789285_3	0.2305
DN_NC_073244.2_45737704_5	DN_NC_086017.1_54487757_3	0.3862
DN_NC_073244.2_48093173_7	DN_NC_073247.2_57840463_5	0.1346
DN_NC_073244.2_26240035_4	DN_NC_073244.2_30067652_4	0.2809
DN_NC_073241.2_36126183_3	DN_NC_073244.2_26470366_4	0.1995
DN_NC_073230.2_74299233_4	DN_NC_073244.2_64125568_5	0.1553
DN_NC_073228.2_182994030_5	DN_NC_073231.2_150817007_4	0.1797
DN_NC_073231.2_150568091_5	DN_NC_073244.2_27869273_3	0.236
DN_NC_073233.2_75193065_21	DN_NC_086018.1_23590926_21	0.6349
DN_NC_073244.2_68491976_5	DN_NC_086017.1_54527845_6	0.1705
DN_NC_073227.2_9009888_2	DN_NC_073244.2_29970261_4	0.2175
DN_NC_073231.2_150817007_4	DN_NC_073244.2_48352926_4	0.2533
DN_NC_073247.2_40731967_2	DN_NC_073247.2_40732536_2	0.8598
DN_NC_073232.2_80964961_8	DN_NC_073245.2_58728682_5	0.2229
DN_NC_073244.2_48030811_4	DN_NC_073244.2_48980018_5	0.3653
DN_NC_073224.2_8422960_4	DN_NC_073244.2_28711447_2	0.316
DN_NC_073242.2_106138908_3	DN_NC_073245.2_28570767_2	0.1958
DN_NC_073231.2_150568091_5	DN_NC_073244.2_55797441_5	0.1831
DN_NC_073228.2_184836165_2	DN_NC_073244.2_17831067_3	0.1304
DN_NC_073244.2_29557605_4	DN_NC_073244.2_48030384_3	0.3212
DN_NC_073224.2_5565564_3	DN_NC_073235.2_71373985_7	0.1544
DN_NC_073238.2_32617313_2	DN_NC_073244.2_6165323_3	0.2192
DN_NC_073244.2_15324693_6	DN_NC_073244.2_15569240_8	0.1846
DN_NC_073240.2_100356163_2	DN_NC_073240.2_100356352_2	0.5725
DN_NC_073244.2_28711447_2	DN_NC_073244.2_29557605_4	0.1844
DN_NC_073244.2_48980018_5	DN_NC_073244.2_64585864_4	0.4103
DN_NC_073231.2_99586672_3	DN_NC_073231.2_99586903_2	0.9711
DN_NC_073231.2_150817007_4	DN_NC_073244.2_65102393_4	0.1628
DN_NC_073224.2_8222533_5	DN_NC_073244.2_64340366_4	0.1586
DN_NC_073224.2_8329397_4	DN_NC_073244.2_18426035_4	0.2427
DN_NC_073227.2_9009888_2	DN_NC_073244.2_45985550_6	0.1368
DN_NC_073224.2_40627195_4	DN_NC_073230.2_73977205_4	0.3407
DN_NC_073230.2_92132360_3	DN_NC_073232.2_34013134_3	0.1723
DN_NC_073244.2_64400145_5	DN_NC_073244.2_65293743_4	0.1335
DN_NC_073244.2_69910623_3	DN_NC_073244.2_69974453_2	0.1734
DN_NC_073244.2_55516115_5	DN_NC_073244.2_55565140_5	0.4909
DN_NC_073244.2_28256975_5	DN_NC_073246.2_15789285_3	0.1356
DN_NC_073244.2_27051998_4	DN_NC_073244.2_55654796_6	0.2152
DN_NC_073244.2_65102393_4	DN_NC_086017.1_41849470_3	0.4619
DN_NC_073244.2_68513423_5	DN_NC_073246.2_15789320_2	0.2188
DN_NC_073244.2_28588105_4	DN_NC_073244.2_30438340_4	0.2391
DN_NC_073228.2_182827930_5	DN_NC_073228.2_182864372_4	0.1792
DN_NC_073236.2_32240619_3	DN_NC_073244.2_69601170_4	0.1857
DN_NC_073224.2_124254598_20	DN_NC_073224.2_218361248_19	0.1564
DN_NC_073244.2_49072464_4	DN_NC_073244.2_49246931_6	0.1368
DN_NC_073244.2_64759228_5	DN_NC_073244.2_65102393_4	0.265
DN_NC_073244.2_49205215_5	DN_NC_073244.2_68513423_5	0.2077
DN_NC_073244.2_45737704_5	DN_NC_073244.2_47878793_6	0.242
DN_NC_073228.2_23742950_7	DN_NC_073228.2_27022347_6	0.1651
DN_NC_073230.2_29909396_5	DN_NC_073230.2_98628332_5	0.3345
DN_NC_073229.2_45067329_6	DN_NC_073244.2_65266359_4	0.1418
DN_NC_073231.2_150726059_5	DN_NC_073244.2_70159242_5	0.2633
DN_NC_073243.2_20324218_2	DN_NC_086017.1_54551513_4	0.1508
DN_NC_073233.2_6765591_2	DN_NC_073233.2_6771931_2	0.2488
DN_NC_073241.2_64520240_3	DN_NC_073244.2_51749194_6	0.2943
DN_NC_073230.2_73977205_4	DN_NC_073244.2_64585864_4	0.2528
DN_NC_073244.2_26240035_4	DN_NC_073244.2_27285351_4	0.2019
DN_NC_073244.2_27131194_2	DN_NC_073244.2_55341363_7	0.2159
DN_NC_073228.2_154747841_5	DN_NC_073244.2_47878793_6	0.3087
DN_NC_073244.2_26314241_4	DN_NC_073244.2_47706460_3	0.1957
DN_NC_073224.2_13812644_2	DN_NC_073227.2_59134185_2	0.2078
DN_NC_073224.2_40627195_4	DN_NC_073244.2_28072858_4	0.3206
DN_NC_073228.2_183595646_14	DN_NC_073247.2_113184615_2	0.609
DN_NC_073230.2_127821031_3	DN_NC_073234.2_121621201_3	0.1462
DN_NC_073244.2_15569240_8	DN_NC_073244.2_15605841_4	0.165
DN_NC_073243.2_20322881_2	DN_NC_073244.2_45985550_6	0.145
DN_NC_073224.2_130406472_2	DN_NC_073227.2_210308791_3	0.136
DN_NC_073244.2_26156853_4	DN_NC_073244.2_27566430_5	0.2598
DN_NC_073244.2_27566430_5	DN_NC_073244.2_27956158_2	0.6268
DN_NC_073244.2_28820229_4	DN_NC_073244.2_64618758_7	0.1551
DN_NC_073227.2_9009655_3	DN_NC_073244.2_28333451_4	0.2606
DN_NC_073241.2_36126198_2	DN_NC_073244.2_55464824_5	0.2818
DN_NC_073230.2_76425037_7	DN_NC_073230.2_81087606_7	0.2134
DN_NC_073230.2_74126483_4	DN_NC_073244.2_64759228_5	0.1408
DN_NC_073234.2_17584207_9	DN_NC_073234.2_50306180_17	0.1359
DN_NC_073244.2_45985550_6	DN_NC_073244.2_48030811_4	0.2621
DN_NC_073244.2_48242798_5	DN_NC_073244.2_48919547_6	0.4011
DN_NC_073244.2_28711447_2	DN_NC_073244.2_29232445_4	0.2021
DN_NC_073244.2_64034715_7	DN_NC_073244.2_64759228_5	0.3097
DN_NC_073244.2_55771764_5	DN_NC_073244.2_63882905_5	0.1471
DN_NC_073242.2_66613619_4	DN_NC_073244.2_29970261_4	0.218
DN_NC_073231.2_150671310_5	DN_NC_073244.2_48319142_5	0.1397
DN_NC_073230.2_74637722_4	DN_NC_073244.2_27285351_4	0.3984
DN_NC_073244.2_48352926_4	DN_NC_073244.2_64306022_6	0.2479
DN_NC_073244.2_64543447_4	DN_NC_073244.2_65362909_5	0.216
DN_NC_073227.2_8705656_4	DN_NC_073244.2_27051998_4	0.2956
DN_NC_073241.2_64520244_2	DN_NC_073242.2_100926924_5	0.1877
DN_NC_073242.2_8737492_8	DN_NC_086017.1_85330170_7	0.3526
DN_NC_073244.2_15324693_6	DN_NC_073244.2_55989141_5	0.1484
