side	target	role	chrom	start	end	n_reads	n_spliced	n_single	N	n_loci	multi_loci	singletons	orphans_rec_spliced	orphans_rec_singleexon	frag_merges	copy_collapse	newborn_loci	fuzzy_induced_collapse
recall	LOC115930538	paralog_copy	NC_073240.2	24224495	24300314	86	54	32	5	34	2	32	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	24224495	24300314	86	54	32	10	34	2	32	0	0	0	NA	0	NA
recall	LOC115930538	paralog_copy	NC_073240.2	24224495	24300314	86	54	32	20	34	2	32	0	0	0	NA	0	NA
recall	LOC115934629	own	NC_073228.2	45754758	45835592	18	10	8	0	18	0	18	0	0	0	NA	0	NA
recall	LOC115934629	own	NC_073228.2	45754758	45835592	18	10	8	2	18	0	18	0	0	0	NA	0	NA
recall	LOC115934629	own	NC_073228.2	45754758	45835592	18	10	8	5	18	0	18	0	0	0	NA	0	NA
recall	LOC115934629	own	NC_073228.2	45754758	45835592	18	10	8	10	18	0	18	0	0	0	NA	0	NA
recall	LOC115934629	own	NC_073228.2	45754758	45835592	18	10	8	20	18	0	18	0	0	0	NA	0	NA
recall	LOC115934629	paralog_copy	NC_073228.2	46729356	46757824	19	13	6	0	7	1	6	0	0	0	NA	0	NA
recall	LOC115934629	paralog_copy	NC_073228.2	46729356	46757824	19	13	6	2	7	1	6	0	0	0	NA	0	NA
recall	LOC115934629	paralog_copy	NC_073228.2	46729356	46757824	19	13	6	5	7	1	6	0	0	0	NA	0	NA
recall	LOC115934629	paralog_copy	NC_073228.2	46729356	46757824	19	13	6	10	7	1	6	0	0	0	NA	0	NA
recall	LOC115934629	paralog_copy	NC_073228.2	46729356	46757824	19	13	6	20	7	1	6	0	0	0	NA	0	NA
recall	LOC129534585	own	NC_073224.2	15805110	15833058	1	0	1	0	1	0	1	0	0	0	NA	0	NA
recall	LOC129534585	own	NC_073224.2	15805110	15833058	1	0	1	2	1	0	1	0	0	0	NA	0	NA
recall	LOC129534585	own	NC_073224.2	15805110	15833058	1	0	1	5	1	0	1	0	0	0	NA	0	NA
recall	LOC129534585	own	NC_073224.2	15805110	15833058	1	0	1	10	1	0	1	0	0	0	NA	0	NA
recall	LOC129534585	own	NC_073224.2	15805110	15833058	1	0	1	20	1	0	1	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19016247	19035461	61	61	0	0	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19016247	19035461	61	61	0	2	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19016247	19035461	61	61	0	5	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19016247	19035461	61	61	0	10	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19016247	19035461	61	61	0	20	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19135994	19352450	181	178	3	0	9	4	5	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19135994	19352450	181	178	3	2	9	4	5	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19135994	19352450	181	178	3	5	9	4	5	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19135994	19352450	181	178	3	10	9	4	5	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	19135994	19352450	181	178	3	20	9	4	5	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	29070812	29090914	56	56	0	0	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	29070812	29090914	56	56	0	2	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	29070812	29090914	56	56	0	5	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	29070812	29090914	56	56	0	10	1	1	0	0	0	0	NA	0	NA
recall	LOC129534585	paralog_copy	NC_073224.2	29070812	29090914	56	56	0	20	1	1	0	0	0	0	NA	0	NA
recall	TNK2	own	NC_086017.1	207437719	207533765	94	87	7	0	11	2	9	0	0	0	NA	0	NA
recall	TNK2	own	NC_086017.1	207437719	207533765	94	87	7	2	11	2	9	0	0	0	NA	0	NA
recall	TNK2	own	NC_086017.1	207437719	207533765	94	87	7	5	11	2	9	0	0	0	NA	0	NA
recall	TNK2	own	NC_086017.1	207437719	207533765	94	87	7	10	11	2	9	0	0	0	NA	0	NA
recall	TNK2	own	NC_086017.1	207437719	207533765	94	87	7	20	11	2	9	0	0	0	NA	0	NA
recall	TNK2	paralog_copy	NC_086017.1	209194304	209212633	38	35	3	0	8	1	7	0	0	0	NA	0	NA
recall	TNK2	paralog_copy	NC_086017.1	209194304	209212633	38	35	3	2	8	1	7	0	0	0	NA	0	NA
recall	TNK2	paralog_copy	NC_086017.1	209194304	209212633	38	35	3	5	8	1	7	0	0	0	NA	0	NA
recall	TNK2	paralog_copy	NC_086017.1	209194304	209212633	38	35	3	10	8	1	7	0	0	0	NA	0	NA
recall	TNK2	paralog_copy	NC_086017.1	209194304	209212633	38	35	3	20	8	1	7	0	0	0	NA	0	NA
recall	UBE2Q2P16	own	NC_073240.2	85814027	85868602	22	17	5	0	6	1	5	0	0	0	NA	0	NA
recall	UBE2Q2P16	own	NC_073240.2	85814027	85868602	22	17	5	2	6	1	5	0	0	0	NA	0	NA
recall	UBE2Q2P16	own	NC_073240.2	85814027	85868602	22	17	5	5	6	1	5	0	0	0	NA	0	NA
recall	UBE2Q2P16	own	NC_073240.2	85814027	85868602	22	17	5	10	6	1	5	0	0	0	NA	0	NA
recall	UBE2Q2P16	own	NC_073240.2	85814027	85868602	22	17	5	20	6	1	5	0	0	0	NA	0	NA
recall	UBE2Q2P16	paralog_copy	NC_073240.2	86403557	86409251	50	39	11	0	12	1	11	0	0	0	NA	0	NA
recall	UBE2Q2P16	paralog_copy	NC_073240.2	86403557	86409251	50	39	11	2	12	1	11	0	0	0	NA	0	NA
recall	UBE2Q2P16	paralog_copy	NC_073240.2	86403557	86409251	50	39	11	5	12	1	11	0	0	0	NA	0	NA
recall	UBE2Q2P16	paralog_copy	NC_073240.2	86403557	86409251	50	39	11	10	12	1	11	0	0	0	NA	0	NA
recall	UBE2Q2P16	paralog_copy	NC_073240.2	86403557	86409251	50	39	11	20	12	1	11	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073229.2	67950085	67956974	8	8	0	0	1	1	0	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073229.2	67950085	67956974	8	8	0	2	1	1	0	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073229.2	67950085	67956974	8	8	0	5	1	1	0	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073229.2	67950085	67956974	8	8	0	10	1	1	0	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073229.2	67950085	67956974	8	8	0	20	1	1	0	0	0	0	NA	0	NA
recall	ZNF425	own	NC_073230.2	158066726	158091246	90	86	4	0	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	own	NC_073230.2	158066726	158091246	90	86	4	2	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	own	NC_073230.2	158066726	158091246	90	86	4	5	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	own	NC_073230.2	158066726	158091246	90	86	4	10	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	own	NC_073230.2	158066726	158091246	90	86	4	20	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073241.2	83874271	83882657	19	14	5	0	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073241.2	83874271	83882657	19	14	5	2	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073241.2	83874271	83882657	19	14	5	5	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073241.2	83874271	83882657	19	14	5	10	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_073241.2	83874271	83882657	19	14	5	20	6	1	5	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_086018.1	27470342	27519978	59	53	6	0	12	3	9	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_086018.1	27470342	27519978	59	53	6	2	12	3	9	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_086018.1	27470342	27519978	59	53	6	5	12	3	9	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_086018.1	27470342	27519978	59	53	6	10	12	3	9	0	0	0	NA	0	NA
recall	ZNF425	paralog_copy	NC_086018.1	27470342	27519978	59	53	6	20	12	3	9	0	0	0	NA	0	NA
collapse	FAM38:NA	8blocks_gap9021	NC_073248.2:16416010..25739264	16416010	25739264	108	106	2	0	10	8	2	0	0	0	0	0	0
collapse	FAM38:NA	8blocks_gap9021	NC_073248.2:16416010..25739264	16416010	25739264	108	106	2	2	10	8	2	0	0	0	0	0	0
collapse	FAM38:NA	8blocks_gap9021	NC_073248.2:16416010..25739264	16416010	25739264	108	106	2	5	10	8	2	0	0	0	0	0	0
collapse	FAM38:NA	8blocks_gap9021	NC_073248.2:16416010..25739264	16416010	25739264	108	106	2	10	10	8	2	0	0	0	0	0	0
collapse	FAM38:NA	8blocks_gap9021	NC_073248.2:16416010..25739264	16416010	25739264	108	106	2	20	10	8	2	0	0	0	0	0	0
collapse	FAM42:LOC129529768	3blocks_gap10773	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	0	8	7	1	0	0	0	0	0	0
collapse	FAM42:LOC129529768	3blocks_gap10773	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	2	8	7	1	0	0	0	0	0	0
collapse	FAM42:LOC129529768	3blocks_gap10773	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	5	8	7	1	0	0	0	0	0	0
collapse	FAM42:LOC129529768	3blocks_gap10773	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	10	8	7	1	0	0	0	0	0	0
collapse	FAM42:LOC129529768	3blocks_gap10773	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	20	8	7	1	0	0	0	0	0	0
collapse	FAM93:LOC115932194	2blocks_gap11215	NC_073247.2:62664032..62685316	62664032	62685316	36	33	3	0	5	2	3	0	0	0	0	0	0
collapse	FAM93:LOC115932194	2blocks_gap11215	NC_073247.2:62664032..62685316	62664032	62685316	36	33	3	2	5	2	3	0	0	0	0	0	0
collapse	FAM93:LOC115932194	2blocks_gap11215	NC_073247.2:62664032..62685316	62664032	62685316	36	33	3	5	5	2	3	0	0	0	0	0	0
collapse	FAM93:LOC115932194	2blocks_gap11215	NC_073247.2:62664032..62685316	62664032	62685316	36	33	3	10	5	2	3	0	0	0	0	0	0
collapse	FAM93:LOC115932194	2blocks_gap11215	NC_073247.2:62664032..62685316	62664032	62685316	36	33	3	20	5	2	3	0	0	0	0	0	0
collapse	FAM26:NA	2blocks_gap11674	NC_073229.2:49583451..49624707	49583451	49624707	241	240	1	0	3	2	1	0	0	0	1	0	0
collapse	FAM26:NA	2blocks_gap11674	NC_073229.2:49583451..49624707	49583451	49624707	241	240	1	2	3	2	1	0	0	0	1	0	0
collapse	FAM26:NA	2blocks_gap11674	NC_073229.2:49583451..49624707	49583451	49624707	241	240	1	5	3	2	1	0	0	0	1	0	0
collapse	FAM26:NA	2blocks_gap11674	NC_073229.2:49583451..49624707	49583451	49624707	241	240	1	10	3	2	1	0	0	0	1	0	0
collapse	FAM26:NA	2blocks_gap11674	NC_073229.2:49583451..49624707	49583451	49624707	241	240	1	20	3	2	1	0	0	0	1	0	0
collapse	FAM55:NA	2blocks_gap14578	NC_073228.2:182513642..182622585	182513642	182622585	104	90	14	0	20	3	17	0	0	0	0	0	0
collapse	FAM55:NA	2blocks_gap14578	NC_073228.2:182513642..182622585	182513642	182622585	104	90	14	2	20	3	17	0	0	0	0	0	0
collapse	FAM55:NA	2blocks_gap14578	NC_073228.2:182513642..182622585	182513642	182622585	104	90	14	5	20	3	17	0	0	0	0	0	0
collapse	FAM55:NA	2blocks_gap14578	NC_073228.2:182513642..182622585	182513642	182622585	104	90	14	10	20	3	17	0	0	0	0	0	0
collapse	FAM55:NA	2blocks_gap14578	NC_073228.2:182513642..182622585	182513642	182622585	104	90	14	20	20	3	17	0	0	0	0	0	0
collapse	FAM124:LOC101127437	2blocks_gap15066	NC_073224.2:101585057..101607689	101585057	101607689	15	14	1	0	4	3	1	0	0	0	0	0	0
collapse	FAM124:LOC101127437	2blocks_gap15066	NC_073224.2:101585057..101607689	101585057	101607689	15	14	1	2	4	3	1	0	0	0	0	0	0
collapse	FAM124:LOC101127437	2blocks_gap15066	NC_073224.2:101585057..101607689	101585057	101607689	15	14	1	5	4	3	1	0	0	0	0	0	0
collapse	FAM124:LOC101127437	2blocks_gap15066	NC_073224.2:101585057..101607689	101585057	101607689	15	14	1	10	4	3	1	0	0	0	0	0	0
collapse	FAM124:LOC101127437	2blocks_gap15066	NC_073224.2:101585057..101607689	101585057	101607689	15	14	1	20	4	3	1	0	0	0	0	0	0
collapse	FAM105:LOC109029264	2blocks_gap15733	NC_073234.2:24956987..24995089	24956987	24995089	119	114	5	0	10	4	6	0	0	0	0	0	0
collapse	FAM105:LOC109029264	2blocks_gap15733	NC_073234.2:24956987..24995089	24956987	24995089	119	114	5	2	10	4	6	0	0	0	0	0	0
collapse	FAM105:LOC109029264	2blocks_gap15733	NC_073234.2:24956987..24995089	24956987	24995089	119	114	5	5	10	4	6	0	0	0	0	0	0
collapse	FAM105:LOC109029264	2blocks_gap15733	NC_073234.2:24956987..24995089	24956987	24995089	119	114	5	10	10	4	6	0	0	0	0	0	0
collapse	FAM105:LOC109029264	2blocks_gap15733	NC_073234.2:24956987..24995089	24956987	24995089	119	114	5	20	10	4	6	0	0	0	0	0	0
collapse	FAM171:NA	2blocks_gap16945	NC_073239.2:122615409..122635806	122615409	122635806	116	115	1	0	4	2	2	0	0	0	0	0	0
collapse	FAM171:NA	2blocks_gap16945	NC_073239.2:122615409..122635806	122615409	122635806	116	115	1	2	4	2	2	0	0	0	0	0	0
collapse	FAM171:NA	2blocks_gap16945	NC_073239.2:122615409..122635806	122615409	122635806	116	115	1	5	4	2	2	0	0	0	0	0	0
collapse	FAM171:NA	2blocks_gap16945	NC_073239.2:122615409..122635806	122615409	122635806	116	115	1	10	4	2	2	0	0	0	0	0	0
collapse	FAM171:NA	2blocks_gap16945	NC_073239.2:122615409..122635806	122615409	122635806	116	115	1	20	4	2	2	0	0	0	0	0	0
collapse_tandem	FAM102:NA	2blocks_gap2	NC_073229.2:49412576..49433125	49412576	49433125	3217	140	3077	0	3108	7	3101	0	0	0	0	0	0
collapse_tandem	FAM102:NA	2blocks_gap2	NC_073229.2:49412576..49433125	49412576	49433125	3217	140	3077	2	3108	7	3101	0	0	0	0	0	0
collapse_tandem	FAM102:NA	2blocks_gap2	NC_073229.2:49412576..49433125	49412576	49433125	3217	140	3077	5	3107	8	3099	2	0	1	0	1	0
collapse_tandem	FAM102:NA	2blocks_gap2	NC_073229.2:49412576..49433125	49412576	49433125	3217	140	3077	10	3107	8	3099	2	0	1	0	1	0
collapse_tandem	FAM102:NA	2blocks_gap2	NC_073229.2:49412576..49433125	49412576	49433125	3217	140	3077	20	3107	8	3099	2	0	1	0	1	0
collapse_tandem	FAM177:NA	2blocks_gap221	NC_073242.2:6159400..6297099	6159400	6297099	144	99	45	0	56	4	52	0	0	0	1	0	0
collapse_tandem	FAM177:NA	2blocks_gap221	NC_073242.2:6159400..6297099	6159400	6297099	144	99	45	2	56	4	52	0	0	0	1	0	0
collapse_tandem	FAM177:NA	2blocks_gap221	NC_073242.2:6159400..6297099	6159400	6297099	144	99	45	5	56	4	52	0	0	0	1	0	0
collapse_tandem	FAM177:NA	2blocks_gap221	NC_073242.2:6159400..6297099	6159400	6297099	144	99	45	10	56	4	52	0	0	0	1	0	0
collapse_tandem	FAM177:NA	2blocks_gap221	NC_073242.2:6159400..6297099	6159400	6297099	144	99	45	20	56	4	52	0	0	0	1	0	0
collapse_tandem	FAM42:LOC129529768	8blocks_gap644	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	0	8	7	1	0	0	0	1	0	0
collapse_tandem	FAM42:LOC129529768	8blocks_gap644	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	2	8	7	1	0	0	0	1	0	0
collapse_tandem	FAM42:LOC129529768	8blocks_gap644	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	5	8	7	1	0	0	0	1	0	0
collapse_tandem	FAM42:LOC129529768	8blocks_gap644	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	10	8	7	1	0	0	0	1	0	0
collapse_tandem	FAM42:LOC129529768	8blocks_gap644	NC_073247.2:59696701..59789847	59696701	59789847	243	242	1	20	8	7	1	0	0	0	1	0	0
collapse_tandem	FAM1:LOC109025447	7blocks_gap959	NC_073236.2:46642885..52845980	46642885	52845980	1386	1222	164	0	183	8	175	0	0	0	0	0	0
collapse_tandem	FAM1:LOC109025447	7blocks_gap959	NC_073236.2:46642885..52845980	46642885	52845980	1386	1222	164	2	182	7	175	0	0	1	0	0	0
collapse_tandem	FAM1:LOC109025447	7blocks_gap959	NC_073236.2:46642885..52845980	46642885	52845980	1386	1222	164	5	182	7	175	0	0	1	0	0	0
collapse_tandem	FAM1:LOC109025447	7blocks_gap959	NC_073236.2:46642885..52845980	46642885	52845980	1386	1222	164	10	182	7	175	0	0	1	0	0	0
collapse_tandem	FAM1:LOC109025447	7blocks_gap959	NC_073236.2:46642885..52845980	46642885	52845980	1386	1222	164	20	182	7	175	0	0	1	0	0	0
collapse_tandem	FAM161:NA	2blocks_gap1436	NC_073237.2:109453117..109468401	109453117	109468401	52	24	28	0	30	2	28	0	0	0	0	0	0
collapse_tandem	FAM161:NA	2blocks_gap1436	NC_073237.2:109453117..109468401	109453117	109468401	52	24	28	2	30	2	28	0	0	0	0	0	0
collapse_tandem	FAM161:NA	2blocks_gap1436	NC_073237.2:109453117..109468401	109453117	109468401	52	24	28	5	30	2	28	0	0	0	0	0	0
collapse_tandem	FAM161:NA	2blocks_gap1436	NC_073237.2:109453117..109468401	109453117	109468401	52	24	28	10	30	2	28	0	0	0	0	0	0
collapse_tandem	FAM161:NA	2blocks_gap1436	NC_073237.2:109453117..109468401	109453117	109468401	52	24	28	20	30	2	28	0	0	0	0	0	0
collapse_tandem	FAM176:LOC115931067	2blocks_gap2917	NC_073242.2:3790652..3795361	3790652	3795361	8	8	0	0	2	2	0	0	0	0	0	0	0
collapse_tandem	FAM176:LOC115931067	2blocks_gap2917	NC_073242.2:3790652..3795361	3790652	3795361	8	8	0	2	2	2	0	0	0	0	0	0	0
collapse_tandem	FAM176:LOC115931067	2blocks_gap2917	NC_073242.2:3790652..3795361	3790652	3795361	8	8	0	5	2	2	0	0	0	0	0	0	0
collapse_tandem	FAM176:LOC115931067	2blocks_gap2917	NC_073242.2:3790652..3795361	3790652	3795361	8	8	0	10	2	2	0	0	0	0	0	0	0
collapse_tandem	FAM176:LOC115931067	2blocks_gap2917	NC_073242.2:3790652..3795361	3790652	3795361	8	8	0	20	2	2	0	0	0	0	0	0	0
