gene_a	gene_b	dn_a	dn_b	cls	in_dna_loose	n_exon_a	n_exon_b	n_exon_min	stratum	both_single	core_recip	aln_frac	contain_ab	contain_ba	recip_contain	fold
ATP2B3	ATP2B4	DN_NC_073224.2_53012398_21	DN_NC_073247.2_165220768_21	truthbar	0	21	21	21	multi	0	0.3204	0.0000	0.0000	0.0000	0.0000	1
ATP5ME	PDE6B	DN_NC_073227.2_9231816_7	DN_NC_073227.2_9238554_4	genuine	0	7	4	4	multi	0	0.2016	0.3748	0.1429	0.0000	0.0000	3
ATP6V0A2	TCIRG1	DN_NC_073233.2_75965332_20	DN_NC_073234.2_139148650_20	truthbar	0	20	20	20	multi	0	0.1467	0.0000	0.0000	0.0000	0.0000	3
ATP6V1C2	PDIA6	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	TP	1	13	10	10	multi	0	0.3828	0.3800	0.0000	0.1000	0.0000	4
ATP9A	ATP9B	DN_NC_073241.2_108384307_29	DN_NC_073245.2_63862966_28	truthbar	0	29	28	28	multi	0	0.3714	0.0000	0.0000	0.0000	0.0000	1
ATPSCKMT	LOC101133249	DN_NC_073227.2_16860393_3	DN_NC_073243.2_101845354_5	genuine	0	3	5	3	multi	0	0.1790	0.7193	0.3333	0.0000	0.0000	1
AUNIP	MTFR1L	DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	genuine	0	3	7	3	multi	0	0.7245	0.7245	0.3333	0.1429	0.1429	3
B3GAT2	SMAP1	DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	genuine	0	11	4	4	multi	0	0.4622	0.5285	0.1818	0.2500	0.1818	1
B3GNTL1	TBCD	DN_NC_073228.2_8941710_13	DN_NC_073228.2_9043620_39	genuine	0	13	39	13	multi	0	0.5383	0.5360	0.0769	0.0256	0.0256	3
BBIP1	PDCD4	DN_NC_073232.2_123144734_12	DN_NC_073232.2_123171879_4	genuine	0	12	4	4	multi	0	0.6716	0.6716	0.0833	0.2500	0.0833	3
BCR	LOC101132434	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	TP	1	6	15	6	multi	0	0.3002	0.6622	0.1667	0.0667	0.0667	0
BCR	LOC101135843	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22406144_7	TP	1	15	7	7	multi	0	0.2560	0.5649	0.0667	0.1429	0.0667	0
BCR	LOC115932815	DN_NC_086018.1_20765108_15	DN_NC_086018.1_22166696_9	TP	1	15	7	7	multi	0	0.2679	0.5461	0.0667	0.1429	0.0667	0
BEX1	BEX2	DN_NC_073247.2_114842677_3	DN_NC_073247.2_115094764_3	truthbar	0	3	3	3	multi	0	0.3416	0.6782	0.6667	0.6667	0.6667	3
BEX3	BEX5	DN_NC_073247.2_113936318_3	DN_NC_073247.2_115162367_2	truthbar	0	3	2	2	multi	0	0.1691	0.0000	0.0000	0.0000	0.0000	2
BEX3	NXF3	DN_NC_073247.2_114994295_3	DN_NC_073247.2_115162367_2	genuine	0	3	2	2	multi	0	0.1391	0.0000	0.0000	0.0000	0.0000	2
BFAR	LOC101150079	DN_NC_073242.2_32258496_8	DN_NC_073242.2_32495201_8	TP	1	8	8	8	multi	0	0.6357	1.0030	1.0000	1.0000	1.0000	3
BIRC2	BIRC3	DN_NC_073233.2_110213303_8	DN_NC_073233.2_110238282_9	truthbar	0	8	9	8	multi	0	0.2775	0.0000	0.0000	0.0000	0.0000	3
BLID	LOC101154388	DN_NC_073233.2_130017597_2	DN_NC_073233.2_130017597_4	genuine	0	2	4	2	multi	0	0.8713	0.8713	0.5000	0.2500	0.2500	3
BLK	HCK	DN_NC_073231.2_12364354_11	DN_NC_073245.2_44289870_13	truthbar	0	11	13	11	multi	0	0.1480	0.0000	0.0000	0.0000	0.0000	3
BLNK	ZNF518A	DN_NC_073232.2_108425417_2	DN_NC_073232.2_108425608_2	genuine	0	2	2	2	multi	0	0.9746	0.9746	0.5000	0.5000	0.5000	1
BLOC1S6	HMGN2	DN_NC_073224.2_213462039_6	DN_NC_073240.2_46341896_2	genuine	0	6	2	2	multi	0	0.1527	0.4889	0.6667	0.5000	0.5000	3
BMAL1	BTBD10	DN_NC_073233.2_19708960_19	DN_NC_073233.2_19815473_9	genuine	0	19	9	9	multi	0	0.5174	0.5152	0.0526	0.1111	0.0526	3
BMS1	LOC101143777	DN_NC_073232.2_42022900_16	DN_NC_073232.2_72618921_23	genuine	0	16	23	16	multi	0	0.1317	0.3085	0.4375	0.2609	0.2609	0
BMS1	LOC101148457	DN_NC_073232.2_72618921_23	DN_NC_086018.1_19844955_6	genuine	0	23	9	9	multi	0	0.1545	0.4509	0.3478	0.7778	0.3478	0
BMS1	LOC129524676	DN_NC_073232.2_72618921_23	DN_NC_073237.2_22957046_5	genuine	0	23	5	5	multi	0	0.1696	0.2013	0.1739	0.6000	0.1739	0
BMS1	LOC129526479	DN_NC_073232.2_72618921_23	DN_NC_073238.2_29552503_8	genuine	0	23	8	8	multi	0	0.1652	0.3563	0.3478	0.7500	0.3478	0
BMS1	LOC134756761	DN_NC_073232.2_72618921_23	DN_NC_073236.2_30994185_5	genuine	0	23	5	5	multi	0	0.1712	0.2019	0.1739	0.6000	0.1739	0
BRD1	BRPF1	DN_NC_086017.1_19569853_12	DN_NC_086018.1_47820238_12	truthbar	0	12	12	12	multi	0	0.1857	0.0000	0.0000	0.0000	0.0000	3
BRD3	BRD4	DN_NC_073237.2_130396115_12	DN_NC_073244.2_21687258_9	genuine	0	12	9	9	multi	0	0.2222	0.0000	0.0000	0.0000	0.0000	1
BRICD5	MLST8	DN_NC_073242.2_5822452_9	DN_NC_073242.2_5827060_6	genuine	0	9	6	6	multi	0	0.2247	0.3912	0.0000	0.3333	0.0000	3
BTN1A1	BTN2A2	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44179535_6	truthbar	0	8	6	6	multi	0	0.1411	0.0000	0.0000	0.0000	0.0000	1
BTN2A1	BTN2A2	DN_NC_073229.2_44058305_8	DN_NC_073229.2_44135507_8	TP	1	8	8	8	multi	0	0.2455	0.7791	0.8750	0.8750	0.8750	1
BTN3A1	LOC101147830	DN_NC_073229.2_44079934_10	DN_NC_073229.2_44118209_11	truthbar	0	10	10	10	multi	0	0.3390	0.5166	0.1000	0.1000	0.1000	1
BTRC	FBXW11	DN_NC_073228.2_175667319_12	DN_NC_073232.2_113619502_15	truthbar	0	12	15	12	multi	0	0.2124	0.0000	0.0000	0.0000	0.0000	3
BUD31	PTCD1	DN_NC_073230.2_89389986_8	DN_NC_073230.2_89408091_6	genuine	0	8	6	6	multi	0	0.2119	0.2128	0.0000	0.1667	0.0000	1
C10H12orf56	OOEP	DN_NC_073229.2_97456874_3	DN_NC_073234.2_36991193_12	genuine	0	3	12	3	multi	0	0.1816	0.0000	0.0000	0.0000	0.0000	1
C1H1orf146	GLMN	DN_NC_073224.2_147663563_19	DN_NC_073224.2_147715668_5	genuine	0	19	5	5	multi	0	0.5228	0.5228	0.0526	0.2000	0.0526	1
C1H1orf56	CDC42SE1	DN_NC_073224.2_105776266_5	DN_NC_073224.2_105784199_2	genuine	0	5	2	2	multi	0	0.5756	0.5760	0.0000	0.5000	0.0000	1
C3H4orf36	LOC101143448	DN_NC_073227.2_107202270_4	DN_NC_073240.2_21986088_4	genuine	0	4	4	4	multi	0	0.1523	0.3142	0.0000	0.0000	0.0000	0
C3H4orf36	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073227.2_107202270_4	genuine	0	5	4	4	multi	0	0.1370	0.3524	0.2000	0.0000	0.0000	0
C3H4orf36	LOC129533438	DN_NC_073224.2_219630924_4	DN_NC_073227.2_107202270_4	genuine	0	4	4	4	multi	0	0.2038	0.0000	0.0000	0.0000	0.0000	0
C3H4orf36	MINPP1	DN_NC_073227.2_107202270_4	DN_NC_073232.2_99830035_5	genuine	0	4	5	4	multi	0	0.2167	0.2837	0.0000	0.0000	0.0000	0
C3H4orf36	PDCD5	DN_NC_073227.2_107202270_4	DN_NC_073244.2_43610901_6	genuine	0	4	6	4	multi	0	0.1448	0.3707	0.0000	0.1667	0.0000	0
C3H4orf36	SEM1	DN_NC_073227.2_107202270_4	DN_NC_073230.2_92132360_3	genuine	0	4	3	3	multi	0	0.2126	0.3182	0.0000	0.0000	0.0000	0
C3H4orf36	SPC25	DN_NC_073227.2_107202270_4	DN_NC_073235.2_71373985_7	genuine	0	4	7	4	multi	0	0.1654	0.3449	0.0000	0.1429	0.0000	0
C4A	C4B	DN_NC_073229.2_49583451_41	DN_NC_073229.2_49609902_41	TP	1	41	41	41	multi	0	0.9998	1.0000	1.0000	1.0000	1.0000	0
C7H8orf33	LOC129527512	DN_NC_073231.2_150893284_5	DN_NC_073242.2_6296327_3	genuine	0	5	3	3	multi	0	0.2129	0.6145	0.0000	0.3333	0.0000	3
C9H11orf65	LOC101145464	DN_NC_073233.2_116263271_8	DN_NC_073247.2_147586730_5	genuine	0	8	5	5	multi	0	0.1376	0.1934	0.0000	0.0000	0.0000	0
C9H11orf65	LOC109023154	DN_NC_073233.2_116263271_8	DN_NC_073239.2_123333523_2	genuine	0	8	2	2	multi	0	0.1467	0.2176	0.0000	0.0000	0.0000	0
C9H11orf65	LOC109025730	DN_NC_073224.2_123525276_5	DN_NC_073233.2_116263271_8	genuine	0	5	8	5	multi	0	0.2508	0.3517	0.2000	0.0000	0.0000	0
C9H11orf65	PDCD5	DN_NC_073233.2_116263271_8	DN_NC_073244.2_43610901_6	genuine	0	8	6	6	multi	0	0.2665	0.3779	0.0000	0.1667	0.0000	0
C9H11orf65	SPC25	DN_NC_073233.2_116263271_8	DN_NC_073235.2_71373985_7	genuine	0	8	7	7	multi	0	0.2449	0.3515	0.0000	0.1429	0.0000	0
CAB39L	LOC101133249	DN_NC_073227.2_16860393_3	DN_NC_073238.2_63928303_2	genuine	0	3	3	3	multi	0	0.1539	0.0000	0.0000	0.0000	0.0000	1
CACNB1	CACNB3	DN_NC_073228.2_53278878_13	DN_NC_073234.2_52495433_13	truthbar	0	13	13	13	multi	0	0.2270	0.0000	0.0000	0.0000	0.0000	1
CAMK1	CAMK1G	DN_NC_073224.2_47163026_13	DN_NC_086017.1_19588191_12	truthbar	0	13	12	12	multi	0	0.2976	0.0000	0.0000	0.0000	0.0000	1
CAMK2B	CAMK2G	DN_NC_073230.2_52044244_19	DN_NC_073232.2_41878762_20	truthbar	0	19	20	19	multi	0	0.5365	0.0000	0.0000	0.0000	0.0000	1
CAMK2D	CAMK2G	DN_NC_073227.2_133828574_18	DN_NC_073232.2_41878762_20	truthbar	0	18	20	18	multi	0	0.2228	0.0000	0.0000	0.0000	0.0000	1
CAND2	RPL32	DN_NC_086017.1_22612673_15	DN_NC_086017.1_22648299_4	genuine	0	15	4	4	multi	0	0.4415	0.4415	0.0667	0.0000	0.0000	3
