family_id	n_genes	genes
FAM10	27	IGSF3,LOC129524653,LOC129524658,LOC129524663,LOC129524664,LOC129524670,LOC129526379,LOC129528193,LOC129528440,LOC129528444,LOC129528449,LOC129528455,LOC129528459,LOC129528464,LOC129528466,LOC129528469,LOC129529381,LOC129529384,LOC129529387,LOC129529647,LOC129530382,LOC129530464,LOC129530486,LOC129530497,LOC129530543,LOC129530565,LOC134757055
FAM11	26	ANKRD18A,ANKRD18B,EIF1AX,LOC101125723,LOC101134651,LOC101137900,LOC101142783,LOC101147259,LOC101149535,LOC101152675,LOC109024803,LOC109028262,LOC115931858,LOC115932905,LOC115933254,LOC115935851,LOC115935870,LOC129524455,LOC129524570,LOC129526400,LOC129526551,LOC129526554,LOC129530234,LOC129531486,LOC129531862,LOC134757039
FAM12	26	LOC101124387,LOC101125151,LOC101127555,LOC101127811,LOC101135138,LOC101137179,LOC101139294,LOC101139366,LOC101140340,LOC101144515,LOC101147117,LOC101151494,LOC101152412,LOC101153289,LOC101153588,LOC101154144,LOC101154368,LOC115932777,LOC115933479,LOC129525115,LOC129526222,LOC129529189,LOC134758505,PPIA,PPIAL4H,TMEM42
FAM13	25	LOC101140852,LOC129526352,LOC129526367,LOC129526370,LOC129526371,LOC129526372,LOC129526373,LOC129526452,LOC129526455,LOC129526457,LOC129526458,LOC129526459,LOC129526460,LOC129526461,LOC129526462,LOC129526463,LOC129526467,LOC134757062,LOC134757063,LOC134757064,LOC134757065,LOC134757066,LOC134757067,LOC134757068,LOC134757069
FAM14	23	ELOA2,LOC129528410,LOC129528411,LOC129528412,LOC129528414,LOC129528415,LOC129528416,LOC129528417,LOC129528418,LOC129528419,LOC129528420,LOC129528421,LOC129528422,LOC129528423,LOC129528424,LOC129528426,LOC129528427,LOC129528428,LOC129528429,LOC129528430,LOC129528431,LOC134756367,LOC134757035
FAM15	23	C3H4orf36,DNM1,KLHL33,LOC101139359,LOC101139904,LOC101140074,LOC101140427,LOC101145464,LOC109023367,LOC109023457,LOC115930774,LOC115930789,LOC115930826,LOC115932143,LOC115932144,LOC115932146,LOC129527019,LOC134756434,LOC134757308,LOC134759152,PARP15,SLC9A4,SPC25
FAM16	22	LOC101132593,LOC101133389,LOC101139171,LOC101149363,LOC101150678,LOC101151050,LOC101153918,LOC115930772,LOC115930779,LOC115930818,LOC115930844,LOC129527017,LOC129527021,LOC129527057,LOC129527071,LOC129527170,LOC129527171,LOC129527175,LOC129527176,LOC134757232,LOC134757233,LOC134757307
FAM17	21	LOC129523739,LOC129523820,LOC129523993,LOC129524832,LOC129525067,LOC129525416,LOC129525576,LOC129525765,LOC129526566,LOC129527430,LOC129527885,LOC129528382,LOC129528750,LOC129531752,LOC129532626,LOC129532807,LOC129532980,LOC129534555,LOC134756370,LOC134756371,MORN5
FAM18	21	LOC101124572,LOC101124938,LOC101125304,LOC101125671,LOC101126269,LOC101126623,LOC101126985,LOC101127721,LOC101131917,LOC101133914,LOC101134211,LOC101153373,LOC109023582,LOC109023678,LOC109024112,LOC115931107,LOC129523465,LOC129527364,LOC134758274,MT1HL1,MT3
FAM19	21	DOC2B,LOC101142376,LOC115930119,LOC115933091,LOC115933182,LOC115933194,LOC115933227,LOC115933239,LOC129523819,LOC129524034,LOC129525066,LOC129525174,LOC129525554,LOC129525684,LOC129526565,LOC129526909,LOC129527884,LOC129532712,LOC129532956,LOC134756358,LOC134757295
FAM20	20	LOC101138466,LOC101144003,LOC101144371,LOC101144999,LOC101145725,LOC101146902,LOC101150863,LOC101151592,LOC101152310,LOC101153753,LOC115931091,LOC115932946,LOC115933009,LOC115933279,LOC129533087,LOC134758527,LOC134758536,LOC134759254,PRAMEF17,PRAMEF19
FAM21	19	LOC101125737,LOC101131274,LOC101135585,LOC101147747,LOC109029488,LOC115930164,LOC115930576,LOC115932735,LOC115932984,LOC115933235,LOC115933275,LOC115934004,LOC129525191,LOC129525330,LOC129525331,LOC129525599,LOC129525691,LOC134756448,LOC134756861
FAM22	19	LOC101130023,LOC101133546,LOC101151324,LOC101152401,LOC101153131,LOC109024170,LOC109024216,LOC115931654,ZNF28,ZNF468,ZNF578,ZNF600,ZNF611,ZNF701,ZNF761,ZNF808,ZNF813,ZNF860,ZNF888
FAM23	18	H1-4,LOC101123860,LOC101125134,LOC101130985,LOC101132256,LOC101132414,LOC101132614,LOC101135182,LOC101135184,LOC101136632,LOC101140761,LOC101142132,LOC101143962,LOC101150640,LOC109024886,LOC109027306,LOC115934934,LOC129534207
FAM24	17	IFNA2,IFNA21,IFNA6,IFNA8,LOC101138981,LOC101139336,LOC101139713,LOC101140412,LOC101141543,LOC101142673,LOC115935827,LOC115935829,LOC115935831,LOC115935832,LOC115935833,LOC115935834,LOC134756937
FAM25	17	LOC101126684,LOC101137537,LOC101137833,LOC101138851,LOC101141290,LOC101144435,LOC101151538,LOC101152491,LOC109024489,LOC115933486,LOC129524776,LOC129527811,LOC129530113,LOC129533959,LOC129534659,LOC134757331,RPL21
FAM26	17	FRG1,LOC101142904,LOC101144369,LOC115933219,LOC129524675,LOC129526395,LOC129526409,LOC129526550,LOC129527278,LOC129528236,LOC129529220,LOC129529294,LOC129529430,LOC129529434,LOC129530429,LOC129530552,LOC129532222
FAM27	17	GGT1,GGTLC1,GGTLC2,LOC101149759,LOC109024567,LOC109024570,LOC129523490,LOC129524426,LOC129524657,LOC129528175,LOC129529427,LOC129529588,LOC129529621,LOC129529623,LOC129529624,LOC134756364,LOC134756365
FAM28	17	HMGN2,LOC101126607,LOC101127689,LOC101130226,LOC101133298,LOC101137804,LOC101140345,LOC101140615,LOC101141058,LOC101148869,LOC101153591,LOC109023133,LOC109027238,LOC115934990,LOC115935862,LOC129531477,LOC129532770
FAM29	17	LOC101125318,LOC101125684,LOC101126280,LOC101126997,LOC101127374,LOC101145202,LOC101146984,LOC115934657,PCDHB11,PCDHB12,PCDHB14,PCDHB15,PCDHB16,PCDHB2,PCDHB5,PCDHB8,PCDHB9
FAM30	16	LOC101125311,LOC101125558,LOC101133404,LOC101144080,LOC101151653,LOC115933306,LOC115934575,LOC115934662,LOC129533458,LOC129533792,LOC129533797,LOC129533806,LOC129533808,LOC129533813,USP32,USP6
FAM31	16	LOC101128221,LOC101129998,LOC101134912,LOC101135276,LOC109023634,LOC115931069,LOC115931075,LOC115932701,LOC129527585,LOC129527586,LOC129527695,LOC129527696,LOC129527723,LOC129527726,PDXDC1,SMG1
FAM32	16	EIF3F,LOC101141213,LOC115932761,LOC129524668,LOC129529383,LOC129529649,LOC129530380,LOC129530488,LOC129530568,LOC129531742,LOC134756925,LOC134757073,LOC134757392,LOC134757413,LOC134757414,LOC134757415
FAM33	16	LOC101135574,LOC101136299,LOC101137030,LOC101140413,LOC101141178,LOC101152064,LOC115932322,LOC115932374,LOC115932783,LOC115932784,LOC129529678,LOC129530061,LOC129530062,LOC129530063,LOC129530067,LOC129530069
FAM34	16	LCE1B,LCE2A,LCE2D,LCE3A,LCE3B,LCE3C,LCE3D,LCE4A,LCE5A,LOC101149788,LOC101151609,LOC101151968,LOC101154124,LOC109029323,LOC109029442,LOC115934023
FAM35	15	LOC101129569,LOC101144823,LOC101149491,LOC109023877,LOC115931276,LOC115931970,LOC115931980,LOC115932887,LOC129527970,LOC129529598,LOC129529612,LOC129529613,LOC129529614,LOC134757612,LOC134758421
FAM36	15	LOC101142993,LOC101143315,LOC101146216,LOC109025589,LOC109027258,LOC109028392,LOC115931078,LOC115931082,LOC115931086,LOC115931087,LOC115935612,LOC115935789,LOC115935839,LOC129524434,NPAP1L
FAM37	15	LOC101123911,LOC101125738,LOC101126098,LOC101127003,LOC101127738,LOC101129166,LOC101131885,LOC101133882,LOC101136257,LOC101138472,LOC101139558,LOC101141136,LOC101141751,LOC101151967,LOC109023047
FAM38	15	ACTA1,ACTB,ACTG1,ACTG2,LOC101139634,LOC101140864,LOC101150071,LOC101152821,LOC115933751,LOC115933765,LOC129524584,LOC129527231,LOC129532087,LOC134757302,POTEA
FAM39	14	LOC101131333,LOC101131675,LOC101132032,LOC101135404,LOC101135994,LOC101136363,LOC101136718,LOC101137823,LOC109026844,LOC115934664,LOC129523541,LOC129533766,LOC129533767,LOC129533768
FAM40	14	LOC101142515,LOC129524138,LOC129525442,LOC129527457,LOC129528989,LOC129529096,LOC129529378,LOC129529932,LOC129532991,LOC129533139,LOC134757770,LOC134758469,LOC134758556,LOC134759048
FAM41	14	CDK2AP2,LOC109028351,LOC115932907,LOC115932939,LOC129526375,LOC129526401,LOC129526552,LOC129526976,LOC129527275,LOC129529333,LOC129529548,LOC129529639,LOC129531947,LOC134757038
FAM42	14	LOC101146552,LOC101150488,LOC115930113,LOC115932888,LOC115932944,LOC115932965,LOC115933122,LOC115933180,LOC115933244,LOC129525038,LOC129533091,LOC134758535,PRAMEF12,PRAMEF20
FAM43	14	LOC101129892,LOC101130286,LOC101133796,LOC101138009,LOC101141346,LOC101143299,LOC101144988,LOC101145780,LOC101146854,LOC101151078,LOC101152650,LOC109023669,LOC134756773,RPS26
FAM44	13	BCR,GGT5,LOC101126655,LOC101126658,LOC101132434,LOC101135843,LOC115931971,LOC115931972,LOC115932815,LOC115932925,LOC129529581,LOC129529600,LOC129529618
FAM45	13	LOC101132076,LOC101132445,LOC129529765,LOC129529767,LOC129529768,LOC129529769,LOC129529770,LOC129529771,LOC129529773,LOC129529774,LOC129529775,LOC129529807,PAGE1
FAM46	13	LOC129530238,LOC129530239,LOC129530240,LOC129530241,LOC129530242,LOC129530243,LOC129530249,LOC129530256,LOC129530259,LOC129530261,LOC129530264,LOC129530266,LOC129530267
FAM47	12	LOC101124042,LOC101138016,LOC101145738,LOC101146458,LOC101149329,LOC101151378,LOC101153544,LOC115932790,LOC115932791,LOC129523488,LOC129525445,TRIM51
FAM48	12	LOC101129170,LOC101135431,LOC101146129,LOC101152462,LOC109023149,LOC109025909,LOC115932158,LOC115933428,LOC129524120,LOC129526136,LOC129526436,LOC129527250
FAM49	12	LOC101123958,LOC101130079,LOC101130686,LOC101138859,LOC101142220,LOC101145104,LOC101148649,LOC101154352,LOC109024647,LOC115930187,LOC129528351,RPSA
FAM50	11	MIR515-1,MIR515-2,MIR518C,MIR518F,MIR519A-1,MIR519A-2,MIR519C-1,MIR519E,MIR521,MIR522,MIR523
FAM51	11	KMT5A,LOC101134637,LOC129526378,LOC129528161,LOC129529284,LOC129529286,LOC129529426,LOC129530289,LOC129530468,LOC129530502,LOC134756700
FAM52	11	LOC101126577,LOC101137478,LOC101142804,LOC101146120,LOC101151037,LOC101151121,LOC101153405,LOC109028360,LOC115931577,LOC129534058,RPS2
FAM53	11	LILRA2,LILRA4,LILRA5,LILRB2,LILRB3,LILRB4,LOC101152160,LOC109024105,LOC129528682,LOC129528683,LOC129528684
FAM54	11	LOC101123774,LOC101129492,LOC101129567,LOC101141087,LOC101152273,LOC101152815,LOC109026425,LOC109028007,LOC129525277,LOC129526900,RPL23A
FAM55	11	LOC101125376,LOC101129231,LOC101130806,LOC101133427,LOC101143702,LOC101147931,LOC101152497,LOC134757904,LOC134759033,RPL36A,RPL36AL
FAM56	11	LOC101125081,LOC101131674,LOC101153430,LOC109025051,LOC115935411,LOC129523454,LOC129534300,TUBB2A,TUBB4A,TUBB4B,TUBB8
FAM57	11	LOC101140029,LOC101146227,LOC109023795,LOC109024093,LOC109025290,LOC109029139,LOC129525323,LOC129529164,LOC129532266,RPL39,RPL39L
FAM58	10	LOC101124756,LOC101125118,LOC115932226,LOC115932251,LOC115932289,LOC115932294,LOC115932301,LOC129529693,LOC129529694,LOC129529695
FAM59	10	LOC101133864,LOC101150435,LOC101152267,LOC109026322,LOC115930210,LOC115931286,LOC129525654,LOC129527576,RPL7,ZNF589
FAM60	10	LOC101136353,LOC115931212,LOC115931242,LOC129532026,LOC129534585,LOC129534593,LOC129534707,LOC134757776,LOC134757815,SPTBN5
FAM61	10	LOC101143578,LOC115930101,LOC115931046,LOC115931047,LOC115931110,LOC115932641,LOC134757470,SULT1A2,SULT1A3,XPO6
FAM62	10	LOC101126792,LOC101127159,LOC129526469,LOC129526568,LOC129526569,LOC129527191,LOC129527198,LOC129529391,LOC129529652,MYO5B
FAM63	10	LOC101137661,LOC115930170,LOC115933339,LOC115933340,LOC115933773,LOC129533805,LOC129533809,LOC129533810,NF1,YWHAE
FAM64	10	LOC101128092,LOC101135168,LOC101143223,LOC101144084,LOC101151425,LOC109026815,LOC109026918,LOC115933002,LOC115934626,LRRC37A3
FAM65	10	AP3B1,LOC101146405,LOC101147491,LOC115932769,LOC115932795,LOC115932918,LOC115935266,LOC115935415,LOC129523857,LOC129534752
FAM66	10	LOC101125084,LOC101126027,LOC101131421,LOC101132158,LOC101132832,LOC101137471,LOC109027152,LOC109028868,LOC115930093,RPS27
FAM67	10	LOC129532044,LOC129532101,LOC129532194,LOC129532195,LOC129532196,LOC129532197,LOC129532198,LOC129532199,LOC129532200,LOC129532201
FAM68	10	LOC101136522,LOC101137607,LOC101139086,LOC101139701,LOC109024494,LOC109024495,LOC109024496,LOC109024497,LOC115931850,LOC129529257
FAM69	9	LOC101123746,LOC115936187,LOC129534073,LOC129534074,LOC129534075,LOC129534219,ZC3H11A,ZC3H11B,ZC3H11C
FAM70	9	LOC101140047,LOC101151343,LOC101153153,LOC109024635,LOC115930107,LOC115930166,LOC129523569,LOC129529923,SSX4
FAM71	9	LOC101129469,LOC101142817,LOC109023253,LOC109026093,LOC115930181,LOC115933483,LOC115935008,LOC115935586,PTMA
FAM72	9	LOC101141135,LOC101141507,LOC115931595,LOC115931596,LOC115931597,LOC115931598,LOC115931599,LOC115931624,MBD3L3
FAM73	9	LGALS8,LOC101130728,LOC129523520,LOC129527105,LOC129529234,LOC129531983,LOC134756437,LOC134758712,LOC134758754
FAM74	9	BLNK,LOC101134365,LOC101135462,LOC101137437,LOC101152176,LOC115935247,LOC129533589,LOC134756550,NPM1
FAM75	9	LOC101126442,LOC101127166,LOC101129521,LOC101137306,LOC101141368,LOC101146784,LOC115930192,LOC115935032,RPL17
FAM76	9	EEF2KMT,LOC101125415,LOC101128260,LOC101130354,LOC101133440,LOC101139163,LOC101152938,LOC115934341,LOC134756549
FAM77	9	LOC101125185,LOC101135885,LOC101137457,LOC101142361,LOC101143804,LOC101152626,LOC109023896,LOC109024079,RPL29
FAM78	9	LOC101141279,LOC101142134,LOC101142998,LOC101143108,LOC101143844,LOC101153360,LOC115930068,LOC134758727,MHC-G
FAM79	9	LOC129524018,LOC129525410,LOC129525551,LOC129529643,LOC129531557,LOC134757201,LOC134757204,LOC134759140,LOC134759213
FAM80	8	LOC101151087,LOC109024957,LOC129528711,LOC129528712,LOC129528713,LOC129528714,LOC129528715,RFPL4A
FAM81	8	LOC115932756,LOC115932954,LOC129523503,LOC129526389,LOC134756368,LOC134756753,LRPAP1,XRCC2
FAM82	8	LOC101131398,LOC115932622,LOC115932623,LOC115932624,LOC115936205,LOC115936287,LOC134759324,SSU72L6
FAM83	8	LOC101128796,LOC129529247,LOC129531977,LOC129532032,LOC129532055,LOC134758715,LOC134758759,MAPKBP1
FAM84	8	ANKRD30A,LOC101152383,LOC115933107,LOC115933177,LOC115933399,LOC115933525,LOC115936021,LOC129526428
FAM85	8	HMGN1,LOC101127181,LOC101127907,LOC101127980,LOC101140002,LOC101151349,LOC101154501,LOC129531710
FAM86	8	IFITM1,IFITM2,LOC101128980,LOC101143671,LOC101150658,LOC101151759,LOC101152182,LOC109026657
FAM87	8	KIR2DL4,LOC101128484,LOC115930123,LOC115931563,LOC115931566,LOC115933440,LOC115933447,LOC129528686
FAM88	8	LOC101135156,LOC101139531,LOC101140616,LOC109026641,LOC115934311,UGT2B15,UGT2B17,UGT2B4
FAM89	8	LOC101127099,LOC101127473,LOC101127832,LOC101131786,LOC109026114,LOC109026182,LOC115934050,LOC134758073
FAM90	8	LOC101129659,LOC101137094,LOC101137446,LOC101138200,LOC101143221,LOC101143583,LOC101143949,LOC109023073
FAM91	7	LOC101144253,LOC101150259,LOC109025440,LOC115930095,LOC115935779,LOC115935781,LOC129523482
FAM92	7	GOLGA6L7,LOC101137218,LOC101138059,LOC101153208,LOC115931294,LOC115933515,LOC134757625
FAM93	7	LOC129529976,LOC129529978,LOC129529983,LOC129529986,MAGEA1,MAGEA12,MAGEA4
FAM94	7	LOC129523909,LOC129523910,LOC129523911,LOC129523912,LOC129523913,LOC129523914,LOC129523915
FAM95	7	LOC101150816,LOC115931245,LOC115931259,LOC115931279,LOC134757614,LOC134757616,LOC134757617
FAM96	7	GH1,LOC101125803,LOC101126399,LOC101126984,LOC115934631,LOC115934632,LOC134756429
FAM97	7	LOC101131725,LOC101147225,LOC109025001,LOC115931637,LOC129530591,LOC134757034,SNRPE
FAM98	7	ABHD17A,LOC101125106,LOC109028905,LOC115932812,LOC115933037,LOC129530229,LOC129531439
FAM99	7	GCC2,LOC101131768,LOC101136692,LOC109025447,LOC129531666,LOC129531667,RGPD8
FAM100	7	CXADR,LOC101135203,LOC115933423,LOC129526137,LOC129527066,LOC129527232,LOC129527244
FAM101	7	LOC101123985,LOC101134038,LOC109025982,LOC109028157,LOC134756791,RPL10,RPL10L
FAM102	7	LOC101126097,LOC101130554,LOC109025744,LOC109028615,LOC129525646,LOC129525722,LOC134756922
FAM103	7	CTSV,LOC101143280,LOC101143887,LOC101145975,LOC101148827,LOC115935969,LOC129523464
FAM104	7	LOC101140422,LOC101144947,LOC109026515,LOC109027584,LOC115933990,TMA7,TMA7B
FAM105	7	KRT16,LOC101124577,LOC101134688,LOC101145065,LOC101149133,LOC115932653,LOC115932656
FAM106	7	AKR1C3,LOC101146324,LOC101148343,LOC115936027,LOC134756508,LOC134758974,TMED9
FAM107	7	KRT3,KRT5,KRT6A,KRT6C,KRT75,KRT76,LOC101136938
FAM108	7	LOC101124540,LOC101127632,LOC101136829,LOC101141118,LOC101147142,LOC101152433,RPL31
FAM109	7	LOC101148684,LOC101151677,LOC101152035,LOC101152643,LOC101153366,LOC109027180,LOC115934984
