family_id	dominant_gene	n_protein_families	is_impure	oracle_mapped	oracle_fp	oracle_cls	fp_score	fp_score_oof	n_members	n_genes	distinct_loci	n_edges	edge_density	max_degree	mean_degree	clustering	n_communities	fiedler	mincut	frac_in_giant	n_seqclust_hi	loci_per_seqclust	mem_per_seqclust	loci_per_comm	loci_per_gene	mem_per_locus	max_mult	med_mult	max_min_mult	frac_repeat_bridged	frac_ge_gate	genes
48	ZNF92	0	0	0	0		0.00038	0.00028	41	34	35	799	0.974390243902439	40	38.97560975609756	0.9757799916789572	4	7.585152451443514	7.564399999999999	1.0	8	4.375	5.125	8.75	1.0294117647058822	1.1714285714285715	503	130.0	14	0.13005050505050506	0.0	LOC101123988;LOC101128844;LOC101129171;LOC101133668;LOC101136009;LOC101137462;LOC101141027;LOC101142646;LOC101144838;LOC101145945;LOC101146634;LOC101147715;LOC101153126;LOC115930172;LOC115931567;LOC115931568;LOC115931576;LOC129527827;LOC129528947;ZNF254;ZNF273;ZNF429;ZNF43;ZNF430;ZNF486;ZNF506;ZNF626;ZNF675;ZNF678;ZNF680;ZNF681;ZNF723;ZNF91;ZNF92
49	CHIT1	1	0	0	0		0.11299	0.12791	2	2	2	1	1.0	1	1.0	0.0	1	0.9428	0.4714	1.0	2	1.0	1.0	2.0	1.0	1.0	7	7	2	0.0	0.0	ADORA1;CHIT1
50	LOC101144634	1	0	0	0		0.09303	0.09501	2	2	2	1	1.0	1	1.0	0.0	1	2.0	1.0	1.0	1	2.0	2.0	2.0	1.0	1.0	12	12	2	0.0	0.0	LOC101144634;LOC115930073
51	NEK7	1	0	0	0		0.01093	0.01055	2	1	2	1	1.0	1	1.0	0.0	1	1.7534	0.8767	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	NEK7
52	LOC101141950	0	0	0	0		0.01498	0.01349	2	1	2	1	1.0	1	1.0	0.0	1	0.4626	0.2313	1.0	2	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LOC101141950
53	LOC101124243	1	0	0	0		0.14233	0.14862	2	2	2	1	1.0	1	1.0	0.0	1	1.0196	0.5098	1.0	1	2.0	2.0	2.0	1.0	1.0	503	503	2	0.0	0.0	LOC101124243;NOM1
54	NMNAT2	1	0	0	0		0.01192	0.01467	2	1	2	1	1.0	1	1.0	0.0	1	0.9896	0.4948	1.0	2	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	NMNAT2
55	LOC101124778	0	0	0	0		0.05437	0.06477	3	1	2	2	0.6666666666666666	2	1.3333333333333333	0.0	1	0.20763139641012138	0.1451	1.0	2	1.0	1.5	2.0	2.0	1.5	0	0	0	0.0	0.0	LOC101124778
56	FCGR2B	1	0	0	0		0.1328	0.13891	2	2	2	1	1.0	1	1.0	0.0	1	0.5242	0.2621	1.0	2	1.0	1.0	2.0	1.0	1.0	3	3	2	0.0	0.0	FCGR2A;FCGR2B
57	SMYD3	6	1	0	0		0.92536	0.96352	9	8	9	10	0.2777777777777778	8	2.2222222222222223	0.45238095238095233	2	0.13953362867421298	0.1361	1.0	9	1.0	1.0	4.5	1.125	1.0	497	281.0	10	1.0	0.0	DCP1B;KLHL33;LOC109028669;LOC129530131;LOC134756589;SLC11A2;SMYD3;TSPAN8
58	DEDD	2	1	0	0		0.12362	0.11891	2	2	2	1	1.0	1	1.0	0.0	1	1.387	0.6935	1.0	1	2.0	2.0	2.0	1.0	1.0	497	497	2	0.0	0.0	DEDD;NIT1
59	LOC115930226	1	0	0	0		0.12372	0.12696	2	2	2	1	1.0	1	1.0	0.0	1	1.2732	0.6366	1.0	1	2.0	2.0	2.0	1.0	1.0	3	3	2	0.0	0.0	LOC101146454;LOC115930226
60	ATP1A2	1	0	0	0		0.11613	0.07976	2	2	2	1	1.0	1	1.0	0.0	1	0.8718	0.4359	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	ATP1A2;ATP1A3
61	LOC101138011	1	0	0	0		0.53672	0.56003	3	3	3	2	0.6666666666666666	2	1.3333333333333333	0.0	1	0.40646509495770505	0.3253	1.0	2	1.5	1.5	3.0	1.0	1.0	3	3.0	2	0.0	0.0	LOC101138011;LOC109025084;LOC129528550
62	ANTXR2	1	0	0	0		0.01096	0.01036	2	1	2	1	1.0	1	1.0	0.0	1	1.7462	0.8731	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	ANTXR2
63	HELQ	0	0	0	0		0.01442	0.01377	2	1	2	1	1.0	1	1.0	0.0	1	0.5502	0.2751	1.0	2	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	HELQ
64	C3H4orf36	4	1	0	0		0.86019	0.865	10	7	10	12	0.26666666666666666	6	2.4	0.19666666666666666	3	0.08098666285080856	0.1436	1.0	10	1.0	1.0	3.3333333333333335	1.4285714285714286	1.0	65	65	6	0.3333333333333333	0.0	C3H4orf36;DLD;EPPIN;LOC101145464;MMP24OS;NDUFAF2;SEM1
65	LOC129532854	0	0	0	0		0.59118	0.66506	7	5	7	11	0.5238095238095238	5	3.142857142857143	0.7238095238095238	2	0.17408261199072386	0.2981	1.0	7	1.0	1.0	3.5	1.4	1.0	28	28.0	8	0.5	0.0	LOC109023261;LOC109029389;LOC129526123;LOC129532145;LOC129532854
66	ADH1B	1	0	0	0		0.12397	0.08618	2	2	2	1	1.0	1	1.0	0.0	1	0.7036	0.3518	1.0	2	1.0	1.0	2.0	1.0	1.0	5	5	2	0.0	0.0	ADH1B;LOC101136823
67	DOK7	1	0	0	0		0.1134	0.12866	2	2	2	1	1.0	1	1.0	0.0	1	0.9328	0.4664	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	DOK7;LOC115933190
68	XRCC2	1	0	1	0		0.37879	0.51172	12	11	11	47	0.7121212121212122	11	7.833333333333333	0.897053872053872	2	0.8158505349744078	1.762	1.0	4	2.75	3.0	5.5	1.0	1.0909090909090908	503	351.0	6	0.2826086956521739	0.0	LOC115932756;LOC115932954;LOC115933156;LOC129523503;LOC129523574;LOC129526389;LOC129530227;LOC134756368;LOC134756753;LRPAP1;XRCC2
69	LOC129532907	2	1	0	0		0.68583	0.55111	9	8	9	19	0.5277777777777778	8	4.222222222222222	0.8132275132275132	2	0.30769433877921376	0.3015	1.0	8	1.125	1.125	4.5	1.125	1.0	426	59.0	14	0.4	0.0	KLHL3;L2HGDH;LOC101137734;LOC129527528;LOC129532907;LOC134756955;ORC4;SLC38A6
70	BBS12	0	0	0	0		0.01031	0.0148	2	1	2	1	1.0	1	1.0	0.0	1	1.887	0.9435	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	BBS12
71	FGF2	1	0	0	0		0.1175	0.13387	2	2	2	1	1.0	1	1.0	0.0	1	0.8416	0.4208	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	FGF2;NUDT6
72	LOC129533004	1	0	0	0		0.08135	0.07927	6	2	5	7	0.4666666666666667	5	2.3333333333333335	0.7000000000000001	2	0.1399216137310041	0.1457	1.0	5	1.0	1.2	2.5	2.5	1.2	0	0	0	0.0	0.0	LOC101150644;LOC129533004
73	CRMP1	1	0	0	0		0.12438	0.14239	2	2	2	1	1.0	1	1.0	0.0	1	0.6956	0.3478	1.0	2	1.0	1.0	2.0	1.0	1.0	7	7	2	0.0	0.0	CRMP1;EVC
74	LOC101133249	0	0	0	0		0.2938	0.40104	11	5	11	16	0.2909090909090909	9	2.909090909090909	0.5909090909090909	4	0.07697613163725443	0.1623	1.0	10	1.1	1.1	2.75	2.2	1.0	12	11	3	0.0	0.0	CAPS2;LOC101133249;LOC101150995;LOC109026441;RAPH1
75	TMEM128	2	1	0	0		0.65352	0.56765	7	6	6	13	0.6190476190476191	6	3.7142857142857144	0.9238095238095239	2	0.44404511894728826	0.8922	1.0	2	3.0	3.5	3.0	1.0	1.1666666666666667	41	7.0	4	0.0	0.0	KMT2C;LOC129526385;LOC129526398;LOC129526957;LOC134757216;TMEM128
76	LOC101125415	1	0	0	0		0.07227	0.08541	7	7	7	21	1.0	6	6.0	1.0	1	1.754590199872329	1.5801	1.0	7	1.0	1.0	7.0	1.0	1.0	8	8	3	0.0	0.0	EEF2KMT;LOC101125415;LOC101133440;LOC101137806;LOC101139163;LOC101152938;LOC115934341
77	ETFDH	0	0	0	0		0.12565	0.10828	2	2	2	1	1.0	1	1.0	0.0	1	0.7812	0.3906	1.0	2	1.0	1.0	2.0	1.0	1.0	503	503	2	0.0	0.0	ETFDH;PPID
78	FRG1	1	0	1	0		0.76209	0.81606	11	10	11	30	0.5454545454545454	9	5.454545454545454	0.7046897546897547	3	0.29319327611337287	0.2939	1.0	9	1.2222222222222223	1.2222222222222223	3.6666666666666665	1.1	1.0	497	11.5	4	0.0	0.0	FRG1;LOC115933219;LOC129526395;LOC129526550;LOC129526557;LOC129527278;LOC129530429;LOC129531431;LOC129532222;LOC129532224
79	LOC129532808	3	1	1	0		0.77039	0.95536	16	16	16	114	0.95	15	14.25	0.9678571428571429	2	2.532791416949119	2.5953	1.0	1	16.0	16.0	8.0	1.0	1.0	503	16.0	11	0.6929824561403509	0.0	LOC129523822;LOC129525064;LOC129525175;LOC129527285;LOC129527429;LOC129528751;LOC129531751;LOC129532625;LOC129532709;LOC129532808;LOC129533287;LOC129534552;LOC134756415;LOC134757299;LOC134759133;NDUFA8
80	LOC129532807	1	0	1	0		0.13494	0.14346	3	3	3	3	1.0	2	2.0	1.0	1	2.663699999999999	1.7758	1.0	1	3.0	3.0	3.0	1.0	1.0	169	169	2	0.0	0.0	LOC129526566;LOC129531752;LOC129532807
81	LOC134758386	0	0	1	0		0.1211	0.12396	2	2	2	1	1.0	1	1.0	0.0	1	1.4416	0.7208	1.0	1	2.0	2.0	2.0	1.0	1.0	503	503	2	0.0	0.0	LOC129526855;LOC134758386
82	LOC129523511	1	0	1	0		0.13781	0.13365	5	5	5	10	1.0	4	4.0	1.0	1	1.6158059811097407	1.3096999999999999	1.0	2	2.5	2.5	5.0	1.0	1.0	497	497.0	3	0.0	0.0	LOC101142457;LOC129523511;LOC134756389;RABL2A;RABL2B
83	FAM200A	1	0	0	0		0.07052	0.10733	6	2	2	11	0.7333333333333333	5	3.6666666666666665	0.7666666666666666	2	0.6472778481547315	0.6943	1.0	1	2.0	6.0	1.0	1.0	3.0	2	2.0	2	0.0	0.0	FAM200A;LOC101145047
84	LCORL	0	0	0	0		0.01207	0.01122	2	1	2	1	1.0	1	1.0	0.0	1	1.5254	0.7627	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LCORL
85	LOC101132889	1	0	0	0		0.01066	0.01012	2	1	2	1	1.0	1	1.0	0.0	1	1.8106	0.9053	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LOC101132889
86	LOC129532904	0	0	0	0		0.01632	0.01979	2	1	2	1	1.0	1	1.0	0.0	1	0.2656	0.1328	1.0	2	1.0	1.0	2.0	2.0	1.0	0	0	0	0.0	0.0	LOC129532904
87	LOC109028376	1	0	0	0		0.1735	0.21704	14	6	7	43	0.4725274725274725	13	6.142857142857143	0.7470870399441828	3	0.3638519497665393	0.3632	1.0	7	1.0	2.0	2.3333333333333335	1.1666666666666667	2.0	503	7	3	0.0	0.0	LOC101150774;LOC109028376;LOC115934025;LOC129527656;LOC134757969;PGM3
88	RPL9	1	0	0	0		0.12669	0.14172	2	2	2	1	1.0	1	1.0	0.0	1	1.2118	0.6059	1.0	1	2.0	2.0	2.0	1.0	1.0	3	3	2	0.0	0.0	RPL9;TIPIN
89	DCAF4L1	1	0	0	0		0.11406	0.07796	2	2	2	1	1.0	1	1.0	0.0	1	0.9174	0.4587	1.0	2	1.0	1.0	2.0	1.0	1.0	2	2	2	0.0	0.0	DCAF4;DCAF4L1
90	LNX1	1	0	0	0		0.1158	0.12274	2	2	2	1	1.0	1	1.0	0.0	1	0.8794	0.4397	1.0	2	1.0	1.0	2.0	1.0	1.0	5	5	2	0.0	0.0	FIP1L1;LNX1
91	ZNF595	0	0	0	0		0.12044	0.13513	3	2	2	3	1.0	2	2.0	1.0	1	0.6388797745436546	0.4283	1.0	2	1.0	1.5	2.0	1.0	1.5	503	503.0	2	0.0	0.0	LOC109026610;ZNF595
92	LOC109027212	3	1	0	0		0.63504	0.50481	11	7	11	24	0.43636363636363634	7	4.363636363636363	0.751948051948052	3	0.14028150488268626	0.416	1.0	10	1.1	1.1	3.6666666666666665	1.5714285714285714	1.0	11	11.0	5	0.16666666666666666	0.0	LOC101137900;LOC109027212;LOC115934041;LOC129528278;LOC129528791;SERPINA3;SSBP1
93	PDE6B	1	0	0	0		0.1445	0.15027	2	2	2	1	1.0	1	1.0	0.0	1	0.4032	0.2016	1.0	2	1.0	1.0	2.0	1.0	1.0	452	452	2	0.0	0.0	ATP5ME;PDE6B
94	LOC134757313	3	1	0	0		0.81068	0.72794	8	6	8	12	0.42857142857142855	5	3.0	0.41666666666666663	3	0.1497121774180696	0.1546	1.0	6	1.3333333333333333	1.3333333333333333	2.6666666666666665	1.3333333333333333	1.0	497	11.0	2	0.0	0.0	FAM228B;IQUB;LOC129526638;LOC134757313;MTHFD2L;ZNF626
95	SDAD1	0	0	0	0		0.14018	0.14623	2	2	2	1	1.0	1	1.0	0.0	1	0.382	0.191	1.0	2	1.0	1.0	2.0	1.0	1.0	3	3	2	0.0	0.0	LOC101129910;SDAD1
96	IFITM1	1	0	0	0		0.30373	0.30111	7	4	5	14	0.6666666666666666	5	4.0	0.7142857142857143	2	0.6293198286312257	0.8782	1.0	2	2.5	3.5	2.5	1.25	1.4	5	5.0	3	0.0	0.0	IFITM1;IFITM2;LOC101128980;LOC134758331
97	ACTG1	1	0	0	0		0.13342	0.10361	2	2	2	1	1.0	1	1.0	0.0	1	1.0768	0.5384	1.0	1	2.0	2.0	2.0	1.0	1.0	3	3	2	0.0	0.0	ACTB;ACTG1
98	LOC129533692	1	0	0	0		0.13239	0.10304	2	2	2	1	1.0	1	1.0	0.0	1	1.098	0.549	1.0	1	2.0	2.0	2.0	1.0	1.0	7	7	2	0.0	0.0	LOC129533692;NREP
99	EPB41L4A	0	0	0	0		0.01276	0.01141	2	1	2	1	1.0	1	1.0	0.0	1	1.3962	0.6981	1.0	1	2.0	2.0	2.0	2.0	1.0	0	0	0	0.0	0.0	EPB41L4A
100	TNFAIP8	1	0	0	0		0.00645	0.00602	3	1	2	3	1.0	2	2.0	1.0	1	2.630168796809572	1.7562	1.0	1	2.0	3.0	2.0	2.0	1.5	0	0	0	0.0	0.0	TNFAIP8
101	SLC22A4	1	0	0	0		0.12751	0.1377	2	2	2	1	1.0	1	1.0	0.0	1	0.6302	0.3151	1.0	2	1.0	1.0	2.0	1.0	1.0	3	3	2	0.0	0.0	SLC22A4;SLC22A5
102	TMCO6	0	0	0	0		0.11663	0.08016	2	2	2	1	1.0	1	1.0	0.0	1	0.8608	0.4304	1.0	2	1.0	1.0	2.0	1.0	1.0	4	4	2	0.0	0.0	NDUFA2;TMCO6
103	WDR55	1	0	0	0		0.39503	0.38896	3	2	2	2	0.6666666666666666	2	1.3333333333333333	0.0	1	0.5813098746376575	0.5446	1.0	1	2.0	3.0	2.0	1.0	1.5	6	6	2	0.0	0.0	DND1;WDR55
