gene_a	gene_b	class	cls	core	aln_frac	all_isoform_alnfrac	gga_score	exon_hom	junc_conc	shared_path	n_exon_match	n_iso_a	n_iso_b
ACSM1	LOC129528956	genuine-FP	genuine	0.1515	0.9663	1.0000	0.5225	0.7950	0.0000	0.5000	1	5	3
ACTA2	ACTB	truthbar-FP	truthbar	0.6390	0.0000	1.0000	0.1514	0.2750	0.0000	0.0556	4	8	8
ACTA2	ACTG1	truthbar-FP	truthbar	0.6350	0.0000	1.0000	0.1462	0.2129	0.0588	0.1000	8	8	8
ACTB	ACTG1	TP	TP	0.5384	0.5257	1.0000	0.1204	0.2129	0.0000	0.0556	2	8	8
ACTL6A	MRPL47	genuine-FP	genuine	0.4282	0.4274	0.4967	0.3856	0.6998	0.0000	0.1429	2	6	2
ACTN1	ACTN3	truthbar-FP	truthbar	0.3588	0.0000	1.0000	0.8800	1.0000	1.0000	0.5200	25	8	2
ACTN1	ACTN4	truthbar-FP	truthbar	0.6757	0.5804	0.6562	0.2416	0.3373	0.1667	0.1250	9	8	8
ACTN3	ACTN4	truthbar-FP	truthbar	0.7921	0.0000	0.6477	0.2434	0.3373	0.1739	0.1250	9	2	8
ADA	PKIG	genuine-FP	genuine	0.2136	0.2136	1.0000	0.8523	1.0000	0.9091	0.5000	12	3	5
ADAM29	LOC101154164	truthbar-FP	truthbar	0.3251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	2	1
ADAT1	LOC109026802	genuine-FP	genuine	0.2491	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	5	2
ADGRF5	LOC109023105	genuine-FP	genuine	0.2208	0.9057	0.9730	0.7974	0.9042	0.6667	0.7143	5	6	1
ADH1B	LOC101136823	TP	TP	0.3518	0.7835	0.7835	0.4821	0.2419	0.6667	0.7778	7	7	3
ADORA1	CHIT1	genuine-FP	genuine	0.4714	0.4710	1.0000	1.0000	1.0000	1.0000	1.0000	12	6	2
AFG3L2	TUBB6	genuine-FP	genuine	0.2395	0.2391	0.2903	0.3101	0.5202	0.0000	0.2000	1	8	2
AK6	TAF9B	genuine-FP	genuine	0.3182	0.0000	0.0000	0.0800	0.0885	0.0000	0.1429	1	7	8
AKR1B10	LOC115935241	TP	TP	0.4206	0.4203	0.7379	0.6582	0.4220	0.8889	0.9000	9	2	1
AKR7A2	LOC115933748	TP	TP	0.7366	0.7337	0.7502	0.4283	0.2138	0.5714	0.7143	5	3	2
AKT1	AKT2	truthbar-FP	truthbar	0.2018	0.2889	0.4801	0.4761	0.3588	0.6154	0.5714	10	8	1
AKTIP	RBL2	genuine-FP	genuine	0.3117	0.3105	1.0000	0.8386	0.9796	0.8750	0.5200	24	8	8
ALB	AVEN	genuine-FP	genuine	0.1543	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	2	1
ALDH1B1	ALDH2	truthbar-FP	truthbar	0.4238	0.0000	1.0000	0.4365	0.8397	0.0000	0.0667	4	4	8
ALDH1B1	LOC115935842	TP	TP	0.3444	1.0010	1.0000	0.5009	0.5018	0.5000	0.5000	5	4	2
ALDH1B1	LOC129524687	TP	TP	0.8829	1.0000	1.0000	1.0000	1.0000	1.0000	1.0000	5	4	1
ALDH1L1	ALDH1L2	truthbar-FP	truthbar	0.5237	0.0000	1.0000	0.1161	0.2123	0.0000	0.0400	5	8	2
ALDH2	LOC129524687	truthbar-FP	truthbar	0.2743	0.0000	1.0000	0.5791	0.9082	0.0000	0.5000	8	8	1
ALG1	LOC101139163	genuine-FP	genuine	0.1538	0.4459	1.0000	0.2374	0.4294	0.0000	0.0909	1	8	3
ALG1	LOC101152938	genuine-FP	genuine	0.1724	0.4199	1.0000	0.0175	0.0150	0.0000	0.0400	1	8	5
ALG10	ALG10B	TP	TP	0.5702	0.9802	1.0000	0.7500	1.0000	0.5000	0.5000	6	3	3
ALG1L1P	LOC101127338	genuine-FP	genuine	0.6561	1.1244	1.0000	0.8864	1.0000	1.0000	0.5455	11	2	2
AMN1	ETFBKMT	genuine-FP	genuine	0.6472	0.6468	0.6468	0.4063	0.6459	0.0000	0.3333	1	2	2
AMPD2	AMPD3	truthbar-FP	truthbar	0.1647	0.0000	0.0000	0.1890	0.1786	0.1765	0.2222	6	8	7
AMY2A	ZNF888	genuine-FP	genuine	0.1698	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	1	13
AMZ2	LOC101129405	genuine-FP	genuine	0.1651	0.7199	0.8025	0.7083	1.0000	0.3333	0.5000	3	7	7
ANKRD18A	ANKRD18B	TP	TP	0.2528	0.8900	1.0000	0.4230	0.5789	0.3200	0.2143	8	2	8
ANKRD18A	LOC101142783	TP	TP	0.3383	0.9090	1.0000	0.6824	0.9849	0.5455	0.2143	11	2	7
ANKRD18A	LOC115933254	TP	TP	0.2170	0.5114	1.0000	0.1243	0.2128	0.0000	0.0714	2	2	8
ANKRD18B	LOC101142783	TP	TP	0.5768	0.6244	1.0000	0.5572	0.7643	0.5000	0.2000	19	8	7
ANKRD18B	LOC101147259	TP	TP	0.2605	0.5576	1.0000	0.6142	0.9494	0.2800	0.2778	18	8	5
ANKRD18B	LOC115933254	TP	TP	0.5644	0.9919	1.0000	0.1527	0.2854	0.0000	0.0400	4	8	8
ANKRD36C	LOC101125154	truthbar-FP	truthbar	0.1925	0.8081	0.8081	0.8542	1.0000	0.6667	0.7500	3	8	1
ANKRD36C	LOC109025523	TP	TP	0.5033	0.5014	0.5463	0.3247	0.3893	0.3200	0.2000	19	8	3
ANKRD37	UFSP2	genuine-FP	genuine	0.2174	0.2174	0.2619	0.2111	0.3388	0.0000	0.1667	3	3	6
ANKRD6	LYRM2	genuine-FP	genuine	0.6194	0.6194	0.9651	0.3323	0.4979	0.0000	0.3333	2	5	5
ANKRD62	LOC109025523	genuine-FP	genuine	0.2212	0.0000	1.0000	0.0281	0.0361	0.0000	0.0400	1	3	3
ANO1	ANO2	truthbar-FP	truthbar	0.2128	0.0000	0.0000	0.1886	0.2494	0.1304	0.1250	9	6	2
ANO1	PRKAR2A	genuine-FP	genuine	0.1371	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	6	7
AP1B1	AP2B1	truthbar-FP	truthbar	0.4286	0.0000	1.0000	0.3382	0.4477	0.2174	0.2400	8	8	8
AP1M1	AP1M2	truthbar-FP	truthbar	0.3873	0.0000	1.0000	0.8636	1.0000	0.9545	0.5000	23	8	2
AP1S2	BDP1	genuine-FP	genuine	0.2271	0.2262	1.0000	0.0000	0.0000	0.0000	0.0000	0	8	8
AP2A1	AP2A2	truthbar-FP	truthbar	0.2691	0.0000	1.0000	0.2178	0.3502	0.0909	0.0800	5	3	8
APBA2	APBA3	truthbar-FP	truthbar	0.1630	0.0000	0.0000	0.1325	0.0686	0.1429	0.2500	3	8	8
APOBEC3C	APOBEC3D	genuine-FP	genuine	0.2709	0.3080	1.0000	0.8792	1.0000	0.9167	0.6000	10	4	3
APOBEC3C	APOBEC3F	genuine-FP	genuine	0.3030	0.6780	0.9775	0.6180	0.6026	0.6000	0.6667	8	4	4
APOBEC3D	APOBEC3F	TP	TP	0.3807	0.9775	0.9775	0.6304	0.6274	0.6000	0.6667	11	3	4
APOL2	APOL3	truthbar-FP	truthbar	0.3708	0.3042	1.0000	0.8889	1.0000	1.0000	0.5556	9	3	4
APOL3	APOL4	truthbar-FP	truthbar	0.2863	0.4186	0.4186	0.1396	0.0412	0.1429	0.3333	3	4	2
APOL4	LOC129527096	genuine-FP	genuine	0.2801	0.7764	1.0000	0.3689	0.6544	0.0000	0.1667	1	2	3
ARFGEF1	ARFGEF2	truthbar-FP	truthbar	0.2362	0.0000	0.0000	0.2377	0.2904	0.2500	0.1200	12	8	8
ARHGEF39	CCDC107	genuine-FP	genuine	0.4694	0.4705	0.6779	0.5910	0.9321	0.0000	0.5000	1	2	5
ARHGEF4	SPATA13	genuine-FP	genuine	0.2424	0.0000	0.0000	0.1161	0.0717	0.1333	0.1875	4	4	8
ARID1A	ARID1B	truthbar-FP	truthbar	0.2719	0.0000	0.0000	0.0569	0.0513	0.0000	0.1250	2	7	6
ARL17A	LOC101135168	genuine-FP	genuine	0.5577	0.5577	0.8378	0.3061	0.5288	0.0000	0.1667	1	5	6
ARL17A	LOC115934626	genuine-FP	genuine	0.4194	0.6153	0.8378	0.3061	0.5288	0.0000	0.1667	1	5	5
ARRB1	ARRB2	truthbar-FP	truthbar	0.5264	0.0000	0.0000	0.4662	0.4990	0.5333	0.3333	12	2	4
ASB6	NTMT1	TP	TP	0.7080	0.7066	1.0000	1.0000	1.0000	1.0000	1.0000	5	7	7
ASNS	LOC129531864	genuine-FP	genuine	0.2269	0.2159	0.2760	0.1444	0.1702	0.0833	0.1538	2	4	3
ATP12A	ATP1A2	truthbar-FP	truthbar	0.2964	0.0000	1.0000	0.1172	0.1092	0.1304	0.1200	5	2	8
ATP12A	ATP1A3	truthbar-FP	truthbar	0.5263	0.0000	0.7730	0.1674	0.2189	0.0952	0.1364	5	2	2
ATP1A1	ATP1A2	truthbar-FP	truthbar	0.5176	0.0000	0.0000	0.2536	0.3520	0.1364	0.1739	8	8	8
ATP1A1	ATP1A3	truthbar-FP	truthbar	0.8895	0.0000	0.0000	0.4801	0.5403	0.4762	0.3636	14	8	2
ATP1A2	ATP1A3	truthbar-FP	truthbar	0.4359	0.7730	0.7730	0.3716	0.4639	0.2857	0.2727	10	8	2
ATP2A1	ATP2A2	truthbar-FP	truthbar	0.4375	0.0000	1.0000	0.1702	0.2152	0.1304	0.1200	7	3	8
ATP2B3	ATP2B4	truthbar-FP	truthbar	0.3204	0.0000	1.0000	0.2361	0.2418	0.2609	0.2000	8	3	5
ATP5ME	PDE6B	genuine-FP	genuine	0.2016	0.3748	1.0000	1.0000	1.0000	1.0000	1.0000	10	2	5
ATP6V0A2	TCIRG1	truthbar-FP	truthbar	0.1467	0.0000	1.0000	0.2385	0.4571	0.0000	0.0400	2	8	3
ATP6V1C2	PDIA6	TP	TP	0.3828	0.3800	1.0000	1.0000	1.0000	1.0000	1.0000	20	2	8
ATP9A	ATP9B	truthbar-FP	truthbar	0.3714	0.0000	1.0000	0.1277	0.1102	0.1304	0.1600	6	8	8
ATPSCKMT	LOC101133249	genuine-FP	genuine	0.1790	0.7193	1.0000	0.3019	0.5483	0.0000	0.1111	2	4	5
AUNIP	MTFR1L	genuine-FP	genuine	0.7245	0.7245	0.7245	0.5370	0.9073	0.0000	0.3333	1	1	8
B3GAT2	SMAP1	genuine-FP	genuine	0.4622	0.5285	1.0000	1.0000	1.0000	1.0000	1.0000	12	4	6
B3GNTL1	TBCD	genuine-FP	genuine	0.5383	0.5360	0.5360	0.2696	0.5035	0.0000	0.0714	1	3	8
BBIP1	PDCD4	genuine-FP	genuine	0.6716	0.6716	1.0000	0.8150	0.7770	0.8235	0.8824	15	5	8
BCR	LOC101132434	TP	TP	0.3002	0.6622	1.0000	0.6024	0.7434	0.6500	0.2727	18	8	4
BCR	LOC101135843	TP	TP	0.2560	0.5649	0.8492	0.4985	0.7648	0.2500	0.2143	9	8	2
BCR	LOC115932815	TP	TP	0.2679	0.5461	0.8492	0.5407	0.7695	0.3571	0.2667	10	8	4
BEX1	BEX2	truthbar-FP	truthbar	0.3416	0.6782	0.6782	0.6466	0.7099	0.5000	0.6667	2	1	1
BEX3	BEX5	truthbar-FP	truthbar	0.1691	0.0000	1.0000	0.8167	1.0000	0.6667	0.6000	5	6	2
BEX3	NXF3	genuine-FP	genuine	0.1391	0.0000	1.0000	0.5397	0.6919	0.4000	0.3750	4	6	8
BFAR	LOC101150079	TP	TP	0.6357	1.0030	1.0000	0.7794	1.0000	0.7059	0.4118	17	8	8
BIRC2	BIRC3	truthbar-FP	truthbar	0.2775	0.0000	1.0000	0.8491	0.9839	0.9286	0.5000	16	8	6
BLID	LOC101154388	genuine-FP	genuine	0.8713	0.8713	1.0000	0.9500	1.0000	1.0000	0.8000	5	5	2
BLK	HCK	truthbar-FP	truthbar	0.1480	0.0000	0.0000	0.1629	0.1970	0.0909	0.1667	3	2	3
BLNK	ZNF518A	genuine-FP	genuine	0.9746	0.9746	0.9746	0.4999	0.7499	0.0000	0.5000	1	1	8
BLOC1S6	HMGN2	genuine-FP	genuine	0.1527	0.4889	1.0000	0.0000	0.0000	0.0000	0.0000	0	8	8
BMAL1	BTBD10	genuine-FP	genuine	0.5174	0.5152	0.6099	0.3112	0.5725	0.0000	0.1000	2	8	8
BMS1	LOC101143777	genuine-FP	genuine	0.1317	0.3085	1.0000	0.9100	1.0000	1.0000	0.6400	25	8	4
BMS1	LOC101148457	genuine-FP	genuine	0.1545	0.4509	0.4509	0.2570	0.3139	0.2000	0.2000	6	8	8
BMS1	LOC129524676	genuine-FP	genuine	0.1696	0.2013	0.2019	0.2625	0.3269	0.1818	0.2143	3	8	3
BMS1	LOC129526479	genuine-FP	genuine	0.1652	0.3563	0.4509	0.1483	0.1494	0.1579	0.1364	6	8	3
BMS1	LOC134756761	genuine-FP	genuine	0.1712	0.2019	0.3563	0.2618	0.3999	0.1111	0.1364	4	8	4
BRD1	BRPF1	truthbar-FP	truthbar	0.1857	0.0000	1.0000	0.0798	0.1388	0.0000	0.0417	3	8	8
BRD3	BRD4	genuine-FP	genuine	0.2222	0.0000	0.0000	0.0350	0.0284	0.0000	0.0833	1	6	7
BRICD5	MLST8	genuine-FP	genuine	0.2247	0.3912	1.0000	1.0000	1.0000	1.0000	1.0000	9	2	8
BTN1A1	BTN2A2	truthbar-FP	truthbar	0.1411	0.0000	1.0000	0.8542	1.0000	0.9167	0.5000	14	2	8
BTN2A1	BTN2A2	TP	TP	0.2455	0.7791	1.0000	0.7870	0.9885	0.7333	0.4375	15	8	8
BTN3A1	LOC101147830	truthbar-FP	truthbar	0.3390	0.5166	1.0000	0.7417	1.0000	0.6667	0.3000	9	3	8
BTRC	FBXW11	truthbar-FP	truthbar	0.2124	0.0000	1.0000	0.2252	0.2463	0.2083	0.2000	8	8	8
BUD31	PTCD1	genuine-FP	genuine	0.2119	0.2128	1.0000	0.9615	1.0000	0.9231	0.9231	13	6	6
C10H12orf56	OOEP	genuine-FP	genuine	0.1816	0.0000	1.0000	0.2445	0.4557	0.0000	0.0667	1	2	2
C1H1orf146	GLMN	genuine-FP	genuine	0.5228	0.5228	1.0000	0.9575	0.9802	0.9130	0.9565	22	3	7
C1H1orf56	CDC42SE1	genuine-FP	genuine	0.5756	0.5760	1.0000	0.8000	1.0000	0.6000	0.6000	6	3	8
C3H4orf36	LOC101143448	genuine-FP	genuine	0.1523	0.3142	1.0000	0.0000	0.0000	0.0000	0.0000	0	4	8
C3H4orf36	LOC109025730	genuine-FP	genuine	0.1370	0.3524	1.0000	0.0157	0.0106	0.0000	0.0417	1	4	13
C3H4orf36	LOC129533438	genuine-FP	genuine	0.2038	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	4	2
C3H4orf36	MINPP1	genuine-FP	genuine	0.2167	0.2837	0.2837	0.0489	0.0265	0.0000	0.1429	1	4	6
C3H4orf36	PDCD5	genuine-FP	genuine	0.1448	0.3707	0.3707	0.0481	0.0753	0.0000	0.0417	2	4	14
C3H4orf36	SEM1	genuine-FP	genuine	0.2126	0.3182	0.3707	0.0481	0.0753	0.0000	0.0417	2	4	14
C3H4orf36	SPC25	genuine-FP	genuine	0.1654	0.3449	0.3707	0.0481	0.0753	0.0000	0.0417	2	4	18
C4A	C4B	TP	TP	0.9998	1.0000	1.0000	0.8177	0.9779	0.8750	0.4400	24	4	6
C7H8orf33	LOC129527512	genuine-FP	genuine	0.2129	0.6145	0.6145	0.0000	0.0000	0.0000	0.0000	0	5	4
C9H11orf65	LOC101145464	genuine-FP	genuine	0.1376	0.1934	1.0000	0.3418	0.6480	0.0000	0.0714	1	3	18
C9H11orf65	LOC109023154	genuine-FP	genuine	0.1467	0.2176	1.0000	0.3418	0.6480	0.0000	0.0714	1	3	12
C9H11orf65	LOC109025730	genuine-FP	genuine	0.2508	0.3517	1.0000	0.0000	0.0000	0.0000	0.0000	0	3	13
C9H11orf65	PDCD5	genuine-FP	genuine	0.2665	0.3779	0.3779	0.3418	0.6480	0.0000	0.0714	1	3	14
C9H11orf65	SPC25	genuine-FP	genuine	0.2449	0.3515	0.3779	0.3418	0.6480	0.0000	0.0714	1	3	18
CAB39L	LOC101133249	genuine-FP	genuine	0.1539	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	8	5
CACNB1	CACNB3	truthbar-FP	truthbar	0.2270	0.0000	0.0000	0.1635	0.1668	0.1667	0.1538	6	1	4
CAMK1	CAMK1G	truthbar-FP	truthbar	0.2976	0.0000	1.0000	0.0873	0.0711	0.0870	0.1200	3	4	2
CAMK2B	CAMK2G	truthbar-FP	truthbar	0.5365	0.0000	0.0000	0.6887	0.7269	0.7222	0.5789	15	1	3
CAMK2D	CAMK2G	truthbar-FP	truthbar	0.2228	0.0000	0.0000	0.4510	0.4283	0.4737	0.4737	12	8	3
CAND2	RPL32	genuine-FP	genuine	0.4415	0.4415	0.4415	0.2703	0.2906	0.0000	0.5000	1	8	3
CANX	HMGB3	genuine-FP	genuine	0.4859	0.7031	0.7031	0.0917	0.0834	0.0000	0.2000	1	8	5
CAPS2	RAPH1	genuine-FP	genuine	0.1834	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	3	5
CARD16	LOC101136563	genuine-FP	genuine	0.1444	0.1444	1.0000	0.9375	1.0000	1.0000	0.7500	12	2	2
CASP3	CGREF1	genuine-FP	genuine	0.2026	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	8	3
CBR1	CBR3	truthbar-FP	truthbar	0.8453	0.0000	0.0000	0.5465	0.5096	0.5000	0.6667	2	1	1
CCDC144A	LOC109026769	TP	TP	0.3998	1.0048	1.0000	0.6261	0.9476	0.4091	0.2000	18	8	6
CCDC152	SELENOP	TP	TP	0.4776	0.4768	1.0000	0.8326	0.9925	0.8000	0.5455	10	3	8
CCDC92	IL20RB	genuine-FP	genuine	0.1788	0.3442	0.3442	0.0000	0.0000	0.0000	0.0000	0	3	4
CCL8	LOC101134802	truthbar-FP	truthbar	0.4194	0.0000	0.0000	0.6751	0.3502	1.0000	1.0000	2	2	1
CCNH	RASA1	genuine-FP	genuine	0.6116	0.6114	1.0000	1.0000	1.0000	1.0000	1.0000	25	8	3
CCPG1	LDLR	genuine-FP	genuine	0.1432	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	8	4
CCPG1	PRXL2A	genuine-FP	genuine	0.2110	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	8	8
CCR2	CCR5	truthbar-FP	truthbar	0.1500	0.2522	0.2522	0.0000	0.0000	0.0000	0.0000	0	1	1
CCT6A	CCT6B	truthbar-FP	truthbar	0.4597	0.0000	1.0000	0.3294	0.5337	0.1304	0.1200	7	8	4
CDK4	TSPAN31	genuine-FP	genuine	0.5438	0.5358	0.7036	0.3097	0.5361	0.0000	0.1667	1	2	3
CDR2	LOC101131923	genuine-FP	genuine	0.3045	0.4426	0.4426	0.2824	0.2329	0.3000	0.3636	4	8	4
CDRT4	TVP23B	TP	TP	0.2413	0.5110	1.0000	0.3321	0.2714	0.3571	0.4286	7	8	8
CENPP	IPPK	TP	TP	0.8865	0.8865	0.9499	0.3167	0.5950	0.0000	0.0769	1	8	6
CENPU	PRIMPOL	genuine-FP	genuine	0.2158	0.2140	1.0000	0.8367	0.9934	0.8800	0.4800	24	4	6
CEP192	LOC129533419	genuine-FP	genuine	0.1453	0.0000	1.0000	0.1921	0.3642	0.0000	0.0400	4	8	3
CEP57	MTMR2	genuine-FP	genuine	0.5439	0.5439	0.5787	0.2876	0.5335	0.0000	0.0833	1	8	8
CEP76	PSMG2	genuine-FP	genuine	0.3001	0.2988	1.0000	0.9861	1.0000	0.9444	1.0000	18	7	3
CES1	LOC101128088	truthbar-FP	truthbar	0.1437	0.0000	0.0000	0.0920	0.1005	0.0870	0.0800	4	8	3
CES1	LOC101128458	truthbar-FP	truthbar	0.1437	0.0000	0.0000	0.0707	0.1005	0.0417	0.0400	4	8	7
CES1	LOC115931015	TP	TP	0.7709	0.9729	1.0000	0.8488	1.0000	0.8750	0.5200	25	8	5
CES1	LOC115931020	truthbar-FP	truthbar	0.1437	0.0000	0.0000	0.1256	0.1661	0.0870	0.0833	6	8	2
CGREF1	GGCT	genuine-FP	genuine	0.1310	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	3	4
CGREF1	LOC134756666	genuine-FP	genuine	0.2135	0.0000	1.0000	0.9375	1.0000	1.0000	0.7500	8	3	2
CGREF1	OTULINL	genuine-FP	genuine	0.1568	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	3	2
CHD1	CHD2	truthbar-FP	truthbar	0.3211	0.0000	0.0000	0.0286	0.0372	0.0000	0.0400	2	8	8
CHEK2	LOC101136352	genuine-FP	genuine	0.2828	0.7071	1.0000	0.1624	0.2430	0.0833	0.0800	4	7	5
CHEK2	LOC101152610	TP	TP	0.2914	0.8668	1.0000	0.1688	0.2521	0.0909	0.0800	4	7	3
CHEK2	LOC129527660	genuine-FP	genuine	0.3387	0.7035	1.0000	0.1036	0.1332	0.0526	0.0952	3	7	3
CHM	OPN3	genuine-FP	genuine	0.2699	0.0000	1.0000	0.2924	0.5554	0.0000	0.0588	9	4	5
CHRNA3	PCCA	genuine-FP	genuine	0.1533	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	5	8
CHST6	TMEM231	genuine-FP	genuine	0.5166	0.5206	0.6405	0.7886	0.8688	0.6667	0.7500	3	3	7
CILP	CILP2	truthbar-FP	truthbar	0.1735	0.0000	0.0000	0.0635	0.0644	0.0000	0.1250	1	5	1
CKB	CKM	truthbar-FP	truthbar	0.6256	0.0000	0.0000	0.4966	0.3949	0.5714	0.6250	5	8	3
CKLF	GSTM2	genuine-FP	genuine	0.1305	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0	3	17
CLCN3	CLCN5	truthbar-FP	truthbar	0.2517	0.0000	0.0000	0.1957	0.2073	0.1538	0.2143	5	8	4
CLK1	CLK4	truthbar-FP	truthbar	0.5606	0.0000	1.0000	0.1571	0.1656	0.1304	0.1667	5	8	8
CLMP	LOC101134145	genuine-FP	genuine	0.1489	0.0000	1.0000	0.3620	0.6739	0.0000	0.1000	1	2	2
CLN8	METTL2B	genuine-FP	genuine	0.1418	0.0000	1.0000	0.2340	0.4179	0.0000	0.1000	1	7	3
CLTC	CLTCL1	truthbar-FP	truthbar	0.8862	0.0000	0.0000	0.4817	0.6142	0.4583	0.2400	17	8	2
CNPY3	CNPY4	truthbar-FP	truthbar	0.2549	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0	5	1
CNTNAP3C	LOC101143875	genuine-FP	genuine	0.3548	0.7301	0.9553	0.6125	0.6790	0.5294	0.5625	11	4	8
CNTNAP3C	LOC115933307	genuine-FP	genuine	0.1558	0.1744	0.3358	0.7917	1.0000	0.5000	0.6667	3	4	1
COG1	SSTR2	genuine-FP	genuine	0.5916	0.5920	0.5920	0.5881	0.9263	0.0000	0.5000	1	8	1
COG1	VCF1	genuine-FP	genuine	0.5477	0.5447	1.0000	0.9284	0.9782	0.8750	0.8824	15	8	5
COG5	HBP1	genuine-FP	genuine	0.4001	0.4005	1.0000	0.7962	0.8957	0.8333	0.5600	22	8	8
COL1A1	COL1A2	truthbar-FP	truthbar	0.3536	0.0000	0.0000	0.0889	0.1579	0.0000	0.0400	6	8	8
COL1A1	COL2A1	truthbar-FP	truthbar	0.6005	0.0000	0.0000	0.3519	0.4780	0.2917	0.1600	15	8	2
COL1A1	COL3A1	truthbar-FP	truthbar	0.5071	0.0000	0.0000	0.1129	0.1242	0.0833	0.1200	6	8	8
COL1A2	COL2A1	truthbar-FP	truthbar	0.5323	0.0000	0.0000	0.1254	0.1900	0.0417	0.0800	8	8	2
COL1A2	COL3A1	truthbar-FP	truthbar	0.3528	0.0000	0.0000	0.0163	0.0126	0.0000	0.0400	2	8	8
COL2A1	COL3A1	truthbar-FP	truthbar	0.2938	0.0000	0.0000	0.1630	0.3060	0.0000	0.0400	9	2	8
COL2A1	COL5A2	truthbar-FP	truthbar	0.3487	0.0000	0.0000	0.1079	0.1550	0.0417	0.0800	6	2	8
COMP	THBS4	truthbar-FP	truthbar	0.3155	0.0000	1.0000	0.1359	0.1266	0.1304	0.1600	4	4	8
COPB2	MRPS22	genuine-FP	genuine	0.3514	0.3514	1.0000	0.7623	0.9295	0.7500	0.4400	22	8	4
COPS9	LOC101145464	genuine-FP	genuine	0.1779	0.1942	1.0000	0.0971	0.1557	0.0000	0.0769	1	4	18
COPS9	LOC109023154	genuine-FP	genuine	0.1467	0.2067	1.0000	0.0971	0.1557	0.0000	0.0769	1	4	12
COPS9	LOC109025730	genuine-FP	genuine	0.3276	0.3208	1.0000	0.0000	0.0000	0.0000	0.0000	0	4	13
COPS9	LOC129530131	genuine-FP	genuine	0.1427	0.1545	1.0000	0.0971	0.1557	0.0000	0.0769	1	4	10
COPS9	LOC134756589	genuine-FP	genuine	0.1538	0.1663	1.0000	0.0971	0.1557	0.0000	0.0769	1	4	10
