gene_a	chrom_a	gene_b	chrom_b	core_cov	core_ident	aln_ident	jaccard
LOC101125084	NC_073244.2	LOC109028868	NC_073233.2	1.0	0.967	0.967	0.3875
LOC101125304	NC_073242.2	LOC109024112	NC_073224.2	1.0	0.939	0.939	0.155
LOC101125671	NC_073242.2	LOC134758274	NC_073227.2	1.0	1.0	1.0	0.5495
LOC101125723	NC_086018.1	LOC109024803	NC_073235.2	1.0	0.895	0.895	0.0619
LOC101125723	NC_086018.1	LOC129526554	NC_073239.2	1.0	0.978	0.978	0.2427
LOC101126027	NC_073240.2	LOC109028868	NC_073233.2	1.0	0.912	0.912	0.1087
LOC101126219	NC_073224.2	PTP4A1	NC_073229.2	1.0	0.932	0.932	0.0408
LOC101126499	NC_073239.2	LOC115930419	NC_073238.2	1.0	0.982	0.982	0.231
LOC101126499	NC_073239.2	RPL26	NC_073243.2	1.0	0.978	0.978	0.4148
LOC101126607	NC_073239.2	LOC101137804	NC_086017.1	1.0	0.926	0.926	0.1707
LOC101126684	NC_073232.2	LOC101141290	NC_073229.2	1.0	0.966	0.966	0.2778
LOC101126684	NC_073232.2	LOC101152491	NC_086017.1	1.0	0.951	0.951	0.2075
LOC101126684	NC_073232.2	LOC129534659	NC_073224.2	1.0	0.94	0.94	0.1627
LOC101126783	NC_073231.2	LOC129533223	NC_073227.2	1.0	0.979	0.979	0.3244
LOC101126792	NC_073240.2	LOC129526469	NC_073236.2	1.0	0.999	0.999	0.971
LOC101126792	NC_073240.2	LOC129526569	NC_073239.2	1.0	0.978	0.978	0.5255
LOC101126792	NC_073240.2	LOC129527191	NC_073238.2	1.0	0.992	0.992	0.7992
LOC101126792	NC_073240.2	LOC129529652	NC_086018.1	1.0	0.98	0.98	0.5449
LOC101127181	NC_073224.2	LOC101151349	NC_073247.2	1.0	0.963	0.963	0.3357
LOC101127528	NC_073231.2	LOC101150857	NC_073247.2	1.0	0.959	0.959	0.3008
LOC101127689	NC_086017.1	LOC101148869	NC_073240.2	1.0	0.951	0.951	0.084
LOC101127721	NC_073242.2	MT1HL1	NC_073224.2	1.0	0.943	0.943	0.2381
LOC101127811	NC_073235.2	LOC101140340	NC_086017.1	1.0	0.89	0.89	0.0693
LOC101127811	NC_073235.2	LOC101154368	NC_073224.2	1.0	0.893	0.893	0.0914
LOC101127811	NC_073235.2	PPIA	NC_073230.2	1.0	0.935	0.935	0.1307
LOC101128508	NC_086017.1	LOC134758245	NC_073227.2	1.0	0.938	0.938	0.0818
LOC101128980	NC_073233.2	LOC101152182	NC_073231.2	1.0	0.9	0.9	0.065
LOC101128987	NC_073224.2	PRELID1	NC_073228.2	1.0	0.97	0.97	0.3734
LOC101129892	NC_073244.2	LOC101133796	NC_073231.2	1.0	0.984	0.984	0.6353
LOC101129892	NC_073244.2	LOC101143299	NC_073234.2	1.0	0.982	0.982	0.5521
LOC101129892	NC_073244.2	LOC101144988	NC_073247.2	1.0	0.968	0.968	0.0626
LOC101129892	NC_073244.2	LOC101145780	NC_073240.2	1.0	0.966	0.966	0.3832
LOC101129892	NC_073244.2	LOC109023669	NC_073242.2	1.0	0.966	0.966	0.3238
LOC101129892	NC_073244.2	LOC134756773	NC_073236.2	1.0	0.9	0.9	0.0792
LOC101129892	NC_073244.2	RPS26	NC_073234.2	1.0	0.984	0.984	0.3521
LOC101130226	NC_073240.2	LOC101141058	NC_073233.2	1.0	0.894	0.894	0.075
LOC101130226	NC_073240.2	LOC101153591	NC_073228.2	1.0	0.906	0.906	0.1261
LOC101130286	NC_073237.2	LOC109023669	NC_073242.2	1.0	0.937	0.937	0.25
LOC101130686	NC_073224.2	LOC101142220	NC_073238.2	1.0	0.969	0.969	0.3913
LOC101130686	NC_073224.2	LOC101148649	NC_073240.2	1.0	0.934	0.934	0.1643
LOC101130686	NC_073224.2	LOC115930187	NC_073234.2	1.0	0.962	0.962	0.3011
LOC101130686	NC_073224.2	LOC129528351	NC_073241.2	1.0	0.967	0.967	0.3629
LOC101130686	NC_073224.2	RPSA	NC_086017.1	1.0	0.97	0.97	0.3852
LOC101130785	NC_073231.2	LOC115934340	NC_073227.2	1.0	0.959	0.959	0.296
LOC101131169	NC_073224.2	LOC134759022	NC_073231.2	1.0	0.879	0.879	0.0645
LOC101131398	NC_073233.2	SSU72L6	NC_073230.2	1.0	0.959	0.959	0.1927
LOC101131725	NC_073237.2	LOC115931637	NC_073244.2	1.0	0.935	0.935	0.307
LOC101132402	NC_073228.2	LOC115935322	NC_073230.2	1.0	0.917	0.917	0.0901
LOC101132438	NC_086018.1	LOC109024713	NC_073247.2	1.0	0.895	0.895	0.0708
LOC101132815	NC_073238.2	LOC134758882	NC_073230.2	1.0	0.994	0.994	0.6362
LOC101133796	NC_073231.2	LOC101141346	NC_073235.2	1.0	0.97	0.97	0.4222
LOC101133796	NC_073231.2	LOC101144988	NC_073247.2	1.0	0.968	0.968	0.0763
LOC101133796	NC_073231.2	LOC134756773	NC_073236.2	1.0	0.9	0.9	0.0741
LOC101135431	NC_073230.2	LOC115932158	NC_073247.2	1.0	0.959	0.959	0.037
LOC101135885	NC_073243.2	LOC101142361	NC_086017.1	1.0	0.919	0.919	0.1316
LOC101135885	NC_073243.2	RPL29	NC_086017.1	1.0	0.948	0.948	0.1441
LOC101136534	NC_073247.2	MRPS17	NC_073230.2	1.0	0.932	0.932	0.0414
LOC101136583	NC_073240.2	LOC129526434	NC_073238.2	1.0	0.993	0.993	0.7948
LOC101136593	NC_086017.1	PSAT1	NC_073237.2	1.0	0.95	0.95	0.0844
LOC101136757	NC_073247.2	LOC101142679	NC_073241.2	1.0	0.913	0.913	0.0841
LOC101136757	NC_073247.2	LOC109023808	NC_073243.2	1.0	0.912	0.912	0.0731
LOC101136757	NC_073247.2	LOC109028379	NC_073224.2	1.0	0.904	0.904	0.0719
LOC101136829	NC_073228.2	LOC101147142	NC_073247.2	1.0	0.899	0.899	0.1597
LOC101137471	NC_073230.2	LOC109028868	NC_073233.2	1.0	0.958	0.958	0.2874
LOC101137478	NC_086018.1	RPS2	NC_073242.2	1.0	0.985	0.985	0.4872
LOC101137537	NC_086017.1	LOC101141290	NC_073229.2	1.0	0.969	0.969	0.3739
LOC101137537	NC_086017.1	LOC129530113	NC_073247.2	1.0	0.969	0.969	0.371
LOC101137537	NC_086017.1	LOC129534659	NC_073224.2	1.0	0.951	0.951	0.2101
LOC101137804	NC_086017.1	LOC101140615	NC_073240.2	1.0	0.85	0.85	0.1
LOC101137804	NC_086017.1	LOC101141058	NC_073233.2	1.0	0.933	0.933	0.1856
LOC101137804	NC_086017.1	LOC101148869	NC_073240.2	1.0	0.951	0.951	0.0871
LOC101137804	NC_086017.1	LOC101153591	NC_073228.2	1.0	0.919	0.919	0.0714
LOC101137804	NC_086017.1	LOC129532770	NC_073224.2	1.0	0.919	0.919	0.0376
LOC101138028	NC_073236.2	UBTFL1	NC_073233.2	1.0	0.944	0.944	0.2211
LOC101138765	NC_073234.2	LOC101139383	NC_073238.2	1.0	0.962	0.962	0.3509
LOC101138765	NC_073234.2	RPL13A	NC_073244.2	1.0	0.971	0.971	0.1796
LOC101138859	NC_073247.2	RPSA	NC_086017.1	1.0	0.978	0.978	0.4498
LOC101139472	NC_073224.2	LOC101144070	NC_073240.2	1.0	0.929	0.929	0.1187
LOC101140002	NC_073240.2	LOC129531710	NC_073236.2	1.0	0.961	0.961	0.2655
LOC101140340	NC_086017.1	LOC101154144	NC_073235.2	1.0	0.896	0.896	0.1139
LOC101140345	NC_086017.1	LOC101148869	NC_073240.2	1.0	0.978	0.978	0.1224
LOC101140345	NC_086017.1	LOC109023133	NC_073239.2	1.0	0.96	0.96	0.2061
LOC101140345	NC_086017.1	LOC115934990	NC_073229.2	1.0	0.946	0.946	0.2874
LOC101141038	NC_073230.2	LOC101151223	NC_073231.2	1.0	0.907	0.907	0.0974
LOC101141290	NC_073229.2	LOC115933486	NC_073233.2	1.0	0.957	0.957	0.2444
LOC101141290	NC_073229.2	RPL21	NC_073238.2	1.0	0.973	0.973	0.3
LOC101141346	NC_073235.2	LOC101143299	NC_073234.2	1.0	0.958	0.958	0.3269
LOC101141346	NC_073235.2	LOC101144988	NC_073247.2	1.0	0.948	0.948	0.0422
LOC101141346	NC_073235.2	LOC101145780	NC_073240.2	1.0	0.948	0.948	0.3048
LOC101141346	NC_073235.2	LOC101152650	NC_073230.2	1.0	0.958	0.958	0.2621
LOC101141346	NC_073235.2	LOC134756773	NC_073236.2	1.0	0.91	0.91	0.1011
LOC101141346	NC_073235.2	RPS26	NC_073234.2	1.0	0.961	0.961	0.2313
LOC101142199	NC_073236.2	RPS12	NC_073229.2	1.0	0.955	0.955	0.1986
LOC101142361	NC_086017.1	LOC109023896	NC_073243.2	1.0	0.923	0.923	0.1337
LOC101142515	NC_073235.2	LOC129525442	NC_073241.2	1.0	0.998	0.998	0.9059
LOC101142515	NC_073235.2	LOC129527457	NC_073242.2	1.0	0.998	0.998	0.9059
LOC101142515	NC_073235.2	LOC129528989	NC_073245.2	1.0	0.994	0.994	0.7978
LOC101142515	NC_073235.2	LOC129529378	NC_073233.2	1.0	0.996	0.996	0.8276
LOC101142515	NC_073235.2	LOC129529932	NC_073247.2	1.0	0.998	0.998	0.9634
LOC101142515	NC_073235.2	LOC129532991	NC_073227.2	1.0	1.0	1.0	1.0
LOC101142515	NC_073235.2	LOC129533139	NC_073236.2	1.0	0.998	0.998	0.9059
LOC101142515	NC_073235.2	LOC134757770	NC_073245.2	1.0	0.994	0.994	0.7978
LOC101142515	NC_073235.2	LOC134758469	NC_073228.2	1.0	0.994	0.994	0.7978
LOC101142515	NC_073235.2	LOC134758556	NC_073224.2	1.0	0.998	0.998	0.9059
LOC101142515	NC_073235.2	LOC134759048	NC_073231.2	1.0	0.998	0.998	0.9634
LOC101142679	NC_073241.2	LOC109023808	NC_073243.2	1.0	0.98	0.98	0.5392
LOC101142904	NC_073246.2	LOC129529434	NC_086018.1	1.0	0.987	0.987	0.3251
LOC101142993	NC_073229.2	LOC101146216	NC_073224.2	1.0	0.958	0.958	0.166
LOC101143299	NC_073234.2	LOC109023669	NC_073242.2	1.0	0.963	0.963	0.3929
LOC101144070	NC_073240.2	RPS13	NC_073233.2	1.0	0.927	0.927	0.1011
LOC101144146	NC_073224.2	TPI1	NC_073234.2	1.0	0.987	0.987	0.6835
LOC101144253	NC_073236.2	LOC129523482	NC_073237.2	1.0	0.981	0.981	0.5752
LOC101144515	NC_073233.2	PPIAL4H	NC_073224.2	1.0	0.904	0.904	0.1124
LOC101144966	NC_073245.2	LOC101148834	NC_073224.2	1.0	0.986	0.986	0.5821
LOC101144966	NC_073245.2	LOC134758341	NC_073227.2	1.0	0.985	0.985	0.558
LOC101144966	NC_073245.2	LOC134759211	NC_073232.2	1.0	0.985	0.985	0.0428
LOC101144966	NC_073245.2	RPL12	NC_073237.2	1.0	0.985	0.985	0.554
LOC101144988	NC_073247.2	LOC109023669	NC_073242.2	1.0	0.956	0.956	0.0726
LOC101145780	NC_073240.2	LOC109023669	NC_073242.2	1.0	0.951	0.951	0.3596
LOC101146120	NC_073236.2	LOC129534058	NC_073229.2	1.0	0.957	0.957	0.3108
LOC101146120	NC_073236.2	RPS2	NC_073242.2	1.0	0.961	0.961	0.2242
LOC101146216	NC_073224.2	LOC109025589	NC_073236.2	1.0	0.953	0.953	0.2512
LOC101146216	NC_073224.2	LOC109028392	NC_073237.2	1.0	0.954	0.954	0.1794
LOC101146216	NC_073224.2	LOC115931078	NC_073242.2	1.0	0.945	0.945	0.1928
LOC101146216	NC_073224.2	LOC115931082	NC_073242.2	1.0	0.947	0.947	0.1968
LOC101146216	NC_073224.2	LOC115931087	NC_073242.2	1.0	0.947	0.947	0.1972
LOC101146216	NC_073224.2	LOC115935839	NC_073237.2	1.0	0.958	0.958	0.2268
LOC101146216	NC_073224.2	NPAP1L	NC_073242.2	1.0	0.949	0.949	0.204
LOC101146625	NC_073228.2	NDUFS5	NC_073224.2	1.0	0.945	0.945	0.1273
LOC101146806	NC_073236.2	LOC109024622	NC_073247.2	1.0	0.943	0.943	0.1768
LOC101147142	NC_073247.2	RPL31	NC_073236.2	1.0	0.915	0.915	0.0348
LOC101147225	NC_073237.2	LOC115931637	NC_073244.2	1.0	0.973	0.973	0.4196
LOC101147225	NC_073237.2	LOC129530591	NC_073241.2	1.0	1.0	1.0	1.0
LOC101147225	NC_073237.2	LOC134757034	NC_073238.2	1.0	0.998	0.998	0.9467
LOC101147790	NC_073234.2	SUCLG2	NC_086017.1	1.0	0.967	0.967	0.2827
LOC101147843	NC_073230.2	PFDN4	NC_073245.2	1.0	0.92	0.92	0.067
LOC101148649	NC_073240.2	RPSA	NC_086017.1	1.0	0.936	0.936	0.1561
LOC101148834	NC_073224.2	LOC109024418	NC_073245.2	1.0	0.974	0.974	0.0599
LOC101148834	NC_073224.2	LOC115936029	NC_073232.2	1.0	0.968	0.968	0.4189
LOC101148834	NC_073224.2	LOC134758341	NC_073227.2	1.0	0.998	0.998	0.9052
LOC101148834	NC_073224.2	LOC134759211	NC_073232.2	1.0	0.998	0.998	0.0609
LOC101148834	NC_073224.2	RPL12	NC_073237.2	1.0	0.998	0.998	0.8974
LOC101149594	NC_073227.2	MANBAL	NC_073245.2	1.0	0.958	0.958	0.0714
LOC101150350	NC_073229.2	RPL3	NC_086018.1	1.0	0.963	0.963	0.2626
LOC101151223	NC_073231.2	RPL32	NC_086017.1	1.0	0.909	0.909	0.0828
LOC101151284	NC_073235.2	POLR3K	NC_073242.2	1.0	0.999	0.999	0.92
LOC101152462	NC_073233.2	LOC109025909	NC_073224.2	1.0	0.89	0.89	0.0561
LOC101152462	NC_073233.2	LOC115932158	NC_073247.2	1.0	0.877	0.877	0.05
LOC101152491	NC_086017.1	LOC115933486	NC_073233.2	1.0	0.953	0.953	0.2394
LOC101152491	NC_086017.1	LOC129534659	NC_073224.2	1.0	0.944	0.944	0.2385
LOC101152491	NC_086017.1	RPL21	NC_073238.2	1.0	0.967	0.967	0.2781
LOC101152940	NC_073224.2	LOC109025864	NC_073235.2	1.0	0.901	0.901	0.046
LOC101153289	NC_073232.2	LOC101154144	NC_073235.2	1.0	0.904	0.904	0.0516
LOC101153430	NC_073228.2	LOC129523454	NC_073224.2	1.0	0.982	0.982	0.6259
LOC101153492	NC_073229.2	LOC109026392	NC_086017.1	1.0	0.904	0.904	0.1181
LOC101153761	NC_073232.2	TMEM14B	NC_073229.2	1.0	0.975	0.975	0.4833
LOC101153956	NC_073244.2	YME1L1	NC_073232.2	1.0	0.926	0.926	0.0371
LOC101154144	NC_073235.2	LOC101154368	NC_073224.2	1.0	0.89	0.89	0.0769
LOC101154501	NC_073224.2	LOC129531710	NC_073236.2	1.0	0.97	0.97	0.1554
LOC109023480	NC_073240.2	RPL11	NC_073224.2	1.0	0.998	0.998	0.6335
LOC109023669	NC_073242.2	LOC134756773	NC_073236.2	1.0	0.887	0.887	0.0841
LOC109023669	NC_073242.2	RPS26	NC_073234.2	1.0	0.965	0.965	0.3092
LOC109024622	NC_073247.2	LOC109026990	NC_073228.2	1.0	0.934	0.934	0.1405
LOC109024622	NC_073247.2	RPL18A	NC_073244.2	1.0	0.934	0.934	0.135
LOC109024803	NC_073235.2	LOC129526400	NC_073238.2	1.0	0.907	0.907	0.0757
LOC109024803	NC_073235.2	LOC129526551	NC_073239.2	1.0	0.892	0.892	0.0623
LOC109024803	NC_073235.2	LOC129526554	NC_073239.2	1.0	0.896	0.896	0.0847
LOC109024803	NC_073235.2	LOC134757039	NC_073238.2	1.0	0.907	0.907	0.0884
LOC109025131	NC_073230.2	LOC129530307	NC_073248.2	1.0	0.959	0.959	0.1199
LOC109025290	NC_073228.2	LOC109029139	NC_073224.2	1.0	0.933	0.933	0.2388
LOC109025290	NC_073228.2	LOC129532266	NC_086017.1	1.0	0.942	0.942	0.0976
LOC109025290	NC_073228.2	RPL39	NC_073247.2	1.0	0.952	0.952	0.2245
LOC109025290	NC_073228.2	RPL39L	NC_086017.1	1.0	0.918	0.918	0.0855
LOC109025909	NC_073224.2	LOC115932158	NC_073247.2	1.0	0.909	0.909	0.1062
LOC109026990	NC_073228.2	RPL18A	NC_073244.2	1.0	0.987	0.987	0.6642
LOC109027182	NC_073229.2	PRAC2	NC_073228.2	1.0	0.94	0.94	0.164
LOC109027288	NC_073229.2	OSTC	NC_073227.2	1.0	0.941	0.941	0.1411
LOC109027862	NC_073230.2	LOC115936218	NC_073233.2	1.0	0.932	0.932	0.1171
LOC109028351	NC_073237.2	LOC115932907	NC_073236.2	1.0	0.985	0.985	0.1086
LOC109028351	NC_073237.2	LOC115932939	NC_073236.2	1.0	0.976	0.976	0.4528
LOC109028351	NC_073237.2	LOC129526375	NC_073236.2	1.0	0.982	0.982	0.45
LOC109028351	NC_073237.2	LOC129526401	NC_073238.2	1.0	0.987	0.987	0.5075
LOC109028351	NC_073237.2	LOC129526552	NC_073239.2	1.0	0.973	0.973	0.3455
LOC109028351	NC_073237.2	LOC129527275	NC_073240.2	1.0	0.987	0.987	0.1977
LOC109028351	NC_073237.2	LOC129529639	NC_086018.1	1.0	0.957	0.957	0.246
LOC109028351	NC_073237.2	LOC129531947	NC_073235.2	1.0	0.967	0.967	0.1264
LOC109028351	NC_073237.2	LOC134757038	NC_073238.2	1.0	0.987	0.987	0.5659
LOC109028725	NC_086017.1	LOC134757181	NC_073239.2	1.0	0.935	0.935	0.1599
LOC109028868	NC_073233.2	LOC115930093	NC_073227.2	1.0	0.958	0.958	0.1905
LOC109028905	NC_073236.2	LOC115933037	NC_073238.2	1.0	0.977	0.977	0.5055
LOC109029045	NC_073234.2	NOP10	NC_073240.2	1.0	0.949	0.949	0.1217
LOC109029139	NC_073224.2	LOC129532266	NC_086017.1	1.0	0.91	0.91	0.084
LOC109029139	NC_073224.2	RPL39	NC_073247.2	1.0	0.961	0.961	0.233
LOC115930119	NC_073229.2	LOC115933194	NC_086017.1	1.0	0.997	0.997	0.5147
LOC115930119	NC_073229.2	LOC129525174	NC_073232.2	1.0	0.991	0.991	0.6553
LOC115930119	NC_073229.2	LOC129526565	NC_073241.2	1.0	0.989	0.989	0.4594
LOC115930119	NC_073229.2	LOC134756358	NC_073242.2	1.0	0.99	0.99	0.1445
LOC115930162	NC_073230.2	LOC115935863	NC_073237.2	1.0	0.938	0.938	0.1522
LOC115930187	NC_073234.2	RPSA	NC_086017.1	1.0	0.982	0.982	0.5897
LOC115931421	NC_073241.2	LOC129530133	NC_073247.2	1.0	0.995	0.995	0.6255
LOC115931637	NC_073244.2	LOC129530591	NC_073241.2	1.0	0.973	0.973	0.4196
LOC115931637	NC_073244.2	LOC134757034	NC_073238.2	1.0	0.975	0.975	0.4455
LOC115932622	NC_073233.2	SSU72L6	NC_073230.2	1.0	0.962	0.962	0.2313
LOC115932623	NC_073233.2	SSU72L6	NC_073230.2	1.0	0.968	0.968	0.2466
LOC115932812	NC_073236.2	LOC115933037	NC_073238.2	1.0	0.977	0.977	0.4821
LOC115932819	NC_073236.2	LOC115933013	NC_073238.2	1.0	0.992	0.992	0.7322
LOC115932837	NC_073246.2	LOC129530558	NC_086018.1	1.0	1.0	1.0	1.0
LOC115932853	NC_073227.2	LOC129523578	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532360	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532377	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532378	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532381	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532382	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532414	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532417	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532419	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532421	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532423	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC129532425	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134757997	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134757998	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134757999	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134758000	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134758001	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134758002	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932853	NC_073227.2	LOC134758003	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129523578	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532360	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532377	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532378	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532381	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532382	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532414	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532417	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532419	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532421	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532423	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC129532425	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134757997	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134757998	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134757999	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134758000	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134758001	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134758002	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932855	NC_073227.2	LOC134758003	NC_086017.1	1.0	0.976	0.976	0.4711
LOC115932907	NC_073236.2	LOC129526401	NC_073238.2	1.0	0.992	0.992	0.1653
LOC115932907	NC_073236.2	LOC129526976	NC_073240.2	1.0	0.984	0.984	0.1354
