cid	chrom	start	end	divergence	n_loci	sedef_partners	protein	call	reason
NC_073234.2_27052843	NC_073234.2	27052843	27291823	25.6	None	1	NO-HIT	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=1) — structurally a copy
NC_073234.2_27746178	NC_073234.2	27746178	27950123	7.2	1	3	DUSP16	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=3) AND het-range div=7.2% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073234.2_69501458	NC_073234.2	69501458	69573135	30.3	None	0	AMN1	DIVERGENT-NOVEL	single locus, no SEDEF, div=30.3% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073234.2_69638301	NC_073234.2	69638301	69846085	12.0	None	13	DENND5B	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=13) AND het-range div=12.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073234.2_79607745	NC_073234.2	79607745	79626238	3.2	1	0	LOC129525150	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.2% — a het variant of a one-copy gene
NC_073234.2_87153506	NC_073234.2	87153506	87240996	7.1	1	2	TBC1D15	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=7.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073234.2_87500533	NC_073234.2	87500533	87981748	54.0	None	43	TRHDE	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=43) — structurally a copy
NC_073235.2_102948110	NC_073235.2	102948110	103131729	6.4	1	17	SGO2	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=17) AND het-range div=6.4% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073235.2_107578994	NC_073235.2	107578994	108227649	57.4	None	28	PARD3B	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=28) — structurally a copy
NC_073235.2_109351808	NC_073235.2	109351808	109410337	12.1	1	0	FASTKD2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=12.1% — a het variant of a one-copy gene
NC_073235.2_139705999	NC_073235.2	139705999	139794450	8.4	None	0	NO-HIT	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=8.4% — a het variant of a one-copy gene
NC_073235.2_54611666	NC_073235.2	54611666	54740389	6.8	None	122	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=122) AND het-range div=6.8% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073235.2_61469647	NC_073235.2	61469647	61733782	16.7	1	6	TANC1	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=6) AND het-range div=16.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073236.2_108326754	NC_073236.2	108326754	108384160	4.4	1	0	SRD5A2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=4.4% — a het variant of a one-copy gene
NC_073236.2_136389939	NC_073236.2	136389939	136394857	25.2	None	0	NO-HIT	DIVERGENT-NOVEL	single locus, no SEDEF, div=25.2% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073236.2_139051025	NC_073236.2	139051025	139225258	7.0	None	5	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=5) AND het-range div=7.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073236.2_139329520	NC_073236.2	139329520	139333311	9.1	None	8	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=8) AND het-range div=9.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073236.2_31151610	NC_073236.2	31151610	31182107	30.7	None	6	NO-HIT	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=6) — structurally a copy
NC_073236.2_43122786	NC_073236.2	43122786	43166427	38.6	None	0	TGFBRAP1	DIVERGENT-NOVEL	single locus, no SEDEF, div=38.6% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073236.2_44341131	NC_073236.2	44341131	44542729	9.0	None	32	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=32) AND het-range div=9.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073236.2_45309982	NC_073236.2	45309982	45313228	10.5	None	1	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=1) AND het-range div=10.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073236.2_47672269	NC_073236.2	47672269	47731251	9.3	3	6	LOC109025447	AMBIGUOUS	multi-copy (n_loci=3, sedef_partners=6) AND het-range div=9.3% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073237.2_106907810	NC_073237.2	106907810	107039112	3.5	1	1	MUSK	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=1) AND het-range div=3.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073237.2_109499325	NC_073237.2	109499325	109614364	23.4	None	73	FKBP15	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=73) — structurally a copy
NC_073237.2_112096187	NC_073237.2	112096187	112323553	11.2	None	0	NO-HIT	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=11.2% — a het variant of a one-copy gene
NC_073237.2_132109476	NC_073237.2	132109476	132199876	40.1	None	0	KCNT1	DIVERGENT-NOVEL	single locus, no SEDEF, div=40.1% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073237.2_24097071	NC_073237.2	24097071	24154058	4.0	None	11	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=11) AND het-range div=4.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073237.2_29407910	NC_073237.2	29407910	29453726	4.2	3	33	LOC101142783	AMBIGUOUS	multi-copy (n_loci=3, sedef_partners=33) AND het-range div=4.2% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073237.2_86746091	NC_073237.2	86746091	86874556	4.0	None	0	LOC129530108	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=4.0% — a het variant of a one-copy gene
NC_073237.2_92253383	NC_073237.2	92253383	92464551	25.9	None	1	LOC115931578	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=1) — structurally a copy
NC_073238.2_101504720	NC_073238.2	101504720	101569974	19.0	None	0	NO-HIT	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=19.0% — a het variant of a one-copy gene
NC_073238.2_32266743	NC_073238.2	32266743	32352771	67.6	None	57	SH3BGRL2	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=57) — structurally a copy
NC_073238.2_52980396	NC_073238.2	52980396	53174873	7.4	1	2	FREM2	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=7.4% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073239.2_118930933	NC_073239.2	118930933	119017154	46.1	None	0	DYNC1H1	DIVERGENT-NOVEL	single locus, no SEDEF, div=46.1% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073239.2_94194199	NC_073239.2	94194199	94333049	24.6	None	0	VIPAS39	DIVERGENT-NOVEL	single locus, no SEDEF, div=24.6% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073240.2_33599393	NC_073240.2	33599393	33797797	3.3	1	0	FMN1	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.3% — a het variant of a one-copy gene
NC_073240.2_34675462	NC_073240.2	34675462	34856484	5.8	1	0	AVEN	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=5.8% — a het variant of a one-copy gene
NC_073240.2_38615657	NC_073240.2	38615657	38781813	4.2	1	1	TMCO5A	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=1) AND het-range div=4.2% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073240.2_52516524	NC_073240.2	52516524	52581880	20.9	None	0	TMOD2	DIVERGENT-NOVEL	single locus, no SEDEF, div=20.9% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073240.2_69714094	NC_073240.2	69714094	69763087	3.2	1	0	SH3BGRL2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.2% — a het variant of a one-copy gene
NC_073240.2_75001464	NC_073240.2	75001464	75043553	3.5	5	10	TAB3	AMBIGUOUS	multi-copy (n_loci=5, sedef_partners=10) AND het-range div=3.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073240.2_81806342	NC_073240.2	81806342	82002972	13.7	1	0	ARNT2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=13.7% — a het variant of a one-copy gene
NC_073241.2_105729386	NC_073241.2	105729386	105859752	6.5	None	0	NO-HIT	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=6.5% — a het variant of a one-copy gene
NC_073241.2_38333496	NC_073241.2	38333496	38489537	4.6	1	2	GNAL	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=4.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073242.2_107132656	NC_073242.2	107132656	107402189	25.9	None	5	LOC115935585	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=5) — structurally a copy
NC_073242.2_115154945	NC_073242.2	115154945	115173983	6.5	1	0	KLHL36	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=6.5% — a het variant of a one-copy gene
NC_073242.2_115967411	NC_073242.2	115967411	116194659	10.3	1	1	GSE1	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=1) AND het-range div=10.3% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073242.2_117905753	NC_073242.2	117905753	117962625	6.6	1	1	FBXO31	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=1) AND het-range div=6.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073242.2_18569043	NC_073242.2	18569043	18599318	13.9	None	66	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=66) AND het-range div=13.9% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073242.2_22663046	NC_073242.2	22663046	22748219	43.9	None	0	USP31	DIVERGENT-NOVEL	single locus, no SEDEF, div=43.9% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073242.2_4907880	NC_073242.2	4907880	4913621	3.2	1	0	LOC129527496	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=3.2% — a het variant of a one-copy gene
NC_073242.2_6233163	NC_073242.2	6233163	6310917	25.3	None	35	KCTD5	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=35) — structurally a copy
NC_073242.2_93456069	NC_073242.2	93456069	93480588	7.8	1	0	CADM2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=7.8% — a het variant of a one-copy gene
NC_073243.2_15595463	NC_073243.2	15595463	15599446	15.5	1	0	LIAT1	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=15.5% — a het variant of a one-copy gene
NC_073243.2_27312208	NC_073243.2	27312208	27435624	43.2	None	5	CERS5	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=5) — structurally a copy
NC_073243.2_30120917	NC_073243.2	30120917	30246526	70.6	None	0	NO-HIT	DIVERGENT-NOVEL	single locus, no SEDEF, div=70.6% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_073243.2_30720094	NC_073243.2	30720094	30848095	5.8	2	19	TVP23B	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=19) AND het-range div=5.8% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073243.2_88364350	NC_073243.2	88364350	88384441	13.5	2	1	PRDM9	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=1) AND het-range div=13.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073244.2_14850327	NC_073244.2	14850327	14875512	3.7	1	2	ZNF558	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=3.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073244.2_15355286	NC_073244.2	15355286	15415343	22.2	None	78	ZNF559	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=78) — structurally a copy
NC_073244.2_17846595	NC_073244.2	17846595	17944006	10.1	1	81	LOC101130507	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=81) AND het-range div=10.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073244.2_18096775	NC_073244.2	18096775	18109820	5.2	1	5	LOC101128712	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=5) AND het-range div=5.2% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073244.2_27131194	NC_073244.2	27131194	27170012	5.5	None	75	LOC115931578	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=75) AND het-range div=5.5% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073244.2_28431147	NC_073244.2	28431147	28544467	13.6	4	104	ZNF208	AMBIGUOUS	multi-copy (n_loci=4, sedef_partners=104) AND het-range div=13.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073244.2_29626893	NC_073244.2	29626893	29718700	24.6	None	113	ZNF91	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=113) — structurally a copy
NC_073244.2_47964367	NC_073244.2	47964367	48057184	3.3	11	52	LOC101127117	AMBIGUOUS	multi-copy (n_loci=11, sedef_partners=52) AND het-range div=3.3% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073245.2_28784637	NC_073245.2	28784637	28792549	6.9	1	0	INO80C	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=6.9% — a het variant of a one-copy gene
NC_073245.2_56146489	NC_073245.2	56146489	56301093	16.9	None	2	LOC129524615	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=2) AND het-range div=16.9% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073245.2_68632998	NC_073245.2	68632998	68670110	10.1	None	5	AURKA	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=5) AND het-range div=10.1% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073245.2_76044575	NC_073245.2	76044575	76134719	17.0	1	0	ZBTB46	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=17.0% — a het variant of a one-copy gene
NC_073245.2_76557745	NC_073245.2	76557745	76577792	3.6	2	1	PCMTD2	AMBIGUOUS	multi-copy (n_loci=2, sedef_partners=1) AND het-range div=3.6% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073246.2_18281654	NC_073246.2	18281654	18611650	4.7	None	62	NO-HIT	AMBIGUOUS	multi-copy (n_loci=None, sedef_partners=62) AND het-range div=4.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073246.2_30485798	NC_073246.2	30485798	30793069	30.7	None	15	N6AMT1	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=15) — structurally a copy
NC_073246.2_35973819	NC_073246.2	35973819	36044082	4.7	1	2	SLC5A3	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=4.7% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073246.2_41077635	NC_073246.2	41077635	41207838	6.4	1	5	BRWD1	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=5) AND het-range div=6.4% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_073246.2_47124660	NC_073246.2	47124660	47147320	9.2	1	0	POFUT2	ALLELE/HET	single locus (n_loci=1, no SEDEF partner) + het-range div=9.2% — a het variant of a one-copy gene
NC_073246.2_47151614	NC_073246.2	47151614	47157988	6.9	None	0	NO-HIT	ALLELE/HET	single locus (n_loci=None, no SEDEF partner) + het-range div=6.9% — a het variant of a one-copy gene
NC_073246.2_48214082	NC_073246.2	48214082	48358513	3.0	1	2	PCNT	AMBIGUOUS	multi-copy (n_loci=1, sedef_partners=2) AND het-range div=3.0% — could be a new copy OR an allele of an existing copy (MHC-class)
NC_086017.1_108627629	NC_086017.1	108627629	108782434	23.5	None	0	CRYBG3	DIVERGENT-NOVEL	single locus, no SEDEF, div=23.5% too divergent for a het — a paralog the T2T lacks OR an artifact (needs DNA / 2nd haplotype)
NC_086017.1_118126517	NC_086017.1	118126517	118216154	21.8	None	47	LOC129532516	COPY	assembly resolves >=2 loci (n_loci=None, sedef_partners=47) — structurally a copy
