dn	n_reads	mm_median	mm_mean	mm_max
DN_NC_073224.2_47163026_13	5	1.0000	1.0000	1
DN_NC_073224.2_50024137_10	87	1.0000	1.0460	2
DN_NC_073224.2_51430719_7	207	1.0000	1.0531	6
DN_NC_073224.2_53012398_21	96	1.0000	1.3021	12
DN_NC_073224.2_53524414_11	55	1.0000	3.7455	51
DN_NC_073224.2_53535059_3	134	1.0000	2.1269	51
DN_NC_073224.2_53955814_27	400	1.0000	1.2650	51
DN_NC_073224.2_5565564_3	105	2.0000	7.7619	52
DN_NC_073224.2_5641112_4	203	1.0000	3.5616	51
DN_NC_073224.2_5715398_2	103	2.0000	7.0291	51
DN_NC_073224.2_58834163_5	299	1.0000	1.0000	1
DN_NC_073224.2_6827773_11	113	2.0000	2.5398	5
DN_NC_073224.2_77707994_7	57	51.0000	43.1053	52
DN_NC_073224.2_8222533_5	400	50.0000	38.4425	52
DN_NC_073224.2_8261601_4	400	51.0000	49.3575	52
DN_NC_073224.2_8329397_4	400	50.5000	49.5900	52
DN_NC_073224.2_8356715_4	400	50.5000	49.5900	52
DN_NC_073224.2_8422960_4	400	50.5000	49.6925	52
DN_NC_073224.2_84334480_20	115	1.0000	12.4957	51
DN_NC_073224.2_85416146_10	55	3.0000	22.0727	52
DN_NC_073224.2_85471368_7	58	9.0000	22.4483	52
DN_NC_073224.2_90855831_7	85	1.0000	5.1294	52
DN_NC_073224.2_91906991_7	201	2.0000	2.1542	20
DN_NC_073224.2_95093869_7	65	2.0000	2.3692	28
DN_NC_073224.2_95171181_7	68	2.0000	5.2500	51
DN_NC_073224.2_9521619_7	149	3.0000	8.9262	51
DN_NC_073224.2_95638704_6	203	1.0000	2.2167	51
DN_NC_073224.2_95648579_7	206	1.0000	2.1990	51
DN_NC_073224.2_95894630_7	218	51.0000	42.7752	51
DN_NC_073224.2_95939283_8	44	3.0000	14.0227	51
DN_NC_073224.2_96681549_23	248	1.0000	1.0524	2
DN_NC_073224.2_98617594_3	75	35.0000	24.7333	51
DN_NC_073227.2_103831874_13	78	1.0000	1.2692	22
DN_NC_073227.2_107202270_4	10	1.0000	1.0000	1
DN_NC_073227.2_107737271_8	227	1.0000	4.6564	51
DN_NC_073227.2_108696648_23	400	1.0000	2.1475	51
DN_NC_073227.2_108774177_23	400	1.0000	1.8825	51
DN_NC_073227.2_109806788_5	35	33.0000	26.0000	52
DN_NC_073227.2_119617950_9	400	3.0000	6.9025	51
DN_NC_073227.2_119647764_9	400	3.0000	7.3900	51
DN_NC_073227.2_120192697_7	358	2.0000	2.5196	51
DN_NC_073227.2_12039502_7	92	8.0000	8.9783	51
DN_NC_073227.2_12088225_8	400	11.0000	11.1075	17
DN_NC_073227.2_123234622_13	110	7.0000	10.3364	52
DN_NC_073227.2_13097386_9	64	1.0000	1.5312	35
DN_NC_073227.2_133828574_18	400	1.0000	2.0000	51
DN_NC_073227.2_138626266_4	34	1.0000	2.0882	32
DN_NC_073227.2_139561252_10	400	4.0000	11.3500	51
DN_NC_073227.2_142943898_3	77	1.0000	3.7792	51
DN_NC_073227.2_143010447_5	78	1.0000	2.9487	51
DN_NC_073227.2_14699796_2	400	2.0000	2.1400	3
DN_NC_073227.2_14766891_2	400	3.0000	3.1300	51
DN_NC_073227.2_147946045_19	400	1.0000	2.9500	52
DN_NC_073227.2_148229831_8	251	51.0000	38.0478	53
DN_NC_073227.2_148253939_6	400	13.5000	24.1925	53
DN_NC_073227.2_14847068_10	69	1.0000	1.0145	2
DN_NC_073227.2_149041423_9	400	1.0000	1.0525	22
DN_NC_073227.2_15519199_14	44	1.0000	1.0227	2
DN_NC_073227.2_15589297_3	34	1.0000	1.0294	2
DN_NC_073227.2_160095836_15	336	1.0000	1.6042	51
DN_NC_073227.2_164298818_24	400	1.0000	1.2500	51
DN_NC_073227.2_166164041_5	357	6.0000	15.8291	51
DN_NC_073227.2_16860393_3	400	51.0000	47.2375	51
DN_NC_073227.2_17184793_5	321	36.0000	28.9470	51
DN_NC_073227.2_17445647_6	400	14.0000	14.7025	51
DN_NC_073227.2_179688123_13	400	3.0000	3.0400	51
DN_NC_073227.2_179727029_10	400	1.0000	1.7550	51
DN_NC_073227.2_185890924_3	107	3.0000	8.0561	52
DN_NC_073227.2_185943028_3	30	48.0000	29.8333	52
DN_NC_073227.2_190603026_12	400	2.0000	2.0800	52
DN_NC_073227.2_195911333_4	14	1.0000	4.5714	51
DN_NC_073227.2_204398881_3	315	2.0000	3.6317	52
DN_NC_073227.2_205610166_3	400	2.0000	14.2575	52
DN_NC_073227.2_205644909_14	188	2.0000	6.7819	52
DN_NC_073227.2_205687695_12	203	2.0000	6.6355	52
DN_NC_073227.2_206378182_5	163	1.0000	1.0000	1
DN_NC_073227.2_206379213_12	345	1.0000	1.0029	2
DN_NC_073227.2_208386894_3	77	1.0000	14.0390	51
DN_NC_073227.2_210893336_9	313	22.0000	22.7859	51
DN_NC_073227.2_211080863_4	400	23.0000	22.1400	51
DN_NC_073227.2_211100517_2	32	22.0000	22.4688	24
DN_NC_073227.2_211418821_2	250	9.0000	9.5240	51
DN_NC_073227.2_211898132_4	188	2.0000	8.0904	52
DN_NC_073227.2_212285016_9	199	8.0000	7.7286	51
DN_NC_073227.2_21866694_4	26	1.0000	3.6154	52
DN_NC_073227.2_22580407_2	12	1.5000	13.3333	51
DN_NC_073227.2_23212119_11	280	1.0000	11.4571	52
DN_NC_073227.2_23893974_2	388	3.0000	3.3119	52
DN_NC_073227.2_26000468_4	216	1.0000	1.5231	48
DN_NC_073227.2_36265860_3	50	1.0000	10.3400	51
DN_NC_073227.2_47476685_7	207	2.0000	11.3237	51
DN_NC_073227.2_49278079_9	28	1.0000	2.7857	51
DN_NC_073227.2_50003246_2	400	2.0000	2.4825	51
DN_NC_073227.2_55859426_23	361	1.0000	1.2825	49
DN_NC_073227.2_56356744_8	400	1.0000	1.1550	8
DN_NC_073227.2_72845455_9	400	1.0000	6.3700	51
DN_NC_073227.2_72905683_18	400	1.0000	6.2450	51
DN_NC_073227.2_8155721_4	400	23.0000	22.8600	52
DN_NC_073227.2_8633416_4	400	37.0000	29.0775	51
DN_NC_073227.2_8633418_2	400	40.0000	29.3775	51
DN_NC_073227.2_8705656_4	400	10.0000	24.1175	52
DN_NC_073227.2_8792448_3	400	51.0000	39.8725	52
DN_NC_073227.2_8907801_4	400	51.0000	41.4050	52
DN_NC_073227.2_9009655_3	400	51.0000	41.3700	52
DN_NC_073227.2_9009888_2	400	51.0000	41.4400	52
DN_NC_073227.2_9010062_2	400	51.0000	41.4400	52
DN_NC_073227.2_9231816_7	43	1.0000	1.2791	12
DN_NC_073227.2_9238554_4	77	1.0000	1.1818	12
DN_NC_073227.2_93560991_18	58	30.5000	26.0690	51
DN_NC_073227.2_94411155_8	73	1.0000	2.8356	51
DN_NC_073227.2_94499432_2	56	1.0000	4.0714	51
DN_NC_073227.2_96191422_22	400	3.0000	3.3675	51
DN_NC_073227.2_97044821_2	400	13.0000	10.1200	51
DN_NC_073227.2_9789563_10	44	1.0000	1.0000	1
DN_NC_073227.2_99578163_2	142	1.0000	1.1620	2
DN_NC_073228.2_10057969_7	123	1.0000	1.0000	1
DN_NC_073228.2_103031498_31	373	1.0000	1.6863	51
DN_NC_073228.2_10434405_6	400	45.0000	43.1625	51
DN_NC_073228.2_113136254_10	400	1.0000	1.1725	51
DN_NC_073228.2_115483850_5	160	4.0000	4.9688	51
DN_NC_073228.2_115545008_4	158	4.0000	4.0506	51
DN_NC_073228.2_11820810_12	400	1.0000	1.7475	51
DN_NC_073228.2_13195036_13	400	1.0000	1.0050	3
DN_NC_073228.2_13540554_8	268	1.0000	1.0000	1
DN_NC_073228.2_136205303_10	120	2.0000	7.7917	51
DN_NC_073228.2_136280772_10	120	2.0000	4.2500	51
DN_NC_073228.2_138094944_7	400	2.0000	2.9775	51
DN_NC_073228.2_138307166_3	66	3.0000	4.4848	47
DN_NC_073228.2_138430444_12	53	1.0000	1.9434	51
DN_NC_073228.2_141706476_5	54	1.0000	1.9815	51
DN_NC_073228.2_142333279_8	338	51.0000	38.8491	52
DN_NC_073228.2_144488767_12	95	1.0000	1.0737	2
DN_NC_073228.2_144494736_3	142	1.0000	1.3873	2
DN_NC_073228.2_144514226_7	304	3.0000	2.1414	4
DN_NC_073228.2_144520267_4	300	3.0000	2.1467	4
DN_NC_073228.2_144523376_13	400	1.0000	1.0125	4
DN_NC_073228.2_144540580_13	400	1.0000	1.0125	4
DN_NC_073228.2_144930567_2	400	18.0000	17.1250	19
DN_NC_073228.2_144930638_2	400	18.0000	17.1250	19
DN_NC_073228.2_144957130_2	400	18.0000	17.4075	18
DN_NC_073228.2_144970572_2	400	18.0000	17.4475	18
DN_NC_073228.2_145022553_2	400	18.0000	17.7175	18
DN_NC_073228.2_145079893_2	400	18.0000	17.1925	19
DN_NC_073228.2_145079904_2	400	18.0000	17.1925	19
DN_NC_073228.2_145157318_2	155	4.0000	4.8581	18
DN_NC_073228.2_145186024_2	104	3.0000	4.3942	18
DN_NC_073228.2_151255605_14	124	1.0000	1.7984	51
DN_NC_073228.2_154339565_7	85	1.0000	1.5882	51
DN_NC_073228.2_154747841_5	309	1.0000	3.8350	52
DN_NC_073228.2_154780892_3	79	2.0000	12.0380	52
DN_NC_073228.2_15481792_19	27	1.0000	4.6296	52
DN_NC_073228.2_155613898_3	140	15.5000	12.4643	51
DN_NC_073228.2_156235200_4	14	1.0000	5.2857	51
DN_NC_073228.2_157310163_16	41	1.0000	1.0000	1
DN_NC_073228.2_161096696_31	250	1.0000	1.9680	52
DN_NC_073228.2_161454333_5	184	1.0000	2.0326	51
DN_NC_073228.2_16703728_6	211	2.0000	1.9289	51
DN_NC_073228.2_16706128_5	234	2.0000	1.9316	51
DN_NC_073228.2_16713346_17	122	1.0000	1.6639	51
DN_NC_073228.2_174193084_4	39	1.0000	1.0513	2
DN_NC_073228.2_174681363_28	292	1.0000	9.1438	52
DN_NC_073228.2_175667319_12	400	2.0000	2.0225	4
DN_NC_073228.2_176576489_4	400	1.0000	1.2550	51
DN_NC_073228.2_177718215_8	52	1.0000	1.0000	1
DN_NC_073228.2_179795915_6	290	2.0000	2.5379	51
DN_NC_073228.2_179980536_5	266	3.0000	8.9173	52
DN_NC_073228.2_180865938_18	51	1.0000	3.9412	51
DN_NC_073228.2_181756447_11	248	1.0000	2.1815	51
DN_NC_073228.2_181772207_4	241	1.0000	2.2033	51
DN_NC_073228.2_182227322_13	295	1.0000	1.2034	49
DN_NC_073228.2_182334642_5	370	2.0000	2.0649	21
DN_NC_073228.2_182473921_9	104	4.0000	7.3462	51
DN_NC_073228.2_182513643_26	253	4.0000	6.5020	53
DN_NC_073228.2_182587557_24	245	4.0000	6.1102	53
DN_NC_073228.2_182638384_11	107	4.0000	5.0748	51
DN_NC_073228.2_182778476_6	296	2.0000	3.0507	51
DN_NC_073228.2_182827930_5	397	2.0000	2.4736	51
DN_NC_073228.2_182864372_4	46	1.0000	4.0435	51
DN_NC_073228.2_182909765_5	12	1.0000	9.7500	51
DN_NC_073228.2_182994030_5	220	1.0000	1.5682	51
DN_NC_073228.2_183595646_14	400	6.0000	5.5550	7
DN_NC_073228.2_183658467_2	209	33.0000	28.0909	35
DN_NC_073228.2_183798210_8	400	1.0000	1.0025	2
DN_NC_073228.2_183812935_7	142	1.0000	1.0493	6
DN_NC_073228.2_184836165_2	188	1.0000	1.8085	51
DN_NC_073228.2_184836166_2	188	1.0000	1.8085	51
DN_NC_073228.2_185199640_2	54	3.0000	4.0370	51
DN_NC_073228.2_18740149_2	400	1.0000	1.0075	3
DN_NC_073228.2_18761647_14	400	1.0000	1.0050	3
DN_NC_073228.2_18779384_3	70	1.0000	1.8143	52
DN_NC_073228.2_18798859_2	69	1.0000	1.8261	52
DN_NC_073228.2_22763468_38	400	2.0000	2.1575	51
DN_NC_073228.2_22930246_39	400	2.0000	2.0000	2
DN_NC_073228.2_23038330_39	400	2.0000	2.1275	51
DN_NC_073228.2_23742950_7	385	3.0000	2.9091	52
DN_NC_073228.2_27022347_6	400	3.0000	7.9025	52
DN_NC_073228.2_27148471_4	400	13.0000	24.5000	51
DN_NC_073228.2_27169290_8	310	5.0000	24.7613	51
DN_NC_073228.2_28222257_21	400	1.0000	1.0175	3
DN_NC_073228.2_28230327_9	400	1.0000	1.0000	1
DN_NC_073228.2_28439701_5	400	7.0000	6.3050	7
DN_NC_073228.2_29619142_9	118	2.0000	2.1695	12
DN_NC_073228.2_30586164_7	7	1.0000	8.2857	51
DN_NC_073228.2_31824273_3	308	7.0000	7.2500	51
DN_NC_073228.2_32366054_32	400	1.0000	1.1325	52
DN_NC_073228.2_33351152_31	184	5.0000	6.9185	52
DN_NC_073228.2_33351168_2	135	6.0000	7.6444	52
DN_NC_073228.2_33518400_11	62	1.0000	1.8065	51
DN_NC_073228.2_37084614_4	400	2.0000	2.2150	51
DN_NC_073228.2_37089052_16	400	2.0000	2.6550	51
DN_NC_073228.2_41229799_2	124	1.0000	1.0000	1
DN_NC_073228.2_41871026_51	400	1.0000	1.0000	1
DN_NC_073228.2_45686814_4	400	10.0000	9.4450	52
DN_NC_073228.2_45710800_6	400	10.0000	9.2075	52
DN_NC_073228.2_45948292_6	400	11.0000	10.1375	15
DN_NC_073228.2_45974488_9	144	3.0000	3.5694	12
DN_NC_073228.2_46729356_10	400	12.0000	11.6900	51
DN_NC_073228.2_46778774_7	154	3.0000	4.1883	51
DN_NC_073228.2_47938018_2	22	31.5000	31.4091	51
DN_NC_073228.2_49477319_5	47	2.0000	11.7234	52
DN_NC_073228.2_49710333_4	400	51.0000	48.6200	52
DN_NC_073228.2_49804904_11	375	3.0000	3.1573	51
DN_NC_073228.2_49856055_11	400	3.0000	3.3575	52
DN_NC_073228.2_50347799_18	96	1.0000	1.0000	1
DN_NC_073228.2_52119080_9	29	1.0000	7.5862	52
DN_NC_073228.2_53278878_13	27	1.0000	2.0370	17
DN_NC_073228.2_53674812_10	346	1.0000	1.1936	3
DN_NC_073228.2_54243403_14	106	15.0000	13.8208	21
DN_NC_073228.2_56462402_14	104	15.0000	14.0288	21
DN_NC_073228.2_56531257_20	234	8.0000	10.6752	52
DN_NC_073228.2_57285795_22	400	3.0000	2.9050	35
DN_NC_073228.2_57477870_3	143	2.0000	14.8042	52
DN_NC_073228.2_57567147_5	102	3.0000	18.7843	53
DN_NC_073228.2_57583458_4	138	2.0000	14.8841	53
DN_NC_073228.2_57642308_6	91	3.0000	17.6154	53
DN_NC_073228.2_58045766_15	58	1.0000	1.2759	9
DN_NC_073228.2_58687413_3	20	1.0000	3.7500	51
DN_NC_073228.2_58745873_3	21	1.0000	3.5714	51
DN_NC_073228.2_60766049_19	400	2.0000	2.4175	51
DN_NC_073228.2_60914130_12	400	12.0000	11.5575	52
DN_NC_073228.2_61034643_7	57	2.0000	3.4035	51
DN_NC_073228.2_62340772_5	284	12.0000	11.2570	51
DN_NC_073228.2_62433488_6	400	5.0000	8.4100	51
DN_NC_073228.2_64369461_5	101	6.0000	19.6634	52
DN_NC_073228.2_64684384_5	63	1.0000	2.0000	52
DN_NC_073228.2_64691860_6	44	1.0000	2.4318	52
DN_NC_073228.2_64755384_5	122	1.0000	1.6885	39
DN_NC_073228.2_64760968_3	276	2.0000	13.6341	51
DN_NC_073228.2_64771915_4	357	51.0000	33.8011	52
DN_NC_073228.2_64771950_2	350	51.0000	34.4371	52
DN_NC_073228.2_66328056_2	53	6.0000	12.2830	51
DN_NC_073228.2_70438436_2	400	19.0000	18.6875	51
DN_NC_073228.2_70719297_2	106	20.0000	15.3019	52
DN_NC_073228.2_78724694_4	132	3.0000	3.4242	33
DN_NC_073228.2_78872851_5	400	8.0000	11.6400	51
DN_NC_073228.2_78970101_2	206	3.0000	3.9417	51
DN_NC_073228.2_78970117_3	206	3.0000	3.9417	51
DN_NC_073228.2_79204251_5	130	3.0000	3.0846	15
DN_NC_073228.2_79859997_3	383	7.0000	6.5091	51
DN_NC_073228.2_79926211_12	400	3.0000	3.4100	52
DN_NC_073228.2_81446275_7	400	3.0000	2.7175	8
DN_NC_073228.2_81689164_6	400	2.0000	2.5450	9
DN_NC_073228.2_83259868_7	400	2.0000	2.8700	52
DN_NC_073228.2_83368453_5	381	7.0000	6.3990	20
DN_NC_073228.2_83434996_12	400	3.0000	3.3025	52
DN_NC_073228.2_83513581_6	214	1.0000	1.3131	52
DN_NC_073228.2_83600319_6	202	1.0000	1.3267	29
DN_NC_073228.2_83796015_2	400	19.0000	19.2650	51
DN_NC_073228.2_84714357_6	233	1.0000	1.8369	45
DN_NC_073228.2_8941710_13	399	1.0000	1.3835	35
DN_NC_073228.2_9043620_39	390	1.0000	2.6256	51
DN_NC_073228.2_91400267_25	400	1.0000	1.3825	51
DN_NC_073228.2_91522397_9	371	1.0000	1.4528	51
DN_NC_073228.2_9291784_6	43	3.0000	4.0698	51
DN_NC_073228.2_9345525_10	400	4.0000	4.0725	51
DN_NC_073228.2_9720205_10	400	1.0000	1.2625	10
DN_NC_073228.2_97705476_2	231	51.0000	37.9654	51
DN_NC_073228.2_9959442_6	121	1.0000	1.4298	52
DN_NC_073229.2_107305414_13	400	1.0000	19.5275	52
DN_NC_073229.2_109663823_28	400	1.0000	1.2525	51
DN_NC_073229.2_113642543_16	103	1.0000	3.4660	51
DN_NC_073229.2_113787300_3	400	5.0000	4.2200	7
DN_NC_073229.2_135821332_11	87	2.0000	1.5747	2
DN_NC_073229.2_136502891_3	125	2.0000	2.3920	51
DN_NC_073229.2_136550623_3	400	6.0000	5.7200	51
DN_NC_073229.2_140139419_8	32	23.0000	25.7188	52
DN_NC_073229.2_140449427_2	64	1.0000	3.0938	52
DN_NC_073229.2_140476081_2	400	1.0000	1.1875	52
DN_NC_073229.2_141117205_4	155	6.0000	15.4516	53
DN_NC_073229.2_147682056_8	313	1.0000	1.3674	52
DN_NC_073229.2_157439925_18	82	1.0000	2.4390	51
DN_NC_073229.2_174132332_5	400	3.0000	3.2350	40
DN_NC_073229.2_174168227_4	394	3.0000	3.0964	40
DN_NC_073229.2_174230881_5	399	3.0000	3.0652	18
DN_NC_073229.2_17702988_11	400	4.0000	5.0650	52
DN_NC_073229.2_181371301_3	232	1.0000	1.0000	1
DN_NC_073229.2_182999268_13	400	2.0000	1.9850	2
DN_NC_073229.2_183992530_9	400	2.0000	2.8450	51
DN_NC_073229.2_184008587_12	400	4.0000	2.9950	51
DN_NC_073229.2_190755772_21	30	1.0000	1.0667	2
DN_NC_073229.2_193493894_22	190	1.0000	1.1579	20
DN_NC_073229.2_194862622_5	74	24.5000	28.9054	52
DN_NC_073229.2_195378107_3	400	23.0000	25.6800	52
DN_NC_073229.2_20497552_7	400	1.0000	1.5250	51
DN_NC_073229.2_20766733_4	400	26.0000	23.1225	51
DN_NC_073229.2_21470970_2	114	1.0000	1.0263	2
DN_NC_073229.2_21709541_6	199	1.0000	1.6935	52
DN_NC_073229.2_21735101_10	208	1.0000	1.4183	51
DN_NC_073229.2_28348360_6	272	3.0000	3.8088	51
DN_NC_073229.2_28419493_6	279	3.0000	4.0753	51
DN_NC_073229.2_29619457_3	18	1.0000	12.4444	51
DN_NC_073229.2_42464475_7	57	1.0000	1.9825	35
DN_NC_073229.2_43677378_4	276	51.0000	42.3913	52
DN_NC_073229.2_43808975_3	400	2.0000	9.2325	51
DN_NC_073229.2_43841872_2	133	20.0000	21.1579	51
DN_NC_073229.2_44058305_8	400	3.0000	3.0525	22
DN_NC_073229.2_44079934_10	227	3.0000	3.0793	22
DN_NC_073229.2_44118209_11	281	3.0000	3.0712	22
DN_NC_073229.2_44135507_8	400	3.0000	3.0550	22
