gene_a	gene_b	dn_a	dn_b	label	comp	fold	core_recip	aln_frac	aln_len	log_aln_len	contain_max	contain_min	recip_contain	core_x_alnfrac	contain_x_alnfrac	id	min_cov	n_exon_min	n_exon_max	n_exon_ratio	n_exon_absdiff	both_single	min_shared_mult	max_shared_mult	mult_ratio	n_shared_nodes	log_n_shared_nodes	shares_only_repeat_m5	vg_softmask	mmMed_min	mmMed_max	mmMed_mean	mmMax_min	mmMax_max	mmMax_mean	nReads_min	nReads_max	nReads_mean	nReads_ratio	kmMed_min	kmMed_max	kmMed_mean	kmFrac100_min	kmFrac100_max	kmFrac100_mean	nKmers_min	nKmers_max	nKmers_mean	mask_max	mask_min	bridge_mask
ACO2	POLR3H	DN_NC_086018.1_39469630_18	DN_NC_086018.1_39525778_6	0	6	1	0.2132	0	0	0	0	0	0	0	0			6	18	0.333333	12	0	2	5	0.4	338	5.826	0	0.0728	4	4	4	18	18	18	400	400	400	1	0	1	0.5	0	0.0209	0.01045	4019	7820	5919.5	0.0728	0.0518	0.0728
ACOT6	CDKN2AIPNL	DN_NC_073228.2_138307166_3	DN_NC_073239.2_90471291_2	0	7	2	0.132	0	0	0	0	0	0	0	0			2	3	0.666667	1	0	9	503	0.0178926	4	1.60944	1	0.4691	1	3	2	47	51	49	41	66	53.5	0.621212	0	1	0.5	0.0507	0.0957	0.0732	1306	4001	2653.5	0.4691	0.2657	0.4691
ACOT9	LOC129525165	DN_NC_073232.2_145623155_3	DN_NC_073247.2_34199522_16	0	8	3	0.188	0	0	0	0	0	0	0	0			2	16	0.125	14	0	4	503	0.00795229	14	2.70805	0	0.2501	1	1	1	51	52	51.5	90	193	141.5	0.466321	0	1	0.5	0.071	0.0717	0.07135	1295	3097	2196	0.2501	0.2373	0.2501
ACP1	ALKAL2	DN_NC_073236.2_139618373_5	DN_NC_073236.2_139624268_6	0	9	3	0.8616	0.8616	1867	7.53262	0.2	0	0	0.742355	0.17232			5	6	0.833333	1	0	2	17	0.117647	395	5.98141	0	0.144	1	2	1.5	4	5	4.5	36	400	218	0.09	0	1	0.5	0	0	0	2147	6214	4180.5	0.144	0.1211	0.144
ACSBG1	IDH3A	DN_NC_073240.2_79048326_11	DN_NC_073240.2_79068535_14	1	10	4	0.5137	0.513	2175	7.68524	0.0909	0.0714	0.0714	0.263528	0.0466317	1	0.247	11	14	0.785714	3	0	2	21	0.0952381	461	6.13556	0	0.0698	2	2	2	51	51	51	400	400	400	1	0	0	0	0	0	0	4220	4691	4455.5	0.0698	0.0605	0.0698
ACSM1	LOC129528956	DN_NC_073242.2_20304889_2	DN_NC_073244.2_28133171_2	0	12	1	0.1515	0.9663	3035	8.0183	0.5	0.5	0.5	0.146394	0.48315			2	2	1	0	0	2	4	0.5	133	4.89784	0	0.1964	22	50	36	51	52	51.5	400	400	400	1	1	1	1	0	0.0006	0.0003	3112	3398	3255	0.1964	0.1629	0.1964
ACTB	ACTG1	DN_NC_073228.2_10434405_6	DN_NC_073230.2_12962256_6	1	13	2	0.5384	0.5257	1115	7.01751	0.6667	0.6667	0.6667	0.283037	0.350484	0.9156	0.467	6	6	1	0	0	2	3	0.666667	53	3.98898	0	0.1127	41	45	43	51	51	51	400	400	400	1	0	0	0	0	0.0029	0.00145	2101	2213	2157	0.1127	0.0385	0.1127
ACTL6A	MRPL47	DN_NC_086017.1_190656695_14	DN_NC_086017.1_190680196_7	0	14	3	0.4282	0.4274	1069	6.97541	0.0714	0	0	0.183013	0.0305164			7	14	0.5	7	0	2	4	0.5	245	5.50533	0	0.2165	1	1	1	51	51	51	311	400	355.5	0.7775	0	0	0	0	0.0107	0.00535	2481	3551	3016	0.2165	0.1383	0.2165
ADA	PKIG	DN_NC_073245.2_56763975_4	DN_NC_073245.2_56852545_12	0	16	4	0.2136	0.2136	332	5.80814	0.0833	0	0	0.045625	0.0177929			4	12	0.333333	8	0	2	3	0.666667	105	4.66344	0	0.043	1	1	1	51	51	51	36	148	92	0.243243	0	1	0.5	0	0	0	1534	3773	2653.5	0.043	0.0315	0.043
ADAT1	LOC109026802	DN_NC_073228.2_185199640_2	DN_NC_073242.2_106088342_11	0	18	4	0.2491	0	0	0	0	0	0	0	0			2	11	0.181818	9	0	7	426	0.0164319	13	2.63906	1	0.428	1	3	2	51	51	51	54	111	82.5	0.486486	0	1	0.5	0.0721	0.1006	0.08635	1064	5020	3042	0.428	0.3729	0.428
ADGRF5	LOC109023105	DN_NC_073229.2_64639535_22	DN_NC_073238.2_32078126_7	0	19	1	0.2208	0.9057	3064	8.0278	0.7143	0.2273	0.2273	0.199979	0.646942			7	22	0.318182	15	0	2	8	0.25	338	5.826	0	0.1398	2	2	2	5	52	28.5	121	170	145.5	0.711765	0	1	0.5	0.0027	0.0048	0.00375	3363	6018	4690.5	0.1398	0.0714	0.1398
ADH1B	LOC101136823	DN_NC_073227.2_119617950_9	DN_NC_073227.2_119647764_9	1	20	2	0.3518	0.7835	2768	7.92624	0.8889	0.8889	0.8889	0.275635	0.696453	0.9431	0.38	9	9	1	0	0	2	5	0.4	160	5.0814	0	0.2359	3	3	3	51	51	51	400	400	400	1	0	1	0.5	0	0.029	0.0145	3513	4583	4048	0.2359	0.1016	0.2359
ADORA1	CHIT1	DN_NC_073224.2_53524414_11	DN_NC_073224.2_53535059_3	0	21	3	0.4714	0.471	1063	6.96979	0.0909	0	0	0.222029	0.0428139			3	11	0.272727	8	0	2	7	0.285714	242	5.49306	0	0.0387	1	1	1	51	51	51	55	134	94.5	0.410448	0	0	0	0	0	0	2237	3904	3070.5	0.0387	0.0195	0.0387
AFG3L2	TUBB6	DN_NC_073241.2_37890028_17	DN_NC_073241.2_37935842_4	0	22	4	0.2395	0.2391	641	6.46459	0.0588	0	0	0.0572645	0.0140591			4	17	0.235294	13	0	2	4	0.5	124	4.82831	0	0.3383	2	2	2	8	8	8	400	400	400	1	0	0	0	0	0.0729	0.03645	2661	3442	3051.5	0.3383	0.076	0.3383
AK6	TAF9B	DN_NC_073243.2_40875168_3	DN_NC_073247.2_89808941_7	0	23	1	0.3182	0	0	0	0	0	0	0	0			3	7	0.428571	4	0	2	2	1	13	2.63906	0	0.1683	2	4	3	51	52	51.5	339	400	369.5	0.8475	1	1	1	0	0.003	0.0015	1303	3040	2171.5	0.1683	0.0552	0.1683
AKR1B10	LOC115935241	DN_NC_073230.2_143596666_10	DN_NC_073230.2_143617302_10	1	24	2	0.4206	0.4203	1202	7.09257	0.9	0.8	0.8	0.176778	0.37827	0.9802	0.294	10	10	1	0	0	2	3	0.666667	156	5.05625	0	0.3018	5	5	5	51	51	51	99	105	102	0.942857	1	1	1	0.0014	0.0527	0.02705	2840	3892	3366	0.3018	0.0738	0.3018
AKR7A2	LOC115933748	DN_NC_073224.2_220588830_7	DN_NC_073224.2_220611411_7	1	25	3	0.7366	0.7337	1011	6.91968	0.8571	0.7143	0.7143	0.540443	0.628854	0.9189	0.52	7	7	1	0	0	2	3	0.666667	60	4.11087	0	0.2469	5	5	5	6	51	28.5	249	258	253.5	0.965116	0	1	0.5	0	0.0139	0.00695	1358	2880	2119	0.2469	0.0305	0.2469
AKTIP	RBL2	DN_NC_073242.2_82507839_22	DN_NC_073242.2_82560306_10	0	27	4	0.3117	0.3105	1525	7.33041	0.0455	0	0	0.0967828	0.0141277			10	22	0.454545	12	0	2	7	0.285714	320	5.77144	0	0.2095	1	1	1	48	51	49.5	400	400	400	1	0	1	0.5	0	0.005	0.0025	4891	6597	5744	0.2095	0.099	0.2095
ALB	AVEN	DN_NC_073227.2_93560991_18	DN_NC_073240.2_34703303_6	0	28	1	0.1543	0	0	0	0	0	0	0	0			6	18	0.333333	12	0	4	6	0.666667	3	1.38629	0	0.3271	30.5	37	33.75	51	52	51.5	58	63	60.5	0.920635	0	0	0	0.0194	0.0238	0.0216	1808	2608	2208	0.3271	0.1899	0.3271
ALDH1B1	LOC115935842	DN_NC_073236.2_32676987_2	DN_NC_073237.2_24562366_2	1	29	3	0.3444	1.001	3081	8.03333	1	1	1	0.344744	1.001	0.9745	0.835	2	2	1	0	0	2	503	0.00397614	425	6.05444	0	0.1689	3	3	3	22	52	37	400	400	400	1	1	1	1	0.038	0.0481	0.04305	3053	3080	3066.5	0.1689	0.1603	0.1689
ALDH1B1	LOC129524687	DN_NC_073237.2_24562360_2	DN_NC_073237.2_31692944_2	1	29	3	0.8829	1	3126	8.04783	1	1	1	0.8829	1	0.9688	0.87	2	2	1	0	0	2	503	0.00397614	447	6.10479	0	0.1663	3	3	3	18	52	35	400	400	400	1	1	1	1	0.0401	0.0474	0.04375	3101	3190	3145.5	0.1663	0.1547	0.1663
ALG1	LOC101139163	DN_NC_073242.2_8725127_13	DN_NC_086017.1_141278779_5	0	31	3	0.1538	0.4459	957	6.86485	0.2	0.0769	0.0769	0.0685794	0.08918			5	13	0.384615	8	0	3	8	0.375	108	4.69135	0	0.0477	15	15	15	51	52	51.5	400	400	400	1	0	0	0	0	0	0	2126	2226	2176	0.0477	0.0363	0.0477
ALG1	LOC101152938	DN_NC_073233.2_75718276_6	DN_NC_073242.2_8725127_13	0	31	3	0.1724	0.4199	901	6.80461	0.0769	0	0	0.0723908	0.0322903			6	13	0.461538	7	0	2	8	0.25	94	4.55388	0	0.0604	15	15	15	51	52	51.5	400	400	400	1	0	0	0	0	0.0006	0.0003	2126	3408	2767	0.0604	0.0363	0.0604
ALG10	ALG10B	DN_NC_073234.2_62953363_3	DN_NC_073234.2_67151860_3	1	32	2	0.5702	0.9802	4215	8.34664	1	1	1	0.55891	0.9802	0.9403	0.257	3	3	1	0	0	2	13	0.153846	553	6.31716	0	0.285	2	2	2	51	52	51.5	61	74	67.5	0.824324	1	1	1	0.0084	0.0304	0.0194	4280	5686	4983	0.285	0.243	0.285
ALG1L1P	LOC101127338	DN_NC_086017.1_134833806_5	DN_NC_086017.1_136815000_6	0	33	3	0.6561	1.1244	994	6.90274	1	1	1	0.737719	1.1244			5	6	0.833333	1	0	2	3	0.666667	118	4.77912	0	0.0498	2	2	2	2	52	27	26	26	26	1	0	0	0	0	0	0	864	988	926	0.0498	0.002	0.0498
AMN1	ETFBKMT	DN_NC_073234.2_69501458_7	DN_NC_073234.2_69557459_4	0	34	4	0.6472	0.6468	1540	7.34019	0.1429	0	0	0.418609	0.0924277			4	7	0.571429	3	0	2	5	0.4	324	5.78383	0	0.305	1	1	1	51	51	51	103	252	177.5	0.40873	0	1	0.5	0	0.0382	0.0191	2361	6258	4309.5	0.305	0.1214	0.305
AMY2A	ZNF888	DN_NC_073224.2_136262916_11	DN_NC_073244.2_64860608_4	0	36	0	0.1698	0	0	0	0	0	0	0	0			4	11	0.363636	7	0	2	4	0.5	21	3.09104	0	0.4244	20	42	31	51	52	51.5	400	400	400	1	0	0	0	0.0134	0.0178	0.0156	2171	5105	3638	0.4244	0.1511	0.4244
AMZ2	LOC101129405	DN_NC_073228.2_23742950_7	DN_NC_073228.2_27022347_6	0	37	1	0.1651	0.7199	2054	7.62803	0.1667	0.1429	0.1429	0.118855	0.120007			6	7	0.857143	1	0	2	5	0.4	256	5.54908	0	0.0778	3	3	3	52	52	52	385	400	392.5	0.9625	0	1	0.5	0	0	0	2833	5236	4034.5	0.0778	0.0752	0.0778
ANKRD18A	ANKRD18B	DN_NC_073237.2_24387014_11	DN_NC_073237.2_31481917_11	1	38	4	0.2528	0.89	3310	8.10501	1	0.9091	0.9091	0.224992	0.89	0.9807	0.881	11	11	1	0	0	3	285	0.0105263	405	6.00635	0	0.1933	4	7	5.5	52	52	52	308	400	354	0.77	0	0	0	0.0059	0.007	0.00645	3699	4597	4148	0.1933	0.151	0.1933
ANKRD18A	LOC101142783	DN_NC_073237.2_24387014_11	DN_NC_073237.2_29418618_13	1	38	4	0.3383	0.909	4197	8.34236	1	0.8462	0.8462	0.307515	0.909	0.9888	0.544	11	13	0.846154	2	0	2	285	0.00701754	682	6.52649	0	0.151	4	7	5.5	52	52	52	400	400	400	1	0	0	0	0.0041	0.0059	0.005	4597	4907	4752	0.151	0.1295	0.151
ANKRD18A	LOC115933254	DN_NC_073236.2_32935295_3	DN_NC_073237.2_24387014_11	1	38	4	0.217	0.5114	2361	7.76726	0.3333	0.0909	0.0909	0.110974	0.17045	0.9305	0.617	3	11	0.272727	8	0	2	77	0.025974	684	6.52942	0	0.151	3	4	3.5	52	52	52	400	400	400	1	0	1	0.5	0.0013	0.0059	0.0036	4597	7077	5837	0.151	0.0838	0.151
ANKRD18B	LOC101142783	DN_NC_073237.2_29418618_13	DN_NC_073237.2_31481917_11	1	38	4	0.5768	0.6244	2322	7.75061	1	0.7692	0.7692	0.360154	0.6244	0.93	0.597	11	13	0.846154	2	0	2	285	0.00701754	358	5.88332	0	0.1933	7	7	7	52	52	52	308	400	354	0.77	0	0	0	0.0041	0.007	0.00555	3699	4907	4303	0.1933	0.1295	0.1933
ANKRD18B	LOC101147259	DN_NC_073237.2_31481917_11	DN_NC_073237.2_93516915_6	1	38	4	0.2605	0.5576	1916	7.55852	0.3333	0.1818	0.1818	0.145255	0.185848	0.9311	0.881	6	11	0.545455	5	0	2	7	0.285714	170	5.14166	0	0.2186	7	9	8	52	52	52	308	360	334	0.855556	0	0	0	0	0.007	0.0035	3416	3699	3557.5	0.2186	0.1933	0.2186
ANKRD18B	LOC115933254	DN_NC_073236.2_32866582_11	DN_NC_073237.2_31481917_11	1	38	4	0.5644	0.9919	3689	8.21338	1	0.9091	0.9091	0.559828	0.9919	0.9189	0.571	11	11	1	0	0	2	77	0.025974	493	6.20254	0	0.1933	6	7	6.5	52	52	52	308	400	354	0.77	0	0	0	0.0034	0.007	0.0052	3699	6105	4902	0.1933	0.1595	0.1933
ANKRD36C	LOC109025523	DN_NC_073236.2_33791336_41	DN_NC_073236.2_35320202_37	1	39	1	0.5033	0.5014	1586	7.3696	0.2703	0.2439	0.2439	0.252355	0.135528	0.9125	0.331	37	41	0.902439	4	0	2	9	0.222222	265	5.5835	0	0.1464	8	9	8.5	51	51	51	304	336	320	0.904762	0	0	0	0	0	0	2886	3044	2965	0.1464	0.1204	0.1464
ANKRD37	UFSP2	DN_NC_073227.2_206378182_5	DN_NC_073227.2_206379213_12	0	40	2	0.2174	0.2174	220	5.39816	0.2	0	0	0.0472628	0.04348			5	12	0.416667	7	0	2	3	0.666667	103	4.64439	0	0.19	1	1	1	1	2	1.5	163	345	254	0.472464	0	0	0	0	0.0193	0.00965	992	4554	2773	0.19	0.0464	0.19
ANKRD6	LYRM2	DN_NC_073229.2_113642543_16	DN_NC_073229.2_113787300_3	0	41	3	0.6194	0.6194	3402	8.13241	0.0625	0	0	0.383656	0.0387125			3	16	0.1875	13	0	2	80	0.025	724	6.58617	0	0.2837	1	5	3	7	51	29	103	400	251.5	0.2575	0	1	0.5	0.0042	0.0304	0.0173	5472	9290	7381	0.2837	0.1408	0.2837
ANKRD62	LOC109025523	DN_NC_073236.2_35320202_37	DN_NC_073241.2_38130293_13	0	39	1	0.2212	0	0	0	0	0	0	0	0			13	37	0.351351	24	0	2	6	0.333333	3	1.38629	0	0.1629	2	9	5.5	5	51	28	19	304	161.5	0.0625	0	0	0	0	0	0	2792	2886	2839	0.1629	0.1464	0.1629
ANO1	PRKAR2A	DN_NC_073233.2_78071205_2	DN_NC_086017.1_58705155_2	0	36	0	0.1371	0	0	0	0	0	0	0	0			2	2	1	0	0	29	503	0.0576541	25	3.2581	1	0.6819	1	1	1	51	51	51	123	158	140.5	0.778481	1	1	1	0.0792	0.2297	0.15445	2046	3927	2986.5	0.6819	0.2901	0.6819
AP1S2	BDP1	DN_NC_073243.2_40339828_3	DN_NC_073247.2_26298821_5	0	44	4	0.2271	0.2262	531	6.27664	0.6	0	0	0.05137	0.13572			3	5	0.6	2	0	2	39	0.0512821	94	4.55388	0	0.2051	5	5	5	51	51	51	400	400	400	1	1	1	1	0.0023	0.006	0.00415	2327	2579	2453	0.2051	0.1709	0.2051
APOBEC3C	APOBEC3D	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37016890_4	0	47	4	0.2709	0.308	855	6.75227	0.5	0.3333	0.3333	0.0834372	0.154			4	6	0.666667	2	0	2	497	0.00402414	85	4.45435	0	0.399	3	3	3	51	51	51	301	368	334.5	0.817935	1	1	1	0.0349	0.0706	0.05275	2753	3073	2913	0.399	0.2651	0.399
APOBEC3C	APOBEC3F	DN_NC_086018.1_37016890_4	DN_NC_086018.1_37043543_7	0	47	4	0.303	0.678	1882	7.54062	0.75	0.2857	0.2857	0.205434	0.5085			4	7	0.571429	3	0	2	497	0.00402414	102	4.63473	0	0.445	3	3	3	51	51	51	301	375	338	0.802667	1	1	1	0.0349	0.0788	0.05685	2753	4442	3597.5	0.445	0.2651	0.445
APOBEC3D	APOBEC3F	DN_NC_086018.1_36987543_6	DN_NC_086018.1_37043543_7	1	47	4	0.3807	0.9775	3040	8.01994	0.8333	0.7143	0.7143	0.372134	0.814551	0.9016	0.338	6	7	0.857143	1	0	2	503	0.00397614	233	5.45532	0	0.445	3	3	3	51	51	51	368	375	371.5	0.981333	1	1	1	0.0706	0.0788	0.0747	3073	4442	3757.5	0.445	0.399	0.445
APOL4	LOC129527096	DN_NC_073240.2_41396094_2	DN_NC_086018.1_34186611_4	0	48	2	0.2801	0.7764	837	6.73102	0.5	0	0	0.21747	0.3882			2	4	0.5	2	0	2	7	0.285714	34	3.55535	0	0.8061	1	4	2.5	52	52	52	77	284	180.5	0.271127	0	0	0	0.0741	0.1399	0.107	1058	3130	2094	0.8061	0.3524	0.8061
ARHGEF39	CCDC107	DN_NC_073237.2_27307884_9	DN_NC_073237.2_27311993_5	0	50	1	0.4694	0.4705	446	6.10256	0.2	0	0	0.220853	0.0941			5	9	0.555556	4	0	2	4	0.5	108	4.69135	0	0.1613	1	1	1	50	50	50	87	118	102.5	0.737288	0	0	0	0	0.0244	0.0122	928	3074	2001	0.1613	0.0475	0.1613
ARHGEF4	SPATA13	DN_NC_073235.2_32368514_11	DN_NC_073238.2_38585508_10	0	51	2	0.2424	0	0	0	0	0	0	0	0			10	11	0.909091	1	0	2	503	0.00397614	13	2.63906	0	0.1325	1	1	1	51	51	51	30	357	193.5	0.0840336	0	0	0	0.0014	0.0143	0.00785	2851	6283	4567	0.1325	0.0484	0.1325
ARL17A	LOC101135168	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45710800_6	0	53	2	0.5577	0.5577	1705	7.44191	0.25	0.1667	0.1667	0.311029	0.139425			4	6	0.666667	2	0	2	497	0.00402414	357	5.88053	0	0.0831	10	10	10	52	52	52	400	400	400	1	0	1	0.5	0.0034	0.0036	0.0035	3027	3226	3126.5	0.0831	0.0627	0.0831
ARL17A	LOC115934626	DN_NC_073228.2_45686814_4	DN_NC_073228.2_45948292_6	0	53	2	0.4194	0.6153	1881	7.54009	0.25	0.1667	0.1667	0.258057	0.153825			4	6	0.666667	2	0	2	497	0.00402414	386	5.95842	0	0.1392	10	11	10.5	15	52	33.5	400	400	400	1	1	1	1	0.0036	0.0283	0.01595	3027	5585	4306	0.1392	0.0831	0.1392
ASB6	NTMT1	DN_NC_073237.2_126021216_4	DN_NC_073237.2_126029688_6	1	55	3	0.708	0.7066	1522	7.32844	0.25	0	0	0.500273	0.17665	1	0	4	6	0.666667	2	0	2	503	0.00397614	304	5.72031	0	0.3435	1	1	1	23	23	23	174	400	287	0.435	0	0	0	0.0497	0.1125	0.0811	2134	4807	3470.5	0.3435	0.1574	0.3435
ASNS	LOC129531864	DN_NC_073230.2_90977223_13	DN_NC_073236.2_31570340_7	0	56	2	0.2269	0.2159	510	6.23637	0.1538	0.1429	0.1429	0.0489877	0.0332054			7	13	0.538462	6	0	2	3	0.666667	34	3.55535	0	0.3205	7	7	7	38	51	44.5	267	386	326.5	0.69171	0	0	0	0	0.0172	0.0086	2342	2972	2657	0.3205	0.0322	0.3205
ATP5ME	PDE6B	DN_NC_073227.2_9231816_7	DN_NC_073227.2_9238554_4	0	60	4	0.2016	0.3748	530	6.27476	0.1429	0	0	0.0755597	0.0535589			4	7	0.571429	3	0	2	452	0.00442478	110	4.70953	0	0.2942	1	1	1	12	12	12	43	77	60	0.558442	0	0	0	0.0643	0.0768	0.07055	1394	2907	2150.5	0.2942	0.2339	0.2942
ATP6V1C2	PDIA6	DN_NC_073236.2_129103377_13	DN_NC_073236.2_129129305_10	1	62	1	0.3828	0.38	1083	6.98841	0.1	0	0	0.145464	0.038	1	0.316	10	13	0.769231	3	0	2	7	0.285714	277	5.62762	0	0.222	1	1	1	23	23	23	400	400	400	1	0	0	0	0.0004	0.0371	0.01875	2830	3886	3358	0.222	0.1221	0.222
ATPSCKMT	LOC101133249	DN_NC_073227.2_16860393_3	DN_NC_073243.2_101845354_5	0	64	2	0.179	0.7193	1860	7.52887	0.3333	0	0	0.128755	0.239743			3	5	0.6	2	0	2	6	0.333333	43	3.78419	0	0.6879	1	51	26	51	52	51.5	72	400	236	0.18	0	1	0.5	0.0792	0.1383	0.10875	2566	4534	3550	0.6879	0.5295	0.6879
AUNIP	MTFR1L	DN_NC_073224.2_214075309_3	DN_NC_073224.2_214095871_7	0	65	2	0.7245	0.7245	2696	7.8999	0.3333	0.1429	0.1429	0.5249	0.241476			3	7	0.428571	4	0	2	285	0.00701754	578	6.3613	0	0.2956	1	1	1	2	2	2	400	400	400	1	0	1	0.5	0.0327	0.0367	0.0347	3701	4316	4008.5	0.2956	0.2668	0.2956
B3GAT2	SMAP1	DN_NC_073229.2_94771458_11	DN_NC_073229.2_94961202_4	0	66	3	0.4622	0.5285	1809	7.50108	0.25	0.1818	0.1818	0.244273	0.132125			4	11	0.363636	7	0	2	6	0.333333	415	6.03069	0	0.0914	1	51	26	51	52	51.5	222	400	311	0.555	0	0	0	0	0.0015	0.00075	3403	6330	4866.5	0.0914	0.0789	0.0914
B3GNTL1	TBCD	DN_NC_073228.2_8941710_13	DN_NC_073228.2_9043620_39	0	67	4	0.5383	0.536	1632	7.39817	0.0769	0.0256	0.0256	0.288529	0.0412184			13	39	0.333333	26	0	2	10	0.2	337	5.82305	0	0.0314	1	1	1	35	51	43	390	399	394.5	0.977444	0	0	0	0	0	0	3025	6919	4972	0.0314	0.0223	0.0314
BBIP1	PDCD4	DN_NC_073232.2_123144734_12	DN_NC_073232.2_123171879_4	0	68	1	0.6716	0.6716	1483	7.3025	0.25	0.0833	0.0833	0.451047	0.1679			4	12	0.333333	8	0	2	503	0.00397614	317	5.76205	0	0.2595	1	1	1	3	3	3	400	400	400	1	0	0	0	0.0269	0.0393	0.0331	2188	4010	3099	0.2595	0.2	0.2595
BCR	LOC101132434	DN_NC_086018.1_18646417_6	DN_NC_086018.1_20765108_15	1	69	3	0.3002	0.6622	1498	7.31255	0.1667	0.0667	0.0667	0.198792	0.110389	0.9807	0.224	6	15	0.4	9	0	2	5	0.4	309	5.73657	0	0.0684	13	13	13	45	51	48	282	298	290	0.946309	0	0	0	0	0	0	2242	4396	3319	0.0684	0.0508	0.0684
