family_id	n_copies	n_colocated_pairs	n_assignment_relevant	n_resolvable	n_k0	n_k0_strict	family_verdict	k0_pairs
DNFAM164	3	3	3	3	0	0	resolvable	
DNFAM170	3	3	3	3	0	0	resolvable	
DNFAM181	3	1	1	1	0	0	resolvable	
DNFAM188	3	1	0	0	0	0	not_assignment_relevant	
DNFAM194	3	3	3	3	0	0	resolvable	
DNFAM195	3	1	1	0	1	1	k0	NC_073247.2:62823555-62833870~62876862-62887262
DNFAM196	3	1	1	1	0	0	resolvable	
DNFAM203	3	1	1	1	0	0	resolvable	
DNFAM212	3	1	1	1	0	0	resolvable	
DNFAM216	3	1	1	1	0	0	resolvable	
DNFAM236	3	2	1	1	0	0	resolvable	
DNFAM269	3	1	1	1	0	0	resolvable	
DNFAM272	2	1	1	1	0	0	resolvable	
DNFAM289	2	1	1	1	0	0	resolvable	
DNFAM299	2	1	1	1	0	0	resolvable	
DNFAM304	2	1	1	1	0	0	resolvable	
DNFAM318	2	1	1	1	0	0	resolvable	
DNFAM337	2	1	0	0	0	0	not_assignment_relevant	
DNFAM360	2	1	1	1	0	0	resolvable	
DNFAM395	2	1	1	1	0	0	resolvable	
DNFAM400	2	1	1	1	0	0	resolvable	
DNFAM404	2	1	1	0	1	1	k0	NC_073247.2:62664010-62669073~62680287-62685309
DNFAM417	2	1	1	1	0	0	resolvable	
DNFAM486	2	1	1	1	0	0	resolvable	
DNFAM503	2	1	1	1	0	0	resolvable	
DNFAM510	2	1	1	1	0	0	resolvable	
DNFAM526	2	1	1	0	1	0	k0	NC_073247.2:131772815-131781418~131863961-131871058
DNFAM537	2	1	1	1	0	0	resolvable	
DNFAM576	2	1	1	1	0	0	resolvable	
DNFAM612	2	1	1	1	0	0	resolvable	
DNFAM629	2	1	1	1	0	0	resolvable	
DNFAM636	2	1	1	1	0	0	resolvable	
DNFAM652	2	1	1	1	0	0	resolvable	
DNFAM659	2	1	1	1	0	0	resolvable	
DNFAM667	2	1	1	1	0	0	resolvable	
DNFAM672	2	1	1	1	0	0	resolvable	
DNFAM691	2	1	1	1	0	0	resolvable	
DNFAM714	2	1	1	1	0	0	resolvable	
DNFAM753	2	1	1	1	0	0	resolvable	
DNFAM818	2	1	1	0	1	1	k0	NC_073242.2:3790652-3791552~3794461-3795361
DNFAM856	2	1	1	1	0	0	resolvable	
DNFAM857	2	1	1	1	0	0	resolvable	
DNFAM862	2	1	1	1	0	0	resolvable	
DNFAM894	2	1	1	1	0	0	resolvable	
DNFAM928	2	1	1	1	0	0	resolvable	
DNFAM939	2	1	0	0	0	0	not_assignment_relevant	
DNFAM940	2	1	1	1	0	0	resolvable	
DNFAM961	2	1	1	1	0	0	resolvable	
DNFAM981	2	1	1	1	0	0	resolvable	
DNFAM986	2	1	1	1	0	0	resolvable	
DNFAM1003	2	1	1	1	0	0	resolvable	
DNFAM1011	2	1	1	1	0	0	resolvable	
DNFAM1051	2	1	1	1	0	0	resolvable	
DNFAM1073	2	1	1	1	0	0	resolvable	
DNFAM1084	2	1	1	1	0	0	resolvable	
DNFAM1085	2	1	1	1	0	0	resolvable	
DNFAM1086	2	1	1	1	0	0	resolvable	
DNFAM1106	2	1	1	1	0	0	resolvable	
DNFAM1110	2	1	0	0	0	0	not_assignment_relevant	
DNFAM1120	2	1	1	1	0	0	resolvable	
