gene_a	gene_b	in_er_raw	in_er_refined	in_dna_loose	in_ep	ep_tier	id	min_cov	class
ABCA10	KLHL3	1	0	0	0	none			not-er
ABCA10	KLHL33	1	0	0	0	none			not-er
ABCA10	KRBOX4	1	0	0	0	none			not-er
ABCA10	KRBOX5	1	0	0	0	none			not-er
ABCA10	L2HGDH	1	0	0	0	none			not-er
ABCA10	LIPA	1	0	0	0	none			not-er
ABCA10	LOC101123988	1	0	0	0	none			not-er
ABCA10	LOC101124557	1	0	0	0	none			not-er
ABCA10	LOC101124732	1	0	0	0	none			not-er
ABCA10	LOC101124778	1	0	0	0	none			not-er
ABCA10	LOC101125309	1	0	0	0	none			not-er
ABCA10	LOC101125458	1	0	0	0	none			not-er
ABCA10	LOC101126025	1	0	0	0	none			not-er
ABCA10	LOC101126065	1	0	0	0	none			not-er
ABCA10	LOC101126097	1	0	0	0	none			not-er
ABCA10	LOC101126415	1	0	0	0	none			not-er
ABCA10	LOC101127631	1	0	0	0	none			not-er
ABCA10	LOC101128106	1	0	0	0	none			not-er
ABCA10	LOC101128351	1	0	0	0	none			not-er
ABCA10	LOC101128712	1	0	0	0	none			not-er
ABCA10	LOC101128844	1	0	0	0	none			not-er
ABCA10	LOC101129171	1	0	0	0	none			not-er
ABCA10	LOC101129219	1	0	0	0	none			not-er
ABCA10	LOC101129578	1	0	0	0	none			not-er
ABCA10	LOC101129789	1	0	0	0	none			not-er
ABCA10	LOC101130023	1	0	0	0	none			not-er
ABCA10	LOC101130137	1	0	0	0	none			not-er
ABCA10	LOC101130401	1	0	0	0	none			not-er
ABCA10	LOC101130426	1	0	0	0	none			not-er
ABCA10	LOC101130507	1	0	0	0	none			not-er
ABCA10	LOC101130677	1	0	0	0	none			not-er
ABCA10	LOC101130783	1	0	0	0	none			not-er
ABCA10	LOC101130877	1	0	0	0	none			not-er
ABCA10	LOC101131689	1	0	0	0	none			not-er
ABCA10	LOC101131768	1	0	0	0	none			not-er
ABCA10	LOC101132881	1	0	0	0	none			not-er
ABCA10	LOC101133546	1	0	0	0	none			not-er
ABCA10	LOC101133657	1	0	0	0	none			not-er
ABCA10	LOC101133668	1	0	0	0	none			not-er
ABCA10	LOC101134045	1	0	0	0	none			not-er
ABCA10	LOC101134145	1	0	0	0	none			not-er
ABCA10	LOC101135415	1	0	0	0	none			not-er
ABCA10	LOC101136006	1	0	0	0	none			not-er
ABCA10	LOC101136009	1	0	0	0	none			not-er
ABCA10	LOC101136127	1	0	0	0	none			not-er
ABCA10	LOC101136422	1	0	0	0	none			not-er
ABCA10	LOC101136640	1	0	0	0	none			not-er
ABCA10	LOC101136692	1	0	0	0	none			not-er
ABCA10	LOC101137042	1	0	0	0	none			not-er
ABCA10	LOC101137060	1	0	0	0	none			not-er
ABCA10	LOC101137462	1	0	0	0	none			not-er
ABCA10	LOC101137734	1	0	0	0	none			not-er
ABCA10	LOC101137832	1	0	0	0	none			not-er
ABCA10	LOC101137955	1	0	0	0	none			not-er
ABCA10	LOC101138337	1	0	0	0	none			not-er
ABCA10	LOC101138952	1	0	0	0	none			not-er
ABCA10	LOC101140579	1	0	0	0	none			not-er
ABCA10	LOC101141027	1	0	0	0	none			not-er
ABCA10	LOC101142525	1	0	0	0	none			not-er
ABCA10	LOC101142646	1	0	0	0	none			not-er
ABCA10	LOC101143448	1	0	0	0	none			not-er
ABCA10	LOC101144119	1	0	0	0	none			not-er
ABCA10	LOC101144471	1	0	0	0	none			not-er
ABCA10	LOC101144634	1	0	0	0	none			not-er
ABCA10	LOC101144838	1	0	0	0	none			not-er
ABCA10	LOC101144919	1	0	0	0	none			not-er
ABCA10	LOC101145348	1	0	0	0	none			not-er
ABCA10	LOC101145464	1	0	0	0	none			not-er
ABCA10	LOC101145690	1	0	0	0	none			not-er
ABCA10	LOC101145945	1	0	0	0	none			not-er
ABCA10	LOC101146595	1	0	0	0	none			not-er
ABCA10	LOC101146634	1	0	0	0	none			not-er
ABCA10	LOC101147715	1	0	0	0	none			not-er
ABCA10	LOC101148180	1	0	0	0	none			not-er
ABCA10	LOC101148191	1	0	0	0	none			not-er
ABCA10	LOC101148313	1	0	0	0	none			not-er
ABCA10	LOC101149946	1	0	0	0	none			not-er
ABCA10	LOC101150644	1	0	0	0	none			not-er
ABCA10	LOC101150965	1	0	0	0	none			not-er
ABCA10	LOC101151317	1	0	0	0	none			not-er
ABCA10	LOC101151892	1	0	0	0	none			not-er
ABCA10	LOC101152401	1	0	0	0	none			not-er
ABCA10	LOC101153126	1	0	0	0	none			not-er
ABCA10	LOC101153131	1	0	0	0	none			not-er
ABCA10	LOC101153504	1	0	0	0	none			not-er
ABCA10	LOC101153526	1	0	0	0	none			not-er
ABCA10	LOC101153725	1	0	0	0	none			not-er
ABCA10	LOC101153727	1	0	0	0	none			not-er
ABCA10	LOC101153837	1	0	0	0	none			not-er
ABCA10	LOC101154200	1	0	0	0	none			not-er
ABCA10	LOC109023154	1	0	0	0	none			not-er
ABCA10	LOC109023261	1	0	0	0	none			not-er
ABCA10	LOC109023808	1	0	0	0	none			not-er
ABCA10	LOC109023855	1	0	0	0	none			not-er
ABCA10	LOC109024129	1	0	0	0	none			not-er
ABCA10	LOC109024193	1	0	0	0	none			not-er
ABCA10	LOC109024207	1	0	0	0	none			not-er
ABCA10	LOC109024216	1	0	0	0	none			not-er
ABCA10	LOC109024259	1	0	0	0	none			not-er
ABCA10	LOC109024269	1	0	0	0	none			not-er
ABCA10	LOC109024560	1	0	0	0	none			not-er
ABCA10	LOC109024811	1	0	0	0	none			not-er
ABCA10	LOC109025073	1	0	0	0	none			not-er
ABCA10	LOC109025447	1	0	0	0	none			not-er
ABCA10	LOC109025730	1	0	0	0	none			not-er
ABCA10	LOC109026404	1	0	0	0	none			not-er
ABCA10	LOC109026610	1	0	0	0	none			not-er
ABCA10	LOC109027078	1	0	0	0	none			not-er
ABCA10	LOC109027217	1	0	0	0	none			not-er
ABCA10	LOC109028669	1	0	0	0	none			not-er
ABCA10	LOC109029389	1	0	0	0	none			not-er
ABCA10	LOC115930073	1	0	0	0	none			not-er
ABCA10	LOC115930105	1	0	0	0	none			not-er
ABCA10	LOC115930172	1	0	0	0	none			not-er
ABCA10	LOC115930530	1	0	0	0	none			not-er
ABCA10	LOC115930536	1	0	0	0	none			not-er
ABCA10	LOC115931021	1	0	0	0	none			not-er
ABCA10	LOC115931240	1	0	0	0	none			not-er
ABCA10	LOC115931567	1	0	0	0	none			not-er
ABCA10	LOC115931568	1	0	0	0	none			not-er
ABCA10	LOC115931576	1	0	0	0	none			not-er
ABCA10	LOC115931610	1	0	0	0	none			not-er
ABCA10	LOC115931654	1	0	0	0	none			not-er
ABCA10	LOC115931857	1	0	0	0	none			not-er
ABCA10	LOC115932679	1	0	0	0	none			not-er
ABCA10	LOC115932762	1	0	0	0	none			not-er
ABCA10	LOC115934057	1	0	0	0	none			not-er
ABCA10	LOC115934372	1	0	0	0	none			not-er
ABCA10	LOC115935025	1	0	0	0	none			not-er
ABCA10	LOC115935615	1	0	0	0	none			not-er
ABCA10	LOC129523564	1	0	0	0	none			not-er
ABCA10	LOC129523567	1	0	0	0	none			not-er
ABCA10	LOC129523854	1	0	0	0	none			not-er
ABCA10	LOC129524026	1	0	0	0	none			not-er
ABCA10	LOC129524410	1	0	0	0	none			not-er
ABCA10	LOC129524439	1	0	0	0	none			not-er
ABCA10	LOC129524788	1	0	0	0	none			not-er
ABCA10	LOC129525165	1	0	0	0	none			not-er
ABCA10	LOC129525965	1	0	0	0	none			not-er
ABCA10	LOC129526123	1	0	0	0	none			not-er
ABCA10	LOC129526178	1	0	0	0	none			not-er
ABCA10	LOC129526638	1	0	0	0	none			not-er
ABCA10	LOC129526912	1	0	0	0	none			not-er
ABCA10	LOC129527096	1	0	0	0	none			not-er
ABCA10	LOC129527512	1	0	0	0	none			not-er
ABCA10	LOC129527528	1	0	0	0	none			not-er
ABCA10	LOC129527774	1	0	0	0	none			not-er
ABCA10	LOC129527827	1	0	0	0	none			not-er
ABCA10	LOC129528667	1	0	0	0	none			not-er
ABCA10	LOC129528947	1	0	0	0	none			not-er
ABCA10	LOC129529082	1	0	0	0	none			not-er
ABCA10	LOC129529528	1	0	0	0	none			not-er
ABCA10	LOC129529591	1	0	0	0	none			not-er
ABCA10	LOC129530096	1	0	0	0	none			not-er
ABCA10	LOC129530131	1	0	0	0	none			not-er
ABCA10	LOC129530428	1	0	0	0	none			not-er
ABCA10	LOC129531666	1	0	0	0	none			not-er
ABCA10	LOC129531667	1	0	0	0	none			not-er
ABCA10	LOC129532045	1	0	0	0	none			not-er
ABCA10	LOC129532059	1	0	0	0	none			not-er
ABCA10	LOC129532125	1	0	0	0	none			not-er
ABCA10	LOC129532145	1	0	0	0	none			not-er
ABCA10	LOC129532348	1	0	0	0	none			not-er
ABCA10	LOC129532538	1	0	0	0	none			not-er
ABCA10	LOC129532539	1	0	0	0	none			not-er
ABCA10	LOC129532639	1	0	0	0	none			not-er
ABCA10	LOC129532854	1	0	0	0	none			not-er
ABCA10	LOC129532904	1	0	0	0	none			not-er
ABCA10	LOC129532907	1	0	0	0	none			not-er
ABCA10	LOC129533004	1	0	0	0	none			not-er
ABCA10	LOC129533273	1	0	0	0	none			not-er
ABCA10	LOC129533438	1	0	0	0	none			not-er
ABCA10	LOC129534673	1	0	0	0	none			not-er
ABCA10	LOC134756508	1	0	0	0	none			not-er
ABCA10	LOC134756589	1	0	0	0	none			not-er
ABCA10	LOC134756641	1	0	0	0	none			not-er
ABCA10	LOC134756666	1	0	0	0	none			not-er
ABCA10	LOC134756922	1	0	0	0	none			not-er
ABCA10	LOC134756955	1	0	0	0	none			not-er
ABCA10	LOC134757208	1	0	0	0	none			not-er
ABCA10	LOC134757265	1	0	0	0	none			not-er
ABCA10	LOC134757313	1	0	0	0	none			not-er
ABCA10	LOC134757399	1	0	0	0	none			not-er
ABCA10	LOC134758618	1	0	0	0	none			not-er
ABCA10	LRFN5	1	0	0	0	none			not-er
ABCA10	MCTP2	1	0	0	0	none			not-er
ABCA10	MED9	1	0	0	0	none			not-er
ABCA10	MINPP1	1	0	0	0	none			not-er
ABCA10	MMP24OS	1	0	0	0	none			not-er
ABCA10	MTHFD2L	1	0	0	0	none			not-er
ABCA10	MZF1	1	0	0	0	none			not-er
ABCA10	NAP1L3	1	0	0	0	none			not-er
ABCA10	NCALD	1	0	0	0	none			not-er
ABCA10	NCR3LG1	1	0	0	0	none			not-er
ABCA10	NDUFAF2	1	0	0	0	none			not-er
ABCA10	NFXL1	1	0	0	0	none			not-er
ABCA10	NGLY1	1	0	0	0	none			not-er
ABCA10	NLGN1	1	0	0	0	none			not-er
ABCA10	NOSTRIN	1	0	0	0	none			not-er
ABCA10	NUDT9	1	0	0	0	none			not-er
ABCA10	ORC4	1	0	0	0	none			not-er
ABCA10	OSBPL10	1	0	0	0	none			not-er
ABCA10	OTULINL	1	0	0	0	none			not-er
ABCA10	OXCT1	1	0	0	0	none			not-er
ABCA10	PASD1	1	0	0	0	none			not-er
ABCA10	PDCD5	1	0	0	0	none			not-er
ABCA10	PDCD6IP	1	0	0	0	none			not-er
ABCA10	PP2D1	1	0	0	0	none			not-er
ABCA10	PPP1R15A	1	0	0	0	none			not-er
ABCA10	RAB5A	1	0	0	0	none			not-er
ABCA10	RANBP6	1	0	0	0	none			not-er
ABCA10	RGPD8	1	0	0	0	none			not-er
ABCA10	RPAP2	1	0	0	0	none			not-er
ABCA10	RPL14	1	0	0	0	none			not-er
ABCA10	RPL39	1	0	0	0	none			not-er
ABCA10	RPL39L	1	0	0	0	none			not-er
ABCA10	RTP4	1	0	0	0	none			not-er
ABCA10	RUNDC1	1	0	0	0	none			not-er
ABCA10	SCEL	1	0	0	0	none			not-er
ABCA10	SDHAF3	1	0	0	0	none			not-er
ABCA10	SELENOP	1	0	0	0	none			not-er
ABCA10	SEM1	1	0	0	0	none			not-er
ABCA10	SLC11A2	1	0	0	0	none			not-er
ABCA10	SLC25A12	1	0	0	0	none			not-er
ABCA10	SLC35F6	1	0	0	0	none			not-er
ABCA10	SLC37A2	1	0	0	0	none			not-er
ABCA10	SLC38A6	1	0	0	0	none			not-er
ABCA10	SMYD3	1	0	0	0	none			not-er
ABCA10	SNX14	1	0	0	0	none			not-er
ABCA10	SOX30	1	0	0	0	none			not-er
ABCA10	SP100	1	0	0	0	none			not-er
ABCA10	SP140L	1	0	0	0	none			not-er
ABCA10	SPATA33	1	0	0	0	none			not-er
ABCA10	SPC25	1	0	0	0	none			not-er
ABCA10	SPMIP9	1	0	0	0	none			not-er
ABCA10	STEAP1	1	0	0	0	none			not-er
ABCA10	STEAP1B	1	0	0	0	none			not-er
ABCA10	SURF6	1	0	0	0	none			not-er
ABCA10	TCAF1	1	0	0	0	none			not-er
ABCA10	TCP11	1	0	0	0	none			not-er
ABCA10	TCTN1	1	0	0	0	none			not-er
ABCA10	TFEC	1	0	0	0	none			not-er
ABCA10	THNSL1	1	0	0	0	none			not-er
ABCA10	TMEM38B	1	0	0	0	none			not-er
ABCA10	TNFRSF10A	1	0	0	0	none			not-er
ABCA10	TNFRSF10B	1	0	0	0	none			not-er
ABCA10	TNFRSF10D	1	0	0	0	none			not-er
ABCA10	TRHDE	1	0	0	0	none			not-er
ABCA10	TSPAN8	1	0	0	0	none			not-er
ABCA10	UCHL1	1	0	0	0	none			not-er
ABCA10	WDR64	1	0	0	0	none			not-er
ABCA10	XAF1	1	0	0	0	none			not-er
ABCA10	YAE1	1	0	0	0	none			not-er
ABCA10	ZFP1	1	0	0	0	none			not-er
ABCA10	ZFP2	1	0	0	0	none			not-er
ABCA10	ZFP28	1	0	0	0	none			not-er
ABCA10	ZFP3	1	0	0	0	none			not-er
ABCA10	ZFP37	1	0	0	0	none			not-er
ABCA10	ZFP62	1	0	0	0	none			not-er
ABCA10	ZFP69	1	0	0	0	none			not-er
ABCA10	ZFP69B	1	0	0	0	none			not-er
ABCA10	ZFP82	1	0	0	0	none			not-er
ABCA10	ZFP90	1	0	0	0	none			not-er
ABCA10	ZIK1	1	0	0	0	none			not-er
ABCA10	ZKSCAN1	1	0	0	0	none			not-er
ABCA10	ZKSCAN2	1	0	0	0	none			not-er
ABCA10	ZKSCAN3	1	0	0	0	none			not-er
ABCA10	ZKSCAN4	1	0	0	0	none			not-er
ABCA10	ZKSCAN5	1	0	0	0	none			not-er
ABCA10	ZKSCAN7	1	0	0	0	none			not-er
ABCA10	ZNF10	1	0	0	0	none			not-er
ABCA10	ZNF112	1	0	0	0	none			not-er
ABCA10	ZNF121	1	0	0	0	none			not-er
ABCA10	ZNF124	1	0	0	0	none			not-er
ABCA10	ZNF132	1	0	0	0	none			not-er
ABCA10	ZNF133	1	0	0	0	none			not-er
ABCA10	ZNF134	1	0	0	0	none			not-er
ABCA10	ZNF135	1	0	0	0	none			not-er
ABCA10	ZNF136	1	0	0	0	none			not-er
ABCA10	ZNF14	1	0	0	0	none			not-er
ABCA10	ZNF140	1	0	0	0	none			not-er
ABCA10	ZNF141	1	0	0	0	none			not-er
ABCA10	ZNF154	1	0	0	0	none			not-er
ABCA10	ZNF155	1	0	0	0	none			not-er
ABCA10	ZNF157	1	0	0	0	none			not-er
ABCA10	ZNF16	1	0	0	0	none			not-er
ABCA10	ZNF165	1	0	0	0	none			not-er
ABCA10	ZNF169	1	0	0	0	none			not-er
ABCA10	ZNF175	1	0	0	0	none			not-er
ABCA10	ZNF177	1	0	0	0	none			not-er
ABCA10	ZNF180	1	0	0	0	none			not-er
ABCA10	ZNF181	1	0	0	0	none			not-er
ABCA10	ZNF182	1	0	0	0	none			not-er
ABCA10	ZNF184	1	0	0	0	none			not-er
ABCA10	ZNF189	1	0	0	0	none			not-er
ABCA10	ZNF19	1	0	0	0	none			not-er
ABCA10	ZNF195	1	0	0	0	none			not-er
ABCA10	ZNF197	1	0	0	0	none			not-er
ABCA10	ZNF2	1	0	0	0	none			not-er
ABCA10	ZNF205	1	0	0	0	none			not-er
ABCA10	ZNF208	1	0	0	0	none			not-er
ABCA10	ZNF214	1	0	0	0	none			not-er
ABCA10	ZNF221	1	0	0	0	none			not-er
ABCA10	ZNF222	1	0	0	0	none			not-er
ABCA10	ZNF224	1	0	0	0	none			not-er
ABCA10	ZNF225	1	0	0	0	none			not-er
ABCA10	ZNF229	1	0	0	0	none			not-er
ABCA10	ZNF23	1	0	0	0	none			not-er
ABCA10	ZNF230	1	0	0	0	none			not-er
ABCA10	ZNF232	1	0	0	0	none			not-er
ABCA10	ZNF233	1	0	0	0	none			not-er
ABCA10	ZNF234	1	0	0	0	none			not-er
ABCA10	ZNF235	1	0	0	0	none			not-er
ABCA10	ZNF239	1	0	0	0	none			not-er
ABCA10	ZNF248	1	0	0	0	none			not-er
ABCA10	ZNF25	1	0	0	0	none			not-er
ABCA10	ZNF250	1	0	0	0	none			not-er
ABCA10	ZNF251	1	0	0	0	none			not-er
ABCA10	ZNF254	1	0	0	0	none			not-er
ABCA10	ZNF256	1	0	0	0	none			not-er
ABCA10	ZNF26	1	0	0	0	none			not-er
ABCA10	ZNF260	1	0	0	0	none			not-er
ABCA10	ZNF263	1	0	0	0	none			not-er
ABCA10	ZNF264	1	0	0	0	none			not-er
ABCA10	ZNF266	1	0	0	0	none			not-er
ABCA10	ZNF267	1	0	0	0	none			not-er
ABCA10	ZNF268	1	0	0	0	none			not-er
ABCA10	ZNF273	1	0	0	0	none			not-er
ABCA10	ZNF274	1	0	0	0	none			not-er
ABCA10	ZNF28	1	0	0	0	none			not-er
ABCA10	ZNF283	1	0	0	0	none			not-er
ABCA10	ZNF284	1	0	0	0	none			not-er
ABCA10	ZNF285	1	0	0	0	none			not-er
ABCA10	ZNF287	1	0	0	0	none			not-er
ABCA10	ZNF3	1	0	0	0	none			not-er
ABCA10	ZNF30	1	0	0	0	none			not-er
ABCA10	ZNF300	1	0	0	0	none			not-er
ABCA10	ZNF302	1	0	0	0	none			not-er
ABCA10	ZNF304	1	0	0	0	none			not-er
ABCA10	ZNF311	1	0	0	0	none			not-er
ABCA10	ZNF317	1	0	0	0	none			not-er
ABCA10	ZNF324	1	0	0	0	none			not-er
ABCA10	ZNF324B	1	0	0	0	none			not-er
ABCA10	ZNF329	1	0	0	0	none			not-er
ABCA10	ZNF331	1	0	0	0	none			not-er
ABCA10	ZNF333	1	0	0	0	none			not-er
ABCA10	ZNF334	1	0	0	0	none			not-er
ABCA10	ZNF337	1	0	0	0	none			not-er
ABCA10	ZNF33B	1	0	0	0	none			not-er
ABCA10	ZNF34	1	0	0	0	none			not-er
ABCA10	ZNF343	1	0	0	0	none			not-er
ABCA10	ZNF347	1	0	0	0	none			not-er
ABCA10	ZNF35	1	0	0	0	none			not-er
ABCA10	ZNF354A	1	0	0	0	none			not-er
ABCA10	ZNF354B	1	0	0	0	none			not-er
ABCA10	ZNF382	1	0	0	0	none			not-er
ABCA10	ZNF391	1	0	0	0	none			not-er
ABCA10	ZNF394	1	0	0	0	none			not-er
ABCA10	ZNF397	1	0	0	0	none			not-er
ABCA10	ZNF41	1	0	0	0	none			not-er
ABCA10	ZNF415	1	0	0	0	none			not-er
ABCA10	ZNF416	1	0	0	0	none			not-er
ABCA10	ZNF418	1	0	0	0	none			not-er
ABCA10	ZNF420	1	0	0	0	none			not-er
ABCA10	ZNF426	1	0	0	0	none			not-er
ABCA10	ZNF429	1	0	0	0	none			not-er
ABCA10	ZNF43	1	0	0	0	none			not-er
ABCA10	ZNF430	1	0	0	0	none			not-er
ABCA10	ZNF432	1	0	0	0	none			not-er
ABCA10	ZNF433	1	0	0	0	none			not-er
ABCA10	ZNF436	1	0	0	0	none			not-er
ABCA10	ZNF440	1	0	0	0	none			not-er
ABCA10	ZNF441	1	0	0	0	none			not-er
ABCA10	ZNF443	1	0	0	0	none			not-er
ABCA10	ZNF45	1	0	0	0	none			not-er
ABCA10	ZNF460	1	0	0	0	none			not-er
ABCA10	ZNF461	1	0	0	0	none			not-er
ABCA10	ZNF468	1	0	0	0	none			not-er
ABCA10	ZNF471	1	0	0	0	none			not-er
ABCA10	ZNF473	1	0	0	0	none			not-er
ABCA10	ZNF480	1	0	0	0	none			not-er
ABCA10	ZNF484	1	0	0	0	none			not-er
ABCA10	ZNF485	1	0	0	0	none			not-er
ABCA10	ZNF486	1	0	0	0	none			not-er
ABCA10	ZNF487	1	0	0	0	none			not-er
ABCA10	ZNF490	1	0	0	0	none			not-er
ABCA10	ZNF497	1	0	0	0	none			not-er
ABCA10	ZNF501	1	0	0	0	none			not-er
ABCA10	ZNF502	1	0	0	0	none			not-er
ABCA10	ZNF506	1	0	0	0	none			not-er
ABCA10	ZNF510	1	0	0	0	none			not-er
ABCA10	ZNF514	1	0	0	0	none			not-er
ABCA10	ZNF519	1	0	0	0	none			not-er
ABCA10	ZNF527	1	0	0	0	none			not-er
ABCA10	ZNF528	1	0	0	0	none			not-er
ABCA10	ZNF529	1	0	0	0	none			not-er
ABCA10	ZNF540	1	0	0	0	none			not-er
ABCA10	ZNF543	1	0	0	0	none			not-er
ABCA10	ZNF544	1	0	0	0	none			not-er
ABCA10	ZNF546	1	0	0	0	none			not-er
ABCA10	ZNF547	1	0	0	0	none			not-er
ABCA10	ZNF548	1	0	0	0	none			not-er
ABCA10	ZNF549	1	0	0	0	none			not-er
ABCA10	ZNF550	1	0	0	0	none			not-er
ABCA10	ZNF551	1	0	0	0	none			not-er
ABCA10	ZNF552	1	0	0	0	none			not-er
ABCA10	ZNF554	1	0	0	0	none			not-er
ABCA10	ZNF557	1	0	0	0	none			not-er
ABCA10	ZNF558	1	0	0	0	none			not-er
ABCA10	ZNF560	1	0	0	0	none			not-er
ABCA10	ZNF563	1	0	0	0	none			not-er
ABCA10	ZNF564	1	0	0	0	none			not-er
ABCA10	ZNF565	1	0	0	0	none			not-er
ABCA10	ZNF566	1	0	0	0	none			not-er
ABCA10	ZNF567	1	0	0	0	none			not-er
ABCA10	ZNF568	1	0	0	0	none			not-er
ABCA10	ZNF569	1	0	0	0	none			not-er
ABCA10	ZNF57	1	0	0	0	none			not-er
ABCA10	ZNF571	1	0	0	0	none			not-er
ABCA10	ZNF572	1	0	0	0	none			not-er
ABCA10	ZNF573	1	0	0	0	none			not-er
ABCA10	ZNF577	1	0	0	0	none			not-er
ABCA10	ZNF578	1	0	0	0	none			not-er
ABCA10	ZNF582	1	0	0	0	none			not-er
ABCA10	ZNF583	1	0	0	0	none			not-er
ABCA10	ZNF584	1	0	0	0	none			not-er
ABCA10	ZNF585A	1	0	0	0	none			not-er
ABCA10	ZNF585B	1	0	0	0	none			not-er
ABCA10	ZNF586	1	0	0	0	none			not-er
ABCA10	ZNF589	1	0	0	0	none			not-er
ABCA10	ZNF594	1	0	0	0	none			not-er
ABCA10	ZNF595	1	0	0	0	none			not-er
ABCA10	ZNF596	1	0	0	0	none			not-er
ABCA10	ZNF600	1	0	0	0	none			not-er
ABCA10	ZNF605	1	0	0	0	none			not-er
ABCA10	ZNF606	1	0	0	0	none			not-er
ABCA10	ZNF607	1	0	0	0	none			not-er
ABCA10	ZNF611	1	0	0	0	none			not-er
ABCA10	ZNF613	1	0	0	0	none			not-er
ABCA10	ZNF614	1	0	0	0	none			not-er
ABCA10	ZNF615	1	0	0	0	none			not-er
ABCA10	ZNF616	1	0	0	0	none			not-er
ABCA10	ZNF619	1	0	0	0	none			not-er
ABCA10	ZNF620	1	0	0	0	none			not-er
ABCA10	ZNF621	1	0	0	0	none			not-er
ABCA10	ZNF623	1	0	0	0	none			not-er
ABCA10	ZNF624	1	0	0	0	none			not-er
ABCA10	ZNF626	1	0	0	0	none			not-er
ABCA10	ZNF627	1	0	0	0	none			not-er
ABCA10	ZNF629	1	0	0	0	none			not-er
ABCA10	ZNF649	1	0	0	0	none			not-er
ABCA10	ZNF655	1	0	0	0	none			not-er
ABCA10	ZNF660	1	0	0	0	none			not-er
ABCA10	ZNF665	1	0	0	0	none			not-er
ABCA10	ZNF667	1	0	0	0	none			not-er
ABCA10	ZNF669	1	0	0	0	none			not-er
ABCA10	ZNF670	1	0	0	0	none			not-er
ABCA10	ZNF671	1	0	0	0	none			not-er
ABCA10	ZNF672	1	0	0	0	none			not-er
ABCA10	ZNF674	1	0	0	0	none			not-er
ABCA10	ZNF675	1	0	0	0	none			not-er
ABCA10	ZNF678	1	0	0	0	none			not-er
ABCA10	ZNF680	1	0	0	0	none			not-er
ABCA10	ZNF681	1	0	0	0	none			not-er
ABCA10	ZNF682	1	0	0	0	none			not-er
ABCA10	ZNF684	1	0	0	0	none			not-er
ABCA10	ZNF695	1	0	0	0	none			not-er
ABCA10	ZNF696	1	0	0	0	none			not-er
ABCA10	ZNF697	1	0	0	0	none			not-er
ABCA10	ZNF699	1	0	0	0	none			not-er
ABCA10	ZNF70	1	0	0	0	none			not-er
ABCA10	ZNF701	1	0	0	0	none			not-er
ABCA10	ZNF71	1	0	0	0	none			not-er
