gene_a	gene_b	block_ident	concentration	total_frac	ident_disp
ALDH1B1	LOC115935842	0.9636	1.0000	1.0010	0.0212
ALDH1B1	LOC129524687	0.9760	1.0000	1.0000	0.0447
ALDH1L1	ALDH1L2	0.0000	0.0000	0.0000	0.0000
ALDH2	LOC129524687	0.0000	0.0000	0.0000	0.0000
ALG1	LOC101139163	0.8422	1.0000	0.4459	0.0861
ALG1	LOC101152938	0.8935	1.0000	0.4199	0.2062
ALG10	ALG10B	0.9609	1.0000	0.9802	0.0294
ALG1L1P	LOC101127338	0.8451	1.0000	1.1244	0.0267
AMN1	ETFBKMT	1.0000	1.0000	0.6468	0.0000
AMPD2	AMPD3	0.0000	0.0000	0.0000	0.0000
AMY2A	ZNF888	0.0000	0.0000	0.0000	0.0000
AMZ2	LOC101129405	0.8832	1.0000	0.7199	0.1425
ANKRD18A	ANKRD18B	0.9196	1.0000	0.8900	0.1515
ANKRD18A	LOC101142783	0.9869	1.0000	0.9090	0.0161
ANKRD18A	LOC115933254	0.9648	1.0000	0.5114	0.0225
ANKRD18B	LOC101142783	0.9686	1.0000	0.6244	0.0282
ANKRD18B	LOC101147259	0.9311	1.0000	0.5576	0.0407
ANKRD18B	LOC115933254	0.9301	1.0000	0.9919	0.1263
ANKRD36C	LOC101125154	0.9579	1.0000	0.8081	0.0805
ANKRD36C	LOC109025523	0.9477	1.0000	0.5014	0.0549
ANKRD37	UFSP2	1.0000	1.0000	0.2174	0.0000
ANKRD6	LYRM2	1.0000	1.0000	0.6194	0.0000
ANKRD62	LOC109025523	0.0000	0.0000	0.0000	0.0000
ANO1	ANO2	0.0000	0.0000	0.0000	0.0000
ANO1	PRKAR2A	0.0000	0.0000	0.0000	0.0000
AP1B1	AP2B1	0.0000	0.0000	0.0000	0.0000
AP1M1	AP1M2	0.0000	0.0000	0.0000	0.0000
AP1S2	BDP1	0.9925	1.0000	0.2262	0.0098
AP2A1	AP2A2	0.0000	0.0000	0.0000	0.0000
APBA2	APBA3	0.0000	0.0000	0.0000	0.0000
APOBEC3C	APOBEC3D	0.8784	1.0000	0.3080	0.0628
APOBEC3C	APOBEC3F	0.7455	1.0000	0.6780	0.0624
APOBEC3D	APOBEC3F	0.9082	1.0000	0.9775	0.0487
APOL2	APOL3	0.8857	1.0000	0.3042	0.0644
APOL3	APOL4	0.8616	1.0000	0.4186	0.0732
APOL4	LOC129527096	0.8734	1.0000	0.7764	0.0632
ARFGEF1	ARFGEF2	0.0000	0.0000	0.0000	0.0000
ARHGEF39	CCDC107	1.0000	1.0000	0.4705	0.0000
ARHGEF4	SPATA13	0.0000	0.0000	0.0000	0.0000
ARID1A	ARID1B	0.0000	0.0000	0.0000	0.0000
ARL17A	LOC101135168	1.0000	1.0000	0.5577	0.0000
ARL17A	LOC115934626	0.9926	1.0000	0.6153	0.0361
ARRB1	ARRB2	0.0000	0.0000	0.0000	0.0000
ASB6	NTMT1	1.0000	1.0000	0.7066	0.0000
ASNS	LOC129531864	0.9314	1.0000	0.2159	0.0392
ATP12A	ATP1A2	0.0000	0.0000	0.0000	0.0000
ATP12A	ATP1A3	0.0000	0.0000	0.0000	0.0000
ATP1A1	ATP1A2	0.0000	0.0000	0.0000	0.0000
ATP1A1	ATP1A3	0.0000	0.0000	0.0000	0.0000
ATP1A2	ATP1A3	0.8284	1.0000	0.7730	0.0744
ATP2A1	ATP2A2	0.0000	0.0000	0.0000	0.0000
ATP2B3	ATP2B4	0.0000	0.0000	0.0000	0.0000
ATP5ME	PDE6B	1.0000	1.0000	0.3748	0.0000
ATP6V0A2	TCIRG1	0.0000	0.0000	0.0000	0.0000
ATP6V1C2	PDIA6	1.0000	1.0000	0.3973	0.0000
ATP9A	ATP9B	0.0000	0.0000	0.0000	0.0000
ATPSCKMT	LOC101133249	0.8296	1.0000	0.7193	0.0764
AUNIP	MTFR1L	1.0000	1.0000	0.7245	0.0000
B3GAT2	SMAP1	0.9558	0.8541	0.6188	0.1806
B3GNTL1	TBCD	1.0000	1.0000	0.5360	0.0000
BBIP1	PDCD4	1.0000	1.0000	0.6716	0.0000
BCR	LOC101132434	0.9726	1.0000	0.6622	0.0213
BCR	LOC101135843	0.9746	1.0000	0.5649	0.0213
BCR	LOC115932815	0.9807	1.0000	0.5720	0.0193
BEX1	BEX2	0.8774	1.0000	0.7679	0.0825
BEX3	BEX5	0.0000	0.0000	0.0000	0.0000
BEX3	NXF3	0.0000	0.0000	0.0000	0.0000
BFAR	LOC101150079	0.9938	1.0000	1.0030	0.0183
BIRC2	BIRC3	0.0000	0.0000	0.0000	0.0000
BLID	LOC101154388	1.0000	1.0000	0.8047	0.0000
BLK	HCK	0.0000	0.0000	0.0000	0.0000
BLNK	ZNF518A	1.0000	1.0000	0.9746	0.0000
BLOC1S6	HMGN2	0.8932	1.0000	0.4889	0.0784
BMAL1	BTBD10	1.0000	1.0000	0.5152	0.0000
BMS1	LOC101143777	0.9219	1.0000	0.3085	0.0351
BMS1	LOC101148457	0.9602	1.0000	0.1545	0.0283
BMS1	LOC129524676	0.9518	1.0000	0.2013	0.0465
BMS1	LOC129526479	0.9051	1.0000	0.3563	0.1657
BMS1	LOC134756761	0.9454	1.0000	0.2019	0.0504
BRD1	BRPF1	0.0000	0.0000	0.0000	0.0000
BRD3	BRD4	0.0000	0.0000	0.0000	0.0000
BRICD5	MLST8	0.7798	1.0000	0.3912	0.3675
BTN1A1	BTN2A2	0.0000	0.0000	0.0000	0.0000
BTN2A1	BTN2A2	0.8718	1.0000	0.7791	0.1231
BTN3A1	LOC101147830	0.8986	1.0000	0.5130	0.0652
BTRC	FBXW11	0.0000	0.0000	0.0000	0.0000
BUD31	PTCD1	1.0000	1.0000	0.1924	0.0000
C10H12orf56	OOEP	0.0000	0.0000	0.0000	0.0000
C1H1orf146	GLMN	1.0000	1.0000	0.5228	0.0000
C1H1orf56	CDC42SE1	1.0000	1.0000	0.5760	0.0000
C3H4orf36	LOC101143448	0.9095	1.0000	0.3142	0.0500
C3H4orf36	LOC109025730	0.9295	1.0000	0.3524	0.0285
C3H4orf36	LOC129533438	0.0000	0.0000	0.0000	0.0000
C3H4orf36	MINPP1	0.9332	1.0000	0.2837	0.0447
C3H4orf36	PDCD5	0.9185	1.0000	0.3707	0.0405
C3H4orf36	SEM1	0.9277	1.0000	0.3182	0.0298
C3H4orf36	SPC25	0.9403	1.0000	0.3449	0.0199
C4A	C4B	0.9982	1.0000	1.0000	0.0116
C7H8orf33	LOC129527512	0.8503	1.0000	0.6145	0.0576
C9H11orf65	LOC101145464	0.9368	1.0000	0.1934	0.0471
C9H11orf65	LOC109023154	0.9376	1.0000	0.1767	0.0693
C9H11orf65	LOC109025730	0.9293	1.0000	0.3517	0.0358
C9H11orf65	PDCD5	0.9516	1.0000	0.3779	0.0491
C9H11orf65	SPC25	0.9456	1.0000	0.3515	0.0450
CAB39L	LOC101133249	0.0000	0.0000	0.0000	0.0000
CACNB1	CACNB3	0.0000	0.0000	0.0000	0.0000
CAMK1	CAMK1G	0.0000	0.0000	0.0000	0.0000
CAMK2B	CAMK2G	0.0000	0.0000	0.0000	0.0000
CAMK2D	CAMK2G	0.0000	0.0000	0.0000	0.0000
CAND2	RPL32	1.0000	1.0000	0.4415	0.0000
CANX	HMGB3	0.9156	1.0000	0.7031	0.0360
CAPS2	RAPH1	0.0000	0.0000	0.0000	0.0000
CARD16	LOC101136563	0.9722	1.0000	0.1444	0.0150
CASP3	CGREF1	0.0000	0.0000	0.0000	0.0000
CBR1	CBR3	0.0000	0.0000	0.0000	0.0000
CCDC144A	LOC109026769	0.9830	1.0000	1.0048	0.0152
CCDC152	SELENOP	1.0000	1.0000	0.4768	0.0000
CCDC92	IL20RB	0.8793	1.0000	0.3442	0.0960
CCL8	LOC101134802	0.0000	0.0000	0.0000	0.0000
CCNH	RASA1	1.0000	1.0000	0.6114	0.0000
CCPG1	LDLR	0.0000	0.0000	0.0000	0.0000
CCPG1	PRXL2A	0.0000	0.0000	0.0000	0.0000
CCR2	CCR5	0.8460	1.0000	0.2522	0.0921
CCT6A	CCT6B	0.0000	0.0000	0.0000	0.0000
CDK4	TSPAN31	1.0000	1.0000	0.5358	0.0000
CDR2	LOC101131923	0.9978	1.0000	0.4426	0.0000
CDRT4	TVP23B	0.9829	1.0000	0.5110	0.0310
CENPP	IPPK	1.0000	1.0000	0.8865	0.0000
CENPU	PRIMPOL	1.0000	1.0000	0.2140	0.0000
CEP192	LOC129533419	0.0000	0.0000	0.0000	0.0000
CEP57	MTMR2	1.0000	1.0000	0.5439	0.0000
CEP76	PSMG2	1.0000	1.0000	0.2988	0.0000
CES1	LOC101128088	0.0000	0.0000	0.0000	0.0000
CES1	LOC101128458	0.0000	0.0000	0.0000	0.0000
CES1	LOC115931015	0.9218	1.0000	0.9729	0.0613
CES1	LOC115931020	0.0000	0.0000	0.0000	0.0000
CGREF1	GGCT	0.0000	0.0000	0.0000	0.0000
CGREF1	LOC134756666	0.0000	0.0000	0.0000	0.0000
CGREF1	OTULINL	0.0000	0.0000	0.0000	0.0000
CHD1	CHD2	0.0000	0.0000	0.0000	0.0000
CHEK2	LOC101136352	0.9586	1.0000	0.7071	0.0658
CHEK2	LOC101152610	0.8067	1.0000	0.8668	0.3264
CHEK2	LOC129527660	0.9271	1.0000	0.7035	0.0414
CHM	OPN3	0.0000	0.0000	0.0000	0.0000
CHRNA3	PCCA	0.0000	0.0000	0.0000	0.0000
CHST6	TMEM231	0.9685	0.8627	0.6828	0.0591
CILP	CILP2	0.0000	0.0000	0.0000	0.0000
CKB	CKM	0.0000	0.0000	0.0000	0.0000
CKLF	GSTM2	0.0000	0.0000	0.0000	0.0000
CLCN3	CLCN5	0.0000	0.0000	0.0000	0.0000
CLK1	CLK4	0.0000	0.0000	0.0000	0.0000
CLMP	LOC101134145	0.0000	0.0000	0.0000	0.0000
CLN8	METTL2B	0.0000	0.0000	0.0000	0.0000
CLTC	CLTCL1	0.0000	0.0000	0.0000	0.0000
CNPY3	CNPY4	0.0000	0.0000	0.0000	0.0000
CNTNAP3C	LOC101143875	0.8776	1.0000	0.7301	0.0232
CNTNAP3C	LOC115933307	0.9707	1.0000	0.1744	0.0347
COG1	SSTR2	1.0000	0.8653	0.6842	0.0000
COG1	VCF1	1.0000	1.0000	0.5447	0.0000
COG5	HBP1	1.0000	1.0000	0.4005	0.0000
COL1A1	COL1A2	0.0000	0.0000	0.0000	0.0000
COL1A1	COL2A1	0.0000	0.0000	0.0000	0.0000
COL1A1	COL3A1	0.0000	0.0000	0.0000	0.0000
COL1A2	COL2A1	0.0000	0.0000	0.0000	0.0000
COL1A2	COL3A1	0.0000	0.0000	0.0000	0.0000
COL2A1	COL3A1	0.0000	0.0000	0.0000	0.0000
COL2A1	COL5A2	0.0000	0.0000	0.0000	0.0000
COMP	THBS4	0.0000	0.0000	0.0000	0.0000
COPB2	MRPS22	1.0000	1.0000	0.3514	0.0000
COPS9	LOC101145464	0.9161	1.0000	0.1942	0.0412
COPS9	LOC109023154	0.9619	1.0000	0.1679	0.0346
COPS9	LOC109025730	0.9319	1.0000	0.3208	0.0141
COPS9	LOC129530131	0.9661	1.0000	0.1545	0.0239
COPS9	LOC134756589	0.9581	1.0000	0.1663	0.0497
COPS9	PDCD5	0.9462	1.0000	0.3699	0.0274
COPS9	SEM1	0.9360	1.0000	0.2405	0.0409
COPS9	SPC25	0.9316	1.0000	0.3441	0.0365
CORO1A	CORO1B	0.0000	0.0000	0.0000	0.0000
CORO2A	CORO2B	0.0000	0.0000	0.0000	0.0000
CPEB2	CPEB4	0.0000	0.0000	0.0000	0.0000
CPEB3	CPEB4	0.0000	0.0000	0.0000	0.0000
CPLANE1	LOC115933270	0.9954	1.0000	0.8699	0.0052
CPNE6	CPNE7	0.0000	0.0000	0.0000	0.0000
CPSF2	NDUFB1	1.0000	1.0000	0.4777	0.0000
CRBN	TRNT1	0.9434	1.0000	0.6856	0.0000
CRMP1	DPYSL3	0.0000	0.0000	0.0000	0.0000
CRMP1	DPYSL4	0.0000	0.0000	0.0000	0.0000
CRMP1	EVC	1.0000	1.0000	0.3472	0.0000
CRNKL1	NAA20	1.0000	1.0000	0.8458	0.0000
CS	LOC129532516	0.8619	1.0000	0.9173	0.0881
CSNK1D	CSNK1E	0.0000	0.0000	0.0000	0.0000
CTBP1	CTBP2	0.0000	0.0000	0.0000	0.0000
CTSA	NEURL2	1.0000	1.0000	0.8099	0.0000
CTSV	LOC101145975	0.8458	1.0000	0.4764	0.0481
CTSV	LOC129523464	0.8415	1.0000	0.5631	0.0573
CTSZ	NELFCD	1.0000	1.0000	0.3797	0.0000
CTU2	PIEZO1	0.7252	1.0000	0.7143	0.3838
CUL7	CUL9	0.8863	1.0000	0.1420	0.0774
CYFIP1	CYFIP2	0.0000	0.0000	0.0000	0.0000
CYTH1	CYTH4	0.0000	0.0000	0.0000	0.0000
CYTH2	CYTH4	0.0000	0.0000	0.0000	0.0000
DAAM1	DAAM2	0.0000	0.0000	0.0000	0.0000
DAND5	TRDN	0.0000	0.0000	0.0000	0.0000
DAP3	GON4L	0.9603	1.0000	0.8155	0.0408
DAPK1	LOC115935778	0.9984	1.0000	0.7914	0.0063
DAPK2	DAPK3	0.0000	0.0000	0.0000	0.0000
DAZ1	DAZL	0.8886	0.7147	0.6928	0.0501
DCAF12	DCAF12L2	0.0000	0.0000	0.0000	0.0000
DCAF12L1	DCAF12L2	0.9165	1.0000	0.3869	0.0518
DCAF16	GIMAP4	0.9390	0.5016	0.3047	0.0290
DCAF16	LOC101145464	0.9412	1.0000	0.1869	0.0163
DCAF16	LOC109023154	0.9259	1.0000	0.1632	0.0617
DCAF16	LOC109025730	0.9339	1.0000	0.3419	0.0163
DCAF16	LOC129530131	0.9259	1.0000	0.1528	0.0514
DCAF16	LOC134756589	0.9216	1.0000	0.1600	0.0533
DCAF16	NCALD	0.9231	1.0000	0.1515	0.0545
DCAF16	NCR3LG1	0.9408	1.0000	0.1518	0.0452
DCAF16	PDCD5	0.9232	1.0000	0.3628	0.0426
DCAF16	SEM1	0.9283	1.0000	0.2359	0.0366
DCAF16	SPC25	0.9499	1.0000	0.3375	0.0285
DCAF16	UCHL1	0.9475	1.0000	0.1522	0.0267
DCAF4	DCAF4L1	0.8220	1.0000	0.5944	0.0829
DCP1B	FRK	0.0000	0.0000	0.0000	0.0000
DCP1B	LOC129529082	0.0000	0.0000	0.0000	0.0000
DCP1B	NAP1L3	0.8989	1.0000	0.1736	0.0447
DCP1B	NDUFAF2	0.9049	1.0000	0.2160	0.0416
DCP1B	SLC11A2	0.0000	0.0000	0.0000	0.0000
DCP1B	SOX30	0.8947	1.0000	0.1703	0.0460
DDX11	LOC109029264	0.9772	1.0000	0.2612	0.0219
DDX19A	DDX19B	0.9519	1.0000	0.5369	0.0694
DDX21	DDX50	0.0000	0.0000	0.0000	0.0000
DDX3X	DDX3Y	0.8483	1.0000	0.7349	0.0861
DDX42	FTSJ3	1.0000	1.0000	0.5994	0.0000
DEDD	NIT1	1.0000	1.0000	0.6884	0.0000
DES	PRPH	0.0000	0.0000	0.0000	0.0000
DEXI	LOC101149946	0.9568	1.0000	0.8729	0.0303
DEXI	LOC134757265	0.9600	1.0000	0.8614	0.0308
DFFB	PRKAR2A	0.0000	0.0000	0.0000	0.0000
DGCR6	DGCR6L	0.9319	1.0000	0.9712	0.1797
DHFR	DHFR2	0.8852	1.0000	0.9308	0.0690
DHRSX	ZBED1	0.9972	1.0000	0.9620	0.0087
DIMT1	KIF2A	1.0000	1.0000	0.7301	0.0000
DLD	EPPIN	0.0000	0.0000	0.0000	0.0000
DLGAP5	LGALS3	1.0000	1.0000	0.4702	0.0000
DMTF1	LOC115935379	1.0000	1.0000	0.5144	0.0000
DMTF1	TMEM243	0.9026	1.0000	0.4745	0.2769
DNAH17	DNAH9	0.0000	0.0000	0.0000	0.0000
DNAJC14	ORMDL2	1.0000	1.0000	0.5889	0.0000
DNAJC17	GCHFR	1.0000	1.0000	0.3242	0.0000
DND1	WDR55	1.0000	1.0000	0.5192	0.0000
DNM2	DNM3	0.0000	0.0000	0.0000	0.0000
DOCK1	LOC129523564	0.0000	0.0000	0.0000	0.0000
DOK7	LOC115933190	0.8775	1.0000	1.0512	0.1920
DPEP2	DPEP3	0.0000	0.0000	0.0000	0.0000
DPP4	FAP	0.0000	0.0000	0.0000	0.0000
DPY19L2	LOC115935244	0.9758	0.6506	0.8130	0.0170
DPYSL2	DPYSL3	0.0000	0.0000	0.0000	0.0000
DUSP1	DUSP4	0.0000	0.0000	0.0000	0.0000
DUSP5	LOC129532115	0.8871	1.0000	0.5022	0.0463
DVL1	DVL2	0.0000	0.0000	0.0000	0.0000
DVL1	DVL3	0.0000	0.0000	0.0000	0.0000
DVL2	DVL3	0.0000	0.0000	0.0000	0.0000
ECI2	LOC101130624	1.0000	1.0000	0.1725	0.0000
ECSIT	RPL18A	0.9009	1.0000	0.8731	0.0324
EDARADD	ENO1	0.9161	1.0000	0.6492	0.0456
EDARADD	ENO3	0.0000	0.0000	0.0000	0.0000
EEF1A1	LOC101132881	0.8485	1.0000	0.4759	0.0529
EEF1A1	LOC101148191	0.8491	1.0000	0.2096	0.0509
EEF1A1	LOC109023808	0.9821	1.0000	0.6488	0.0152
EEF2KMT	LOC101125415	0.8741	1.0000	0.8784	0.2322
EEF2KMT	LOC101133440	0.8971	1.0000	1.0510	0.0386
EEF2KMT	LOC101137806	0.8681	1.0000	0.6310	0.0354
EEF2KMT	LOC101139163	0.8954	1.0000	0.8163	0.0592
EEF2KMT	LOC101152938	0.8742	1.0000	0.8745	0.1335
EEF2KMT	LOC115934341	0.8654	1.0000	1.0536	0.1856
EFHC2	RRM2	0.9094	1.0000	0.9175	0.0330
EHD1	EHD2	0.0000	0.0000	0.0000	0.0000
EHD1	EHD3	0.8371	1.0000	0.4111	0.0673
EHD1	EHD4	0.0000	0.0000	0.0000	0.0000
EHD2	EHD4	0.0000	0.0000	0.0000	0.0000
EHD3	EHD4	0.0000	0.0000	0.0000	0.0000
EHMT1	EHMT2	0.0000	0.0000	0.0000	0.0000
EIF1AX	LOC101137900	0.9512	1.0000	0.8687	0.0388
EIF1AX	LOC129530234	0.9281	1.0000	0.2132	0.0244
EIF2AK4	SRP14	1.0000	1.0000	0.2589	0.0000
EIF3E	KHDC1	0.9319	1.0000	0.5410	0.0357
EIF4A1	EIF4A3	0.0000	0.0000	0.0000	0.0000
ELMO1	ELMO2	0.0000	0.0000	0.0000	0.0000
EMC3	LOC101151509	0.0000	0.0000	0.0000	0.0000
EMG1	LPCAT3	0.7338	1.0000	0.6022	0.4081
EML5	ZC3H14	1.0000	1.0000	0.6206	0.0000
ENO1	ENO2	0.0000	0.0000	0.0000	0.0000
ENO1	ENO3	0.0000	0.0000	0.0000	0.0000
ENO1	TMEM237	0.0000	0.0000	0.0000	0.0000
ENO2	ENO3	0.0000	0.0000	0.0000	0.0000
EOLA1	EOLA2	1.0000	1.0000	0.4244	0.0000
EP400	LOC101150057	0.9915	1.0000	0.3352	0.0125
EPB41	SDHAF4	0.0000	0.0000	0.0000	0.0000
EPCIP	LOC101137472	0.9709	1.0000	1.0273	0.1444
EPCIP	NABP2	0.0000	0.0000	0.0000	0.0000
EPHB1	EPHB2	0.0000	0.0000	0.0000	0.0000
EPHB1	EPHB3	0.0000	0.0000	0.0000	0.0000
EPHB1	EPHB4	0.0000	0.0000	0.0000	0.0000
EPHB2	EPHB3	0.0000	0.0000	0.0000	0.0000
EPHB2	EPHB4	0.0000	0.0000	0.0000	0.0000
EPHB3	EPHB4	0.0000	0.0000	0.0000	0.0000
EPPIN	LOC101149946	0.0000	0.0000	0.0000	0.0000
EPPIN	SDHAF3	0.0000	0.0000	0.0000	0.0000
ERCC1	POLR1G	1.0000	1.0000	0.6722	0.0000
ESRRA	TPTE2	0.9366	1.0000	0.5485	0.0800
ETFDH	PPID	1.0000	1.0000	0.3861	0.0000
ETFRF1	KRAS	1.0000	1.0000	0.7239	0.0000
EXOC3L2	TIMM23B	0.0000	0.0000	0.0000	0.0000
EXOG	RPL18A	0.8935	1.0000	0.8687	0.0365
EXOSC3	TRMT10B	1.0000	1.0000	0.6631	0.0000
EYA1	EYA4	0.0000	0.0000	0.0000	0.0000
EZR	MSN	0.0000	0.0000	0.0000	0.0000
EZR	RDX	0.0000	0.0000	0.0000	0.0000
FADS1	FADS2	0.0000	0.0000	0.0000	0.0000
FADS2	FADS3	0.0000	0.0000	0.0000	0.0000
FAHD2B	LOC101146690	0.9831	1.0000	0.8537	0.0197
FAM136A	LOC101147326	0.9233	1.0000	0.9543	0.0340
FAM13C	PHYHIPL	1.0000	1.0000	0.4773	0.0000
FAM200A	LOC101145047	0.8434	1.0000	0.6331	0.0542
FAM228B	FGD3	0.8894	1.0000	0.9162	0.0796
FAM228B	LOC129526638	0.8436	1.0000	0.6317	0.0858
FAM228B	MTHFD2L	0.9159	1.0000	0.6271	0.0390
FAM228B	ZNF626	0.8830	1.0000	0.7533	0.0836
FAM236B	LOC115932943	0.0000	0.0000	0.0000	0.0000
FAM236B	LOC129530010	1.0000	1.0000	1.0000	0.0000
FAM50A	FAM50B	0.0000	0.0000	0.0000	0.0000
FANCL	VRK2	1.0000	1.0000	0.2731	0.0000
FBH1	LOC109028588	1.0000	1.0000	0.1622	0.0000
FBP2	LOC134758618	0.0000	0.0000	0.0000	0.0000
FBXO17	LOC101138261	0.0000	0.0000	0.0000	0.0000
FBXO17	LOC109027124	0.9060	1.0000	0.3780	0.0399
FBXO17	MPHOSPH8	0.0000	0.0000	0.0000	0.0000
FBXO17	SVBP	0.0000	0.0000	0.0000	0.0000
FBXO44	FBXO6	0.9600	1.0000	0.1147	0.0358
FCGR2A	FCGR2B	0.8724	0.5093	0.6234	0.0605
FGD1	FGD3	0.0000	0.0000	0.0000	0.0000
FGD1	TSR2	1.0000	1.0000	0.2768	0.0000
FGD3	LOC129526638	0.8865	1.0000	0.6456	0.0599
FGD3	MTHFD2L	0.9232	1.0000	0.6127	0.0438
FGD3	ZNF626	0.8935	1.0000	0.9654	0.0655
FGF2	NUDT6	1.0000	1.0000	0.4208	0.0000
FGFR1	FGFR4	0.0000	0.0000	0.0000	0.0000
FIP1L1	LNX1	1.0000	1.0000	0.4382	0.0000
FKBP15	SLC31A2	1.0000	1.0000	0.4088	0.0000
FKBP9	LOC101129903	0.9830	1.0000	0.7798	0.0187
FLNB	LOC101142657	0.0000	0.0000	0.0000	0.0000
FMO1	FMO4	0.0000	0.0000	0.0000	0.0000
FOXO1	LOC115933254	0.9138	1.0000	1.0840	0.0149
FPR2	LOC129528664	0.0000	0.0000	0.0000	0.0000
FRG1	LOC101142904	0.0000	0.0000	0.0000	0.0000
FRG1	LOC115933219	0.7082	1.0000	0.5957	0.3741
FRG1	LOC129526395	0.9772	1.0000	0.5557	0.0206
FRG1	LOC129526550	0.9636	1.0000	0.4561	0.0358
FRG1	LOC129526557	0.8263	1.0000	0.8828	0.2959
FRG1	LOC129530429	0.9329	1.0000	0.6836	0.0553
FRG1	LOC129530552	0.0000	0.0000	0.0000	0.0000
FRG1	LOC129531431	0.9664	1.0000	0.4648	0.0263
FRG1	LOC129532222	0.0000	0.0000	0.0000	0.0000
FRG1	LOC129532224	0.6993	1.0000	0.5586	0.3715
FYN	YES1	0.0000	0.0000	0.0000	0.0000
FZD3	FZD6	0.0000	0.0000	0.0000	0.0000
GALNT1	GALNT13	0.0000	0.0000	0.0000	0.0000
GALNT14	GALNT16	0.0000	0.0000	0.0000	0.0000
GALNT17	LOC115935264	0.9834	1.0000	0.6203	0.0233
GAPDHS	LOC109024240	0.0000	0.0000	0.0000	0.0000
GATC	SRSF9	1.0000	1.0000	0.4406	0.0000
GBA1	LOC101127437	0.8373	1.0000	0.8320	0.1447
GBP2	GBP3	0.8482	1.0000	0.4962	0.0871
GBP2	GBP5	0.0000	0.0000	0.0000	0.0000
GBP2	GBP6	0.0000	0.0000	0.0000	0.0000
GBP2	LOC101130426	0.8354	1.0000	0.4033	0.1010
GBP2	LOC101137042	0.0000	0.0000	0.0000	0.0000
GBP3	GBP4	0.0000	0.0000	0.0000	0.0000
GBP3	GBP5	0.0000	0.0000	0.0000	0.0000
GBP3	GBP6	0.0000	0.0000	0.0000	0.0000
GBP3	LOC101130426	0.8936	1.0000	0.7380	0.0845
GBP3	LOC101137042	0.9093	1.0000	0.1481	0.0399
GBP4	GBP6	0.8539	1.0000	0.3518	0.0983
GBP5	LOC101130426	0.0000	0.0000	0.0000	0.0000
GBP6	LOC101130426	0.0000	0.0000	0.0000	0.0000
GGA1	GGA3	0.0000	0.0000	0.0000	0.0000
GGT1	LOC129526379	0.8437	1.0000	0.6684	0.0896
GIMAP4	LOC101145464	0.9366	1.0000	0.1926	0.0324
GIMAP4	LOC109023154	0.9679	1.0000	0.1664	0.0366
GIMAP4	LOC109025730	0.9175	0.5070	0.7026	0.0479
GIMAP4	LOC129530131	0.9707	1.0000	0.1565	0.0300
GIMAP4	LOC134756589	0.9667	1.0000	0.1674	0.0249
