family_stem	modal_gene	copies_chimp	copies_gorilla	copies_orang	sample_paralogs
ZSCAN	ZSCAN31	0	6	0	ZSCAN31,ZKSCAN4,ZKSCAN3,ZSCAN21,ZSCAN30
MHC-G	MHC-G	0	6	0	MHC-G
TPM	TPM2	5	4	3	TPM2,TPM1,TPM4,TPM3
CENPE	CENPE	5	0	0	CENPE,PCDHAC1,PCDHA12,PCDHA11,PCDHA9,PCDHA8
DNTTIP	DNTTIP2	5	0	0	DNTTIP2,DYDC1
SLC25A	SLC25A6	5	5	4	SLC25A6,SLC25A4,SLC25A5,SLC25A31
KLC	KLC4	3	5	4	KLC4,KLC2,KLC3,MRPL2,CKB,CKM
CCT	CCT6A	4	3	5	CCT6A,CCT6B,PSPH
VDAC	VDAC3	5	0	0	VDAC3,DKK4,VDAC2
TYRP	TYRP1	5	0	0	TYRP1
ALG	ALG1	5	5	5	ALG1,EEF2KMT,ALG1L,ROPN1,ROPN1B,ALG1L2
UBQLN	UBQLN1	4	0	5	UBQLN1,SETMAR,SUMF1,UBQLN2
MYH	MYH10	4	5	2	MYH10,MYH11,MYH9,NDE1
TUBG	TUBG2	2	2	5	TUBG2,RETREG3,TUBG1,ATF6B,CLUAP1
TBC1D	TBC1D3B	5	0	0	TBC1D3B
MAGEB	MAGEB2	5	5	2	MAGEB2,MAGEB3,MAGEB1,MAGEB18,MAGEB10,MAGEB4
SPANXN	SPANXN5	5	0	0	SPANXN5,SPANXN3,SPANXN2,SPANXN1
PAGE	PAGE2B	5	0	0	PAGE2B,ALAS2,ALAS1
TCEAL	TCEAL2	5	5	5	TCEAL2,TCEAL6,TCEAL5,TCEAL4
RAD	RAD51	0	5	0	RAD51,APOL4
SPDYE	SPDYE4	0	0	5	SPDYE4
EDARADD	EDARADD	3	4	2	EDARADD,ENO1,ENO2,ENO3
PPFIA	PPFIA1	4	2	0	PPFIA1,PPFIA2,PPFIA4,MIR548K,PPFIA3,MIR548C
ATP1A	ATP1A2	4	3	3	ATP1A2,ATP1A1,ATP1A4,ATP1A3,ATP1A1OS
GSTM	GSTM3	3	4	4	GSTM3,GSTM4,GSTM1,GSTM5
GBP	GBP2	3	4	2	GBP2,GBP1,GBP3,GBP5
ZBTB8OS	ZBTB8OS	4	2	2	ZBTB8OS,RBBP4,RBBP7,SYNC,TXLNG,TXLNGY
RPS6KA	RPS6KA1	3	4	0	RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA6
DPYSL	DPYSL3	4	3	3	DPYSL3,DPYSL4,CRMP1,EVC,DPYSL2,STK32A
PPP2R	PPP2R2C	4	3	4	PPP2R2C,PPP2R2A,PPP2R2D,PPP2R2B
KRT	KRT18	4	3	4	KRT18,LCORL,PKNOX2,TMEM97,NCAPG
BMP	BMP2K	2	0	4	BMP2K,RPS21,PAQR3
SEPTIN	SEPTIN10	4	0	2	SEPTIN10,SEPTIN11,SEPTIN8,MIR766,SEPTIN6,SEPTIN14
ACTN	ACTN1	4	4	3	ACTN1,ACTN4,ACTN3,ACTN2,CAPN12
ADAM	ADAM29	4	0	2	ADAM29,ADAM21,SYNJ2BP,ADAM20
FAHD	FAHD2B	4	2	0	FAHD2B,ANKRD55,FAHD2A
RBM	RBM22	4	0	0	RBM22
TRIM	TRIM52	4	0	0	TRIM52
HSPA	HSPA1L	4	3	3	HSPA1L,HSPA8,HSPA2,HSPA1B
MEA	MEA1	2	0	4	MEA1,PPP2R5D,PPP2R5C,PPP2R5A,PPP2R5E
POM	POM121	2	4	4	POM121,NSUN5,POM121C
IFITM	IFITM1	4	3	2	IFITM1,IFITM2,IFITM3
TRIM	TRIM6	2	4	3	TRIM6,TRIM22,TRIM5,TRIM34,TRIM21
PRPH	PRPH	2	4	0	PRPH,DES,VIM,INA,NT5C2
PTRH	PTRH1	4	2	2	PTRH1,STXBP1,STXBP2,CFAP157
TLE	TLE1	3	3	4	TLE1,TLE3,TLE2,TLE4
SPATA31D	SPATA31D1	4	0	0	SPATA31D1
RPS	RPS4X	4	3	4	RPS4X,RPS4Y1,RPS4Y2,MUL1
RRM	RRM2	4	0	0	RRM2,EFHC2
MED	MED15	4	0	0	MED15
CES	CES2	4	0	0	CES2
ZNF	ZNF875	4	4	0	ZNF875,ZNF133,ZNF169,ZNF343
BEX	BEX1	4	3	4	BEX1,BEX2,BEX3,BEX4,RAB40AL
EOLA	EOLA2	2	2	4	EOLA2,EOLA1,HSFX3
DAZL	DAZL	4	2	2	DAZL,DAZ1
TMEM	TMEM128	0	4	0	TMEM128
NDST	NDST3	0	4	0	NDST3,SLC6A4,BLMH,SLC38A6,TRMT5
FAR	FAR2	0	4	0	FAR2
ABCD	ABCD1	0	4	0	ABCD1
HERC	HERC2	0	4	0	HERC2
USP	USP9X	0	2	4	USP9X,USP9Y
SDE	SDE2	0	0	4	SDE2,HP1BP3
KIAA	KIAA0825	0	0	4	KIAA0825
ERVK3-	ERVK3-1	0	0	4	ERVK3-1,ZNF8
BHMT	BHMT2	0	0	4	BHMT2,DMGDH,CATSPER3,PCBD2,ZAN,ARHGAP19
TNFAIP8L	TNFAIP8L1	0	0	4	TNFAIP8L1,NHS
GGNBP	GGNBP2	0	0	4	GGNBP2
AKT	AKT1	3	2	0	AKT1,MIR641,AKT2,SDCCAG8,AKT3
CAPN	CAPN2	2	2	3	CAPN2,CAPN1,CAPN11
CD	CD55	3	0	0	CD55
TXNIP	TXNIP	3	0	0	TXNIP
LRIG	LRIG3	3	0	0	LRIG3
RBMXL	RBMXL1	2	2	3	RBMXL1,KYAT3,RBMX
TXNDC	TXNDC12	3	2	0	TXNDC12,BTF3L4,BTF3,SENP7
KPNA	KPNA6	3	0	3	KPNA6,KPNA5,KPNA1
YTHDF	YTHDF2	2	3	3	YTHDF2,YTHDF3,YTHDF1
GNB	GNB1	3	3	2	GNB1,GNB2,GNB4,MFN1
CPEB	CPEB2	3	0	3	CPEB2,CPEB4,CPEB3,MARCHF5
CAMK	CAMK2D	3	2	3	CAMK2D,CAMK2B,CAMK2G,OGDH,OGDHL
HSPA	HSPA4L	3	0	3	HSPA4L,HSPA4,HSPH1
HMGB	HMGB2	3	0	0	HMGB2,NRG3,HMGB1
TENM	TENM3	3	0	0	TENM3,TENM4
THBS	THBS4	2	3	0	THBS4,COMP,THBS3
PLK	PLK2	3	0	0	PLK2
CTNNA	CTNNA2	3	2	2	CTNNA2,LRRTM2,CTNNA1
SPINK	SPINK5	3	0	0	SPINK5,EEF1G
RPLP	RPLP1	3	2	3	RPLP1,MAP7,G3BP1
PANK	PANK3	3	3	0	PANK3,MIR107,PANK1,PANK2,MIR103-1,MIR103-2
HNRNPH	HNRNPH1	2	3	3	HNRNPH1,HNRNPH2,HNRNPF,GLA
SERPINB	SERPINB9	2	3	3	SERPINB9,SERPINB6,SERPINB8
GMPR	GMPR2	2	3	2	GMPR2,GMPR,TINF2,ATXN1
SLC17A	SLC17A1	3	0	3	SLC17A1
PATR-DRB	PATR-DRB5	3	0	0	PATR-DRB5,PATR-DQB1,PATR-DPB1
PHIP	PHIP	3	2	2	PHIP,BRWD1,BRWD3
EPHA	EPHA7	3	0	0	EPHA7,EPHA4,EPHA3
EZR	EZR	2	2	3	EZR,MSN,SYTL3,RDX
RPL	RPL23A	3	3	0	RPL23A,PDCD2,TLCD1
CYTH	CYTH3	3	3	3	CYTH3,CYTH1,CYTH2
DPY19L	DPY19L2	3	2	2	DPY19L2,DPY19L1
SLC25A	SLC25A1	2	0	3	SLC25A1
INTS	INTS4	3	0	0	INTS4,AAMDC
CUX	CUX1	3	0	0	CUX1
KANK	KANK1	3	0	0	KANK1
IMPDH	IMPDH2	2	3	2	IMPDH2,IMPDH1,NDUFAF3
FLNA	FLNA	3	3	2	FLNA,FLNB,FLNC
FNTA	FNTA	3	2	0	FNTA,LRMDA,JAK2,CCNC,TSTD3
WWP	WWP1	3	0	3	WWP1,WWP2,ITCH,MIR140,DYNLRB1
PFKP	PFKP	3	3	3	PFKP,PFKM,PFKL,SENP1,ASB8
AKR1C	AKR1C3	3	3	0	AKR1C3,AKR1C2
TIMM	TIMM23	3	2	0	TIMM23,TIMM23B,PARG
HK	HK1	2	3	2	HK1,HK2,HKDC1
LDHB	LDHB	3	3	2	LDHB,LDHA,LDHC
MTA	MTA2	3	0	2	MTA2,MTA3,EML3,MTA1
PYGL	PYGL	3	3	2	PYGL,PYGB,PYGM,ABHD12
PPP1CA	PPP1CA	2	3	3	PPP1CA,RAD9A,PPP1CC,PPP1CB
DLG	DLG2	3	0	2	DLG2,DLG4,DLG1
MYL	MYL6	3	2	2	MYL6,MYL6B,MYL4,CDC27
SMARCD	SMARCD1	2	3	2	SMARCD1,SMARCD2,SMARCD3
ATP2A	ATP2A2	2	3	2	ATP2A2,ATP2A1,RABEP2,ATP2A3
TAOK	TAOK3	2	3	2	TAOK3,TAOK2,TAOK1
UBC	UBC	3	3	2	UBC,UBB
RPS	RPS6	3	0	0	RPS6
BRD	BRD3	2	3	0	BRD3,BRD4,BRD2
CTSV	CTSV	2	3	3	CTSV,CTSL
RFX	RFX3	3	2	2	RFX3,RFX2,ACSBG2,RFX1
PRKD	PRKD3	2	3	0	PRKD3,PRKD1,NDUFAF7,PRKD2
CXADR	CXADR	3	0	0	CXADR
TRPC4AP	TRPC4AP	2	3	0	TRPC4AP,MYH7B,MIR208B,MYH7,MYH15
SLC12A	SLC12A6	2	0	3	SLC12A6,SLC12A4,EMC4,SLC12A7
MYL	MYL9	3	3	3	MYL9,MYL12B,MYL12A,MYOM1
ABR	ABR	3	2	0	ABR,BCR
CXHXorf	CXHXorf49B	3	0	0	CXHXorf49B
PLS	PLS3	2	3	2	PLS3,PLS1,LCP1
DRICH	DRICH1	2	0	3	DRICH1
APOL	APOL3	2	3	0	APOL3,APOL2,APOL1
FMO	FMO4	0	3	0	FMO4,FMO1,FMO2
PLEKHM	PLEKHM1	0	3	0	PLEKHM1
SEPTIN	SEPTIN4	0	3	0	SEPTIN4,SEPTIN2,GP1BB,SEPTIN5
COL1A	COL1A1	0	3	2	COL1A1,COL2A1,COL1A2
ACSL	ACSL6	0	2	3	ACSL6,ACSL5,ACSL1,ZDHHC6
ZNF	ZNF300	0	3	0	ZNF300,IRGM,ZNF630
GMNN	GMNN	0	3	0	GMNN
TAS2R	TAS2R3	0	3	0	TAS2R3,SSBP1
GRM	GRM4	0	3	0	GRM4,GRM8,GRM7
RWDD	RWDD2A	0	3	0	RWDD2A,PGM3,DOP1A
RPL	RPL7A	0	3	2	RPL7A,RFX6
EYA	EYA4	0	3	0	EYA4,EYA1,EYA2
EPHB	EPHB4	0	3	0	EPHB4,EPHB1,EPHB3
AKR1B	AKR1B1	0	3	0	AKR1B1,AKR1B10
HTRA	HTRA2	0	3	2	HTRA2,LOXL3,AUP1,LOXL2,LOXL4,DOK1
CAMK	CAMK1D	0	3	0	CAMK1D,PNCK,CAMK1,OGG1
KIF	KIF5B	0	3	0	KIF5B,KIF5A,KIF5C
GPR	GPR17	0	3	3	GPR17,LIMS2,LIMS1
SCN	SCN9A	0	3	0	SCN9A,SCN7A
CNTNAP	CNTNAP3C	0	3	0	CNTNAP3C
LRRC	LRRC8E	0	3	0	LRRC8E,LRRC8A
MGAT	MGAT2	0	2	3	MGAT2,RPL36AL,RPL36A,HELZ
ACOT	ACOT2	0	3	2	ACOT2,ACOT4,ACOT6,HEATR4
HSCB	HSCB	0	3	0	HSCB,CHEK2
DEXI	DEXI	0	3	0	DEXI,CIITA
MIR	MIR1266	0	3	0	MIR1266,MYO5C,MYO5A,MYO5B
PDPR	PDPR	0	3	0	PDPR,PSMD7
ZSCAN	ZSCAN5B	0	3	0	ZSCAN5B
PLXNB	PLXNB3	0	3	0	PLXNB3,PLXNB1,PLXNB2
YOD	YOD1	0	0	3	YOD1,PFKFB2,PFKFB3,PFKFB4
EDEM	EDEM3	0	0	3	EDEM3,SPEM2
CELF	CELF3	0	0	3	CELF3,CELF6,CELF5
ELAVL	ELAVL4	0	0	3	ELAVL4,ELAVL2,ELAVL1
PTPRN	PTPRN2	0	0	3	PTPRN2
GUSB	GUSB	0	0	3	GUSB
CEP	CEP20	0	0	3	CEP20
ARL	ARL5A	0	0	3	ARL5A,ACTR2
PDZD	PDZD9	0	0	3	PDZD9
SLX	SLX1A	0	0	3	SLX1A
MT	MT1X	0	0	3	MT1X
DMRTC	DMRTC1	0	0	3	DMRTC1
HSFX	HSFX1	0	0	3	HSFX1
KEF41_t	KEF41_t22	2	0	0	KEF41_t22,KEF41_t21,CYTB,KEF41_t20,ND6,ND5
PGBD	PGBD1	2	0	0	PGBD1
CHML	CHML	2	0	0	CHML,OPN3,MIR361,CHM
RGS	RGS7	2	2	0	RGS7,THAP12,RGS6
TRIM	TRIM17	2	0	0	TRIM17,TRIM11
ITPKB	ITPKB	2	0	0	ITPKB,ITPKA
PYCR	PYCR2	2	2	2	PYCR2,PYCR1
TMEM	TMEM63A	2	2	2	TMEM63A,TMEM63B,EPHX1
ATP2B	ATP2B4	2	0	2	ATP2B4,ATP2B3,ATP2B1
DNM	DNM3	2	2	2	DNM3,DNM2,MIR214,MIR199A-2,MIR199A-1,MIR199A
HSD17B	HSD17B7	2	0	0	HSD17B7
TRNAG-UCC	TRNAG-UCC	2	0	0	TRNAG-UCC,TRNAD-GUC
GON	GON4L	2	0	0	GON4L,YY1AP1,DAP3
CLK	CLK2	2	0	0	CLK2
UBE2Q	UBE2Q1	2	2	2	UBE2Q1,UBE2Q2
MCL	MCL1	2	0	0	MCL1,EIF3F
SF3B	SF3B4	2	0	0	SF3B4,GARIN2
TRIP	TRIP13	2	0	0	TRIP13
BRD	BRD9	2	0	0	BRD9,ZDHHC11
AP4B	AP4B1	2	0	0	AP4B1,BCL2L15,PTPN22
HIPK	HIPK1	2	0	0	HIPK1,HIPK2
ST	ST7L	2	2	2	ST7L,ST7,MIR6132
SLC25A	SLC25A24	2	0	0	SLC25A24
THAP	THAP3	2	0	0	THAP3
HOOK	HOOK1	2	2	2	HOOK1,HOOK3,RNF170
MRPL	MRPL37	2	0	2	MRPL37,SSBP3,SSBP2
DST	DST	2	2	0	DST,MACF1
RRAGC	RRAGC	2	0	0	RRAGC,RRAGD
HDAC	HDAC1	2	2	2	HDAC1,HDAC2
ARID	ARID1A	2	2	0	ARID1A,ARID1B
HNRNPR	HNRNPR	2	0	2	HNRNPR,SYNCRIP
AKR7A	AKR7A2	2	2	0	AKR7A2,AKR7A3
PLOD	PLOD1	2	2	2	PLOD1,PLOD3
TARDBP	TARDBP	2	0	0	TARDBP
RER	RER1	2	2	0	RER1,PEX10
LETM	LETM1	2	0	0	LETM1,ZNF135,ZSCAN1
FAM	FAM200B	2	0	0	FAM200B,FAM200A
PDS	PDS5A	2	0	0	PDS5A,PDS5B
NAA	NAA11	2	2	2	NAA11,NAA10
SDAD	SDAD1	2	2	2	SDAD1,BNIP3L
ANKRD	ANKRD17	2	2	2	ANKRD17,ANKHD1
HERC	HERC6	2	2	0	HERC6,HERC5
GRID	GRID2	2	0	0	GRID2,PMPCA
PAPSS	PAPSS1	2	2	2	PAPSS1,PAPSS2
SEC	SEC24D	2	2	0	SEC24D,SEC24C
NAA	NAA15	2	2	2	NAA15,NDUFC1,NAA16
SMARCA	SMARCA5	2	2	2	SMARCA5,SMARCA1
TRIM	TRIM60	2	0	0	TRIM60
CLCN	CLCN3	2	2	0	CLCN3,CLCN4,MIR502A,MIR660,MIR362,MIR502B
RNASE	RNASE12	2	0	0	RNASE12,RNASE11
SNX	SNX25	2	0	0	SNX25,CFAP97
PLEKHG	PLEKHG4B	2	0	0	PLEKHG4B
SLC6A	SLC6A3	2	0	0	SLC6A3,SLC6A2
FAM177A	FAM177A1	2	0	0	FAM177A1,SRP54
PTP4A	PTP4A1	2	0	0	PTP4A1
DHFR	DHFR	2	0	0	DHFR,DHFR2
ENC	ENC1	2	0	2	ENC1,KLHL25,MIR1276
TNPO	TNPO1	2	2	0	TNPO1,TNPO2
TAF	TAF9	2	2	2	TAF9,AK6,TAF9B,RAD17
CDH	CDH18	2	0	0	CDH18,NUP50
RPL	RPL28	2	0	0	RPL28
PPP2CA	PPP2CA	2	2	2	PPP2CA,PPP2CB
NDUFA	NDUFA2	2	0	0	NDUFA2,IK
HARS	HARS1	2	2	2	HARS1,HARS2
PCDHB	PCDHB2	2	0	0	PCDHB2,PCDHB12
PCDHB	PCDHB5	2	0	0	PCDHB5,RPL6
CSNK1A	CSNK1A1	2	0	2	CSNK1A1,ARHGEF37,CSNK1A1L
NDST	NDST1	2	2	0	NDST1,NDST2
SLC36A	SLC36A3	2	0	0	SLC36A3,SLC36A1
KIF	KIF4B	2	0	0	KIF4B,KIF4A
FNDC	FNDC9	2	2	0	FNDC9,CYFIP2,CYFIP1,NIPA2
RANBP	RANBP17	2	2	0	RANBP17,XPO7
FBXW	FBXW11	2	0	2	FBXW11,BTRC
RPL26L	RPL26L1	2	2	2	RPL26L1,RPL26,ODF4
RPL	RPL19	2	0	0	RPL19
CANX	CANX	2	0	0	CANX,CBY3,HMGB3
GFPT	GFPT2	2	2	2	GFPT2,GFPT1
FAM	FAM50B	2	2	2	FAM50B,FAM50A
TMEM	TMEM14C	2	2	2	TMEM14C,TMEM14B
BTN2A	BTN2A2	2	2	0	BTN2A2,BTN2A1
ZKSCAN	ZKSCAN8	2	0	0	ZKSCAN8,ZNF397
RPL	RPL30	2	0	0	RPL30
STXBP	STXBP4	2	2	0	STXBP4,TOM1L1,TRNAT-CGU,TRNAL-AAG,TRNAT-UGU,COX11
DDX	DDX39B	2	2	2	DDX39B,MCCD1,DDX39A
C	C4A	2	2	0	C4A,C4B
TCP	TCP11	2	0	2	TCP11,TCP11X2
HSP90AB	HSP90AB1	2	2	2	HSP90AB1,HSP90AA1,SLC35B2
GSTA	GSTA2	2	0	0	GSTA2,GSTA1
KHDC	KHDC1L	2	0	0	KHDC1L,KHDC1
FYN	FYN	2	2	2	FYN,YES1,SRC
ECHDC	ECHDC1	2	2	0	ECHDC1,RNF146
KATNA	KATNA1	2	2	2	KATNA1,KATNAL1
MTHFD	MTHFD1L	2	2	0	MTHFD1L,ZBTB25,MTHFD1
RAC	RAC1	2	2	2	RAC1,RAC3
PDE	PDE1C	2	0	2	PDE1C,PDE1A
PGAM	PGAM2	2	0	2	PGAM2,PGAM1,EXOSC1
ERV3-	ERV3-1	2	2	2	ERV3-1,ACSM1
SBDS	SBDS	2	2	0	SBDS
TYW	TYW1B	2	0	0	TYW1B
FAM	FAM133B	2	2	2	FAM133B,FAM133A
DYNC1I	DYNC1I1	2	0	0	DYNC1I1,DYNC1I2
SLC25A	SLC25A13	2	2	0	SLC25A13,SLC25A12,MIR1282-2,MIR591
CASTOR	CASTOR3P	2	0	0	CASTOR3P,STAG3,PILRB
SRPK	SRPK2	2	0	0	SRPK2,NKAIN3
METTL	METTL2B	2	2	0	METTL2B,METTL2A
COPG	COPG2	2	2	2	COPG2,COPG1,MEST,TSGA13
TMEM	TMEM140	2	2	2	TMEM140,CYREN
LUC7L	LUC7L2	2	0	0	LUC7L2,LUC7L
CDS	CDS2	2	0	0	CDS2
TCAF	TCAF1	2	2	0	TCAF1,TCAF2
EZH	EZH2	2	2	0	EZH2,EZH1
ZNF	ZNF212	2	0	0	ZNF212
CHPF	CHPF2	2	2	2	CHPF2,CHPF,MIR671,TMEM198
ACTR	ACTR3B	2	2	2	ACTR3B,ACTR3
TNKS	TNKS	2	2	2	TNKS,TNKS2,MIR597
MEIG	MEIG1	2	0	0	MEIG1
PPP3CC	PPP3CC	2	0	0	PPP3CC,PPP3CB
PLPP	PLPP5	2	0	0	PLPP5,DDHD2,PLPP4
KAT	KAT6A	2	2	0	KAT6A,KAT6B
PXDNL	PXDNL	2	0	2	PXDNL,PXDN
RPS	RPS20	2	0	0	RPS20,TMEM70
ARFGEF	ARFGEF1	2	2	0	ARFGEF1,ARFGEF2
SULF	SULF1	2	2	0	SULF1,SULF2
RPL	RPL7	2	0	0	RPL7
RUNX1T	RUNX1T1	2	0	0	RUNX1T1,CBFA2T2
STK	STK3	2	2	2	STK3,STK4
LY	LY6K	2	0	0	LY6K
GPT	GPT	2	0	0	GPT,GPT2
GDI	GDI2	2	2	2	GDI2,GDI1,TASOR2
SEC61A	SEC61A2	2	2	2	SEC61A2,SEC61A1
NMT	NMT2	2	2	0	NMT2,NMT1
BMS	BMS1	2	0	0	BMS1
ANTXRL	ANTXRL	2	0	0	ANTXRL
SHLD	SHLD2	2	0	0	SHLD2
ADIRF	ADIRF	2	0	2	ADIRF
IFIT	IFIT1	2	0	2	IFIT1,IFIT5
HSPA	HSPA12A	2	2	0	HSPA12A,SPMIP5,HSPA12B
PTPRE	PTPRE	2	2	0	PTPRE,PTPRA
DENND	DENND5A	2	0	0	DENND5A,DENND5B
PARVA	PARVA	2	2	0	PARVA,TRNASTOP-UCA,PARVB
SLC25A	SLC25A51	2	0	0	SLC25A51
DCDC	DCDC1	2	0	0	DCDC1
MAPK8IP	MAPK8IP1	2	0	0	MAPK8IP1,FREY1
NR1H	NR1H3	2	0	2	NR1H3,NR1H2
KBTBD	KBTBD4	2	2	0	KBTBD4,PTPMT1,NDUFS3
OSBP	OSBP2	2	2	0	OSBP2,OSBP,MIR590,EIF4H
ATL	ATL3	2	2	0	ATL3,ATL2
PACS	PACS1	2	0	0	PACS1,PACS2
RBM	RBM4	2	2	0	RBM4,RBM4B
GRK	GRK2	2	2	0	GRK2,GRK3
CORO	CORO1B	2	2	2	CORO1B,CORO1C
CDK2AP	CDK2AP2	2	0	0	CDK2AP2
CPT	CPT1B	2	0	2	CPT1B,CPT1A,CPT1C
NEU	NEU3	2	0	0	NEU3
GAB	GAB2	2	0	0	GAB2,GAB4
BIRC	BIRC3	2	0	2	BIRC3,BIRC2
PPP2R	PPP2R1B	2	2	2	PPP2R1B,PPP2R1A
ERC	ERC1	2	0	0	ERC1,ERC2
GAPDH	GAPDH	2	0	0	GAPDH
ING	ING4	2	2	0	ING4,ING5,ACRBP
USP	USP5	2	2	0	USP5,USP13,CDCA3
LPCAT	LPCAT3	2	2	0	LPCAT3,EMG1,PHB2
SLC2A	SLC2A14	2	2	0	SLC2A14,SLC2A3
C12H12orf	C12H12orf56	2	0	0	C12H12orf56,RPS11
RPS	RPS26	2	0	2	RPS26,POLR2D
SLC4A	SLC4A8	2	0	0	SLC4A8,SLC4A7
FMNL	FMNL3	2	0	0	FMNL3,FMNL1
CACNB	CACNB3	2	0	0	CACNB3,CACNB4
PPHLN	PPHLN1	2	0	0	PPHLN1
ALG	ALG10B	2	2	0	ALG10B,ALG10
PPFIBP	PPFIBP1	2	0	0	PPFIBP1,C12H12orf71
KRR	KRR1	2	0	0	KRR1,GLIPR1
ACACB	ACACB	2	0	0	ACACB,ACACA
RNFT	RNFT2	2	0	0	RNFT2,PRSS3
ATP6V0A	ATP6V0A2	2	0	0	ATP6V0A2,ATP6V0A1
EP	EP400	2	0	2	EP400
NTMT	NTMT1	2	2	0	NTMT1,ASB6
ENDOG	ENDOG	2	0	0	ENDOG,KYAT1
PTBP	PTBP3	2	0	0	PTBP3,PLPPR3,PTBP1
NIPSNAP	NIPSNAP3A	2	2	0	NIPSNAP3A,NIPSNAP3B
TMOD	TMOD1	2	0	0	TMOD1,TSTD2
IARS	IARS1	2	0	0	IARS1,SPTLC1
GNAQ	GNAQ	2	0	0	GNAQ,GNA11
KIF	KIF27	2	0	0	KIF27
